'ai'qi 嗳气
'kang'li'niao'ji'su'yi'chang'fen'mi'zong'he'zheng 抗利尿激素异常分泌综合征
'kang'zhen 糠疹
'ke'sou 咳嗽
'kou'chou 口臭
'kou'chuang'xing'kou'yan 口疮性口炎
'kou'gan 口干
'kou'ke 口渴
'kou'qiang'chu'xie 口腔出血
'kou'qiang'liang'xing'zhong'liu 口腔良性肿瘤
'kou'qiang'nian'mo'bai'ban'bing 口腔粘膜白斑病
'kou'yan 口炎
'ku'sheng'yi'chang 哭声异常
'kuang'zhou'shui'zhong 眶周水肿
'kui'yang'xing'bi'yan 溃疡性鼻炎
'kui'yang'xing'jie'chang'yan 溃疡性结肠炎
'kui'yang'xing'jie'chang'yan'jia'zhong 溃疡性结肠炎加重
'kui'yang'xing'kou'yan 溃疡性口炎
'kui'yang'xing'yin'dao'yan 溃疡性阴道炎
'kui'yang'xing'zhi'chang'yan 溃疡性直肠炎
'lao'dong'neng'li'sang'shi 劳动能力丧失
'lei'feng'shi'xing'guan'jie'yan 类风湿性关节炎
'lei'feng'shi'xing'guan'jie'yan'jia'zhong 类风湿性关节炎加重
'lei'guan'geng'zu 泪管梗阻
'lei'xian'bing 泪腺病
'leng'ning'ji'shi'yan'yang'xing 冷凝集试验阳性
'leng'ning'qiu'dan'bai'xue'zheng 冷凝球蛋白血症
'leng'xun'ma'zhen 冷荨麻疹
'li'ji'hou'zhong 里急后重
'li'mao 立毛
'li'xi'bao'jian'shao 粒细胞减少
'li'xi'bao'que'fa'zheng 粒细胞缺乏症
'li'xi'bao'xing'bai'xue'bing 粒细胞性白血病
'li'xi'bao'zeng'duo 粒细胞增多
'liang'xing'chui'ti'liu 良性垂体瘤
'liang'xing'gan'zhong'liu 良性肝肿瘤
'liang'xing'hou'zhong'liu 良性喉肿瘤
'liang'xing'nao'liu 良性脑瘤
'liao'xiao'jiang'di 疗效降低
'liao'xiao'zeng'jia 疗效增加
'lin'ba'guan'yan 淋巴管炎
'lin'ba'jie'bing 淋巴结病
'lin'ba'liu'yang'bing 淋巴瘤样病
'lin'ba'shui'zhong 淋巴水肿
'lin'ba'xi'bao'jian'shao 淋巴细胞减少
'lin'ba'xi'bao'xing'bai'xue'bing 淋巴细胞型白血病
'lin'ba'xi'bao'zeng'duo 淋巴细胞增多
'liu'chan 流产
'liu'gan'yang'zheng'zhuang 流感样症状
'liu'hong'xue'hong'dan'bai'xue'zheng 硫红血红蛋白血症
'liu'lei'yi'chang 流泪异常
'lu'nei'chan'shang 颅内产伤
'lu'nei'chu'xue 颅内出血
'lu'nei'ya'sheng'gao 颅内压升高
'lu'shen'jing'sun'hai 颅神经损害
'lu'shen'jing'yan 颅神经炎
'luan'chao'bing 卵巢病
'luan'chao'nang'zhong 卵巢囊肿
'lv'pao'xing'zhen 滤疱性疹
'ma'bi 麻痹
'ma'bi'xing'chang'geng'zu 麻痹性肠梗阻
'mai'guan'yan 脉管炎
'mai'ruo 脉弱
'man'xing'pi'lao'zong'he'zheng 慢性疲劳综合征
'mang'dian 盲点
'mao'fa'bian'se 毛发变色
'mao'fa'jie'gou'yi'chang 毛发结构异常
'mao'fa'xi'shao'zheng 毛发稀少症
'mao'nang'yan 毛囊炎
'mao'xi'xue'guan'cui'xing'zeng'jia 毛细血管脆性增加
'mao'xi'xue'guan'kuo'zhang 毛细血管扩张
'mei'du'shi'yan'jia'yang'xing 梅毒试验假阳性
'mei'huo'xing'yi'chang 酶活性异常
'mei'jun'xing'pi'yan 霉菌性皮炎
'men'jing'mai'gao'ya 门静脉高压
'meng'xing 梦行
'mi'man'xing'xue'guan'nei'ning'xue 弥漫性血管内凝血
'mi'niao'dao'ji'bing 泌尿道疾病
'mi'niao'sheng'zhi'qi'ji'xing 泌尿生殖器畸形
'mian'bu'ji'xing 面部畸形
'mian'bu'shui'zhong 面部水肿
'mian'yi'qiu'dan'bai'jian'shao 免疫球蛋白减少
'mian'yi'qiu'dan'bai'zeng'jia 免疫球蛋白增加
'mian'yi'xi'tong'ji'bing 免疫系统疾病
'mian'yi'yang'xing 免疫阳性
'mo'shao'shen'jing'bing 末梢神经病
'mo'shao'shui'zhong 末梢水肿
'mo'ya 磨牙
'mu'jiang 木僵
'nai'shou'xing'jiang'di 耐受性降低
'nai'shou'xing'zeng'jia 耐受性增加
'nai'yao 耐药
'nan'xing'bu'yu 男性不育
'nan'xing'hui'yin'tong 男性会阴痛
'nan'xing'mi'ru 男性泌乳
'nan'xing'nv'xing'hua 男性女性化
'nan'xing'ru'fang'e'xing'liu 男性乳房恶性瘤
'nan'xing'ru'fang'liu 男性乳房瘤
'nan'xing'ru'fang'tong 男性乳房痛
'nan'xing'ru'xian'yan 男性乳腺炎
'nan'xing'sheng'yu'li'jiang'di 男性生育力降低
'nan'xing'sheng'zhi'qi'pi'zhen 男性生殖器皮疹
'nan'xing'sheng'zhi'qi'sao'yang 男性生殖器骚痒
'nan'xing'you'bian'xiao'ying 男性诱变效应
'nan'zi'nv'xing'xing'ru'fang 男子女性型乳房
'nang'xia'nei'zhang 囊下内障
'nang'xing'xian'wei'hua 囊性纤维化
'nang'yang'ban'dian'shui'zhong 囊样斑点水肿
'nao'bing 脑病
'nao'chu'xue 脑出血
'nao'dian'tu'yi'chang 脑电图异常
'nao'dong'mai'xue'shuan'xing'cheng 脑动脉血栓形成
'nao'gan'bing 脑干病
'nao'geng'si 脑梗死
'nao'ji'shui 脑积水
'nao'ji'sui'yan 脑脊髓炎
'nao'ji'sui'ye'xi'bao'zeng'duo 脑脊髓液细胞增多
'nao'ji'ye'yi'chang 脑脊液异常
'nao'jing'mai'xue'shuan'xing'jing'mai'yan 脑静脉血栓性静脉炎
'nao'lin'zhi'xu'zhuang'shi'yan'yi'chang 脑磷脂絮状试验异常
'nao'mo'nao'yan 脑膜脑炎
'nao'mo'yan 脑膜炎
'nao'peng'chu 脑膨出
'nao'que'yang 脑缺氧
'nao'shuan'sai 脑栓塞
'nao'shui'zhong 脑水肿
'nao'wei'suo 脑萎缩
'nao'xue'guan'bing 脑血管病
'nao'xue'guan'yi'wai'wei'te'zhi 脑血管意外未特指
'nao'xue'shuan'xing'cheng 脑血栓形成
'nao'zhong'liu 脑肿瘤
'nei'fen'mi'shi'tiao 内分泌失调
'nian'mo'bai'ban'bing 粘膜白斑病
'nian'mo'zhen 粘膜疹
'nian'ye'xing'shui'zhong 粘液性水肿
'nian'zhu'jun'bing 念珠菌病
'niao'beng 尿崩
'niao'dao'bing 尿道病
'niao'dao'gan'ran 尿道感染
'niao'dao'ji'xing 尿道畸形
'niao'dao'xia'lie 尿道下裂
'niao'du'zheng 尿毒症
'niao'du'zheng'hun'mi 尿毒症昏迷
'niao'ji 尿急
'niao'pin 尿频
'niao'shi'jin 尿失禁
'niao'su'jian'shao 尿素减少
'niao'tong 尿痛
'niao'yi'chang 尿异常
'niao'zhu'liu 尿潴留
'ning'xue'gong'neng'zhang'ai 凝血功能障碍
'ning'xue'mei'yuan'jian'shao 凝血酶原减少
'ning'xue'mei'yuan'zeng'jia 凝血酶原增加
'ning'xue'shi'jian'suo'duan 凝血时间缩短
'ning'xue'shi'jian'yan'chang 凝血时间延长
'ning'xue'yin'zi'jian'shao 凝血因子减少
'ning'xue'yin'zi'zeng'jia 凝血因子增加
'ning'xue'zhang'ai 凝血障碍
'niu'dou'fan'ying'jia'zhong 牛痘反应加重
'nong'du'bing 脓毒病
'nong'niao 脓尿
'nong'pao'xing'zhen 脓疱性疹
'nong'zhong 脓肿
'nuan'qi 暖气
'nv'xing'bu'yu 女性不育
'nv'xing'hui'yin'tong 女性会阴痛
'nv'xing'nan'xing'hua 女性男性化
'nv'xing'ru'fang'e'xing'liu 女性乳房恶性瘤
'nv'xing'ru'fang'liang'xing'liu 女性乳房良性瘤
'nv'xing'ru'fang'liu 女性乳房瘤
'nv'xing'ru'fang'tong 女性乳房痛
'nv'xing'sheng'yu'li'jiang'di 女性生育力降低
'nv'xing'sheng'zhi'qi'bing 女性生殖器病
'nv'xing'xing'kuai'gan'que'shi 女性性快感缺失
'nv'xing'you'bian'xiao'ying 女性诱变效应
'ou'tu 呕吐
'ou'xue 呕血
'pa'jin'sen'zheng'jia'zhong 帕金森症加重
'pa'jin'sen'zong'he'zheng 帕金森综合征
'pai'niao'kun'nan 排尿困难
'pai'niao'zhang'ai 排尿障碍
'pang'guang'ai 膀胱癌
'pang'guang'ji'xing 膀胱畸形
'pang'guang'jie'shi 膀胱结石
'pang'guang'ru'tou'liu 膀胱乳头瘤
'pang'guang'tuo'chui 膀胱脱垂
'pang'guang'yan 膀胱炎
'pen'qiang'yan 盆腔炎
'pi'bing 脾病
'pi'fu'bian'se 皮肤变色
'pi'fu'bing 皮肤病
'pi'fu'fei'hou 皮肤肥厚
'pi'fu'gan'zao 皮肤干燥
'pi'fu'hua'wen'zheng 皮肤划纹症
'pi'fu'huai'si 皮肤坏死
'pi'fu'ji'xing 皮肤畸形
'pi'fu'jie'jie 皮肤结节
'pi'fu'kui'yang 皮肤溃疡
'pi'fu'nian'mo'lin'ba'jie'jie 皮肤粘膜淋巴结节
'pi'fu'qi'wei'yi'chang 皮肤气味异常
'pi'fu'se'su'jian'tui 皮肤色素减退
'pi'fu'shi'leng 皮肤湿冷
'pi'fu'tuo'luo 皮肤脱落
'pi'fu'wei'suo 皮肤萎缩
'pi'fu'wen'li'yi'chang 皮肤纹理异常
'pi'fu'ying'yang'bu'liang 皮肤营养不良
'pi'fu'zai'sheng'bu'liang 皮肤再生不良
'pi'lao 疲劳
'pi'yan 皮炎
'pi'yang'nang'zhong 皮样囊肿
'pi'zhen 皮疹
'pi'zhi'chun'jiang'di 皮质醇降低
'pi'zhi'chun'zeng'jia 皮质醇增加
'pi'zhi'mang 皮质盲
'pi'zhi'yi 皮脂溢
'pi'zhong'da 脾肿大
'pian'ce'fei'da 偏侧肥大
'pian'mang 偏盲
'pian'tan 偏瘫
'pian'tou'tong 偏头痛
'pian'tou'tong'jia'zhong 偏头痛加重
'pian'zhi'kuang'fan'ying 偏执狂反应
'pin'xue 贫血
'pin'xue'wei'te'zhi 贫血未特指
'pou'fu'sheng'chan'shu 剖腹生产术
'pu'tao'mo'yan 葡萄膜炎
'pu'tao'qiu'jun'gan'ran 葡萄球菌感染
'pu'tao'tai 葡萄胎
'qi'dai'yi'chang 脐带异常
'qi'ji'xing 脐畸形
'qi'shan 脐疝
'qi'shi 憩室
'qi'shi'bing 憩室病
'qi'wai'shou'suo 期外收缩
'qi'xiong 气胸
'qian'biao'xue'shuan'xing'jing'mai'yan 浅表血栓性静脉炎
'qian'fang'chu'xie 前房出血
'qian'jia 嵌甲
'qian'jing'mai'yan 浅静脉炎
'qian'lie'xian'bing'jia'zhong 前列腺病加重
'qian'lie'xian'zeng'sheng 前列腺增生
'qian'ting'bing 前庭病
'qiang'jing'mai'xue'shuan'xing'jing'mai'yan 腔静脉血栓性静脉炎
'qie'duan'shu 切断术
'qing'chun'qi'zao'shu 青春期早熟
'qing'du'pian'tan 轻度偏瘫
'qing'guang'yan 青光眼
'qing'tan 轻瘫
'qing'xu'bu'wen'ding 情绪不稳定
'qiu'dan'bai'zeng'jia 球蛋白增加
'qiu'hong'xi'bao'xing'pin'xue 球红细胞性贫血
'qiu'hou'shi'shen'jing'yan 球后视神经炎
'qiu'si'zong'he'zheng 丘斯综合征
'qu'chi 龋齿
'qu'chi'jia'zhong 龋齿加重
'quan'gu'tong'zeng'jia 醛固酮增加
'quan'shen'xing'shui'zhong 全身性水肿
'quan'xue'xi'bao'jian'shao 全血细胞减少
'que'tie'xing'pin'xue 缺铁性贫血
'que'xue'xing'huai'si 缺血性坏死
'que'yang 缺氧
'ran'se'ti'sun'hai 染色体损害
're'chao'hong 热潮红
're'jing'jue 热惊厥
'ren'ge'jie'ti 人格解体
'ren'ge'zhang'ai 人格障碍
'ren'mian'yi'que'xian'bing'du'shi'yan'yang'xing 人免疫缺陷病毒试验阳性
'ren'shen'chu'xie 妊娠出血
'ren'shen'pao'zhen 妊娠疱疹
'ren'shen'shi'yan'jia'yang'xing 妊娠试验假阳性
'ren'shi'bing 认识病
'rong'mo'yang'mo'yan 绒膜羊膜炎
'rong'xue 溶血
'rong'xue'xing'huang'dan 溶血性黄疸
'rong'xue'xing'pin'xue 溶血性贫血
'rou'liu 肉瘤
'rou'liu'yang'bing 肉瘤样病
'rou'ya'zhong'sun'hai 肉芽肿损害
'ru'chuang'kui'yang 褥疮溃疡
'ru'fang'chong'xue 乳房充血
'ru'fang'ji'xing 乳房畸形
'ru'fang'tong 乳房痛
'ru'fang'wei'suo 乳房萎缩
'ru'fang'zeng'sheng 乳房增生
'ru'fang'zhang'da 乳房胀大
'ru'suan'tuo'qing'mei'zeng'jia 乳酸脱氢酶增加
'ru'suan'xing'suan'zhong'du 乳酸性酸中毒
'ru'tou'kui'yang 乳头溃疡
'ru'xian'yan 乳腺炎
'ru'xian'zeng'sheng 乳腺增生
'ru'yi 乳溢
'ruan'gu'ying'yang'bu'liang 软骨营养不良
'san'cha'shen'jing'tong 三叉神经痛
'sao'yang 瘙痒
'sao'yang 骚痒
'se'mang 色盲
'se'shi'zheng 色视症
'se'su'chen'zhuo 色素沉着
'shan'guang'huan'jue 闪光幻觉
'shang'hu'xi'dao'gan'ran 上呼吸道感染
'shang'jian'xia'chui 上睑下垂
'shang'kou'gan'ran 伤口感染
'shang'yun'dong'shen'jing'yuan'sun'hai 上运动神经原损害
'shao'niao 少尿
'shao'niao'zheng 少尿症
'she'bian'se 舌变色
'she'bing 舌病
'she'jing'bu'neng 射精不能
'she'jing'zhang'ai 射精障碍
'she'kui'yang 舌溃疡
'she'ma'bi 舌麻痹
'she'shui'zhong 舌水肿
'she'xiang'cao'fen'zhuo'du'shi'yan'yi'chang 麝香草酚浊度试验异常
'she'yan 舌炎
'shen'ai 肾癌
'shen'bing 肾病
'shen'chu'xing'hong'ban 渗出性红斑
'shen'dong'mai'ying'hua 肾动脉硬化
'shen'fa'yu'bu'quan 肾发育不全
'shen'gong'neng'bu'quan 肾功能不全
'shen'gong'neng'yi'chang 肾功能异常
'shen'ji'shui 肾积水
'shen'jian'zhi'xian'wei'hua 肾间质纤维化
'shen'jie'shi 肾结石
'shen'jing'bing 神经病
'shen'jing'gen'sun'hai 神经根损害
'shen'jing'guan'neng'zheng 神经官能症
'shen'jing'guo'min 神经过敏
'shen'jing'liu 神经瘤
'shen'jing'mai'yan 深静脉炎
'shen'jing'tong 神经痛
'shen'jing'xi'bao'liu 神经细胞瘤
'shen'jing'xian'wei'liu'jia'zhong 神经纤维瘤加重
'shen'jing'xing'er'long 神经性耳聋
'shen'jing'xing'tan'shi 神经性贪食
'shen'jing'xing'yan'shi 神经性厌食
'shen'jing'yan 神经炎
'shen'jing'yi'zhi'yao'e'xing'zong'he'zheng 神经抑制药恶性综合征
'shen'luan'suo 肾挛缩
'shen'nang'zhong 肾囊肿
'shen'nong'zhong 肾脓肿
'shen'pi'zhi'huai'si 肾皮质坏死
'shen'ru'tou'huai'si 肾乳头坏死
'shen'shang'xian'chu'xie 肾上腺出血
'shen'shang'xian'gong'neng'jian'tui 肾上腺功能减退
'shen'shang'xian'pi'zhi'gong'neng'jian'tui 肾上腺皮质功能减退
'shen'shang'xian'pi'zhi'gong'neng'kang'jin 肾上腺皮质功能亢进
'shen'tong 肾痛
'shen'xiao'guan'bing 肾小管病
'shen'xiao'guan'huai'si 肾小管坏死
'shen'xiao'qiu'gong'neng'yi'chang 肾小球功能异常
'shen'xiao'qiu'shen'yan 肾小球肾炎
'shen'xing'niao'beng'zheng 肾性尿崩症
'shen'xue'shuan'xing'jing'mai'yan 深血栓性静脉炎
'shen'yan 肾炎
'shen'yi'zhi 肾移植
'shen'ying'hua 肾硬化
'shen'yu'shen'yan 肾盂肾炎
'shen'zhang'da 肾胀大
'sheng'dai'ma'bi 声带麻痹
'sheng'zhang'chi'huan 生长迟缓
'sheng'zhang'jia'su 生长加速
'sheng'zhi'qi'ji'xing 生殖器畸形
'sheng'zhi'qi'kui'yang 生殖器溃疡
'sheng'zhi'qi'nian'zhu'jun'bing 生殖器念珠菌病
'sheng'zhi'qi'sao'yang 生殖器骚痒
'sheng'zhi'qi'shui'zhong 生殖器水肿
'shi'chan 室颤
'shi'dao'bing 食道病
'shi'er'zhi'chang'bi'suo 十二指肠闭锁
'shi'er'zhi'chang'kui'yang 十二指肠溃疡
'shi'er'zhi'chang'kui'yang'chu'xie 十二指肠溃疡出血
'shi'er'zhi'chang'kui'yang'chuan'kong 十二指肠溃疡穿孔
'shi'er'zhi'chang'kui'yang'fu'fa 十二指肠溃疡复发
'shi'er'zhi'chang'yan 十二指肠炎
'shi'ge'xi'bao'liu 嗜铬细胞瘤
'shi'guan'ai 食管癌
'shi'guan'bi'suo 食管闭锁
'shi'guan'chuan'kong 食管穿孔
'shi'guan'jing'luan 食管痉挛
'shi'guan'jing'mai'qu'zhang 食管静脉曲张
'shi'guan'kui'yang 食管溃疡
'shi'guan'kui'yang'chu'xie 食管溃疡出血
'shi'guan'xia'zhai 食管狭窄
'shi'guan'yan 食管炎
'shi'jian'ge'que'sun 室间隔缺损
'shi'jian'xi'bao'zeng'duo 嗜碱细胞增多
'shi'jue'yi'chang 视觉异常
'shi'li'mo'hu 视力模糊
'shi'mian 失眠
'shi'ming 失明
'shi'ru'tou'shui'zhong 视乳头水肿
'shi'shang'xing'qi'wai'shou'suo 室上性期外收缩
'shi'shang'xing'xin'dong'guo'su 室上性心动过速
'shi'shen 失神
'shi'shen'jing'ru'tou'shui'zhong 视神经乳头水肿
'shi'shen'jing'wei'suo 视神经萎缩
'shi'shen'jing'yan 视神经炎
'shi'shui 嗜睡
'shi'suan'xing'rou'ya'zhong 嗜酸性肉芽肿
'shi'suan'xing'xi'bao'fei'yan 嗜酸性细胞肺炎
'shi'suan'xing'xi'bao'zeng'duo'zheng 嗜酸性细胞增多症
'shi'wang'mo'bing 视网膜病
'shi'wang'mo'chen'dian 视网膜沉淀
'shi'wang'mo'chu'xie 视网膜出血
'shi'wang'mo'dong'mai'xue'shuan'xing'cheng 视网膜动脉血栓形成
'shi'wang'mo'fen'li 视网膜分离
'shi'wang'mo'jing'mai'xue'shuan'xing'cheng 视网膜静脉血栓形成
'shi'wang'mo'shui'zhong 视网膜水肿
'shi'wang'mo'tuo'luo 视网膜脱落
'shi'wang'mo'yan 视网膜炎
'shi'xing'qi'qian'shou'suo 室性期前收缩
'shi'xing'xin'dong'guo'su 室性心动过速
'shi'xing'xin'lv'shi'chang 室性心律失常
'shi'ye'que'sun 视野缺损
'shi'yu'kang'jin 食欲亢进
'shi'yu'que'fa 食欲缺乏
'shi'yu'zheng 失语症
'shi'zhen 湿疹
'shou'zhi'ji'xing 手指畸形
'shu'luan'guan'yan 输卵管炎
'shu'suo'jian'qi'guo'chang 舒缩间期过长
'shu'zhi'chuan'dao'zu'zhi 束支传导阻滞
'shui'mian'zhang'ai 睡眠障碍
'shui'pao'zhen 水疱疹
'shui'zhong 水肿
'si'chan 死产
'si'lie 撕裂
'si'tai 死胎
'si'wang 死亡
'si'wei'yi'chang 思维异常
'si'zhi'ma'bi 四肢麻痹
'suan'xing'lin'suan'mei'sheng'gao 酸性磷酸酶升高
'suan'zhong'du 酸中毒
'suo'zhuang'ya'bao'gan'jun'gan'ran 梭状芽孢杆菌感染
'tai'er'fa'yu'bu'liang 胎儿发育不良
'tai'er'guo'da 胎儿过大
'tai'er'guo'xiao 胎儿过小
'tai'er'jiong'po 胎儿窘迫
'tai'er'nv'xing'nan'xing'hua 胎儿女性男性化
'tai'er'quan'nao'chui'ti'gong'neng'bu'zu 胎儿全脑垂体功能不足
'tai'er'shui'zhong 胎儿水肿
'tai'er'xin'bo'xu'huan 胎儿心搏徐缓
'tai'er'xin'lv'shi'chang 胎儿心律失常
'tai'fen'zeng'jia 胎粪增加
'tai'pan'bing 胎盘病
'tai'xuan'yang'pi'yan 苔癣样皮炎
'tan'bing 痰病
'tan'liang'zeng'duo 痰量增多
'tang'nai'liang'yi'chang 糖耐量异常
'tang'niao 糖尿
'tang'niao'bing 糖尿病
'tang'niao'bing'fu'fa 糖尿病复发
'tang'niao'bing'hun'mi 糖尿病昏迷
'tang'niao'bing'jia'zhong 糖尿病加重
'tang'niao'bing'xing'kui'yang 糖尿病性溃疡
'tang'pi'zhi'ji'su'zeng'jia 糖皮质激素增加
'te'yi'xing'xin'dian'tu'yi'chang 特异性心电图异常
'teng'tong 疼痛
'ti'chou 体臭
'ti'wei'xing'di'xue'ya 体位性低血压
'ti'wei'yi'chang 体位异常
'ti'wen'guo'di 体温过低
'ti'zhong'jian'shao 体重减少
'ti'zhong'jiang'di 体重降低
'ti'zhong'zeng'jia 体重增加
'tian'pao'chuang'yang'fan'ying 天疱疮样反应
'tiao'jie'yi'chang 调节异常
'tie'dai'xie'zhang'ai 铁代谢障碍
'tie'li'you'hong'xi'bao'xing'pin'xue 铁粒幼红细胞性贫血
'tie'li'you'xi'bao'pin'xue 铁粒幼细胞贫血
'tie'zhi'chen'zhuo'chu'xie 铁质沉着出血
'ting'jue'guo'min 听觉过敏
'ting'li'jiang'di 听力降低
'ting'li'sun'hai 听力损害
'ting'li'sun'shang 听力损伤
'tong'bing 酮病
'tong'feng 痛风
'tong'jing 痛经
'tong'kong'bu'deng 瞳孔不等
'tong'kong'fan'she'xue'ruo 瞳孔反射削弱
'tong'kong'san'da 瞳孔散大
'tong'kong'suo'xiao 瞳孔缩小
'tong'xing'fei'pang'zheng 痛性肥胖症
'tong'xing'niao'li 痛性尿沥
'tou'fa'xi'shu 头发稀疏
'tou'lu'ji'xing 头颅畸形
'tou'tong 头痛
'tou'yun 头晕
'tu'yan 突眼
'tui'dong'mai'xue'shuan'xing'cheng 腿动脉血栓形成
'tui'mo'xing'zi'gong'nei'mo'yan 退膜性子宫内膜炎
'tui'qian'xue'shuan'xing'jing'mai'yan 腿浅血栓性静脉炎
'tui'shen'xue'shuan'xing'jing'mai'yan 腿深血栓性静脉炎
'tui'xue'shuan'xing'jing'mai'yan 腿血栓性静脉炎
'tun'yan'kun'nan 吞咽困难
'tuo'fa 脱发
'tuo'shui 脱水
'tuo'ye'guan'geng'zu 唾液管梗阻
'tuo'ye'xian'tong 唾液腺痛
'tuo'ye'xian'zhang'da 唾液腺胀大
'tuo'ye'yi'chang 唾液异常
'tuo'ye'zeng'jia 唾液增加
'wai'er'yan 外耳炎
'wai'sheng'zhi'qi'bu'ming 外生殖器不明
'wai'yin'gan'zao 外阴干燥
'wai'zhou'huai'ju 外周坏疽
'wai'zhou'ju'bu'xing'que'xue 外周局部性缺血
'wai'zhou'shen'jing'sun'hai 外周神经损害
'wan'guan'zong'he'zheng 腕管综合征
'wan'quan'xing'fang'shi'chuan'dao'zu'zhi 完全性房室传导阻滞
'wang'xiang 妄想
'wang'zhuang'qing'ban 网状青斑
'wang'zhuang'xi'bao'zeng'duo 网状细胞增多
'wei'ai 胃癌
'wei'chang'dao'chu'xie 胃肠道出血
'wei'chang'dao'e'xing'zhong'liu 胃肠道恶性肿瘤
'wei'chang'dao'ji'xing 胃肠道畸形
'wei'chang'dao'nian'mo'bian'se 胃肠道粘膜变色
'wei'chang'dao'nian'mo'guang'fan'xing'huai'si 胃肠道粘膜广泛性坏死
'wei'chang'dao'nian'zhu'jun'bing 胃肠道念珠菌病
'wei'chang'yan 胃肠炎
'wei'chang'zhang'qi 胃肠胀气
'wei'chuan'kong 胃穿孔
'wei'fu'bu'bu'shi 胃腹部不适
'wei'gong'neng'wen'luan 胃功能紊乱
'wei'guang 畏光
'wei'jing'luan 胃痉挛
'wei'jue'dao'cuo 味觉倒错
'wei'jue'sang'shi 味觉丧失
'wei'kui'yang 胃溃疡
'wei'kui'yang'chu'xie 胃溃疡出血
'wei'kui'yang'chuan'kong 胃溃疡穿孔
'wei'kuo'zhang 胃扩张
'wei'mo'xing'chang'yan 伪膜性肠炎
'wei'mo'xing'jie'chang'yan 伪膜性结肠炎
'wei'sheng'su'que'shao 维生素缺少
'wei'shi'guan'fan'liu 胃食管返流
'wei'suan'guo'duo 胃酸过多
'wei'suan'guo'shao'zheng 胃酸过少症
'wei'suo'xing'yin'dao'yan 萎缩性阴道炎
'wei'tong 胃痛
'wei'yan 胃炎
'wei'zhuo're 胃灼热
'wu'dao'shou'zu'xu'dong'zheng 舞蹈手足徐动症
'wu'li 无力
'wu'nao'ji'xing 无脑畸形
'wu'niao'zheng 无尿症
'xi'bao'jie'dao'mian'yi'fan'ying 细胞介导免疫反应
'xi'jun'gan'ran 细菌感染
'xi'shou'bu'liang 吸收不良
'xia'qiu'nao'chui'ti'gong'neng'bu'quan 下丘脑垂体功能不全
'xia'zhi'jing'luan 下肢痉挛
'xia'zhi'tong 下肢痛
'xian'bing'du'gan'ran 腺病毒感染
'xian'liu 腺瘤
'xian'ti'fei'da 腺体肥大
'xian'tian'xing'bai'nei'zhang 先天性白内障
'xian'tian'xing'chi'huan'xing'ma'bi 先天性驰缓性麻痹
'xian'tian'xing'duo'mao'zheng 先天性多毛症
'xian'tian'xing'er'long 先天性耳聋
'xian'tian'xing'er'zhi'que'zhi'ji'xing 先天性二肢缺肢畸形
'xian'tian'xing'fei'dong'mai'ban'xia'zhai 先天性肺动脉瓣狭窄
'xian'tian'xing'hei'bian'bing 先天性黑变病
'xian'tian'xing'jia'bing 先天性甲病
'xian'tian'xing'jia'zhuang'xian'gong'neng'jian'tui 先天性甲状腺功能减退
'xian'tian'xing'jia'zhuang'xian'zhong 先天性甲状腺肿
'xian'tian'xing'jing'luan'xing'ma'bi 先天性痉挛性麻痹
'xian'tian'xing'ju'jie'chang 先天性巨结肠
'xian'tian'xing'nao'sun'hai 先天性脑损害
'xian'tian'xing'que'zhi'ji'xing 先天性缺肢畸形
'xian'tian'xing'san'zhi'que'zhi'ji'xing 先天性三肢缺肢畸形
'xian'tian'xing'shan 先天性疝
'xian'tian'xing'shen'shang'xian'sheng'zhi'zong'he'zheng 先天性肾上腺生殖综合征
'xian'tian'xing'shi'ming 先天性失明
'xian'tian'xing'si'zhi'que'zhi'ji'xing 先天性四肢缺肢畸形
'xian'tian'xing'ting'li'zhang'ai 先天性听力障碍
'xian'tian'xing'yan'qiu'zhen'chan 先天性眼球震颤
'xian'tian'xing'yi'zhi'que'zhi'ji'xing 先天性一肢缺肢畸形
'xian'tian'xing'zi'gong'yi'chang 先天性子宫异常
'xian'tian'yu'xing 先天愚型
'xian'wei'dan'bai'rong'jie'zeng'jia 纤维蛋白溶解增加
'xian'wei'nang'xing'ru'xian'yan 纤维囊性乳腺炎
'xian'wei'xing'fei'pao'yan 纤维性肺泡炎
'xian'wei'xing'hai'mian'ti'yan 纤维性海绵体炎
'xian'xian'yan 涎腺炎
'xian'zhao 先兆
'xian'zhao'zi'xian 先兆子痫
'xiao'chang'huai'ju 小肠坏疽
'xiao'chang'jie'mo'yan 小肠结膜炎
'xiao'chang'ju'bu'que'xue 小肠局部缺血
'xiao'chuan 哮喘
'xiao'hong'xi'bao'xing'pin'xue 小红细胞性贫血
'xiao'hua'bu'liang 消化不良
'xiao'hua'xing'kui'yang 消化性溃疡
'xiao'hua'xing'kui'yang'chu'xie 消化性溃疡出血
'xiao'hua'xing'kui'yang'chuan'kong 消化性溃疡穿孔
'xiao'hua'xing'kui'yang'fu'fa 消化性溃疡复发
'xiao'hua'xing'kui'yang'jia'zhong 消化性溃疡加重
'xiao'nao'zong'he'zheng 小脑综合征
'xiao'tou 小头
'xie'jing 斜颈
'xie'kuai'hui'suo'zhi'hou 血块回缩滞后
'xie'kuai'shuan'se 血块栓塞
'xie'shi 斜视
'xie'tiao'yi'chang 协调异常
'xin'ban'mo'bing 心瓣膜病
