'a'weng'san'ri'bu'gong'mi 阿翁三日不供糜
'huai'yin'nian'shao'han'jiang'jun 淮阴年少韩将军
'huan'huan'qi'ming 焕焕其明
'huan'huan'yan'jiang'jun 桓桓燕将军
'huan'le'ta'dang'chu'dao'shang'na'yi'dao 还了他当初道上那一刀
'huan'qin'se'xi'hui'you 絙琴瑟兮会友
'huan'qu'shou'zhong'pa 换取手中帕
'huan'shang'le'zhi'qing'zhan 唤上乐之清湛
'huan'wo'xiao'bao'bao 还我小宝宝
'huan'wu'zhu'xi'rao'qu'heng 环屋竹兮绕渠衡
'huan'xiang'que'fu'da'feng'ge 还乡却赋大风歌
'huan'yu'wei'liao'wan'shi'kong 欢娱未了万事空
'huang'bai'ma'jian'fen'ruan'ying 黄白麻笺分软硬
'huang'di'ping'le'chi'you'de'luan 黄帝平了蚩尤的乱
'huang'he'zhi'shui'ri'ye'liu 黄河之水日夜流
'huang'hua'lao'ren'zui'qi'lv 黄花老人醉骑驴
'huang'ji'yi'ming'guan'li'qi 荒鸡一鸣关吏起
'huang'jin'luo'ma'hua'pan'pao 黄金络马花盘袍
'huang'li'xie'lue'zi'yun'jin 黄鹂斜掠紫云襟
'huang'liang'gu'miao'yi'gao'tai 荒凉古庙依高台
'huang'pan'gu'zhi'kai'pi 恍盘古之开辟
'hui'huan'mian'mian'fu'rong'li 回环面面芙蓉里
'hui'jiang'jian'xia'pin'gu'zhu 会将剑匣拼孤注
'hui'shou'bai'xiang'bei 回首拜向北
'hui'shou'ren'zai'gu'chuan'jian 回首人在故椽间
'hui'wan'xiang'er'han'tai'qing 会万象而涵太清
'hun'po'ju'luan 魂魄拘挛
'hun'shen'nan'shou 浑身难受
'huo'chi'ren'de'dao'zhi'de'le'hao'si 活吃人的盗蹠得了好死
'huo'gai'zai'long'zi'long'sun'shou'zhe'mo 活该在龙子龙孙受折磨
'huo'yi'chun'zhuo'er'shi'dao 或以蠢拙而失导
'huo'yi'wan'guai'er'duo'qun 或以顽乖而堕群
'huo'zhe'ceng'dian'gao'zi'wei 或者层颠高自危
'huo'zhe'jian'song'han'su'su 或者涧松寒簌簌
'huo'zhe'tong'xun'man'tian'du 或者铜薰满天毒
'huo'zhe'zuan'ming'jian'xiao'nao 或者钻名尖削脑
'ji'ban'yao'ling'nao'zhong'xi 击板摇铃闹终夕
'ji'chang'cheng'zhi'wei'pi 及长城之未圮
'ji'e'mei'er'qin'shou 既蛾眉而螓首
'ji'fu'you'yu'qi'jian 寄蜉蝣于其间
'ji'hu'yin'yang'zhi'qi 及乎阴阳之契
'ji'huan'liang'er'kan'yu'duo 髻鬟两珥看欲堕
'ji'huo'di'yu'wu'hao 冀或觌于吾好
'ji'ji'san'zhao'bei'liang'can 寂寂三朝备粮餐
'ji'ju'jie'tan'yao'jiang'shang'lai 几句街谈要讲上来
'ji'ju'ke'tou'xin'hui'zhan 箕踞科头欣挥盏
'ji'shi'shi'ren'gao'cai'wu 记是诗人高蔡吴
'ji'wo'gou'yi 既我觏矣
'ji'xia'chui'pi'qian'gu'kuai 几下捶皮千古快
'ji'xiang'xiu'zhong'cang'ban'xu 急向袖中藏半许
'ji'zuo'de'yang'zhou'kan'hua'ba'ming'hua 积作的扬州看花把命化
'jia'fu'xi'mu'pi'san'ren'gu'ci 贾凫西木皮散人鼓词
'jia'ming'qian'zai'zhen'shang'yin 佳名千载真赏音
'jia'qian'li'zuo'pai'yue'fu'you'jin'gua 驾前里左排钺斧右金瓜
'jia'ren'zi'gu'duo'ming'bo 佳人自古多命薄
'jia'xuan'weng'guo'pei'ti'lv'bi 家铉翁过沛题旅壁
'jia'xuan'weng'jian'xing'xing 家铉翁见星行
'jia'xuan'weng'shou'zeng'yi'shi 家铉翁手赠以诗
'jia'xuan'weng'ti'jiang'tong'zhi 家铉翁题蒋同知
'jia'yang'gui'zi'fu'he'wei 假洋鬼子复何为
'jia'yao'bi'xi'jian'fang 嘉肴苾兮荐芳
'jia'zuo'nan'jing'zheng'le'da'tong 驾坐南京正了大统
'jian'lao'yi'di'you'wei'dao 渐老一第犹未叨
'jian'lie'qie'er'qian'xi'wu'yi'wei'qi 蹇趔趄而前兮无以为期
'jian'qi'liu'xi'bu'ke'ze 蹇其流兮不可则
'jian'ru'yun'zhong'sheng'jian'xiao 渐入云中声渐小
'jian'shan'feng'tou'wang'jie'shi 箭山峰头望碣石
'jian'tai'kong'wu'ceng 渐台空五层
'jian'wu'fan'xi'zhong'zhou 蹇吾返兮中州
'jian'yin'de'xian'tao'guo'zhou'gong'de'zui 监殷的先讨过周公的罪
'jiang'bei'chi'zhe'yi'lai'chang 将被吃者亦来偿
'jiang'he'suo'ke 将何所可
'jiang'jia'wang'chao'wan'dan'le 蒋家王朝完蛋了
'jiang'jun'san'jian'ding'tian'shan 将军三箭定天山
'jiang'shui'gui'jiu 将谁归咎
'jiang'tai'gong'sha'hua'lao'yan'liu'le'zhen 姜太公杀花老眼溜了阵
'jiang'yi'tian'xia'wei'zhi'gu 将以天下为桎梏
'jiang'yu'gui'guai'er'zheng'xing 将与鬼怪而争行
'jiang'yu'ye'pi'zhi'yu 降于野僻之隅
'jiang'zuo'dao'lu'nan 江左道路难
'jiao'an'zhe'jiang'hu'lao'zi'bai'yan'kan 教俺这江湖老子白眼看
'jiao'jiao'xi'ming'yue 皎皎兮明月
'jiao'long'bao'jian'pi'ti'dao 蛟龙宝剑鸊鹈刀
'jiao'long'chu'chuan'zhuan 蛟龙触船转
'jiao'ren'jia'dan'tou'cha'jin'jiang'nan'hua 教人家担头插尽江南花
'jiao'ru'gu'yu'wu'gu 交汝股于吾股
'jiao'tong'wei'xi'hu'cheng'chu 交痛慰兮互乘除
'jie'er'gan'shi'shi'zhi'wei'xue 嗟尔甘石氏之为学
'jie'fang'nan'chao'you'shui'ai'lian 桀放南巢有谁哀怜
'jie'hai'zhan'zao'xing'pian'duo'nai 揭还粘躁性偏多耐
'jie'huang'hu'xi'cu'yan'mie 嗟恍惚兮猝焉灭
'jie'hui'cao'xi'yi'gu'fen 嗟秽草兮衣孤坟
'jie'jiao'chou'lv'shang'ping'ping 结交俦侣尚平平
'jie'jing'jing'wei'zhi'ci'ben'xin'shi 洁净精微只此本心是
'jie'lian'wang'lang'lang'men'suo 揭帘望郎郎门锁
'jie'wei'gu'zhi'ren 嗟维古之人
'jie'xi'si'chang'feng'sha'ye'bo 揭傒斯长风沙夜泊
'jie'xi'si'deng'zhu'rong'feng 揭傒斯登祝融峰
'jie'xi'si'gao'you'cheng 揭傒斯高邮城
'jie'xi'si'gui'lin'ge 揭傒斯桂林歌
'jie'xi'si'ju'yong'xing 揭傒斯居庸行
'jie'xi'si'lan'xiu'xuan 揭傒斯兰秀轩
'jie'xi'si'ti'shuang'long'tu 揭傒斯题双龙图
'jie'xi'si'wo'wo'ting'shi 揭傒斯我我亭诗
'jie'xi'si'yan'shi'jiu'xiong'shi 揭傒斯燕氏救兄诗
'jie'yi'tui'shi'he'yin'qin 解衣推食何殷勤
'jie'yin'shi'zhi'lao 嗟殷氏之老
'jie'yu'wang'xi'wei'jun'zhi'suo 嗟予往兮唯君之所
'jie'yun'yuan'zhong'shi'yu'cha 解愠园中试御茶
'jie'zai'tu'shan'qi'xia'ren'qi'zhou 嗟哉涂山启夏任启周
'jin'cheng'le'hui'chen'yi'pian 尽成了灰尘一片
'jin'chu'ju'yong'bei 今出居庸北
'jin'chun'qing'biao'lai'di'jing 今春擎表来帝京
'jin'dai'liao'jie'tun'xuan'tu 襟带辽碣吞玄菟
'jin'ge'tie'ma'li'zhan'xun 金戈铁马立战勋
'jin'jian'zhu'le'da'yu'jian 锦鞯珠勒大羽箭
'jin'luan'dian'shang'ba'xiao'bang'er'tuo 金銮殿上把孝棒儿拖
'jin'ma'lie'shi'wu 今马列十伍
'jin'nian'hua'jin'fu'ming'nian 今年花尽复明年
'jin'ping'mei'pen'rou'wei'xiang 金瓶梅喷肉味香
'jin'qi'lang'yuan'hua'guang'ru'bi'lv 尽弃阆苑花光如敝履
'jin'qu'huang'huang'dou'wu'lu 今去惶惶都无路
'jin'ren'fu'wei'hou'ren'lian 今人复为后人怜
'jin'ren'kan'hua'xi'ren'mu 今人看花昔人墓
'jin'ri'jian'yin'pai 今日见银牌
'jin'ri'jing'ji'mai'tong'tuo 今日荆棘埋铜驼
'jin'ri'zhi'you'cha'le'hu 今日之游差乐乎
'jin'sao'miao'sui'tang'shi'dai 晋扫描隋唐时代
'jin'shan'si'ying'shui'zhong'yang 金山寺影水中央
'jin'si'hai'wai'wei'feng'jiang 尽四海外为封疆
'jin'wei'geng'zhong'chang 今为耕种场
'jin'ye'ming'yu'yan 今夜鸣玉晏
'jin'zai'wu'wai'ting'er'ku 今在屋外听儿哭
'jing'bian'tan'huang 竟变弹簧
'jing'chai'bu'qun'fu'duan'ku 荆钗布裙夫短裤
'jing'di'zi'kuang'si'jiao'xia 井底自况似娇霞
'jing'hou'tai'guang 敬候台光
'jing'luo'de'zhu'ying'fu'sheng'xiang'ke'cha 净落得烛影斧声响嗑叉
'jing'tai'bu'shou'ai'chen'feng 镜台不受埃尘封
'jing'zi'you 竟自有
'jiu'bing'chong'lai 旧病重来
'jiu'bo'yan'yan'ru'chun'jiang 酒波滟滟如春江
'jiu'cong'dong'fang'zhuan 酒从东方转
'jiu'ge'yue 九歌曰
'jiu'guan'hu'bao'wo'bu'dong 九关虎豹卧不动
'jiu'han'zong'lie'zi'zu'kuai 酒酣纵猎自足快
'jiu'jiao'mu'shang'chi'bu'de 酒浇墓上吃不得
'jiu'ke'xiang'cha'yan 酒渇向茶烟
'jiu'meng'shui'shi'bu'ke'fan 旧梦水逝不可返
'jiu'shi'shao'guang'yi'guo'ban 九十韶光已过半
'jiu'ying'gai'feng'tiao'yu'shun'wan'min'an 就应该风调雨顺万民安
'jiu'zhe'shi'san'pan 九折十三盘
'jiu'zhi'wei'yun'wu'yi'ben'bu'she 久之唯云吾意本不舍
'ju'wo'fu'wo'zhang'zai'bang 鞠我抚我长在傍
'ju'yu'tian'xi'rong'tu'fan'yu'wei'wu 聚于阗兮融吐蕃与畏兀
'juan'lu'he'yi'xie'yu 捲六合以泻雨
'jue'po'fang'qing'ce 觉破房倾侧
'jun'bu'jian'bai'yun'zhi'xing'hu 君不见白云之行乎
'jun'bu'jian'chang'an'cheng'zhong'yong'ning'li 君不见长安城中永宁里
'jun'bu'jian'cheng'yan'zhang'zhao'chen'zhong'ke 君不见瞠眼张爪尘中客
'jun'bu'jian'wu'shan'zhi'yun'hu 君不见吾山之云乎
'jun'bu'wen'chang'an'shi'shang'hua'man'zhi 君不闻长安市上花满枝
'jun'guan'heng'gua'zi'zhi'wen 君观恒卦字之文
'jun'shi'gu'chao'ke'zai'ying 君失故巢可再营
'jun'tu'neng'jia'chang'yun'er'teng'chuo 君徒能驾长云而腾踔
'jun'wang'zuo'you'duo'qing'ying 君王左右多青蝇
'jun'zai'fen'tou'jiu'wu'wu 君在坟头久呜呜
'jun'zi'wan'nian'dang'yong'yu 君子万年当永誉
'kan'chang'jiang'hao'hao'liu'nan'zhu 看长江浩浩流难住
'kang'wang'nan'du'xia'po'le'dan 康王南渡吓破了胆
'ke'fou'xu'zhong'ting'yi'yan 可否虚衷听一言
'ke'fu'he'chu'shen'yuan'fen 克夫何处伸冤愤
'ke'fu'yuan'shi'tian'ding'ye 克夫原是天定也
'ke'lian'chuang'ye'chui'tong'jun 可怜创业垂统君
'ke'lian'jian'da'di'sheng'ling'zhan'xue'hong 可怜见大地生灵战血红
'ke'lian'wu'bu'fei'jing'shen 可怜无补费精神
'ke'shi'shan'zhong'wu'xiang'shu 可是山中无橡术
'ke'tou'xian'zu'wan'ye'cai 科头跣足剜野菜
'kong'bi'zi'shou'chang'zi'zu 空壁自守长自足
'kong'jun'huai'hu'xiao'yao'tou 恐君怀壶笑摇头
'kong'shou'zhe'ji'ge'po'ding're'qi'tao 空守着几个破鼎惹气淘
'kong'tang'ji'sui'tan'yi'wei 空堂几岁叹伊威
'kong'yi'ji'jiu'zhai'zhong'wei'chang 孔乙己酒债终未偿
'kou'chang'jian 扣长剑
'kou'men'wu'ren'shi'wu'fu 扣门无人室无釜
'kou'zhong'mi'mi'jiao 口中咪咪叫
'kou'zhong'yu'li'you'zai'chi 口中馀粒犹在齿
'ku'song'dao'zhi'cang'tai'lie 枯松倒植苍苔裂
'kua'e'zhi'shou'mo'qing'cang 夸娥只手摩青苍
'kua'shou'jian'zhi'jun'ti'xi 誇瘦健之俊蹄兮
'kuai'ji'shou'cheng'cai'shi'yi 会计收成才什一
'kuai'zai'ci'feng 快哉此风
'kuang'dang'xi'shang'feng 旷荡兮商风
'kuang'you'shan'seng'si'chou'xi 况有山僧似畴昔
'kui'de'yi'zhi'bin'bian'xie 窥得一枝鬓边斜
'kui'wo'yi'zhi'nan'zhi'che 馈我以指南之车
'lai'qiang'wo'liao'liu'zhi'qiao'xiao'xi 来戕我僚懰之巧笑兮
'lai'sheng'mo'fang'qie'lai'ci'shi'li 来生莫放妾来此世立
'lai'ti'wo'fa 来薙我发
'lan'gui'zhi'jin'qin'chuan'nv 兰闺织锦秦川女
'lan'ji'wan'xi'fu'zhong'qu 澜既挽兮抚中区
'lan'shang'bu'jie'shi'tao'tian 滥觞不戒使滔天
'lan'sheng'xi'shen'gu 兰生兮深谷
'lang'yan'yuan'jiang'yi'sheng'xin 郎言愿将一生心
'lang'yun'ren'wu'pian'xia'hua'you'jia 郎云人无片瑕花有瘕
'lang'zai'yue'zhong'lei'pin'sa 郎在月中泪频洒
'lao'que'wu'feng 老却无封
'lao'shi'huang'qi'zai'ling'chuang'mei'yan'lei 老始皇欹在灵床没眼泪
'lao'tai'wan'gu'dai'shi'se 老苔万古带石色
'lao'wo'ma'ru'xi'ha'da 劳我马乳兮哈达
'lao'zhou'wang'tang'ran'liu'de'yi'kou'qi 老纣王倘然留得一口气
'lao'zi'jiang'hu'man'zi'jie 老子江湖漫自嗟
'le'ma'ling'xiao'si'wang'tong 勒马淩霄四望通
'le'shi'cong'jin'xiang'ji'zhu 乐事从今相继躅
'le'zhi'jun'zi'shou'wu'jiang 乐只君子寿无疆
'lei'ru'hong'yu'pu'lian'xia 泪如红雨铺脸下
'li'bei'lin'er'yue'chen'feng 历北林而悦晨风
'li'dai'fa'shu'jin'shi'ke 历代法书金石刻
'li'fu'bu'xu'wei 嫠妇不恤纬
'li'ji'qian'wan'nian'guang'jing'chang'ru'xin 历几千万年光景常如新
'li'li'wan'zhang'xi'shuo'feng 厉厉万丈兮朔风
'li'lv'jing'jie'guan'li'xi 里闾惊嗟官吏喜
'li'zhong'fu'lao'zheng'bai'gui 里中父老争拜跪
'li'zi'lin'liu'zhen'shi'mian 笠子临流枕石眠
'lian'mu'wu'ren'yan'shuang'yu 帘幕无人燕双语
'lian'shu'wei'fu'ji'mo'wang 连殳纬甫寂寞亡
'liang'jian'tiao'qi'luan'shi'shan 两肩挑起乱石山
'liang'ren'yi'qu'wu'xiao'xi 良人一去无消息
'liang'xiu'xie'de'tian'xiang'fen 两袖携得天香氛
'lie'ju'zhen'er'yang'zong 列巨阵而扬鬃
'lie'shi'yi'shen'bu'tian'zhou 烈士以身补天周
'lie'su'can'dan'yun'pai'huai 列宿惨淡云徘徊
'lin'feng'lang'yong'tai'bai'ju 临风朗咏太白句
'lin'liu'bu'xie'zhao'qi'zi 临流不屑照其姿
'ling'bo'bu'xi'qi'pei'yu'yi'wei'gong 陵波步兮祈沛雨以为功
'ling'chi'qiu'han'zhi'yong'xi 淩迟秋寒之永兮
'ling'feng'zhi'shang'yun'ying'ying 灵峰之上云英英
'ling'jue'ding'yu'yi'chang'qi 淩绝顶余以长跂
'ling'kong'zhi'pi'li 淩空之霹雳
'ling'ming'tang'tang'zhao'qian'gu 令名堂堂照千古
'ling'ru'gu'xi'yuan'zhu'qing 陵如鼓兮渊渚清
'ling'wu'sheng'yi'you'ran 令吾生以悠然
'ling'zhang'zi'gu'shu'zhou'chao 灵长自古数周朝
'liu'chu'ren'jian'yi'pian'wen'wen'ye 留出人间一片温温夜
'liu'chuan'ren'jian'zhi'ji'xing 流传人间知几姓
'liu'chuan'you'huo'sheng'qi'yi 流传又或生歧异
'liu'ge'yue 六歌曰
'liu'guo'cong'jun'yue 刘过从军乐
'liu'hua'chui'xiang'pu'jiu'gang 柳花吹香扑酒缸
'liu'jin'tie'bing'shuan'lao 六斤铁饼栓牢
'liu'liu'qi'qing 浏浏其清
'liu'long'bin'ri'ban'hai'hong 六龙宾日半海红
'liu'pan'lai'xi'yao'tian'di'zhi'guang 流盼睐兮耀天地之光
'liu'quan'cha'xing'shi'lang'qin'shou'gua 柳圈插杏是郎亲手挂
'liu'ru'bu'ren'hu'shou'shou 柳如不忍忽瘦瘦
'liu'shi'si'chu'dao'bing'dong 六十四处刀兵动
'liu'shi'si'gua'zi'zi'shi'xin'fa 六十四卦字字是心法
'liu'yu'ji'ya'zuo'han'shi 留与饥鸦作寒食
'liu'yue'chang'fei'man'shu'shuang 六月常飞满树霜
'long'gong'bei'fa'xiang'kong'xia 龙公被发向空下
'long'na'feng'jue'xiong'hu'zhi 龙拿凤攫熊虎掷
'long'nu'yu'teng'hu'yu'wu 龙怒欲腾虎欲舞
'long'pan'hu'ju'zhang'shan'he 龙蟠虎踞掌山河
'long'quan'san'chi'fei'qiu'shuang 龙泉三尺飞秋霜
'long'yan'zi'xi'hai'zi'shang 龙颜自喜还自伤
'long'zheng'hu'dou'shua'chang'quan 龙争虎斗耍长拳
'long'zhong'ying'wu'huan'xin'zhu 笼中鹦鹉唤新主
'lu'dao'liu'bian'wang'yin'shui 鹿到流边忘饮水
'lu'ling'xian'zhang'yi'yu'bei 露零仙掌溢玉杯
'lu'long'yun'wu'yi'jiu'qu'ge 卢龙云武夷九曲歌
'lu'qing'shan'bai'men'liu 卢青山白门柳
'lu'qing'shan'bai'yun'ge 卢青山白云歌
'lu'qing'shan'du'juan'shi 卢青山杜鹃诗
'lu'qing'shan'gong'wu'du'he 卢青山公无渡河
'lu'qing'shan'gu'yan'ci 卢青山孤雁词
'lu'qing'shan'jiang'fang'lao'xue'zuo 卢青山将访老薛作
'lu'qing'shan'jiang'gui'er'yu 卢青山将归而雨
'lu'qing'shan'ren'xiao'pi'xie'po'ge 卢青山人笑皮鞋破歌
'lu'qing'shan'shang'you 卢青山上有
'lu'qing'shan'shuang'hai 卢青山双骸
'lu'qing'shan'xing'lu'nan 卢青山行路难
'lu'qing'shan'yu'nv'fei'tian'ge 卢青山玉女飞天歌
'lu'qing'shan'zui'zuo'shu'dao'nan 卢青山醉作蜀道难
'lue'di'he'yu'yi'ai'hao'xi 掠低壑余以哀嗥兮
'lue'tong'duan'lian'chen'cao 略同锻炼晨操
'lun'huan'zhang'hai'bu'gou'ge'li'qian'shao 论还账还不够个利钱梢
'luo'le'ge'pa'hui'zei'tou'xue'ran'sha 落了个扒灰贼头血染沙
'luo'po'jiang'hu'lan'zhe'yao 落魄江湖懒折腰
'luo'yu'guan'gu'di'zhi'xi'cun'xi 落玉关古地之西村兮
'lv'ye'xi'pi'pi 绿叶兮披披
'ma'fan'fan 马翻翻
'ma'gu'liang'bin'chui'qiu'shuang 麻姑两鬓垂秋霜
'ma'ru'liu'shui'che'ru'lei 马如流水车如雷
'ma'shang'yun'yun'lei'ying'ba 马上云云泪盈把
'ma'yi'xi'feng'yao'yu'huan 马亦喜风摇玉环
'mai'mang'mang 麦茫茫
'man'huai'xin'shi'fu'liu'shui 满怀心事付流水
'man'kong'fei'wu'heng'tai'ji 漫空飞舞横太极
'man'kou'wu'fang 满口无妨
'man'man'chang'lu'xi'lin'xue'bing'cui 漫漫长路兮霖雪冰摧
'mang'zhong'fu'lan'shi'qian'shou 忙中腹烂诗千首
'mao'lin'xiu'zhu'lin'qing'liu 茂林脩竹临清流
'mao'wu'cen'ci'shu'zhu'liu 茅屋参差数株柳
'mei'dao'xi'bian'an'zan'hua 每到溪边暗簪花
'mei'jun'zi'xi'lao'wo'xin 美君子兮劳我心
'mei'mei'huang'hun'yue'shang'shan 每每黄昏月上山
'mei'xing'li'de'xie'zi'jiu'wang'nan'beng 没行李的蝎子就往南蹦
'mei'yu'liu'fang 美誉留芳
'mei'zai'zhe'bian'lang'zai'na 妹在这边郎在那
'men'qian'ji'ya'jing'ge'ge 门前鸡鸭惊个个
'men'qian'ma'si'che'lin'lin 门前马嘶车辚辚
'men'wai'shi'er'geng'gu'yi 门外侍儿更故衣
'meng'hun'wu'ye'fei'ting'wei 梦魂无夜非庭闱
'meng'ou'wu'mi'dai'hu'lu 盟鸥无觅带湖路
'meng'yi'zhang'fu 梦一丈夫
'mi'ju'qian'zhi'lan 蜜炬千枝烂
'mian'bi'bu'wei'tu'po'bi 面壁不为图破壁
'mian'wu'tu'xi'he'guang'mao'er'qi'jue 缅吾土兮何广袤而奇崛
'miao'tian'shi'quan'xun'yan'zao 苗田豕圈熏烟灶
'min'jian'wen'xue'jiang'he'shuo 民间文学将何说
'min'wu'yi'shan'ke'bao'tian 民无一善可报天
'ming'fei'ci'zi 名非此字
'ming'yue'wei'dang 明月为珰
'ming'zhong'huo'xiao'teng'sen'hei 溟中火啸腾森黑
'ming'zhong'ru'ci'shui'neng're 命中如此谁能惹
'mo'bai'tang'qian'wu 末拜堂前乌
'mo'dao'qie'hai'chang'qi'chu 莫到妾骸长悽楚
'mo'du'lao'jiao'pan'bu'si 墨蠹老蛟蟠不死
'mo'gui'can'he'bei'yu'yu 莫归惨翮悲欲语
'mo'hu'chen'yan'bu'ke'du 模糊尘眼不可读
'mo'mo'qian'xun'xi'huang'ye 漠漠千寻兮荒野
'mo'shang'fei'wei'liu'chu'hua 陌上霏微六出花
'mo'tian'yi'chang'xing 摩天以长行
'mu'dan'yang'zai'zhu'lan'jia 牡丹养在朱栏家
'mu'ku'shui'lian'du 母哭谁怜独
'mu'mao'jin'jin'gen 母猫紧紧跟
'mu'mo'fu'xi'jiu'jiang 目摩抚兮旧疆
'mu'ye'xia'xuan'shuang 木叶下玄霜
'mu'zhu'qi'wei'su 暮逐旗尾宿
'na'ge'shuo 那个说
'na'lang'chong'hu'bao'ye'bu'de'an'ran 那狼虫虎豹也不得安然
'na'lao'hu'qian'sheng'xiu'xia'ji'ban'fu 那老虎前生修下几般福
'na'pa'dan'pian'sui'kuai 哪怕单篇碎块
'na'yi'ge'shi'ge'shan'pu'sa 那一个是个善菩萨
'na'zhi'dao'yi'ren'fan'guo'zhe'le'dao 那知道异人返国着了道
'nai'dang'chun'ruan'zhi'shi 乃当春软之时
'nai'er'hu'li'yan'que'he 奈尔狐狸燕雀何
'nai'jun'he 奈君何
'nai'ku'ku'er'yu'ta'bu 乃矻矻而欲他逋
'nai'miao'yong'zhi'liu'xing 乃妙用之流行
'nai'yi'xi'wen'zhou'kong'er'wei'gui 乃以羲文周孔而为归
'nai'zai'san'xia'kuang'tao'zhi'suo'shou 乃在三峡狂涛之所守
'nai'zhi'xue'li'mei'hua'jiao'ke'chen 乃知雪里梅花矫可嗔
'nan'chao'chuang'ye'qi'liu'lang 南朝创业起刘郎
'nan'chuang'du'shu'sheng'yi'wu 南窗读书声伊吾
'nan'feng'zheng'gao'bei'feng'qi 南风正高北风起
'nan'yu'shang'qing'tian 难于上青天
'ni'chang'pian'pian'qun'ya'jian 霓裳翩翩群崖间
'ni'he'shi'yu'wo 你何时与我
'ni'kan'na'yuan'zai'er'sun'you'bao'ying 你看那远在儿孙又报应
'ni'kan'ta'bei'bei'ying'xiong'dou'bu'cha 你看他辈辈英雄都不差
'ni'kan'ta'zuo'zhang'zuo'zhi'zhuang'mei'shi 你看他作张作致装没事
'ni'tian'zhi'ren'li'si'gui'yi'si 逆天之人立死跪亦死
'ni'wu'mao'yu'zhi'cu'bi 睨吾毛羽之粗鄙
'nian'cai'tiao'he'shi'qi'ci 年才髫龁失其慈
'nian'can'wu'zhi'ye'xi'yi'wei'wu'mao 拈残梧之叶兮以为吾帽
'nian'gao'ba'zhi'you'kang'qiang 年高八帙犹康强
'nian'nian'hu'cong'chun'shui'xing 年年扈从春水行
'nian'nian'mu'du'guai'xian'zhuang 廿年目睹怪现状
'nian'nian'wu'zhang'qi'qiu'feng 年年五丈起秋风
'nian'yu'chan'zi'ru'long'lin 年馀产子如龙麟
'niang'yun'wei'ci'cheng'shen'jia 娘云唯此称身价
'niang'zai'wu'zhong'ni'xin'jia 娘在屋中拟新嫁
'niao'fei'bu'jin'wu'tian'chang 鸟飞不尽吴天长
'niao'juan'fei'er'zhi'hai 鸟倦飞而知还
'niao'ming'xi'hua'qian 鸟鸣兮花乾
'nie'gan'nu'lu'xun'bai'sui'dan'chen 聂绀弩鲁迅百岁诞辰
'nie'gan'nu'shen'zhi'lai'han 聂绀弩慎之来函
'nie'gan'nu'zhong'san'si'qing'gui 聂绀弩钟三四清归
'nie'nv'jin'zai'mu'jie'jian 孽女近在目睫间
'niu'dou'cang'cang'feng'yu'mu 牛斗苍苍风雨暮
'niu'tou'gao'yi'chi 牛头高一尺
'nong'si'wen'you'zhi'xia'yi'he'guan 弄斯文又制下衣和冠
'nuan'xia'fu'di'hai'tang'xiao 暖霞拂地海棠晓
'nv'de'wang'gong'xiang'pi'xiu 女德王功相匹休
'nv'wa'cuo'e 女娲错愕
'nv'yi'chai'men'bu'hui'shou 女倚柴门不回首
'ou'ran'hui'he'ci'he'chu 偶然会合此何处
'ou'you'xian'qing'xi'fang'jun'yan 偶有閒情兮访君檐
'pa'pa'wu'san'jian'dang'le'da'dian 爬爬屋三间当了大殿
'pai'kong'juan'yun'ruo'fei'dian 排空卷云若飞电
'pai'yun'bian'yu'jiao'chang'he 排云便欲叫阊阖
'pan'pan'luo'han'tai 盘盘罗汉台
'pang'bian'you'ren'geng'qi'ce 旁边有人更凄恻
'pao'xi'shi'ren'shou'she'shen'gu'er'guai 庖牺氏人首蛇身古而怪
'pei'ren'you'yan'ling'shan'xiang 沛人犹言令善相
'peng'pai'sheng'chuan'gu'er'geng 澎湃声传鼓二更
'peng'zu'zhi'ju'hao'yun'long 彭祖之居号云龙
'pi'cun'zhi'tu'bu'gan'ci 皮皴指秃不敢辞
'pi'fu'cun'lie'shi'zhi'tu 皮肤皴裂十指秃
'pi'ma'shui'hui'yi'tian'qing 披麻谁绘倚天青
'pi'ni'jiu'yuan'hu'yu'qi 睥睨九原呼欲起
'pi'shi'sheng'lai'huai 癖嗜生来坏
'pian'pian'de'zheng'gong'zhang'zi'tei'chi'wan 偏偏的正宫长子忒痴顽
'pian'zhou'ai'zhai'fei'suo'chong 扁舟隘窄非所忡
'pian'zhou'guo'hai'dao 扁舟过海岛
'pie'guo'le'zhi'hu'zhe'ye'yi'yan'zai 撇过了之乎者也矣焉哉
'pie'xia'na'xin'xian'hong'xie'chuan'bu'cheng 撇下那新鲜红鞋穿不成
'pin'he'dong'zhi'qing'shuang'se 频呵冻指青霜瑟
'ping'gao'yi'lan'si'hai'kong 凭高一览四海空
'ping'ri'jia'ting'yao'da'du'zhuang'hao'han 平日家挺腰大肚装好汉
'ping'sheng'hao'qi'ru'hong'tu 平生豪气如虹吐
'po'bi'xi'yu'fei 破壁兮欲飞
'po'cen'ji 破岑寂
'po'cheng'bu'xu'feng'dao'bi 破城不须封刀匕
'po'nai'ye'niang'zhi'yi'shi'heng'ba 叵耐爷娘执意实横霸
'po'yun'er'shi'bi'xue'zu 婆云儿是彼血族
'qi'bei'qi'xi'ti'lang'lang 其悲其喜涕浪浪
'qi'cang'hai'heng'bo'zhi're'dao 起沧海横波之热岛
'qi'chuang'shui'qi'wen'zao'ying 绮窗睡起闻早莺
'qi'ge'yue 七歌曰
'qi'gong'bing'er'shou 启功病二首
