'a'na'zha'wang 阿那吒王
'fo'mu'bai'yan 佛母白言
'fo'zai'dao'li'tian 佛在忉利天
'fo'zan'gui'wang 佛赞鬼王
'fu'ai'tian 福爱天
'fu'bai'fo'yan 复白佛言
'fu'ci'di'zang 复次地藏
'fu'ci'guan'shi'yin 复次观世音
'fu'ci'guan'shi'yin'pu'sa 复次观世音菩萨
'fu'ci'pu'guang 复次普广
'fu'ci'xu'kong'cang'pu'sa 复次虚空藏菩萨
'fu'ci'zhang'zhe 复次长者
'fu'du'zhong'sheng 福度众生
'fu'duo'e'dao 复堕恶道
'fu'gong'jing'xin 复恭敬心
'fu'guan'wei'lai'wu'liang'jie'zhong 复观未来无量劫中
'fu'hao'shi'luo'shan'xian 父号尸罗善现
'fu'li'gui'wang 福利鬼王
'fu'li'wu'qiong 福利无穷
'fu'mu'juan'shu 父母眷属
'fu'qi'juan'shu 夫妻眷属
'fu'quan'mo'ru 复劝莫入
'fu'sheng'tian 福生天
'fu'shi'gui'wang 负石鬼王
'fu'shou'chu'sheng 复受畜生
'fu'shui'ji'bi 服水既毕
'fu'sun'xing'ming 复损性命
'fu'you'di'yu 复有地狱
'fu'you'ta'fang'guo'tu'ji'suo'po'shi'jie 复有他方国土及娑婆世界
'fu'you'tie'she 复有铁蛇
'fu'you'tie'ying 复有铁鹰
'fu'you'ye'cha 复有夜叉
'fu'yu'guo'qu'wu'liang'a'seng'qi'jie 复于过去无量阿僧祇劫
'fu'yu'zhong'shi 负于重石
'fu'yuan'di'zang'pu'sa'ju'da'ci'bei 复愿地藏菩萨具大慈悲
'fu'zhu'yu'ru 付嘱于汝
'fu'zi'bo'jue 复自搏攫
'fu'zi'zhi'qin 父子至亲
'gan'fo'kong'zhong'xian 感佛空中现
'gan'wen'shi'zun 敢问世尊
'gao'sheng'chang'yan 高声唱言
'gao'sheng'du'jing 高声读经
'gao'sheng'nian'yi'fo'ming 高声念一佛名
'gao'sheng'nv'yue 告圣女曰
'gao'sheng'zhuan'du'ci'jing'yi'bian 高声转读此经一遍
'gao'wen'shu'shi'li'fa'wang'zi'pu'sa'mo'he'sa 告文殊师利法王子菩萨摩诃萨
'gao'yi'wan'li 高一万里
'gao'yu'guang'mu 告于光目
'gao'zhang'zhe'zi 告长者子
'gao'zhi'mu'sheng'fang 告知母生方
'gao'zhu'da'zhong 告诸大众
'ge'fa'he'yuan 各发何愿
'ge'ge'bu'tong 各各不同
'ge'ge'bu'xiang'zhi 各各不相知
'ge'ge'cha'bie 各各差别
'ge'ge'yu'bai'qian'zhu'xiao'gui'wang 各各与百千诸小鬼王
'ge'ge'yu'zhong 各各狱中
'ge'huo'guo'zheng 各获果证
'ge'jie'zuo'dao'chang 各界坐道场
'ge'ju'ben'ye 各据本业
'ge'le'xian'guan 歌乐弦管
'ge'qian'shi'zhe 各遣侍者
'ge'yi'fang'mian 各以方面
'ge'you'da'li 各有大力
'ge'you'suo'zhi 各有所执
'ge'you'suo'zhu 各有所主
'geng'bu'fu'ru 更不复入
'geng'bu'jing'san'e'dao'ku 更不经三恶道苦
'geng'bu'sheng'you'nv'ren'shi'jie 更不生有女人世界
'geng'bu'wang'shi'yi'ju'yi'ji 更不忘失一句一偈
'geng'fa'guang'da'shi'yan 更发广大誓言
'geng'fu'shao'wu 更附少物
'geng'luo'e'dao 更落恶道
'geng'neng'hui'xiang 更能回向
'geng'neng'mei'ri'nian'pu'sa'ming'qian'bian 更能每日念菩萨名千遍
'geng'neng'yu'ta'miao'qian 更能于塔庙前
'geng'wei'nian'pu'sa'ming 更为念菩萨名
'geng'wu'jian'duan 更无间断
'geng'wu'jian'wen 更无见闻
'geng'wu'zhong'zui 更无重罪
'geng'ye'bei'ti 哽咽悲啼
'geng'yi'xiang'hua 更以香华
'geng'you'bai'qian'zhong'ku'chu 更有百千种苦楚
'geng'you'jiao'huan'di'yu 更有叫唤地狱
'gong'chi'xiang'hua 共持香华
'gong'de'miao'nan'liang 功德妙难量
'gong'de'miao'nan'si 功德妙难思
'gong'de'qing'zhong 功德轻重
'gong'de'ru'hao'mang 功德如毫芒
'gong'de'wu'liang 功德无量
'gong'dian'hao'guang 宫殿毫光
'gong'fu'yi'xing 共复一形
'gong'gui'shen'you 共鬼神游
'gong'hao'ye'hai 共号业海
'gong'ji'chan'mu 供给产母
'gong'jing'chen'bai 恭敬陈白
'gong'jing'he'zhang 恭敬合掌
'gong'su'di'zang'wang 恭塑地藏王
'gong'yang'bai'qian'shou'miao'le 供养百千受妙乐
'gong'yang'bu'shi 供养布施
'gong'yang'di'zang'yi'xiang'hua 供养地藏以香华
'gong'yang'fo'xiang'ji'pu'sa'xiang 供养佛像及菩萨像
'gong'yang'guo'qu'fo 供养过去佛
'gong'yang'pu'sa 供养菩萨
'gong'yang'shi'jia'mou'ni'fo 供养释迦牟尼佛
'gong'yang'zan'tan 供养赞叹
'gong'yang'zan'tan'di'zang'pu'sa'xing'xiang 供养赞叹地藏菩萨形像
'gong'yang'zhan'li 供养瞻礼
'gong'zi'ying'ban 躬自营办
'gu'cheng'wu'jian 故称无间
'gu'lai'gao'shi 故来告示
'gu'mi'bao'bei 谷米宝贝
'gu'wen'ru'lai 故问如来
'gu'yu'da'cheng'jing'dian 故于大乘经典
'guan'shi'yin'yan 观世音言
'guan'yin'mi'le 观音弥勒
'guan'yin'zhi'xin'ting'wu'shuo 观音至心听吾说
'guan'zhong'sheng'ye'yuan'pin'di'san 观众生业缘品第三
'guang'da'ci'bei 广大慈悲
'guang'du'jiang'bi 广度将毕
'guang'du'ren'tian 广度人天
'guang'du'zhong'sheng 广度众生
'guang'du'zui'bei 广度罪辈
'guang'guo'tian 广果天
'guang'li'yi'gu 广利益故
'guang'li'zhong'sheng 广利众生
'guang'mu 光目
'guang'mu'da'yan 光目答言
'guang'mu'mu'zhe 光目母者
'guang'mu'nv'zhe 光目女者
'guang'mu'wen'shuo 光目闻说
'guang'mu'wen'yan 光目问言
'guang'mu'wen'yi 光目闻已
'guang'mu'xin'huan'xi 光目心欢喜
'guang'qiu'xiang'hua 广求香华
'guang'she'da'qian'shi'jie 光摄大千世界
'guang'she'fang'bian 广设方便
'guang'shuo'di'zang'pu'sa'mo'he'sa 广说地藏菩萨摩诃萨
'guang'shuo'fang'bian 广说方便
'guang'wei'shuo'fa 广为说法
'guang'xuan'da'shi'ru'shi'li 广宣大士如是力
'guang'xuan'liu'bu 广宣流布
'guang'yan'shi'jing 广演是经
'guang'yin'tian 光音天
'guang'zao'zhong'shan 广造众善
'guang'zuo'fang'bian 广作方便
'gui'jing'gong'yang 归敬供养
'gui'shen'deng'zhong 鬼神等众
'gui'shen'wei'hu 鬼神卫护
'gui'wang'bai'fo'yan 鬼王白佛言
'gui'wang'wen'sheng'nv'yue 鬼王问圣女曰
'gui'wang'yan'bi 鬼王言毕
'gui'yi'di'zang'pu'sa 归依地藏菩萨
'gui'yi'fa 皈依法
'gui'yi'fa'jing 皈依法竟
'gui'yi'fo 皈依佛
'gui'yi'fo'jing 皈依佛竟
'gui'yi'seng 皈依僧
'gui'yi'seng'jing 皈依僧竟
'guo'bao'zi'shou 果报自受
'guo'du'he'hai 过渡河海
'guo'qu'fu'mu 过去父母
'guo'qu'jiu'yuan'jie'zhong 过去久远劫中
'guo'qu'jue'hua'ding'zi'zai'wang'ru'lai 过去觉华定自在王如来
'guo'qu'wu'liang'a'seng'qi'jie 过去无量阿僧祇劫
'guo'ren'jia'ting 过人家庭
'guo'shi'bao'hou 过是报后
'guo'shi'jie'yi 过是劫已
'guo'shi'ri'hou 过是日后
'hai'dong'shi'wan'you'xun 海东十万由旬
'hai'fu'er'lai 还复而来
'hai'shen 海神
'hai'yi'shan'fa 还以善法
'hai'yun'hao'guang 海云毫光
'hao'bao'sheng'ru'lai 号宝胜如来
'hao'bao'xiang'ru'lai 号宝相如来
'hao'bao'xing'ru'lai 号宝性如来
'hao'bo'tou'mo'sheng'ru'lai 号波头摩胜如来
'hao'da'tong'shan'wang'ru'lai 号大通山王如来
'hao'ji'wu'jian 号极无间
'hao'jia'sha'zhuang'ru'lai 号袈裟幢如来
'hao'ju'liu'sun'fo 号拘留孙佛
'hao'pi'po'shi 号毗婆尸
'hao'shi'zi'hou'ru'lai 号狮子吼如来
'hao'wu'bian'shen'ru'lai 号无边身如来
'hao'yi'qie'zhi'cheng'jiu'ru'lai 号一切智成就如来
'hao'yue'jue'hua'ding'zi'zai'wang'ru'lai 号曰觉华定自在王如来
'hao'yue'shi'zi'fen'xun'ju'zu'wan'hang'ru'lai 号曰狮子奋迅具足万行如来
'hao'yue'tie'wei 号曰铁围
'hao'yue'wu'xiang'ru'lai 号曰无相如来
'he'chi'quan'jing 河池泉井
'he'deng'wei'shi 何等为十
'he'deng'wei'wu 何等为五
'he'duo'e'qu'zhe 合堕恶趣者
'he'gu'de'ru'shi'sheng'xian'yong'hu 何故得如是圣贤拥护
'he'he 贺贺
'he'hu'zi'mu 荷护子母
'he'kuang'ben'zao'e'zhe 何况本造恶者
'he'kuang'bie'sheng'e'jian'hui'mie 何况别生恶见毁灭
'he'kuang'di'zang'pu'sa'zai'sheng'wen'pi'zhi'fo'di 何况地藏菩萨在声闻辟支佛地
'he'kuang'duo'ming 何况多名
'he'kuang'duo'yu 何况多狱
'he'kuang'duo'yu'zhu'e'qu'deng 何况堕于诸恶趣等
'he'kuang'fu'shou 何况复受
'he'kuang'geng'luo'wu'wu'jian'ji'a'bi'di'yu 何况更落五无间及阿鼻地狱
'he'kuang'ji'shen 何况及身
'he'kuang'jian'wen'pu'sa 何况见闻菩萨
'he'kuang'lin'ming'zhong'ren 何况临命终人
'he'kuang'lin'ming'zhong'shi 何况临命终时
'he'kuang'ling'shou 何况令受
'he'kuang'qin'shou'zhu'heng 何况亲受诸横
'he'kuang'ru'men 何况入门
'he'kuang'shan'nan'zi'shan'nv'ren 何况善男子善女人
'he'kuang'shi'fan'zhuan'lun'zhi'bao 何况释梵转轮之报
'he'kuang'su'hua'xing'xiang 何况塑画形像
'he'kuang'wen'zhu'shan'shi 何况闻诸善事
'he'kuang'yi'shi'shou'yong 何况衣食受用
'he'kuang'zhi'xin'cheng'nian 何况志心称念
'he'kuang'zhong'sheng 何况众生
'he'kuang'zi'qing'sha'hai 何况恣情杀害
'he'kuang'zi'xiu'shan'gen 何况自修善根
'he'ren'juan'shu'geng'wei'zeng'ye 何忍眷属更为增业
'he'shen 河神
'he'shou'zhong'bing'zhe 合受重病者
'he'yi'gu 何以故
'he'yuan'lai'ci 何缘来此
'he'zhang'er'tui 合掌而退
'he'zhang'gong'jing 合掌恭敬
'he'zhang'xiang'kong 合掌向空
'he'zhi'ben'zui 合知本罪
'heng'he'sha'jie'shuo'nan'jin 恒河沙劫说难尽
'hong'hao'xiang'guang 红毫相光
'hou'cheng'fo'guo 后成佛果
'hou'duo'di'yu 后堕地狱
'hou'shi'de'ren'shen 后世得人身
'hu'feng'mi'ren'yu'jin'xian'dao 忽逢迷人欲进险道
'hu'gui'he'zhang 胡跪合掌
'hu'jian'zi'shen'dao'yi'hai'bian 忽见自身到一海边
'hu'luo'hong 虎啰吽
'hu'ren'hu'guo 护人护国
'hu'wen'kong'zhong'sheng'yue 忽闻空中声曰
'hu'wen'shi'yu 忽闻是语
'hu'yu'lin'ren 忽遇邻人
'hu'yu'ye'hou 忽于夜后
'hu'zhu'zhong'sheng 护诸众生
'hua'bai'qian'wan'yi'shen 化百千万亿身
'hua'du'shi'fang 化度十方
'hua'le'tian 化乐天
'hua'qian'wan'yi'shen 化千万亿身
'hua'yan'di'si'hui 华严第四会
'hui'bang'da'cheng'zhe 毁谤大乘者
'hui'bang'san'bao 毁谤三宝
'hui'huai'po'luo 毁坏破落
'hui'shou'xiang'nan 回首向南
'hui'xiang'fa'jie 回向法界
'hui'xiang'zhu'you'qing 回向诸有情
'hui'zhong'you'yi'gui'wang 会中有一鬼王
'hui'zhong'you'yi'pu'sa 会中有一菩萨
'hui'zhong'you'yi'pu'sa'mo'he'sa 会中有一菩萨摩诃萨
'hui'zhong'you'yi'zhang'zhe 会中有一长者
'hun'shen'duo'zai'wu'jian'di'yu 魂神堕在无间地狱
'huo'bao'ru'shi 获报如是
'huo'bei'huo'ti 或悲或啼
'huo'bei'mian'fei 或背面非
'huo'bian'zuo'fu'mu 或变作父母
'huo'bu'dei'yu 或不得愈
'huo'bu'shi'gong'yang 或布施供养
'huo'cai'hua'xing'xiang 或彩画形像
'huo'chao'huo'zhu 或炒或煮
'huo'cheng'ming 或称名
'huo'cheng'yi'ju'luo 或城邑聚落
'huo'chou'huo'tan 或愁或叹
'huo'chuang'di'yu 火床地狱
'huo'da'cheng'jing'dian'yi'ju'yi'ji 或大乘经典一句一偈
'huo'da'li'yi 获大利益
'huo'du'fa'xin 或独发心
'huo'duo'bing'ji 或多病疾
'huo'duo'ren'fei 或多人非
'huo'duo'shou'duo'yan 或多手多眼
'huo'duo'xiong'shuai 或多凶衰
'huo'duo'yan'mei 或多魇寐
'huo'fo'xing'xiang 或佛形像
'huo'fu'ju'wu'liang 获福俱无量
'huo'fu'ru'shi 获福如是
'huo'fu'wu'liang 获福无量
'huo'fu'yin'shi 或复饮食
'huo'fu'zan'tan 或复赞叹
'huo'gong'jing'zhe 或恭敬者
'huo'gong'yang 或供养
'huo'gong'yang'fo'xiang 或供养佛像
'huo'gong'yang'jing'xiang 或供养经像
'huo'gou'di'yu 火狗地狱
'huo'hao'fa'xu 或毫发许
'huo'he'zhang'zhe 或合掌者
'huo'hui'huai'zhe 或毁坏者
'huo'jian'di'zang'pu'sa'xing'xiang 或见地藏菩萨形像
'huo'jiao'ren'shu 或教人书
'huo'jing'xian'dao 或经险道
'huo'kong'huo'bu 或恐或怖
'huo'lang'di'yu 火狼地狱
'huo'li'yi'ren 或利益人
'huo'liang'di'yu 火梁地狱
'huo'long'huo'shen 或龙或神
'huo'lu'chi'xiao 或露齿笑
'huo'ma'di'yu 火马地狱
'huo'meng'huo'mei 或梦或寐
'huo'nan'huo'nv 或男或女
'huo'nan'she'shou 或难舍寿
'huo'niu'di'yu 火牛地狱
'huo'nu'huo'bi 或奴或婢
'huo'qie'lan'nei 或伽蓝内
'huo'qing'ren'du 或请人读
'huo'qu'bing'ren'ke'ai'zhi'wu 或取病人可爱之物
'huo'quan'duo'ren'tong'gong'fa'xin 或劝多人同共发心
'huo'quan'ren'gong'fei 或劝人共非
'huo'quan'ta'ren 或劝他人
'huo'quan'yu'fu 或全与负
'huo'ran'you'deng 或燃油灯
'huo'ru'bu'shi 或乳哺时
'huo'san'huo'si 或三或四
'huo'san'sui'wu'sui'shi'sui'yi'xia 或三岁五岁十岁以下
'huo'sha'huo'hai 或杀或害
'huo'shan'di'yu 火山地狱
'huo'shi'bing'ren'wei'zhong'zhi'shi 或使病人未终之时
'huo'shi'chang'zhu 或施常住
'huo'shi'di'yu 火石地狱
'huo'shi'ren'shi 或使人施
'huo'su'huo'hua'da'shi'shen 或塑或画大士身
'huo'sun'hai'ren 或损害人
'huo'tang'sheng'fei 镬汤盛沸
'huo'tian'huo'gui 或天或鬼
'huo'ting'wen'yi'ji'yi'ju 或听闻一偈一句
'huo'tu'shi'jiao'qi 或土石胶漆
'huo'wang'sheng'ji'hui 或妄生讥毁
'huo'wei'di'wang 或为帝王
'huo'wen'di'zang'ben'yuan'shi'xing 或闻地藏本愿事行
'huo'wen'di'zang'pu'sa'ming 或闻地藏菩萨名
'huo'wen'zai'ben'shi 或闻在本识
'huo'wu'di'yu 或无地狱
'huo'wu'di'yu 火屋地狱
'huo'wu'fo'fa 或无佛法
'huo'wu'nv'ren 或无女人
'huo'xian'bi'qiu 或现比丘
'huo'xian'fan'wang'shen 或现梵王身
'huo'xian'guan'shu'shen 或现官属身
'huo'xian'guo'wang'shen 或现国王身
'huo'xian'ju'shi'shen 或现居士身
'huo'xian'nan'zi'shen 或现男子身
'huo'xian'nv'ren'shen 或现女人身
'huo'xian'shan'lin'chuan'yuan 或现山林川原
'huo'xian'shen'gui'shen 或现神鬼身
'huo'xian'tian'di'shen 或现天帝身
'huo'xian'tian'long'shen 或现天龙身
'huo'xian'zai'fu'shen 或现宰辅身
'huo'xian'zhuan'lun'wang'shen 或现转轮王身
'huo'xiang'di'yu 火象地狱
'huo'xiu'bu'ta'si 或修补塔寺
'huo'xuan'fan'gai 或悬幡盖
'huo'ye'meng'e'gui 或夜梦恶鬼
'huo'yi'fu'bao'bei 或衣服宝贝
'huo'yi'huo'er 或一或二
'huo'yi'ji'yi'ju'zhe 或一偈一句者
'huo'yi'ren'fei 或一人非
'huo'yi'sheng'xia 或已生下
'huo'yi'xiang'hua'yi'fu 或以香华衣服
'huo'yin'gong'si 或因公私
'huo'yin'ji'shi 或因急事
'huo'yin'sheng'si 或因生死
'huo'yin'yuan'jia'lei 或因怨家类
'huo'yin'zhi'sheng 或因治生
'huo'ying'di'yu 火鹰地狱
'huo'you'an'dun 或有暗钝
'huo'you'di'yu 或有地狱
'huo'you'duo'yu'e'dao'zhi'zhe 或有堕于恶道之者
'huo'you'fo'fa 或有佛法
'huo'you'li'gen 或有利根
'huo'you'nan'zi'nv'ren 或有男子女人
'huo'you'nv'ren 或有女人
'huo'you'shan'guo 或有善果
'huo'you'xian'dao 或游险道
'huo'you'ye'zhong 或有业重
'huo'yu'meng'zhong 或于梦中
'huo'yu'sheng'shi 或欲生时
'huo'zai'zhu'si 或在诸司
'huo'zan'tan 或赞叹
'huo'zao'fo'pu'sa'xing'xiang 或造佛菩萨形像
'huo'zao'ta'si 或造塔寺
'huo'zhan'li 或瞻礼
'huo'zhan'li'xing'xiang 或瞻礼形像
'huo'zhi'chuang'shang 或置床上
'huo'zhi'jing'xiang 或至经像
'huo'zhi'men'shou 或至门首
'huo'zhi'sha'hai 或至杀害
'huo'zhi'shi'ming 或致失命
'huo'zhong'fu'bei 或中腹背
'huo'zhong'kou'bi 或中口鼻
'huo'zhu'heng'shi 或诸横事
'huo'zhuan'du'zun'jing 或转读尊经
'huo'zhuang'li'jing'dian 或装理经典
'huo'zi'shen'li'yi 或自身利益
'huo'zi'su'hua'pu'sa'xing'xiang 或自塑画菩萨形像
'huo'zi'ying'ban 或自营办
'ji'bai'qian'wan'yi'sheng'zhong 即百千万亿生中
'ji'bian'tui'bu 即便退步
'ji'bu'neng'zuo'ru'shi'bian'hua 即不能作如是变化
'ji'bu'ru'yi'shi 及不如意事
'ji'cheng'si'gong'de 即承斯功德
'ji'da'pu'sa 及大菩萨
'ji'da'pu'sa'mo'he'sa 及大菩萨摩诃萨
'ji'da'shi'zhi'li 及大士之力
'ji'dang'jie'shu 计当劫数
'ji'dang'sui'ye 计当随业
'ji'dang'xin'shou 即当信受
'ji'dang'yan'shuo 即当言说
'ji'dang'yong'ji 即当永记
'ji'dang'zhi'mu'suo'sheng'qu'chu 即当知母所生去处
'ji'de'an'le 即得安乐
'ji'de'chao'yue'si'shi'jie'sheng'si'zhong'zui 即得超越四十劫生死重罪
'ji'de'jie'tuo'san'e'dao'bao 即得解脱三恶道报
'ji'de'pu'sa'mo'ding'shou'ji 即得菩萨摩顶授记
'ji'de'shi'zhong'li'yi 即得十种利益
'ji'di'zang'ming'zi 及地藏名字
'ji'di'zang'pu'sa'mo'he'sa'li 及地藏菩萨摩诃萨力
'ji'di'zang'pu'sa'shi 即地藏菩萨是
'ji'di'zang'pu'sa'yi 及地藏菩萨已
'ji'ge'yong'zan'tan 及歌咏赞叹
'ji'gong'de'li 及功德力
'ji'guang'ju'juan'shu 及广聚眷属
'ji'gui'qi'she 即归其舍
'ji'hu'lang'shi'zi 及虎狼狮子
'ji'hui'san'bao 讥毁三宝
'ji'hui'shi'di'zang'pu'sa 及回视地藏菩萨
'ji'hui'ta'ren'gong'yang 讥毁他人供养
'ji'hui'zhi'bao 讥毁之报
'ji'huo'cong'ming 即获聪明
'ji'huo'mo'ding'shou'sheng'ji 即获摩顶受圣记
'ji'jie'tuo'pu'sa'shi 即解脱菩萨是
'ji'ju'juan'shu 集聚眷属
'ji'li'e'dao 及历恶道
'ji'pi'zhi'fo'ming'zi 及辟支佛名字
'ji'po'luo'men'deng 及婆罗门等
'ji'qi'gan'guo 计其感果
'ji'qi'ming'shu 计其命数
'ji'ran'you'deng 及燃油灯
'ji'san'sheng'shou'le 即三生受乐
'ji'shan'nan'zi'shan'nv'ren 及善男子善女人
'ji'she'suo'ai 即舍所爱
'ji'sheng'chan'fu'nv 及生产妇女
'ji'sheng'ren'tian 即生人天
'ji'sheng'shang'yin 集圣上因
'ji'sheng'ta'jie 寄生他界
'ji'shi'wo'mu 既是我母
'ji'ta'fang'guo'tu 及他方国土
'ji'tian'long'ba'bu 及天龙八部
'ji'tian'long'gui'shen 及天龙鬼神
'ji'tian'long'gui'shen'deng 及天龙鬼神等
'ji'tu'di'fen 及土地分
'ji'tu'shi'jiao'qi'tong'tie'deng'xiang 及土石胶漆铜铁等像
'ji'tun'tie'wan 饥吞铁丸
'ji'wang'liang'jing'mei 及魍魉精魅
'ji'wei'lai'shi'zhong'sheng 及未来世众生
'ji'wei'lai'shi'zhu'zhong'sheng'deng 及未来世诸众生等
'ji'wei'lai'xian'zai'yi'qie'zhong'sheng 及未来现在一切众生
'ji'wen'ci'jing 及闻此经
'ji'wen'ming'zhe 及闻名者
'ji'wu'jin'ri'zai'dao'li'tian'zhong 记吾今日在忉利天中
'ji'wu'jin'yi'pu'sa'shi 即无尽意菩萨是
'ji'xian'zai'zhong'sheng 及现在众生
'ji'xiang'yun'zhong 吉祥云中
'ji'xu'ye'li 即须业力
'ji'yi'bu'lin 疾疫不临
'ji'yi'e'shou 及以恶兽
'ji'yi'qie'zhi'cheng'jiu'ru'lai'shi 即一切智成就如来是
'ji'yi'shen'tong 及以神通
'ji'yi'xing'zhong'zu 及异姓种族
'ji'ying'zhai'zhi'ci 及营斋之次
'ji'you'ru'shi'bu'ke'si'yi'shen'li 既有如是不可思议神力
'ji'yu'meng'zhong'jian'wu'bian 即于梦中见无边
'ji'yu'shou'ming 及与寿命
'ji'zao'e'yuan 及造恶缘
'ji'zao'zhu'du 即遭诸毒
'ji'zheng'pu'ti 即证菩提
'ji'zhi'dao'li 既至忉利
'ji'zhu'gong'ju 及诸供具
'ji'zhu'ku'shi 及诸苦事
'ji'zhu'sha'hai 及诸杀害
'ji'zhu'sheng'xiang 及诸圣像
'ji'zhuan'du'shi'ben'yuan'jing'gu 及转读是本愿经故
'ji'zhuan'du'shi'jing 及转读是经
'ji'zui'bao'e'bao'zhi'shi 及罪报恶报之事
'jia'ling'zhu'shi'fen'san 假令诸识分散
'jia'ru'tian'fu'jin'gu 假如天福尽故
'jia'shi'lai'shi'huo'xian'zai'sheng 假使来世或现在生
'jia'yin'ye'gu 假因业故
'jia'zhai'bu'an 家宅不安
'jia'zhai'xiong'shuai'juan'shu'li 家宅凶衰眷属离
'jia'zhai'yong'an 家宅永安
'jia'zhong'juan'shu 家中眷属
'jian'an'le'gu 见安乐故
'jian'di'zang'pu'sa'xiang 见地藏菩萨像
'jian'di'zang'xing 见地藏形
'jian'di'zang'xing'xiang 见地藏形像
'jian'fo'xiang'hao 见佛相好
'jian'guang'mu'nv'mu 见光目女母
'jian'jian'xiao'mie 渐渐消灭
'jian'jue'hua'ding'zi'zai'wang'ru'lai 见觉华定自在王如来
'jian'kun'jian'zhong 渐困渐重
'jian'pu'sa'xiang 见菩萨像
'jian'ru'xing'zhe 见汝形者
'jian'ru'yi'mu 见汝忆母
'jian'su'hua'xing'xiang 兼塑画形像
'jian'wen'li'yi'pin'di'shi'er 见闻利益品第十二
'jian'wen'zhan'li'yi'nian'jian 见闻瞻礼一念间
'jian'xiu'wu'shang 渐修无上
'jian'you'shan'nan'zi'shan'nv'ren 见有善男子善女人
'jian'zhu'gui'shen 见诸鬼神
'jian'zhu'juan'shu 见诸眷属
'jian'zhu'lao'bing 见诸老病
'jian'zhu'nan'zi'nv'ren 见诸男子女人
'jiang'she'zhai'bao'bei'deng 将舍宅宝贝等
'jiang'shen 江神
'jiang'shi'chang'liu 将是长流
'jiang'shi'ming'zhong'ren'she'zhai'cai'wu 将是命终人舍宅财物
'jiang'si'bu'jiu 将死不久
'jiao'hua'liu'dao'yi'qie'zhong'sheng 教化六道一切众生
'jiao'hua'ru'shi'gang'qiang'zhong'sheng 教化如是刚强众生
'jiao'hua'zhu'xiao'guo'wang 教化诸小国王
'jiao'shi'ling'shu 教视令熟
'jiao'zui'ren'jing 缴罪人颈
'jie'e'xi'zhong 结恶习重
'jie'lai'ji'hui 皆来集会
'jie'ming'an'le 劫名安乐
'jie'shi'da'bu'ke'si'yi'shen'tong'zhi'hui 皆是大不可思议神通智慧
'jie'tuo'yin 解脱音
'jie'yin'di'zang'pu'sa'jiao'hua 皆因地藏菩萨教化
'jie'yin'ru'li 皆因汝力
'jie'yin'shang'lian'tai 接引上莲台
'jie'you'zhan'li'di'zang'xing'xiang 皆由瞻礼地藏形像
'jie'yuan'de'shi'fang 解冤得释放
'jin'cheng'fo'dao 尽成佛道
'jin'cheng'fo'jing 尽成佛竟
'jin'chong'wei'jie 尽充为劫
'jin'ci'bao'hou 尽此报后
'jin'ci'yi'bao'nv'shen 尽此一报女身
'jin'cu'lue'shuo 今粗略说
'jin'fu'tie'shen 尽复铁身
'jin'hao'xiang'guang 金毫相光
'jin'jia'tie'luo 尽驾铁骡
'jin'jian'shi'zun'zan'tan'di'zang'pu'sa 今见世尊赞叹地藏菩萨
'jin'ju'yan'fu'ti 尽居阎浮提
'jin'kou'zan'di'zang 金口赞地藏
'jin'ling'jie'tuo 尽令解脱
'jin'meng'shi'zun'yin'qin'zan'tan 今蒙世尊殷勤赞叹
'jin'se'huang'yao 金色晃耀
'jin'shi'feng'da'cheng 今世讽大乘
'jin'xin'gong'yang'di'zang'pu'sa'hua'xiang 尽心供养地藏菩萨画像
'jin'yin'tong'tie 金银铜铁
'jin'yu'ci'she'deng'chu 近于此舍等处
'jin'zai'e'qu 今在恶趣
'jin'zheng'shi'shi 今正是时
'jing'jin'san'ri 经今三日
'jing'ke'di'zang'xiang 敬刻地藏像
'jing'kou'ye'zhen'yan 净口业真言
'jing'li'shi'ren 敬礼是人
'jing'ming'wang'fo 净名王佛
'jing'shen'ye'zhen'yan 净身业真言
'jing'sheng'bi'shi'bian'shu 经声毕是遍数
'jing'shi'di'zang'xiang 敬事地藏像
'jing'si'shi'jiu'ri'hou 经四十九日后
'jing'yi'ri'yi'ye 经一日一夜
'jing'yi'ye'zhen'yan 净意业真言
'jiu'ba'ku'nan 救拔苦难
'jiu'ba'wu'nan 救拔吾难
'jiu'ba'yi'qie'ye'bao'zhong'sheng 救拔一切业报众生
'jiu'ba'yi'qie'zui'ku'liu'dao'zhong'sheng 救拔一切罪苦六道众生
'jiu'ba'zui'ku'zhong'sheng 救拔罪苦众生
'jiu'chu'an'ming 久处暗冥
'jiu'chu'chuang'zhen 久处床枕
'jiu'du'yi'qie'zhong'sheng'zhe 救度一切众生者
'jiu'du'zhu'zhong'sheng 救度诸众生
'jiu'hu'yi'qie'zui'ku'zhi'shi 救护一切罪苦之事
'jiu'hua'fang'gui 久化方归
'jiu'jing'jie'shu 久经劫数
'jiu'rou'xie'yin'ji'wang'yu 酒肉邪淫及妄语
'jiu'yuan'jie'lai 久远劫来
'jiu'zhe 九者
'ju'bu'de'an 俱不得安
'ju'da'zhi'hui 具大智慧
'ju'de'an'le 俱得安乐
'ju'fu'zhan'li 俱复瞻礼
'ju'gao'shi'ren 具告是人
'ju'jian'di'zang'pu'sa'xian'wu'bian'shen 具见地藏菩萨现无边身
'ju'lai'ji'zai'dao'li'tian'gong 俱来集在忉利天宫
'ju'po'luo'men'zhong 俱婆罗门种
