'a'nan 阿难
'jiu'jing'pu'sa'dao 究竟菩萨道
'jiu'jing'pu'sa'zhu'bo'luo'mi 究竟菩萨诸波罗蜜
'jiu'jing'yi'cheng 究竟一乘
'jiu'jing'yi'qie'pu'sa'suo'xing 究竟一切菩萨所行
'jiu'jing'zhu'dao 究竟诸道
'ju'ren'you'se 惧人有色
'ju'ru'zhen'fo 具如真佛
'ju'zhu'bian'cai 具诸辩才
'ju'zhu'gong'de'ben 具诸功德本
'ju'zu'cheng'jiu'wu'liang'gong'de 具足成就无量功德
'ju'zu'gong'de'cang 具足功德藏
'ju'zu'jie'de'dao 具足皆得道
'ju'zu'yuan'man 具足圆满
'ju'zu'zhuang'yan 具足庄严
'jue'duan'shi'shi 决断世事
'jue'duan'yi'wang 决断疑网
'jue'mie'wu'shao 绝灭五烧
'jue'zheng'sheng'si'ni'huan'zhi'dao 决正生死泥洹之道
'kai'ru'ni'huan 开入泥洹
'kai'shi'sheng'si 开示生死
'kai'shi'wu'qu 开示五趣
'ke'de'ji'chang'sheng 可得极长生
'ke'de'zhi'hui'ming'da 可得智慧明达
'ke'ju'wen'fo 可具问佛
'kong'shi'po'xie 恐势迫胁
'kong'wu'suo'you 空无所有
'kou'chang'yan'e 口常言恶
'kou'chu'wu'shu'guang 口出无数光
'ku'du'wu'liang 苦毒无量
'ku'xin'hui'yu 苦心诲喻
'ku'xin'yu'yu 苦心与语
'kuai'le'wu'ji 快乐无极
'kuai'zai'shen'shan 快哉甚善
'kuang'ruo'xu'kong 旷若虚空
'kui'fu'jing'jie 亏负经戒
'kun'fa'chang'wu 困乏常无
'lai'qi'qian'shi'po'zuo'fu'de 赖其前世颇作福德
'le'ting'ru'shi'jiao 乐听如是教
'le'zai'zheng'lun 乐在正论
'lei'nian'ji'lv 累念积虑
'lei'shi'qin'ku 累世勤苦
'li'e'qu'xin 离恶趣心
'li'gai'qing'jing 离盖清净
'li'wu'liang'shou'fo 礼无量寿佛
'liang'she'e'kou 两舌恶口
'lin'qiong'fang'hui 临穷方悔
'lin'shou'zhong'shi 临寿终时
'ling'chi'wu'shan 令持五善
'ling'huo'wu'de 令获五德
'ling'jian'wu'liang'shou'fo 令见无量寿佛
'ling'li'wu'shao 令离五烧
'ling'qu'wu'tong 令去五痛
'ling'she'wu'e 令舍五恶
'liu'qin'juan'shu 六亲眷属
'liu'qin'zeng'wu 六亲憎恶
'long'mang'yin'ya 聋盲喑哑
'lou'jin'yi'jie 漏尽意解
'lu'hu'di'tu 鲁扈抵突
'lv'hua'qi'xia 率化其下
'man'zu'zhu'miao'yuan 满足诸妙愿
'meng'jian'bi'fo 梦见彼佛
'meng'ming'di'tu 蒙冥抵突
'mi'bu'fen'le 靡不分了
'mi'bu'fu'zai 靡不覆载
'mi'bu'huan'xi 靡不欢喜
'mi'bu'meng'hua 靡不蒙化
'mi'bu'zhao'yao 靡不照耀
'mi'le'bai'yan 弥勒白言
'mi'le'dang'zhi 弥勒当知
'mi'le'pu'sa 弥勒菩萨
'mi'le'pu'sa'bai'fo'yan 弥勒菩萨白佛言
'mi'le'pu'sa'chang'gui'bai'yan 弥勒菩萨长跪白言
'mi'mei'yu'chen'nu 迷没于嗔怒
'mian'lai'xi'se 眄睐细色
'miao'zhi'wu'deng'lun 妙智无等伦
'mie'san'gou'zhang 灭三垢障
'mie'zhu'fan'nao 灭诸烦恼
'ming'xian'man'shi'fang 名显满十方
'ming'xin'fo'zhi 明信佛智
'ming'yao'xian'he 明耀显赫
'ming'yue'bao'zang 名曰宝藏
'ming'yue'de'shou 名曰德首
'ming'yue'gan'lu'wei 名曰甘露味
'ming'yue'li'gou'guang 名曰离垢光
'ming'yue'long'sheng 名曰龙胜
'ming'yue'miao'de'shan 名曰妙德山
'ming'yue'ren'wang 名曰人王
'ming'yue'sheng'li 名曰胜力
'ming'yue'shi'zi 名曰师子
'ming'yue'wu'liang'yin 名曰无量音
'ming'yue'wu'shang'hua 名曰无上华
'ming'yue'wu'wei 名曰无畏
'ming'yue'yuan'zhao 名曰远照
'ming'zhong'de'sheng'wu'liang'shou'guo 命终得生无量寿国
'ming'zhong'zhuan'hua 命终转化
'mo'bu'cheng'tan 莫不称叹
'mo'bu'cheng'yong 莫不承用
'mo'bu'huan'xi 莫不欢喜
'mo'bu'jie'ran 莫不皆然
'mo'bu'jiu'chang 莫不究畅
'mo'bu'zun'jing 莫不尊敬
'mo'neng'jian'zhe 莫能见者
'mo'neng'jiu'sheng'xin 莫能究圣心
'mo'neng'zhi'zhe 莫能知者
'mo'shui'sui'zhe 莫谁随者
'mo'xiang'wei'li 莫相违戾
'nai'fu'san'qian'da'qian'shi'jie 乃覆三千大千世界
'nai'fu'you'fo 乃复有佛
'nai'huo'wen'zheng'fa 乃获闻正法
'nai'zhi'cheng'fo 乃至成佛
'nai'zhi'jin'shi 乃至今世
'nai'zhi'sheng'zhi 乃至胜智
'nai'zhi'shi'nian 乃至十念
'nai'zhi'yi'nian 乃至一念
'nai'zhi'yi'nian'e'shi 乃至一念恶事
'nai'zhi'yi'nian'zhi'xin'hui'xiang 乃至一念至心回向
'nan'de'cheng'shi 难得诚实
'nan'de'jie'tuo 难得解脱
'nan'de'mian'chu 难得勉出
'nan'de'nan'wen 难得难闻
'nan'ke'jiang'hua 难可降化
'nan'ke'ju'jin 难可具尽
'nan'xi'bei'fang 南西北方
'nan'xi'bei'si'wei 南西北四维
'nan'yi'xin'ci'fa 难以信此法
'nan'zhi'nan'jian 难值难见
'nan'zhong'zhi'nan 难中之难
'neng'du'bi'an 能度彼岸
'neng'yu'qi'zhong'duan'xin'zheng'hang 能于其中端心正行
'nian'dao'zhi'zi'ran 念道之自然
'nian'shou'zhong'jin 年寿终尽
'nian'wu'liang'shou'fo 念无量寿佛
'nian'yu'bi'fo 念于彼佛
'ning'chan'bu'zhong 佞谄不忠
'ning'le'bi'chu'bu 宁乐彼处不
'niu'ma'liu'chu 牛马六畜
'nu'bi'qian'cai 奴婢钱财
'nu'li'qin'xiu'shan 努力勤修善
'nu'li'zi'qiu'zhi 努力自求之
'peng'you'wu'xin 朋友无信
'pi'ru'cong'sheng'mang 譬如从生盲
'pi'ru'da'huo'fen'shao'ren'shen 譬如大火焚烧人身
'pi'ru'jie'shui'mi'man'shi'jie 譬如劫水弥满世界
'pi'ru'wang'fa 譬如王法
'pi'ru'yuan'jia 譬如怨家
'pi'ru'zhuan'lun'sheng'wang 譬如转轮圣王
'pian'xuan'zhi'jing 便旋至竟
'pin'fu'gui'jian 贫富贵贱
'pin'qiong'kun'fa 贫穷困乏
'pin'qiong'xia'lie 贫穷下劣
'po'jia'wang'shen 破家亡身
'pu'fu'yi'qie'gu 普覆一切故
'pu'nian'du'yi'qie 普念度一切
'pu'sa'guang'ming 菩萨光明
'pu'sa'sheng'fa 菩萨胜法
'pu'sa'xing'zhi'yuan 菩萨兴至愿
'pu'san'hua'xiang 普散华香
'pu'wei'yi'qie'tian'ren'zhi'shi 普为一切天人之师
'pu'yu'du'tuo'yi'qie'zhong'sheng 普欲度脱一切众生
'pu'zhao'san'qian'da'qian'shi'jie 普照三千大千世界
'pu'zhao'yi'qie'zhu'fo'shi'jie 普照一切诸佛世界
'qi'di'ba'fo 其第八佛
'qi'di'er'fo 其第二佛
'qi'di'jiu'fo 其第九佛
'qi'di'liu'fo 其第六佛
'qi'di'qi'fo 其第七佛
'qi'di'san'fo 其第三佛
'qi'di'shi'er'fo 其第十二佛
'qi'di'shi'fo 其第十佛
'qi'di'shi'san'fo 其第十三佛
'qi'di'shi'yi'fo 其第十一佛
'qi'di'si'fo 其第四佛
'qi'di'wu'fo 其第五佛
'qi'di'yi'fo 其第一佛
'qi'dun'gen'zhe 其钝根者
'qi'er'e'zhe 其二恶者
'qi'fo'ben'yuan'li 其佛本愿力
'qi'gai'gu'du 乞丐孤独
'qi'guo'bu'ni'wei 其国不逆违
'qi'hao'yun'he 其号云何
'qi'hua'zhou'yuan'si'bai'li'zhe 其华周圆四百里者
'qi'juan'suo'si 弃捐所思
'qi'juan'zhi'qu 弃捐之去
'qi'li'gen'zhe 其利根者
'qi'li'ta'xiang 起立塔像
'qi'ren'lin'zhong 其人临终
'qi'san'e'zhe 其三恶者
'qi'shang'bei'zhe 其上辈者
'qi'shou'wei'zhong'jin 其寿未终尽
'qi'shou'wu'shang'zun 稽首无上尊
'qi'shu'ru'heng'sha 其数如恒沙
'qi'si'e'zhe 其四恶者
'qi'tai'sheng'zhe 其胎生者
'qi'wang'sheng'zhe 其往生者
'qi'wu'e'zhe 其五恶者
'qi'xia'bei'zhe 其下辈者
'qi'yi'e'zhe 其一恶者
'qi'yi'jiu'yuan 其已久远
'qi'you'de'wen'bi'fo'ming'hao 其有得闻彼佛名号
'qi'you'pu'sa 其有菩萨
'qi'you'zhi'xin'yu'sheng'bi'guo 其有至心欲生彼国
'qi'you'zhi'xin'yuan'sheng'bi'guo 其有至心愿生彼国
'qi'you'zhi'yuan'sheng'an'le'guo'zhe 其有至愿生安乐国者
'qi'you'zhong'sheng 其有众生
'qi'zhong'bei'zhe 其中辈者
'qi'zhong'suo'you'wei'miao'yan'jing'zi'ran'zhi'wu 其中所有微妙严净自然之物
'qi'zhong'wan'wu'chen'mo'bu'xian 其中万物沉没不现
'qi'zhu'pu'sa 其诸菩萨
'qian'hou'lai'wang 前后来往
'qian'jing'wen'feng'xing 谦敬闻奉行
'qian'ku'suo'zhi 谦苦所致
'qian'ran'xin'yue 佥然欣悦
'qian'yi'wan'jie 千亿万劫
'qiang'duo'wu'dao 强夺无道
'qiang'yu'yi'zhi 强欲抑制
'qiang'zhe'fu'ruo 强者伏弱
'qiao'yan'yu'mei 巧言谀媚
'qie'zi'jian'zhi 且自见之
'qin'er'xing'zhi 勤而行之
'qin'ku'cong'wu 勤苦匆务
'qin'ku'qiu'yu 勤苦求欲
'qin'ku'ru'shi 勤苦如是
'qin'ku'ruo'ci 勤苦若此
'qin'shen'ying'wu 勤身营务
'qin'shu'nei'wai 亲属内外
'qin'xing'qiu'dao'de 勤行求道德
'qin'yi'yu'ren 侵易于人
'qing'bai'zhi'fa 清白之法
'qing'jing'you'jie'zhe 清净有戒者
'qing'man'shi'zhang 轻慢师长
'qing'wu'suo'xi 情无所系
'qiong'li'ji'jiang'shuo 穷力极讲说
'qiong'qiong'song'song 茕茕忪忪
'qiong'ri'zu'sui 穷日卒岁
'qiu'li'bi'chu 求离彼处
'qiu'sheng'bu'de 求生不得
'qiu'si'bu'de 求死不得
'qiu'wang'jie'tuo 求望解脱
'qiu'xin'suo'yuan 求心所愿
'qiu'zhu'da'li 求诸大力
'qu'lai'jin'shi 去来今事
'qu'lai'jin'zhi 去来进止
'qu'yu'wu'jie 取与无节
'ran'han'du'chu'nu 然含毒畜怒
'ran'hou'nai'hui 然后乃悔
'ran'shi'ren'bo'su 然世人薄俗
'ran'you'xin'zui'fu 然犹信罪福
'ren'ci'bo'ai 仁慈博爱
'ren'min'chan'wei 人民谄伪
'ren'neng'yu'zhong'yi'xin'zhi'yi 人能于中一心制意
'ren'neng'zi'du 人能自度
'ren'ru'jing'jin 忍辱精进
'ren'xin'zi'zi 任心自恣
'ren'yong'chen'xia 任用臣下
'ren'yong'shi'gu 人用是故
'ren'you'xin'hui'nan 人有信慧难
'ren'zai'shi'jian 人在世间
'ri'yue'qing'ming 日月清明
'ri'yue'zhao'jian 日月照见
'rou'run'tiao'fu 柔润调伏
'rou'yan'qing'che 肉眼清彻
'ru'ci'zhi'ren 如此之人
'ru'cong'wu'shu'jie'lai 汝从无数劫来
'ru'dao'li'tian 如忉利天
'ru'deng'ge'shan'si'zhi 汝等各善思之
'ru'deng'neng'yu'ci'shi 汝等能于此世
'ru'deng'yi'ge'jing'jin 汝等宜各精进
'ru'deng'yu'shi'guang'zhi'de'ben 汝等于是广植德本
'ru'fa'xiu'xing 如法修行
'ru'fan'tian'wang 如梵天王
'ru'fo'jing'fa 如佛经法
'ru'fo'suo'yan 如佛所言
'ru'fu'jian'bu 汝复见不
'ru'he'bu'qiu'dao 如何不求道
'ru'ji'shi'fang'zhu'tian'ren'min'yi'qie'si'zhong 汝及十方诸天人民一切四众
'ru'jian'bi'guo 汝见彼国
'ru'jiao'feng'xing 如教奉行
'ru'jin'chi'niao 如金翅鸟
'ru'jin'gang'shan 如金刚山
'ru'jin'yi'ke'zi'yan'sheng'si'lao'bing'tong'ku 汝今亦可自厌生死老病痛苦
'ru'jin'zhu'tian'ren'min 汝今诸天人民
'ru'lai'pu'ci'ai'min 如来普慈哀愍
'ru'lai'tiao'fu'zhu'zhong'sheng'li 如来调伏诸众生力
'ru'lai'xing'shi 如来兴世
'ru'lai'zhi'hui'hai 如来智慧海
'ru'ni'ju'lei'shu 如尼拘类树
'ru'qi 汝起
'ru'qi'you'ming 入其幽冥
'ru'san'e'dao 入三恶道
'ru'shi'bu'jue 如是不绝
'ru'shi'deng'li 如是等力
'ru'shi'e'wu 如是恶务
'ru'shi'jiao 如是教
'ru'shi'shi'ren 如是世人
'ru'shi'shuo 如是说
'ru'shi'you'ku 如是忧苦
'ru'shi'zhi'e 如是之恶
'ru'shi'zhi'jing 如是至竟
'ru'shi'zhi'qing'jing 如是致清净
'ru'shi'zhong'e 如是众恶
'ru'shi'zhuan'bei 如是转倍
'ru'shi'zi'wang 如师子王
'ru'shi'zuo 如是作
'ru'shuo'xiu'xing 如说修行
'ru'wo'guo'ye 如我国也
'ru'xu'mi'shan'wang 如须弥山王
'ru'yan'shi'ye 汝言是也
'ru'you'tan'bo'hua 如优昙钵华
'ru'yu'huo'huo 入于火镬
'ru'zhong'you'qin 如众游禽
'ru'zhu'pu'sa'ju'zu'cheng'jiu 如诸菩萨具足成就
'ru'zhuan'lun'wang 如转轮王
'ruo'ci'zhong'sheng 若此众生
'ruo'guang'shuo'zhe 若广说者
'ruo'ren'wu'shan'xin 若人无善心
'ruo'wen'jing'jin'qiu 若闻精进求
'ruo'wen'shen'fa 若闻深法
'ruo'wen'si'jing 若闻斯经
'ruo'you'ci'jing'yu'fo'zhe 若有慈敬于佛者
'ruo'you'zhong'sheng 若有众生
'ruo'you'zhu'xiao'wang'zi 若有诸小王子
'san'hua'shao'xiang 散华烧香
'san'mei'ru'shan'wang 三昧如山王
'san'za'cong'ding'ru 三匝从顶入
'shan'e'bao'ying 善恶报应
'shan'e'bian'hua 善恶变化
'shan'e'huo'fu 善恶祸福
'shan'e'zhi'dao 善恶之道
'shan'e'zhi'qu 善恶之趣
'shan'e'zhi'shi 善恶之事
'shan'e'zi'ran'zhui'xing'suo'sheng 善恶自然追行所生
'shan'li 善力
'shan'ren'xing'shan 善人行善
'shan'tiao'fu'gu 善调伏故
'shan'zhi'ji'mie'yin'sheng'fang'bian 善知集灭音声方便
'shang'wei'neng'jin 尚未能尽
'shang'xia'xiang'ying 上下相应
'shang'xia'yi'fu'ran 上下亦复然
'shang'you'xian'ming'zhang'zhe'zun'gui'hao'fu 上有贤明长者尊贵豪富
'shao'mie'yi'qie'fan'nao'xin'gu 烧灭一切烦恼薪故
'shao'zhang'nan'nv 少长男女
'she'jia'qi'yu'er'zuo'sha'men 舍家弃欲而作沙门
'she'man'shi'jie'huo 设满世界火
'she'yin'jiao'zong 奢淫骄纵
'she'you'da'huo 设有大火
'shen'chang'xing'e 身常行恶
'shen'du'du'tuo 身独度脱
'shen'du'kong'li 身独空立
'shen'duo'wu'shu 甚多无数
'shen'guang'wu'ya'di 深广无涯底
'shen'guang'yi'xun 身光一寻
'shen'ke'ai'min 甚可哀愍
'shen'ming'ji'shi 神明记识
'shen'nan'shen'nan 甚难甚难
'shen'ru'zhu'fa 深入诸法
'shen'se'xiang'hao 身色相好
'shen'shen'shen'shan 甚深甚善
'shen'si'sui'xing 身死随行
'shen'tong'wu'ai 神通无碍
'shen'tong'zi'zai 神通自在
'shen'wang'ming'zhong 身亡命终
'shen'wei'zhi'de 甚为至德
'shen'xiang'guang'ming 身相光明
'shen'xin 深心
'shen'xin'cui'sui 身心摧碎
'shen'xin'ju'lao 身心俱劳
'shen'yu'fu'mu'nian'zi 甚于父母念子
'shen'yu'shen'an 身愚神暗
'shen'yuan'wei'miao 深远微妙
'shen'zi'dang'zhi 身自当之
'shen'zi'hui'ze 深自悔责
'shen'zuo'lao'ku 身坐劳苦
'sheng'bi'bian'di'qi'bao'gong'dian 生彼边地七宝宫殿
'sheng'bi'fo'guo 生彼佛国
'sheng'bi'fo'guo'zhu'pu'sa'deng 生彼佛国诸菩萨等
'sheng'bi'gong'dian 生彼宫殿
'sheng'bi'guo'zhe 生彼国者
'sheng'bi'qi'bao'gong'dian 生彼七宝宫殿
'sheng'dao'wu'qiong'ji 升道无穷极
'sheng'shen'fan'nao 生身烦恼
'sheng'si'bu'jue 生死不绝
'sheng'si'bu'xiu 生死不休
'sheng'si'chang'dao 生死常道
'sheng'si'wu'qiong'yi 生死无穷已
'sheng'wen'huo'pu'sa 声闻或菩萨
'sheng'wen'pu'sa 声闻菩萨
'sheng'wen'pu'sa'yi'qie'guang'ming 声闻菩萨一切光明
'sheng'wu'wei'zhi'an 升无为之安
'sheng'xin 胜心
'sheng'yi'huo'zhe 生疑惑者
'sheng'yu'ta'fang'zhu'fo'guo'zhong'wei'shan'qian'sui 胜于他方诸佛国中为善千岁
'sheng'zai'wu'liang'shou'guo'wei'shan'bai'sui 胜在无量寿国为善百岁
'shi'fang'guo'tu'zhu'fo'ru'lai 十方国土诸佛如来
'shi'fang'heng'sha'zhu'fo'ru'lai 十方恒沙诸佛如来
'shi'fang'lai'zheng'shi 十方来正士
'shi'fang'shi'jie 十方世界
'shi'fang'shi'jie'wu'liang'fo'guo 十方世界无量佛国
'shi'fang'shi'jie'zhu'tian'ren'min 十方世界诸天人民
'shi'gu'a'nan 是故阿难
'shi'gu'dang'fa'yi 是故当发意
'shi'gu'mi'le 是故弥勒
'shi'gu'wo'fa 是故我法
'shi'gu'ying'dang'ming'xin'zhu'fo'wu'shang'zhi'hui 是故应当明信诸佛无上智慧
'shi'gu'ying'dang'zhuan'xin'xin'shou 是故应当专心信受
'shi'gu'yu'bi'guo'tu 是故于彼国土
'shi'jia'fu'fu 室家夫妇
'shi'jian'cong'cong 世间匆匆
'shi'jian'ren'min 世间人民
'shi'jian'ru'shi 世间如是
'shi'jian'you'ci'mu'qian'xian'shi 世间有此目前现事
'shi'jian'zhi'shi 世间之事
'shi'jie'ren'ru'jing'jin'chan'ding'zhi'hui'zhi'li 施戒忍辱精进禅定智慧之力
'shi'qi'ben'zui 识其本罪
'shi'ren'shi'er 世人实尔
'shi'shi'lei'jie 世世累劫
'shi'shi'wu'e 是世五恶
'shi'wei'da'shan 实为大善
'shi'wei'er'da'e'er'tong'er'shao 是为二大恶二痛二烧
'shi'wei'er'da'shan'ye 是为二大善也
'shi'wei'fei'fa 事为非法
'shi'wei'san'da'e'san'tong'san'shao 是为三大恶三痛三烧
'shi'wei'san'da'shan'ye 是为三大善也
'shi'wei'si'da'e'si'tong'si'shao 是为四大恶四痛四烧
'shi'wei'si'da'shan'ye 是为四大善也
'shi'wei'wu'da'e'wu'tong'wu'shao 是为五大恶五痛五烧
'shi'wei'wu'da'shan'ye 是为五大善也
'shi'wei'yi'da'e'yi'tong'yi'shao 是为一大恶一痛一烧
'shi'wei'yi'da'shan'ye 是为一大善也
'shi'wu'zong'she 适无纵舍
'shi'xian'tong'bi 示现同彼
'shi'yi'sheng'si'liu'zhuan 是以生死流转
'shi'you'chang'dao 世有常道
'shi'you'yi 适有一
'shi'yu'ju'you 适欲具有
'shi'zhi'nai'hui 事至乃悔
'shi'zhong'jian'zhi 示众见之
'shi'zun 世尊
'shou'chi'du'song 受持读诵
'shou'fo'zhong'hui 受佛重诲
'shou'ji'cheng'deng'jue 受记成等觉
'shou'jue'dang'zuo'fo 受决当作佛
'shou'le'wu'you'ji 寿乐无有极
'shou'ming'shen'nan'de 寿命甚难得
'shou'ming'zhong'jin 寿命终尽
'shou'qi'yang'fa 受其殃罚
'shou'wu'bai'sui 寿五百岁
'shou'xing'dao'fa 受行道法
'shou'yu'jing'fa 授与经法
'shou'zhong'hou'shi 寿终后世
'shou'zhong'shen'shi 寿终神逝
'shou'zhong'shen'si 寿终身死
'shu'qian'yi'jie 数千亿劫
'shu'zhi'zi'ran 数之自然
'shui'neng'zhi'zhe 谁能知者
'shuo'ci'jing'fa 说此经法
'shuo'shi'yu'yi 说是语已
'si'deng'pu'sa 斯等菩萨
'si'sheng'zhi'qu 死生之趣
'si'shi'yi'pu'sa 四十亿菩萨
'si'suo'qu'xiang 死所趣向
'si'wang'chu'ru 私妄出入
'si'wei'shang'xia 四维上下
'si'xiang'en'hao 思想恩好
'si'xiang'wu'yi 思想无益
'si'xin'dang'yi 肆心荡逸
'si'you'qi'deng 思有齐等
'su'bu'wei'shan 素不为善
'su'shi'jian'zhu'fo 宿世见诸佛
'su'shi'zhi'shi 宿世之时
'su'yu'yan'dai 宿豫严待
'sui'bu'ji'shi 虽不即时
'sui'bu'ji'shi'zu'bao'ying'zhi 虽不即时卒暴应至
'sui'bu'neng'xing'zuo'sha'men 虽不能行作沙门
'sui'cheng'da'e 遂成大恶
'sui'feng'si'san 随风四散
'sui'qi'qian'hou 随其前后
'sui'shun'zhi'hui 随顺智慧
'sui'xin'si'xiang 随心思想
'sui'xin'suo'nian'hua'xiang'ji'yue 随心所念华香伎乐
'sui'xin'suo'yuan 随心所愿
'sui'yi'kai'dao 随宜开导
'sui'yi'mo'mie 随以磨灭
'sui'yi'shi'qin'ku 虽一世勤苦
'sui'yi'suo'yuan 随意所愿
'sui'yi'zi'zai 随意自在
'sui'you'yu'le 虽有余乐
'sui'zui'qu'xiang 随罪趣向
'suo'chu'gong'dian 所处宫殿
'suo'dang'wei'zhe 所当为者
'suo'ke'jiang'shuo 所可讲说
'suo'shou'shou'ming 所受寿命
'suo'shuo'kuai'shan 所说快善
'suo'yi'meng'de'du'tuo 所以蒙得度脱
'suo'yi'zhe'he 所以者何
'suo'yu'ru'yu 所语如语
'suo'zi'you'wu 所资有无
'suo'zuo'zhi'cheng 所作至诚
'ta'fang'fo'guo 他方佛国
'ta'fang'fo'tu 他方佛土
'ta'fang'zhu'da'pu'sa 他方诸大菩萨
'tai'sheng'hua'sheng 胎生化生
'tan'lang'yu'cai'se 贪狼于财色
'tan'yi'shou'xi 贪意守惜
'tang'you'yi'yi 倘有疑意
'te'liu'ci'jing 特留此经
'tian'dao'chi'zhang 天道弛张
'tian'dao'jiong'ran 天道冏然
'tian'di'zhi'jian 天地之间
'tian'ren'zhi'lei 天人之类
'tian'shen'ji'shi 天神记识
'tian'shen'ke'shi 天神克识
'tian'xia'he'shun 天下和顺
'tian'xia'jiu'jiu 天下久久
'tian'yan'tong'da 天眼通达
'ting'fo'jing'yu 听佛经语
'ting'shou'jing'fa 听受经法
'tong'bu'ke'yan 痛不可言
'tong'da'zhu'fa'xing 通达诸法性
'tong'ku'ji'xing 痛苦极刑
'tong'zai'ke'shang 痛哉可伤
'wan'er'qian'na'you'ta'ren 万二千那由他人
'wan'zhong'ji'yue 万种伎乐
'wang'fa'lao'yu 王法牢狱
'wang'jin'wu'liang'jue 往觐无量觉
'wang'sheng'an'le'guo 往生安乐国
'wang'sheng'bi'guo 往生彼国
'wang'sun'zhong'liang 妄损忠良
'wang'yan'qi'yu 妄言绮语
'wang'yi'shi'fang'wu'liang'shi'jie 往诣十方无量世界
'wang'yi'wu'liang'shou'fo'suo 往诣无量寿佛所
'wang'zuo'fei'fa 妄作非法
'wei'chang'ning'xi 未尝宁息
'wei'chu'wu'ni 唯除五逆
'wei'ci'jian'duo'e 唯此间多恶
'wei'dao'de'dao 为道得道
'wei'de'li'shan 为德立善
'wei'de'wei'wei 威德巍巍
'wei'e'de'e 为恶得恶
'wei'e'ru'zui 为恶入罪
'wei'e'wu'chi 为恶无耻
'wei'e'zhe'shao 为恶者少
'wei'fo'du'ming'liao 唯佛独明了
'wei'fu'wai'dao'gu 威伏外道故
'wei'ji'you'dao 谓己有道
'wei'jian'da'shui 唯见大水
'wei'jian'fo'guang 唯见佛光
'wei'ke'chang'er 谓可常尔
'wei'le'zheng'dao 唯乐正道
'wei'li'fan'ni 违戾反逆
'wei'miao'an'le'qing'jing'ruo'ci 微妙安乐清净若此
'wei'miao'nan'si'yi 微妙难思议
'wei'ni'tian'di 违逆天地
'wei'qi'suo'qi 为其所欺
'wei'ran 唯然
'wei'ran'yuan'shuo'yi 唯然愿说意
'wei'ren'yan'shuo 为人演说
'wei'shan'zhe'duo 为善者多
'wei'shen'guang'ming 威神光明
'wei'shen'wu'ji 威神无极
'wei'shi'da'li 为失大利
'wei'shi'deng'ming 为世灯明
'wei'shi'wu'ji 威势无几
'wei'shi'zhi'qian 未食之前
'wei'wang'xing'shi 为妄兴事
'wei'xi'jian'bu 为悉见不
'wei'xiang'zeng'ji 微相憎嫉
'wei'xin'zou'shi 为心走使
'wei'zhi'bu'ran 谓之不然
'wei'zhi'tai'sheng 谓之胎生
'wei'zhi'xiao'hua 威制消化
'wei'zhu'sheng'wen'pu'sa'tian'ren 为诸声闻菩萨天人
'wei'zui'ju'ku 为最剧苦
'wen'ci'jing'zhe 闻此经者
'wen'fa'neng'bu'wang 闻法能不忘
'wen'fa'neng'xing 闻法能行
'wen'fa'yue'shou'xing 闻法乐受行
'wen'fo'suo'shuo 闻佛所说
'wen'ming'yu'wang'sheng 闻名欲往生
'wen'qi'ming'hao 闻其名号
'wen'shen'shen'fa 闻甚深法
'wen'shi'jing'fa 闻是经法
'wo'ai'min'ru'deng'zhu'tian'ren'min 我哀愍汝等诸天人民
'wo'dan'shuo'shi'fang'zhu'fo'ming'hao 我但说十方诸佛名号
'wo'dan'wei'ru'lue'yan'zhi'er 我但为汝略言之耳
'wo'jin'wei'ru'lue'shuo'zhi'er 我今为汝略说之耳
'wo'jin'yu'ru 我今语汝
'wo'yi'ci'bei'ai'min 我以慈悲哀愍
'wu'ai'ru'deng'tian'ren'zhi'lei 吾哀汝等天人之类
'wu'bai'sui'zhong'shou'zhu'e'ye 五百岁中受诸厄也
'wu'bi'wu'wo 无彼无我
'wu'chang'gen'ben 无常根本
'wu'cong'she'li 无从舍离
'wu'dao'fen'ming 五道分明
'wu'de'fan'ye 无得犯也
'wu'de'sui'xin'suo'yu 勿得随心所欲
'wu'de'tan'xi 无得贪惜
'wu'de'yi'huo'zhong'hui 无得疑惑中悔
'wu'de'yi'wo'mie'du'zhi'hou 无得以我灭度之后
'wu'de'zong'she 无得纵舍
'wu'deng'wu'lun'zui'shang'sheng'zhi 无等无伦最上胜智
'wu'fan'dao'jin 勿犯道禁
'wu'fen'hen'xin 无忿恨心
'wu'fu'tan'hui'yu'chi'ku'nao'zhi'huan 无复贪恚愚痴苦恼之患
'wu'gan'kui'fu 无敢亏负
'wu'guo'ci'nan 无过此难
'wu'jin'wei'zhu'zhong'sheng 吾今为诸众生
'wu'jing'wu'song 无竞无讼
'wu'ke'le'zhe 无可乐者
'wu'ke'liao'lai 无可聊赖
'wu'ke'nai'he 无可奈何
'wu'liang'ku'nao 无量苦恼
'wu'liang'miao'hua 无量妙华
'wu'liang'shou'fo 无量寿佛
'wu'liang'shou'guo 无量寿国
'wu'liang'wu'shu'zhu'pu'sa'zhong 无量无数诸菩萨众
'wu'liang'wu'xian 无量无限
'wu'liang'zhong'sheng 无量众生
'wu'mao'fa'zhi'e 无毛发之恶
'wu'neng'ji'he 无能几何
'wu'neng'sheng'gu 无能胜故
'wu'niu'ma'liu'chu 无牛马六畜
'wu'pin'wu'fu 无贫无富
'wu'qiong'wu'ji 无穷无极
'wu'qu'shi'hou 吾去世后
'wu'ran'zhu'xin 无染著心
