'a'duo'nuo 阿多诺
'huang'lao 黄老
'huang'lao'dao'de'zhi'shu 黄老道德之术
'huang'li'zhou 黄梨洲
'huang'liao 黄缭
'huang'ling'shuang 黄凌霜
'huang'long'san'guan 黄龙三关
'huang'nan'sen 黄枬森
'huang'shang'di 皇上帝
'huang'shi'long 黄石龙
'huang'tian 皇天
'huang'wan 黄绾
'huang'zhen 黄震
'huang'zong 黄宗
'huang'zong'xi 黄宗羲
'hui'dong 惠栋
'hui'guan 慧观
'hui'he'zong'jiao 会合宗教
'hui'hu'bu'hui'hu 回互不回互
'hui'ji 慧寂
'hui'jiao 慧皎
'hui'lin 慧琳
'hui'nan 慧南
'hui'neng 惠能
'hui'neng 慧能
'hui'ren'bu'juan 诲人不倦
'hui'shi 惠施
'hui'si 慧思
'hui'wen 慧文
'hui'yi'shuo 回忆说
'hui'yu'zhi'ming 毁誉之名
'hui'yuan 慧远
'hui'zhong'he'yi 会众合一
'hui'zi 惠子
'hun'dun 浑沌
'hun'lun 浑论
'hun'po 魂魄
'hun'qi 魂气
'hun'tian'shuo 浑天说
'hun'zhi 魂知
'huo'bu're 火不热
'huo'de'xing'fu 获得幸福
'huo'dong'neng'li 活动能力
'huo'fu'xiang'yi 祸福相倚
'huo'ke'hai'mo 霍克海默
'huo'qi'yi'ye 火气一也
'huo'shi 或使
'huo'yi'yuan'lun 火一元论
'huo'yun'shui'huo 火运水火
'ji'an 汲黯
'ji'ben'mao'dun 基本矛盾
'ji'ben'nei'he 基本内核
'ji'ben'qu'xiang 基本取向
'ji'ben'wen'ti 基本问题
'ji'bian'lun 激变论
'ji'cang 吉藏
'ji'dan 姬旦
'ji'de'cheng'fo 疾得成佛
'ji'dong'er'qiu'jing 即动而求静
'ji'du'jiao'shen'xue 基督教神学
'ji'du'jiao'shen'xue'guan'nian 基督教神学观念
'ji'du'jiao'wen'lun 基督教文论
'ji'er'fan 极而反
'ji'feng 机锋
'ji'gao'ming'er'dao'zhong'yong 极高明而道中庸
'ji'ji 既济
'ji'jian 积渐
'ji'jiu'guan'tong 积久贯通
'ji'kang 嵇康
'ji'le'shi'jie 极乐世界
'ji'liang 季梁
'ji'liang'ming'yi 济两明一
'ji'lu 季路
'ji'min'jian'tian 即民见天
'ji'qi'ben'ti 即其本体
'ji'qiao'chao'feng 讥诮嘲讽
'ji'quan'zhu'yi'guo'jia 极权主义国家
'ji'ran 计然
'ji'san'zu 鸡三足
'ji'shan'cheng'xing 继善成性
'ji'shen'cheng'fo 即身成佛
'ji'shen'jiu'ji 极深究几
'ji'shi'ding'shu 稽实定数
'ji'shu'ye 嵇叔夜
'ji'shui'cheng'yuan 积水成渊
'ji'suo'bu'yu 己所不欲
'ji'ti'weng'de'zhi'nuo 基提翁的芝诺
'ji'tu'cheng'shan 积土成山
'ji'wan'wu'zhi'zi'xu 即万物之自虚
'ji'wei 极微
'ji'wu'qiong'li 即物穷理
'ji'wu'shi'ce 即物实测
'ji'xin 机心
'ji'xu'wang 疾虚妄
'ji'yan'chu'yi 寄言出意
'ji'yi'suo'sheng 集义所生
'ji'you'zhe'jie'you 济有者皆有
'ji'yu'da'er'da'ren 己欲达而达人
'ji'yu'li'er'li'ren 己欲立而立人
'ji'zhen 季真
'ji'zhi'er'hou'zhi 及知而后知
'ji'zhi'jie'ti 寂知揭体
'ji'zhong'san 嵇中散
'jia'gou 架构
'jia'kui 贾逵
'jia'ming 假名
'jia'si'xie 贾思勰
'jia'wu 假物
'jia'xiang'jian'yi 假象见意
'jia'yi 贾谊
'jia'yi'bei'fa 加一倍法
'jia'you 假有
'jian'ai 兼爱
'jian'bai'tong'yi 坚白同异
'jian'bie 兼别
'jian'dan 减担
'jian'du 见独
'jian'fen 见分
'jian'hua 渐化
'jian'li'si'yi 见利思义
'jian'li'yu'shi 见理于事
'jian'ming 兼名
'jian'shao'shou'xing 减少兽性
'jian'shi 鉴识
'jian'shun 健顺
'jian'ti 见体
'jian'wu 渐悟
'jian'wu'bu'ru 见侮不辱
'jian'xian'si'qi 见贤思齐
'jian'xiang'ai 兼相爱
'jian'xiang'sheng 间相胜
'jian'xing 践形
'jian'xing'cheng'fo 见性成佛
'jian'yi'yi'bie 兼以易别
'jian'you 贱有
'jian'zhen 鉴真
'jiang'fan 江藩
'jiang'jie'shi 蒋介石
'jiang'ke'bi'ji 讲课笔记
'jiang'tian'ji 江天骥
'jiang'wei'qiao 蒋维乔
'jiao'hong 焦竑
'jiao'hui'di 交会地
'jiao'lun'ji 交轮几
'jiao'tiao'zhu'yi 教条主义
'jiao'xiang'li 交相利
'jiao'xiang'pan'shi 教相判释
'jiao'xue'fang'fa 教学方法
'jiao'xue'guo'cheng 教学过程
'jiao'xue'li'lun 教学理论
'jiao'xue'si'xiang 教学思想
'jiao'xun 焦循
'jie'bi 解蔽
'jie'gong 洁宫
'jie'ji'dou'zheng 阶级斗争
'jie'ji'fen'xi'fa 阶级分析法
'jie'ji'jie'gou 阶级结构
'jie'ji'xing 阶级性
'jie'ji'yi'shi 阶级意识
'jie'lv 戒律
'jie'ni 桀溺
'jie'tian'cheng'neng 竭天成能
'jie'tuo 解脱
'jie'xi 接习
'jie'yi'ban'bo 解衣般礴
'jie'yong 节用
'jie'yu 接舆
'jie'yu'fan'xing 节欲反性
'jie'zang 节葬
'jie'zi 接子
'jin'di'li 尽地力
'jin'gang'zhi 金刚智
'jin'gong'qin'bing 禁攻寝兵
'jin'hua'lun 进化论
'jin'jian 尽见
'jin'lv'xiang 金履祥
'jin'ri'shi'yue'er'xi'lai 今日适越而昔来
'jin'shan'jin'mei 尽善尽美
'jin'tian'di'gu'jin'jie'er 尽天地古今皆二
'jin'xin'zhi'xing 尽心知性
'jin'xing 尽性
'jin'yu'zhu'yi 禁欲主义
'jin'yue'lin 金岳霖
'jing'de'bao'min 敬德保民
'jing'du 静笃
'jing'fang 京房
'jing'guan 静观
'jing'gui'shen'er'yuan'zhi 敬鬼神而远之
'jing'hua 净化
'jing'ji'dou'zheng 经济斗争
'jing'ji'fan'chou 经济范畴
'jing'ji'ji'chu 经济基础
'jing'ji'zhe'xue 经济哲学
'jing'jie 境界
'jing'jing'gong'fu 敬静工夫
'jing'qi 精气
'jing'quan 经权
'jing'shen 精神
'jing'shen'ju'xing'ti 精神居形体
'jing'shen'ke'xue 精神科学
'jing'shen'xiu'yang 精神修养
'jing'shi'ying'wu 经世应务
'jing'shi'zhi'yong 经世致用
'jing'shuang 精爽
'jing'tu 净土
'jing'wei'zao'jun 静为躁君
'jing'xue'ji'li'xue 经学即理学
'jing'yan 经验
'jing'yan'lun 经验论
'jing'yan'zhu'yi 经验主义
'jing'yi'gan 惊异感
'jing'yi'ru'shen'yi'zhi'yong 精义入神以致用
'jing'yin'zhi'dao 静因之道
'jing'yuan'pai 经院派
'jing'yuan'zhe'xue 经院哲学
'jing'ze'sheng'hui 静则生慧
'jing'zhe'xin'zao 境者心造
'jing'zhong'qing 景中情
'jiu'jing 九经
'jiu'jing'jue 究竟觉
'jiu'ju'yin 九句因
'jiu'mo'luo'shen 鸠摩罗什
'jiu'pin'lian'tai 九品莲台
'jiu'shou 九守
'jiu'si 九思
'jiu'tian 九天
'ju'an'si'wei 居安思危
'ju'ben'tong'mo 举本统末
'ju'bu'fang 矩不方
'ju'fen'jin'hua 俱分进化
'ju'jing 居敬
'ju'ti'er'wei 具体而微
'ju'yi'fan'san 举一反三
'jue'dai 绝待
'jue'di'tian'tong 绝地天通
'jue'dui'bu'hui 绝对不会
'jue'dui'zhen'li 绝对真理
'jue'ji'xuan'hui 绝迹玄会
'jue'ren'qi'yi 绝仁弃义
'jue'sheng'qi'zhi 绝圣弃智
'jue'xian'yu 绝羡欲
'jue'xing 觉性
'jue'zhao 觉照
'jun'chen'gong'zhi 君臣共治
'jun'chen'wu'chang'wei 君臣无常位
'jun'heng'lun 均衡论
'jun'huo 君火
'jun'min'yi'ti 君民一体
'jun'quan'shen'shou 君权神授
'jun'wei'tian'xia'zhi'da'hai 君为天下之大害
'jun'xiang'dao'he 君相道合
'jun'xing'zhe 君形者
'jun'zi'yu'yu'yi 君子喻于义
'kai'ming'zi'ying 开明自营
'kai'wu'cheng'wu 开物成务
'kang'nan'hai 康南海
'kang'seng'hui 康僧会
'kang'you'wei 康有为
'kang'yu'zhi 康与之
'kao'ci'ji 考茨基
'ke'di'la'si'pian 克堤拉斯篇
'ke'er'shi 科尔施
'ke'guan'shi'zai'xing 客观实在性
'ke'guan'wei'xin'zhu'yi 客观唯心主义
'ke'ji'fu'li 克己复礼
'ke'ji'jin'wu 克己尽物
'ke'lei'an'de 克雷安德
'ke'li'tong'pian 克力同篇
'ke'lin'si 科林斯
'ke'lv'xi'bo 克吕西波
'ke'neng'xing 可能性
'ke'qin 克勤
'ke'xi'ke 科西克
'ke'xing 客形
'ke'xue'de'ren'sheng'guan 科学的人生观
'ke'xue'shen 科学神
'ke'xue'shi'yan'de'fang'fa 科学实验的方法
'ke'xue'xing 科学性
'ke'xue'yu'xuan'xue'lun'zhan 科学与玄学论战
'ke'xue'zhi'ke'xue 科学之科学
'ke'zhi'lun 可知论
'kong'an'guo 孔安国
'kong'chuan 孔穿
'kong'fu 孔鲋
'kong'ji 孔伋
'kong'qiu 孔丘
'kong'xiang'she'hui'zhu'yi 空想社会主义
'kong'yan'le'chu 孔颜乐处
'kong'ying'da 孔颖达
'kong'you 空有
'kong'zi 孔子
'kou'bian 口辩
'kou'qian'zhi 寇谦之
'ku'xing'zhu'yi 苦行主义
'kuang'da 旷达
'kuang'juan 狂狷
'kuang'wei'zhi'ming 况谓之名
'kui'duan'tui'lei 揆端推类
'kui'ji 窥基
'la'bu'li'ao'la 拉布里奥拉
'la'er'xiu 拉尔修
'la'fa'ge 拉法格
'lai'qi'li'zhe'sheng 赖其力者生
'lai'yin'bao 莱茵报
'lan'pu'sa'gu 兰普萨古
'lao'dan 老聃
'lao'lai'zi 老莱子
'lao'li'zhe'zhi'yu'ren 劳力者治于人
'lao'si'guang 劳思光
'lao'xin'zhe'zhi'ren 劳心者治人
'lao'zi 老子
'le'bie 了别
'le'guan'qi'fan 乐观其反
'le'guang 乐广
'le'ju'gong 乐巨公
'le'li'zhu'yi 乐利主义
'le'tian'zhi'ming 乐天知命
'lei'fei'tian'nu 雷非天怒
'lei'gu'bu'bi'ke'tui'zhi'ye 类固不必可推知也
'lei'gu'xiang'zhao 类固相召
'lei'ming 类名
'lei'tong 类同
'lei'wei'huo 雷为火
'li'ao 李翱
'li'ben'qi'mo 理本气末
'li'bing 理禀
'li'bu'ke'nei'xi 李卜克内西
'li'cheng'qi'gong 理乘气功
'li'cun'yu'yu 理存于欲
'li'da 李达
'li'da'ben 立大本
'li'da'zhao 李大钊
'li'dong 李侗
'li'er 李耳
'li'er'qu 李二曲
'li'feng 李丰
'li'fu 李复
'li'gen 利根
'li'gen'yu'qi 理根于气
'li'gong 李塨
'li'gou 李觏
'li'guang'di 李光地
'li'han'guang 李含光
'li'he 利合
'li'hei 力黑
'li'hua 李华
'li'huang 李璜
'li'ji 李季
'li'ji 理迹
'li'jian'bai 离坚白
'li'jin'sheng'gu 力今胜古
'li'ju'yu'xin 理具于心
'li'ke 李克
'li'kui 李悝
'li'lun'de'ke'xue 理论的科学
'li'lun'ji'chu 理论基础
'li'mei 理昧
'li'ming 力命
'li'ming 理明
'li'mu 力牧
'li'nian'de'shi'jie 理念的世界
'li'nian'lun 理念论
'li'nian'shi'jie 理念世界
'li'qi 理气
'li'qi'he'yi 理气合一
'li'qi'tong'yi 理气同异
'li'quan 李筌
'li'ren'ji 立人极
'li'shan'lan 李善兰
'li'sheng'qi 理生气
'li'shi 理事
'li'shi 理势
'li'shi'cen 李石岑
'li'shi'de'fang'fa 历史的方法
'li'shi'fan'chou 历史范畴
'li'shi'he'yi 理势合一
'li'shi'min'zu 历史民族
'li'shi'wei'wu'zhu'yi 历史唯物主义
'li'shi'wu'ai 理事无碍
'li'shu'gu 李恕谷
'li'shu'tong 李叔同
'li'si 李斯
'li'tong 理统
'li'tong'xuan 李通玄
'li'wu'shi'shi 历物十事
'li'xian'qi'hou 理先气后
'li'xiang'guo 理想国
'li'xiang'jin'yi 立象尽意
'li'xin'wu'jing 离心无境
'li'xing'fa'zhan 理性发展
'li'xing'fang'an 理性方案
'li'xing'ju'ti 理性具体
'li'xing'ren'shi 理性认识
'li'xing'zhe'xue 力行哲学
'li'xing'zhu'yi'zhe 理性主义者
'li'xu'jiang 李旴江
'li'yan'ping 李延平
'li'yi 理义
'li'yi 礼义
'li'yi 礼仪
'li'yi'fen'shu 理一分殊
'li'yi'lian'chi 礼义廉耻
'li'yi'yin 丽以淫
'li'yi'ze 丽以则
'li'yong 利用
'li'yong 李颙
'li'yong'an'shen'yi'chong'de 利用安身以崇德
'li'you'qiong'tong 理有穷通
'li'yu 李籲
'li'yu 理欲
'li'yuan 理源
'li'yue'jiao'hua 礼乐教化
'li'zai'yu'qi 理载于气
'li'ze'hou 李泽厚
'li'zhi 李贽
'li'zhi 理知
'li'zhi'yong 礼之用
'li'zhi'zao 李之藻
'li'zhu'qi'cong 理主气从
'li'zhuo'wu 李卓吾
'lian'dan 炼丹
'lian'he'ti 联合体
'lian'huan'ke'jie'ye 连环可解也
'lian'qi 炼气
'lian'xing 炼形
'lian'zhu 连珠
'lian'zhu'shi 连珠式
'lian'zhu'ti 连珠体
'liang'dian'lun 两点论
'liang'duan'gui'xian 两端贵先
'liang'gu'hua 两故化
'liang'gui 良贵
'liang'hang 两行
'liang'jia 良价
'liang'ke'zhi'shuo 两可之说
'liang'lun 量论
'liang'neng 良能
'liang'qi'chao 梁启超
'liang'qi'xiong 梁启雄
'liang'qiu'he 梁丘贺
'liang'ren'gong 梁任公
'liang'ren'xiang'ge 两刃相割
'liang'ru'yuan 梁汝元
'liang'shi'zhi'yi 量时制谊
'liang'shu'ming 梁漱溟
'liang'yi 两仪
'liang'zhi 良知
'liang'zhi 量智
'liang'zhi'xian'cheng 良知现成
'liao'ping 廖平
'lie'yu'kou 列御寇
'lie'zi 列子
'lin'tong'ji 林同济
'lin'ze'xu 林则徐
'ling'bao'tian'zun 灵宝天尊
'ling'fu 灵府
'ling'hun 灵魂
'ling'ming 灵明
'ling'qi 灵气
'ling'ren 灵人
'ling'shu 凌曙
'ling'tai 灵台
'ling'ting'kan 凌廷堪
'ling'you 灵祐
'liu'an 刘安
'liu'bao'nan 刘宝楠
'liu'bin'ke 刘宾客
'liu'bing 六柄
'liu'bo'wen 刘伯温
'liu'chang 刘敞
'liu'chen 六尘
'liu'dao 六道
'liu'de 六德
'liu'de'ren 刘德仁
'liu'du 六度
'liu'fen 六分
'liu'feng'lu 刘逢禄
'liu'fu 六府
'liu'gen 六根
'liu'he'dong 柳河东
'liu'ji 六极
'liu'ji 刘基
'liu'ji'bo 留基伯
'liu'ji'shan 刘蕺山
'liu'jing 六境
'liu'jing'jie'shi 六经皆史
'liu'jing'wei'bi'wei'tai'yang 六经未必为太阳
'liu'jing'zhu'wo 六经注我
'liu'jun 刘峻
'liu'li 六理
'liu'ling 刘伶
'liu'mei 六美
'liu'meng'de 刘梦得
'liu'ni 六逆
'liu'qi 六气
'liu'qu 六趣
'liu'shao 刘劭
'liu'shao'qi 刘少奇
'liu'shen'shu 刘申叔
'liu'shi 六识
'liu'shi'pei 刘师培
'liu'shi'si'gua 六十四卦
'liu'shu'xian 刘述先
'liu'shui'bu'fu 流水不腐
'liu'shun 六顺
'liu'wen'min 刘文敏
'liu'xi'zai 刘熙载
'liu'xia'hui 柳下惠
'liu'xian'ting 刘献廷
'liu'xiang 刘向
'liu'xiang'yuan'qi 六相缘起
'liu'xiang'yuan'rong 六相圆融
'liu'xiao'biao 刘孝标
'liu'xie 刘勰
'liu'xin 刘歆
'liu'xing'shi'jian 流行时间
'liu'xuan 刘绚
'liu'yao 六爻
'liu'yi'qing 刘义庆
'liu'yin 刘因
'liu'yu'song 刘毓松
'liu'yu'xi 刘禹锡
'liu'zhi'ji 刘知几
'liu'zhou 刘昼
'liu'zi'hou 柳子厚
'liu'zong'yuan 柳宗元
'liu'zong'zhou 刘宗周
'long'hu 龙虎
'long'zheng 隆正
'lu'ban 鲁班
'lu'bao 鲁褒
'lu'cang'yong 卢藏用
'lu'chen 陆沉
'lu'de'ming 陆德明
'lu'ge 卢格
'lu'ji 陆绩
'lu'jia 陆贾
'lu'jiu'ling 陆九龄
'lu'jiu'shao 陆九韶
'lu'jiu'yuan 陆九渊
'lu'ka'qi 卢卡奇
'lu'ke'lai'xiu 卢克莱修
'lu'long'qi 陆陇其
'lu'men'zi 鹿门子
'lu'sen'bao 卢森堡
'lu'sheng 鲁胜
'lu'shi'yi 陆世仪
'lu'wen 鲁问
'lu'xiang'shan 陆象山
'lu'xiu'jing 陆修静
'lu'xun 鲁迅
'lu'zhong'lian 鲁仲连
'luan'ji'ze'zhi 乱极则治
'luan'you'mao 卵有毛
'lue'zhi 略知
'lun'bu'nian'di 轮不碾地
'lun'hui 轮回
'lun'li 伦理
'lun'li'xue 伦理学
'luo'cong'yan 罗从彦
'luo'guang 罗光
'luo'han 罗含
'luo'hong'xian 罗洪先
'luo'hua'zhi'bian 落花之辨
'luo'ke'ting 罗克汀
'luo'ma'shi'qi 罗马时期
'luo'qin'shun 罗钦顺
'luo'ru'fang 罗汝芳
'luo'yin 罗隐
'luo'zheng'an 罗整庵
'lv'ben'zhong 吕本中
'lv'bu'wei 吕不韦
'lv'cai 吕才
'lv'cheng 吕澂
'lv'da'lin 吕大临
'lv'da'yu 吕大愚
'lv'dong'lai 吕东莱
'lv'gong'zhu 吕公著
'lv'kun 吕坤
'lv'liu'liang 吕留良
'lv'nan 吕柟
'lv'qiu 虑求
'lv'shi 履事
'lv'wan'cun 吕晚村
'lv'xi'zhe 吕希哲
'lv'zhen'yu 吕振羽
'lv'zu'qian 吕祖谦
'ma'dan'yang 马丹阳
'ma'duan'lin 马端临
'ma'er'ku'sai 马尔库塞
'ma'fu 马浮
'ma'jian'zhong 马建忠
'ma'ke 马可
'ma'rong 马融
'ma'you'luan 马有卵
'ma'zu'dao'yi 马祖道一
'mai'jia'la'xue'pai 麦加拉学派
'mai'li'suo 麦里梭
'man'hai'mu 曼海姆
'man'kong'jie'huo 满空皆火
'mao'chang 毛苌
'mao'dun 矛盾
'mao'dun'zhi'shuo 矛盾之说
'mao'gong 毛公
'mao'heng 毛亨
'mao'qi'ling 毛奇龄
'mao'ze'dong 毛泽东
'mei'ci 美刺
'mei'di'gen'yuan 美的根源
'mei'shan'xiang'le 美善相乐
'mei'wen'ding 梅文鼎
'mei'zhi'bu'shi 美质不饰
'mei'zhong'xian'xiang 每种现象
'meng'huan'ren'shi 梦幻人世
'meng'ke 孟轲
'meng'sheng 孟胜
'meng'xi 孟喜
'meng'zhuang 蒙庄
'meng'zi 孟子
'mi'li'dou 米利都
'mi'li'dou'ren 米利都人
'mi'li'dou'xue'pai 米利都学派
'mi'te'lin 米特林
'miao'ming'zhen'xin 妙明真心
'miao'wu 妙悟
'miao'ye 妙叶
'mie'du 灭度
'min'bao'wu'yu 民胞物与
'min'ben 民本
'min'ben'jun'mo 民本君末
'min'gui'jun'qing 民贵君轻
'min'ke'shi'you'zhi 民可使由之
'min'sheng 民生
'min'sheng'shi'guan 民生史观
'min'sheng'zhe'xue 民生哲学
'min'sun 闵损
'min'wu'zhong'jian 民无终贱
'min'zhi'suo'yu 民之所欲
'min'zhu'jun'ke 民主君客
'min'zi'qian 闵子骞
'ming'bian 名辩
'ming'bian 明辨
'ming'bu'ke'mian 命不可勉
'ming'cheng 明诚
'ming'cheng'he'yi 明诚合一
'ming'chi 明耻
'ming'da 名达
'ming'dan'yi'qi 明胆异气
'ming'dao'bu'ji'gong 明道不计功
'ming'fa'shen'ling 明法审令
'ming'fen'shi'qun 明分使群
'ming'ge'shun'yu'tian 名各顺于天
'ming'gu 明故
'ming'gui 明鬼
'ming'ji'zhi'zhi 冥极之知
'ming'jian 明鉴
'ming'jiao 名教
'ming'jiao'chu'yu'zi'ran 名教出于自然
'ming'jiao'ji'zi'ran 名教即自然
'ming'jiao'zhi'le 名教之乐
'ming'jiao'zi'ran'zhi'bian 名教自然之辨
'ming'li 名理
'ming'ran'zi'he 冥然自合
'ming'se 名色
'ming'shan'cheng'shen 明善诚身
'ming'sheng 名胜
'ming'sheng'yu'zhen 名生于真
'ming'shi 名士
'ming'shi 名实
'ming'shi'ou 名实耦
'ming'shi'xiang'ying 名实相应
'ming'shi'zhi'bian 名实之辩
'ming'ti 命题
'ming'ti'da'yong'zhi'xue 明体达用之学
'ming'wu'zhi'ming 命物之名
'ming'xin'jian'xing 明心见性
'ming'xing 溟涬
'ming'xing'wang'zuo 冥行妄作
'ming'you'san'ke 名有三科
'ming'yu 命迂
'ming'yu'tian'ren'zhi'fen 明于天人之分
'ming'zhe'bao'shen 明哲保身
'ming'zhu'wu'er'qian 名逐物而迁
'mo'di 墨翟
'mo'lu 墨箓
'mo'na'shi 末那识
'mo'po'zhi'dian 莫破质点
'mo'ruo'yi'ming 莫若以明
'mo'shao'kui 莫绍揆
'mo'wei 莫为
'mo'zi 墨子
'mou'xie'te'zheng 某些特征
'mou'zi 牟子
'mou'zong'san 牟宗三
'mu'bu'jian 目不见
'mu'shi 目识
'mu'si'lin'zhe'xue 穆斯林哲学
'mu'tong'li 木桶里
'mu'xiang 目想
'na'jia 纳甲
'na'mo 南无
'na'zheng'ju'lai 拿证据来
'nan'fang'wu'qiong'er'you'qiong 南方无穷而有穷
'nan'zi'ran'hao'xue'lun 难自然好学论
'nao'qi'jin 脑气筋
'nao'sui'shuo 脑髓说
'nao'xi'fen'ni 脑昔芬尼
'nei'cheng 内成
'nei'dan 内丹
'nei'jie'li'fa 内界立法
'nei'mei 内美
'nei'sheng'wai'wang 内圣外王
'nei'shi 内视
'nei'shi'fan'ting 内视反听
'nei'shi'xing 内史兴
'nei'wai'jiao'xiang'cheng'zhi'dao 内外交相成之道
'nei'wai'xiang'xu 内外相须
'nei'wai'zhi'he 内外之合
'nei'xin'shi'jie 内心世界
'nei'xing 内省
'nei'xue 内学
'nei'you 内游
'nei'zhou 内籀
'neng'bi'fu'suo 能必副所
'neng'can 能参
'neng'dong'xing 能动性
'neng'li 能立
'neng'po 能破
'neng'suo 能所
'neng'zhi 能知
'neng'zhi'bi'neng'xing 能知必能行
'ni'jiao 逆教
'nian'nian'sheng'mie 念念生灭
'nie'bao 聂豹
'nie'pan 涅槃
'niu'seng'ru 牛僧孺
'ou'bu'li'de 欧布里德
'ou'ke'li'de 欧克里德
'ou'li 耦立
'ou'qi'lei 偶其类
'ou'ran 偶然
'ou'ran'xing 偶然性
'ou'wen 欧文
'ou'yang'de 欧阳德
'ou'yang'jian 欧阳建
'ou'yang'jian 欧阳渐
'ou'yang'jing'wu 欧阳竟无
'ou'yang'xiu 欧阳修
'ou'zhong'you'ou 耦中有耦
'ou'zi'sheng 偶自生
'pan'jiao 判教
'pan'ni'ti'wu 潘尼提乌
'pan'ping'ge 潘平格
'pan'shi'zheng 潘师正
'pan'yong'wei 潘用微
'pan'zi'nian 潘梓年
'pang'hong 庞鸿
'pang'pu 庞朴
'pao'ding'jie'niu 庖丁解牛
'pei'hui 裴徽
'pei'wei 裴頠
'peng'ding'qiu 彭定求
'peng'he 捧喝
'peng'kang 彭康
'peng'meng 彭蒙
'peng'shao'sheng 彭绍升
'peng'xiao 彭晓
'peng'yun'chu 彭允初
'pi'cheng 譬称
'pi'ji'tai'lai 否极泰来
'pi'ri'xiu 皮日休
'pi'xi'rui 皮锡瑞
'ping'dai 平待
'ping'dan'zhi'qi 平旦之气
'ping'deng 平等
'ping'pan'de'tai'du 评判的态度
'ping'xu'gou'xiang 凭虚构象
'po'dui'dai 破对待
'po'xie'xian'zheng 破邪显正
'po'xin'zhong'zei 破心中贼
'po'zuo'liang'pian 破作两片
'pu'lie'han'nuo'fu 普列汉诺夫
'pu'lu'dong 普鲁东
'pu'luo'ke'luo'si 普罗克洛斯
'pu'luo'tai'ge'la 普罗泰戈拉
'pu'luo'ti'nuo 普罗提诺
'pu'na'lu'ya 普纳路亚
'pu'su'bian'zheng'fa 朴素辩证法
'pu'su'wei'wu'zhu'yi 朴素唯物主义
'pu'ti 菩提
'pu'ti'da'mo 菩提达摩
'pu'ti'shu 菩提树
'pu'tong'ke'xue 普通科学
'pu'tong'ren'min 普通人民
'qi'ben 气本
'qi'bing 气禀
'qi'bing'you'ding 气禀有定
'qi'bo 岐伯
'qi'da'qian'li 其大千里
'qi'diao'kai 漆雕开
'qi'fa 七法
'qi'hua 气化
'qi'hua'ji'dao 气化即道
'qi'ke'bian 器可变
'qi'meng'yun'dong 启蒙运动
'qi'mu 气母
'qi'qi 七气
'qi'qing 七情
'qi'shi'fei 齐是非
'qi'shi'jian 器世间
'qi'si'sheng 齐死生
'qi'song 契嵩
'qi'ta'jie'ji 其他阶级
'qi'ti'dao'yong 器体道用
'qi'wan'wu 齐万物
'qi'wan'ze'li'wan 气万则理万
'qi'wan'zhi 齐万致
'qi'wei 七纬
'qi'wu 齐物
'qi'wu'wo 齐物我
'qi'xu'xing'er'zhi 气须形而知
'qi'yi'ze'li'yi 气一则理一
'qi'you'ju'san'wu'mie'xi 气有聚散无灭息
'qi'yuan'yu 起源于
'qi'yun 气运
'qi'yun 气韵
'qi'yun'jue'ding'lun 气运决定论
'qi'ze'ke 齐泽克
'qi'zhe'li'zhi'yi 气者理之依
'qi'zheng'xiang'sheng 奇正相生
'qi'zhi 气质
'qi'zhi'zhi'xing 气质之性
'qi'zi'ran'lun 气自然论
'qian'de'hong 钱德洪
'qian'gao 谴告
'qian'kun 乾坤
'qian'kun'bing'jian 乾坤并建
'qian'mu 钱穆
'qian'shi 前识
'qian'xiang'miao'de 迁想妙得
'qian'xiang'zheng'xing 遣相证性
'qiang'diao'li'xing 强调理性
'qiang'li'cong'shi 强力从事
'qiang'wu'jiu'wo 强物就我
'qiao'zhuan 巧转
'qie'wen'jin'si 切问近思
'qin'hua'li 禽滑釐
'qin'min 亲民
'qin'xia'shou'yi'fan 亲下手一番
'qin'zhi 亲知
'qing'cai 情采
'qing'chu'yu'lan'er'qing'yu'lan 青出于兰而青于兰
'qing'jian'tang'yu'er'xiao'da'yu 轻贱唐虞而笑大禹
'qing'jing'wu'wei 清静无为
'qing'nian'hei'ge'er'pai 青年黑格尔派
'qing'tan 清谈
'qing'wei'xiang'gan 情伪相感
'qing'wu'chong'sheng 轻物重生
'qing'xu'yi'da 清虚一大
'qing'yu'gua'qian 情欲寡浅
'qing'zhong'jing 情中景
'qiong'da 穷达
'qiong'li'jin'xing 穷理尽性
'qiong'shen'zhi'hua 穷神知化
'qiong'tong 穷通
'qiong'xing'jin'xiang 穷形尽相
'qiu'chu'ji 邱处机
'qiu'chu'ji 丘处机
'qiu'fang'xin 求放心
'qiu'han'sheng 邱汉生
'qiu'jun 邱濬
'qu'he'qu'tong 去和取同
'qu'jie'shi 去解释
'qu'jing 取境
'qu'jiu'jie 去九界
'qu'ku'qiu'le 去苦求乐
'qu'ping 屈平
'qu'qiu'bai 瞿秋白
'qu'ren'yu 去人欲
'qu'shi'geng'xin 趋时更新
'qu'shi'ying 瞿世英
'qu'shi'ze'ming 取实责名
'qu'xiang'xing'qi 取象形器
'qu'yuan 屈原
'quan'ke'yi'wei'yang 犬可以为羊
'quan'pan'fou'ding 全盘否定
'quan'ru 犬儒
'quan'ru'li'nian 犬儒理念
'quan'ru'xue'pai 犬儒学派
'quan'ru'xue'zhe 犬儒学者
'quan'ru'zhu'yi 犬儒主义
'quan'ru'zhu'yi'xue'pai 犬儒主义学派
'quan'ru'zhu'yi'zhe 犬儒主义者
