'a'gui'yang'xue'jiao'nang 阿归养血胶囊
'du'zhong'zhuang'gu'jiao'nang 杜仲壮骨胶囊
'du'zhong'zhuang'gu'wan 杜仲壮骨丸
'duan'xue'liu'di'wan 断血流滴丸
'duan'xue'liu'fen'san'pian 断血流分散片
'duan'xue'liu'jiao'nang 断血流胶囊
'duan'xue'liu'ke'li 断血流颗粒
'duan'xue'liu'kou'fu'ye 断血流口服液
'duan'xue'liu'pao'teng'pian 断血流泡腾片
'duan'xue'liu'pian 断血流片
'duan'xue'liu'ruan'jiao'nang 断血流软胶囊
'dun'ye'guan'xin'ning'pian 盾叶冠心宁片
'duo'dong'ning'jiao'nang 多动宁胶囊
'e'jiao'bu'xue'gao 阿胶补血膏
'e'jiao'bu'xue'ke'li 阿胶补血颗粒
'e'jiao'bu'xue'kou'fu'ye 阿胶补血口服液
'e'jiao'dang'gui'he'ji 阿胶当归合剂
'e'jiao'dang'gui'jiao'nang 阿胶当归胶囊
'e'jiao'dang'gui'ke'li 阿胶当归颗粒
'e'jiao'dang'gui'kou'fu'ye 阿胶当归口服液
'e'jiao'huang'qi'kou'fu'ye 阿胶黄芪口服液
'e'jiao'jiao'nang 阿胶胶囊
'e'jiao'ke'li 阿胶颗粒
'e'jiao'kou'fu'ye 阿胶口服液
'e'jiao'mu'li'kou'fu'ye 阿胶牡蛎口服液
'e'jiao'pao'teng'ke'li 阿胶泡腾颗粒
'e'jiao'qiang'gu'kou'fu'ye 阿胶强骨口服液
'e'jiao'san'bao'gao 阿胶三宝膏
'e'jiao'san'bao'ke'li 阿胶三宝颗粒
'e'jiao'shen'qi'jiu 阿胶参芪酒
'e'jiao'sheng'hua'gao 阿胶生化膏
'e'jiao'yang'xue'ke'li 阿胶养血颗粒
'e'jiao'ye'ti 阿胶液体
'e'jiao'yi'shou'he'ji 阿胶益寿合剂
'e'jiao'yi'shou'jing 阿胶益寿晶
'e'jiao'yi'shou'kou'fu'ye 阿胶益寿口服液
'e'jiao'yuan'zhi'gao 阿胶远志膏
'e'jiao'zhen'zhu'gao 阿胶珍珠膏
'e'ling'wan 蛾苓丸
'e'qiu'qi'jiao'nang 饿求齐胶囊
'e'qiu'qi'ke'li 饿求齐颗粒
'e'qiu'qi'pian 饿求齐片
'e'shu'you 莪树油
'e'zhen'jiao'wan 蛾贞胶丸
'er'bao'gao 儿宝膏
'er'bao'ke'li 儿宝颗粒
'er'chen'he'ji 二陈合剂
'er'chen'wan 二陈丸
'er'ding'jiao'nang 二丁胶囊
'er'ding'ke'li 二丁颗粒
'er'ding'pian 二丁片
'er'dong'gao 二冬膏
'er'fu'kang'cha'ji 儿肤康搽剂
'er'gan'qing'kou'fu'ye 儿感清口服液
'er'gan'tui're'ning'ke'li 儿感退热宁颗粒
'er'gan'tui're'ning'kou'fu'ye 儿感退热宁口服液
'er'kang'ning'tang'jiang 儿康宁糖浆
'er'ke'ping'tang'jiang 尔可平糖浆
'er'ke'qi'li'san 儿科七厘散
'er'ke'tang'jiang 儿咳糖浆
'er'long'jiao'nang 耳聋胶囊
'er'long'pian 耳聋片
'er'long'tong'qiao'wan 耳聋通窍丸
'er'long'wan 耳聋丸
'er'long'zuo'ci'wan 耳聋左慈丸
'er'miao'wan 二妙丸
'er'mu'an'sou'pian 二母安嗽片
'er'mu'an'sou'tang'jiang 二母安嗽糖浆
'er'mu'an'sou'wan 二母安嗽丸
'er'mu'ning'sou'ke'li 二母宁嗽颗粒
'er'mu'ning'sou'kou'fu'ye 二母宁嗽口服液
'er'mu'ning'sou'pian 二母宁嗽片
'er'mu'ning'sou'wan 二母宁嗽丸
'er'pi'xing'ke'li 儿脾醒颗粒
'er'shi'ba'wei'bing'lang'wan 二十八味槟榔丸
'er'shi'ba'wei'bu'shen'jiao'nang 二十八味补肾胶囊
'er'shi'ba'wei'bu'shen'kou'fu'ye 二十八味补肾口服液
'er'shi'jiu'wei'neng'xiao'san 二十九味能消散
'er'shi'liu'wei'tong'jing'jiao'nang 二十六味通经胶囊
'er'shi'liu'wei'tong'jing'san 二十六味通经散
'er'shi'qi'wei'ding'kun'wan 二十七味定坤丸
'er'shi'wei'chen'xiang'wan 二十味沉香丸
'er'shi'wei'rou'dou'kou'wan 二十味肉豆蔻丸
'er'shi'wei'shu'gan'jiao'nang 二十味疏肝胶囊
'er'shi'wu'wei'a'wei'jiao'nang 二十五味阿魏胶囊
'er'shi'wu'wei'a'wei'san 二十五味阿魏散
'er'shi'wu'wei'da'tang'wan 二十五味大汤丸
'er'shi'wu'wei'er'cha'wan 二十五味儿茶丸
'er'shi'wu'wei'fei'bing'jiao'nang 二十五味肺病胶囊
'er'shi'wu'wei'fei'bing'wan 二十五味肺病丸
'er'shi'wu'wei'gui'jiu'wan 二十五味鬼臼丸
'er'shi'wu'wei'lv'rong'hao'jiao'nang 二十五味绿绒蒿胶囊
'er'shi'wu'wei'lv'rong'hao'wan 二十五味绿绒蒿丸
'er'shi'wu'wei'lv'xue'jiao'nang 二十五味驴血胶囊
'er'shi'wu'wei'lv'xue'wan 二十五味驴血丸
'er'shi'wu'wei'ma'bao'wan 二十五味马宝丸
'er'shi'wu'wei'shan'hu'jiao'nang 二十五味珊瑚胶囊
'er'shi'wu'wei'shan'hu'wan 二十五味珊瑚丸
'er'shi'wu'wei'song'shi'wan 二十五味松石丸
'er'shi'wu'wei'yu'gan'zi'wan 二十五味余甘子丸
'er'shi'wu'wei'zhang'ya'cai'wan 二十五味獐牙菜丸
'er'shi'wu'wei'zhen'zhu'pian 二十五味珍珠片
'er'shi'wu'wei'zhen'zhu'wan 二十五味珍珠丸
'er'shi'wu'wei'zhu'huang'san 二十五味竺黄散
'er'shi'yi'wei'han'shui'shi'san 二十一味寒水石散
'er'tian'you 二天油
'er'tong'gan're'qing'wan 儿童感热清丸
'er'tong'hui'chun'ke'li 儿童回春颗粒
'er'tong'hui'chun'wan 儿童回春丸
'er'tong'ke'ke'li 儿童咳颗粒
'er'tong'ke'ye 儿童咳液
'er'tong'qi'zhen'wan 儿童七珍丸
'er'tong'qing'fei'kou'fu'ye 儿童清肺口服液
'er'tong'qing'fei'wan 儿童清肺丸
'er'tong'qing're'dao'zhi'wan 儿童清热导滞丸
'er'tong'qing're'kou'fu'ye 儿童清热口服液
'er'tong'qing'yan'jie're'kou'fu'ye 儿童清咽解热口服液
'er'xia'qing'xin'pian 二夏清心片
'er'xian'gao 二仙膏
'er'xian'kou'fu'ye 二仙口服液
'er'xian'wan 二仙丸
'er'xie'kang'tie'mo 儿泻康贴膜
'er'xie'ting'ke'li 儿泻停颗粒
'er'xie'zhi'ke'li 儿泻止颗粒
'er'yan'yao'gao 耳炎药膏
'er'yi'wan 二益丸
'er'zhi'ling'ke'li 儿滞灵颗粒
'er'zhi'wan 二至丸
'er'zhi'yi'yuan'jiu 二至益元酒
'fa'ban'xia'pi'pa'gao 法半夏枇杷膏
'fa'han'jie're'wan 发汗解热丸
'fa'luo'hai'pian 法落海片
'fa'zhi'ban'xia'qu 法制半夏曲
'fan'teng'zhi'zhu'she'ye 矾藤痔注射液
'fan'xie'ye'ke'li 番泻叶颗粒
'fang'can'zhi'yang'ke'li 防参止痒颗粒
'fang'feng'tong'sheng'ke'li 防风通圣颗粒
'fang'feng'tong'sheng'wan 防风通圣丸
'fang'ji'guan'jie'wan 防己关节丸
'fang'shuai'yi'shou'wan 防衰益寿丸
'fang'zhi'bi'yan'pian 防芷鼻炎片
'fei'an'pian 肺安片
'fei'du'qing'pian 肺毒清片
'fei'er'bao'ke'li 肥儿宝颗粒
'fei'er'di'wan 肥儿滴丸
'fei'er'gan'ji'ke'li 肥儿疳积颗粒
'fei'er'kou'fu'ye 肥儿口服液
'fei'er'pian 肥儿片
'fei'er'san 肥儿散
'fei'er'tang'jiang 肥儿糖浆
'fei'er'wan 肥儿丸
'fei'jie'he'wan 肺结核丸
'fei'li'ke'he'ji 肺力咳合剂
'fei'li'ke'jiao'nang 肺力咳胶囊
'fei'long'duo'ming'wan 飞龙夺命丸
'fei'ning'fen'san'pian 肺宁分散片
'fei'ning'jiao'nang 肺宁胶囊
'fei'ning'ke'li 肺宁颗粒
'fei'ning'kou'fu'ye 肺宁口服液
'fei'ning'pian 肺宁片
'fei'ning'wan 肺宁丸
'fei'qi'zhong'pian 肺气肿片
'fei're'pu'qing'san 肺热普清散
'fei'tai'jiao'nang 肺泰胶囊
'fei'xin'pian 肺心片
'fei'xin'xia'zhi'jiao'nang 肺心夏治胶囊
'fei'yang'chang'wei'yan'jiao'nang 飞扬肠胃炎胶囊
'fei'yang'chang'wei'yan'pian 飞扬肠胃炎片
'fei'ying'huo'luo'you 飞鹰活络油
'fei'zi'fen 痱子粉
'fen'qing'wu'lin'wan 分清五淋丸
'feng'han'gan'mao'ke'li 风寒感冒颗粒
'feng'han'gan'mao'ning'ke'li 风寒感冒宁颗粒
'feng'han'gu'tong'wan 风寒骨痛丸
'feng'han'ke'sou'ke'li 风寒咳嗽颗粒
'feng'han'ke'sou'wan 风寒咳嗽丸
'feng'han'sha'yun'ji 风寒砂熨剂
'feng'han'shuang'li'guai'jiao'nang 风寒双离拐胶囊
'feng'han'shuang'li'guai'pian 风寒双离拐片
'feng'han'zhi'tong'gao 风寒止痛膏
'feng'he'chu'bi'ding 枫荷除痹酊
'feng'huang'tai'jiao'nang 蜂皇胎胶囊
'feng'jiao'kou'qiang'mo 蜂胶口腔膜
'feng'jiao'ya'tai 蜂胶牙泰
'feng'jiao'ya'tong'ding 蜂胶牙痛酊
'feng'la'su'jiao'nang 蜂蜡素胶囊
'feng'le'xing'feng'shi'die'da'yao'jiu 冯了性风湿跌打药酒
'feng'liao'chang'wei'kang'di'wan 枫蓼肠胃康滴丸
'feng'liao'chang'wei'kang'fen'san'pian 枫蓼肠胃康分散片
'feng'liao'chang'wei'kang'he'ji 枫蓼肠胃康合剂
'feng'liao'chang'wei'kang'jiao'nang 枫蓼肠胃康胶囊
'feng'liao'chang'wei'kang'ke'li 枫蓼肠胃康颗粒
'feng'liao'chang'wei'kang'kou'fu'ye 枫蓼肠胃康口服液
'feng'liao'chang'wei'kang'pian 枫蓼肠胃康片
'feng'liao'chang'wei'kang'ruan'jiao'nang 枫蓼肠胃康软胶囊
'feng'ling'he'ji 枫苓合剂
'feng'mei'ke'li 风梅颗粒
'feng'qie'ping'chuan'gao 风茄平喘膏
'feng're'gan'mao'ke'li 风热感冒颗粒
'feng're'ke'sou'jiao'nang 风热咳嗽胶囊
'feng're'ke'sou'wan 风热咳嗽丸
'feng're'qing'kou'fu'ye 风热清口服液
'feng'shang'zhi'tong'gao 风伤止痛膏
'feng'shi'an'tai'pian 风湿安泰片
'feng'shi'bi'kang'jiao'nang 风湿痹康胶囊
'feng'shi'bi'tong'yao'jiu 风湿痹痛药酒
'feng'shi'die'da'ding 风湿跌打酊
'feng'shi'ding'jiao'nang 风湿定胶囊
'feng'shi'ding'pian 风湿定片
'feng'shi'er'kang'qi'wu'ji 风湿尔康气雾剂
'feng'shi'er'shi'wu'wei'wan 风湿二十五味丸
'feng'shi'fu'yin'wan 风湿福音丸
'feng'shi'gu'kang'pian 风湿骨康片
'feng'shi'gu'tong'jiao'nang 风湿骨痛胶囊
'feng'shi'gu'tong'ke'li 风湿骨痛颗粒
'feng'shi'gu'tong'pian 风湿骨痛片
'feng'shi'gu'tong'wan 风湿骨痛丸
'feng'shi'guan'jie'jiu 风湿关节酒
'feng'shi'guan'jie'yan'pian 风湿关节炎片
'feng'shi'guan'jie'yan'wan 风湿关节炎丸
'feng'shi'han'tong'pian 风湿寒痛片
'feng'shi'jiu 风湿酒
'feng'shi'ling'jiao'nang 风湿灵胶囊
'feng'shi'ling'pian 风湿灵片
'feng'shi'ling'xian'ye 风湿灵仙液
'feng'shi'ma'qian'pian 风湿马钱片
'feng'shi'ning'yao'jiu 风湿宁药酒
'feng'shi'pen'wu'ji 风湿喷雾剂
'feng'shi'qu'tong'jiao'nang 风湿祛痛胶囊
'feng'shi'sai'long'jiao'nang 风湿塞隆胶囊
'feng'shi'sheng'yao'jiao'nang 风湿圣药胶囊
'feng'shi'tong'yao'jiu 风湿痛药酒
'feng'shi'xi'tong'pian 风湿豨桐片
'feng'shi'yao'wan 风湿药丸
'feng'shi'ye 风湿液
'feng'shi'zhen'tong'gao 风湿镇痛膏
'feng'shi'zhen'tong'wan 风湿镇痛丸
'feng'shi'zhi'tong'wan 风湿止痛丸
'feng'shi'zhi'tong'yao'jiu 风湿止痛药酒
'feng'shi'zhui'feng'gao 风湿追风膏
'feng'sui'wan 封髓丸
'feng'tong'an'jiao'nang 风痛安胶囊
'feng'tong'ling 风痛灵
'feng'tong'ning'pian 风痛宁片
'feng'tong'pian 风痛片
'feng'tong'wan 风痛丸
'feng'tong'yao'jiu 风痛药酒
'feng'xiang'zhi'shi'wei'wan 枫香脂十味丸
'feng'you'jing 风油精
'fo'shan'ren'shen'zai'zao'wan 佛山人参再造丸
'fu'an'ke'li 腹安颗粒
'fu'bao'jin'wan 妇宝金丸
'fu'bao'ke'li 妇宝颗粒
'fu'bi'shu'jiao'nang 妇必舒胶囊
'fu'bi'shu'yin'dao'pao'teng'pian 妇必舒阴道泡腾片
'fu'biao'qu'feng'you 斧标驱风油
'fu'biao'zheng'hong'hua'you 斧标正红花油
'fu'de'kang'pao'mo'ji 妇得康泡沫剂
'fu'fang'ai'di'cha'jiao'nang 复方矮地茶胶囊
'fu'fang'ai'di'cha'pian 复方矮地茶片
'fu'fang'ba'qia'ke'li 复方菝葜颗粒
'fu'fang'bai'bu'zhi'ke'ke'li 复方百部止咳颗粒
'fu'fang'bai'bu'zhi'ke'tang'jiang 复方百部止咳糖浆
'fu'fang'bai'dai'wan 复方白带丸
'fu'fang'bai'tou'weng'jiao'nang 复方白头翁胶囊
'fu'fang'bai'tou'weng'pian 复方白头翁片
'fu'fang'bai'zhi'ding 复方白芷酊
'fu'fang'ban'bian'lian'zhu'she'ye 复方半边莲注射液
'fu'fang'ban'lan'gen'jiao'nang 复方板蓝根胶囊
'fu'fang'ban'lan'gen'ke'li 复方板蓝根颗粒
'fu'fang'ban'lan'gen'kou'fu'ye 复方板蓝根口服液
'fu'fang'ban'mao'jiao'nang 复方斑蝥胶囊
'fu'fang'ban'xia'pian 复方半夏片
'fu'fang'ban'xia'zhi'ke'tang'jiang 复方半夏止咳糖浆
'fu'fang'bei'mu'pian 复方贝母片
'fu'fang'bei'wu'wei'zi'pian 复方北五味子片
'fu'fang'bi'ba'zhi'tong'jiao'nang 复方荜茇止痛胶囊
'fu'fang'bi'yan'gao 复方鼻炎膏
'fu'fang'bie'jia'ruan'gan'pian 复方鳖甲软肝片
'fu'fang'bo'he'zhang'nao'you 复方薄荷樟脑油
'fu'fang'bu'gu'zhi'ke'li 复方补骨脂颗粒
'fu'fang'can'zi'xi'ji 复方参子洗剂
'fu'fang'cao'jue'ming'cha 复方草决明茶
'fu'fang'cao'shan'hu'han'pian 复方草珊瑚含片
'fu'fang'chai'hu'an'shen'ke'li 复方柴胡安神颗粒
'fu'fang'chan'su'gao 复方蟾酥膏
'fu'fang'chan'su'wan 复方蟾酥丸
'fu'fang'chen'xiang'wei'pian 复方陈香胃片
'fu'fang'chong'cao'bu'shen'kou'fu'ye 复方虫草补肾口服液
'fu'fang'chong'cao'kou'fu'ye 复方虫草口服液
'fu'fang'chong'cao'yang'xue'ke'li 复方虫草养血颗粒
'fu'fang'chong'lou'ding 复方重楼酊
'fu'fang'chuan'bei'jing'jiao'nang 复方川贝精胶囊
'fu'fang'chuan'bei'jing'ke'li 复方川贝精颗粒
'fu'fang'chuan'bei'jing'pian 复方川贝精片
'fu'fang'chuan'bei'mu'pian 复方川贝母片
'fu'fang'chuan'bei'qing'hou'pen'wu'ji 复方川贝清喉喷雾剂
'fu'fang'chuan'bei'zhi'ke'tang'jiang 复方川贝止咳糖浆
'fu'fang'chuan'gui'ding 复方川归酊
'fu'fang'chuan'xin'lian'pian 复方穿心莲片
'fu'fang'chuan'xiong'jiao'nang 复方川芎胶囊
'fu'fang'chuan'xiong'pian 复方川芎片
'fu'fang'chui'pen'cao'jiao'nang 复方垂盆草胶囊
'fu'fang'chui'pen'cao'ke'li 复方垂盆草颗粒
'fu'fang'chui'pen'cao'tang'jiang 复方垂盆草糖浆
'fu'fang'chun'sha'ke'li 复方春砂颗粒
'fu'fang'ci'wu'jia'ke'li 复方刺五加颗粒
'fu'fang'ci'wu'jia'pian 复方刺五加片
'fu'fang'cong'rong'bu'shen'he'ji 复方苁蓉补肾合剂
'fu'fang'cong'rong'jiao'nang 复方苁蓉胶囊
'fu'fang'cong'rong'yi'zhi'jiao'nang 复方苁蓉益智胶囊
'fu'fang'da'hong'pao'zhi'xue'jiao'nang 复方大红袍止血胶囊
'fu'fang'da'hong'pao'zhi'xue'pian 复方大红袍止血片
'fu'fang'da'huang'ding 复方大黄酊
'fu'fang'da'qing'ye'he'ji 复方大青叶合剂
'fu'fang'da'qing'ye'ke'li 复方大青叶颗粒
'fu'fang'da'qing'ye'shuan 复方大青叶栓
'fu'fang'da'qing'ye'zhu'she'ye 复方大青叶注射液
'fu'fang'da'suan'you'jiao'nang 复方大蒜油胶囊
'fu'fang'dan'shen'chang'rong'jiao'nang 复方丹参肠溶胶囊
'fu'fang'dan'shen'di'wan 复方丹参滴丸
'fu'fang'dan'shen'han'pian 复方丹参含片
'fu'fang'dan'shen'jiao'nang 复方丹参胶囊
'fu'fang'dan'shen'ke'li 复方丹参颗粒
'fu'fang'dan'shen'kou'fu'ye 复方丹参口服液
'fu'fang'dan'shen'pen'wu'ji 复方丹参喷雾剂
'fu'fang'dan'shen'pian 复方丹参片
'fu'fang'dan'shen'ruan'jiao'nang 复方丹参软胶囊
'fu'fang'dan'shen'wan 复方丹参丸
'fu'fang'dan'tong'jiao'nang 复方胆通胶囊
'fu'fang'dan'tong'pian 复方胆通片
'fu'fang'dan'yin'gao 复方丹茵膏
'fu'fang'dan'zhi'ke'li 复方丹栀颗粒
'fu'fang'dan'zhi'pian 复方丹蛭片
'fu'fang'dang'gui'zhu'she'ye 复方当归注射液
'fu'fang'dang'shen'pian 复方党参片
'fu'fang'di'da'jiao'nang 复方蒂达胶囊
'fu'fang'di'fu'kou'fu'ye 复方地茯口服液
'fu'fang'di'huang'bu'shen'jiu 复方地黄补肾酒
'fu'fang'di'jin'jiao'nang 复方地锦胶囊
'fu'fang'di'long'jiao'nang 复方地龙胶囊
'fu'fang'di'long'pian 复方地龙片
'fu'fang'dian'ji'xue'teng'gao 复方滇鸡血藤膏
'fu'fang'ding'xiang'kai'wei'tie 复方丁香开胃贴
'fu'fang'ding'xiang'luo'le'you 复方丁香罗勒油
'fu'fang'dong'ling'cao'han'pian 复方冬凌草含片
'fu'fang'du'juan'pian 复方杜鹃片
'fu'fang'du'zhong'fu'zheng'he'ji 复方杜仲扶正合剂
'fu'fang'du'zhong'jian'gu'ke'li 复方杜仲健骨颗粒
'fu'fang'du'zhong'jiao'nang 复方杜仲胶囊
'fu'fang'du'zhong'pian 复方杜仲片
'fu'fang'du'zhong'qiang'yao'jiu 复方杜仲强腰酒
'fu'fang'du'zhong'wan 复方杜仲丸
'fu'fang'du'zhong'zhuang'yao'jiao'nang 复方杜仲壮腰胶囊
'fu'fang'e'jiao'bu'xue'gao 复方阿胶补血膏
'fu'fang'e'jiao'bu'xue'ke'li 复方阿胶补血颗粒
'fu'fang'e'jiao'jiang 复方阿胶浆
'fu'fang'e'jiao'jiao'nang 复方阿胶胶囊
'fu'fang'e'jiao'ke'li 复方阿胶颗粒
'fu'fang'e'zhu'you'ruan'jiao'nang 复方莪术油软胶囊
'fu'fang'feng'shi'cha'ji 复方风湿搽剂
'fu'fang'feng'shi'ning'jiao'nang 复方风湿宁胶囊
'fu'fang'feng'shi'ning'ke'li 复方风湿宁颗粒
'fu'fang'feng'shi'ning'pian 复方风湿宁片
'fu'fang'feng'shi'ning'zhu'she'ye 复方风湿宁注射液
'fu'fang'feng'shi'yao'jiu 复方风湿药酒
'fu'fang'feng'wang'jing'jiao'nang 复方蜂王精胶囊
'fu'fang'fu'fang'teng'he'ji 复方扶芳藤合剂
'fu'fang'fu'fang'teng'jiao'nang 复方扶芳藤胶囊
'fu'fang'fu'rong'pao'teng'shuan 复方芙蓉泡腾栓
'fu'fang'fu'rong'ye'ding 复方芙蓉叶酊
'fu'fang'gan'mao'jiao'nang 复方感冒胶囊
'fu'fang'gan'mao'ling'jiao'nang 复方感冒灵胶囊
'fu'fang'gan'mao'ling'ke'li 复方感冒灵颗粒
'fu'fang'gan'mao'ling'pian 复方感冒灵片
'fu'fang'gan'mao'pian 复方感冒片
'fu'fang'gan'yan'ke'li 复方肝炎颗粒
'fu'fang'gang'ren'pian 复方岗稔片
'fu'fang'gang'song'xi'ye 复方岗松洗液
'fu'fang'gang'song'zhi'yang'xi'ye 复方岗松止痒洗液
'fu'fang'gao'shan'hong'jing'tian'kou'fu'ye 复方高山红景天口服液
'fu'fang'gao'zi'ban'pian 复方高滋斑片
'fu'fang'ge'jie'kou'fu'ye 复方蛤蚧口服液
'fu'fang'ge'qing'jiao'nang 复方蛤青胶囊
'fu'fang'ge'qing'pian 复方蛤青片
'fu'fang'ge'qing'zhu'she'ye 复方蛤青注射液
'fu'fang'gong'ying'jiao'nang 复方公英胶囊
'fu'fang'gong'ying'pian 复方公英片
'fu'fang'gou'qi'zi'gao 复方枸杞子膏
'fu'fang'gou'qi'zi'jiao'nang 复方枸杞子胶囊
'fu'fang'gou'qi'zi'ke'li 复方枸杞子颗粒
'fu'fang'gou'teng'pian 复方钩藤片
'fu'fang'gua'zi'jin'han'pian 复方瓜子金含片
'fu'fang'gua'zi'jin'jiao'nang 复方瓜子金胶囊
'fu'fang'gua'zi'jin'ke'li 复方瓜子金颗粒
'fu'fang'gua'zi'jin'pian 复方瓜子金片
'fu'fang'hai'gou'shen'kou'fu'ye 复方海狗肾口服液
'fu'fang'hai'she'ding 复方海蛇酊
'fu'fang'hai'she'jiao'nang 复方海蛇胶囊
'fu'fang'he'xue'wan 复方和血丸
'fu'fang'hei'yang'tai'kou'fu'ye 复方黑羊胎口服液
'fu'fang'hei'yi'jian'shen'jiu 复方黑蚁健肾酒
'fu'fang'hong'dou'shan'jiao'nang 复方红豆杉胶囊
'fu'fang'hong'gen'cao'pian 复方红根草片
'fu'fang'hong'yi'bu'xue'kou'fu'ye 复方红衣补血口服液
'fu'fang'hou'tou'jiao'nang 复方猴头胶囊
'fu'fang'hou'tou'ke'li 复方猴头颗粒
'fu'fang'hu'zhang'pian 复方虎杖片
'fu'fang'hu'zhang'shao'shang'you 复方虎杖烧伤油
'fu'fang'hua'fen'shu'gan'kou'fu'ye 复方花粉舒肝口服液
'fu'fang'hua'fen'tiao'zhi'jiao'nang 复方花粉调脂胶囊
'fu'fang'huai'hua'jiao'nang 复方槐花胶囊
'fu'fang'huang'bai'qu'xuan'cha'ji 复方黄柏祛癣搽剂
'fu'fang'huang'bai'ye'tu'ji 复方黄柏液涂剂
'fu'fang'huang'lian'su'pian 复方黄连素片
'fu'fang'huang'qi'jian'pi'kou'fu'ye 复方黄芪健脾口服液
'fu'fang'huang'qi'kou'fu'ye 复方黄芪口服液
'fu'fang'huang'qi'yi'qi'kou'fu'ye 复方黄芪益气口服液
'fu'fang'huang'qin'han'shu'ye 复方黄芩含漱液
'fu'fang'huang'qin'pian 复方黄芩片
'fu'fang'huang'song'shi'jin 复方黄松湿巾
'fu'fang'huang'song'xi'ye 复方黄松洗液
'fu'fang'huang'teng'xi'ye 复方黄藤洗液
'fu'fang'huo'nao'shu'jiao'nang 复方活脑舒胶囊
'fu'fang'huo'xiang'pian 复方藿香片
'fu'fang'ji'gu'cao'jiao'nang 复方鸡骨草胶囊
'fu'fang'ji'nei'jin'pian 复方鸡内金片
'fu'fang'ji'xiang'cao'han'pian 复方吉祥草含片
'fu'fang'ji'xue'cao'pian 复方积雪草片
'fu'fang'jiang'zhi'jiao'nang 复方降脂胶囊
'fu'fang'jiang'zhi'pian 复方降脂片
'fu'fang'jie'geng'zhi'ke'pian 复方桔梗止咳片
'fu'fang'jin'feng'cha'ji 复方金凤搽剂
'fu'fang'jin'huang'lian'ke'li 复方金黄连颗粒
'fu'fang'jin'huang'lian'tang'jiang 复方金黄连糖浆
'fu'fang'jin'lian'jiao'nang 复方金连胶囊
'fu'fang'jin'lian'ke'li 复方金连颗粒
'fu'fang'jin'pu'jiao'nang 复方金蒲胶囊
'fu'fang'jin'pu'pian 复方金蒲片
'fu'fang'jin'qian'cao'ke'li 复方金钱草颗粒
'fu'fang'jin'qian'cao'qing're'ke'li 复方金钱草清热颗粒
'fu'fang'jin'yin'hua'ke'li 复方金银花颗粒
'fu'fang'jing'jie'xun'xi'ji 复方荆芥熏洗剂
'fu'fang'jiu'bi'ying'jiao'nang 复方救必应胶囊
'fu'fang'ju'hua'ke'li 复方菊花颗粒
'fu'fang'jue'ming'jiao'nang 复方决明胶囊
'fu'fang'jue'ming'pian 复方决明片
'fu'fang'ka'li'zi'ran'ding 复方卡力孜然酊
'fu'fang'ke'chuan'jiao'nang 复方咳喘胶囊
'fu'fang'ku'mu'xiao'yan'fen'san'pian 复方苦木消炎分散片
'fu'fang'ku'mu'xiao'yan'jiao'nang 复方苦木消炎胶囊
'fu'fang'ku'mu'xiao'yan'pian 复方苦木消炎片
'fu'fang'ku'shen'chang'yan'kang'pian 复方苦参肠炎康片
'fu'fang'ku'shen'xi'ji 复方苦参洗剂
'fu'fang'ku'shen'zhu'she'ye 复方苦参注射液
'fu'fang'lan'hua'chai'hu'ke'li 复方蓝花柴胡颗粒
'fu'fang'le'ma'hui'ke'li 复方勒马回颗粒
'fu'fang'li'gao 复方梨膏
'fu'fang'li'zhi'run'fei'cha 复方梨汁润肺茶
'fu'fang'lian'xin'kou'fu'ye 复方莲芯口服液
'fu'fang'liang'mian'zhen'han'pian 复方两面针含片
'fu'fang'liang'mian'zhen'shu'chi'ye 复方两面针漱齿液
'fu'fang'ling'jiao'jiang'ya'jiao'nang 复方羚角降压胶囊
'fu'fang'ling'jiao'jiang'ya'pian 复方羚角降压片
'fu'fang'ling'zhi'an'shen'kou'fu'ye 复方灵芝安神口服液
'fu'fang'ling'zhi'jian'nao'jiao'nang 复方灵芝健脑胶囊
'fu'fang'ling'zhi'ke'li 复方灵芝颗粒
'fu'fang'ling'zhi'pian 复方灵芝片
'fu'fang'liu'huang'ru'gao 复方硫黄乳膏
'fu'fang'liu'ju'jiao'nang 复方柳菊胶囊
'fu'fang'liu'ju'ke'li 复方柳菊颗粒
'fu'fang'liu'ju'pian 复方柳菊片
'fu'fang'long'dan'ding 复方龙胆酊
'fu'fang'long'ma'lu'wei'yao'pian 复方陇马陆胃药片
'fu'fang'long'xue'jie'jiao'nang 复方龙血竭胶囊
'fu'fang'lu'gan'shi'wai'yong'san 复方炉甘石外用散
'fu'fang'lu'hui'pian 复方芦荟片
'fu'fang'lu'rong'jian'gu'jiao'nang 复方鹿茸健骨胶囊
'fu'fang'lu'rong'jiu 复方鹿茸酒
'fu'fang'lu'sun'he'ji 复方芦笋合剂
'fu'fang'lu'xian'cao'jiao'nang 复方鹿仙草胶囊
'fu'fang'lu'xian'cao'ke'li 复方鹿仙草颗粒
'fu'fang'lu'xian'cao'pian 复方鹿仙草片
'fu'fang'luo'bu'ma'ke'li 复方罗布麻颗粒
'fu'fang'luo'han'guo'han'pian 复方罗汉果含片
'fu'fang'luo'han'guo'qing'fei'ke'li 复方罗汉果清肺颗粒
'fu'fang'luo'han'guo'qing'fei'tang'jiang 复方罗汉果清肺糖浆
'fu'fang'luo'han'guo'zhi'ke'ke'li 复方罗汉果止咳颗粒
