'ai'qian'e'ke 矮潜蛾科
'nian'chi'mu 撚翅目
'niao'shi'ke 鸟虱科
'niao'ying'ke 鸟蝇科
'niao'yu'e'ke 鸟羽蛾科
'nie'chong'ke 啮虫科
'nie'chong'mu 啮虫目
'niu'huang'ke 牛蝗科
'niu'huang'zong'ke 牛蝗总科
'nong'die'ke 弄蝶科
'nong'die'zong'ke 弄蝶总科
'pan'cong'ke 蹒蟌科
'pan'jia'ke 盘甲科
'pi'cong'ke 琵蟌科
'pi'du'ke 皮蠹科
'pi'jia'shu 琵甲属
'pi'jia'zu 琵甲族
'pi'jin'gui'ke 皮金龟科
'pi'ying'ke 皮蝇科
'piao'chong'ke 瓢虫科
'piao'jia'ke 瓢甲科
'piao'la'chan'ke 瓢蜡蝉科
'pu'cong'ke 朴蟌科
'pu'fei'lian'ke 匍蜚蠊科
'qi'cong'ke 歧蟌科
'qi'cong'zong'ke 歧蟌总科
'qi'fu'ji'feng'ke 旗腹姬蜂科
'qian'chun'ke 潜蝽科
'qian'e'ke 潜蛾科
'qian'shui'chun'xiang'ke 潜水椿象科
'qian'ying'ke 潜蝇科
'qian'zao'ke 潜蚤科
'qian'zhuo'chun'ke 前啄蝽科
'qiang'qian'e'ke 蔷潜蛾科
'qiang'ying'ke 枪蝇科
'qiang'ying'zong'ke 枪蝇总科
'qiao'chi'mu 鞘翅目
'qiao'e'ke 鞘蛾科
'qiao'feng'ke 鞘蜂科
'qiao'hui'chun'xiang'ke 鞘喙椿象科
'qiao'jia'ke 锹甲科
'qiao'xing'chong'ke 锹形虫科
'qie'chong'ke 窃虫科
'qie'du'ke 窃蠹科
'qie'ye'feng'ke 切叶蜂科
'qing'bu'jia 青步甲
'qing'feng'ke 青蜂科
'qing'feng'zong'ke 青蜂总科
'qing'ke 蜻科
'qing'ling'ke 蜻蛉科
'qing'ling'zong'ke 蜻蛉总科
'qing'ting'mu 蜻蜓目
'qiong'lian'ke 蛩蠊科
'qiong'lian'ya'mu 蛩蠊亚目
'qiu'fei'lian'ke 球蜚蠊科
'qiu'jiao 球角
'qiu'jiao'tiao'chong'ke 球角跳虫科
'qiu'qu'sou'ke 球蠼螋科
'qiu'qu'sou'zong'ke 球蠼螋总科
'qiu'sou'ke 球螋科
'qiu'ya'ke 球蚜科
'qiu'yan'mo'chong'ke 球阎魔虫科
'qu'e'ke 曲蛾科
'qu'e'zong'ke 曲蛾总科
'qu'jiao'qing'feng'ke 曲角青蜂科
'qu'sou'ke 蠼螋科
'qu'sou'ya'mu 蠼螋亚目
'qu'sou'zong'ke 蠼螋总科
'quan'jia'ke 拳甲科
'quan'xun'chong'ke 拳蕈虫科
'que'chi'chong'ke 缺翅虫科
'que'chi'mu 缺翅目
'que'jiang'du'e'ke 缺缰蠹蛾科
'que'xu'e'ke 缺须蛾科
'ri'ben'wan'ke 日本蚖科
'ri'ying'ke 日蝇科
'rong'e'ke 绒蛾科
'rong'jie'ke'chong'ke 绒介壳虫科
'rong'mao'jin'gui'ke 绒毛金龟科
'rong'xiao'feng'ke 榕小蜂科
'rou'shi'ya'mu 肉食亚目
'rui'ke 蚋科
'sai'jiao'jin'gui'ke 鳃角金龟科
'sai'xi'qiang'lang 赛西蜣螂
'san'jie'ye'feng'ke 三节叶蜂科
'san'zhi'niu'ke 三栉牛科
'san'zhi'wu'jie'mao'ke 三枝五节蟊科
'san'zhui'xiang'bi'chong'ke 三锥象鼻虫科
'san'zhui'xiang'ke 三锥象科
'se'cong'ke 色蟌科
'sha'feng'ke 沙蜂科
'sha'jin'gui'ke 沙金龟科
'sha'zhong'ke 沙螽科
'shan'cong'ke 山蟌科
'shan'cong'ke 扇蟌科
'shan'feng'ke 杉蜂科
'shan'rui'ke 山蚋科
'she'ling'ke 蛇蛉科
'she'ling'ya'mu 蛇蛉亚目
'she'mu'die'ke 蛇目蝶科
'she'shui'chun'xiang'ke 涉水椿象科
'shen'nong'jie'qiang'lang 神农洁蜣螂
'shi'bao'ji'ma'ke 食孢蓟马科
'shi'bing'ke 石蛃科
'shi'bing'zong'ke 石蛃总科
'shi'chong'meng'ke 食虫虻科
'shi'chong'meng'zong'ke 食虫虻总科
'shi'e'ke 石蛾科
'shi'gen'jia'ke 食根甲科
'shi'hai'chong'ke 食骸虫科
'shi'ke 虱科
'shi'mao'mu 食毛目
'shi'mu 虱目
'shi'wan'ke 始蚖科
'shi'ya'ying'ke 食蚜蝇科
'shi'ya'ying'zong'ke 食蚜蝇总科
'shi'ying'ke 虱蝇科
'shi'ying'ke 实蝇科
'shi'ying'ke 尸蝇科
'shi'ying'ke 石蝇科
'shou'feng'ke 瘦蜂科
'shou'niao'shi'ke 兽鸟虱科
'shou'shi'ke 兽虱科
'shou'yu'shi'ke 兽羽虱科
'shou'zhong'ke 瘦螽科
'shou'zu'ying'ke 瘦足蝇科
'shu'chuang'ying'ke 树创蝇科
'shu'chun'xiang'ke 树椿象科
'shu'dong'ying'ke 树洞蝇科
'shu'feng'ke 树蜂科
'shu'feng'zong'ke 树蜂总科
'shu'ji'chong'ke 鼠寄虫科
'shu'kou'jia'ke 树叩甲科
'shu'niao'shi'ke 鼠鸟虱科
'shu'pi'chong'ke 树皮虫科
'shu'pi'jia'ke 树皮甲科
'shu'shi'ke 书虱科
'shu'sou'ke 鼠螋科
'shu'sou'ya'mu 鼠螋亚目
'shu'xi'ke 树蟋科
'shu'yao'chun'ke 束腰蝽科
'shu'yao'chun'xiang'ke 束腰椿象科
'shu'zhi'ying'ke 树脂蝇科
'shuan'ji'ma'ke 栓蓟马科
'shuang'chi'mu 双翅目
'shuang'kong'lei 双孔类
'shuang'wei'chong'ke 双尾虫科
'shuang'wei'chong'zong'ke 双尾虫总科
'shuang'wei'ke 双尾科
'shuang'wei'mu 双尾目
'shui'bu'xing'chong'ke 水步行虫科
'shui'chun'ke 水蝽科
'shui'chun'xiang'ke 水椿象科
'shui'gui'jia'ke 水龟甲科
'shui'ji'chun'xiang'ke 水际椿象科
'shui'jia'ke 水甲科
'shui'la'e'ke 水蜡蛾科
'shui'ling'ke 水蛉科
'shui'meng'ke 水虻科
'shui'min'ke 水黾科
'shui'min'zong'ke 水黾总科
'shui'niao'shi'ke 水鸟虱科
'shui'ying'jia'ke 水缨甲科
'shui'ying'ke 水蝇科
'shuo'fei'lian'ke 硕蜚蠊科
'si'cong'ke 丝蟌科
'si'jiao'ya'mu 丝角亚目
'si'jie'fu'ke 四节蜉科
'si'jie'fu'you'ke 四节蜉蝣科
'si'jie'fu'you'zong'ke 四节蜉蝣总科
'si'jie'jiao'e'ke 四节角蛾科
'si'jie'ye'feng'ke 四节叶蜂科
'si'kou'shi'e'ke 丝口石蛾科
'si'lan'e'ke 丝兰蛾科
'si'min'ke 丝黾科
'si'wei'qu'sou'ke 丝尾蠼螋科
'si'yi'ke 丝蚁科
'song'ye'feng'ke 松叶蜂科
'sui'feng'ke 隧蜂科
'sun'cong'ke 隼蟌科
'suo'tou'hua'zao'ke 缩头花蚤科
'suo'tou'jia'ke 缩头甲科
'tai'jia'ke 苔甲科
'tang'lang 螳螂
'tang'lang'ke 螳螂科
'tang'lang'ya'mu 螳螂亚目
'tang'ling'ke 螳蛉科
'ti'chi'e'ke 梯翅蛾科
'tian'bie'ke 田鳖科
'tian'can'e'ke 天蚕蛾科
'tian'e'ke 天蛾科
'tian'e'zong'ke 天蛾总科
'tian'niu'ke 天牛科
'tiao'chong 跳虫
'tiao'chong'ke 跳虫科
'tiao'chun'ke 跳蝽科
'tiao'ji'jia'ke 条脊甲科
'tiao'xiao'feng'ke 跳小蜂科
'tiao'yue'ya'mu 跳跃亚目
'tie'jia'ke 铁甲科
'ting'ke 蜓科
'ting'zong'ke 蜓总科
'tong'chi'ya'mu 同翅亚目
'tong'du'chong'ke 筒蠹虫科
'tong'du'ke 筒蠹科
'tong'fu'ye'feng'ke 筒腹叶蜂科
'tong'mai'ya'mu 同脉亚目
'tong'sou'ke 筒螋科
'tong'xun'chong'ke 茼蕈虫科
'tou'chi'e'ke 透翅蛾科
'tou'ying'ke 头蝇科
'tu'bing'ke 土蛃科
'tu'chun'ke 土蝽科
'tu'chun'xiang'ke 土椿象科
'tu'feng'ke 土蜂科
'tu'jia'ke 土甲科
'tu'jia'ye'chan'ke 突颊叶蝉科
'tu'jia'zu 土甲族
'tu'jie'ke'chong'ke 秃介壳虫科
'tu'yan'ye'chan'ke 凸颜叶蝉科
'tu'yi'yu'ke 土衣鱼科
'tu'yu'ke 土鱼科
'tun'gou'tu'feng'ke 臀钩土蜂科
'tun'ji'ma'ke 臀蓟马科
'tuo'chun'ke 驼蝽科
'tuo'chun'xiang'ke 驼椿象科
'tuo'e'ke 驼蛾科
'tuo'jin'gui'ke 驼金龟科
'wai'chi'bu 外翅部
'wan'chi'pi'jia 弯齿琵甲
'wan'jia'ke 丸甲科
'wan'ke 蚖科
'wan'ya'mu 蚖亚目
'wan'yan'ni'feng'ke 完眼泥蜂科
'wang'chi'meng'ke 网翅虻科
'wang'chun'ke 网蝽科
'wang'ling'ke 网蛉科
'wang'mai'fu'you'ke 网脉蜉蝣科
'wang'rui'ke 网蚋科
'wei'chang'bian'chong'ke 微长扁虫科
'wei'chun'ke 螱蝽科
'wei'fei'lian'ke 伟蜚蠊科
'wei'feng'ke 尾蜂科
'wei'guo'gong'chong'ke 伪郭公虫科
'wei'guo'gong'jia'ke 伪郭公甲科
'wei'ji'ma'ke 尾蓟马科
'wei'jin'hua'chong'ke 伪金花虫科
'wei'mao'rui'ke 伪毛蚋科
'wei'ni'chong'ke 微泥虫科
'wei'piao'chong'ke 伪瓢虫科
'wei'piao'jia'ke 伪瓢甲科
'wei'qing'ling'ke 伪蜻蛉科
'wei'shui'min'ke 微水黾科
'wei'suo'wei'chong'ke 伪琐微虫科
'wei'xi'jing'chong'ke 伪细颈虫科
'wei'xiu'mu'chong'ke 伪朽木虫科
'wei'ye'jia'ke 伪叶甲科
'wei'ying'ke 胃蝇科
'wei'yuan'hua'zao'ke 伪圆花蚤科
'wei'yuan'tiao'chong'ke 伪圆跳虫科
'wei'yuan'xun'chong'ke 伪圆蕈虫科
'wen'chi'xiao'feng'ke 纹翅小蜂科
'wen'chun'ke 蚊蝽科
'wen'ji'ma'ke 纹蓟马科
'wen'ke 蚊科
'wen'shi'e'ke 纹石蛾科
'wen'xie'ling'ke 蚊蝎蛉科
'wen'zong'ke 蚊总科
'wu'chi'ya'gang 无翅亚纲
'wu'feng'zu 无缝组
'wu'jie'fu'ke 五节蜉科
'wu'meng'ke 舞虻科
'wu'meng'zong'ke 舞虻总科
'wu'ye'chan'ke 乌叶蝉科
'xi'bian'chong'ke 细扁虫科
'xi'cong'ke 溪蟌科
'xi'cong'ke 细蟌科
'xi'cong'zong'ke 细蟌总科
'xi'e'ke 细蛾科
'xi'feng'ke 细蜂科
'xi'feng'zong'ke 细蜂总科
'xi'fu'ke 细蜉科
'xi'fu'you'ke 细蜉蝣科
'xi'gen'chong'ke 吸根虫科
'xi'guo'ying'ke 细果蝇科
'xi'jian'chong'ke 细坚虫科
'xi'jiao'chun'xiang'ke 细脚椿象科
'xi'jiao'kou'tou'chong'ke 细脚叩头虫科
'xi'juan'e'ke 细卷蛾科
'xi'ling'ke 细蛉科
'xi'mu'chong'ke 吸木虫科
'xi'shuai'ke 蟋蟀科
'xi'wan'ke 夕蚖科
'xi'wen'ke 细蚊科
'xi'yao'da'wen'ke 细腰大蚊科
'xi'yao'feng'ke 细腰蜂科
'xi'yao'ya'mu 细腰亚目
'xi'ying'ke 细蝇科
'xi'zhong'ke 蟋螽科
'xi'zu'chun'ke 细足蝽科
'xia'ding'ye'chan'ke 狭顶叶蝉科
'xia'e'ke 狭蛾科
'xian'die'ke 蚬蝶科
'xian'e'ke 蚬蛾科
'xian'fei'lian'ke 纤蜚蠊科
'xian'fu'xi'feng'ke 纤腹细蜂科
'xian'jiao'chun'lei 显角椿类
'xian'tai'chong'ke 藓苔虫科
'xian'yan'ye'chan'ke 显眼叶蝉科
'xiang'bi'chong'ke 象鼻虫科
'xiang'bi'chong'zong'ke 象鼻虫总科
'xiang'jia'ke 象甲科
'xiang'la'chan'ke 象蜡蝉科
'xiang'shi'ke 象虱科
'xiao'bian'jia'ke 小扁甲科
'xiao'chi'e'ke 小翅蛾科
'xiao'chi'e'zong'ke 小翅蛾总科
'xiao'chun'sha'feng'ke 小唇沙蜂科
'xiao'du'chong'ke 小蠹虫科
'xiao'du'ke 小蠹科
'xiao'fei'lian'ke 小蜚蠊科
'xiao'feng'ke 小蜂科
'xiao'feng'zong'ke 小蜂总科
'xiao'fu'ke 小蜉科
'xiao'fu'you'ke 小蜉蝣科
'xiao'hua'jia'ke 小花甲科
'xiao'hua'ying'ke 小花蝇科
'xiao'hui'die'ke 小灰蝶科
'xiao'jian'feng'ke 小茧蜂科
'xiao'jin'ying'ke 小金蝇科
'xiao'juan'e'ke 小卷蛾科
'xiao'qian'e'ke 小潜蛾科
'xiao'qiu'jin'gui'ke 小球金龟科
'xiao'shang'fu'ke 小裳蜉科
'xiao'shi'e'ke 小石蛾科
'xiao'si'yi'ke 小丝蚁科
'xiao'tou'fei'shi'ke 小头飞虱科
'xiao'tou'meng'ke 小头虻科
'xiao'tou'shui'chong'ke 小头水虫科
'xiao'tu'feng'ke 小土蜂科
'xiao'wan'jia'ke 小丸甲科
'xiao'xun'chong'ke 小蕈虫科
'xiao'xun'jia'ke 小蕈甲科
'xiao'ya'ying'ke 小亚萤科
'xie'chi'fei'lian'ke 斜翅蜚蠊科
'xie'chun'ke 蝎蝽科
'xie'ling'ke 蝎蛉科
'xin'chong'xiu'ke 新虫脩科
'xin'e'shi'ke 新颚虱科
'xin'jia'ke 薪甲科
'xin'mao'shi'ke 新毛虱科
'xing'chun'xiang'ke 星椿象科
'xing'nie'chong'ke 星啮虫科
'xiong'hui'lei 胸喙类
'xiu'hong'jin'gui 锈红金龟
'xu'ji'ma'ke 旭蓟马科
'xu'wan'ke 旭蚖科
'xuan'chi'fei'lian'ke 旋翅蜚蠊科
'xuan'nie'chong'ke 旋啮虫科
'xue'fei'lian'ke 穴蜚蠊科
'xue'shi'ke 血虱科
'xue'xie'ling'ke 雪蝎蛉科
'xun'bing'wen'ke 蕈柄蚊科
'xun'qi'wen'ke 蕈栖蚊科
'xun'rui'ke 蕈蚋科
'ya'chong'ke 牙虫科
'ya'chong'zong'ke 牙虫总科
'ya'ke 蚜科
'ya'zong'ke 蚜总科
'yan'die'ke 眼蝶科
'yan'e'ke 燕蛾科
'yan'jia'ke 阎甲科
'yan'jie'ke 眼蚧科
'yan'ling'ke 燕蛉科
'yan'mo'chong'ke 阎魔虫科
'yan'ting'ke 晏蜓科
'yan'xi'ying'ke 艳细蝇科
'yan'xiao'e'ke 艳小蛾科
'yan'ying'ke 眼蝇科
'yang'yong'chong'ke 仰泳虫科
'yang'yong'chun'ke 仰泳蝽科
'yao'meng'ke 摇虻科
'yao'wen'ke 摇蚊科
'yao'ying'ke 妖蝇科
'ye'chan'ke 叶蝉科
'ye'chan'zong'ke 叶蝉总科
'ye'chong'xiu'ke 叶虫脩科
'ye'e'ke 夜蛾科
'ye'e'zong'ke 夜蛾总科
'ye'feng'ke 叶蜂科
'ye'feng'zong'ke 叶蜂总科
'ye'jia'ke 叶甲科
'ye'nie'chong'ke 叶啮虫科
'ye'ying'ke 叶蝇科
'ye'zhu'jie'chong'ke 叶竹节虫科
'ye'zi'e'ke 椰子蛾科
'yi'chao'e'ke 蚁巢蛾科
'yi'chao'fei'lian'ke 蚁巢蜚蠊科
'yi'chi'ya'mu 异翅亚目
'yi'ci'chong'ke 蚁刺虫科
'yi'feng'ke 蚁蜂科
'yi'ji'ma'ke 异蓟马科
'yi'jia'ke 蚁甲科
'yi'jiao'ji'ma'ke 异角蓟马科
'yi'ke 蚁科
'yi'la'chan'ke 蚁蜡蝉科
'yi'ling'ke 蚁蛉科
'yi'ling'ke 益蛉科
'yi'ling'ke 翼蛉科
'yi'ling'zong'ke 蚁蛉总科
'yi'luan'feng'ke 异卵蜂科
'yi'mai'ya'mu 异脉亚目
'yi'mao'ke 蚁蟊科
'yi'si'yi'ke 异丝蚁科
'yi'tiao'chong'ke 异跳虫科
'yi'wei'si'yi'ke 异尾丝蚁科
'yi'xi'ke 蚁蟋科
'yi'xiao'feng'ke 蚁小蜂科
'yi'xiao'si'yi'ke 异小丝蚁科
'yi'xing'chong'ke 蚁形虫科
'yi'xing'feng'ke 蚁形蜂科
'yi'xing'jia'ke 蚁形甲科
'yi'ying'ke 蚁蝇科
'yi'you'fei'lian'ke 蚁友蜚蠊科
'yi'yu'ke 衣鱼科
'yi'yu'zong'ke 衣鱼总科
'yi'zhong'chong'ke 蚁冢虫科
'yin'chi'chong'ke 隐翅虫科
'yin'chi'chong'zong'ke 隐翅虫总科
'yin'chi'jia'ke 隐翅甲科
'yin'chun'ke 印蝽科
'yin'e'bian'jia'ke 隐颚扁甲科
'yin'e'ke 银蛾科
'yin'fu'guo'gong'jia'ke 隐跗郭公甲科
'yin'kou'feng'ke 银口蜂科
'yin'mai'e'ke 印麦蛾科
'yin'mai'ye'chan'ke 隐脉叶蝉科
'yin'mao'ying'ke 隐毛蝇科
'yin'shi'ke 阴虱科
'yin'wei'fei'lian'ke 隐尾蜚蠊科
'ying'chi'e'ke 缨翅蛾科
'ying'chi'mu 缨翅目
'ying'chi'rui'ke 缨翅蚋科
'ying'fei'lian'ke 硬蜚蠊科
'ying'feng'ke 瘿蜂科
'ying'feng'zong'ke 瘿蜂总科
'ying'jia'ke 缨甲科
'ying'jie'ke 瘿蚧科
'ying'jie'ke'chong'ke 瘿介壳虫科
'ying'ke 萤科
'ying'mao'xun'chong'ke 缨毛蕈虫科
'ying'rui'ke 瘿蚋科
'ying'wei'mu 缨尾目
'ying'xiao'feng'ke 缨小蜂科
'you'chi'ya'gang 有翅亚纲
'you'feng'zu 有缝组
'you'xiao'feng'ke 釉小蜂科
'you'zhao'mao'zong'ke 有爪蟊总科
'yu'fu'ya'mu 愈腹亚目
'yu'jiao'ji'xiao'feng'ke 羽角姬小蜂科
'yu'jiao'jia'ke 羽角甲科
'yu'ling'ke 鱼蛉科
'yu'meng'ke 鹬虻科
'yuan'bai'yi'ke 原白蚁科
'yuan'chang'chi'ya'mu 原长翅亚目
'yuan'chi'ji'e'ke 圆翅基蛾科
'yuan'chi'nie'chong'ke 圆翅啮虫科
'yuan'chun'ke 圆蝽科
'yuan'chun'ke 缘蝽科
'yuan'chun'xiang'ke 缘椿象科
'yuan'ci'chong'ke 圆刺虫科
'yuan'cong'ke 原蟌科
'yuan'da'wen'ke 原大蚊科
'yuan'ding'ye'chan'ke 圆顶叶蝉科
'yuan'fei'lian'ke 原蜚蠊科
'yuan'fei'shi'ke 圆飞虱科
'yuan'fu'e'ke 原蝠蛾科
'yuan'fu'xi'feng'ke 缘腹细蜂科
'yuan'hua'zao'ke 圆花蚤科
'yuan'ji'ke 原襀科
'yuan'jia'wei'chong'ke 原铗尾虫科
'yuan'jia'wei'ke 原铗尾科
'yuan'jing'ke 芫菁科
'yuan'ni'chong'ke 圆泥虫科
'yuan'niao'shi'ke 猿鸟虱科
'yuan'shang'fu'ke 圆裳蜉科
'yuan'shang'fu'you'ke 圆裳蜉蝣科
'yuan'shi'e'ke 原石蛾科
'yuan'shi'ying'ke 原石蝇科
'yuan'tiao'chong'ke 圆跳虫科
'yuan'wei'mu 原尾目
'yuan'xiang'ke 原象科
'yuan'xie'ling'ke 原蝎蛉科
'zang'jia'ke 葬甲科
'zao'chun'xiang'ke 蚤椿象科
'zao'huang'ke 蚤蝗科
'zao'huang'zong'ke 蚤蝗总科
'zao'ke 蚤科
'zao'lou'ke 蚤蝼科
'zao'mu 蚤目
'zao'ying'ke 蚤蝇科
'ze'fu'la'chan'ke 仄腹蜡蝉科
'ze'jia'ke 泽甲科
'zha'ke 蚱科
'zhai'fu'xi'feng'ke 窄腹细蜂科
'zhan'jie'ke 毡蚧科
'zhan'wen'ke 粘蚊科
'zhang'jiao'e'ke 长角蛾科
'zhang'jiao'ji'ma'ke 长角蓟马科
'zhang'jiao'ling'ke 长角蛉科
'zhang'jiao'ni'jia'ke 长角泥甲科
'zhang'jiao'niao'shi'ke 长角鸟虱科
'zhang'jiao'shi'e'ke 长角石蛾科
'zhang'jiao'shou'ying'ke 长脚瘦蝇科
'zhang'jiao'tiao'chong'ke 长角跳虫科
'zhang'jiao'wen'ke 长角蚊科
'zhang'jiao'xiang'bi'chong'ke 长角象鼻虫科
'zhang'jiao'xiang'ke 长角象科
'zhang'jiao'ya'mu 长角亚目
'zhang'jiao'yu'shi'ke 长角羽虱科
'zhao'chun'xiang'ke 沼椿象科
'zhao'cong'ke 沼蟌科
'zhao'da'wen'ke 沼大蚊科
'zhao'jia'ke 沼甲科
'zhao'shi'e'ke 沼石蛾科
'zhao'suo'ke 沼梭科
'zhao'ying'ke 沼蝇科
'zhe'chi'ji'feng'ke 褶翅姬蜂科
'zhe'chi'lian'ke 折翅蠊科
'zhe'chi'xiao'feng'ke 褶翅小蜂科
'zhe'chi'ying'ke 折翅蝇科
'zhe'yuan'fu'you'ke 褶缘蜉蝣科
'zhen'chang'chi'ya'mu 真长翅亚目
'zhen'ji'ma'ke 针蓟马科
'zhen'wei'lei 针尾类
'zheng'wei'si'yi'ke 正尾丝蚁科
'zheng'xi'ke 钲蟋科
'zhi'chi'mu 直翅目
'zhi'chi'pi'jia 直齿琵甲
'zhi'chi'ying'feng'ke 痣翅瘿蜂科
'zhi'chong'xiu'ke 枝虫脩科
'zhi'fu'feng'ke 枝跗蜂科
'zhi'fu'ying'feng'ke 枝跗瘿蜂科
'zhi'huang'ke 枝蝗科
'zhi'jiao'chong'ke 栉角虫科
'zhi'jiao'ling'ke 栉角蛉科
'zhi'jiao'mao'ke'zhi'jiao'mao'ke 栉角蟊科枝角蟊科
'zhi'jiao'mao'zong'ke 栉角蟊总科
'zhi'li'e'ke 智利蛾科
'zhi'lie'lei 直裂类
'zhi'shi'e'ke 指石蛾科
'zhi'shi'e'ke 枝石蛾科
'zhi'ye'e'ke 织叶蛾科
'zhi'ying'ke 稚萤科
'zhi'zhu'jie'chong'ke 枝竹节虫科
'zhong'si'ke 螽蟴科
'zhong'si'zong'ke 螽蟴总科
'zhong'tui'feng'ke 肿腿蜂科
'zhong'tui'xiao'feng'ke 肿腿小蜂科
'zhou'e'ke 舟蛾科
'zhu'da'wen'ke 蠋大蚊科
'zhu'e'ke 蛛蛾科
'zhu'feng'ke 蛛蜂科
'zhu'jia'ke 蛛甲科
'zhu'jiao'ji'ma'ke 珠角蓟马科
'zhu'jie'chong'ke 竹节虫科
'zhu'jie'chong'ya'mu 竹节虫亚目
'zhu'jie'chong'zong'ke 竹节虫总科
'zhu'ying'ke 蛛蝇科
'zhu'yuan'chun'ke 蛛缘蝽科
'zhu'yuan'chun'xiang'ke 蛛缘椿象科
'zhui'ji'ma'ke 锥蓟马科
'zhui'wei'ya'mu 锥尾亚目
'zhun'feng'ke 准蜂科
'zhun'mang'chun'ke 准盲蝽科
'zhun'xun'wen'ke 准蕈蚊科
'zong'cong'ke 综蟌科
'zu'shi'pi'jin'gui 祖氏皮金龟
