'an'ding'qing'jing 安定清静
'fei'nei'yun're 肺内蕴热
'fei'qi'bu'xiang'er'zhi'de'qi'chuan 肺气不降而致的气喘
'fei'qi'bu'xuan 肺气不宣
'fei'qi'bu'zu 肺气不足
'fei'qi'de'shi'tiao 肺气的失调
'fei'qi'de'xuan'fa'he'su'jiang 肺气的宣发和肃降
'fei'qi'hao'shang 肺气耗伤
'fei'qi'kui'zhi 肺气奎滞
'fei'qi'shang'ni 肺气上逆
'fei'qi'shang'ni'de'qi'chuan 肺气上逆的气喘
'fei'qi'shang'ni'suo'zhi 肺气上逆所致
'fei'qi'sheng'jiang'chu'ru'yun'dong'de 肺气升降出入运动的
'fei'qi'shi'jiang 肺气失降
'fei'qi'shi'xuan 肺气失宣
'fei'qi'shi'yu'su'jiang 肺气失于肃降
'fei'qi'shi'yu'xuan'fa 肺气失于宣发
'fei'qi'xia'jiang'he'qing'jie'hu'xi'dao'de'gong'neng'jian 肺气下降和清洁呼吸道的功能减
'fei'qi'xu 肺气虚
'fei'qi'xu'sun 肺气虚损
'fei'qi'xuan'su'shi'zhi 肺气宣肃失职
'fei'qi'yi'fa'su'jiang'shi'chang 肺气宜发肃降失常
'fei'qi'yi'yu 肺气抑郁
'fei'qi'yong'zhi 肺气雍滞
'fei'qi'yu'zu 肺气郁阻
'fei'quan'ke'sou 肺痊咳嗽
'fei're 肺热
'fei'shen'yin'xu 肺肾阴虚
'fei'sheng'jiang 非升降
'fei'shi 非湿
'fei'shi'jin'run'er'zhi'gan'ke 肺失津润而致干咳
'fei'shi'su'jiang 肺失肃降
'fei'shi'tong'tiao 肺失通调
'fei'shi'xuan'jiang 肺失宣降
'fei'shi'xuan'su 肺失宣肃
'fei'shi'xuan'su'de'ke'sou'tan'duo 肺失宣肃的咳嗽痰多
'fei'shu 非暑
'fei'shui 沸水
'fei'wei'jiao'zang 肺为娇脏
'fei'wei'ti 肺为涕
'fei'wei'yin'shang 肺胃阴伤
'fei'xi'qi'dao'ming'xi'bu'chang 肺系气道鸣息不畅
'fei'xu'er'shi'su'jiang 肺虚而失肃降
'fei'xu'xuan'fa'wu'li 肺虚宣发无力
'fei'xu'yin'jin'bu'zu 肺虚阴津不足
'fei'yang'de'sheng'san'zuo'yong 肺阳的升散作用
'fei'yang'xu 肺阳虚
'fei'yin'bu'zu 肺阴不足
'fei'yin'de'shi'tiao 肺阴的失调
'fei'yin'xu 肺阴虚
'fei'yin'xu'kui 肺阴虚亏
'fei'yu'da'chang 肺与大肠
'fei'yu'gan 肺与肝
'fei'yu'pi 肺与脾
'fei'yu'shen 肺与肾
'fei'zai'zhi'wei'you 肺在志为忧
'fei'zang'de'yin'jin'kui'sun 肺脏的阴津亏损
'fei'zang'yin'xu'jin'kui 肺脏阴虚津亏
'fei'zao'shi'run 肺燥失润
'fei'zao'wei'zhu 肺燥为主
'fei'zhi'he'pi'ye 肺之合皮也
'fei'zhi'xue'xu'ji'wei'han'jian 肺之血虚极为罕见
'fei'zhu'hu'xi 肺主呼吸
'fei'zhu'hu'xi'zhi'qi 肺主呼吸之气
'fei'zhu'jiang 肺主降
'fei'zhu'xuan'fa'he'su'jiang 肺主宣发和肃降
'fei'zhu'xuan'jiang 肺主宣降
'fei'zhu'yi'shen'zhi'qi 肺主一身之气
'fei'zhu'yi'shen'zhi'qi'er'si'hu'xi 肺主一身之气而司呼吸
'fei'zhu'zhi'jie 肺主治节
'fen'bu 分布
'fen'jing'bian'zheng'zhi 分经辨证治
'fen'xi'zong'he'bian'qing'ji'bing 分析综合辨清疾病
'feng'ao'shang 蜂鳌伤
'feng'cang'gu'she'shi'zhi 封藏固摄失职
'feng'gou'yao'shang 疯狗咬伤
'feng'han 风寒
'feng'han'gan'mao 风寒感冒
'feng'han'shi'zao'huo 风寒湿燥火
'feng'qi'nei'dong 风气内动
'feng're'gan'mao 风热感冒
'feng'sheng'ze'dong 风胜则动
'feng'wei'bai'bing'zhi'chang 风为百病之长
'feng'wen 风温
'feng'xie 风邪
'feng'xing'shan'xing'er'shu'bian 风性善行而数变
'feng'yu'han're 风雨寒热
'fu'bai'bing'zhe 夫百病者
'fu'bing'yi'cheng'er'hou'yao'zhi 夫病已成而后药之
'fu'bu'jin'ye 敷布津液
'fu'bu'zhang'man 腹部胀满
'fu'chen'bian'hua 浮沉变化
'fu'jing'zhe 夫精者
'fu'man'zuo'zhang'huo'teng'tong 腹满作胀或疼痛
'fu'mu'zhi'jing'qi'xiang'he 父母之精气相合
'fu'nv'beng'zhong 妇女崩中
'fu'nv'tong'jing 妇女痛经
'fu'nv'yue'jing'guo'duo 妇女月经过多
'fu'shi'wei'zhi'shen 夫是谓之神
'fu'shi'xue'rou 腐蚀血肉
'fu'shui'da'liang'zeng'jia 腹水大量增加
'fu'tong 腹痛
'fu'tong'chang'ming 腹痛肠鸣
'fu'tong'xie'xie 腹痛泄泻
'fu'tu'yi'mu 扶土抑木
'fu'wu'wei'ru'wei 夫五味入胃
'fu'xie'zhi'sheng'ye 夫邪之生也
'fu'xue'you'zhou'ye 夫血犹舟也
'fu'yang 扶阳
'fu'yang'bu'ti 浮阳不替
'fu'ying'man'tong 腹硬满痛
'fu'yu'fu 腑与腑
'fu'za'duo'bian'de'ji'bing'xian'xiang 复杂多变的疾病现象
'fu'zhang 腹胀
'fu'zhang'bi 腹胀闭
'fu'zhang'bi'bu'de'xi 腹胀闭不得息
'fu'zhang'bian'tang 腹胀便塘
'fu'zhang'man'zhi'xu'pi 腹胀满之虚痞
'fu'zhang'zi'xiao 腹胀自消
'fu'zheng'bu'liu'xie 扶正不留邪
'fu'zheng'duo'yong'bu'xu'fang'fa 扶正多用补虚方法
'fu'zheng'qu'xie 扶正祛邪
'fu'zheng'shi'zheng'qi'jia'qiang 扶正使正气加强
'fu'zheng'wei'zhu'jian'gu'qu'xie 扶正为主兼顾祛邪
'fu'zheng'yu'qu'xie 扶正与祛邪
'fu'zheng'yu'qu'xie'jian'yong 扶正与祛邪兼用
'fu'zhu'zheng'qi'qu'chu'xie'qi 扶助正气祛除邪气
'gai'lao'nian'rong'wei'ku'se 盖老年荣卫枯涩
'gai'wu'xu 盖无虚
'gai'zang'ji'neng'pian'sheng 该脏机能偏盛
'gai'zao'zi'ran'de'dou'zheng 改造自然的斗争
'gan'bu'cang'xue 肝不藏血
'gan'cang'hun 肝藏魂
'gan'cang'xue 肝藏血
'gan'cang'xue'zhu'shu'xie 肝藏血主疏泄
'gan'dan'zhi'huo 肝胆之火
'gan'de'shu'xie'tiao'da'he 肝的疏泄条达和
'gan'de'yang'qi'sheng'dong 肝的阳气升动
'gan'de'yang'qi'sheng'dong'tai'guo 肝的阳气升动太过
'gan'de'yang'qi'sheng'dong'tai'guo'zhe'wei'duo'jian 肝的阳气升动太过者为多见
'gan'de'yin'xue'bu'zu 肝的阴血不足
'gan'de'yin'xue'hao'sun'tai'guo 肝的阴血耗损太过
'gan'de'yin'yang'qi'xue'shi'tiao 肝的阴阳气血失调
'gan'feng 肝风
'gan'feng'nei'dong 肝风内动
'gan'han'yang'wei 甘寒养胃
'gan'he'dan'de'shu'xie 肝和胆的疏泄
'gan'huo 肝火
'gan'huo'fan'fei 肝火犯肺
'gan'huo'fan'fei'suo'zhi'de'ka'xie 肝火犯肺所致的咯血
'gan'huo'kang'sheng 肝火亢盛
'gan'huo'shang'chong 肝火上冲
'gan'huo'shang'sheng 肝火上升
'gan'huo'shang'yan 肝火上炎
'gan'huo'zhuo'shang'fei'wei'mai'luo 肝火灼伤肺胃脉络
'gan'jin'jiao'jie 干劲教揭
'gan'jing'de'huo're'yin'fa'jing'qi'ni'luan 肝经的火热引发经气逆乱
'gan'jing'qi'yu 肝经气郁
'gan'jing'xun'xing'bu'wei 肝经循行部位
'gan'jue'ma'mu 感觉麻木
'gan'jue'yi'chang 感觉异常
'gan'kai'qiao'yu'mu 肝开窍于目
'gan'ke'wu'tan 干咳无痰
'gan'mao 感冒
'gan'mu'cheng'zhi 肝木乘之
'gan'mu'neng'cheng'ke'pi'tu 肝木能乘克脾土
'gan'mu'shi'yang 肝目失养
'gan'pi'bu'tiao 肝脾不调
'gan'qi 肝气
'gan'qi'bao'zhang 肝气暴张
'gan'qi'gan'yang'chang'wei'you'yu 肝气肝阳常为有余
'gan'qi'gan'yang'de'kang'sheng'you'yu 肝气肝阳的亢盛有余
'gan'qi'gan'yang'de'shi'tiao'gan'qi 肝气肝阳的失调肝气
'gan'qi'gan'yang'shi'tiao'de'bing'ji 肝气肝阳失调的病机
'gan'qi'heng'ni 肝气横逆
'gan'qi'heng'ni'shang'chong 肝气横逆上冲
'gan'qi'shang'ni 肝气上逆
'gan'qi'xu'ze'kong 肝气虚则恐
'gan'qi'yi'jin 肝气以津
'gan'qi'yu'jie 肝气郁结
'gan'qi'yu'jie'gan'qi'yu'jie 肝气郁结肝气郁结
'gan'qi'yu'jie'he'gan'huo'shang'yan 肝气郁结和肝火上炎
'gan'qi'zu'zhi 肝气阻滞
'gan'ran 感染
'gan'shen'tong'yuan 肝肾同源
'gan'shen'yin'xu 肝肾阴虚
'gan'shen'zhi'yin'bu'zu 肝肾之阴不足
'gan'shen'zhi'yin'xiang'tong 肝肾之阴相通
'gan'sheng'fei'jiang 肝升肺降
'gan'sheng'tai'guo 肝升太过
'gan'shi'shu'xie 肝失疏泄
'gan'shou'shu'shi'xie'qi 感受暑湿邪气
'gan'shou'wai'shi 感受外湿
'gan'shou'yang'xie 感受阳邪
'gan'shou'yin'xie 感受阴邪
'gan'shu'mu 肝属木
'gan'tian'di'zhi'bing'qi 感天地之病气
'gan'wei'ba'ji'zhi'ben 肝为罢极之本
'gan'wei'bu'he 肝胃不和
'gan'wei'gang'zang 肝为刚脏
'gan'wei'lei 肝为泪
'gan'xian'ru'pi 甘先入脾
'gan'xie'de'qing'zhong 感邪的轻重
'gan'xue'bu'zu 肝血不足
'gan'xue'de'shi'tiao 肝血的失调
'gan'xue'xu'kui 肝血虚亏
'gan'xue'xu'kui'bu'neng'ru'yang'jin'mai 肝血虚亏不能濡养筋脉
'gan'yang'bao'zhang 肝阳暴张
'gan'yang'de'shi'tiao 肝阳的失调
'gan'yang'gan'huo 肝阳肝火
'gan'yang'hua'feng 肝阳化风
'gan'yang'shang'kang 肝阳上亢
'gan'yang'sheng'teng'wu'zhi 肝阳升腾无制
'gan'yang'xiang'dui'kang'sheng 肝阳相对亢盛
'gan'yin 肝阴
'gan'yin'bu'zu 肝阴不足
'gan'yin'gan'xue'bu'zu 肝阴肝血不足
'gan'yin'gan'xue'chang'wei'bu'zu 肝阴肝血常为不足
'gan'yin'gan'xue'shi'tiao 肝阴肝血失调
'gan'yin'hao'shang 肝阴耗伤
'gan'yu'dan 肝与胆
'gan'yu'pi 肝与脾
'gan'yu'qi'zhi 肝郁气滞
'gan'yu'qi'zhi'qi'yu'hua'huo 肝郁气滞气郁化火
'gan'yu'shen 肝与肾
'gan'zai'zhi'wei'nu 肝在志为怒
'gan'zao'bu'run 干燥不润
'gan'zao'ku'se 干燥枯涩
'gan'zao'shao'yu 干燥少雨
'gan'zao'shi'run 干燥失润
'gan'zhi'yang'qi'sheng'er'wu'zhi 肝之阳气升而无制
'gan'zhi'yang'qi'sheng'fa'tai'guo 肝之阳气升发太过
'gan'zhi'yang'qi'sheng'fu'kang'ni 肝之阳气升浮亢逆
'gan'zhi'yin'xue'bu'zu 肝之阴血不足
'gan'zhu'jin 肝主筋
'gan'zhu'sheng 肝主升
'gan'zhu'shu'xie 肝主疏泄
'gang'ling 纲领
'gao'liang'zhi'bian 高粱之变
'gao're 高热
'gao're'shang'jin 高热伤津
'gao'wen 高温
'gao'xue'ya'bing'shi 高血压病史
'gao'ya'dian'liu 高压电流
'gao'zhe'qi'han 高者气寒
'ge'de'qi'yang'yi'cheng 各得其养以成
'ge'gui'suo'xi'gong 各归所喜攻
'ge'jing'de'qi'xue'shuai'jie 各经的气血衰竭
'ge'jing'xun'xing'bu'wei'bu'tong 各经循行部位不同
'ge'sheng'li'gong'neng'zhi'jian'de'shi'tiao 各生理功能之间的失调
'ge'shou'qi'xiang 各守其乡
'ge'tu 咯吐
'ge'yang 格阳
'ge'yang'yu'wai 格阳于外
'ge'yin 格阴
'ge'yin'yu'wai 格阴于外
'ge'zang'de'yin'yang'shi'tiao'jiu'bi'ji'shen 各脏的阴阳失调久必及肾
'ge'zang'zhi'qi'xue'jun'hua'sheng'yu'shui'gu'jing'wei 各脏之气血均化生于水谷精微
'ge'zang'zhi'yin'yang'jie'yi'shen'yin'shen'yang'wei'gen'ben 各脏之阴阳皆以肾阴肾阳为根本
'ge'zhong'mao'dun'de'zhu'ci'guan'xi 各种矛盾的主次关系
'ge'zhong'zhi'bing'yin'su 各种致病因素
'gen'ben'mao'dun 根本矛盾
'gen'ju'bian'zheng'de'jie'guo 根据辨证的结果
'gen'ju'xie'zheng'dou'zheng'suo'chan'sheng'de'xu'shi'bian'hua 根据邪正斗争所产生的虚实变化
'geng'shang'pi'yang 更伤脾阳
'gong'neng'guo'kang 功能过亢
'gong'neng'huo'dong'zhu'jian'shuai'tui 功能活动逐渐衰退
'gong'neng'shi'wu'zhi'yun'dong'de'jie'guo 功能是物质运动的结果
'gong'neng'shu'yang 功能属阳
'gong'neng'yu'gong'neng'zhi'jian 功能与功能之间
'gong'qu'bing'xie 攻去病邪
'gong'xia 攻下
'gong'xia'pai 攻下派
'gong'xie'qu'bing 攻邪祛病
'gou'qu'tong'jun 沟渠通浚
'gou'tong'ji'ti'biao'li'shang'xia'nei'wai 沟通机体表里上下内外
'gu'an 故安
'gu'bei'ai'chou'you'ze'xin'dong 故悲哀愁忧则心动
'gu'dan'hui 故旦慧
'gu'de'ruan'ruo'song'cui 骨的软弱松脆
'gu'ding'bu'yi 固定不移
'gu'fa'zhang'man 故发胀满
'gu'han'chu 故汗出
'gu'jia 故加
'gu'ju'shui'er'cong'qi'lei'ye 故聚水而从其类也
'gu'ming'yue'yong 故名曰痈
'gu'neng'shou'bi'tian'di 故能寿蔽天地
'gu'neng'xing'yu'shen'ju 故能形与神俱
'gu'pi'shen'yang'qi'xu'shuai 故脾肾阳气虚衰
'gu'qi'hao'yi 故气耗矣
'gu'qi'huan'yi 故气缓矣
'gu'qi'jie'yi 故气结矣
'gu'qi'min'jie'zhi'li'er'chi'se 故其民皆致理而赤色
'gu'qi'shou'er'bo'wei'zhe 故其瘦而薄胃者
'gu'qi'xiao'yi 故气消矣
'gu'ruan'wu'li 骨软无力
'gu'shan'bu'yang'zhe'bi'yu'yin'zhong'qiu'yang 故善补阳者必于阴中求阳
'gu'shan'zhi'zhe'zhi'pi'mao 故善治者治皮毛
'gu'she'xue'ye'de'gong'neng 固摄血液的功能
'gu'she'xue'ye'de'sheng'li'gong'neng'jian'ruo 固摄血液的生理功能减弱
'gu'she'zuo'yong 固摄作用
'gu'shen'ye 故甚也
'gu'sheng'nei'han 故生内寒
'gu'sheng'zhi'lai'wei'zhi'jing 故生之来谓之精
'gu'sui 骨髓
'gu'sui'kong'xu 骨髓空虚
'gu'wei'gan 骨为干
'gu'wei'ren'ti'zhi'zhi'jia 骨为人体之支架
'gu'xian'shi'qi'pi'qi 故先实其脾气
'gu'xian'wei'shi'dong 故先为是动
'gu'xie'feng'zhi'zhi 故邪风之至
'gu'xue'yi'xie 故血易泻
'gu'yang'qi'zhe 故阳气者
'gu'yi'huan'jue 骨疫痪厥
'gu'yin'bu'sheng 孤阴不生
'gu'yue'yang'sheng'ge'yin'ye 故曰阳盛格阴也
'gu'yue'zhi'wei'bing'yan 故曰治未病焉
'gu'yue'zhi'yi'bing'ye 故曰治已病也
'gu'zheng 骨蒸
'gu'zheng'chao're 骨蒸潮热
'gu'zheng'chao're'dao'han 骨蒸潮热盗汗
'gu'zhi'ruan'ruo'he 骨质软弱和
'guai'jue'zhi'qi 乖决之气
'guan'duan'nei 贯端内
'guan'jie'bu'li 关节不利
'guan'jie'liu'li 关节流利
'guan'jie'qu'shen'bu'li 关节屈伸不利
'guan'men'bu'li 关门不利
'guan'xin'mai'er'xing'qi'xue 贯心脉而行气血
'guan'zhong 贯众
'guang'hong'jun'lie 光红龟裂
'gui'jie'wei'xia'jiao'qi'hua'shi'si 归结为下焦气化失司
'gui'jie'wei'zhong'jiao'qi'hua'shi'si 归结为中焦气化失司
'gui'jie'yu'shang'jiao'qi'hua'shi'si 归结于上焦气化失司
'gui'lv 规律
'gun're'de'you 滚热的油
'guo'bao 过饱
'guo'du'an'xian 过度安闲
'guo'du'an'yi 过度安逸
'guo'du'bei'you 过度悲忧
'guo'du'fen'nu 过度愤怒
'guo'du'lao'lei 过度劳累
'guo'fu'wen'zao'zhuang'yang'zhi'pin 过服温燥壮阳之品
'guo'ji 过饥
'guo'lao 过劳
'guo'shi'fei'gan 过食肥甘
'guo'shi'fei'gan'hou'wei 过食肥甘厚味
'guo'shi'gao'liang'hou'wei 过食膏粱厚味
'guo'shi'sheng'leng 过食生冷
'guo'yong'han'fa 过用汗法
'guo'yong'han'liang'ke'fa'yao'wu 过用寒凉克伐药物
'ha'ma'wen 虾蟆瘟
'han'bing'ji'jian'han'xiang 寒病即见寒象
'han'chu 汗出
'han'chu'er'tuo'jue 汗出而脱厥
'han'chu'guo'duo 汗出过多
'han'cong'zhong'sheng 寒从中生
'han'dai'yi'jia 汉代医家
'han'er'fa'zhi 汗而发之
'han'he're 寒和热
'han'ji'sheng're 寒极生热
'han'leng'de'hui'an'de 寒冷的晦暗的
'han'liang 寒凉
'han'liang'pai 寒凉派
'han'ning'yu'zu 寒凝瘀阻
'han're 寒热
'han're'jin'tui 寒热进退
'han're'wen'qing 寒热温清
'han'shi 寒湿
'han'shi'huo'shi're'xia'zhu 寒湿或湿热下注
'han'shi'nei'sheng 寒湿内生
'han'shi'zheng 寒实证
'han'shi'zheng 寒湿证
'han'shu'de'geng'yi 寒暑的更易
'han'wei'xin'zhi'ye 汗为心之液
'han'wei'yin 寒为阴
'han'wei'yin'xie 寒为阴邪
'han'xiang 寒象
'han'xie'ke'ren'xue'mai 寒邪客人血脉
'han'xie'qin'fan'ren'ti 寒邪侵犯人体
'han'xie'ren'xue 寒邪人血
'han'xing'ning'zhi 寒性凝滞
'han'xing'shou'yin 寒性收引
'han'yin'han'yong 寒因寒用
'han'yu'hua're 寒郁化热
'han'yu're 寒与热
'han'ze'qi'shou 寒则气收
'han'ze'zhen'qi'qu 寒则真气去
'han'zhan 寒战
'han'zheng 寒证
'han'zhi'xin'mai 寒滞心脉
'han'zhi'xue'mai 寒滞血脉
'han'zhong 寒中
'han'zhu'shou'yin 寒主收引
'hao'ji'shen'yin 耗及肾阴
'hao'mao'yao 毫毛摇
'hao'san'he'pai'xie'guo'duo 耗散和排泄过多
'hao'san'tai'guo 耗散太过
'hao'shang'gan'shen'zhi'yin 耗伤肝肾之阴
'hao'shang'qi'yin 耗伤气阴
'hao'shang'shen'qi 耗伤肾气
'hao'shang'xin'shen 耗伤心神
'hao'shang'xin'xue 耗伤心血
'hao'shang'xin'yin 耗伤心阴
'hao'shang'xin'yin'xin'xue 耗伤心阴心血
'hao'shang'yin'ye 耗伤阴液
'hao'sun'shen'yin 耗损肾阴
'hao'sun'xin'xue 耗损心血
'hao'xue'dong'xue 耗血动血
'he'bu'tong'de'bing'ren 和不同的病人
'he'jiang'shi'zhi 和降失职
'he'kuang'wu'yong'ye 何况误用也
'he'wei'ye 何谓也
'he'xi'nu'er'an'ju'chu 和喜怒而安居处
'he'yu'shu'shu 和于术数
'he'zhu'jing'luo 核诸经络
'he'zi'ran'zuo'dou'zheng 和自然作斗争
'hei'ye'yin'sheng 黑夜阴盛
'hen'bing'tan'he 痕病痰核
'hen'xue 痕血
'hen'xue'bu'qu 痕血不去
'hen'xue'suo'zhi'de'beng'lou 痕血所致的崩漏
'heng'ni'fan'pi 横逆犯脾
'heng'ni'fan'wei 横逆犯胃
'hong'lv 红缕
'hong'zhong're'tong 红肿热痛
'hou'ban'ye'wei'yin'zhong'zhi'yang 后半夜为阴中之阳
'hou'qi'shang'yin 后期伤阴
'hou'shi'mian'yi'xue 后世免疫学
'hou'suo'sheng'bing'ye 后所生病也
'hou'tian'shi'yang 后天失养
'hou'tian'yin'shi'shi'yang 后天饮食失养
'hou'tian'zhi'ben 后天之本
'hou'tian'zhi'jing 后天之精
'hou'yang'er'ke 喉痒而咳
'hou'zhi'ben'bing 后治本病
'hou'zhong'tan'ming'ru'shui'ji'sheng 喉中痰鸣如水鸡声
'hu'chu'xin'yu'fei 呼出心与肺
'hu'gen'hu'yong 互根互用
'hu'sheng'hu'yong 互生互用
'hu'shu'bu'chun 户枢不蠢
'hu'xi'bu'chang 呼吸不畅
'hu'xi'chuan'cu 呼吸喘促
'hu'xi'de'yi'chang 呼吸的异常
'hu'xi'duan'cu'er'nan 呼吸短促而难
'hu'xi'duan'qian 呼吸短浅
'hu'xi'gong'neng'you'suo'shuai'jian 呼吸功能有所衰减
'hu'xi'ji'neng'jian'tui 呼吸机能减退
'hu'xi'jian'ruo 呼吸减弱
'hu'xi'qi'duan 呼吸气短
'hu'xiang'lian'xi 互相联系
'hu'xiang'xiao'zhang 互相消长
'hu'xiang'ying'xiang 互相影响
'hu'xiang'zhi'yue 互相制约
'hua'gai 华盖
'hua'jing 滑精
'hua'li 滑利
'hua'li'guan'jie 滑利关节
'hua're 化热
'hua'sheng'nei're 化生内热
'hua'sheng'qi'xue 化生气血
'hua'sheng'xue'ye'de'gong'neng'jian'ruo 化生血液的功能减弱
'hua'shi 化湿
'hua'tuo 华佗
'hua'tuo 滑脱
'hua'wu'chu'yan 化物出焉
'hua'xue'du'ji 化学毒剂
'hua'yuan'bu'zu 化源不足
'huan'bing'duo'xu'zheng 患病多虚证
'huan'he'jin'zhang'qing'xu 缓和紧张情绪
'huan'jing 环境
'huan'jing'he'yin'shi 环境和饮食
'huan'liu 痪瘤
'huan'xue'pi'xue 痪血癖血
'huan'ze'zhi'qi'ben 缓则治其本
'huan'zhe'ge'ti 患者个体
'huan'zhou'bu'xiu 环周不休
'huang'di'nei'jing 黄帝内经
'huang'hun 黄昏
'huang'ju 黄疽
'huang'kong'bu'an 惶恐不安
'hui'an'jia'shen 慧安加甚
'hui'chong 蛔虫
'hui'chong'cuan'jin'dan'dao 蛔虫窜进胆道
'hui'chong'yu'gu'er'yang'gu 徽充于骨而养骨
'hui'fan 秽饭
'hui'fu'ti'li'he'nao'li 恢复体力和脑力
'hui'jue'zheng 蛔厥证
'hui'yan'sheng'di 徽言声低
'hun'bu'zhi'ren 昏不知人
'hun'jue'zu'dao 昏厥卒倒
'hun'mao 昏冒
'hun'mi 昏迷
'hun'po'bi'ju 魂魄毕具
'hun'pu'bu'yu 昏仆不语
'hun'shui 昏睡
'hun'za'er'xia 混杂而下
'huo'bu'sheng'tu 火不生土
'huo'chi 或迟
'huo'deng 火等
'huo'du'nei'gong 火毒内攻
'huo'jie'dai 或结代
'huo'luan 霍乱
'huo'luan'tu'xie 霍乱吐泻
'huo're 火热
'huo're'nei'rao 火热内扰
'huo're'nei'sheng 火热内生
'huo're'shang'ren 火热伤人
'huo're'wei'yang'xie 火热为阳邪
'huo're'xie'qi 火热邪气
'huo're'yang'xie 火热阳邪
'huo're'zheng'xiang 火热征象
'huo're'zhi'xie 火热之邪
'huo're'zhi'xie'qin'xi'ren'ti 火热之邪侵袭人体
'huo're'zhi'xie'ru'yu'xue'fen 火热之邪入于血分
'huo're'zhi'xing 火热之性
'huo're'zhuo'shang'wei'zhi'mai'luo 火热灼伤胃之脉络
'huo'sheng 火盛
'huo'sheng'yu'yang 或生于阳
'huo'sheng'yu'yin 或生于阴
'huo'shu 或数
'huo'wei're'zhi'ji 火为热之极
'huo'wei'yang 火为阳
'huo'xie'rao'xin 火邪扰心
'huo'xie'zhi'bing 火邪致病
'huo'xing're'er'yan'shang'gu'shu'yang 火性热而炎上故属阳
'huo'xing'yan'shang 火性炎上
'huo'xue'hua'hen 活血化痕
'huo'xue'qu'pi 活血祛疲
'huo'xue'qu'pi'fa 活血祛癖法
'huo'yi'hao'qi'shang'jin 火易耗气伤津
'huo'yi'sheng'feng'dong'xue 火易生风动血
'huo'yi'zhi'zhong'yang 火易致肿疡
'huo'yue'yan'shang 火曰炎上
'ji'bao'shi'chang 饥饱失常
'ji'ben'gai'nian 基本概念
'ji'ben'xiang'tong'de'zhi'fa 基本相同的治法
'ji'bian'bing'you'bian'zheng 既辨病又辨证
'ji'bing'de'fa'sheng 疾病的发生
'ji'bing'de'fa'zhan'ji'zhuan'gui 疾病的发展及转归
'ji'bing'de'qing'zhong 疾病的轻重
'ji'bing'de'qing'zhong'shun'ni 疾病的轻重顺逆
'ji'bing'de'zheng'xiang'yu'ji'bing'de'xing'zhi'shi'xiang'fu 疾病的征象与疾病的性质是相符
'ji'bing'fa'sheng'de'nei'zai'yuan'yin'he'gen'ju 疾病发生的内在原因和根据
'ji'bing'fang'bian 既病防变
'ji'bing'fang'bian'fa'ze 既病防变法则
'ji'bing'wu'cong'fa'sheng 疾病无从发生
'ji'bing'yu'gan'xie'qing'zhong'de'guan'xi 疾病与感邪轻重的关系
'ji'bing'yu'zheng'qi'qiang'ruo'de'guan'xi 疾病与正气强弱的关系
'ji'bing'zhi'hou 既病之后
'ji'bu'xiang'ru 既不相入
'ji'cun'yu'ti'nei'er'xing'cheng'yu'xue 积存于体内而形成瘀血
'ji'da'gong'xian 极大贡献
'ji'du'shuai'tui 极度衰退
'ji'er'cheng'shui 积而成水
'ji'fa'ta'bing 继发它病
'ji'fan'nei'wai'za'zheng 即凡内外杂证
'ji'fu'gan'zao 肌肤干燥
'ji'fu'gan'zao'bu'ze 肌肤干燥不泽
'ji'fu'jia'cuo 肌肤甲错
'ji'fu'mao'fa'ku'gao 肌肤毛发枯搞
'ji'fu'shi'yu'ru'yang 肌肤失于濡养
'ji'fu'shou'zu'ni'leng 肌肤手足逆冷
'ji'fu'shui'zhong 肌肤水肿
'ji'ji'de 积极的
'ji'jie 季节
'ji'jie'jiao'huan 季节交换
'ji'jie'qi'hou 季节气候
'ji'jie'xing 季节性
'ji'jie'xing'de'duo'fa'bing 季节性的多发病
'ji'jing'quan'shen 积精全神
'ji'ju'chuang'yin 积聚疮瘾
'ji'ju'e'hua 急剧恶化
'ji'li'song'shu 肌理松疏
'ji'neng'kang'fen 机能亢奋
'ji'rou'ruo'yi 肌肉若一
'ji'rou'xiao'shou 肌肉消瘦
'ji'ru'feng'yu 疾如风雨
'ji'ruo'bu'yong 疾弱不用
'ji'shen'yu'xin 积神于心
'ji'sheng'chong'bing 寄生虫病
'ji'shi'fa'xian 及时发现
'ji'shui'chen'zhi'ke'sheng'bing 积水沉之可生病
'ji'sui 脊髓
'ji'ti'de'sheng'zhang'fa'yu'he'sheng'zhi'ji'neng'bu'liang 机体的生长发育和生殖机能不良
'ji'ti'fan'ying'xing 机体反应性
'ji'ti'jin'ye'bu'zu 机体津液不足
'ji'ti'nei'bu 机体内部
'ji'ti'nei'zang'wei'zhi'xiang'dui'heng'ding 机体内脏位置相对恒定
'ji'ti'qian'biao'jing'luo 机体浅表经络
'ji'ti'shou'si'shi'geng'di'de'ying'xiang 机体受四时更递的影响
'ji'ti'zhong'du 机体中毒
'ji'tou'jun'gong 忌投峻攻
'ji'wei'zhi'yuan'qi'yi'hao'er'nan'fu'ye 几微之元气易耗而难复也
'ji'xing'bing'de'wei'zhong'jie'duan 急性病的危重阶段
'ji'xing'bing'hui'fu'qi 急性病恢复期
'ji'xing're'bing 急性热病
'ji'yang'wei'tian 积阳为天
'ji'yi'bu'qi'gu'tuo 急宜补气固脱
'ji'yi'hao'shang'yin'xue 极易耗伤阴血
'ji'yi'li'shuai'tui 记忆力衰退
