'an'cha'xiao 暗插销
'fen'ceng'hang'shi 分层夯实
'fen'mian'shi 分娩室
'fen'quan'shu'zhi 酚醛树脂
'fen'shua 粉刷
'fen'xian'he 分线盒
'fen'zhi 分支
'fen'zhi'dian'lu 分支电路
'feng'bi 封闭
'feng'bi'chu'li 封闭处理
'feng'bi'lou'ti 封闭楼梯
'feng'he'zai 风荷载
'feng'ji 风机
'feng'li'fa'dian'ji 风力发电机
'feng'ren'che'jian 缝纫车间
'fu'chan'ke 妇产科
'fu'chan'yi'yuan 妇产医院
'fu'hao 符号
'fu'he 负荷
'fu'he'cai'liao 复合材料
'fu'jian 附件
'fu'lu 附录
'fu'she 敷设
'fu'she'guan'dao 辐射管道
'fu'shi'dian 副食店
'fu'shi'jia'gong'chang 副食加工厂
'fu'shi'jia'gong'jian 副食加工间
'fu'shou 扶手
'fu'shu'gong'cheng 附属工程
'fu'shu'jian'zhu 附属建筑
'fu'shu'she'bei 附属设备
'fu'shu'yi'yuan 附属医院
'fu'tu 附图
'fu'wen 附文
'fu'wu'ban'jing 服务半径
'fu'wu'dian'ti 服务电梯
'fu'wu'fan'wei 服务范围
'fu'wu'gui'tai 服务柜台
'fu'wu'lou'ti 服务楼梯
'fu'wu'tai 服务台
'fu'wu'zhong'xin 服务中心
'fu'wu'zou'lang 服务走廊
'fu'xian 敷线
'fu'yin 复印
'fu'yin'ji 复印机
'fu'yin'shi 复印室
'fu'zhu'guang 辅助光
'fu'zhu'guang'yuan 辅助光源
'fu'zhu'kai'guan 辅助开关
'fu'zhu'she'bei 辅助设备
'fu'zhu'she'ji 辅助设计
'fu'zhu'zhao'ming 辅助照明
'fu'zhuang'chang 服装厂
'fu'zhuang'shang'dian 服装商店
'gai'jian'gong'cheng 改建工程
'gai'suan 概算
'gai'suan'ding'e 概算定额
'gai'suan'shu 概算书
'gai'suan'wen'jian 概算文件
'gai'suan'zao'jia 概算造价
'gai'yao 概要
'gai'zi 盖子
'gan'guan 干管
'gan'shi'bian'ya'qi 干式变压器
'gan'shi'tong'qi'guan 干式通气管
'gan'shi'xiao'fang'li'guan 干式消防立管
'gan'shi'yu'zhi'zhuang'pei'gou'zao 干式预制装配构造
'gan'shi'zi'dong'pen'shui'xi'tong 干式自动喷水系统
'gan'xian 干线
'gan'xian'dian'lan 干线电缆
'gan'ying'dian'dong'ji 感应电动机
'gan'ying'xian'quan 感应线圈
'gan'ying'xiao'ying 感应效应
'gan'zao'ji 干燥机
'gan'zao'shi 干燥室
'gan'zhe'ban 甘蔗板
'gang'ban 钢板
'gang'ban'wang'diao'ding 钢板网吊顶
'gang'ban'wang'ding'peng 钢板网顶棚
'gang'ban'wang'ge'duan 钢板网隔断
'gang'ban'wang'mo'hui 钢板网抹灰
'gang'cai 钢材
'gang'cai'biao 钢材表
'gang'cai'yi'lan'biao 刚才一览表
'gang'guan 钢管
'gang'jie'gou 钢结构
'gang'jie'gou'gong'cheng 钢结构工程
'gang'jie'gou'she'ji 钢结构设计
'gang'jin'bao'hu'ceng 钢筋保护层
'gang'jin'biao 钢筋表
'gang'jin'hun'ning'tu'gong'cheng 钢筋混凝土工程
'gang'jin'hun'ning'tu'gou'jian 钢筋混凝土构件
'gang'jin'hun'ning'tu'guan 钢筋混凝土管
'gang'jin'hun'ning'tu'guo'liang 钢筋混凝土过梁
'gang'jin'hun'ning'tu'jian'li'qiang 钢筋混凝土剪力墙
'gang'jin'hun'ning'tu'jie'gou 钢筋混凝土结构
'gang'jin'hun'ning'tu'liang 钢筋混凝土梁
'gang'jin'hun'ning'tu'lou'gai 钢筋混凝土楼盖
'gang'jin'hun'ning'tu'lou'ti 钢筋混凝土楼梯
'gang'jin'hun'ning'tu'lu'mian 钢筋混凝土路面
'gang'jin'hun'ning'tu'wu'liang'lou'gai 钢筋混凝土无梁楼盖
'gang'jin'hun'ning'tu'yan'cong 钢筋混凝土烟囱
'gang'jin'jia'qi'hun'ning'tu'guo'liang 钢筋加气混凝土过梁
'gang'jin'wang 钢筋网
'gang'jin'zhi'jing 钢筋直径
'gang'jin'zhuan'guo'liang 钢筋砖过梁
'gang'jin'zhuan'qi'ti 钢筋砖砌体
'gang'liang 钢梁
'gang'long'gu 钢龙骨
'gang'lou'ti 钢楼梯
'gang'men 钢门
'gang'mo 钢模
'gang'mu'ban 钢模板
'gang'si'sheng 钢丝绳
'gang'si'wang'ge'duan 钢丝网隔断
'gang'tie'chang 钢铁厂
'gang'wa'xia'shui'dao 钢瓦下水道
'gang'xin 钢芯
'gang'xin'lv'xian 钢芯铝线
'gang'xin'tong'xian 钢芯铜线
'gao'biao'hao'shui'ni 高标号水泥
'gao'biao'hao'shui'ni'sha'jiang 高标号水泥砂浆
'gao'ceng'gong'yu 高层公寓
'gao'cheng 高程
'gao'dian'ya 高电压
'gao'ji'gong'cheng'shi 高级工程师
'gao'ji'jian'zhu'shi 高级建筑师
'gao'pin'han'jie 高频焊接
'gao'pin'yang'sheng'qi 高频扬声器
'gao'su'dian'ti 高速电梯
'gao'su'ke'ti 高速客梯
'gao'ya'bian'ya'qi 高压变压器
'gao'ya'dian'lan 高压电缆
'gao'ya'dian'yuan 高压电源
'gao'ya'kai'guan 高压开关
'gao'ya'kai'guan'ban 高压开关板
'gao'ya'na'qi'deng 高压钠汽灯
'gao'ya'pei'dian'pan 高压配电盘
'gao'ya'shui'yin'deng 高压水银灯
'gao'ya'xian 高压线
'gao'ya'xian'quan 高压线圈
'gao'yin'la'ba 高音喇叭
'ge'duan 隔断
'ge'duan'ban 隔断板
'ge'huo'qiang 隔火墙
'ge'huo'she'shi 隔火设施
'ge'ju'yuan 歌剧院
'ge'li'bing'fang 隔离病房
'ge'li'ceng 隔离层
'ge'li'kai'guan 隔离开关
'ge'li'shi 隔离室
'ge'li'yi'yuan 隔离医院
'ge'li'zhen'shi 隔离诊室
'ge'lin'ni'zhi'shi'jian 格林尼治时间
'ge'pian'san'guang'zhao 格片散光罩
'ge'qiang 隔墙
'ge're 隔热
'ge're'ban 隔热板
'ge're'bo'li 隔热玻璃
'ge're'cai'liao 隔热材料
'ge're'ceng 隔热层
'ge're'di'ban 隔热地板
'ge're'hun'ning'tu 隔热混凝土
'ge're'nai'huo'cai'liao 隔热耐火材料
'ge'shan 格栅
'ge'sheng'dian 隔声垫
'ge'sheng'gong'cheng 隔声工程
'ge'ti'jian'zhu 个体建筑
'ge'yin'ban 隔音板
'ge'yin'cai'liao 隔音材料
'ge'yin'ceng 隔音层
'ge'yin'hun'ning'tu 隔音混凝土
'ge'yin'men 隔音门
'ge'yin'qiang 隔音墙
'ge'yin'shi 隔音室
'geng'yi'shi 更衣室
'geng'yi'shu'xi'shi 更衣梳洗室
'gong'chang 工厂
'gong'chang'jian'zhu 工厂建筑
'gong'chang'zhao'ming 工厂照明
'gong'cheng 工程
'gong'cheng'bian'geng 工程变更
'gong'cheng'bian'hao 工程编号
'gong'cheng'di'dian 工程地点
'gong'cheng'fa'gui 工程法规
'gong'cheng'gai'suan'biao 工程概算表
'gong'cheng'ji'shu'ren'yuan 工程技术人员
'gong'cheng'jian'cha 工程检查
'gong'cheng'jian'du 工程监督
'gong'cheng'jun'gong 工程竣工
'gong'cheng'kai'gong 工程开工
'gong'cheng'liang'dan'jia'biao 工程量单价表
'gong'cheng'liang'gu'suan 工程量估算
'gong'cheng'ren'wu'dan 工程任务单
'gong'cheng'rong'liang 公称容量
'gong'cheng'shi 工程师
'gong'cheng'shi'dai'biao 工程师代表
'gong'cheng'shi'xu'ke'zheng 工程师许可证
'gong'cheng'shi'xu'ke'zheng'ming 工程师许可证明
'gong'cheng'su'liao 工程塑料
'gong'cheng'xiang'mu 工程项目
'gong'cheng'xiang'mu'ming'xi'biao 工程项目明细表
'gong'cheng'yan'shou 工程验收
'gong'cheng'yu'suan 工程预算
'gong'cheng'zao'jia 工程造价
'gong'cheng'zhi'hui'bu 工程指挥部
'gong'cheng'zhi'jing 公称直径
'gong'cheng'zhu'chi'ren 工程主持人
'gong'deng 宫灯
'gong'di 工地
'gong'di'shi'yan'shi 工地实验室
'gong'di'zhu'ren 工地主任
'gong'dian 供电
'gong'dian'gan'xian 供电干线
'gong'dian'ji'zu 供电机组
'gong'dian'ju 供电局
'gong'dian'she'bei 供电设备
'gong'dian'wang 供电网
'gong'dian'xi'tong 供电系统
'gong'duan 工段
'gong'duan'chang 工段长
'gong'duan'gong'cheng'shi 工段工程师
'gong'gong'ce'suo 公共厕所
'gong'gong'chang'suo 公共场所
'gong'gong'fu'wu'she'shi 公共服务设施
'gong'gong'guan'xi'shi 公共盥洗室
'gong'gong'guang'bo'xi'tong 公共广播系统
'gong'gong'jian'zhu 公共建筑
'gong'gong'qi'che'zhan'tai 公共汽车站台
'gong'gong'qi'che'zong'zhan 公共汽车总站
'gong'gong'shi'tang 公共食堂
'gong'gong'shu'san'kou 公共疏散口
'gong'gong'yu'le'chang'suo 公共娱乐场所
'gong'gong'yu'shi 公共浴室
'gong'gong'zao'tang 公共澡堂
'gong'gong'zhao'ming 公共照明
'gong'hui 工会
'gong'jin 公斤
'gong'jin'mi 公斤米
'gong'ju'che'jian 工具车间
'gong'ju'jian 工具间
'gong'li 公厘
'gong'lu'gan'xian 公路干线
'gong'lu'qiao 公路桥
'gong'lu'she'ji 公路设计
'gong'lu'zhao'ming 公路照明
'gong'lv 功率
'gong'lv'yin'shu 功率因数
'gong'neng'yu'tong'feng 功能与通风
'gong'nuan'xi'tong 供暖系统
'gong'qi'guan 供气管
'gong'qi'guan'dao 供气管道
'gong'qing 公顷
'gong'ri 工日
'gong'shi 工时
'gong'shi'ding'e 工时定额
'gong'si 公司
'gong'ye'biao'zhun 工业标准
'gong'ye'chang'fang 工业厂房
'gong'ye'she'ji 工业设计
'gong'ye'yong'dian 工业用电
'gong'yi 工艺
'gong'yi'liu'cheng'tu 工艺流程图
'gong'yi'yao'qiu 工艺要求
'gong'yong'dian'hua'jian 公用电话间
'gong'yong'dian'hua'xi'tong 公用电话系统
'gong'yong'tian'xian 共用天线
'gong'yong'tian'xian'dian'shi 共用天线电视
'gong'yong'xian 共用线
'gong'yu 公寓
'gong'yu'lou 公寓楼
'gong'yuan 公园
'gong'zi'gang 工字钢
'gong'zi'liang 工字梁
'gong'zi'tie 工字铁
'gong'zuo'deng 工作灯
'gong'zuo'dian'ya 工作电压
'gong'zuo'dian'yuan 工作电源
'gong'zuo'tai 工作台
'gou'cheng 构成
'gou'gai'ban 沟盖板
'gou'jia'an'zhuang 构架安装
'gou'jian 构件
'gou'si'jie'duan 构思阶段
'gou'zao 构造
'gou'zao'feng 构造缝
'gou'zao'wu 构造物
'gou'zao'xiang'tu 构造详图
'gu'dai'jian'zhu 古代建筑
'gu'ding'zhuang'zhi 固定装置
'gu'feng'ji 鼓风机
'gu'ke 骨科
'gu'ti'dian'lu 固体电路
'gu'wen'gong'cheng'shi 顾问工程师
'gu'wen'jian'zhu'shi 顾问建筑师
'gu'wen'shi 顾问室
'gu'zhang 故障
'gua'jing'xian 挂镜线
'guan'bi 管壁
'guan'bi'hou 管壁厚
'guan'cha'chuang 观察窗
'guan'cha'jing 观察井
'guan'cha'kong 观察孔
'guan'dao 管道
'guan'dao'an'zhuang 管道安装
'guan'dao'bao'wen 管道保温
'guan'dao'jian 管道间
'guan'dao'jing 管道井
'guan'dao'nei'di'biao'gao 管道内底标高
'guan'dao'she'ji 管道设计
'guan'dao'xi'tong'tu 管道系统图
'guan'feng 灌缝
'guan'gou 管沟
'guan'nei'fu'xian 管内敷线
'guan'nei'jing 管内径
'guan'tou'chang 罐头厂
'guan'tou'shi'pin'chang 罐头食品厂
'guan'wai'jing 管外径
'guan'wang'zong'he 管网综合
'guan'xi'shi 盥洗室
'guan'xian 管线
'guan'xian'bu'zhi 管线布置
'guan'xian'xi'tong 管线系统
'guan'xing'rong'duan'qi 管型熔断器
'guan'zhong'xi 观众席
'guan'zhong'xi'zhao'ming 观众席照明
'guan'zhong'zuo'yi 观众座椅
'guan'zi'diao'jia 管子吊架
'guan'zi'gu 管子箍
'guan'zi'tuo'jia 管子托架
'guang'bo'jie'shuo'jian 广播解说间
'guang'bo'shi 广播室
'guang'bo'zhan 广播站
'guang'chang 广场
'guang'dian'guan 光电管
'guang'dian'kong'zhi 光电控制
'guang'dian'kong'zhi'zhuang'zhi 光电控制装置
'guang'dian'xiao'ying 光电效应
'guang'du 光度
'guang'gao'pai 广告牌
'guang'jiao'xing'zhao'ming'qi 广角型照明器
'guang'min'kai'guan 光敏开关
'guang'qiang 光强
'guang'qiang'fen'bu'qu'xian 光强分布曲线
'guang'shu 光束
'guang'tong'liang 光通量
'guang'tong'liang'fa 光通量法
'guang'xue'shi'yan'shi 光学实验室
'guang'yuan 光源
'gui'bin'shi 贵宾室
'gui'bin'xiu'xi'shi 贵宾休息室
'gui'cheng 规程
'gui'ding 规定
'gui'fan 规范
'gui'fan'hua 规范化
'gui'gang'pian 硅钢片
'gui'ge 规格
'gui'hua 规划
'gui'tai 柜台
'gui'zhang 规章
'guo'bin'guan 国宾馆
'guo'dao 过道
'guo'dian'liu 过电流
'guo'dian'liu'bao'hu 过电流保护
'guo'dian'liu'bao'hu'zhuang'zhi 过电流保护装置
'guo'dian'liu'ji'dian'qi 过电流继电器
'guo'dian'ya 过电压
'guo'dian'ya'bao'hu 过电压保护
'guo'ji'biao'zhun 国际标准
'guo'ji'biao'zhun'hua'zu'zhi 国际标准化组织
'guo'ji'bo'lan'hui 国际博览会
'guo'ji'dan'wei 国际单位
'guo'ji'ji'chang 国际机场
'guo'ji'lv'you'lv'guan 国际旅游旅馆
'guo'ji'mao'yi'zhong'xin 国际贸易中心
'guo'ji'shui'ping 国际水平
'guo'ji'wu'zhang'ai'tong'yong'biao'zhi 国际无障碍通用标志
'guo'ji'zhan'lan'hui 国际展览会
'guo'ji'zhao'biao 国际招标
'guo'ji'zhu'guang 国际烛光
'guo'jia'biao'zhun 国家标准
'guo'jia'gui'fan 国家规范
'guo'jia'ke'wei 国家科委
'guo'jia'ke'xue'ji'shu'wei'yuan'hui 国家科学技术委员会
'guo'jia'xiang'mu 国家项目
'guo'jie'lou 过街楼
'guo'lu 锅炉
'guo'lu'fang 锅炉房
'guo'lu'ji'shui'beng 锅炉给水泵
'guo'lu'jian 锅炉间
'guo'lu'rong'liang 锅炉容量
'guo'lu'yan'dao 锅炉烟道
'guo'lv'ceng 过滤层
'guo'lv'qi 过滤器
'guo'lv'shi 过滤室
'guo'lv'zhuang'zhi 过滤装置
'guo'zai 过载
'guo'zai'bao'hu 过载保护
'guo'zai'duan'lu'qi 过载断路器
'guo'zai'ji'dian'qi 过载继电器
'guo'zai'neng'li 过载能力
'guo'zai'shi'yan 过载试验
'hai'di'dian'lan 海底电缆
'hai'gong'jian'zhu 海工建筑
'hai'guan 海关
'hai'guan'ban'gong'shi 海关办公室
'hai'guan'da'ting 海关大厅
'hai'guan'jian'cha'zhan 海关检查站
'han'bing'chang 旱冰场
'han'feng 焊缝
'han'jie 焊接
'han'jie'che'jian 焊接车间
'han'jie'gang'guan 焊接钢管
'han'jie'gang'jie'gou 焊接钢结构
'han'jie'gang'jin 焊接钢筋
'han'jie'gang'jin'wang 焊接钢筋网
'han'jie'guan 焊接管
'han'shi'du 含湿度
'han'shui'du 含水度
'han'xi 焊锡
'han'you 焊油
'hang'shi'hui'tian'tu 夯实回填土
'hao'an 毫安
'hao'dian'liang 耗电量
'hao'hua'lv'guan 豪华旅馆
'hao'ke 毫克
'hao'mi 毫米
'hao'miao 毫秒
'hao'ou 毫欧
'hao'sheng 毫升
'hao'wa 毫瓦
'he'dian'zhan 核电站
'he'ge'zheng 合格证
'he'ge'zheng'ming'shu 合格证明书
'he'jin'gang 合金钢
'he'jin'guan 合金管
'he'tong'xiang'mu 合同项目
'he'yong'xian 合用线
'he'zai 荷载
'he'zi 赫兹
'he'zi'gong'si 合资公司
'he'zuo'shang'dian 合作商店
'he'zuo'she 合作社
'he'zuo'she'ji 合作设计
'hei'tie'guan 黑铁管
'hei'tie'pi 黑铁皮
'heng'duan'mian 横断面
'heng'duan'mian'mian'ji 横断面面积
'heng'jia 桁架
'heng'jie'mian 横截面
'heng'pou'mian 横剖面
'heng'wen'heng'shi 恒温恒湿
'heng'wen'she'bei 恒温设备
'heng'wen'shi 恒温室
'heng'xiang'shen'suo'feng 横向伸缩缝
'heng'xiang'shu'san'kou 横向疏散口
'heng'ya'bian'ya'qi 恒压变压器
'hong'deng 红灯
'hong'lv'deng 红绿灯
'hong'se 红色
'hong'shou'qi 烘手器
'hong'song 红松
'hong'wai'xian'deng 红外线灯
'hou'bi'guan 厚壁管
'hou'che'shi 候车室
'hou'du 厚度
'hou'gang'ban 厚钢板
'hou'ji'lou 候机楼
'hou'ji'shi 候机室
'hou'li'mian 后立面
'hou'lou'ti 后楼梯
'hou'men 后门
'hou'mu'ban 厚木板
'hou'shi'tu 后视图
'hou'tai 后台
'hou'tai'qu 后台区
'hou'tai'ru'kou 后台入口
'hou'yuan 后院
'hou'zhen'shi 候诊室
'hu'ban 护板
'hu'guang'deng 弧光灯
'hu'guang'deng'zhao'ming 弧光灯照明
'hu'guang'ju'guang'deng 弧光聚光灯
'hu'han 弧焊
'hu'huan'xi'tong 呼唤系统
'hu'jiao'an'niu 呼叫按钮
'hu'jiao'deng 呼叫灯
'hu'jiao'ling 呼叫铃
'hu'jiao'zhuang'zhi 呼叫装置
'hu'shi'hu'jiao'xi'tong 护士呼叫系统
'hu'shi'shi 护士室
'hu'shi'zhan 护士站
'hu'shi'zhang'shi 护士长室
'hu'tao'xian 护套线
'hu'wai'ce'suo 户外厕所
'hua'che 滑车
'hua'dao 滑道
'hua'fang 花房
'hua'gang'shi 花岗石
'hua'gang'shi'ban 花岗石板
'hua'gang'shi'ban'di'mian 花岗石板地面
'hua'gong'chang 化工厂
'hua'gui 滑轨
'hua'lan'luo'si 花篮螺丝
'hua'lun 滑轮
'hua'ti 滑梯
'hua'xue'chu'li 化学处理
'hua'xue'mie'huo 化学灭火
'hua'xue'pao'mo'mie'huo'qi 化学泡沫灭火器
'hua'xue'ruan'shui'she'bei 化学软水设备
'hua'xue'shi'yan'shi 化学实验室
'hua'yan'shi 化验室
'hua'zhuang'jing 化装镜
'hua'zhuang'shi 化妆室
'hua'zhuang'tai 化妆台
'huan'deng 幻灯
'huan'deng'ji 幻灯机
'huan'jing'qi'hou 环境气候
'huan'jing'she'ji 环境设计
'huan'jing'tiao'jian 环境条件
'huan'jing'wen'du 环境温度
'huan'jing'wu'ran 环境污染
'huan'jing'zao'sheng 环境噪声
'huan'liu'qi 换流器
'huan'neng'qi 换能器
'huan'qi'zhuang'zhi 换气装置
'huan'suan 换算
'huan'xing'gan'guan'bu'zhi 环形干管布置
'huan'yang'shu'zhi 环氧树脂
'huan'yang'shu'zhi'jiao 环氧树脂胶
'huang'tong 黄铜
'huang'tong'ban 黄铜板
'huang'tong'dian'quan 黄铜垫圈
'huang'tong'guan 黄铜管
'huang'tong'tao'guan 黄铜套管
'hui'chang 会场
'hui'feng'guan'dao 回风管道
'hui'feng'guan'dao'xi'tong 回风管道系统
'hui'feng'kou 回风口
'hui'feng'xi'tong 回风系统
'hui'fu'zhong'xin 恢复中心
'hui'guang 辉光
'hui'guang'deng 辉光灯
'hui'guang'fang'dian 辉光放电
'hui'ke'shi 会客室
'hui'lu 回路
'hui'shui'gan'guan 回水干管
'hui'shui'guan 回水管
'hui'shui'li'guan 回水立管
'hui'shui'xi'tong 回水系统
'hui'tang 会堂
'hui'tian'ji 回填机
'hui'tian'tu 回填土
'hui'tu'hang'shi 灰土夯实
'hui'tu'shi 绘图室
'hui'yi'lv'guan 会议旅馆
'hui'yi'shi 会议室
'hui'yi'ting 会议厅
'hui'yi'yan'hui'ting 会议宴会厅
'hui'yin'lang 回音廊
'hui'yuan'xiu'xi'shi 会员休息室
'hui'zhuan'ban'jing 回转半径
'hun'he'jie'gou 混合结构
'hun'ning'tu'ban 混凝土板
'hun'ning'tu'bao'hu'ceng 混凝土保护层
'hun'ning'tu'biao'hao 混凝土标号
'hun'ning'tu'chuang'tai 混凝土窗台
'hun'ning'tu'di'mian 混凝土地面
'hun'ning'tu'fang'huo'ceng 混凝土防火层
'hun'ning'tu'guan'feng 混凝土灌缝
'hun'ning'tu'guo'liang 混凝土过梁
'hun'ning'tu'lu'mian'ban 混凝土路面版
'hun'ning'tu'mian'ceng 混凝土面层
'hun'ning'tu'mo'ban 混凝土模板
'hun'ning'tu'pei'jin 混凝土配筋
'hun'ning'tu'qi'kuai 混凝土砌块
'hun'ning'tu'qi'kuai'gong'cheng 混凝土砌块工程
'hun'ning'tu'qi'ti 混凝土砌体
'hun'ning'tu'qiang 混凝土墙
'hun'ning'tu'yi'ci'jiao'guan 混凝土一次浇灌
'hun'ning'tu'yu'mai'jian 混凝土预埋件
'hun'ning'tu'zhao'ping'ceng 混凝土找平层
'hun'xiang'shi'jian 混响时间
'huo'chang 货场
'huo'che'zhan 火车站
'huo'dong'di'ban 活动地板
'huo'dong'ge'duan 活动隔断
'huo'dong'mu'di'ban 活动木地板
'huo'dong'ping'feng 活动屏风
'huo'dong'ping'tai 活动平台
'huo'dong'shi 活动室
'huo'dong'tai'kou 活动台口
'huo'dong'wu'tai 活动舞台
'huo'jing'bao'jing 火警报警
'huo'jing'bao'jing'xi'tong 火警报警系统
'huo'li'fa'dian'zhan 火力发电站
'huo'ti 货梯
'huo'wu'cun'fang'shi 货物存放室
'huo'zai 火灾
'huo'zai'fen'lei 火灾分类
'ji'ben'jian'she'xiang'mu 基本建设项目
'ji'ben'shu'ju 基本数据
'ji'ben'tu'zhi 基本图纸
'ji'chang'biao'zhi 机场标志
'ji'chang'deng'biao 机场灯标
'ji'chang'pao'dao 机场跑道
'ji'chang'zhao'ming 机场照明
'ji'chang'zhi'hui'ta 机场指挥塔
'ji'cheng'dian'lu 集成电路
'ji'chu 基础
'ji'chu'ping'mian'tu 基础平面图
'ji'dian'bao'hu 继电保护
'ji'dian'qi 继电器
'ji'dong'leng'ku 急冻冷库
'ji'fang 机房
'ji'gong'che'jian 机工车间
'ji'jiu'shi 急救室
'ji'jiu'shou'shu'shi 急救手术室
'ji'jiu'zhan 急救站
'ji'liang'dan'wei 计量单位
'ji'nian'guan 纪念馆
'ji'nian'tang 纪念堂
'ji'pai'shui'tu'zhi 给排水图纸
'ji'pai'shui'zhuan'ye 给排水专业
'ji'shu'biao'zhun 技术标准
'ji'shu'can'shu 技术参数
'ji'shu'cao'zuo'gui'cheng 技术操作规程
'ji'shu'cuo'shi 技术措施
'ji'shu'dian'lu 计数电路
'ji'shu'gui'fan 技术规范
'ji'shu'he'zuo 技术合作
'ji'shu'jian'ding 技术鉴定
'ji'shu'ming'ci 技术名词
'ji'shu'ren'yuan 技术人员
'ji'shu'she'ji'jie'duan 技术设计阶段
'ji'shu'shou'ce 技术手册
'ji'shu'shuo'ming'shu 技术说明书
'ji'shu'tiao'jian 技术条件
'ji'shu'yan'jiu 技术研究
'ji'shu'yuan 技术员
'ji'shu'zhi'biao 技术指标
'ji'shu'zi'liao 技术资料
'ji'shui'beng 给水泵
'ji'shui'guan 给水管
'ji'shui'guan'xian 给水管线
'ji'shui'li'guan 给水立管
'ji'shui'xiang 给水箱
'ji'shui'zhuang'zhi 给水装置
'ji'suan'can'shu 计算参数
'ji'suan'ji 计算机
'ji'suan'ji'kong'zhi 计算机控制
'ji'suan'ji'shi 计算机室
'ji'suan'ji'xi'tong 计算机系统
'ji'xian'kai'guan 极限开关
'ji'xie'gong'cheng'shi 机械工程师
'ji'xie'pai'qi'tong'feng'xi'tong 机械排气通风系统
'ji'xie'pai'yan'xi'tong 机械排烟系统
'ji'xie'qiang'du 机械强度
'ji'xie'she'bei 机械设备
'ji'xie'song'feng 机械送风
'ji'xie'tong'feng 机械通风
'ji'xie'tong'feng'xi'tong 机械通风系统
'ji'xiu'che'jian 机修车间
'ji'zhe'xi 记者席
'ji'zhong 集中
'ji'zhong'gong'nuan 集中供暖
'ji'zhong'gong'nuan'xi'tong 集中供暖系统
'ji'zhong'kong'tiao 集中空调
'ji'zhong'kong'tiao'xi'tong 集中空调系统
'ji'zhong'pai'shui 集中排水
'ji'zhong'zhi'leng 集中制冷
'ji'zhong'zhi'leng'xi'tong 集中制冷系统
'ji'zu 机组
'jia'ceng 夹层
'jia'ceng'luo'shuan 夹层螺栓
'jia'gong'chang 加工厂
'jia'gong'che'jian 加工车间
'jia'gong'tu 加工图
'jia'gong'xiang'tu 加工详图
'jia'gu'jian 加固件
'jia'jian'gong'cheng 加建工程
'jia'ju'bu'zhi'tu 家居布置图
'jia'kong'bi'lei'xian 架空避雷线
'jia'kong'dao'xian 架空导线
'jia'kong'dian'hua'xian'lu 架空电话线路
'jia'kong'dian'lan 架空电缆
'jia'kong'dian'lan'xian'lu 架空电缆线路
'jia'kong'dian'li'xian'lu 架空电力线路
'jia'kong'guan'dao 架空管道
'jia'kong'huo'dong'di'ban 架空活动地板
'jia'kong'tong'xin'xian'lu 架空通信线路
'jia'kong'xian'lu 架空线路
'jia'qi'hun'ning'tu 加气混凝土
'jia'qi'hun'ning'tu'ban 加气混凝土板
'jia'qi'hun'ning'tu'ge'qiang 加气混凝土隔墙
'jia'qi'hun'ning'tu'lou'ban 加气混凝土楼板
'jia'shan 假山
'jia'she 架设
'jia'shi'hun'ning'tu 假石混凝土
'jia'shi'qi'kuai 假石砌块
'jia'tai'kou 假台口
'jia'ya'beng 加压泵
'jia'ya'zhan 加压站
'jia'yong'bing'xiang 家用冰箱
'jia'yong're'shui'qi 家用热水器
'jia'you'zhan 加油站
'jian'cha'jing 检查井
'jian'cha'jing'gai 检查井盖
'jian'cha'kong 检查孔
'jian'du'bao'jing'xi'tong 监督报警系统
'jian'du'jian'zhu'shi 监督建筑师
'jian'hu'bing'fang 监护病房
'jian'jie'zhao'ming 间接照明
'jian'jie'zhao'ming'zhuang'zhi 间接照明装置
'jian'kong'xi'tong 监控系统
'jian'she'dan'wei 建设单位
'jian'she'xiang'mu 建设项目
'jian'shen'ju'le'bu 健身俱乐部
'jian'shi'xi'tong 监视系统
'jian'su'qi 减速器
'jian'xiu 检修
'jian'xiu'ren'kong 检修人孔
'jian'ya 减压
'jian'ya'fa 减压阀
'jian'ya'qi 减压器
'jian'yao'shi'gong'shuo'ming 简要施工说明
'jian'yi'ji'chang 简易机场
'jian'zhen'qi 减振器
'jian'zhen'shi 减振室
'jian'zhi'heng'jia 减支桁架
'jian'zhi'liang 简支梁
'jian'zhu 建筑
'jian'zhu'an'zhuang'gong'cheng 建筑安装工程
'jian'zhu'biao'zhun 建筑标准
'jian'zhu'bu'zhi'tu 建筑布置图
'jian'zhu'cai'liao 建筑材料
'jian'zhu'cai'liao'biao 建筑材料表
'jian'zhu'fang'huo 建筑防火
'jian'zhu'fang'huo'fen'qu 建筑防火分区
'jian'zhu'gao'du 建筑高度
'jian'zhu'gong'cheng 建筑工程
'jian'zhu'gong'cheng'gong'si 建筑工程公司
'jian'zhu'gong'cheng'shi 建筑工程师
'jian'zhu'gong'di 建筑工地
'jian'zhu'gong'si 建筑公司
'jian'zhu'gong'zhong 建筑工种
'jian'zhu'gui'cheng 建筑规程
'jian'zhu'gui'fan 建筑规范
'jian'zhu'hong'xian 建筑红线
'jian'zhu'jie'gou 建筑结构
'jian'zhu'li'mian 建筑立面
'jian'zhu'mian'ji 建筑面积
'jian'zhu'ping'mian 建筑平面
'jian'zhu'she'ji 建筑设计
'jian'zhu'she'ji'gui'fan 建筑设计规范
'jian'zhu'she'ji'yuan 建筑设计院
'jian'zhu'shi 建筑师
'jian'zhu'wei'zhi'tu 建筑位置图
'jian'zhu'wu'ru'kou 建筑物入口
