'a'bo'ding'an'na'bo'li'si'yi'chang 阿伯丁安纳波利斯异常
'dao'ge'la'si'xian'wo'jie'he'bing 道格拉斯陷窝结核病
'dao'guan'cha'ru'shu'hou'niao'dao'xia'zhai 导管插入术后尿道狭窄
'dao'han 盗汗
'dao'jing 倒经
'dao'nong'pi'yan'dao'tian'pi'yan 稻农皮炎稻田皮炎
'dao'sen'bao'han'ti'xing'nao'yan 道森包涵体性脑炎
'dao'zhi'lao'dong'neng'li'sang'shi'de'mou'xie'shang'can'he'ji'bing'jia'zu'shi 导致劳动能力丧失的某些伤残和疾病家族史
'de'bu'dao'he'wei'wan'cheng'jiao'yu'de'wen'ti 得不到和未完成教育的问题
'de'fo'zha'shi'bing'hong'tai'xuan 德佛扎氏病红苔癣
'de'ge'bing 德戈病
'de'ha'te'zong'he'zheng 德哈特综合征
'de'ka'mu 德卡姆
'de'kui'er'wan'bing 德奎尔万病
'de'kui'er'wan'ya'ji'xing'jia'zhuang'xian'yan 德奎尔万亚急性甲状腺炎
'de'lang're'zong'he'zheng 德朗热综合征
'de'lei'si'le'zong'he'zheng 德雷斯勒综合征
'de'li'kui'yang 德里溃疡
'de're'li'na'suo'ta'si'shen'jing'yan 德热里纳索塔斯神经炎
'de're'li'na'tuo'ma'si 德热里纳托马斯
'de'wei'ke'shi'bing 德维克氏病
'deng'bao'zi'qiu'chong'bing'qiu'chong'bing 等孢子球虫病球虫病
'deng'dai'zhu'ru'ta'chu'you'chong'zu'yi'liao'she'shi'chang'suo'de'ren'de'wen'ti 等待住入他处有充足医疗设施场所的人的问题
'deng'ge'chu'xue're 登革出血热
'deng'ge're 登革热
'deng'gu'zhi'huan 镫骨置换
'deng'zhang'xing'di'yang'xue'zheng 等张性低氧血症
'di'an'ji'suan'xue'zheng 低氨基酸血症
'di'ba'lu'ting'huo'ting'li'shen'jing'sun'shang 第八颅听或听力神经损伤
'di'ba'yin'zi'kang'ti'xing'cheng 第八因子抗体形成
'di'bai'chong'de'du'xing'xiao'ying 敌百虫的毒性效应
'di'bai'dan'bai'xue'zheng 低白蛋白血症
'di'bi'zhong'niao 低比重尿
'di'bin'du'bin'yue'han'xun'zong'he'zheng 迪宾杜宾约翰逊综合征
'di'bing'zhong'qiu'dan'bai'xue'zheng 低丙种球蛋白血症
'di'bu'guan'jie'lao'sun 骶部关节劳损
'di'bu'ji'sui'sun'shang 骶部脊髓损伤
'di'bu'ji'zhu'lie'ban'nao'ji'shui 骶部脊柱裂伴脑积水
'di'bu'ji'zhu'lie'ban'you'nao'ji'shui 骶部脊柱裂伴有脑积水
'di'bu'ji'zhu'lie'bu'ban'nao'ji'shui 骶部脊柱裂不伴脑积水
'di'bu'jie'di'zu'zhi'liang'xing'zhong'liu 骶部结缔组织良性肿瘤
'di'chong'xing'niao'dao'yan 滴虫性尿道炎
'di'chong'xing'yin'dao'yan 滴虫性阴道炎
'di'chong'xing'yin'dao'yan'bing'fa'yu'ren'shen'fen'mian'he'chan'ru'qi 滴虫性阴道炎并发于妊娠分娩和产褥期
'di'dan'bai'xing'ying'yang'bu'liang 低蛋白性营养不良
'di'di'ti'yi'wai'zhong'du 滴滴涕意外中毒
'di'di'wei'de'du'xing'xiao'ying 敌敌畏的毒性效应
'di'di'wei'zhong'du'yuan'yin'bu'ming 敌敌畏中毒原因不明
'di'di'wei'zi'sha 敌敌畏自杀
'di'dong'li'xing'xiu'ke 低动力型休克
'di'e'er'ding'yi'wai'zhong'du 迪厄耳丁意外中毒
'di'e'la'fu'wa'kui'yang 迪厄拉富瓦溃疡
'di'er'chan'cheng'yan'chang 第二产程延长
'di'er'jing'zhui'gu'zhe 第二颈椎骨折
'di'er'kong'fang'jian'ge'que'sun 第二孔房间隔缺损
'di'er'xing'zheng'fa'yu'bu'quan 第二性征发育不全
'di'er'zhi'gu'gu'ruan'gu'bing 第二跖骨骨软骨病
'di'fang'xing'ban'zhen'shang'han'shu'xing'ban'zhen'shang'han 地方性斑疹伤寒鼠型斑疹伤寒
'di'fang'xing'fu'bing 地方性氟病
'di'fang'xing'fu'zhong'du'bing 地方性氟中毒病
'di'fang'xing'hong'ban 地方性红斑
'di'fang'xing'hui'gui're 地方性回归热
'di'fang'xing'jia'zhuang'xian'zhong 地方性甲状腺肿
'di'fang'xing'jian'zhi'xing'shen'bing 地方性间质性肾病
'di'fang'xing'mei'du 地方性梅毒
'di'fang'xing'shi'mei'jie'de'ban'zhen'shang'han 地方性虱媒介的斑疹伤寒
'di'fang'xing'xin'zang'bing 地方性心脏病
'di'gai'xing'bai'nei'zhang'yu'jia'zhuang'pang'xian'ji'neng'jian'tui 低钙性白内障于甲状旁腺机能减退
'di'gai'xue'xing'jing'jue 低钙血性惊厥
'di'gai'xue'xing'shou'zu'chu'nuo'xing'bai'nei'zhang 低钙血性手足搐搦性白内障
'di'gai'xue'zheng 低钙血症
'di'ge'ao'er'ge'zong'he'zheng 迪格奥尔格综合征
'di'gu'e'xing'zhong'liu 骶骨恶性肿瘤
'di'gu'gu'zhe 骶骨骨折
'di'gu'jiao'jie'e'xing'zhong'liu 骶骨交界恶性肿瘤
'di'gu'kai'fang'xing'gu'zhe 骶骨开放性骨折
'di'gu'liang'xing'zhong'liu 骶骨良性肿瘤
'di'gu'lie'er'mo'bing 迪古列尔莫病
'di'jia'xing'chou'chu 低钾性抽搐
'di'jia'xing'jian 低钾性碱
'di'jia'xue'zheng 低钾血症
'di'lang'ni'gu'la'fa'fu'er'bing 迪朗尼古拉法夫尔病
'di'lin'suan'yan'xue'zheng'lin'suan'mei'guo'shao'zheng 低磷酸盐血症磷酸酶过少症
'di'lin'xue'zheng 低磷血症
'di'lu'ya'xing'tou'tong 低颅压性头痛
'di'lu'ya'zong'he'zheng 低颅压综合征
'di'lv'xue'zheng 低氯血症
'di'mei'xue'zheng 低镁血症
'di'na'xue'zheng'di'na'xing'xiao'hao'xing'xi'shi'xing 低钠血症低钠性消耗性稀释性
'di'pi'te'lang 迪皮特朗
'di'pin'lv'long'zheng 低频率聋症
'di'qia'guan'jie'jie'he 骶髂关节结核
'di'qia'guan'jie'tuo'wei 骶髂关节脱位
'di'qia'guan'jie'yan 骶髂关节炎
'di'qian'e'xing'zhong'liu 骶前恶性肿瘤
'di'qian'jie'di'zu'zhi'e'xing'zhong'liu 骶前结缔组织恶性肿瘤
'di'qian'jie'di'zu'zhi'jiao'jie'e'xing'zhong'liu 骶前结缔组织交界恶性肿瘤
'di'qian'jie'di'zu'zhi'liang'xing'zhong'liu 骶前结缔组织良性肿瘤
'di'qian'liang'xing'zhong'liu 骶前良性肿瘤
'di'qian'nang'zhong 骶前囊肿
'di'qian'qu'jiao'jie'e'xing'zhong'liu 骶前区交界恶性肿瘤
'di'qian'zhuan'bian'su'xue'zheng 低前转变素血症
'di'qian'zi'gong'nei'mo'yi'wei'zheng 骶前子宫内膜异位症
'di're'zheng 低热症
'di'san'chan'cheng'tai'pan'zhan'lian'ban'chu'xie 第三产程胎盘粘连伴出血
'di'san'chan'cheng'tai'pan'zhi'liu'ban'chu'xie 第三产程胎盘滞留伴出血
'di'san'chan'cheng'tai'pan'zhi'ru'ban'chu'xie 第三产程胎盘植入伴出血
'di'san'heng'tu'zong'he'zheng 第三横突综合征
'di'san'lu'shen'jing'ma'bi 第三颅神经麻痹
'di'san'nao'shi'nang'zhong 第三脑室囊肿
'di'san'xie'gu'jie'he 第三楔骨结核
'di'se'su'xing'pin'xue 低色素性贫血
'di'se'su'xing'xiao'xi'bao'xing'pin'xue 低色素性小细胞性贫血
'di'se'xiao'hong'xi'bao'xing'pin'xue 低色小红细胞性贫血
'di'shen'xing'shi'tuo'shui 低渗性失脱水
'di'shi 敌视
'di'shi'er'tong'he'er'tong'dai'wei'shou'guo'de'wen'ti 敌视儿童和儿童代为受过的问题
'di'shi'shen'jing'fei'wei'shen'jing 第十神经肺胃神经
'di'shou'ru'de'wen'ti 低收入的问题
'di'shu'chu'liang'xing'xin'li'shuai'jie 低输出量性心力衰竭
'di'si'bing 第四病
'di'si'jun'bing 地丝菌病
'di'si'jun'kou'yan 地丝菌口炎
'di'si'nao'shi'e'xing'zhong'liu 第四脑室恶性肿瘤
'di'si'nao'shi'zheng'zhong'kong'he'di'si'nao'wai'ce'kong'bi'suo 第四脑室正中孔和第四脑外侧孔闭锁
'di'ti'zhong'er'ying'er 低体重儿婴儿
'di'tu'she 地图舌
'di'wei'bu'cuo'shang 骶尾部挫伤
'di'wei'bu'e'xing'zhong'liu 骶尾部恶性肿瘤
'di'wei'bu'ji'tai'liu 骶尾部畸胎瘤
'di'wei'bu'teng'tong 骶尾部疼痛
'di'wei'chan'qian'shu'de'dan'tai'fen'mian 低位产钳术的单胎分娩
'di'wei'er 低位耳
'di'wei'qu'ji'fa'xing'e'xing'zhong'liu 骶尾区继发性恶性肿瘤
'di'wei'qu'liang'xing'zhong'liu 骶尾区良性肿瘤
'di'wei'zhui'guan'liang'xing'zhong'liu 骶尾椎管良性肿瘤
'di'wen'bu'lu'ge'si'chong'yin'qi'de'si'chong'bing 帝汶布鲁格丝虫引起的丝虫病
'di'wu'bing 第五病
'di'wu'zhi'gu 第五跖骨
'di'xie'na 迪谢纳
'di'xie'na'a'lang'wei'suo 迪谢纳阿朗萎缩
'di'xie'na'bing'huo'zong'he'zheng'ji'ying'yang'bu'liang 迪谢纳病或综合征肌营养不良
'di'xie'na'ge'li'xin'ge'bing 迪谢纳格里辛格病
'di'xin'pai'zong'he'zheng 低心排综合征
'di'xue'jia'xing'zhou'qi'xing'ma'bi 低血钾性周期性麻痹
'di'xue'rong'liang 低血容量
'di'xue'rong'liang'xiu'ke 低血容量休克
'di'xue'tang'hou'hun'mi'de'nao'bing 低血糖后昏迷的脑病
'di'xue'tang'suo'zhi'de'jing'shen'zhang'ai 低血糖所致的精神障碍
'di'xue'tang'xing'hun'mi 低血糖性昏迷
'di'xue'tang'zheng 低血糖症
'di'xue'ya 低血压
'di'xue'yang'xing'hong'xi'bao'zeng'duo'zheng 低血氧性红细胞增多症
'di'xue'ye'dong'li'xing'que'yang'xun'huan'xing'que'yang 低血液动力性缺氧循环性缺氧
'di'ya'xing'qing'guang'yan 低压性青光眼
'di'ya'zi'gu'ruan'gu'bing'you'nian'xing 迪亚兹骨软骨病幼年型
'di'yan'ya 低眼压
'di'yi'chan'cheng'yan'chang 第一产程延长
'di'yi'jing'zhui'gu'zhe 第一颈椎骨折
'di'yi'kong'fang'jian'que'sun 第一孔房间缺损
'di'yi'wan'zhang'guan'jie'de'guan'jie'bing 第一腕掌关节的关节病
'di'zeng'sheng'xing'li'xi'bao'xing'bai'xue'bing 低增生性粒细胞性白血病
'di'zhang'li'wei 低张力胃
'di'zhang'xing'que'yang'di'yang'xue'zheng'dong'mai'xing'que'yang 低张性缺氧低氧血症动脉性缺氧
'di'zhi'dan'bai'xue'zheng 低脂蛋白血症
'di'zhi'tai'pan 低置胎盘
'di'zhi'tai'pan'ban'chu'xie 低置胎盘伴出血
'di'zhong'hai'lin'ba'liu 地中海淋巴瘤
'di'zhong'hai'pin'xue 地中海贫血
'di'zhong'hai'pin'xue'te'xing 地中海贫血特性
'di'zhong'hai'pin'xue'zong'he'zheng'ban'you'qi'ta'xue'hong'dan'bai'bing 地中海贫血综合症伴有其他血红蛋白病
'di'zhong'hai're 地中海热
'di'zhuang'jun 第状菌
'di'zhuang'lei'yin'xie'bing'man'xing'tai'xuan'yang'kang'zhen'man'xing'dou'chuang'yang'kang'zhen 滴状类银屑病慢性苔癣样糠疹慢性痘疮样糠疹
'di'zhuang'yin'xie'bing 滴状银屑病
'di'zhui'guan'xia'zhai 骶椎管狭窄
'di'zhui'yao'hua 骶椎腰化
'di'zhui'zhui'ban'lie 骶椎椎板裂
'di'zong'he'zheng 低综合征
'dian'fen'mei'shui'ping'yi'chang 淀粉酶水平异常
'dian'fen'nai'shou'bu'liang'yin'qi'de'xi'shou'zhang'ai 淀粉耐受不良引起的吸收障碍
'dian'fen'yang'bian'xing 淀粉样变性
'dian'fen'yang'bian'xing'xin'zang'bing 淀粉样变性心脏病
'dian'fen'yang'bian'xing'xing'zhou'wei'shen'jing'bing 淀粉样变性性周围神经病
'dian'fen'yang'xing'pu'tao'ya'xing'duo'shen'jing'bing 淀粉样性葡萄牙型多神经病
'dian'guang'xing'yan'yan 电光性眼炎
'dian'ji'shang 电击伤
'dian'ji'xing'bai'nei'zhang 电击性白内障
'dian'jie'zhi're'liang'he'shui'ping'heng'ji 电解质热量和水平衡剂
'dian'jie'zhi'wen'luan 电解质紊乱
'dian'liu'yin'qi'de'shi'gu 电流引起的事故
'dian'que'fa 碘缺乏
'dian'que'fa'xiang'guan'xing'duo'jie'jie'xing'di'fang'xing'jia'zhuang'xian'zhong 碘缺乏相关性多结节性地方性甲状腺肿
'dian'que'fa'xiang'guan'xing'mi'man'xing'di'fang'xing'jia'zhuang'xian'zhong 碘缺乏相关性弥漫性地方性甲状腺肿
'dian'xian 癫痫
'dian'xian'da'fa'zuo 癫痫大发作
'dian'xian'da'fa'zuo'zhuang'tai 癫痫大发作状态
'dian'xian'de'jing'jue 癫痫的惊厥
'dian'xian'he'shen'jing'xi'tong'qi'ta'ji'bing'jia'zu'shi 癫痫和神经系统其他疾病家族史
'dian'xian'lian'xu'zhuang'tai 癫痫连续状态
'dian'xian'shi'shen'zhuang'tai 癫痫失神状态
'dian'xian'xiao'fa'zuo 癫痫小发作
'dian'xian'xiao'fa'zuo'zhuang'tai 癫痫小发作状态
'dian'xian'xing'chi'dai 癫痫性痴呆
'dian'xian'xing'jing'shen'bing 癫痫性精神病
'dian'xian'yang'jing'jue 癫痫样惊厥
'dian'xian'zong'he'zheng'ban'you'ju'xian'xing'fa'zuo 癫痫综合征伴有局限性发作
'dian'xing'de'ben'bing'tong'suan'niao 典型的苯丙酮酸尿
'dian'xing'de'xue'you'bing 典型的血友病
'dian'xing'huo'luan 典型霍乱
'dian'xing'jia'zhuang'xian'ji'neng'jian'tui 碘性甲状腺机能减退
'dian'xing'pian'tou'tong 典型偏头痛
'dian'xing'pu'tao'tai 典型葡萄胎
'dian'xiu'ke 电休克
'dian'yuan'xing'jia'zhuang'xian'ji'neng'kang'jin 碘原性甲状腺机能亢进
'dian'zhuang'jiao'hua'bing'zhang'zhi 点状角化病掌跖
'dian'zhuang'jiao'mo'yan 点状角膜炎
'dian'zhuang'ruan'gu'fa'yu'yi'chang 点状软骨发育异常
'die'an'kuo'da 蝶鞍扩大
'die'an'pang'liang'xing'zhong'liu 蝶鞍旁良性肿瘤
'die'an'qu'e'xing'zhong'liu 蝶鞍区恶性肿瘤
'die'an'qu'nao'mo'liang'xing'zhong'liu 蝶鞍区脑膜良性肿瘤
'die'an'shang'nao'mo'liu 蝶鞍上脑膜瘤
'die'an'shang'qu'liang'xing'zhong'liu 蝶鞍上区良性肿瘤
'die'dou'e'xing'zhong'liu 蝶窦恶性肿瘤
'die'dou'nang'zhong 蝶窦囊肿
'die'dou'nong'zhong 蝶窦脓肿
'die'dou'rou'ya'zhong 蝶窦肉芽肿
'die'dou'xi'rou 蝶窦息肉
'die'dou'yi'wu'ban'kai'fang'xing'shang'kou 蝶窦异物伴开放性伤口
'die'dou'zhong'wu 蝶窦肿物
'die'gong'shu'bing 叠宫属病
'die'gu'gu'zhe 蝶骨骨折
'die'gu'ji'nao'mo'liang'xing'zhong'liu 蝶骨嵴脑膜良性肿瘤
'die'gu'nao'mo'liu 蝶骨脑膜瘤
'die'wa'xuan 叠瓦癣
'ding'gu'gu'zhe 顶骨骨折
'ding'gu'gu'zhe'ban'kai'fang'xing'lu'nei'sun'shang 顶骨骨折伴开放性颅内损伤
'ding'gu'gu'zhe'ban'lu'nei'sun'shang 顶骨骨折伴颅内损伤
'ding'gu'kai'fang'xing'gu'zhe 顶骨开放性骨折
'ding'gu'liang'xing'zhong'liu 顶骨良性肿瘤
'ding'jiang'fen'mi'xian'ji'huan 顶浆分泌腺疾患
'ding'jiang'fen'mi'xian'su'zhen 顶浆分泌腺粟疹
'ding'ning'shuan'se 耵聍栓塞
'ding'ning'xian'ai 耵聍腺癌
'ding'ning'xian'liu 耵聍腺瘤
'ding'xiang'zhang'ai 定向障碍
'ding'xing'bing'du'xing'gan'yan 丁型病毒性肝炎
'ding'ye'e'xing'zhong'liu 顶叶恶性肿瘤
'ding'ye'liang'xing'zhong'liu 顶叶良性肿瘤
'ding'ye'nao'mo'liang'xing'zhong'liu 顶叶脑膜良性肿瘤
'ding'ye'nao'mo'liu 顶叶脑膜瘤
'ding'ye'zong'he'zheng 顶叶综合征
'ding'zhen'ye'e'xing'zhong'liu 顶枕叶恶性肿瘤
'ding'zhuang'ya 钉状牙
'dong'chuang 冻疮
'dong'fang'jie'a'li'po'jie 东方疖阿里坡疖
'dong'fang'ma'xing'nao'yan 东方马型脑炎
'dong'jie'jian 冻结肩
'dong'lang'dang'jian'lei'zhi'wu'zhong'du 东莨菪硷类植物中毒
'dong'mai'dao'guan'jie'za'shu'hou'fu'tong 动脉导管结扎术后复通
'dong'mai'dao'guan'wei'guan'bi 动脉导管未关闭
'dong'mai'dao'guan'yan'chi'bi'he 动脉导管延迟闭合
'dong'mai'huai'si 动脉坏死
'dong'mai'ji'huan 动脉疾患
'dong'mai'jing'luan 动脉痉挛
'dong'mai'kui'yang 动脉溃疡
'dong'mai'kuo'zhang 动脉扩张
'dong'mai'liu 动脉瘤
'dong'mai'liu'yang'gu'nang'zhong 动脉瘤样骨囊肿
'dong'mai'lou 动脉瘘
'dong'mai'mi'lan 动脉糜烂
'dong'mai'nei'mo'yan 动脉内膜炎
'dong'mai'po'lie 动脉破裂
'dong'mai'shuan'sai 动脉栓塞
'dong'mai'xia'zhai 动脉狭窄
'dong'mai'xian'wei'ji'rou'zeng'sheng 动脉纤维肌肉增生
'dong'mai'xing'chong'xue 动脉性充血
'dong'mai'yan 动脉炎
'dong'mai'ying'hua 动脉硬化
'dong'mai'ying'hua'xing'chi'dai 动脉硬化性痴呆
'dong'mai'ying'hua'xing'jing'shen'bing 动脉硬化性精神病
'dong'mai'ying'hua'xing'nao'bing 动脉硬化性脑病
'dong'mai'ying'hua'xing'nao'ruan'hua 动脉硬化性脑软化
'dong'mai'ying'hua'xing'shen'bing 动脉硬化性肾病
'dong'mai'ying'hua'xing'shen'yan 动脉硬化性肾炎
'dong'mai'ying'hua'xing'sheng'zhu'dong'mai'xia'zhai 动脉硬化性升主动脉狭窄
'dong'mai'ying'hua'xing'xin'nei'mo'yan 动脉硬化性心内膜炎
'dong'mai'ying'hua'xing'xin'xue'guan'bing 动脉硬化性心血管病
'dong'mai'zhou'yang'ying'hua 动脉粥样硬化
'dong'shang 冻伤
'dong'wu'chuan'ran'de'xi'jun'xing'ji'bing 动物传染的细菌性疾病
'dong'wu'gan'zang'shi'wu'zhong'du 动物肝脏食物中毒
'dong'yan'shen'jing'ma'bi 动眼神经麻痹
'dong'yan'shen'jing'sun'shang'di'san 动眼神经损伤第三
'dong'yan'shen'jing'yan 动眼神经炎
'dong'zuo'xing'zhen'chan 动作性震颤
'dou'fang'chuan'dao'zu'zhi 窦房传导阻滞
'dou'fang'jie'fang'shi'jie'you'zou'jie'lv 窦房结房室结游走节律
'dou'fang'jie'gong'neng'di'xia 窦房结功能低下
'dou'fang'jie'you'zou'xing'xin'lv 窦房结游走性心律
'dou'fang'zhe'fan'xing'xin'dong'guo'su 窦房折返性心动过速
'dou'ren'he'bi'dou'jie'he'bing'jing'xi'jun'xue'he'zu'zhi'xue'suo'zheng'shi 窦任何鼻窦结核病经细菌学和组织学所证实
'dou'xing'ting'bo 窦性停搏
'dou'xing'xin'dong'guo'huan 窦性心动过缓
'dou'xing'xin'dong'guo'su 窦性心动过速
'dou'xing'xin'lv'shi'chang 窦性心律失常
'dou'yang'cuo'chuang 痘样痤疮
'dou'zhuang'he'chu'xie 豆状核出血
'du'an'shi'zong'he'zheng 杜安氏综合征
'du'bo'he'da'du'de'wen'ti 赌博和打赌的问题
'du'bo'wei'ci'zong'he'zheng 杜博维茨综合征
'du'bo'yi'xi'bian'zhong'zu'zhi'bao'jiang'jun'bing 杜波依西变种组织胞浆菌病
'du'chang'yan 毒肠炎
'du'ke'zhen're'bing 杜克疹热病
'du'leng'ding'yao'wu'yin 杜冷丁药物瘾
'du'leng'ding'yin 杜冷丁瘾
'du'leng'ding'zhong'du 杜冷丁中毒
'du'leng'ding'zi'sha 杜冷丁自杀
'du'lin'shi'bing 杜林氏病
'du'she'yao'shang 毒蛇咬伤
'du'xing'dan'jie'jie'xing'jia'zhuang'xian'zhong 毒性单结节性甲状腺肿
'du'xing'duo'jie'jie'jia'zhuang'xian'zhong 毒性多结节甲状腺肿
'du'xing'jia'zhuang'xian'zhong 毒性甲状腺肿
'du'xing'jie'jie'xing'jia'zhuang'xian'zhong 毒性结节性甲状腺肿
'du'xing'mi'man'xing'jia'zhuang'xian'zhong 毒性弥漫性甲状腺肿
'du'xing'shen'bing'bian 毒性肾病变
'du'xue'zheng 毒血症
'du'yan'ji'tai 独眼畸胎
'du'zi'sheng'huo'de'wen'ti 独自生活的问题
'duan'bi 断臂
'duan'chang'zong'he'zheng 短肠综合征
'duan'chang'zong'he'zheng'chang'qie'chu'hou'zong'he'zheng 短肠综合征肠切除后综合征
'duan'gen'jian'hou'tian'xing 短跟腱后天性
'duan'jing'zong'he'zheng 短颈综合征
'duan'lei'zong'he'zheng 短肋综合征
'duan'mo'ke'tao'chong'bing 短膜壳绦虫病
'duan'tui 断腿
'duan'zan'hou'tian'xing'chun'hong'xi'bao'zai'sheng'zhang'ai 短暂后天性纯红细胞再生障碍
'duan'zan'xing'da'nao'que'xie 短暂性大脑缺血
'duan'zan'xing'guan'jie'yan 短暂性关节炎
'duan'zan'xing'hua'mo'yan 短暂性滑膜炎
'duan'zan'xing'ji'pi'song'jie'pi'fu'bing 短暂性棘皮松解皮肤病
'duan'zan'xing'nao'que'xie 短暂性脑缺血
'duan'zan'xing'quan'mian'yi'wang 短暂性全面遗忘
'duan'zan'xing'que'xue'xing'long 短暂性缺血性聋
'duan'zan'xing'shi'wang'mo'dong'mai'bi'se 短暂性视网膜动脉闭塞
'duan'zan'xing'zhi'ti'ma'bi 短暂性肢体麻痹
'duan'zan'xing'zhong'shu'pi'lao 短暂性中暑疲劳
'duan'zhi 短肢
'dui'bian'ying'yuan'tuo'min'de'yi'liao'zhao'gu 对变应原脱敏的医疗照顾
'dui'er'tong'qing'gan'de'hu'shi'de'wen'ti 对儿童情感的忽视的问题
'dui'gong'xian'qi'guan'zhe'de'jian'cha 对供献器官者的检查
'dui'jia'tai'dan'bai'shui'ping'sheng'gao'de'chan'qian'shai'xuan 对甲胎蛋白水平升高的产前筛选
'dui'jia'zhong'bing'ren'de'zheng'chang'de'you'lv'de'wen'ti 对家中病人的正常的忧虑的问题
'dui'jin'zhang'shi'jian'de'guo'fen'dan'xin'he'zhuan'zhu 对紧张事件的过份担心和专注
'dui'li'wei'kang'xing'zhang'ai 对立违抗性障碍
'dui'tong'zhong'mian'yi'de'chan'qian'shai'xuan 对同种免疫的产前筛选
'dui'wei'zai'chang'de'di'san'zhe'de'zhi'dao'he'chu'li 对未在场的第三者的指导和处理
'dui'xue'hong'dan'bai'bing'de'shai'xuan 对血红蛋白病的筛选
'dui'ying'er'de'fei'jie'lun'xing'ren'lei'mian'yi'que'xian'bing'du'shi'yan'suo'jian 对婴儿的非结论性人类免疫缺陷病毒试验所见
'dun'cuo'xing'shu'yi 顿挫性鼠疫
'duo'ba'an'zhong'du 多巴胺中毒
'duo'bing'zao'xing'xian'wei'ying'hua'bing 多病灶性纤维硬化病
'duo'bu'wei'de'ju'bu'zhong'zhang'zhong'kuai'he'zhong'wu 多部位的局部肿胀肿块和肿物
'duo'bu'wei'duo'fang'ji'qiu'tao'chong'gan'ran 多部位多房棘球绦虫感染
'duo'bu'wei'lin'ba'jie'ji'fa'xing'e'xing'zhong'liu 多部位淋巴结继发性恶性肿瘤
'duo'bu'wei'sun'shang 多部位损伤
'duo'bu'wei'xi'li'ji'qiu'tao'chong'gan'ran 多部位细粒棘球绦虫感染
'duo'chu'chuan'ci'shang'kou 多处穿刺伤口
'duo'chu'chuang'shang'xing'qie'duan 多处创伤性切断
'duo'chu'cuo'shang 多处挫伤
'duo'chu'dong'wu'yao'shang 多处动物咬伤
'duo'chu'huai'he'zu'sun'shang 多处踝和足损伤
'duo'chu'ji'ya'shang 多处挤压伤
'duo'chu'ju'bu'nao'nei'chu'xue 多处局部脑内出血
'duo'chu'kai'fang'xing'wai'shang 多处开放性外伤
'duo'chu'qie'ge'shang 多处切割伤
'duo'chu'shao'shang 多处烧伤
'duo'chu'shen'ti'bu'wei'sun'shang'de'hou'yi'zheng 多处身体部位损伤的后遗症
'duo'chu'si'lie'shang 多处撕裂伤
'duo'dong'bu'an'tui'zong'he'zheng 多动不安腿综合征
'duo'dong'hui'yu'zong'he'zheng 多动秽语综合征
'duo'dong'mai'yan'ban'fei'shou'lei 多动脉炎伴肺受累
'duo'dong'pin'xing'zhang'ai'ban'yun'dong'guo'du'zong'he'zheng 多动品行障碍伴运动过度综合征
'duo'dong'te'zhi'de'lin'chuang'biao'xian'ban'yun'dong'guo'du'zong'he'zheng 多动特指的临床表现伴运动过度综合征
'duo'dong'yun'dong'guo'du'zong'he'zheng 多动运动过度综合征
'duo'dong'zheng 多动症
'duo'er'ji'xing 多耳畸形
'duo'fa'nao'geng'si'xing'chi'dai 多发脑梗死性痴呆
'duo'fa'xing'ai'zheng 多发性癌症
'duo'fa'xing'da'dong'mai'yan 多发性大动脉炎
'duo'fa'xing'dan'shen'jing'yan 多发性单神经炎
'duo'fa'xing'dong'jing'mai'lou 多发性动静脉瘘
'duo'fa'xing'dong'mai'shuan'sai 多发性动脉栓塞
'duo'fa'xing'fu'he'xing'kui'yang'bing 多发性复合性溃疡病
'duo'fa'xing'gu'mo'chuan'kong 多发性鼓膜穿孔
'duo'fa'xing'gu'sui'liu 多发性骨髓瘤
'duo'fa'xing'gu'zhe 多发性骨折
'duo'fa'xing'he'shuang'ce'ru'nao'qian'dong'mai'zong'he'zheng 多发性和双侧入脑前动脉综合征
'duo'fa'xing'jiang'mo'qiang'ji'ye 多发性浆膜腔积液
'duo'fa'xing'jiang'mo'yan 多发性桨膜炎
'duo'fa'xing'jie'he'bing 多发性结核病
'duo'fa'xing'jie'zhong 多发性疖肿
'duo'fa'xing'kui'yang'ban'chu'xie 多发性溃疡伴出血
'duo'fa'xing'lu'gu'gu'zhe 多发性颅骨骨折
'duo'fa'xing'lu'shen'jing'ma'bi 多发性颅神经麻痹
'duo'fa'xing'lu'shen'jing'sun'hai 多发性颅神经损害
'duo'fa'xing'lu'shen'jing'yan 多发性颅神经炎
'duo'fa'xing'nao'geng'se 多发性脑梗塞
'duo'fa'xing'nei'fen'mi'gong'neng'wen'luan 多发性内分泌功能紊乱
'duo'fa'xing'nei'fen'mi'xian'bing 多发性内分泌腺病
'duo'fa'xing'nei'fen'mi'xian'ji'liu 多发性内分泌腺肌瘤
'duo'fa'xing'nei'fen'mi'xian'ji'neng'jian'tui'zong'he'zheng 多发性内分泌腺机能减退综合征
'duo'fa'xing'nei'fen'mi'xian'liu'bing 多发性内分泌腺瘤病
'duo'fa'xing'nong'zhong 多发性脓肿
'duo'fa'xing'pi'xia'jie'jie 多发性皮下结节
'duo'fa'xing'shang'zhi'xue'guan'sun'shang 多发性上肢血管损伤
'duo'fa'xing'shen'jie'shi 多发性肾结石
'duo'fa'xing'shen'jing'gen'yan 多发性神经根炎
'duo'fa'xing'shen'jing'xian'wei'liu 多发性神经纤维瘤
'duo'fa'xing'shen'jing'yan 多发性神经炎
