'a'li'shan'long'dan 阿里山龙胆
'yan'feng'li 艳凤梨
'yan'hong'he'jiao 艳红赫蕉
'yan'jie'cao 沿阶草
'yan'lai'hong 雁来红
'yan'sheng'yin'lian'hua 岩生银莲花
'yan'sui 芫荽
'yan'zi'zhang 燕子掌
'yang'chun'sha 阳春砂
'yang'jin'hua 洋金花
'yang'mei 杨梅
'yang'ti'jia 羊蹄甲
'yao'ren'mao 咬人猫
'ye'dian'qie 野颠茄
'ye'he'hua 夜合花
'ye'hua'niu'bing'hua 腋花扭柄花
'ye'ju'hua 野菊花
'ye'lai'xiang 夜来香
'ye'ma'zhui 野马追
'ye'mu'dan 野牡丹
'ye'shan'zha 野山楂
'ye'tang'hao 野塘蒿
'ye'xia'zhu 叶下珠
'ye'xian 野苋
'ye'zi 椰子
'ye'zi'hua 叶子花
'yi'chuan'hong 一串红
'yi'dian'hong 一点红
'yi'mu'cao 益母草
'yi'pin'hong 一品红
'yi'ye'lan 一叶兰
'yi'ye'qian'li'guang 异叶千里光
'yi'zhi 益智
'yi'zhi'huang'hua 一枝黄花
'yin'chen 茵陈
'yin'ya'liu 银芽柳
'yin'yang'huo 淫羊藿
'yin'yu 茵芋
'ying'chun'hua 迎春花
'ying'hua 樱花
'ying'mao'du'juan 硬毛杜鹃
'ying'tao 樱桃
'yu'fu'cao 鱼腹草
'yu'lie'xi'lin'yu 羽裂喜林芋
'yu'long'shan'wu'xin'cai 玉龙山无心菜
'yu'mei'ren 虞美人
'yu'niu'zhang 玉牛掌
'yu'shan'bo'xue'cao 玉山薄雪草
'yu'shan'dou 羽扇豆
'yu'shan'fo'jia'cao 玉山佛甲草
'yu'shan'shui'ku'jia 玉山水苦贾
'yu'ye'jin'hua 玉叶金花
'yu'ye'mei 榆叶梅
'yu'ye'niao'luo 羽叶茑萝
'yu'zan 玉簪
'yu'zhi'zi 预知子
'yu'zhu 玉竹
'yuan'chi'hong'jing'tian 圆齿红景天
'yuan'dun'zhuang'ren'dong 圆盾状忍冬
'yuan'hua 芫花
'yuan'mao'zi'wan 缘毛紫菀
'yuan'wei 鸢尾
'yue'gong'dian 月宫殿
'yue'ji 月季
'yue'ju 月橘
'yun'jin'du'juan 云锦杜鹃
'yun'nan'biao'lan 云南杓兰
'yun'nan'gou'er'cha 云南勾儿茶
'yun'shi'yun'shan 云实云杉
'za'se'zhong'bao'chun 杂色钟报春
'za'zhong'luo'xin'fu 杂种落新妇
'zang'nan'du'juan 藏南杜鹃
'zang'nan'fen'bao'chun 藏南粉报春
'zao'zi 枣子
'ze'lan 泽兰
'ze'qi 泽漆
'zhai'hua'feng'xian'hua 窄花凤仙花
'zhan'mao'cui'que'hua 展毛翠雀花
'zhang'ci'bai'long 长刺白龙
'zhang'hua'dang'shen 长花党参
'zhang'mu 樟木
'zhang'ye'da'ji 长叶大戟
'zhang'ye'lan 长叶兰
'zhao'he'cao 昭和草
'zhao'wa'chang'shan 爪哇常山
'zhen'feng'li 贞凤梨
'zhi'zhu'bao'dan 蜘蛛抱蛋
'zhi'zi 栀子
'zhi'zi'hua 栀子花
'zhong'ban'huang'mu'xiang 重瓣黄木香
'zhong'bing'xue'lian 肿柄雪莲
'zhong'guo'ma'xian'hao 中国马先蒿
'zhong'jie'feng 肿节风
'zhu'ding'hong 朱顶红
'zhu'ge'cai 诸葛菜
'zhu'sha'ju 朱砂桔
'zhu'ye'jiao 竹叶椒
'zhu'ying'hua 朱缨花
'zi'bei'cao 紫背草
'zi'bei'wan'nian'qing 紫背万年青
'zi'can 紫参
'zi'e'rong 紫鹅绒
'zi'hai'cong 紫海葱
'zi'hua'feng'li 紫花凤梨
'zi'hua'huo'xiang'ji 紫花藿香蓟
'zi'jin'niu 紫金牛
'zi'jing'hua 紫荆花
'zi'lu'cao 紫露草
'zi'luo'lan 紫罗兰
'zi'wan 紫菀
'zi'wei 紫薇
'zi'xin'cao 紫心草
'zi'ye'shan'zuo'jiang'cao 紫叶山酢浆草
'zi'yu'lan 紫玉兰
'zi'yu'pan'du'juan 紫玉盘杜鹃
'zong'lv 棕榈
'zong'zhu 棕竹
'zong'zhuang'lv'rong'hao 总状绿绒蒿
'zui'die'hua 醉蝶花
