'ai'gan'huang'tian'xi'cheng'wei'hui 哀感皇天兮城为隳
'hai'wu'she 还无社
'hai'wu'she'yu'si'ma'mao'yan 还无社与司马卯言
'hai'you'shi'ju'ban 还有十句版
'hai'yu'shan'zheng'shui 海与山争水
'han'an'guo 韩安国
'han'an'guo'chuan'yin'yu 韩安国传引语
'han'ba'shen'huan'xi 旱魃深欢喜
'han'bai'qu'he'cheng 汉白渠合称
'han'ce'yi 韩策一
'han'ce'zhou'zui'yin'yu 韩策周最引语
'han'chang'ru'lie'zhuan 韩长孺列传
'han'dai'bi'jing'di 汉代避景帝
'han'di'er 含第二
'han'fei 韩非
'han'fei'yin'bi'yan 韩非引鄙谚
'han'fei'yin'yan 韩非引谚
'han'fei'zi 韩非子
'han'fei'zi'nei'chu'shuo'shang 韩非子内储说上
'han'fei'zi'ye 韩非子也
'han'fei'zi'yin'ci'yun 韩非子引此云
'han'fei'zi'yin'xian'sheng'yan 韩非子引先圣谚
'han'fu 汉附
'han'gong'zhong 韩公仲
'han'guan'yi 汉官仪
'han'hui 汉讳
'han'liang'hui'gu 寒凉回固
'han'ping'qi'da'fu'ge 韩凭妻答夫歌
'han'qi'mu 睅其目
'han'rui'ying'xi 含蕤英兮
'han'shi 汉诗
'han'shi'nei'zhuan 韩诗内传
'han'shi'si'bu'tuo 汉诗似不妥
'han'shi'tong'yao'ge 汉时童谣歌
'han'shi'wai'fu'yin'kong'zi'yu 韩诗外傅引孔子语
'han'shi'wai'zhuan 韩诗外传
'han'shi'wai'zhuan'jian'shu 韩诗外传笺疏
'han'shu'xing'fa'zhi 汉书刑法志
'han'shu'yi'yin'ci 汉书亦引此
'han'shu'yin 汉书引
'han'shu'yue 汉书曰
'han'wei'yi'shu'chao 汉魏遗书钞
'han'wei'yi'shu'chao'ben 汉魏遗书钞本
'han'xin'chuan'liu'tao'zuo'gao'niao 韩信传六韬作高鸟
'han'yan'yun'yun 韩谚云云
'han'yang'xiong'zhe 汉杨雄着
'han'yi'wen'zhi 汉艺文志
'han'ying'shi'chuan'yin'gu'yu 韩婴诗传引古语
'han'yuan'xin'shu 翰苑新书
'han'zhi'zuo'kai 汉志作凯
'han'zhong'shan'wang'chuan 汉中山王传
'han'zi 韩子
'han'zi'cheng'yun'yun 韩子称云云
'hao'chi'su'xi'jiang'xian'zhi 号絺素兮将献之
'hao'er'chu'zhi 号而出之
'hao'er'yin'ya 好儿喑哑
'hao'gu'le'dao'zhi'shi 好古乐道之诗
'hao'hao'bai'shui 浩浩白水
'hao'hao'zhe'shui 浩浩者水
'hao'le'wu'huang 好乐无荒
'hao'mao'mao'mao 毫毛茂茂
'hao'shai'mai 好晒麦
'hao'shen'shu'zhan 号申叔展
'hao'shi'le'dao'zhi'shi 好士乐道之诗
'hao'tian'bu'diao 昊天不吊
'hao'tian'jie'jie 皓天嗟嗟
'hao'tong'tong 好童童
'hao'yi'tu 好义土
'hao'yu'zhong'ye 号于中野
'he'bi'cang'tian 何彼苍天
'he'bo'zhi'yue'wu 和伯之乐舞
'he'bu'le'xi 何不乐兮
'he'bu'yu'zhi'si'ji'ye 何不雨至斯极也
'he'ceng'zan'wang 何曾暂忘
'he'cha'gui'gu'zi 核查鬼谷子
'he'cha'shi'ji'dao 核查诗纪到
'he'cha'shi'ji'yu'yi 核查史记语义
'he'cha'yuan'shu 核查原书
'he'ci'chang'si 荷此长耜
'he'da'shui'shen 河大水深
'he'dan'ye'ming 盍旦夜鸣
'he'dan'yu'bing 何惮于病
'he'dan'zuo'gan'dan 盍旦作鳱旦
'he'dang'zhi'hu 何党之乎
'he'de'zhi'shuai 何德之衰
'he'guan'nai'zhi 阖棺乃止
'he'guan'zi 鹖冠子
'he'gui'hu 盍归乎
'he'gui'wu'ai'jia 盍归吾艾豭
'he'ji'ge 河激歌
'he'jie 荷解
'he'jie'jie'mo'xi'ke'nai'he 何嗟嗟莫兮可奈何
'he'liang'ge 河梁歌
'he'men'sai'dou 阖门塞窦
'he'ming'qiang'qiang 和鸣锵锵
'he'mou'fang'xi 合谋房兮
'he'nei'ge 河内歌
'he'ru'de'zhi'shuai'ye 何如德之衰也
'he'shang'ge 河上歌
'he'she'jiao 河射角
'he'shu'you'you 禾黍油油
'he'shu'you'you'xi 禾黍油油兮
'he'shui 河水
'he'shui'beng 河水崩
'he'shui'liu'xi'yuan'gao'shan 河水流兮缘高山
'he'shui'zhu'san 河水注三
'he'tan'sheng'xi 何贪生兮
'he'tou'sheng'er 禾头生耳
'he'tu'kuo'di'xiang 河图括地象
'he'tu'yin'shu'yao 河图引蜀谣
'he'wei'qi'tong 曷惟其同
'he'wei'yuan'qu 何为远去
'he'xu'hu'ren'yan 何恤乎人言
'he'xu'hu'wu'jia 何恤乎无家
'he'xu'ren'zhi'yan'xi 何恤人之言兮
'he'yi 何义
'he'yi'xu'wo 何以恤我
'he'yi'you'cheng'ge 何以有称歌
'he'yu'fu'ji'nai'he 河鱼腹疾奈何
'he'yu'si'ren 何与斯人
'he'zhe'bi'gua 和者必寡
'he'zhi'shui'yang'yang'xi 河之水洋洋兮
'he'zhi'zhu'xia 和治诸夏
'he'zi'nan'ji 何自南极
'hei'lu'zhi'tian 黑垆之田
'hen'nan'an'dun 很难安顿
'heng'liu'er'fang'yang 衡流而方羊
'heng'liu'er'fang'yang'yi'yan 衡流而方羊裔焉
'heng'shan'ji'bei'wang'chuan 衡山济北王传
'heng'zi'chen'xi'jun'zhi'bang 横自陈兮君之傍
'hong'hu'jiang'jiang 鸿鹄将将
'hong'lie'jie'xu 鸿烈解叙
'hong'shui'hao'hao'tao'jue'tian 洪水浩浩涛厥天
'hong'shui'hao'hao'tao'jue'tian 洪水浩浩滔厥天
'hong'yu'yi'ren 弘于一人
'hou'bei'yi'dao'di 后被移到第
'hou'bi'wu'xiong 后必无凶
'hou'che'bai 侯车败
'hou'che'jie 后车诫
'hou'chu'ye'man'ling'yu 后出也满囹圄
'hou'fei'chuan'yin'yan 后妃传引谚
'hou'fu'yu 后附语
'hou'han'gao'you'zhu'lv'lan 后汉高诱注吕览
'hou'han'he'xiu'ceng'wei'zhi'zuo'zhu 后汉何休曾为之作注
'hou'han'shu 后汉书
'hou'lai'chang 后来唱
'hou'liang'ju'dang'wei'ren'wei'bu'chong 后两句当为人为补充
'hou'meng'jue'tu 厚蒙爵土
'hou'mu'ge 后慕歌
'hou'ren'xi'ge 候人兮歌
'hou'ren'xi'yi 候人兮猗
'hou'ren'yi'xi 候人猗兮
'hou'ri'xiang'feng'qing'dang'xia 后日相逢卿当下
'hou'ri'xiang'feng'xia'che'yi 后日相逢下车揖
'hou'sheng'wei'zhi'san'shi 厚生谓之三事
'hou'shi 后世
'hou'shi'lei'shu'yin'zhi 后世类书引之
'hou'shi'si'nian 后十四年
'hou'shi'you'dai 后世犹怠
'hou'shu'tu'ran'chu'xian 后书突然出现
'hou'yun 后云
'hou'zhe'bu'hui'ren'yi'zi'yi 厚者不毁人以自益
'hou'zhe'bu'sun'ren'yi'zi'yi 厚者不损人以自益
'hou'zhe'wei'yao'ci 后者为繇辞
'hou'zhe'xu'yan'wei'qin'cao 后者序言为琴操
'hou'zhu 后注
'hu'bao'wei'qun 虎豹为群
'hu'bao'zhi'wen'lai'she 虎豹之文来射
'hu'hu'yi'ruo'zhi'he 忽忽矣若之何
'hu'lai'zhao'xi'xing'wu'yi 呼来棹兮行勿疑
'hu'li'er'cang 狐狸而苍
'hu'lv'guang'chuan 斛律光传
'hu'ma'wang'bei'feng'er'li 胡马望北风而立
'hu'mai'zhi'er'hu'hu'zhi 狐埋之而狐搰之
'hu'mi'bai 斛米百
'hu'mi'qian 斛米千
'hu'ming 户铭
'hu'qiu'ge 狐裘歌
'hu'qiu'meng'rong 狐裘尨茸
'hu'qiu'shi 狐裘诗
'hu'ru'guo'xi 忽如过隙
'hu'ruo'guo'xi 忽若过隙
'hu'shang'bu'yu'yu 湖上不鬻鱼
'hu'wei'zhu'ke 互为主客
'hu'xi'jing'shen 呼噏精神
'hu'xiang'xue'hao'bu'xiang 狐向穴嗥不祥
'hu'xuan'ku'guo'ci 狐咺哭国辞
'hu'yan'mei'xi 忽焉没兮
'hu'yan'mo'xi 忽焉殁兮
'hu'yu'du'he 狐欲渡河
'hu'yuan'ci 狐援辞
'hua'di'er'qu 画地而趋
'hua'di'wei'yu'yi'bu'ru 画地为狱议不入
'hua'wei'jiu'zhou 画为九州
'hua'wo'ming'xiao'bu'wo'sheng 化我鸣枭哺我生
'hua'wo'shi'xiao'bu'suo'sheng 化我鸤枭哺所生
'hua'yang'guo'zhi 华阳国志
'hua'yang'zhi 华阳志
'hua'yuan'ge 华元歌
'huai'bi'qi'zui 怀璧其罪
'huai'dao'bao'de 怀道抱德
'huai'nan 淮南
'huai'nan'hong'lie'ji'jie 淮南鸿烈集解
'huai'nan'yu'zhe'zhu 淮南于遮注
'huai'nan'zheng'cai'wu'beng'yu 淮南郑蔡舞嗙喻
'huai'nan'zi 淮南子
'huai'nan'zi'ji'shi 淮南子集释
'huai'zhong'jian'yi 怀忠见疑
'huan'shi'nian 桓十年
'huan'tan'yin'guan'dong'bi'yu 桓谭引关东鄙语
'huan'tan'yin'yan 桓谭引谚
'huan'you'e'ye 患犹恶也
'huan'yuan'xi'zou 还原息陬
'huan'zi'man'yan 患兹蔓延
'huan'zi'xin'lun'yin'yan 桓子新论引谚
'huang'di'chu'shi 黄帝出师
'huang'di'chun'you 皇帝春游
'huang'di'gang'gu'qu 黄帝掆鼔曲
'huang'di'jin'ji'ming 黄帝巾机铭
'huang'di'li'guo 皇帝立国
'huang'di'lin'wei 皇帝临位
'huang'di'ling'ling 黄帝令伶
'huang'di'long'gun'song 黄帝龙衮颂
'huang'di'xiu'lie 皇帝休烈
'huang'di'zheng'zhi 黄帝征之
'huang'di'zuo'shi 皇帝作始
'huang'du'shang'ban 黄犊上坂
'huang'e'ge 皇娥歌
'huang'fu 皇荂
'huang'gou'wu'jiang 黄耈无疆
'huang'hu'ge 黄鹄歌
'huang'huai'xin'deng 黄怀信等
'huang'huang'shang'di 皇皇上帝
'huang'huang'shang'tian 皇皇上天
'huang'huang'wei'jing 皇皇惟敬
'huang'jin'che 黄金车
'huang'jin'lei'qian 黄金累千
'huang'jin'zi'wu 黄金子午
'huang'pi'lie'yue 黄丕烈曰
'huang'ren'shou'gu 皇人受谷
'huang'ren'wei'yi 皇人威仪
'huang'shi'ming'gong'zhu 皇尸命工祝
'huang'shi'yi'shu'kao 黄氏逸书考
'huang'tian'you'zhu 皇天佑助
'huang'zai'shang'ling'zhao'xia'si'shi 皇在上令昭下四时
'huang'ze'ci 黄泽辞
'huang'ze'yao 黄泽谣
'huang'zhi'chi 黄之池
'huang'zhi'tuo 黄之陀
'huang'zhi'ze 黄之泽
'huang'zhu'ge 黄竹歌
'huang'zhu'shi 黄竹诗
'huang'zhui'jue'xu 荒坠厥绪
'huang'zu'you'xun 皇祖有训
'hui'ding'zai'qi'jian 彗鼎在其间
'hui'gu'ge 蟪蛄歌
'hui'gu'zhi'sheng 蟪蛄之声
'hui'wo'wu'si 惠我无私
'hui'xiao 汇校
'hui'yi'yu'si 袆衣与丝
'hui'yu'cai 惠于财
'hun'hun'zhi'shui 混混之水
'hun'jin'shou'shen'cha'e 昏谨守深察讹
'hun'liang'fu'zao 浑良夫噪
'hun'po'sang'yi 魂魄丧矣
'hun'shen'xie'xi 魂神泄兮
'hun'tong'hun 昬同昏
'huo'bu'hao'bu'neng'wei'huo 祸不好不能为祸
'huo'fen'qi'qi 火焚其旗
'huo'lin'ge 获麟歌
'huo'luan'qi'xing 祸乱其兴
'huo'mie'xiu'rong 火灭修容
'huo'mo'ju'yan'er 或末句谚耳
'huo'nai'bu'cun 祸乃不存
'huo'qi'xiong'hu 获其雄狐
'huo'shi'chu'ren'nan'gong 或是楚人南公
'huo'shi'yin'wei'qi'suo'yin'jiao'quan 或是因为其所引较全
'huo'tong'zuo 或通作
'huo'wei'de'gen 祸为德根
'huo'yi'ren'bi 祸倚人壁
'huo'yue'kong'ji'si'gan'shi 或曰恐即斯干诗
'huo'zhe'zhi'fan 惑者知反
'huo'zhi'chuan'fei'yan'ye 货殖传非谚也
'huo'zhi'chuan'yin'yan 货殖传引谚
'huo'zhi'lie'zhuan 货殖列传
'huo'zhong'hu'di 祸重乎地
'ji'an 既安
'ji'bu'chuan 季布传
'ji'bu'huang'shi'si'ti'pi 饥不遑食四体疲
'ji'bu'suo'shi 饥不索食
'ji'bu'wei'ji 稷不为稷
'ji'chu 激楚
'ji'chu'jie'feng 激楚结风
'ji'ci 祭辞
'ji'ci'jia'jue 祭此嘉爵
'ji'di'ci 祭地辞
'ji'di'zhi'ling 集地之灵
'ji'ding'er'lou'zhu 既定尔娄猪
'ji'du'ji'yu'ku 己独集于枯
'ji'e 及饿
'ji'feng'bu'xun 稷蜂不熏
'ji'fu'san'chi 肌肤三尺
'ji'he'bu'chun 几何不蠢
'ji'he'bu'du 几何不蠧
'ji'he'bu'du 几何不蠹
'ji'hou'ci 祭侯辞
'ji'hu'mei'you'ren'he 几乎没有任何
'ji'huan'zhi'shui 济洹之水
'ji'hui'xiao'gu 积毁销骨
'ji'huo'zu'mo 既获卒莫
'ji'ji'duo'shi 济济多士
'ji'ji'qiang'qiang 济济锵锵
'ji'jin'ye 既尽也
'ji'kang'ji 嵇康集
'ji'kao 辑考
'ji'kao'yu 辑考与
'ji'li'gu'ci 祭礼嘏辞
'ji'lin'ben 吉林本
'ji'lu'san'tiao 辑录三条
'ji'luan'bu 鸡卵卜
'ji'meng'zhou'shu 汲冡周书
'ji'mi 檕迷
'ji'mi'shang'ke'de'bo'ma 檕迷尚可得駮马
'ji'mi'shang'ke'de'bo'ma 檕迷尚可得驳马
'ji'mi'yi'ming'qie 檕迷一名挈
'ji'ming 几铭
'ji'pi'san'shao 鸡皮三少
'ji'qi'mo'jie 及其末节
'ji'rang'ge 击壤歌
'ji'ren'lai'ding 集人来定
'ji'shan'cao 箕山操
'ji'shan'ge 箕山歌
'ji'shang'ju'suo'yun'zao'xin'ge'ye 即上句所云造新歌也
'ji'shi 集释
'ji'shi'bu'mi 几事不密
'ji'shi'bu'mi 机事不密
'ji'shi'er'wang'zai'wo'ying 继世而往在我盈
'ji'shi'huai'yi'qi'zhen'shi'xing 即使怀疑其真实性
'ji'shu'bu'yi 计数不一
'ji'shun'nai'rang 既顺乃让
'ji'tong 祭统
'ji'tong'ci'shuo 既同此说
'ji'wen 记问
'ji'yi'zhen'bian'wei'li 既依震变为离
'ji'yu'chen'zhou 积羽沉舟
'ji'yu'ying'he 疾雨盈河
'ji'yue 既曰
'ji'yue'ling'chen 吉月令辰
'ji'yun 集韵
'ji'yun'jiao'ben 集韵校本
'ji'zhang'yin'ru'zhu'hou'yi 几杖茵蓐诸侯仪
'ji'zhi'nai'zhang 既志乃张
'ji'zhi'shi'yin'yong 既止是引用
'ji'zhu 集注
'ji'zi'cao 箕子操
'ji'zi'qiang'tu 急菑强土
'ji'zi'yin 箕子吟
'jia'bian 驾辩
'jia'bo'wang'zhu'yi'zai'zhen 家伯罔主异哉震
'jia'chen'er'jun'tu 家臣而君图
'jia'er'yun 加二韵
'jia'gu'zhi'jiu 嘉谷旨酒
'jia'jian'dan'shi 嘉荐亶时
'jia'jian'ling'fang 嘉荐令芳
'jia'lei'qian'jin 家累千金
'jia'liang'ji'cheng 嘉量既成
'jia'long'shang'sheng'ru'tai'qing 驾龙上升入太清
'jia'ming'bu'qian 嘉命不迁
'jia'ming'jie'xi'xing'mi'zhang 嘉名洁兮行弥彰
'jia'pin'bu'ban'su'shi 家贫不办素食
'jia'pin'qin'lao 家贫亲老
'jia'shi'jiang'mo'xi'ke'nai 家时将莫兮可奈
'jia'si'xie'yin'he'xi'yu 贾思勰引河西语
'jia'yi'shu'rong'jing'pian 贾谊书容经篇
'jia'yi'yi'wo 假以溢我
'jia'yu 家语
'jia'yu'kong'cong'zi 家语孔丛子
'jia'zhi'jiu'zhuo'wu'ban 假卮酒酌五般
'jia'zi'shu'yin 贾子书引
'jia'zi'yin'bi'yan 贾子引鄙谚
'jia'zi'yin'huang'di'yu 贾子引黄帝语
'jian'ben 建本
'jian'dan'tiao'zheng'shun'xu 简单调整顺序
'jian'di'tun'zhi 简狄吞之
'jian'gui'xiao'wang 奸宄消亡
'jian'jian'shuo'kai 渐渐说开
'jian'jian'yi'pu 荐荐伊脯
'jian'jiu'yu'zhi'zhi'qian 见九域志止前
'jian'jun'zhi'cheng'xia'zhi 见君之乘下之
'jian'ling'ming'xi 建令名兮
'jian'long'kui 鉴隆愧
'jian'mian'zhi'rong 见面之容
'jian'ming 剑铭
'jian'ming 鉴铭
'jian'qi'xuan'wang'yue 谏齐宣王曰
'jian'qiao'yuan'yan'biao 荐谯元彦表
'jian'san 见三
'jian'shi'yi'jian'juan'shou 见诗已见卷首
'jian'tu'er'gu'quan 见兔而顾犬
'jian'tuo'tuo'yan'ma'zhong'bei 见橐驼言马肿背
'jian'yu'shui'zhe'jian'mian'zhi'rong 鉴于水者见面之容
'jian'zhang'qi'zhi 见杖起之
'jian'zi'yue 简子曰
'jiang'chu'qi'fu 江出其腹
'jiang'ci'he'wei'tiao 将此合为条
'jiang'du'ju'gong'zhi'gong 僵读鞠躬之躬
'jiang'fa'wu'ke 将伐无柯
'jiang'fei'zhe'yi'fu 将飞者翼伏
'jiang'fei'zhe'yu'fu 将飞者羽伏
'jiang'fen'zhe'zu'ju 将奋者足局
'jiang'fen'zhe'zu'ju 将奋者足跼
'jiang'fu'er'ye 将复而野
'jiang'gan'feng'yu 降甘风雨
'jiang'guai'bi'yi'xi 将乖比翼兮
'jiang'gui'cao 将归操
'jiang'jun'zhi'zai'ji'mo 将军之在即墨
'jiang'ke 姜恪
'jiang'li'pian 将理篇
'jiang'ling'wai'liang'tiao 将另外两条
'jiang'mie'wu'guo 将灭吴国
'jiang'qi'bing'ru 将其并入
'jiang'qi'bing'ru'jia'yu'suo'yin 将其并入家语所引
'jiang'qi'bing'wei'tiao'bing'zhu'yi'wen 将其并为条并注异文
'jiang'qi'shi'wei 将其视为
'jiang'qi'shi'wei'yi'tiao 将其视为一条
'jiang'qi'shou'lu'wei'yi'shi 将其收录为逸诗
'jiang'qi'zuo'wei'ci'tiao 将其作为此条
'jiang'qian'liang'ju'lie'wei'yi'shi 将前两句列为逸诗
'jiang'san'ju'shi'wei'zheng'ti 将三句视为整体
'jiang'shen'bu'zheng 将身不正
'jiang'shi'bu'ling 讲事不令
'jiang'shi'qi'suo 将失其所
'jiang'shu'qin'de'gu'shi 讲述秦的故事
'jiang'shui'pei'xi 江水沛兮
'jiang'shuo'yuan'suo'yin 将说苑所引
'jiang'wang 将亡
'jiang'wei'jiang'he 将为江河
'jiang'wen'zhe 将文者
'jiang'yang 将杨
'jiang'yong'fa'ke 将用伐柯
'jiang'you'zhe'zhao'suo 将游者爪缩
'jiang'yu'bo'zhi 将欲踣之
'jiang'yu'hui'zhi 将欲毁之
'jiang'yu'yu'jiang 将育于姜
'jiang'zhe'liang'tiao'he'wei 将这两条合为
'jiang'zhe'liang'tiao'he'wei'yi'tiao 将这两条合为一条
'jiang'zhe'zhong 将这种
'jiang'zhuang'zi'suo'zai 将庄子所载
'jiang'zi'wan'ji'lun 蒋子万机论
'jiang'zi'wu'si 将子无死
'jiao'cao'bu'zhan'yun 郊草不瞻耘
'jiao'jiao'lian'si'zai'suo'ran'zhi 皎皎练丝在所染之
'jiao'jiao'zhe'yi'wu 皦皦者易污
'jiao'long'bu'you 蛟龙不游
'jiao'long'zhu'xi'zhu'jiang'gui 蛟龙助兮主将归
'jiao'min'tian'yu 敎民田鱼
'jiao'quan 焦泉
'jiao'shao'yi'xue 教少以学
'jiao'tu'si 狡兔死
'jiao'yu 教予
'jiao'zhu 校注
'jiao'zi'li 骄子詈
'jiao'zi'ma'mu 骄子骂母
'jie'bi 解蔽
'jie'che'zhe'chi'zhi 借车者驰之
'jie'dang'xuan'zhi'yu'jun 皆当宣之于君
'jie'er'bu'ning'hou 嗟尔不宁侯
'jie'er'jing'fu 介尔景福
'jie'fu'jie 嗟复嗟
'jie'gu'yan'qu 皆古艳曲
'jie'hu'he'gu'xi 嗟乎何辜兮
'jie'hu'xi'zai 嗟呼惜哉
'jie'ji'ning'qi'kou'jiao'shang'ge 皆及宁戚叩角商歌
'jie'jie 嗟嗟
'jie'jie'bu'yu'fan'xia'min 嗟嗟不欲烦下民
'jie'jie'nai'he'xi'yu'ming'zao'si 嗟嗟奈何兮予命遭斯
'jie'ke'ge'ye 皆可歌也
'jie'ke'neng'bi'cheng 诫可能比诚
'jie'lai'sang'hu'hu 嗟来桑户乎
'jie'le 皆乐
'jie'lian'juan'zhi'han'tai'xi 借连娟之寒态兮
'jie'qu'ming'ye 皆曲名也
'jie'shi'ke'shi'ming 碣石刻石铭
'jie'shi'zhi'yu'wu'shi 解释之语误诗
'jie'wei'li'wang 皆为利往
'jie'wu'gou 诫无垢
'jie'wu'li'xi 皆吾力兮
'jie'xia 裓夏
'jie'yan 皆言
'jie'yao'miao'zhi'yin 皆要妙之音
'jie'yi'chuan 节义传
'jie'yi'quan'li'fu'zhi 皆以全力付之
'jie'yi'zhe'bei'zhi 借衣者被之
'jie'you'chu'suo 皆有处所
'jie'you'shuo 皆有说
'jie'you'wang'yuan'zhi'xin 皆有望怨之心
'jie'yu'ge 接舆歌
'jie'yu'tang'xia 皆于堂下
'jie'zhi 诘之
'jie'zhi'shi'lv 截趾适履
'jie'zhi'zai 戒之哉
'jie'zhou'wu'dao 桀纣无道
'jin'bian'zhi 今编之
'jin'bu'fa'wu'ren'he'xu 今不伐吴人何须
'jin'bu'ke'zuo'shi'bu'ke'du 金不可作世不可度
'jin'chan'ding'ming 晋谗鼎铭
'jin'cong 今从
'jin'cun'ji'ben 今存辑本
'jin'cun'ming'zheng'pu'ji'ben 今存明郑朴辑本
'jin'cun'pian'ming'lei 仅存篇名类
'jin'dai 晋代
'jin'dai'fu'bu'yan'yin'shang'ming 晋大夫卜偃引商铭
'jin'di'er'shi'san 晋第二十三
'jin'er'yao 晋儿谣
'jin'fei'qi'shi'lai'he'qiu 今非其时来何求
'jin'fu'ci'hou 今附此后
'jin'gen'yu 紧跟于
'jin'gu'fu'ci'si'kao 今姑附此俟考
'jin'hui'gong'shi'tong'yao 晋惠公时童谣
'jin'ji'lu'ci'tiao'yi'wen 仅辑录此条佚文
'jin'jia'yu'kun'shi'pian'zuo 今家语困誓篇作
'jin'ju 今据
'jin'ke'zuo'shi'ke'du 金可作世可度
'jin'liang'ju 仅两句
'jin'lin'an 金临安
'jin'ling'xia'yu 金陵下余
'jin'ling'yu'shi'da'ru 金陵余石大如
'jin'lou'zi 金楼子
'jin'lu'qian'liang'ju 仅录前两句
'jin'mian'xing'yan 仅免刑焉
'jin'min'wei'fei'yue'yi 禁民为非曰义
'jin'mu'zi 晋穆子
'jin'nai'zong'miao'he 今奈宗庙何
'jin'ren 晋人
'jin'ren'dang'wei'mou'yi'shuo'ke 今人当为某一说客
'jin'ren'fan'er'qian 今人繁而浅
'jin'ren'ming 金人铭
'jin'ren'shi'yu'ti'mu 今人是遇题目
'jin'ren'shuo'le'you'shuo 今人说了又说
'jin'ren'yi'pian'da'wen'zhang 今人一篇大文章
'jin'ren'yi'wei 今人译为
'jin'ri'fu'gui'juan'wo'wei 今日富贵捐我为
'jin'ri'fu'gui'wang'wo'wei 今日富贵忘我为
'jin'ri'he'cheng 今日何成
'jin'ri'shang'yi 今日尚矣
'jin'sha'fu'zhuan'duo 金沙浮转多
'jin'shan 今删
'jin'shi 晋诗
'jin'shi'fu'gui'wang'wo'wei 今适富贵忘我为
'jin'shi'hua'yin'yan'min'yuan'nian 晋士蒍引谚闵元年
'jin'shi'jue'dao 今失厥道
'jin'shi'wu'ci'ju 今诗无此句
'jin'shu 晋书
'jin'su'yu 今俗语
'jin'sui'shi'xi 今遂逝兮
'jin'sui'wan'yi 今岁晚矣
'jin'tong'yao 晋童谣
'jin'wai'zhuan'jiu'zuo 今外传九作
'jin'wo'cai'ge'yi'zuo'si 今我采葛以作丝
'jin'wu'yun'shi'zhui 金误陨石坠
'jin'xi'he'xi'xi 今夕何夕兮
'jin'xian'gong'shi'tong'yao 晋献公时童谣
'jin'xiu'xiang'yi 锦绣襄邑
'jin'yi 仅以
'jin'yi'bu'chang 晋亦不昌
'jin'yi'zhu'lu 今亦著录
'jin'yi'zhu'zhe'shi'dai 今依著者时代
'jin'ying'bu'li'chui'zhi 劲鹰不立垂枝
'jin'you'qing'ren'sun'xing'yan'ji'ben 今有清人孙星衍辑本
'jin'yu 今语
'jin'yu'ba 晋语八
'jin'yu'fa'wu'ke'wei'ye 今欲伐吴可未耶
'jin'yu'ni'xia 瑾瑜匿瑕
'jin'yu'qi 晋语七
'jin'yu'yi 晋语一
'jin'yu'ze'yun 今语则云
'jin'za'ge'yao'ci'zhong 晋杂歌谣辞中
'jin'zai'di'tiao'hou'biao'zhu'chu'chu 仅在第条后标注出处
'jin'zai'xiong'yi 近在胸臆
'jin'zhao'hou'tou'hu'ci 晋昭侯投壶辞
'jin'zhi'cong'zheng'zhe'dai'er 今之从政者殆而
'jin'zhou'chu'zhu 晋周处著
'jin'zhou'yi'wu'qi'wen 今周易无其文
'jin'zhu'sheng 金主声
'jin'zi'zhi'cha'fen'wei'liang'tiao 仅字之差分为两条
'jing'bai'huang'tian'zhi'hu 敬拜皇天之祜
'jing'bai'xia'tu'zhi'ling 敬拜下土之灵
'jing'bai'ying'yu'jiao 敬拜迎于郊
'jing'dian'fan'li 经典范例
'jing'er'wei'yi 敬尔威仪
'jing'gong'si'hu'bu'yu'mai 景公死乎不与埋
'jing'he'cha'dang'wei'shi'yi'nian 经核查当为十一年
'jing'hua'yi'jie 菁华已竭
'jing'jing'mao'mu 菁菁茂木
'jing'jing'ye'ye 兢兢业业
'jing'ke'ge 荆轲歌
'jing'ming 镜铭
'jing'qi'jiu'dao 经启九道
'jing'shen 敬慎
'jing'sheng'dai'zhe'ji 敬胜怠者吉
'jing'shui'wu'da'yu 井水无大鱼
'jing'shui'yi'dan 泾水一石
'jing'si'bu'gan'wei'fei 竟死不敢为非
'jing'si'huang'tian 敬祀皇天
'jing'tian'chang 敬天常
'jing'xiang'zhi'niao 惊翔之鸟
'jing'yi'kao'yi 经义考一
'jing'yi'xian'shi 敬以先时
'jing'yu'bin'ke'gui'jian'wu'er 敬遇宾客贵贱无二
'jing'yu'ren 镜于人
'jing'yu'shui 镜于水
'jing'yue'guo 境越国
'jing'ze'you'zui'yi 径则有罪矣
'jing'zhu'chai'lang'qiu'shi'er'yi 警诸豺狼求食而已
'jiu'ba 酒罢
'jiu'ben'zhe'qu 救奔者趋
'jiu'bian 九辩
'jiu'bian'fu'guan 九变复贯
'jiu'biao'yi'er'yan 就表意而言
'jiu'bu'de'gui 久不得归
'jiu'de'zhi'ge 九德之歌
'jiu'ding'ji'cheng 九鼎既成
'jiu'fei 鸠飞
'jiu'ge 九歌
'jiu'ge'fen'yun 纠葛纷纭
'jiu'gong'zhi'de 九功之德
'jiu'han'wu'ruo'zhong'qiu 救寒无若重裘
'jiu'hang'er'shang 酒行二觞
'jiu'man'man'xi 纠缦缦兮
'jiu'ni'zhe'ru 救溺者濡
'jiu'ti'shi'er'yan 就体式而言
'jiu'ti'zhang'yi 旧题张仪
'jiu'xia 九夏
'jiu'xia'jie'shi'pian'ming 九夏皆诗篇名
'jiu'yu'zhi 九域志
'jiu'zhao 九招
'jiu'zhou'chun'qiu 九州春秋
'jiu'zuo'ju'wu'wang 酒坐俱毋往
'ju'bing'suo'fa'gong'qin'wang 举兵所伐攻秦王
