'ai'e'xiang'gong'er'ji'xiong'sheng 爱恶相攻而吉凶生
'fou'zhong'ze'qing 否终则倾
'fu'da'ren'zhe 夫大人者
'fu'dui 孚兑
'fu'dui'zhi'ji 孚兑之吉
'fu'fan'ye 复反也
'fu'fu 夫夫
'fu'fu 妇妇
'fu'fu 父父
'fu'fu'zhi'dao 夫妇之道
'fu'gan'cheng'ye 弗敢成也
'fu'gong'su 覆公餗
'fu'gua'zhong 复卦终
'fu'guo'fang'zhi 弗过防之
'fu'guo'yu'zhi 弗过遇之
'fu'hao 孚号
'fu'hao'you'li 孚号有厉
'fu'heng 复亨
'fu'ji'ming 复即命
'fu'jia 富家
'fu'jia'da'ji 富家大吉
'fu'jian'yu'ye 弗兼与也
'fu'jing 拂经
'fu'ke'gong 弗克攻
'fu'kun 夫坤
'fu'mao'zhi'wei'wu'bo 夫茅之为物薄
'fu'mu'zhi'wei'ye 父母之谓也
'fu'nai'li'yong'yue 孚乃利用禴
'fu'niu'cheng'ma 服牛乘马
'fu'qi'fan'mu 夫妻反目
'fu'qi'jian'tian'di'zhi'xin'hu 复其见天地之心乎
'fu'qian 夫乾
'fu'qie'cheng 负且乘
'fu'ren'ji 妇人吉
'fu'ren'zhen'ji 妇人贞吉
'fu'rong'yu'mang 伏戎于莽
'fu'san'sui'bu'yun 妇三岁不孕
'fu'sang'qi'fei 妇丧其髴
'fu'sun'yi'zhi 弗损益之
'fu'xiang 夫象
'fu'xiang'tian'di'zhi'yi 辅相天地之宜
'fu'xuan'huang'zhe 夫玄黄者
'fu'ye 辅也
'fu'ye'zhe 负也者
'fu'yi 夫易
'fu'yi 拂颐
'fu'yi'cha'yu'di'li 俯以察於地理
'fu'yi'he'wei'zhe'ye 夫易何为者也
'fu'yi'kai'wu'cheng'wu 夫易开物成务
'fu'yi'qi'lin 富以其邻
'fu'you'zhi'wei'da'ye 富有之谓大业
'fu'yu'bo 孚于剥
'fu'yu'guo'zhi 弗遇过之
'fu'yu'jia 孚于嘉
'fu'yun'bu'yu 妇孕不育
'fu'ze'bu'wang'yi 复则不妄矣
'fu'ze'guan'fa'yu'di 俯则观法於地
'fu'zhen'li 妇贞厉
'fu'zheng'bu'fu 夫征不复
'fu'zi'dao 复自道
'fu'zi'ming 复自命
'fu'zi'xi'xi 妇子嘻嘻
'fu'zi'xiong 夫子凶
'fu'zi'zhi'yi 夫子制义
'gai'ming'zhi'ji 改命之吉
'gai'qu'zhu'ci'ye 盖取诸此也
'gai'qu'zhu'da'guo 盖取诸大过
'gai'qu'zhu'da'zhuang 盖取诸大壮
'gai'qu'zhu'huan 盖取诸涣
'gai'qu'zhu'jue 盖取诸夬
'gai'qu'zhu'kui 盖取诸睽
'gai'qu'zhu'li 盖取诸离
'gai'qu'zhu'qian'kun 盖取诸乾坤
'gai'qu'zhu'shi'ke 盖取诸噬嗑
'gai'qu'zhu'sui 盖取诸随
'gai'qu'zhu'xiao'guo 盖取诸小过
'gai'qu'zhu'yi 盖取诸益
'gai'qu'zhu'yu 盖取诸豫
'gai'yan'jin'ye 盖言谨也
'gai'yan'shun'ye 盖言顺也
'gai'yi'bu'gai'jing 改邑不改井
'gan'er'sui'tong'tian'xia'zhi'gu 感而遂通天下之故
'gan'fu'xiao'you'hui 干父小有晦
'gan'fu'zhi'gu 干父之蛊
'gan'jie 甘节
'gan'jie'zhi'ji 甘节之吉
'gan'lin 甘临
'gan'mu'zhi'gu 干母之蛊
'gan'ye 感也
'gang'chang'nai'zhong'ye 刚长乃终也
'gang'chang'ye 刚长也
'gang'dang'wei'er'ying 刚当位而应
'gang'fan 刚反
'gang'guo'er'zhong 刚过而中
'gang'jian'du'shi'hui'guang 刚健笃实辉光
'gang'jian'er'bu'xian 刚健而不陷
'gang'jian'zhong'zheng 刚健中正
'gang'jin'er'chang 刚浸而长
'gang'jue'rou'ye 刚决柔也
'gang'lai'er'bu'qiong 刚来而不穷
'gang'lai'er'de'zhong'ye 刚来而得中也
'gang'lai'er'xia'rou 刚来而下柔
'gang'lu 刚卤
'gang'rou'duan'yi 刚柔断矣
'gang'rou'fen 刚柔分
'gang'rou'ji'ye 刚柔际也
'gang'rou'jie'ye 刚柔接也
'gang'rou'jie'ye 刚柔节也
'gang'rou'jie'ying 刚柔皆应
'gang'rou'shi'jiao'er'nan'sheng 刚柔始交而难生
'gang'rou'xiang'tui 刚柔相推
'gang'rou'xiang'tui'er'sheng'bian'hua 刚柔相推而生变化
'gang'rou'xiang'yi 刚柔相易
'gang'rou'ying'ye 刚柔应也
'gang'rou'za'ju 刚柔杂居
'gang'rou'zhe 刚柔者
'gang'rou'zheng'er'wei'dang'ye 刚柔正而位当也
'gang'rou'zhi'ji 刚柔之际
'gang'shang'er'rou'xia 刚上而柔下
'gang'shang'er'shang'xian 刚上而尚贤
'gang'shi'wei'er'bu'zhong 刚失位而不中
'gang'xun'hu'zhong'zheng'er'zhi'xing 刚巽乎中正而志行
'gang'yan'ye 刚掩也
'gang'yi'dong 刚以动
'gang'ying'er'zhi'xing 刚应而志行
'gang'yu'zhong'zheng 刚遇中正
'gang'zhong'er'rou'wai 刚中而柔外
'gang'zhong'er'ying 刚中而应
'gang'zhong'er'zhi'xing 刚中而志行
'gang'zhong'zheng 刚中正
'gang'zi'wai'lai 刚自外来
'gao'er'wu'min 高而无民
'gao'gong'cong 告公从
'gao'gong'yong'gui 告公用圭
'gao'shang'qi'shi 高尚其事
'gao'zi'yi 告自邑
'gao'zong'fa'gui'fang 高宗伐鬼方
'ge'de'qi'suo 各得其所
'ge'er'dang 革而当
'ge'er'xin'ye 革而信也
'ge'gua'zhong 革卦终
'ge'qu'gu'ye 革去故也
'ge'wu'zhe'mo'ruo'ding 革物者莫若鼎
'ge'yan'san'jiu 革言三就
'ge'zheng'xing'ming 各正性命
'ge'zhi'shi'yi'da'yi'zai 革之时义大矣哉
'gen'dong'bei'zhi'gua'ye 艮东北之卦也
'gen'gua'zhong 艮卦终
'gen'qi'bei 艮其背
'gen'qi'fei 艮其腓
'gen'qi'fu 艮其辅
'gen'qi'shen 艮其身
'gen'qi'xian 艮其限
'gen'qi'zhi 艮其止
'gen'qi'zhi 艮其趾
'gen'san'suo'er'de'nan 艮三索而得男
'gen'shang'dui'xia 艮上兑下
'gen'shang'gen'xia 艮上艮下
'gen'shang'kan'xia 艮上坎下
'gen'shang'kun'xia 艮上坤下
'gen'shang'li'xia 艮上离下
'gen'shang'qian'xia 艮上乾下
'gen'shang'xun'xia 艮上巽下
'gen'shang'zhen'xia 艮上震下
'gen'wei'gou 艮为狗
'gen'wei'shan 艮为山
'gen'wei'shou 艮为手
'gen'yi'zhi'zhi 艮以止之
'gen'zhe'zhi'ye 艮者止也
'gen'zhi'ye 艮止也
'gong'shi'zhe'qi'ye 弓矢者器也
'gong'ye'jian'hu'bian 功业见乎变
'gong'yi'qu'bi'zai'xue 公弋取彼在穴
'gong'yong'heng'yu'tian'zi 公用亨于天子
'gong'yong'huang'niu 巩用黄牛
'gong'yong'huang'niu'zhi'ge 巩用黄牛之革
'gong'yong'she'sun 公用射隼
'gou'cuo'zhu'di'er'ke'yi 苟错诸地而可矣
'gou'fei'qi'ren 苟非其人
'gou'gua'zhong 姤卦终
'gou'qi'jiao 姤其角
'gou'shen'zhi'yuan 钩深致远
'gou'yu'ye 姤遇也
'gou'zhe'yu'ye 姤者遇也
'gou'zhi'shi'yi'da'yi'zai 姤之时义大矣哉
'gu'bu'guo 故不过
'gu'bu'ji'er'su 故不疾而速
'gu'bu'wei 故不违
'gu'bu'you 故不忧
'gu'cheng'fu 故称父
'gu'cheng'long'yan 故称龙焉
'gu'cheng'mu 故称母
'gu'cheng'xue'yan 故称血焉
'gu'e'ji'er'bu'ke'yan 故恶积而不可掩
'gu'feng 故丰
'gu'gua'zhong 蛊卦终
'gu'heng 故亨
'gu'huo'zhi 故或之
'gu'ji'xiong'sheng'yan 故吉凶生焉
'gu'ju'ye 故聚也
'gu'jun'zi'zhi'dao'xian'yi 故君子之道鲜矣
'gu'liu 故六
'gu'neng'ai 故能爱
'gu'neng'cheng'tian'xia'zhi'wu 故能成天下之务
'gu'neng'mi'lun'tian'di'zhi'dao 故能弥纶天地之道
'gu'neng'tong'tian'xia'zhi'zhi 故能通天下之志
'gu'qian'qian 故乾乾
'gu'quan'ye 故全也
'gu'ri'yue'bu'guo 故日月不过
'gu'shen'wu'fang'er'yi'wu'ti 故神无方而易无体
'gu'shou'zhi'ji'ji 故受之既济
'gu'shou'zhi'yi'ben 故受之以贲
'gu'shou'zhi'yi'bi 故受之以比
'gu'shou'zhi'yi'bo 故受之以剥
'gu'shou'zhi'yi'cui 故受之以萃
'gu'shou'zhi'yi'da'chu 故受之以大畜
'gu'shou'zhi'yi'da'guo 故受之以大过
'gu'shou'zhi'yi'da'you 故受之以大有
'gu'shou'zhi'yi'da'zhuang 故受之以大壮
'gu'shou'zhi'yi'ding 故受之以鼎
'gu'shou'zhi'yi'dui 故受之以兑
'gu'shou'zhi'yi'dun 故受之以遯
'gu'shou'zhi'yi'feng 故受之以丰
'gu'shou'zhi'yi'fou 故受之以否
'gu'shou'zhi'yi'fu 故受之以复
'gu'shou'zhi'yi'ge 故受之以革
'gu'shou'zhi'yi'gen 故受之以艮
'gu'shou'zhi'yi'gou 故受之以姤
'gu'shou'zhi'yi'gu 故受之以蛊
'gu'shou'zhi'yi'guan 故受之以观
'gu'shou'zhi'yi'gui'mei 故受之以归妹
'gu'shou'zhi'yi'heng 故受之以恒
'gu'shou'zhi'yi'huan 故受之以涣
'gu'shou'zhi'yi'jia'ren 故受之以家人
'gu'shou'zhi'yi'jian 故受之以渐
'gu'shou'zhi'yi'jian 故受之以蹇
'gu'shou'zhi'yi'jie 故受之以节
'gu'shou'zhi'yi'jie 故受之以解
'gu'shou'zhi'yi'jin 故受之以晋
'gu'shou'zhi'yi'jing 故受之以井
'gu'shou'zhi'yi'jue 故受之以夬
'gu'shou'zhi'yi'kan 故受之以坎
'gu'shou'zhi'yi'kui 故受之以睽
'gu'shou'zhi'yi'kun 故受之以困
'gu'shou'zhi'yi'li 故受之以离
'gu'shou'zhi'yi'lin 故受之以临
'gu'shou'zhi'yi'lv 故受之以履
'gu'shou'zhi'yi'lv 故受之以旅
'gu'shou'zhi'yi'meng 故受之以蒙
'gu'shou'zhi'yi'ming'yi 故受之以明夷
'gu'shou'zhi'yi'qian 故受之以谦
'gu'shou'zhi'yi'sheng 故受之以升
'gu'shou'zhi'yi'shi 故受之以师
'gu'shou'zhi'yi'shi'ke 故受之以噬嗑
'gu'shou'zhi'yi'song 故受之以讼
'gu'shou'zhi'yi'sui 故受之以随
'gu'shou'zhi'yi'sun 故受之以损
'gu'shou'zhi'yi'tai 故受之以泰
'gu'shou'zhi'yi'tong'ren 故受之以同人
'gu'shou'zhi'yi'tun 故受之以屯
'gu'shou'zhi'yi'wei'ji'zhong'yan 故受之以未济终焉
'gu'shou'zhi'yi'wu'wang 故受之以无妄
'gu'shou'zhi'yi'xiao'chu 故受之以小畜
'gu'shou'zhi'yi'xiao'guo 故受之以小过
'gu'shou'zhi'yi'xu 故受之以需
'gu'shou'zhi'yi'xun 故受之以巽
'gu'shou'zhi'yi'yi 故受之以益
'gu'shou'zhi'yi'yi 故受之以颐
'gu'shou'zhi'yi'yu 故受之以豫
'gu'shou'zhi'yi'zhen 故受之以震
'gu'shou'zhi'yi'zhong'fu 故受之以中孚
'gu'shui'huo'xiang'dai 故水火相逮
'gu'tian'di'ru'zhi 故天地如之
'gu'tian'xia'zhi'dong'zhe 鼓天下之动者
'gu'wan'wu'er'bu'yu'sheng'ren'tong'you 鼓万物而不与圣人同忧
'gu'wei'zhi'shao'nan 故谓之少男
'gu'wei'zhi'shao'nv 故谓之少女
'gu'wei'zhi'zhang'nan 故谓之长男
'gu'wei'zhi'zhang'nv 故谓之长女
'gu'wei'zhi'zhong'nan 故谓之中男
'gu'wei'zhi'zhong'nv 故谓之中女
'gu'wu'jiu 故无咎
'gu'xiao'li'you'you'wang 故小利有攸往
'gu'yi'liu'hua'er'cheng'gua 故易六画而成卦
'gu'yi'liu'wei'er'cheng'zhang 故易六位而成章
'gu'you'zhi'ye 固有之也
'gu'yue 故曰
'gu'yue'cheng'yan'hu'gen 故曰成言乎艮
'gu'yue'lao'hu'kan 故曰劳乎坎
'gu'yue'shuo 故曰说
'gu'yue'wen 故曰文
'gu'yue'wu 故曰物
'gu'yue'yao 故曰爻
'gu'yue'zhi'yi'hu'kun 故曰致役乎坤
'gu'zai'hui'er'hou'gua 故再撝而后挂
'gu'ze'chi'ye 蛊则饬也
'gu'zhe'bao'xi'shi'zhi'wang'tian'xia'ye 古者包羲氏之王天下也
'gu'zhe'shi'ye 蛊者事也
'gu'zhi'cong'ming'rui'zhi'shen'wu'er'bu'sha'zhe'fu 古之聪明睿知神武而不杀者夫
'gu'zhi'si'sheng'zhi'shuo 故知死生之说
'gu'zhi'wu'zhi'yi'jin'shen 鼓之舞之以尽神
'gu'zhi'ye 固志也
'gu'zhi'yi'lei'ting 鼓之以雷霆
'gu'zhi'zang'zhe 古之葬者
'gu'zhuang 故壮
'gua'yi'yi'xiang'san 挂一以象三
'gua'you'xiao'da 卦有小大
'gua'zhi'de 卦之德
'guai'bi'you'nan 乖必有难
'guan'bian'yu'yin'yang 观变於阴阳
'guan'er'bu'jian 盥而不荐
'guan'gua'zhong 观卦终
'guan'guo'zhi'guang 观国之光
'guan'hu'ren'wen 观乎人文
'guan'hu'tian'wen 观乎天文
'guan'min'she'jiao 观民设教
'guan'min'ye 观民也
'guan'niao'shou'zhi'wen 观鸟兽之文
'guan'qi'sheng 观其生
'guan'qi'suo'gan 观其所感
'guan'qi'suo'heng 观其所恒
'guan'qi'suo'ju 观其所聚
'guan'qi'suo'yang'ye 观其所养也
'guan'qi'zi'yang'ye 观其自养也
'guan'tian'zhi'shen'dao 观天之神道
'guan'wo'duo'yi 观我朵颐
'guan'wo'sheng 观我生
'guan'xiang'ye 观象也
'guan'yi 观颐
'guan'you'yu 官有渝
'guan'yu 贯鱼
'guan'zhi'yi 观之义
'guang'da'xi'bei 广大悉备
'guang'da'ye 光大也
'guang'heng 光亨
'guang'ming'ye 光明也
'guang'yi'da'yi 广矣大矣
'gui'er'bu 归而逋
'gui'er'bu'ye 归而逋也
'gui'er'wu'wei 贵而无位
'gui'jian'wei'yi 贵贱位矣
'gui'jian'zhi'deng'ye 贵贱之等也
'gui'mei 归妹
'gui'mei'gua'zhong 归妹卦终
'gui'mei'nv'zhi'zhong'ye 归妹女之终也
'gui'mei'qian'qi 归妹愆期
'gui'mei'ren'zhi'zhong'shi'ye 归妹人之终始也
'gui'mei'yi'di 归妹以娣
'gui'mei'yi'xu 归妹以须
'gui'qi'yu'hui'yi'xiang'run 归奇於撝以象闰
'gui'shen'hai'ying'er'fu'qian 鬼神害盈而福谦
'guo'ci'yi'wang 过此以往
'guo'qi'zu 过其祖
'guo'she'mie'ding 过涉灭顶
'guo'she'zhi'xiong 过涉之凶
'guo'xun'zai'ye 过旬灾也
'guo'yi'li'zhen 过以利贞
'guo'yi'xiang'yu'ye 过以相与也
'han'hong'guang'da 含弘光大
'han'quan'shi 寒泉食
'han'quan'zhi'shi 寒泉之食
'han'shu'xiang'tui'er'sui'cheng'yan 寒暑相推而岁成焉
'han'wan'wu'er'hua'guang 含万物而化光
'han'wang'ze'shu'lai 寒往则暑来
'han'yin'deng'yu'tian 翰音登于天
'han'zhang 含章
'han'zhang'ke'zhen 含章可贞
'han'zhi 含之
'hao'dun'jun'zi'ji 好遯君子吉
'he'bu'li'zhi'you 何不利之有
'he'chu'tu 河出图
'he'dui 和兑
'he'dui'zhi'ji 和兑之吉
'he'er'zhi 和而至
'he'hu'wei'zhi'kun 阖户谓之坤
'he'jiu 何咎
'he'jiu'zhi'you 何咎之有
'he'ke'chang'ye 何可长也
'he'ke'jiu'ye 何可久也
'he'qi'jiu 何其咎
'he'shun'yu'dao'de 和顺於道德
'he'tian'zhi'qu 何天之衢
'he'wei'ye 何谓也
'he'xiao'mie'er 何校灭耳
'he'yi'ju'ren'yue'cai 何以聚人曰财
'he'yi'shou'wei'yue'ren 何以守位曰仁
'he'zhi'yi 何之矣
'he'zhi'yong 曷之用
'heng'bu'si 恒不死
'heng'gua'zhong 恒卦终
'heng'heng'wu'jiu 恒亨无咎
'heng'jiu'er'bu'yi'ye 恒久而不已也
'heng'jiu'ye 恒久也
'heng'qi'de 恒其德
'heng'ren'ye 亨饪也
'heng'zhe 亨者
'heng'zhe'jiu'ye 恒者久也
'hong'jian'yu'gan 鸿渐于干
'hong'jian'yu'kui 鸿渐于逵
'hong'jian'yu'ling 鸿渐于陵
'hong'jian'yu'lu 鸿渐于陆
'hong'jian'yu'mu 鸿渐于木
'hong'jian'yu'pan 鸿渐于磐
'hou'bu'sheng'fang 后不省方
'hou'de'zhu'er'you'chang 后得主而有常
'hou'fu'xiong 后夫凶
'hou'geng'san'ri 后庚三日
'hou'jia'san'ri 后甲三日
'hou'ru'yu'di 后入于地
'hou'shi'sheng'ren'yi'zhi'yi'gong'shi 后世圣人易之以宫室
'hou'shi'sheng'ren'yi'zhi'yi'guan'guo 后世圣人易之以棺椁
'hou'shi'sheng'ren'yi'zhi'yi'shu'qi 后世圣人易之以书契
'hou'shun'de'chang 后顺得常
'hou'shuo'zhi'hu 后说之弧
'hou'tian'er'feng'tian'shi 后天而奉天时
'hou'xiao'yan'ya'ya 后笑言哑哑
'hou'yi'cai'cai'cheng'tian'di'zhi'dao 后以财裁成天地之道
'hou'yi'shi'ming'gao'si'fang 后以施命诰四方
'hou'yi'zhi'yi'xin 厚衣之以薪
'hou'you'ze'ye 后有则也
'hou'zhi'zhi'ye 厚之至也
'hu'shi'dan'dan 虎视眈眈
'hu'shi'zhi'li 弧矢之利
'hua'er'cai'zhi 化而裁之
'hua'er'cai'zhi'wei'zhi'bian 化而裁之谓之变
'huai'qi'zi 怀其资
'huai'wan'bang'ye 怀万邦也
'huan'ben'qi'ji 涣奔其机
'huan'bi'you'suo'shi 缓必有所失
'huan'gua'zhong 涣卦终
'huan'han'qi'da'hao 涣汗其大号
'huan'li'ye 涣离也
'huan'qi'gong 涣其躬
'huan'qi'qun 涣其群
'huan'qi'xue 涣其血
'huan'wang'ju 涣王居
'huan'you'qiu 涣有丘
'huan'zhe'li'ye 涣者离也
'huan'zhi'duo'ye 患至掇也
'huang'di 黄帝
'huang'li 黄离
'huang'li'yuan'ji 黄离元吉
'huang'shang 黄裳
'huang'shang'yuan'ji 黄裳元吉
'hui'li'ji 悔厉吉
'hui'lin'zhe 悔吝者
'hui'qi'ming'ye 晦其明也
'hui'qian 撝谦
'hui'qie'lin 悔且吝
'hui'wang 悔亡
'hui'wo'de 惠我德
'hun'gou'you'yan 婚媾有言
'huo'cheng'zhi'xiu 或承之羞
'huo'chu'huo'chu 或出或处
'huo'cong'wang'shi 或从王事
'huo'dei'qi'jue 或得其桷
'huo'di'jin 火地晋
'huo'dong'er'shang 火动而上
'huo'feng'ding 火风鼎
'huo'gu'huo'ba 或鼓或罢
'huo'hai'zhi 或害之
'huo'ji'zhi 或击之
'huo'jiu'zao 火就燥
'huo'lei'shi'ke 火雷噬嗑
'huo'ming'yi'zhi'xin 获明夷之心
'huo'mo'huo'yu 或默或语
'huo'qi'fei'chou 获其匪丑
'huo'qi'huo'ge 或泣或歌
'huo'shan'lv 火山旅
'huo'shui'wei'ji 火水未济
'huo'tian'da'you 火天大有
'huo'xi'zhi'niu 或系之牛
'huo'xi'zhi'pan'dai 或锡之鞶带
'huo'xin'yi'ye 获心意也
'huo'yi'zhi 或益之
'huo'yu'huo'qiu 或与或求
'huo'yue'zai'yuan 或跃在渊
'huo'zai'shui'shang 火在水上
'huo'zai'tian'shang 火在天上
'huo'ze'kui 火泽睽
'huo'zhi 获之
'huo'zhi'wu'bu'li 获之无不利
'huo'zhi'zhe 或之者
'ji'bu'shan'zhi'jia 积不善之家
'ji'cheng'wan'wu'ye 既成万物也
'ji'da'lai'ye 吉大来也
'ji'heng 吉亨
'ji'ji 既济
'ji'ji'ding'ye 既济定也
'ji'ji'gua'zhong 既济卦终
'ji'lu'wu'yu 既鹿无虞
'ji'meng 击蒙
'ji'qi'shu 极其数
'ji'ran'bu'dong 寂然不动
'ji'ren'zhi'ci'gua 吉人之辞寡
'ji'ri'ge'zhi 己日革之
'ji'ri'nai'fu 己日乃孚
'ji'ri'nai'ge'zhi 己日乃革之
'ji'ru'qie'wei 既辱且危
'ji'shan'zhi'jia 积善之家
'ji'shi'bu'mi 几事不密
'ji'shi'you'xiang 吉事有祥
'ji'shu'zhi'lai'zhi'wei'zhan 极数知来之谓占
'ji'tian'xia'zhi'ze'zhe 极天下之赜者
'ji'wu'bu'li 吉无不利
'ji'wu'bu'li'ye 吉无不利也
'ji'wu'jiu 吉无咎
'ji'xiao'yi'gao'da 积小以高大
'ji'xiong'jian'hu'wai 吉凶见乎外
'ji'xiong'sheng 吉凶生
'ji'xiong'sheng'da'ye 吉凶生大业
'ji'xiong'sheng'yi 吉凶生矣
'ji'xiong'yi'qing'qian 吉凶以情迁
'ji'xiong'yu'min'tong'huan 吉凶与民同患
'ji'xiong'zhe 吉凶者
'ji'ye 吉也
'ji'yong'bai'mao 藉用白茅
'ji'you'he'jiu'yi 吉又何咎矣
'ji'you'qu'chang 既有曲常
'ji'you'zhi 既忧之
'ji'yu'bao'sang 系于包桑
'ji'yu'bao'sang 系于苞桑
'ji'yu'ji'chu 既雨既处
'ji'yu'jin'ni 系于金柅
'ji'yu'jiu'ling 跻于九陵
'ji'zhi'zhe'shan'ye 继之者善也
'ji'zhong'bu'bai'ye 积中不败也
'ji'zi'ti'ti 齎咨涕洟
'ji'zi'yi'zhi 箕子以之
'ji'zi'zhi'ming'yi 箕子之明夷
'ji'zi'zhi'zhen 箕子之贞
'jia'dao'qiong'bi'guai 家道穷必乖
'jia'dun 嘉遯
'jia'dun'zhen'ji 嘉遯贞吉
'jia'hu'min 加乎民
'jia'hui 嘉会
'jia'ren 家人
'jia'ren'gua'zhong 家人卦终
'jia'ren'hu'hu 家人嗃嗃
'jia'ren'nei'ye 家人内也
'jia'ren'you'yan'jun'yan 家人有严君焉
'jia'zhi'hui'ye 嘉之会也
'jian'bing'zhi 坚冰至
'jian'e'ren 见恶人
'jian'e'ren'wu'jiu 见恶人无咎
'jian'er'shuo 健而说
'jian'er'xun 健而巽
'jian'gua'zhong 渐卦终
'jian'gua'zhong 蹇卦终
'jian'ji'xiong 见吉凶
'jian'jin'fu 见金夫
'jian'lei 洊雷
'jian'li'xi'nan 蹇利西南
'jian'long'zai'tian 见龙再田
'jian'long'zai'tian 见龙在田
'jian'nai'wei'zhi'xiang 见乃谓之象
'jian'nan'ye 蹇难也
'jian'nv'gui 渐女归
'jian'qun'long'wu'shou 见群龙无首
'jian'san'cai'er'liang'zhi 兼三才而两之
'jian'shan 兼山
'jian'shi'fu'tu 见豕负涂
'jian'xian'er'neng'zhi 见险而能止
'jian'xiong 见凶
'jian'ye 健也
'jian'yu'ye 见舆曳
'jian'ze'ji 艰则吉
'jian'ze'wu'jiu 艰则无咎
'jian'ze'yi'cong 简则易从
'jian'zhe'jin'ye 渐者进也
'jian'zhe'nan'ye 蹇者难也
'jian'zhen'wu'jiu 艰贞无咎
'jian'zhi'jin'ye 渐之进也
'jian'zhi'shi'yong'da'yi'zai 蹇之时用大矣哉
'jiang'pan'zhe 将叛者
'jiang'yi'shun'xing'ming'zhi'li 将以顺性命之理
'jiang'yi'you'xing'ye 将以有行也
'jiao'fu 交孚
'jiao'fu'wu'jiu 交孚无咎
'jiao'xiang'ai'ye 交相爱也
'jiao'yi'er'tui 交易而退
'jie'bu'yu 戒不虞
'jie'er'mu 解而拇
'jie'er'xin'zhi 节而信之
'jie'gua'zhong 节卦终
'jie'gua'zhong 解卦终
'jie'huan'ye 解缓也
'jie'ji'you'xi 介疾有喜
'jie'li'xi'nan 解利西南
'jie'ru 嗟如
'jie'shi'shi'ye 皆失实也
'jie'yi'zhi'du 节以制度
'jie'yin'shi 节饮食
'jie'yu'shi 介于石
'jie'zhe'huan'ye 解者缓也
'jie'zhi'shi'yi'da'yi'zai 解之时义大矣哉
'jie'zhi'ye 节止也
'jin'bi'you'suo'gui 进必有所归
'jin'bi'you'suo'shang 进必有所伤
'jin'de'wei 进得位
'jin'er'bu'xiang'de'ze'xiong 近而不相得则凶
'jin'er'chang'ye 浸而长也
'jin'gua'zhong 晋卦终
'jin'min'wei'fei'yue'yi 禁民为非曰义
'jin'qi'jiao 晋其角
'jin'qu'zhu'shen 近取诸身
'jin'ru 晋如
'jin'ru'shuo'shu 晋如硕鼠
'jin'tui 进退
'jin'tui'wu'heng 进退无恒
'jin'tui'zhi'xiang'ye 进退之象也
'jin'wu'jiu'ye 进无咎也
'jin'ye 近也
'jin'ye 进也
'jin'yi'zheng 进以正
'jin'zhe'jin'ye 晋者进也
'jin'zhou'ye 晋昼也
'jing'dao'bu'ke'bu'ge 井道不可不革
'jing'gu'she'fu 井谷射鲋
'jing'gua'zhong 井卦终
'jing'lie 井冽
'jing'ni'bu'shi 井泥不食
'jing'qi'wei'wu 精气为物
'jing'shen'bu'bai'ye 敬慎不败也
'jing'shou'wu'mu 井收勿幕
'jing'tong 井通
'jing'xie'bu'shi 井渫不食
'jing'yang'er'bu'qiong'ye 井养而不穷也
'jing'yi'li 敬义立
'jing'yi'ru'shen 精义入神
'jing'yuan'er'ju'er'ye 惊远而惧迩也
'jing'zhi'wu'jiu 敬之无咎
'jing'zhi'zhong'ji 敬之终吉
'jing'zhou 井甃
'jing'zhou'wu'jiu 井甃无咎
'jiu'bu'chang'ye 咎不长也
'jiu'chu'zhi'li 臼杵之利
'jiu'er 九二
'jiu'er'hui'wang 九二悔亡
'jiu'er'li'zhen 九二利贞
'jiu'er'yue 九二曰
'jiu'er'zhen'ji 九二贞吉
'jiu'er'zhi'fu 九二之孚
'jiu'fei'qi'wei 久非其位
'jiu'jing'wu'qin 旧井无禽
'jiu'san 九三
'jiu'san'yue 九三曰
'jiu'shi'zhen'ji 酒食贞吉
'jiu'si 九四
'jiu'si'zhi'xi 九四之喜
'jiu'wu 九五
'jiu'wu'han'zhang 九五含章
'jiu'wu'yue 九五曰
'jiu'wu'zhi'ji 九五之吉
'jiu'ye 久也
'jiu'ye 咎也
'jiu'yu'qi'dao'ye 久於其道也
'ju'de'ze'ji 居德则忌
'ju'er'cuo'zhi'tian'xia'zhi'min 举而错之天下之民
'ju'er'shang'zhe 聚而上者
'ju'ji 居吉
'ju'qi'suo'er'qian 居其所而迁
'ju'shang'wei'er'bu'jiao 居上位而不骄
'ju'wei'zhong'ye 居位中也
'ju'xi'zhi 拘系之
'ju'ye 聚也
'ju'yi'yu 惧以语
'ju'yi'zheng'ye 聚以正也
'ju'yi'zhong'shi 惧以终始
'ju'yu'ji'li 据于蒺藜
'ju'zhen'ji 居贞吉
'ju'zhen'zhi'ji 居贞之吉
'jue'bi'you'suo'yu 决必有所遇
'jue'di'wei'jiu 掘地为臼
'jue'er'he 决而和
'jue'fu'jiao'ru 厥孚交如
'jue'gua'zhong 夬卦终
'jue'jue'ye 夬决也
'jue'lei'shang'ye 绝类上也
'jue'lv 夬履
'jue'lv'zhen'li 夬履贞厉
'jue'ye 决也
'jue'zhe'jue'ye 夬者决也
'jue'zong'shi'fu 厥宗噬肤
'jun'bu'mi 君不密
'jun'de'ye 君德也
'jun'heng 浚恒
'jun'heng'zhi'xiong 浚恒之凶
'jun'zi'an'er'bu'wang'wei 君子安而不忘危
'jun'zi'an'qi'shen'er'hou'dong 君子安其身而后动
'jun'zi'bao'bian 君子豹变
