'a'duo'na'er 阿多纳尔
'fen'li 芬利
'fen'qu'guan'jun 分区冠军
'fen'qu'jue'sai 分区决赛
'feng'lei 丰磊
'feng'ming'qi 蜂鸣器
'feng'qi 冯祺
'feng'tian'zhong'xin 丰田中心
'feng'tian'zhong'xin'qiu'guan 丰田中心球馆
'feng'wei'yao'bai'ren 锋卫摇摆人
'feng'xian 锋线
'fu'bang 富邦
'fu'en'la'bu'la'da 弗恩拉布拉达
'fu'jian'xun 福建鲟
'fu'jian'xun'dui 福建鲟队
'fu'jian'xun'xing 福建浔兴
'fu'la'mu 弗拉姆
'fu'lang'xi'si 弗朗西斯
'fu'lang'xi'si'ke'ai'er'sen 弗朗西斯科埃尔森
'fu'lang'xi'si'ke'jia'qi 弗朗西斯科贾奇
'fu'lang'xi'si'ke'jia'xi'ya 弗朗西斯科加西亚
'fu'lei'de'qiong'si 弗雷德琼斯
'fu'li'te'zhong'xin 福利特中心
'fu'li'te'zhong'xin'qiu'guan 福利特中心球馆
'fu'qing'fei 付庆飞
'fu'rui'si'bei 弗瑞斯贝
'fu'te 福特
'fu'te'sen 福特森
'fu'ye 弗耶
'fu'yi'er 福伊尔
'gai'huo'guo 盖火锅
'gai'huo'guo'er 盖火锅儿
'gai'mao 盖帽
'gai'mao'wang 盖帽王
'gai'yi 盖伊
'gan'ba 干拔
'gan'rao'qiu 干扰球
'gan'rao'tou'lan'de'fen 干扰投篮得分
'gang'de 冈德
'gang'de'ti'yu'guan 冈德体育馆
'ge'deng 戈登
'ge'deng'ji'li'sai'ke 戈登吉里塞克
'ge'la'han'mu 格拉汉姆
'ge'lan'er'de 格兰尔德
'ge'lan'er'de'ge'lin 格兰尔德格林
'ge'lan'ge 格兰格
'ge'lan'jie 格兰杰
'ge'lan'te'xi'er 格兰特希尔
'ge'lei'ge'ao'deng 格雷戈奥登
'ge'lei'ge'ao'deng 格雷格奥登
'ge'lei'ge'ba'ke'na 格雷格巴克纳
'ge'lei'wen'lai'en'si 格雷文莱恩斯
'ge'lin 格林
'ge'lun'dai'wei'si 格伦戴维斯
'ge'mai'si 戈麦斯
'ge'meng'deng'si'wo'en'si 格蒙登斯沃恩斯
'ge'ren'fan'gui 个人犯规
'ge'ta'te 戈塔特
'ge'zhong'tong'ji'shu'yu 各种统计术语
'ge'zhong'tou'lan'fang'shi 各种投篮方式
'geng'yi'shi 更衣室
'gong'lu'ming 宫鲁鸣
'gong'niu 公牛
'gong'song'lin 龚松林
'gong'xiao'bin 巩晓彬
'gou'she'tou'lan 钩射投篮
'gou'shou 勾手
'gu'deng 古登
'gu'li'ye 谷立业
'guan'lan 灌篮
'guang'dong'hong'yuan 广东宏远
'guang'dong'hong'yuan'dui 广东宏远队
'guang'dong'hua'nan'hu 广东华南虎
'guang'dong'hua'nan'hu'dui 广东华南虎队
'guang'hui'fei'hu 广汇飞虎
'guang'sha'dui 广厦队
'guang'sha'jian'she'dui 广厦建设队
'gui'jun 贵军
'gui'ze'pian 规则篇
'guo'ji'lan'qiu'lian'he'hui 国际篮球联合会
'guo'jia'lan'qiu'lian'meng 国家篮球联盟
'guo'jia'lan'qiu'xie'hui 国家篮球协会
'guo'lei 郭磊
'guo'shi'qiang 郭士强
'guo'wang 国王
'ha'da'di 哈达迪
'ha'da'wei 哈达威
'ha'fu'li'si 哈弗里斯
'ha'ji'mu'ao'la'zhu'wang 哈基姆奥拉朱旺
'ha'ji'mu'wa'li'ke 哈基姆瓦里克
'ha'li'si 哈里斯
'ha'ling'dun 哈灵顿
'ha'lu'ka'si 哈卢卡斯
'ha'pu'er'jia'li'le'ang 哈普尔加里勒昂
'ha'pu'lin 哈普林
'ha'pu'ling 哈普灵
'ha'sai'er 哈塞尔
'ha'si'le'mu 哈斯勒姆
'ha'wa'li'si 哈瓦里斯
'ha'wa'li'si'ke'li'te'dun 哈瓦里斯克里特顿
'ha'ye'si 哈耶斯
'hai'de 海德
'hai'mo'fa'er'mu 海默法尔姆
'hai'wu'de 海伍德
'hai'ye'si 海耶斯
'han'de'jun 韩德君
'han'lei 韩磊
'han'mi'er'dun 汉密尔顿
'han'shuo 韩硕
'han'si'dui 汉斯队
'han'ze'wa'si'te 汉泽瓦斯特
'he'ben 何奔
'he'bo'te'xi'er 赫伯特希尔
'he'er'wei'la'mi'zha'na 赫尔维拉米扎纳
'he'lan'dan'bo'shi'ai'fei'er'ta 荷兰丹博施埃菲尔塔
'he'lan'han'ze'wa'si'te 荷兰汉泽瓦斯特
'he'luo'na'a'ka'si'wa'yi 赫罗纳阿卡斯瓦伊
'he'sai'ka'er'de'long 何塞卡尔德隆
'he'sheng'zhen 何升镇
'he'xin'qiu'yuan 核心球员
'heng'te 亨特
'hong'yuan 宏远
'hong'zha'ji 轰炸机
'hong'zha'ji'dui 轰炸机队
'hou'bei'dui'yuan 后备队员
'hou'bing 候冰
'hou'bu'zhen'rong 后部阵容
'hou'chang 后场
'hou'wei'zu 后卫组
'hou'yang'shi'tiao'tou 后仰式跳投
'hou'yang'tiao'tou 后仰跳投
'hou'yang'tou'lan 后仰投篮
'hu'an 胡安
'hu'an'di'ke'sen 胡安迪克森
'hu'an'ka'luo'si'na'wa'luo 胡安卡洛斯纳瓦罗
'hu'ding 弧顶
'hu'guang 胡光
'hu'ke 胡克
'hu'ren 湖人
'hu'wei'dong 胡卫东
'hu'xue'feng 胡雪峰
'hua'lai'shi 华莱士
'hua'sheng'dun'guo'hui 华盛顿国会
'hua'sheng'dun'guo'hui'dui 华盛顿国会队
'hua'sheng'dun'hua'sheng'dun'guo'hui 华盛顿华盛顿国会
'hua'sheng'dun'hua'sheng'dun'guo'hui'dui 华盛顿华盛顿国会队
'hua'sheng'dun'qi'cai 华盛顿奇才
'hua'sheng'dun'zi'dan 华盛顿子弹
'huai'te 怀特
'huan'ren 换人
'huan'shou'shang'lan 换手上篮
'huan'shou'yun'qiu 换手运球
'huang'dong 晃动
'huang'feng 黄蜂
'hui'xiong 灰熊
'hui'zhong'dui 汇中队
'huo'fu'de 霍弗德
'huo'fu'de 霍福德
'huo'hua'de 霍华德
'huo'ji 霍吉
'huo'jian 火箭
'huo'li 霍里
'huo'lin'si 霍林斯
'huo'sai 活塞
'ji'bu'sen 吉布森
'ji'chen 积臣
'ji'de 基德
'ji'deng'si 吉登斯
'ji'er'bo'te'a'li'na'si 吉尔伯特阿里纳斯
'ji'er'fu'de're'huo 吉尔福德热火
'ji'er'si 吉尔斯
'ji'fen'tai 记分台
'ji'hou'sai 季后赛
'ji'la'ba'le 吉拉巴勒
'ji'le 季乐
'ji'li'ke'wo'er 基利科沃尔
'ji'li'lian'ke 基里连科
'ji'li'luo'fei'shen'ke 基里洛费申科
'ji'li'sai'ke 吉里塞克
'ji'lin'bo'xiao 吉林搏啸
'ji'lin'dong'bei'hu 吉林东北虎
'ji'lin'dong'bei'hu'dui 吉林东北虎队
'ji'lin'tong'gang 吉林通钢
'ji'lin'tong'gang'dui 吉林通钢队
'ji'lu'tai 记录台
'ji'mu'jie'ke'xun 吉姆杰克逊
'ji'nuo'bi'li 吉诺比利
'ji'qian'sai 季前赛
'ji'sai 季赛
'ji'sen'a'wei'tuo'si 吉森阿维托斯
'ji'shu'fan'gui 技术犯规
'ji'shu'tong'ji 技术统计
'ji'si'bo'gan'si 基斯博甘斯
'ji'si'fan'huo'en 基斯范霍恩
'ji'ting'tiao'tou 急停跳投
'ji'weng'du'lin 基翁杜林
'ji'zhe 吉喆
'jia'ba'er 贾巴尔
'jia'ba'you'sa 贾巴尤萨
'jia'bi'pu'rui'te 加比普瑞特
'jia'bo 嘉伯
'jia'bo'mo'nei'te 嘉伯莫内特
'jia'dong'zuo 假动作
'jia'li'de'du'de'li 贾里德杜德利
'jia'li'di 加里蒂
'jia'li'pei'dun 加里佩顿
'jia'li'qi 贾里奇
'jia'lun'ke'lin'si 贾伦科林斯
'jia'ma'er 贾马尔
'jia'ma'er'ke'lao'fu'de 贾马尔克劳福德
'jia'ma'er'ma'ge'luo'yi'er 贾马尔马格洛伊尔
'jia'ma'er'sang'pu'sen 贾马尔桑普森
'jia'ma'er'ting'si'li 贾马尔汀斯利
'jia'ma'li'ao 贾马里奥
'jia'ma'li'ao'mu'en 贾马里奥穆恩
'jia'mi'sen 贾米森
'jia'na'da'hang'kong'zhong'xin 加拿大航空中心
'jia'na'da'hang'kong'zhong'xin'qiu'chang 加拿大航空中心球场
'jia'nai'te 伽奈特
'jia'nan 贾楠
'jia'nei'te 加内特
'jia'nei'te'tang'pu'sen 加内特汤普森
'jia'rui'de'jie'fu'li'si 贾瑞德杰弗里斯
'jia'sen'ha'te 贾森哈特
'jia'sen'ji'de 贾森基德
'jia'sen'ka'bo'nuo 贾森卡波诺
'jia'sen'ke'lin'si 贾森科林斯
'jia'sen'li'cha'de'sen 贾森理查德森
'jia'sen'ma'ke'xi'er 贾森马克希尔
'jia'sen'shi'mi'si 贾森史密斯
'jia'sen'te'li 贾森特里
'jia'sen'wei'lian'mu'si 贾森威廉姆斯
'jia'shi'sai 加时赛
'jia'si'ke'wei'xiu'si 贾斯科维休斯
'jia'si'ting'bu'lang 贾斯汀布朗
'jia'si'ting'li'de 贾斯汀里德
'jia'si'ting'wei'lian'mu'si 贾斯汀威廉姆斯
'jia'suo'er 加索尔
'jia'wei'si'hai'ye'si 贾维斯海耶斯
'jia'zu'li'qi 加祖里奇
'jian'ni'nuo'pa'ke 简尼诺帕科
'jiang'su'da'hua'dui 江苏大华队
'jiang'su'de'ma'si'te 江苏德玛斯特
'jiang'su'long 江苏龙
'jiang'su'long'dui 江苏龙队
'jiang'su'nan'gang 江苏南钢
'jiang'xing'quan 蒋兴权
'jie'fu'fu'si'te 杰夫福斯特
'jie'fu'fu'si'te 杰弗福斯特
'jie'fu'ge'lin 杰夫格林
'jie'fu'mai'jin'ni'si 杰夫麦金尼斯
'jie'fu'sen 杰弗森
'jie'fu'xun 杰弗逊
'jie'ke 杰克
'jie'ke'ba'te'le 杰克巴特勒
'jie'ke'cha'ka'li'di'si 杰克查卡利迪斯
'jie'ke'ni'mu'bo'ke 捷克尼姆波克
'jie'ke'wo'si'ku'er 杰克沃斯库尔
'jie'ke'xun 杰克逊
'jie'la'de'ge'lin 杰拉德格林
'jie'la'de'hua'lai'shi 杰拉德华莱士
'jie'la'er'de'hua'lai'shi 杰拉尔德华莱士
'jie'li'lu'ka'si 杰里卢卡斯
'jie'li'si'ta'ke'hao'si 杰里斯塔克豪斯
'jie'lun'luo'si 杰伦罗斯
'jie'luo'mu'zhan'mu'si 杰罗姆詹姆斯
'jie'ma'li'ao 杰马里奥
'jie'ma'li'ao'dai'wei'sen 杰马里奥戴维森
'jie'mei'yin'ao'ni'er 杰梅因奥尼尔
'jie'mi'er 杰米尔
'jie'mi'er'ni'er'sen 杰米尔尼尔森
'jie'mu'sen 杰姆森
'jie'rui'te'jie'ke 杰瑞特杰克
'jie'sen'ha'te 杰森哈特
'jie'sen'ji'de 杰森基德
'jie'sen'ka'bo'nuo 杰森卡波诺
'jie'sen'ke'lin'si 杰森科林斯
'jie'sen'li'cha'de'sen 杰森理查德森
'jie'sen'mai'ke'xi'er 杰森麦克希尔
'jie'sen'sang'pu'sen 杰森桑普森
'jie'sen'te'li 杰森特里
'jie'ying 接应
'jin'gong'ba'miao'miao'wei'li 进攻八秒秒违例
'jin'gong'chao'shi 进攻超时
'jin'gong'er'shi'si'miao'wei'li 进攻二十四秒违例
'jin'gong'fan'gui 进攻犯规
'jin'gong'fang'gan'rao'tou'lan'de'fen 进攻方干扰投篮得分
'jin'gong'lan'ban 进攻篮板
'jin'gong'lan'ban'qiu 进攻篮板球
'jin'gong'qiu'yuan 进攻球员
'jin'gong'san'miao 进攻三秒
'jin'gong'wei'li 进攻违例
'jin'li'peng 金立鹏
'jin'long 晋龙
'jin'qu 禁区
'jin'sai 禁赛
'jin'yu 金隅
'jin'yu'dui 金隅队
'jin'zhou'yong'shi 金州勇士
'jin'zi'ta'qiu'chang 金字塔球场
'jing'shen'ling'xiu 精神领袖
'ju'peng 鞠鹏
'jue'jin 掘金
'jue'sha 绝杀
'jue'shi 爵士
'ka'ba'ka'pa 卡巴卡帕
'ka'bo'nuo 卡波诺
'ka'di'na'er 卡迪纳尔
'ka'di'nuo'mo'bu'li 卡蒂诺莫布里
'ka'er'bo'te'qie'ni 卡尔伯特切尼
'ka'er'di'lun 卡尔迪伦
'ka'er'lan'de'li 卡尔兰德里
'ka'er'lang'de'li 卡尔朗德里
'ka'er'ma'long 卡尔马龙
'ka'er'wen'bu'si 卡尔文布斯
'ka'er'wen'mai'er'si 卡尔文迈尔斯
'ka'le'fu 卡勒夫
'ka'li'mu'la'shi 卡里姆拉什
'ka'long'ba'te'le 卡隆巴特勒
'ka'long'ba'te'le 卡龙巴特勒
'ka'luo'si'a'luo'yue 卡洛斯阿罗约
'ka'luo'si'bu'ze'er 卡洛斯布泽尔
'ka'luo'si'de'er'fei'nuo 卡洛斯德尔菲诺
'ka'man 卡曼
'ka'mei'long'an'dong'ni 卡梅隆安东尼
'ka'na'li'ya 卡那里亚
'ka'sai'er 卡塞尔
'ka'te 卡特
'ka'wei 卡位
'kai'er'ke'wo'er 凯尔科沃尔
'kai'er'luo'li 凯尔罗里
'kai'er'luo'rui 凯尔洛瑞
'kai'er'te'ren 凯尔特人
'kai'li'wei'te'ni 凯利威特尼
'kai'sai'er'jiang 凯赛尔江
'kai'si'ke'lao'si 凯斯克劳斯
'kai'si'mai'ke'li'ao'de 凯斯迈克里奥德
'kai'tuo'zhe 开拓者
'kai'wen'ao'li 凯文奥利
'kai'wen'bo'lie'sen 凯文博列森
'kai'wen'du'lan'te 凯文杜兰特
'kai'wen'jia'nei'te 凯文加内特
'kai'wen'ka'tuo 凯文卡托
'kai'wen'le'fu 凯文乐福
'kai'wen'ma'ding 凯文马丁
'kai'wen'mai'ke'hai'er 凯文麦克海尔
'kan'bi 坎比
'kao'bi'ka'er 考比卡尔
'kao'na'si'sa'er'ji'li'si 考那斯萨尔吉利斯
'ke'bi 科比
'ke'bi'bu'lai'en'te 科比布莱恩特
'ke'chang'bi'sai 客场比赛
'ke'dui 客队
'ke'er'ke'si'nai'de 科尔克斯耐德
'ke'er'si'di'qi 克尔斯蒂奇
'ke'ke'xin'li'qi 柯克辛里奇
'ke'ke'xin'li'qi 科克辛里奇
'ke'la'ke'si'dun 克拉克斯顿
'ke'lai'ge'shi'mi'si 克莱格史密斯
'ke'lao'fu'de 克劳福德
'ke'lei'ge'shi'mi'si 克雷格史密斯
'ke'li'bu'lu'er 科里布鲁尔
'ke'li'fu'lan'pan'ni'zhe 克利夫兰叛逆者
'ke'li'fu'lan'pan'ni'zhe'dui 克利夫兰叛逆者队
'ke'li'fu'lan'qi'shi 克里夫兰骑士
'ke'li'fu'lan'qi'shi'dui 克里夫兰骑士队
'ke'li'fu'luo'bin'xun 克利福罗宾逊
'ke'li'ma'gai'di 科里马盖蒂
'ke'li'sen 科里森
'ke'li'si'an'de'sen 克里斯安德森
'ke'li'si'bao'luo 克里斯保罗
'ke'li'si'bo'shen 克里斯伯什
'ke'li'si'bo'shen 克里斯波什
'ke'li'si'bo'te 克里斯波特
'ke'li'si'dao'ge'la'si'luo'bo'ci 克里斯道格拉斯罗伯茨
'ke'li'si'du'hong 克里斯杜洪
'ke'li'si'ha'fu'li'si 克里斯哈弗里斯
'ke'li'si'ka'man 克里斯卡曼
'ke'li'si'li'cha'de 克里斯理查德
'ke'li'si'mi'mu 克里斯米姆
'ke'li'si'mu'lin 克里斯穆林
'ke'li'si'ta'fu'te 克里斯塔夫特
'ke'li'si'wei'bo 克里斯韦伯
'ke'li'si'wei'er'kao'ke'si 克里斯韦尔考克斯
'ke'li'si'wei'lian'mu'sen 科利斯威廉姆森
'ke'li'te'dun 克里特顿
'ke'li'wei'lian'mu'si 克里威廉姆斯
'ke'long'jiu'jiu'ren 科隆九九人
'ke'long'jiu'shi'jiu'ren 科隆九十九人
'ke'lun'na 克伦纳
'ke'lun'na'a'zu'bu'ke 克伦纳阿祖布克
'ke'luo'di'ya'zha'da'er 克罗地亚扎达尔
'ke'luo'le'fu 科罗勒夫
'ke'luo'xi'er 克罗希尔
'ke'si'ta'pei'luo'wei'qi 科斯塔佩罗维奇
'ke'te'ni 科特尼
'ke'te'ni'xi'mu'si 科特尼希姆斯
'ke'te'tuo'ma'si 柯特托马斯
'ke'te'tuo'ma'si 科特托马斯
'ke'wo'er 科沃尔
'ke'xi'ya'ge'bu'sen 科西雅各布森
'ken'de'li'ke 肯德里克
'ken'de'li'ke'pa'jin'si 肯德里克帕金斯
'ken'ni'tuo'ma'si 肯尼托马斯
'ken'sai 肯塞
'ken'yang'du'lin 肯扬杜林
'ken'yang'ma'ding 肯扬马丁
'ken'yue'han'xun 肯约翰逊
'kong'qie 空切
'kong'qiu'hou'wei 控球后卫
'kong'xin 空心
'kong'xin'qiu 空心球
'kong'xin'qiu'ru'lan 空心球入篮
'kong'zhong'guan'lan 空中灌篮
'kong'zhong'pei'he 空中配合
'kou'lan 扣篮
'kou'lan'da'sai 扣篮大赛
'kou'lan'wang 扣篮王
'kua'mei'bu'lang 夸梅布朗
'kua'xia'yun'qiu 胯下运球
'kuai'chuan 快船
'kuai'gong 快攻
'kuai'gong'shi'chang'chuan 快攻时长传
'kuai'ting 快艇
'kuai'yao'fan'man'li'chang 快要犯满离场
'kuang'lu'bin 匡鲁彬
'kuang'meng'guan'lan 狂猛灌篮
'kui'en'te'wu'zi 奎恩特伍兹
'kui'yin 奎因
'kun'ting'li'cha'de'sen 昆廷理查德森
'kun'ting'luo'si 昆廷罗斯
'kun'xi'dao'bi 昆西道比
'la'de'ma'nuo'wei'qi 拉德马诺维奇
'la'duo'si'la'fu 拉多斯拉夫
'la'fei'er'a'er'si'tong 拉菲尔阿尔斯通
'la'fei'er'a'lao'yue 拉菲尔阿劳约
'la'fu'a'er'si'tong 拉夫阿尔斯通
'la'fu'lun'ci 拉弗伦茨
'la'gan 拉杆
'la'gan'shi'tou'lan 拉杆式投篮
'la'gan'tou'lan 拉杆投篮
'la'jia'bei'er 拉加贝尔
'la'jian 拉简
'la'jian'lang'duo 拉简朗多
'la'kai'dan'da 拉开单打
'la'li'bo'de 拉里伯德
'la'li'xiu'si 拉里休斯
'la'lun'si'luo'bo'te'si 拉伦斯罗伯特斯
'la'ma'er 拉马尔
'la'ma'er'ao'duo'mu 拉马尔奥多姆
'la'ma'er'ao'duo'mu 拉玛尔奥多姆
'la'ma'ku'si 拉马库斯
'la'ma'ku'si'a'er'de'li'qi 拉马库斯阿尔德里奇
'la'meng'de'mu'lei 拉蒙德穆雷
'la'meng'sai'shen'si 拉蒙塞申斯
'la'mi'zha'na 拉米扎纳
'la'sai'er'wei'si'te'bu'lu'ke 拉塞尔韦斯特布鲁克
'la'sha'de'liu'yi'si 拉沙德刘易斯
'la'sha'de'mai'kan'ci 拉沙德麦坎茨
'la'shi 拉什
'la'shou'fan'gui 拉手犯规
'la'su'ba'te'le 拉苏巴特勒
'la'te'li'fu 拉特里夫
'la'te'li'fu 拉特利夫
'la'tuo'wei'ya'li'jia 拉脱维亚里加
'la'tuo'wei'ya'wen'si'bi'er'si 拉脱维亚文斯比尔斯
'la'xi'de 拉希德
'la'xi'de'hua'lai'shi 拉希德华莱士
'la'xi'de'mai'ken'ci 拉希德麦肯茨
'la'xi'mu 拉希姆
'la'xiu'ba'te'le 拉休巴特勒
'lai'ang'de'luo'ba'bo'sa 莱昂德罗巴博萨
'lai'en'bo'wei 莱恩波维
'lai'te 赖特
'lan'ban 篮板
'lan'ban'qiu 篮板球
'lan'de'li 兰德里
'lan'de'li 懒得理
'lan'di'fu'ye 兰迪弗耶
'lan'duo'fu 兰多夫
'lan'duo'fu'mo'li'si 兰多夫莫里斯
'lan'jia 篮架
'lan'kuang 篮筐
'lan'qiu'lian'meng 篮球联盟
'lan'qiu'lian'sai 篮球联赛
'lan'qiu'shu'yu 篮球术语
'lan'qiu'yun'dong'guan'li'zhong'xin 篮球运动管理中心
'lan'quan 篮圈
'lan'wai'kong'xin'qiu 篮外空心球
'lan'wang 篮网
'lan'xia 篮下
'lan'xia'ka'wei 篮下卡位
'lan'xia'san'miao'zhong 篮下三秒钟
'lang'de'li 朗德里
'lang'duo 朗多
'lao'niao 老鸟
'lao'niao'qiu'yuan 老鸟球员
'lao'ying 老鹰
'le'bu'lang'zhan'mu'si 勒布朗詹姆斯
'lei'a'lun 雷阿伦
'lei'bu'la'ka 雷布拉卡
'lei'di'ke 雷迪克
'lei'ji'ai'wen'si 雷吉埃文斯
'lei'meng'de'fa'er'dun 雷蒙德法尔顿
'lei'meng'de'fei'er'dun 雷蒙德费尔顿
'lei'na'de'ba'ke'man 雷纳德巴克曼
'lei'na'de'ke'er'si'di'qi 雷纳德克尔斯蒂奇
'lei'ting 雷霆
'li'an'an'de'sen 里安安德森
'li'an'ge'mai'si 里安戈麦斯
'li'an'huo'lin'si 里安霍林斯
'li'ben'sen 李本森
'li'cha'de'fu'la'mu 里查德弗拉姆
'li'cha'de'han'mi'er'dun 理查德汉密尔顿
'li'cha'de'jie'fu'sen 理查德杰弗森
'li'cha'de'sen 理查德森
'li'de 里德
'li'de'nuo 里德诺
'li'ding'tou'lan 立定投篮
'li'fu'la'fu'lun'ci 里夫拉弗伦茨
'li'gang'feng 李冈风
'li'gen 李根
'li'guang 李光
'li'hang 李航
'li'hou'yin 李厚银
'li'ji'dai'wei'si 里基戴维斯
'li'jian'zhou 李建周
'li'jing'yu 李敬宇
'li'jun 李俊
'li'ke 李克
'li'ke 李可
'li'ke'ba'li 里克巴里
'li'ke'bu'lun'sen 里克布伦森
'li'lin 李林
'li'meng 李萌
'li'ming'gang 李明刚
'li'na'si'ke'lei'sa 李纳斯科雷萨
'li'nan 李楠
'li'sheng'jun 李胜俊
'li'si'ya'li'shan'da 里斯亚历山大
'li'tao 李涛
'li'tao'wan'wei'er'niu'si 立陶宛维尔纽斯
'li'tao'wan'xi'ao'li'ai 立陶宛希奥利埃
'li'ti'suo'er'suo'ni'ka 里替索尔索尼卡
'li'wen'si'dun 利文斯顿
'li'xiang 李翔
'li'xiao'xu 李晓旭
'li'ya'guang 李亚光
'li'yi'ding 李一丁
'lian'bai 连败
'lian'bai'chang'shu 连败场数
'lian'bai'ji'lu 连败纪录
'lian'he'zhong'xin 联合中心
'lian'he'zhong'xin'qiu'guan 联合中心球馆
'lian'sheng 连胜
'lian'sheng'chang'shu 连胜场数
'lian'sheng'ji'lu 连胜纪录
'lian'xu'bu'sheng'chang'shu 连续不胜场数
'lian'xu'bu'sheng'ji'lu 连续不胜记录
'liang'ci'yun'qiu 两次运球
'liang'fei 梁飞
'liang'fen'qiu 两分球
'liang'ren'bao'jia 两人包夹
'liang'shuang 两双
'liang'wei 梁伟
'liao'ning'lie'ren 辽宁猎人
'liao'ning'lie'ren'dui 辽宁猎人队
'liao'ning'pan'pan 辽宁盼盼
'liao'ning'pan'pan'dui 辽宁盼盼队
'lie'ying'dui 猎鹰队
'lin'chen'yao 林晨耀
'lin'de'luo 林德罗
'lin'de'luo'ba'bo'sa 林德罗巴博萨
'lin'dun'yue'han'xun'san'shi 林顿约翰逊三世
'lin'sai'heng'te 林赛亨特
'lin'shu'hao 林书豪
'ling'dao'yi'zhang'zhun'bi'ye'zheng'shu 领到一张准毕业证书
'ling'jie'qiu 领接球
'ling'xian'qiu'dui 领先球队
'ling'xiu'qiu'yuan 领袖球员
'liu'bie'er'qi'sheng'li'zhe 柳别尔齐胜利者
'liu'di'xian 溜底线
'liu'hao 刘昊
'liu'jiu'long 刘久龙
'liu'ming'tao 刘明涛
'liu'peng 柳鹏
'liu'wei 刘炜
'liu'wei 柳伟
'liu'wei'wei 刘维伟
'liu'xiang'tao 刘相韬
'liu'xiao'yu 刘晓宇
'liu'ya'hui 刘亚晖
'liu'yao 刘尧
'liu'yi'si 刘易斯
'liu'yu'dong 刘玉栋
'liu'zi'qiu 刘子秋
'lou'yan'dong 娄延东
'lu'ben'pa'te'sen 鲁本帕特森
'lu'bu'er'ya'na 卢布尔雅纳
'lu'di'fei'er'nan'de'si 鲁迪费尔南德斯
'lu'di'gai 鲁迪盖
'lu'di'gai'yi 鲁迪盖伊
'lu'ka'si'san'shi 卢卡斯三世
'lu'kao'yi'xue'yuan 卢考伊学院
'lu'ke'jie'ke'xun 卢克杰克逊
'lu'ke'li'de'nuo 鲁克里德诺
'lu'ke'ming 卢可明
'lu'ke'wo'dun 卢克沃顿
'lu'se 卢瑟
'lu'se'hai'de 卢瑟海德
'lu'wei 卢伟
'lu'yao 路遥
'lu'yi'si'si'ke'la 路易斯斯科拉
'lu'yi'si'wei'lian'mu'si 路易斯威廉姆斯
'lun'zhuan'huan'wei 轮转换位
'luo'bi'qiao'yi'nuo 罗比乔伊诺
'luo'bin'luo'pei'zi 罗宾洛佩兹
'luo'bin'xun 罗宾逊
'luo'bo'te'huo'li 罗伯特霍里
'luo'bo'te'pa'li'shen 罗伯特帕里什
'luo'bo'te'sen 罗伯特森
'luo'bo'te'si 罗伯特斯
'luo'bo'te'si'wei'fu'te 罗伯特斯威福特
'luo'de'li'ge'si 罗德里格斯
'luo'de'ni'huai'te 罗德尼怀特
'luo'de'ni'ka'nei 罗德尼卡内
'luo'de'ni'ka'ni 罗德尼卡尼
'luo'de'ni'si'ta'ji 罗德尼斯塔基
'luo'en'a'tai'si'te 罗恩阿泰斯特
'luo'er'deng 罗尔邓
'luo'ge'ma'sen 罗格马森
'luo'jie'mei'sen 罗杰梅森
'luo'ke'wu'ji'qi 罗克乌基奇
'luo'lun'cen 洛伦岑
'luo'lun'cen'lai'te 洛伦岑赖特
'luo'lun'wu'zi 洛伦伍兹
'luo'ma'luo'tuo'ma'di'ka 罗马罗托马蒂卡
'luo'ma'ni'ya'a'si'suo'fu'te 罗马尼亚阿斯索夫特
'luo'na'de'du'pu'lei 罗纳德杜普雷
'luo'na'de'du'pu'li 罗纳德杜普里
'luo'na'de'mu'lei 罗纳德穆雷
'luo'ni'bu'lu'er 罗尼布鲁尔
'luo'ni'pu'lai'si 罗尼普莱斯
'luo'ni'tu'li'ya'fu 罗尼图里亚夫
'luo'shan'ji'hu'ren 洛杉矶湖人
'luo'shan'ji'kuai'chuan 洛杉矶快船
'luo'shan'ji'kuai'chuan'dui 洛杉矶快船队
'luo'si 罗斯
'luo'xu'dong 罗旭东
'luo'yi 罗伊
'luo'yi'ai'wei 罗伊埃维
'luo'yi'er'yi'wo'yi 罗伊尔伊沃伊
'luo'yi'xi'bo'te 罗伊希伯特
'luo'zhi 罗智
'lv'xiao'ming 吕晓明
'lv'yan 吕岩
'ma'bu'li 马布里
'ma'ci 马刺
'ma'de'li'ai'si'tu'dian'te'si 马德里埃斯图典特斯
'ma'di'ke'lin'si 马蒂科林斯
'ma'ding 马丁
'ma'er'ku'si'wei'lian'mu'si 马尔库斯威廉姆斯
'ma'er'wen'wei'lian'mu'si 马尔文威廉姆斯
'ma'er'xin 马尔辛
'ma'er'xin'ge'ta'te 马尔辛戈塔特
'ma'gai'di 马盖蒂
'ma'ge'luo'yi'er 马格洛伊尔
'ma'jian 马健
'ma'ke'bei'li'nei'li 马克贝里内利
'ma'ke'bei'li'nei'li 马科贝里内利
'ma'ke'bo'luo 马可波罗
'ma'ke'bu'lang'te 马克布朗特
'ma'ke'jia'li'qi 马科贾里奇
'ma'ke'jia'suo'er 马克加索尔
'ma'ke'ma'de'sen 马克马德森
'ma'ke'mai'de'sen 马克麦德森
'ma'ke'xi'er 马克希尔
'ma'ku'si'ban'ke'si 马库斯班克斯
'ma'ku'si'fei'ze'er 马库斯费泽尔
'ma'ku'si'kan'bi 马库斯坎比
