'a'ba'du'lu'zhe'na 阿跋度路柘那
'hou'tang'shou'zuo 后堂首座
'hou'wu 后五
'hou'wu'bai'nian 后五百年
'hou'wu'bai'sui 后五百岁
'hou'ye 后夜
'hou'yi'yi'cheng 后一一乘
'hou'you 后有
'hou'you'pu'sa 后有菩萨
'hou'zhao 猴沼
'hu'bi'le'han 呼毕勒罕
'hu'bu'dao'jie'wu'shen 护不盗戒五神
'hu'bu'sha'jie'wu'shen 护不杀戒五神
'hu'bu'wang'yu'wu'shen 护不妄语五神
'hu'bu'xie'yin'wu'shen 护不邪淫五神
'hu'bu'yin'jiu'wu'shen 护不饮酒五神
'hu'dao'ren 胡道人
'hu'e 护鹅
'hu'er'jing 虎耳经
'hu'fa 护法
'hu'fa'a'luo'han 护法阿罗汉
'hu'fa'lu 护法录
'hu'fa'lun 护法论
'hu'fa'shan'shen 护法善神
'hu'fa'shen 护法神
'hu'fa'tian'tong 护法天童
'hu'fa'xin 护法心
'hu'fan 斛饭
'hu'fu 护符
'hu'gui 互跪
'hu'gui 胡跪
'hu'guo'jing 护国经
'hu'guo'pin 护国品
'hu'guo'si'wang 护国四王
'hu'guo'zhu 护国珠
'hu'guo'zun'zhe'suo'wen'da'cheng'jing 护国尊者所问大乘经
'hu'he'luan'he 胡喝乱喝
'hu'hu'po 虎虎婆
'hu'ji'cang 胡吉藏
'hu'jie'shen 护戒神
'hu'jing'jing 护净经
'hu'lian 瑚琏
'hu'lin 鹄林
'hu'lu'zhe'na 胡嚧遮那
'hu'luan 胡乱
'hu'luan'zuo 胡乱坐
'hu'ming'da'shi 护明大士
'hu'ming'fa'men'shen'zhou'jing 护命法门神咒经
'hu'ming'fang'sheng'yi'gui'fa 护命放生仪轨法
'hu'ming'shen'zhou'jing 护命神咒经
'hu'mo 呼摩
'hu'mo 护摩
'hu'mo 护磨
'hu'mo'ba'qian'xun'xiu 护摩八千熏修
'hu'mo'fa'wu'zhong'se 护摩法五种色
'hu'mo'fa'you'lai 护摩法由来
'hu'mo'mu 护摩木
'hu'mo'tan 护摩坛
'hu'mo'tang 护摩堂
'hu'mo'zhong 护摩众
'hu'nan 湖南
'hu'nian 护念
'hu'nian'jing 护念经
'hu'nian'zeng'shang'yuan 护念增上缘
'hu'pao'quan 虎跑泉
'hu'ping 胡瓶
'hu'po 琥珀
'hu'qie'lan'shen 护伽蓝神
'hu'qiu 虎丘
'hu'qiu'pai 虎丘派
'hu'qiu'shan 虎丘山
'hu'shen 护身
'hu'shen'fa 护身法
'hu'shen'fu 护身符
'hu'shen'jia'chi 护身加持
'hu'shen'jie'jie'shi'ba'dao 护身结界十八道
'hu'shen'san'mei'ye 护身三昧耶
'hu'shi 护世
'hu'shi 斛食
'hu'shi'si'tian'wang 护世四天王
'hu'shi'si'wang 护世四王
'hu'shi'wei'de'tian'yuan 护世威德天院
'hu'shi'zhe 护世者
'hu'su'duo 胡苏多
'hu'sun'zi 胡孙子
'hu'suo'mie'liu 护所灭流
'hu'tong'zi'fa 护童子法
'hu'tu'ke'tu 呼图克图
'hu'wei'zhu'ban 互为主伴
'hu'xi 虎溪
'hu'xi'san'xiao 虎溪三笑
'hu'xiang'shi'yi 互相释义
'hu'yan 护雁
'hu'yao'xiang 胡祅像
'hu'yong'zui 互用罪
'hu'yue 护月
'hu'zhong'zu 胡种族
'hu'zhu'tong'zi'jing 护诸童子经
'hu'zhu'tong'zi'tuo'luo'ni'jing 护诸童子陀罗尼经
'hu'zi 胡子
'hu'zi'wu'xu 胡子无须
'hua'bao 华报
'hua'biao 华表
'hua'bing 画饼
'hua'cha 化茶
'hua'cheng 化城
'hua'cheng'yu'pin 化城喻品
'hua'chi 华齿
'hua'dao 化导
'hua'dao 化道
'hua'dao'li 化导力
'hua'di'bu 化地部
'hua'du 化度
'hua'du'si'bei 化度寺碑
'hua'duo 话堕
'hua'fa 化法
'hua'fa'si'jiao 化法四教
'hua'fan 华梵
'hua'fang 华方
'hua'fo 化佛
'hua'gai 华盖
'hua'gong 化功
'hua'gong'dian 化宫殿
'hua'gong'gui'ji 化功归己
'hua'guang'chu'fo 华光出佛
'hua'guang'ru'lai 华光如来
'hua'ji 化迹
'hua'ji 花偈
'hua'ji'jie 华积劫
'hua'ji'jing 华积经
'hua'ji'lou'ge'tuo'luo'ni'jing 华积楼阁陀罗尼经
'hua'ji'shi'jie 华积世界
'hua'ji'tuo'luo'ni'shen'zhou'jing 华积陀罗尼神咒经
'hua'jiao 化教
'hua'jing 化境
'hua'jing 华鲸
'hua'ju 花筥
'hua'ju'jing 华聚经
'hua'ju'tuo'luo'ni'zhou'jing 华聚陀罗尼咒经
'hua'kai'fu'wang 华开敷王
'hua'kai'lian'xian 华开莲现
'hua'le'tian 化乐天
'hua'li 化理
'hua'lin'yuan 华林园
'hua'lin'yuan'hui 华林园会
'hua'long 华笼
'hua'long 花笼
'hua'lun 华轮
'hua'luo'lian'cheng 华落莲成
'hua'ma'jue 画麻屩
'hua'man 华鬘
'hua'mi 化米
'hua'min 华皿
'hua'mu 华目
'hua'ni 化尼
'hua'nv 化女
'hua'pa 话杷
'hua'ping 华瓶
'hua'ping 画瓶
'hua'pu'sa 化菩萨
'hua'qi'zi'jing 化七子经
'hua'qian 化前
'hua'qian'fang'bian 化前方便
'hua'qian'xu 化前序
'hua'ren 化人
'hua'ren'shuo 化人说
'hua'se 化色
'hua'se 华色
'hua'se'bi'qiu'ni'yu'xian'jian'fo 华色比丘尼欲先见佛
'hua'se'shen 化色身
'hua'se'wei'ti'po'suo'hai 华色为提婆所害
'hua'shen 化身
'hua'shen'ba'xiang 化身八相
'hua'sheng 化生
'hua'shi 画石
'hua'shi'cheng 华氏城
'hua'shou 华手
'hua'shou'jing 华手经
'hua'shou'jing 华首经
'hua'shu 化属
'hua'shu 化疏
'hua'shu'tai 华束台
'hua'shui 华水
'hua'shui 画水
'hua'shui'gong 华水供
'hua'su'jie'yuan 化俗结缘
'hua'ta 化他
'hua'ta'shou 化他寿
'hua'tai 华台
'hua'tai 华胎
'hua'tan 化坛
'hua'tan 化炭
'hua'tian 华天
'hua'ting 花亭
'hua'tou'gong'an 话头公案
'hua'tu 化土
'hua'wang'shi'jie 华王世界
'hua'xian 化现
'hua'xiang 化相
'hua'xiang 华香
'hua'xiang 画像
'hua'xiang'fa 画像法
'hua'xiang'san'bao 化相三宝
'hua'xiang'zhi'shi 画像之始
'hua'xin 化心
'hua'xing 化行
'hua'xing'er'jiao 化行二教
'hua'yan 华严
'hua'yan'ba'hui'zhang 华严八会章
'hua'yan'bu 华严部
'hua'yan'chao 华严朝
'hua'yan'chuan 华严传
'hua'yan'da'shu 华严大疏
'hua'yan'da'shu'chao 华严大疏钞
'hua'yan'fa'jie 华严法界
'hua'yan'fa'jie'guan 华严法界观
'hua'yan'fa'jie'guan'men 华严法界观门
'hua'yan'fa'jie'xuan'jing 华严法界玄镜
'hua'yan'fa'jie'yi'hai 华严法界义海
'hua'yan'gu'mu 华严骨目
'hua'yan'hui 华严会
'hua'yan'jiao'fen'ji 华严教分记
'hua'yan'jin'shi'zi'zhang 华严金狮子章
'hua'yan'jing 华严经
'hua'yan'jing'nei'zhang'men'deng'za'kong'mu 华严经内章门等杂孔目
'hua'yan'jing'qi'chu'ba'hui 华严经七处八会
'hua'yan'jing'qi'chu'jiu'hui 华严经七处九会
'hua'yan'jing'san'yi 华严经三译
'hua'yan'jing'shi'lei 华严经十类
'hua'yan'jing'shu'zhu 华严经疏注
'hua'yan'jing'shuo'shi 华严经说时
'hua'yan'jing'sou'xuan'ji 华严经搜玄记
'hua'yan'jing'tan'xuan'ji 华严经探玄记
'hua'yan'jing'wu'zhou'yin'guo 华严经五周因果
'hua'yan'jing'zhuan'ji 华严经传记
'hua'yan'lue'ce 华严略策
'hua'yan'pu'sa 华严菩萨
'hua'yan'san'mei 华严三昧
'hua'yan'san'sheng 华严三圣
'hua'yan'san'sheng 华严三生
'hua'yan'shi 华严时
'hua'yan'shi'jing'shi'men 华严释经十门
'hua'yan'tou 华严头
'hua'yan'wang 华严王
'hua'yan'wen'da 华严问答
'hua'yan'wu'jiao 华严五教
'hua'yan'wu'jiao'zhi'guan 华严五教止观
'hua'yan'wu'shi'yao'wen'da 华严五十要问答
'hua'yan'wu'wei 华严五为
'hua'yan'xuan'tan 华严悬谈
'hua'yan'xuan'tan 华严玄谈
'hua'yan'xuan'tan'hui'xuan'ji 华严悬谈会玄记
'hua'yan'yan'yi'chao 华严演义钞
'hua'yan'yi'cheng 华严一乘
'hua'yan'yi'cheng'jiao'yi'fen'qi'zhang 华严一乘教义分齐章
'hua'yan'yi'cheng'shi'xuan'men 华严一乘十玄门
'hua'yan'yin'yi 华严音义
'hua'yan'you'xin'fa'jie'ji 华严游心法界记
'hua'yan'you'yi 华严游意
'hua'yan'yuan'ren'lun 华严原人论
'hua'yan'zhi'gui 华严旨归
'hua'yan'zong 华严宗
'hua'yan'zong'qi'zu 华严宗七祖
'hua'yan'zong'san'guan 华严宗三观
'hua'yan'zong'si'men'chu'ti 华严宗四门出体
'hua'yan'zun'zhe 华严尊者
'hua'yao'lan 花药栏
'hua'yi 化仪
'hua'yi 华翳
'hua'yi'dun 化仪顿
'hua'yi'si'jiao 化仪四教
'hua'you 化诱
'hua'yuan 化源
'hua'yuan 化缘
'hua'yuan 华院
'hua'zai 话在
'hua'zang'ba'ye 华藏八叶
'hua'zang'jie 华藏界
'hua'zang'jie'hui 华藏界会
'hua'zang'shi'jie 华藏世界
'hua'zang'shi'jie'cheng'fo 华藏世界成佛
'hua'zang'yu'ji'le 华藏与极乐
'hua'zang'yu'mi'yan 华藏与密严
'hua'ze 话则
'hua'zhi'er'jiao 化制二教
'hua'zhong 华钟
'hua'zhu 化主
'hua'zhuan 化转
'hua'zhuang 华幢
'hua'zu 华足
'hua'zuo 化作
'hua'zuo 花座
'hua'zuo'guan 华座观
'hua'zuo'xiang 华座想
'huai'dao'sha'men 坏道沙门
'huai'fa 坏法
'huai'gan 怀感
'huai'hai 怀海
'huai'jian 坏见
'huai'jie 坏劫
'huai'ku 坏苦
'huai'ling 怀灵
'huai'lv'che 坏驴车
'huai'na 坏衲
'huai'qi 坏器
'huai'rang 怀让
'huai'se 坏色
'huai'se'yi 坏色衣
'huai'shan 坏山
'huai'su 怀素
'huai'tu 怀兔
'huai'xiang 坏相
'huai'xiang'jin'gang'tuo'luo'ni'jing 坏相金刚陀罗尼经
'huan'chuan 镮钏
'huan'fa 幻法
'huan'gou 幻垢
'huan'hua 幻化
'huan'huo 幻惑
'huan'li 幻力
'huan'li 还礼
'huan'men 幻门
'huan'na 涣那
'huan'ren 幻人
'huan'ri'wang 幻日王
'huan'shen 幻身
'huan'shi 幻师
'huan'shi'ren'xian'jing 幻士仁贤经
'huan'shu'zhen'yan 幻术真言
'huan'su 还俗
'huan'wu 圜悟
'huan'xi 欢喜
'huan'xi'cang'mo'ni'bao'ji'fo 欢喜藏摩尼宝积佛
'huan'xi'chan'fa 欢喜忏法
'huan'xi'de 欢喜地
'huan'xi'fo 欢喜佛
'huan'xi'guang 欢喜光
'huan'xi'guang'fo 欢喜光佛
'huan'xi'guo 欢喜国
'huan'xi'hui 欢喜会
'huan'xi'mu 欢喜母
'huan'xi'mu'ai'zi'cheng'jiu'fa 欢喜母爱子成就法
'huan'xi'ri 欢喜日
'huan'xi'san'mei 欢喜三昧
'huan'xi'tian 欢喜天
'huan'xi'tuan 欢喜团
'huan'xi'wan 欢喜丸
'huan'xi'xing 欢喜行
'huan'xi'yuan 欢喜园
'huan'xiang 幻相
'huan'xiang 幻象
'huan'xin 幻心
'huan'yan 幻焰
'huan'ye 幻野
'huan'yin 桓因
'huan'you 幻有
'huan'zhe 幻者
'huan'zhong 唤钟
'huan'zi 患子
'huang'bai'da'shi 黄白大士
'huang'bo 黄檗
'huang'bo'ban 黄檗板
'huang'bo'li'fo 黄檗礼佛
'huang'bo'shan 黄檗山
'huang'bo'shan'zhi 黄檗山志
'huang'bo'tong'jiu'zao'han 黄檗瞳酒糟汉
'huang'bo'zhai'cai 黄檗择菜
'huang'bo'zong 黄檗宗
'huang'chi'se'xian'ren 黄赤色仙人
'huang'fan 黄幡
'huang'hun'ji 黄昏偈
'huang'jiao 黄教
'huang'jin'zhai 黄金宅
'huang'juan'chi'zhou 黄卷赤轴
'huang'jue'si 皇觉寺
'huang'long 黄龙
'huang'long'nian'zan 黄龙念赞
'huang'long'pai 黄龙派
'huang'long'san'guan 黄龙三关
'huang'long'shan 黄龙山
'huang'long'tang 黄龙汤
'huang'long'zong 黄龙宗
'huang'lu 黄垆
'huang'lu'yuan'jing 黄芦园经
'huang'mei 黄梅
'huang'men 黄门
'huang'mian'lao'zi 黄面老子
'huang'mian'qu'tan 黄面瞿昙
'huang'na 黄衲
'huang'quan 黄泉
'huang'tang 黄汤
'huang'tou'da'shi 黄头大士
'huang'yang'mu'chan 黄杨木禅
'huang'ye 黄叶
'huang'ye'zhi'ti 黄叶止啼
'huang'yi 黄衣
'huang'zhi'zhu'zhou 黄纸朱轴
'hui'ai 恚碍
'hui'an 慧安
'hui'ben 会本
'hui'bo 慧拨
'hui'bu 慧布
'hui'cai 回财
'hui'cang 慧藏
'hui'cha 秽剎
'hui'chan'fa 悔忏法
'hui'chao 慧超
'hui'ci 慧次
'hui'da'ru'yi 回大入一
'hui'de 会得
'hui'de'chu 慧德处
'hui'deng 慧灯
'hui'deng'wang 慧灯王
'hui'du'men 慧毒门
'hui'duan 灰断
'hui'e 慧锷
'hui'er'gui'yi 会二归一
'hui'fu 慧缚
'hui'gen 慧根
'hui'guan 慧观
'hui'guang 慧光
'hui'guang'fan'zhao 回光返照
'hui'guang'tong'zi 慧光童子
'hui'guo 悔过
'hui'guo 惠果
'hui'guo 慧果
'hui'guo 秽国
'hui'guo'jing 悔过经
'hui'hai 慧海
'hui'he 灰河
'hui'he'di'yu 灰河地狱
'hui'hong 慧洪
'hui'hu 回互
'hui'huan 慧幻
'hui'ji 回忌
'hui'ji 回祭
'hui'ji 慧基
'hui'ji 慧寂
'hui'ji'jin'gang 秽积金刚
'hui'ji'jin'gang 秽迹金刚
'hui'ji'jin'gang'jin'bai'bian'fa'jing 秽迹金刚禁百变法经
'hui'jian 慧剑
'hui'jian 慧见
'hui'jiao 慧皎
'hui'jie 恚结
'hui'jie 慧解
'hui'jie'tuo 慧解脱
'hui'jie'tuo'luo'han 慧解脱罗汉
'hui'jing 慧净
'hui'jing 慧镜
'hui'ju 慧炬
'hui'ju'san'mei 慧炬三昧
'hui'jue 慧觉
'hui'kai 慧恺
'hui'ke 慧可
'hui'li 回礼
'hui'li 惠利
'hui'li 慧利
'hui'li 慧力
'hui'lin 慧琳
'hui'lin'yin'yi 慧琳音义
'hui'liu 慧流
'hui'men 慧门
'hui'men'shi'liu'zun 慧门十六尊
'hui'ming 慧命
'hui'ming'jing 慧命经
'hui'mu 慧目
'hui'nan 慧南
'hui'neng 慧能
'hui'nu 恚怒
'hui'qin 慧懃
'hui'qu 回趣
'hui'ren 慧忍
'hui'ren 灰人
'hui'ri 慧日
'hui'ri'zun 慧日尊
'hui'san'gui'yi 会三归一
'hui'sha 灰沙
'hui'shan 慧山
'hui'shan'zhu'bu 灰山住部
'hui'shang'pu'sa'wen'da'shan'quan'jing 慧上菩萨问大善权经
'hui'shen 慧身
'hui'shen 秽身
'hui'shen'mie'zhi 灰身灭智
'hui'sheng 慧生
'hui'shi 会式
'hui'shi 会释
'hui'shi 回施
'hui'shi 慧矢
'hui'shi 毁释
'hui'shi 秽食
'hui'shou 慧寿
'hui'shu 慧数
'hui'shui 慧水
'hui'si 慧思
'hui'tang 晦堂
'hui'tong 会通
'hui'tou'tu'mian 灰头土面
'hui'tu 秽土
'hui'wei 慧威
'hui'wen 慧文
'hui'wu 回悟
'hui'wu'jian 慧无减
'hui'xi'pu'sa 慧喜菩萨
'hui'xia 会下
'hui'xiang 回向
'hui'xiang'fa'yuan'xin 回向发愿心
'hui'xiang'fang'bian 回向方便
'hui'xiang'lun'jing 回向轮经
'hui'xiang'lun'tuo'luo'ni 回向轮陀罗尼
'hui'xiang'men 回向门
'hui'xiang'wen 回向文
'hui'xin 回心
'hui'xin 慧心
'hui'xin'chan'hui 回心忏悔
'hui'xin'ji 回心机
'hui'xin'jie 回心戒
'hui'xin'qi'te 慧心奇特
'hui'xin'xiang'da 回心向大
'hui'xing'shi 会行事
'hui'xue 慧学
'hui'yan 慧眼
'hui'yan'li 慧眼力
'hui'ye 慧业
'hui'ye 秽业
'hui'yi 慧义
'hui'yin 慧印
'hui'yin'san'mei 慧印三昧
'hui'yin'san'mei'jing 慧印三昧经
'hui'yuan 慧苑
'hui'yuan 慧远
'hui'yuan'yin'yi 慧苑音义
'hui'yue 慧月
'hui'yue 慧约
'hui'yun 慧云
'hui'zhao 慧沼
'hui'zhe'ding'li 会者定离
'hui'zheng'ji 会正记
'hui'zheng'lun 回诤论
'hui'zhong 会众
'hui'zhong 慧忠
'hui'zhu 慧烛
'hui'zhu'fo'qian'jing 会诸佛前经
'hui'zi 毁呰
'hui'zu 慧足
'hui'zuo 会座
'hun'cheng 昏城
'hun'dun'gong 混沌供
'hun'gu 昏鼓
'hun'ji 魂祭
'hun'jiu 荤酒
'hun'po 魂魄
'hun'qu'a'xi'di'jia 濊佉阿悉底迦
'hun'shen 惛沈
'hun'shen 魂神
'hun'shi 昏识
'hun'su 昏俗
'hun'xin 荤辛
'hun'yu'qian 昏寓钱
'hun'zhong 昏钟
'hun'zhong'ming 昏钟鸣
'hun'zhu 昏住
'huo'ban 火伴
'huo'ban 火版
'huo'bian 火辨
'huo'che 火车
'huo'che'di'yu 火车地狱
'huo'ci'fa 火祠法
'huo'da 火大
'huo'de 惑得
'huo'de 获得
'huo'de'xing'jun 火德星君
'huo'ding 火定
'huo'ding'shan 火顶山
'huo'er'zi 活儿子
'huo'fa 火法
'huo'fen'di'yu 火焚地狱
'huo'fo 活佛
'huo'gou 火狗
'huo'guang 火光
'huo'guang'ding 火光定
'huo'guang'san'mei 火光三昧
'huo'guang'zun 火光尊
'huo'hong 火吽
'huo'hong'gong'yang'yi'gui 火吽供养仪轨
'huo'huan'bu'jia'sha 火浣布袈裟
'huo'huo'po 矐矐婆
'huo'huo'po 臛臛婆
'huo'jie 火界
'huo'jie'zhen'yan 火界真言
'huo'jie'zhou 火界咒
'huo'jing 火净
'huo'ju 活句
'huo'ju 火聚
'huo'ju'fo'ding 火聚佛顶
'huo'ju'xian 火聚仙
'huo'ke 火客
'huo'keng 火坑
'huo'ling 火铃
'huo'lu 火炉
'huo'lun 火轮
'huo'lun'yin 火轮印
'huo'luo 火罗
'huo'man'tu'luo 火曼荼罗
'huo'mian'e'dao'jing 获免恶道经
'huo'ming'tong'zi 活命童子
'huo'ming'yin'ming 活命印明
'huo'mu 祸母
'huo'po'po'di 活泼泼地
'huo'qu 惑趣
'huo'ran 惑染
'huo'ren 惑人
'huo'ren'jian 活人剑
'huo'she 火舍
'huo'she 火蛇
'huo'shen 火神
'huo'shen'jiu'zhi'chu 火神救雉雏
'huo'sheng'san'mei 火生三昧
'huo'sheng'zhang'zhe 火生长者
'huo'shi 火食
'huo'shi'hui 火食灰
'huo'tan 火坛
'huo'tang 火汤
'huo'tang'di'yu 镬汤地狱
'huo'tian 火天
'huo'tian'bo'qian'yin 火天拨遣印
'huo'tian'fei 火天妃
'huo'tian'zhen'yan 火天真言
'huo'tong'zi 活童子
'huo'tou 火头
'huo'tou'jin'gang 火头金刚
'huo'tu 火途
'huo'tu'dao 火涂道
'huo'tuo'luo'ni'jing 火陀罗尼经
'huo'wang 火王
'huo'wen'shu 活文殊
'huo'xiang 藿香
'huo'xue'dao 火血刀
'huo'yan'lun'zhi'yin 火焰轮止印
'huo'yan'san'mei 火焰三昧
'huo'yan'yin 火焰印
'huo'yao 火曜
'huo'yao'lan 火药栏
'huo'ye'ku 惑业苦
'huo'yi'qie'chu 火一切处
'huo'yin 火印
'huo'yuan 火院
'huo'zai 火灾
'huo'zang 火葬
'huo'zhai 火宅
'huo'zhai'seng 火宅僧
'huo'zhai'yu 火宅喻
'huo'zhang 惑障
'huo'zhang 火帐
'huo'zhe 惑着
'huo'zhong'ju'shi 火种居士
'huo'zhu 火珠
'huo'zu 活祖
'ji'ai'yi'zi'di 极爱一子地
'ji'an 寂岸
'ji'bao 髻宝
'ji'ben 迹本
'ji'bie 记别
'ji'bie'jing 记别经
'ji'bin 罽宾
'ji'bin'guo'long'di 罽宾国龙地
'ji'bin'wang'bi'duo 罽宾王臂堕
'ji'cang 吉藏
'ji'chang 寂场
'ji'chang 寂常
'ji'chang 极唱
'ji'chang'shu 寂场树
'ji'cheng 极成
'ji'de'wang'sheng 即得往生
'ji'di 极地
'ji'di 集谛
'ji'dian'seng 济颠僧
'ji'ding 寂定
'ji'du 济度
'ji'du 计度
'ji'du 计都
'ji'du 鸡毒
'ji'du'fang'bian 济度方便
'ji'du'fen'bie 计度分别
'ji'du'mo'di 计都末底
'ji'duo 笈多
'ji'e 极恶
'ji'e'di'yu 饥饿地狱
'ji'fa'zhu'jing 记法住经
'ji'fang'bo'di 笈房钵底
'ji'fei 即非
'ji'feng 鸡峰
'ji'fo 迹佛
'ji'fu 寄附
'ji'fu'xi 亟缚屣
'ji'gan 机感
'ji'gang'liao 纪纲寮
'ji'gen 机根
'ji'gong 积功
'ji'gou'jie 鸡狗戒
'ji'guan 机关
'ji'guan'mu'ren 机关木人
'ji'guang 寂光
'ji'guang'hai'hui 寂光海会
'ji'guang'jing'tian 极光净天
'ji'guang'tu 寂光土
'ji'gui 鸡贵
'ji'gui'zi'mu 祭鬼子母
'ji'guo 极果
'ji'hao'yin 极好音
'ji'he 吉河
'ji'he 寄褐
'ji'hua 迹化
'ji'hua'jing 集华经
'ji'hua'wu'jing 寄花五净
'ji'hui 集会
'ji'hui'se 极回色
'ji'hui'suo 集会所
'ji'hui'zhong 集会钟
'ji'ji'ru'lv'ling 急急如律令
'ji'jia 即假
'ji'jia 济家
'ji'jia'ye 吉迦夜
'ji'jian 机见
'ji'jiang'na 稽姜那
'ji'jiao 机教
'ji'jie 己界
'ji'jie 集解
'ji'jin'zai 饥馑灾
'ji'jing 寂静
'ji'jing 极静
'ji'jing'fa 寂静法
'ji'jing'le 寂静乐
'ji'jing'lun 汲井轮
'ji'jing'men 寂静门
'ji'jing'xiang'ying'zhen'yan 寂静相应真言
'ji'jing'xing 寂静行
'ji'jing'zhen'yan 寂静真言
'ji'ju 偈句
'ji'ju 积聚
'ji'ju'jing'yao'xin 积聚精要心
'ji'ju'xin 积聚心
'ji'jue 极觉
'ji'kong 即空
'ji'kong'ji'jia'ji'zhong 即空即假即中
'ji'ku 寄库
'ji'ku'qian 寄库钱
'ji'le 妓乐
'ji'le 极乐
'ji'le'bao'hua 极乐报化
'ji'le'hai'hui 极乐海会
'ji'le'hua'sheng 极乐化生
'ji'le'man'tuo'luo 极乐曼陀罗
'ji'le'shi'jie 极乐世界
'ji'lei 积累
'ji'li 即离
'ji'li 吉利
'ji'li 己利
'ji'li 极理
'ji'li'ji'luo 髻利吉罗
'ji'li'lun 蒺藜论
'ji'li'luo 吉利罗
'ji'li'sha'pan 罽利沙盘
'ji'li'tuo'luo'ju'zha 姞栗陀罗矩咤
'ji'li'yuan 蒺藜园
'ji'li'zhi'li 计里枳黎
'ji'ling 鸡岭
'ji'liu'ming'pu'sa 寂留明菩萨
'ji'lou'gu 鸡娄鼓
'ji'lue'se 极略色
'ji'lun'wai'dao 记论外道
'ji'luo 吉罗
'ji'luo'duo 罽罗多
'ji'luo'duo'mo 鸡罗多摩
'ji'men 迹门
'ji'men'kai'xian 迹门开显
'ji'men'shi'miao 迹门十妙
'ji'mi'san'mei 极秘三昧
'ji'miao 极妙
'ji'mie 寂灭
'ji'mie'chang 寂灭场
'ji'mie'dao'chang 寂灭道场
'ji'mie'le 寂灭乐
'ji'mie'ren 寂灭忍
'ji'mie'wei'le 寂灭为乐
'ji'mie'wu'er 寂灭无二
'ji'mie'xiang 寂灭相
'ji'ming'zi'xiang 计名字相
'ji'mo'wai'dao 寂默外道
'ji'na'shi'qi'fo 罽那尸弃佛
'ji'nan'sheng'di 极难胜地
'ji'ni'zha'wang 罽腻咤王
'ji'ni'zha'wang'wei'qian'tou'yu 罽腻咤王为千头鱼
'ji'nian 寂念
'ji'pan'tu 吉盘荼
'ji'qi 集起
'ji'qi'fan 极七返
'ji'qi'fan'you 极七返有
'ji'qi'you 极七有
'ji'qing 吉庆
'ji'qing'a'li'sha'ji 吉庆阿利沙偈
'ji'qing'zan 吉庆赞
'ji'que'si 鸡雀寺
'ji'ran 寂然
'ji'ran'hu'mo 寂然护摩
'ji'ran'jie 寂然界
'ji'rao'yi 罽饶夷
'ji're'di'yu 极热地狱
'ji'ren 寂忍
'ji'ri 忌日
'ji'ri'liang'chen 吉日良辰
'ji'ri'she'zhai 忌日设斋
'ji'sa'luo 计萨啰
'ji'sa'luo 鸡萨罗
'ji'she'bo'la'di'jie'la'he 鸡舍钵喇底揭喇呵
'ji'she'luo 计舍罗
'ji'she'xiang 鸡舌香
'ji'shen 即身
'ji'shen'cheng'fo 即身成佛
'ji'shen'mi'tuo'wei'xin'jing'tu 己身弥陀唯心净土
'ji'shen'pu'ti 即身菩提
'ji'sheng 极圣
'ji'sheng'wei 极圣位
'ji'shi 即是
'ji'shi 忌事
'ji'shi 记室
'ji'shi'er'zhen 即事而真
'ji'shi'shi 即士释
'ji'shi'sui 极十岁
'ji'shi'yi 急施衣
'ji'shi'zha 际史咤
'ji'shu 疾书
'ji'shui 机水
'ji'shuo 极说
'ji'song 偈颂
'ji'ta 偈他
'ji'tiao'yin'suo'wen'jing 寂调音所问经
'ji'tong'kai'dao 藉通开导
'ji'tou'mo 鸡头摩
'ji'wei 寄位
'ji'wei 极位
'ji'wei 极微
'ji'wei'fen'bu'fen 极微分不分
'ji'wei'jia'shi 极微假实
'ji'wen 祭文
'ji'wo'shi'you'zong 计我实有宗
'ji'wu'wu'sheng 即悟无生
'ji'wu'zi'xing'xin 极无自性心
'ji'xi 极喜
'ji'xi'di 极喜地
'ji'xi'san'mei'ye 极喜三昧耶
'ji'xia 济下
'ji'xian 讥嫌
'ji'xian'jie 讥嫌戒
'ji'xiang 吉祥
'ji'xiang'cao 吉祥草
'ji'xiang'chan'fa 吉祥忏法
'ji'xiang'chi'shi'jing 吉祥持世经
'ji'xiang'guo 吉祥果
'ji'xiang'hai'yun 吉祥海云
'ji'xiang'hui'guo 吉祥悔过
'ji'xiang'ji'xin 即相即心
'ji'xiang'jia'tuo 吉祥伽陀
'ji'xiang'mao 吉祥茅
'ji'xiang'mao'guo 吉祥茅国
'ji'xiang'ping 吉祥瓶
'ji'xiang'ri 吉祥日
'ji'xiang'tian 吉祥天
'ji'xiang'tian'nv 吉祥天女
'ji'xiang'tian'nv'shi'er'ming'hao'jing 吉祥天女十二名号经
'ji'xiang'tong'zi 吉祥童子
'ji'xiang'tuo'luo'ni'jing 吉祥陀罗尼经
'ji'xiang'zhu 吉祥柱
'ji'xiang'zuo 吉祥坐
'ji'xin 即心
'ji'xin 己心
'ji'xin'fa'men 己心法门
'ji'xin'ji'fo 即心即佛
'ji'xin'lun 记心轮
'ji'xin'nian'fo 即心念佛
'ji'xin'shi'fo 即心是佛
'ji'xin'zhong'suo'xing'fa'men 己心中所行法门
'ji'xing 机性
'ji'yan'tan 寄言叹
'ji'yao 机要
'ji'ye'shi'zi 寂业师子
'ji'yi 机宜
'ji'yi'men'lun 集异门论
'ji'yi'tian'nv 伎艺天女
'ji'yi'tian'nv'nian'song'fa 伎艺天女念诵法
'ji'yin'bu 鸡胤部
