'ai'er'bu'shang 哀而不伤
'guo'ze'wu'dan'gai 过则勿惮改
'guo'zhi 过之
'hao'gang'bu'hao'xue 好刚不好学
'hao'gu 好古
'hao'mou'er'cheng'zhe'ye 好谋而成者也
'hao'ren'bu'hao'xue 好仁不好学
'hao'ren'zhe 好仁者
'hao'xin'bu'hao'xue 好信不好学
'hao'xing'xiao'hui 好行小慧
'hao'xue'ye'yi 好学也已
'hao'yong'bu'hao'xue 好勇不好学
'hao'yong'ji'pin 好勇疾贫
'hao'zhi'bu'hao'xue 好直不好学
'hao'zhi'bu'hao'xue 好知不好学
'hao'zhi'zhe 好之者
'he'bi 何必
'he'bi'du'shu 何必读书
'he'bi'gai'zuo 何必改作
'he'bi'gong'shan'shi'zhi'zhi'ye 何必公山氏之之也
'he'bi'qu'fu'mu'zhi'bang 何必去父母之邦
'he'bu'chu'tu 河不出图
'he'che'hu 盍彻乎
'he'de'zhi'shuai 何德之衰
'he'lou'zhi'you 何陋之有
'he'mo'you'si'dao'ye 何莫由斯道也
'he'qi'duo'neng'ye 何其多能也
'he'ru 何如
'he'ru'si'ke'wei'zhi'shi'yi 何如斯可谓之士矣
'he'ru'si'ke'yi'cong'zheng'yi 何如斯可以从政矣
'he'shang'hu 何伤乎
'he'shi'yu'ren 何事于仁
'he'wei 何为
'he'wei'gui 和为贵
'he'wei'hui'er'bu'fei 何谓惠而不费
'he'wei'qi'mo'zhi'zi'ye 何为其莫知子也
'he'wei'si'e 何谓四恶
'he'wei'wu'mei 何谓五美
'he'wei'ye 何谓也
'he'wei'ze'min'fu 何为则民服
'he'wu'gua 和无寡
'he'yan'ye 何晏也
'he'yi'bao'de 何以报德
'he'yi'fa'wei 何以伐为
'he'yi'wen'wei 何以文为
'he'you 何有
'he'you'yu'wo'zai 何有于我哉
'he'zai 何哉
'he'zu'suan'ye 何足算也
'he'zu'yi'zang 何足以臧
'hong'zi'bu'yi'wei'xie'fu 红紫不以为亵服
'hou'jin'yu'li'yue 后进于礼乐
'hou'sheng'ke'wei 后生可畏
'hou'shi'bi'wei'zi'sun'you 后世必为子孙忧
'hou'si'zhe'bu'de'yu 后死者不得与
'hu'bao'zhi'kuo'you'quan'yang'zhi'kuo 虎豹之鞟犹犬羊之鞟
'hu'he'zhi'hou'yi'ju 狐貉之厚以居
'hu'qiu 狐裘
'hu'si'chu'yu'xia 虎兕出于柙
'hu'xiang'nan'yu'yan 互乡难与言
'hu'yan'zai'hou 忽焉在后
'huai'qi'bao'er'mi'qi'bang 怀其宝而迷其邦
'huan'bu'zhi'ren'ye 患不知人也
'huan'de'zhi 患得之
'huan'gong'jiu'he'zhu'hou 桓公九合诸侯
'huan'gong'sha'gong'zi'jiu 桓公杀公子纠
'huan'hu'qi'you'wen'zhang 焕乎其有文章
'huan'qi'bu'neng'ye 患其不能也
'huan'shi'zhi 患失之
'huan'suo'yi'li 患所以立
'huan'tui'qi'ru'yu'he 桓魋其如予何
'huang'yi 黄衣
'hui'he'gan'si 回何敢死
'hui'nv'zhi'zhi'hu 诲女知之乎
'hui'ren'bu'juan 诲人不倦
'hui'ren'ye 惠人也
'hui'shi'hou'su 绘事后素
'hui'sui'bu'min 回虽不敏
'hui'ye 回也
'hui'ye'bu'gai'qi'le 回也不改其乐
'hui'ye'bu'yu 回也不愚
'hui'ye'qi'shu'hu 回也其庶乎
'hui'ye'shi'yu'you'fu'ye 回也视予犹父也
'hui'ze'zu'yi'shi'ren 惠则足以使人
'huo'cheng'zhi'xiu 或承之羞
'huo'wei'kong'zi'yue 或谓孔子曰
'huo'wen'di'zhi'shuo 或问禘之说
'huo'wen'zhi'yue 或问之曰
'huo'wen'zi'chan 或问子产
'huo'yue 或曰
'huo'zui'yu'tian 获罪于天
'ji'bu'cheng'qi'li 骥不称其力
'ji'de'zhi 既得之
'ji'er'yue 既而曰
'ji'fu'yi 既富矣
'ji'gu'ye 疾固也
'ji'huan'zi'shou'zhi 季桓子受之
'ji'jie 及阶
'ji'jie'wu'cai 既竭吾才
'ji'jue'shi 继绝世
'ji'kang'zi'huan'dao 季康子患盗
'ji'kang'zi'wen 季康子问
'ji'kang'zi'wen'zheng'yu'kong'zi 季康子问政于孔子
'ji'kang'zi'wen'zheng'yu'kong'zi'yue 季康子问政于孔子曰
'ji'lai'zhi 既来之
'ji'lu'wen'shi'gui'shen 季路问事鬼神
'ji'qi'lao'ye 及其老也
'ji'qi'shi'ren'ye 及其使人也
'ji'qi'zhuang'ye 及其壮也
'ji'qing'hu 击磬乎
'ji'rou'bu'chu'san'ri 祭肉不出三日
'ji'ru'zai 祭如在
'ji'shen'ru'shen'zai 祭神如神在
'ji'shi'di'shi'liu 季氏第十六
'ji'shi'fu'yu'zhou'gong 季氏富于周公
'ji'shi'jiang'fa'zhuan'yu 季氏将伐颛臾
'ji'shi'jiang'you'shi'yu'zhuan'yu 季氏将有事于颛臾
'ji'shi'lv'yu'tai'shan 季氏旅于泰山
'ji'shi'shi'min'zi'qian'wei'fei'zai 季氏使闵子骞为费宰
'ji'shu'yi 既庶矣
'ji'si'jing 祭思敬
'ji'suo'bu'yu 己所不欲
'ji'wang'bu'jiu 既往不咎
'ji'xi 及席
'ji'yu'da'er'da'ren 己欲达而达人
'ji'yu'gong 祭于公
'ji'yu'li'er'li'ren 己欲立而立人
'ji'yu'qi'sheng 既欲其生
'ji'yue'bi'chao'fu 吉月必朝服
'ji'yue'er'yi'ke'ye 期月而已可也
'ji'zhi'ye'wen 即之也温
'ji'zhi'yi'li 祭之以礼
'ji'zhi'yi'shen 疾之已甚
'ji'zi'cheng'yue 棘子成曰
'ji'zi'ran'wen 季子然问
'ji'zi'wei'zhi'nu 箕子为之奴
'jia'chao'fu 加朝服
'jia'shan'er'jin'bu'neng 嘉善而矜不能
'jia'wo'shu'nian 加我数年
'jia'zhi'yi'shi'lv 加之以师旅
'jian'bu'shan'ru'tan'tang 见不善如探汤
'jian'bu'xian'er'nei'zi'xing'ye 见不贤而内自省也
'jian'de'si'yi 见得思义
'jian'li'si'yi 见利思义
'jian'mian'zhe'yu'gu'zhe 见冕者与瞽者
'jian'qi'er'zi'yan 见其二子焉
'jian'qi'shuai'zhe 见齐衰者
'jian'qi'yu 见其与
'jian'shan'ru'bu'ji 见善如不及
'jian'wei'shou 见危授
'jian'xian'si'qi'yan 见贤思齐焉
'jian'xiao'li'ze 见小利则
'jian'yi'bu'wei 见义不为
'jian'zai'di'xin 简在帝心
'jian'ze'gu 俭则固
'jian'zhi 见之
'jian'zhi'bu'cong 见志不从
'jian'zi'xia'yue 见子夏曰
'jiang'ming'zhe'chu'hu 将命者出户
'jiang'ru'men 将入门
'jiang'yi'deng 降一等
'jiang'zhi'ru'shen'yi 降志辱身矣
'jiao'ru'ye 皦如也
'jiao'zhi 教之
'jie'bu'ji'men'ye 皆不及门也
'jie'neng'you'yang 皆能有养
'jie'ni'yue 桀溺曰
'jie'ren'cheng'zhi 借人乘之
'jie'ya'yan'ye 皆雅言也
'jie'ye 阶也
'jie'yong'er'ai'ren 节用而爱人
'jie'zhi'zai'de 戒之在得
'jie'zhi'zai'dou 戒之在斗
'jie'zhi'zai'se 戒之在色
'jie'zuo 皆坐
'jin'bai'hu'shang 今拜乎上
'jin'bu'qu 今不取
'jin'er'xin 谨而信
'jin'fu'zhuan'yu 今夫颛臾
'jin'mei'yi 尽美矣
'jin'nv'an 今女安
'jin'nv'hua 今女画
'jin'quan'liang 谨权量
'jin'ren 近仁
'jin'run'zhi'zen 浸润之谮
'jin'wang'yi'fu 今亡矣夫
'jin'wen'gong'jue'er'bu'zheng 晋文公谲而不正
'jin'ye'chun'jian 今也纯俭
'jin'ye'huo'shi'zhi'wang'ye 今也或是之亡也
'jin'ye'lian 矜也廉
'jin'ye'ze'wang 今也则亡
'jin'you'yu'qiu'ye 今由与求也
'jin'zhe'shuo 近者说
'jin'zhi'cheng'ren'zhe'he'bi'ran 今之成人者何必然
'jin'zhi'cong'zheng'zhe'dai'er 今之从政者殆而
'jin'zhi'cong'zheng'zhe'he'ru 今之从政者何如
'jin'zhi'jin'ye'fen'li 今之矜也忿戾
'jin'zhi'kuang'ye'dang 今之狂也荡
'jin'zhi'xiao'zhe 今之孝者
'jin'zhi'xue'zhe'wei'ren 今之学者为人
'jin'zhi'yu'ye'zha'er'yi'yi 今之愚也诈而已矣
'jin'zhi'ze'bu'sun 近之则不孙
'jing'gui'shen'er'yuan'zhi 敬鬼神而远之
'jing'shi'er'xin 敬事而信
'jing'sui'zhou'li'xing'hu'zai 敬虽州里行乎哉
'jing'you'ren'yan 井有仁焉
'jiu'fen 厩焚
'jiu'gu'ji'mei 旧谷既没
'jiu'ren'er'yi 九人而已
'jiu'yao'bu'wang'ping'sheng'zhi'yan 久要不忘平生之言
'jiu'yi'wu'bu'fu'meng'jian'zhou'gong 久矣吾不复梦见周公
'jiu'yi'zai 久矣哉
'jiu'you'dao'er'zheng'yan 就有道而正焉
'ju'bi'qian'zuo 居必迁坐
'ju'bu'de'qi'si'ran 俱不得其死然
'ju'bu'rong 居不容
'ju'chu'bu'an 居处不安
'ju'chu'gong 居处恭
'ju'er'suo'zhi 举尔所知
'ju'gao'yao 举皋陶
'ju'gong'ru'ye 鞠躬如也
'ju'jian'er'xing'jian 居简而行简
'ju'jing'er'xing'jian 居敬而行简
'ju'qi'suo'er'zhong'xing'gong'zhi 居其所而众星共之
'ju'shan'er'jiao'bu'neng 举善而教不能
'ju'shang'bu'kuan 居上不宽
'ju'shi'bang'ye 居是邦也
'ju'wang'cuo'zhu 举枉错诸
'ju'wu'qiu'an 居无求安
'ju'wu'yu'nv 居吾语女
'ju'xian'cai 举贤才
'ju'yi'min 举逸民
'ju'yi'yin 举伊尹
'ju'yi'yu'bu'yi'san'yu'fan 举一隅不以三隅反
'ju'yu'de 据于德
'ju'ze'yue 居则曰
'ju'zhi'bu'yi 居之不疑
'ju'zhi'cuo'zhu'wang 举直错诸枉
'ju'zhi'wu'juan 居之无倦
'juan'zhe'you'suo'bu'wei'ye 狷者有所不为也
'jun'chen'zhi'yi 君臣之义
'jun'cheng'zhi'yue'fu'ren 君称之曰夫人
'jun'ci'sheng 君赐生
'jun'ci'shi 君赐食
'jun'ci'xing 君赐腥
'jun'er'zhi'li 君而知礼
'jun'hong 君薨
'jun'ji 君祭
'jun'jun'chen'chen'fu'fu'zi'zi 君君臣臣父父子子
'jun'lv'zhi'shi 军旅之事
'jun'ming'zhao 君命召
'jun'qu'yu'wu 君取于吴
'jun'shi'chen 君使臣
'jun'shi'chen'yi'li 君使臣以礼
'jun'shi'zhi 君视之
'jun'shu'yu'bu'zu 君孰与不足
'jun'shu'yu'zu 君孰与足
'jun'yue'gao'fu'san'zi'zhe 君曰告夫三子者
'jun'zai 君在
'jun'zhao'shi'bin 君召使摈
'jun'zi 君子
'jun'zi'bing'wu'neng'yan 君子病无能焉
'jun'zi'bo'xue'yu'wen 君子博学于文
'jun'zi'bu'ke'xiao'zhi 君子不可小知
'jun'zi'bu'qi 君子不器
'jun'zi'bu'ru'ye 君子不入也
'jun'zi'bu'shi'qi'qin 君子不施其亲
'jun'zi'bu'yi'gan'zou'shi 君子不以绀緅饰
'jun'zi'bu'yi'yan'ju'ren 君子不以言举人
'jun'zi'bu'you'bu'ju 君子不忧不惧
'jun'zi'bu'zhong 君子不重
'jun'zi'cheng'ren'zhi'mei 君子成人之美
'jun'zi'chi'qi'yan'er'guo'qi'xing 君子耻其言而过其行
'jun'zi'dao'zhe'san 君子道者三
'jun'zi'duo'hu'zai 君子多乎哉
'jun'zi'er'bu'ren'zhe'you'yi'fu 君子而不仁者有矣夫
'jun'zi'he'er'bu'tong 君子和而不同
'jun'zi'he'huan'hu'wu'xiong 君子何患乎无兄
'jun'zi'huai'de 君子怀德
'jun'zi'huai'xing 君子怀刑
'jun'zi'hui'er'bu'fei 君子惠而不费
'jun'zi'ji'fu'she'yue'yu'zhi'er'bi'wei'zhi'ci 君子疾夫舍曰欲之而必为之辞
'jun'zi'ji'mo'shi'er'ming'bu'cheng'yan 君子疾没世而名不称焉
'jun'zi'jin'er'bu'zheng 君子矜而不争
'jun'zi'jing'er'wu'shi 君子敬而无失
'jun'zi'ju'zhi 君子居之
'jun'zi'ke'shi'ye 君子可逝也
'jun'zi'mou'dao'bu'mou'shi 君子谋道不谋食
'jun'zi'qiu'zhu'ji 君子求诸己
'jun'zi'qu'ren 君子去仁
'jun'zi'ren 君子人
'jun'zi'san'nian'bu'wei'li 君子三年不为礼
'jun'zi'shang'da 君子上达
'jun'zi'shang'yong'hu 君子尚勇乎
'jun'zi'shi'wu'qiu'bao 君子食无求饱
'jun'zi'si'bu'chu'qi'wei 君子思不出其位
'jun'zi'suo'gui'hu'dao'zhe'san 君子所贵乎道者三
'jun'zi'tai'er'bu'jiao 君子泰而不骄
'jun'zi'tan'dang'dang 君子坦荡荡
'jun'zi'wu'ben 君子务本
'jun'zi'wu'suo'zheng 君子无所争
'jun'zi'wu'zhong'gua 君子无众寡
'jun'zi'wu'zhong'shi'zhi'jian'wei'ren 君子无终食之间违仁
'jun'zi'xin'er'hou'lao'qi'min 君子信而后劳其民
'jun'zi'xue'dao'ze'ai'ren 君子学道则爱人
'jun'zi'xue'yi'zhi'qi'dao 君子学以致其道
'jun'zi'ye 君子也
'jun'zi'yi'dang'hu 君子亦党乎
'jun'zi'yi'shi'er'nan'shuo'ye 君子易事而难说也
'jun'zi'yi'wen'hui'you 君子以文会友
'jun'zi'yi'yan'yi'wei'zhi 君子一言以为知
'jun'zi'yi'yi'wei'shang 君子义以为上
'jun'zi'yi'yi'wei'zhi 君子义以为质
'jun'zi'yi'you'e'hu 君子亦有恶乎
'jun'zi'yi'you'qiong'hu 君子亦有穷乎
'jun'zi'you 君子忧
'jun'zi'you'jiu'si 君子有九思
'jun'zi'you'san'bian 君子有三变
'jun'zi'you'san'jie 君子有三戒
'jun'zi'you'san'wei 君子有三畏
'jun'zi'you'yong'er'wu'yi'wei'luan 君子有勇而无义为乱
'jun'zi'yu'ne'yu'yan'er'min'yu'xing 君子欲讷于言而敏于行
'jun'zi'yu'qi'suo'bu'zhi 君子于其所不知
'jun'zi'yu'qi'yan 君子于其言
'jun'zi'yu'yu'yi 君子喻于义
'jun'zi'zai 君子哉
'jun'zi'zai'qu'bo'yu 君子哉蘧伯玉
'jun'zi'zai'ruo'ren 君子哉若人
'jun'zi'zhe'hu 君子者乎
'jun'zi'zhen'er'bu'liang 君子贞而不谅
'jun'zi'zhi'dao 君子之道
'jun'zi'zhi'de'feng 君子之德风
'jun'zi'zhi'er'yi'yi 君子质而已矣
'jun'zi'zhi'guo'ye 君子之过也
'jun'zi'zhi'shi'ye 君子之仕也
'jun'zi'zhi'yu'tian'xia'ye 君子之于天下也
'jun'zi'zhi'zhi'yu'si'ye 君子之至于斯也
'jun'zi'zhou'er'bu'bi 君子周而不比
'jun'zi'zhou'ji'bu'ji'fu 君子周急不继富
'jun'zi'zun'xian'er'rong'zhong 君子尊贤而容众
'kan'kan'ru'ye 侃侃如也
'kang'zi'kui'yao 康子馈药
'kang'zi'yue 康子曰
'ke'er'wei'zhi'zhe'yu 可而为之者与
'ke'ji'fu'li'wei'ren 克己复礼为仁
'ke'qi'ye 可欺也
'ke'shi'nan'mian 可使南面
'ke'shi'you'yong 可使有勇
'ke'shi'zu'min 可使足民
'ke'wei 可谓
'ke'wei'da'chen'yu 可谓大臣与
'ke'wei'hao'xue'ye'yi'yi 可谓好学也已矣
'ke'wei'ju'chen'yi 可谓具臣矣
'ke'wei'ming'ye'yi'yi 可谓明也已矣
'ke'wei'ren'hu 可谓仁乎
'ke'wei'ren'yi 可谓仁矣
'ke'wei'ren'zhi'fang'ye'yi 可谓仁之方也已
'ke'wei'shi 可谓士
'ke'wei'shi'yi 可谓士矣
'ke'wei'xiao'yi 可谓孝矣
'ke'wei'yuan'ye'yi'yi 可谓远也已矣
'ke'wei'zhi'hu 可谓知乎
'ke'wei'zhi'yi 可谓知矣
'ke'ye 可也
'ke'yi'guan 可以观
'ke'yi'ji'bai'li'zhi'ming 可以寄百里之命
'ke'yi'qun 可以群
'ke'yi'tuo'liu'chi'zhi'gu 可以托六尺之孤
'ke'yi'wei'nan'yi 可以为难矣
'ke'yi'wei'ren'yi 可以为仁矣
'ke'yi'wei'shi'yi 可以为师矣
'ke'yi'wei'wen'yi 可以为文矣
'ke'yi'wu'da'guo'yi 可以无大过矣
'ke'yi'yu'shang'ye 可以语上也
'ke'yi'yuan 可以怨
'ke'yu'gong'xue 可与共学
'ke'yu'li 可与立
'ke'yu'shi'dao 可与适道
'ke'yu'yan'er'bu'yu'yan 可与言而不与言
'ke'zhe'yu'zhi 可者与之
'ke'zhi'ye 可知也
'keng'er 铿尔
'keng'keng'hu 硁硁乎
'keng'keng'ran 硁硁然
'kong'kong'er'bu'xin 悾悾而不信
'kong'kong'ru'ye 空空如也
'kong'zi'bu'jian 孔子不见
'kong'zi'ci'yi'ji 孔子辞以疾
'kong'zi'dui'yue 孔子对曰
'kong'zi'guo'zhi 孔子过之
'kong'zi'mu'yu'er'chao 孔子沐浴而朝
'kong'zi'shi'qi'wang'ye 孔子时其亡也
'kong'zi'tui 孔子退
'kong'zi'wei'ji'shi 孔子谓季氏
'kong'zi'xia 孔子下
'kong'zi'xing 孔子行
'kong'zi'yi'qi'xiong'zhi'zi'qi'zhi 孔子以其兄之子妻之
'kong'zi'yu'xiang'dang 孔子于乡党
'kong'zi'yu'zhi'zuo'er'wen'yan 孔子与之坐而问焉
'kong'zi'yue 孔子曰
'kou'qi'jing 叩其胫
'kuai'bu'yan'xi 脍不厌细
'kuan'ze'de'zhong 宽则得众
'kuang'er'bu'zhi 狂而不直
'kuang'ren'qi'ru'yu'he 匡人其如予何
'kuang'zhe'jin'qu 狂者进取
'kui'jian'shi'jia'zhi'hao 窥见室家之好
'kun'er'bu'xue 困而不学
'kun'er'xue'zhi 困而学之
'lai'yu'yu'er'yan 来予与尔言
'lai'zhe'you'ke'zhui 来者犹可追
'lao'er'bu'si 老而不死
'lao'er'bu'yuan 劳而不怨
'lao'yue 牢曰
'le'bi'beng 乐必崩
'le'dao'ren'zhi'shan 乐道人之善
'le'duo'xian'you 乐多贤友
'le'er'bu'yin 乐而不淫
'le'jiao'le 乐骄乐
'le'qi'ke'zhi'ye 乐其可知也
'le'ran'hou'xiao 乐然后笑
'le'yan'le 乐宴乐
'le'yi'wang'you 乐以忘忧
'le'yi'you 乐佚游
'le'yi'zai'qi'zhong'yi 乐亦在其中矣
'le'yun'le'yun 乐云乐云
'le'ze'shao 乐则韶
'lei'yue 诔曰
'li'bi'huai 礼必坏
'li'bu'zhong'men 立不中门
'li'bu'zu'ye 力不足也
'li'bu'zu'zhe 力不足者
'li'hou'hu 礼后乎
'li'niu'zhi'zi'xing'qie'jiao 犁牛之子骍且角
'li'qu'er'guo'ting 鲤趋而过庭
'li'ren'di'si 里仁第四
'li'ren'wei'mei 里仁为美
'li'tui 鲤退
'li'tui'er'xue'li 鲤退而学礼
'li'ye 礼也
'li'ye'si 鲤也死
'li'yi'xing'zhi 礼以行之
'li'yu'li 立于礼
'li'yu'qi'she'ye 礼与其奢也
'li'yue'bu'xing 礼乐不兴
'li'yun'li'yun 礼云礼云
'li'ze'jian'qi'can'yu'qian'ye 立则见其参于前也
'li'zhi'yong 礼之用
'lin'da'jie'er'bu'ke'duo'ye 临大节而不可夺也
'lin'fang'wen'li'zhi'ben 林放问礼之本
'lin'sang'bu'ai 临丧不哀
'lin'zhi'yi'zhuang 临之以庄
'liu'shi'er'er'shun 六十而耳顺
'liu'xia'hui'wei'shi'shi 柳下惠为士师
'lu'ren'wei'zhang'fu 鲁人为长府
'lu'wei'zhi'zheng 鲁卫之政
'lu'wen'xue 路文学
'lu'yi'bian 鲁一变
'lu'zai'qi'zhong'yi 禄在其中矣
'lu'zhi'qu'gong'shi'wu'shi'yi 禄之去公室五世矣
'luan'bang'bu'ju 乱邦不居
'luan'ye 乱也
'lun'du'shi'yu 论笃是与
'lv'kong 屡空
'lv'yi'xia'ren 虑以下人
'ma'bu'jin'ye 马不进也
'ma'mian 麻冕
'man'ling'zhi'qi'wei'zhi'zei 慢令致期谓之贼
'mao'si'gong 貌思恭
'mei'jie 没阶
'mei'mu'pan'xi 美目盼兮
'mei'shi'wen 每事问
'men'ren'bu'jing'zi'lu 门人不敬子路
'men'ren'hou'zang'zhi 门人厚葬之
'men'ren'huo 门人惑
'men'ren'wen'yue 门人问曰
'men'ren'yu'hou'zang'zhi 门人欲厚葬之
'meng'gong'chuo'wei'zhao'wei'lao'ze'you 孟公绰为赵魏老则优
'meng'jing'zi'wen'zhi 孟敬子问之
'meng'shi'shi'yang'fu'wei'shi'shi 孟氏使阳肤为士师
'meng'sun'wen'xiao'yu'wo 孟孙问孝于我
'meng'wu'bo'wen'xiao 孟武伯问孝
'meng'yi'zi'wen'xiao 孟懿子问孝
'meng'zhi'fan'bu'fa 孟之反不伐
'meng'zhuang'zi'zhi'xiao'ye 孟庄子之孝也
'miao'er'bu'xiu'zhe'you'yi'fu 苗而不秀者有矣夫
'min'dao 民到
'min'dao'yu'jin'shou'qi'ci 民到于今受其赐
'min'de'gui'hou'yi 民德归厚矣
'min'ke'shi'you'zhi 民可使由之
'min'mian'er'wu'chi 民免而无耻
'min'san'jiu'yi 民散久矣
'min'shi'sang'ji 民食丧祭
'min'si'wei'xia'yi 民斯为下矣
'min'wu'de'er'cheng'yan 民无得而称焉
'min'wu'de'er'cheng'yan 民无德而称焉
'min'wu'neng 民无能
'min'wu'xin'bu'li 民无信不立
'min'xian'jiu'yi 民鲜久矣
'min'xin'zhi'yi 民信之矣
'min'yi'qiu'zhi'zhe'ye 敏以求之者也
'min'yu'shi'er'shen'yu'yan 敏于事而慎于言
'min'ze'you'gong 敏则有功
'min'zhi'yu'ren'ye 民之于仁也
'min'zi'qian 闵子骞
'min'zi'qian'yue 闵子骞曰
'min'zi'shi'ce 闵子侍侧
'ming'bu'zheng 名不正
'ming'ri 明日
'ming'ri'sui'xing 明日遂行
'ming'yan 名焉
'ming'ye 命也
'ming'yi'fu 命矣夫
'mo'bu'you'wen'wu'zhi'dao'yan 莫不有文武之道焉
'mo'chi'wu'yuan'yan 没齿无怨言
'mo'chun'zhe 莫春者
'mo'er'bu'lin 磨而不磷
'mo'er'shi'zhi 默而识之
'mo'gan'bu'fu 莫敢不服
'mo'ji'zhi'ye 莫己知也
'mo'neng'xing 莫能兴
'mo'wo'zhi'ye'fu 莫我知也夫
'mo'wu'you'ren'ye 莫吾犹人也
'mo'you'ye'yi 末由也已
'mo'yu'wei'ye 莫予违也
'mo'zhi'nan'yi 末之难矣
'mo'zhi'ye 末之也
'mou'zai'si 某在斯
'nan'gong'shi'chu 南宫适出
'nan'gong'shi'wen'yu'kong'zi'yue 南宫适问于孔子曰
'nan'hu'mian'yu'jin'zhi'shi'yi 难乎免于今之世矣
'nan'hu'you'heng'yi 难乎有恒矣
'nan'ren'you'yan'yue 南人有言曰
'nan'rong'san'fu'bai'gui 南容三复白圭
'nan'yi'zai 难矣哉
'nan'yu'bing'wei'ren'yi 难与并为仁矣
'nei'xing'bu'jiu 内省不疚
'nei'zai'qi'zhong'yi 馁在其中矣
'neng'e'ren 能恶人
'neng'jie'qi'li 能竭其力
'neng'jin'qu'pi 能近取譬
'neng'lai'ye 能来也
'neng'shi 能使
'neng'shi'wang'zhe'zhi 能使枉者直
'neng'wu'cong'hu 能无从乎
'neng'wu'hui'hu 能勿诲乎
'neng'wu'lao'hu 能勿劳乎
'neng'wu'shuo'hu 能无说乎
'neng'xing'wu'zhe'yu'tian'xia'wei'ren'yi 能行五者于天下为仁矣
'neng'yi'li'rang'wei'guo'hu 能以礼让为国乎
'neng'zhi'qi'shen 能致其身
'ni'qiu 麑裘
'nian'ji 年饥
'nian'si'shi'er'jian'e'yan 年四十而见恶焉
'niao'shou'bu'ke'yu'tong'qun 鸟兽不可与同群
'niao'zhi'jiang'si 鸟之将死
'nie'er'bu'zi 涅而不缁
'ning'gu 宁固
'ning'jian 宁俭
'ning'mei'yu'zao 宁媚于灶
'ning'qi 宁戚
'ning'ren'dai 佞人殆
'ning'ye 佞也
'nv'de'ren'yan'er'hu 女得人焉耳乎
'nv'fu'neng'jiu'yu 女弗能救与
'nv'wei'jun'zi'ru 女为君子儒
'nv'wei'zhou'nan'zhao'nan'yi'hu 女为周南召南矣乎
'nv'wen'liu'yan'liu'bi'yi'hu 女闻六言六蔽矣乎
'nv'xi'bu'yue 女奚不曰
'nv'yi'yu'wei'duo'xue'er'shi'zhi'zhe'yu 女以予为多学而识之者与
'pao'gua'ye'zai 匏瓜也哉
'pei'chen'zhi'guo'ming 陪臣执国命
'peng'you'qie'qie'si'si 朋友切切偲偲
'peng'you'shu 朋友数
'peng'you'si 朋友死
'peng'you'zhi'kui 朋友之馈
'pi'fu'bu'ke'duo'zhi'ye 匹夫不可夺志也
'pi'ru'bei'chen 譬如北辰
'pi'ru'ping'di 譬如平地
'pi'ru'wei'shan 譬如为山
'pi'zhi'gong'qiang 譬之宫墙
'pi'zhu'cao'mu 譬诸草木
'pi'zhu'xiao'ren 譬诸小人
'pian'qi'fan'er 偏其反而
'pin'er'wu'chan 贫而无谄
'pin'er'wu'yuan'nan 贫而无怨难
'pin'qie'jian'yan 贫且贱焉
'pin'yu'jian 贫与贱
'ping'si'e 屏四恶
'qi'bi'ye'dang 其蔽也荡
'qi'bi'ye'jiao 其蔽也绞
'qi'bi'ye'kuang 其蔽也狂
'qi'bi'ye'luan 其蔽也乱
'qi'bi'ye'yu 其蔽也愚
'qi'bi'ye'zei 其蔽也贼
'qi'bu'er'si 岂不尔思
'qi'bu'gai'fu'zhi'chen 其不改父之臣
'qi'bu'ke'zhe'ju'zhi 其不可者拒之
'qi'bu'shan'zhe'e'zhi 其不善者恶之
'qi'bu'shan'zhe'er'gai'zhi 其不善者而改之
'qi'bu'zu'zheng'ye 杞不足征也
'qi'ci'pi'di 其次辟地
'qi'ci'pi'se 其次辟色
'qi'ci'pi'yan 其次辟言
'qi'cong'zhi'ye 其从之也
'qi'fu'rang'yang 其父攘羊
'qi'he'ren'ye 齐何人也
'qi'he'shang'yu'ri'yue'hu 其何伤于日月乎
'qi'he'yi'xing'zhi'zai 其何以行之哉
'qi'huan'gong'zheng'er'bu'jue 齐桓公正而不谲
'qi'hui'ye'yu 其回也与
'qi'huo'ji'zhou'zhe 其或继周者
'qi'jing'gong'dai'kong'zi'yue 齐景公待孔子曰
'qi'jing'gong'wen'zheng'yu'kong'zi 齐景公问政于孔子
'qi'jing'gong'you'ma'qian'si 齐景公有马千驷
'qi'ke'wei'zhi'de'ye'yi'yi 其可谓至德也已矣
'qi'ke'yi'yi 其可已矣
'qi'ke'yi'yi 期可已矣
'qi'men'er'ru 其门而入
'qi'ming'ye'ai 其鸣也哀
'qi'qi'ran'hu 岂其然乎
'qi'qin 其亲
'qi'ran 其然
'qi'ran'ye 其然也
'qi'ren'gui'nv'yue 齐人归女乐
'qi'ru'shi'zhu'si'hu 其如示诸斯乎
'qi'ruo'cong'pi'shi'zhi'shi'zai 岂若从辟世之士哉
'qi'ruo'pi'fu'pi'fu'zhi'wei'liang'ye 岂若匹夫匹妇之为谅也
'qi'shen'bu'zheng 其身不正
'qi'shen'zheng 其身正
'qi'sheng'ye'rong 其生也荣
'qi'shi'er'cong'xin'suo'yu 七十而从心所欲
'qi'shi'ye 其事也
'qi'shu'hu 其恕乎
'qi'shun'ye'yu 其舜也与
'qi'si'er'yi'yi 其斯而已矣
'qi'si'ye'ai 其死也哀
'qi'si'zhi'wei'yu 其斯之谓与
'qi'ta'ke'neng'ye 其他可能也
