'a'bo'rui'si'an'ying'gong 阿伯瑞斯暗影弓
'huan'yin'zhi'xian'cu'zhi'gong 幻银之弦粗制弓
'huang'di'de'jing'jie'leng'gang'yuan'dun 皇帝的警戒冷钢鸢盾
'huang'jia'wei'jia'zheng'zhan'suo'jia 皇家卫甲征战锁甲
'huang'jin'fa'ze'cui'lv'zhu'bao 黄金法则翠绿珠宝
'huang'tu'ri'guang'pi'jia 荒途日光皮甲
'huang'ye'zhi'lv'mo'zhao'ren 荒野之律魔爪刃
'hui'guang'zhi'ji'si'rong'bian'xie 回光之迹丝绒便鞋
'hui'hen'zhi'huan'huang'yu'jie'zhi 悔恨之环黄玉戒指
'hui'jin'xing'zhe'cu'wen'fa'zhang 灰烬行者粗纹法杖
'hui'jin'zhi'weng'zhen'yin'yao'ji 灰烬之瓮真银药剂
'hui'mian'zhe'kou'huan'hu'shou 毁面者扣环护手
'hui'mie'de'bi'jin'long'lin'chang'xue 毁灭的逼近龙鳞长靴
'hui'mie'ji'bo'dan'bai'shi'jie'zhi 毁灭激波蛋白石戒指
'hui'se'jian'zhui'shen'pan'chang'zhang 灰色尖椎审判长杖
'hui'sheng'duan'lu'yu'yan'zhong'jian 回声锻炉狱炎重剑
'hui'wu'zhi'zhang'sheng'zhan'shou'tao 悔悟之掌圣战手套
'hui'yan'ri'yao'zhi'guan 灰眼日耀之冠
'hun'an'zhi'ya'bi'zhu'hu'shen'fu 昏暗之牙碧珠护身符
'hun'dun'yi'pie'wa'er'zhi'mian 混沌一瞥瓦尔之面
'hun'dun'zhi'yuan'bin'hai'shan'qiu 混沌之渊滨海山丘
'hun'xiang'luo'wen'fa'zhang 混响螺纹法杖
'huo'bao'zhi'yong'pi'ge'yao'dai 火爆之拥皮革腰带
'huo'jie'qian'neng'zhi'jie 活解潜能之戒
'huo'liu'jing'jia'gu'gang'jing'jia 火柳胫甲古钢胫甲
'huo'mu'zhi'ren'ai'zi'mai'ju'jian 活木之刃艾兹麦巨剑
'huo'shen'duan'tai'mo'ling'duan'bi 火神锻台魔灵短匕
'ji'bei'pi'ge'yao'dai 极北皮革腰带
'ji'di'zhi'yan'fang'pin'zui'zhe'zhi'mao 极地之眼仿品罪者之帽
'ji'di'zhi'yan'zui'zhe'zhi'mao 极地之眼罪者之帽
'ji'ding'ming'tu'shi'bu'yao'dai 既定命途饰布腰带
'ji'e'zhi'huan'qian'neng'zhi'jie 饥饿之环潜能之戒
'ji'er'fei'de'jing'zui'zhi'chui'tong'ying'ju'chui 吉尔菲的净罪之锤铜影巨锤
'ji'er'fei'de'rong'guang'qiang'hua'ju'kui 吉尔菲的荣光强化巨盔
'ji'er'fei'de'sheng'dian'quan'gui'huan'jia 吉尔菲的圣殿权贵环甲
'ji'huang'zhi'jie'su'bu'yao'dai 饥荒之结素布腰带
'ji'jia'sa'lu'huang'yu'jie'zhi 基加萨鲁黄玉戒指
'ji'li'zhi'yu'meng'yan'zhan'kui 祭礼之雨梦魇战盔
'ji'luo'wa'zhi'feng'bao'gang'mu'qing'dun 基洛瓦之风暴钢木轻盾
'ji'si'zhi'xin'hai'ling'hu'shen'fu 祭祀之心海灵护身符
'ji'yi'qiu'long'ling'zhu'zhan'guan 记忆囚笼领主战冠
'jia'su'shi'yue'cui'lv'zhu'bao 加速誓约翠绿珠宝
'jian'ding'zhi'ren'sheng'yue'zhi'chui 坚定之刃圣约之锤
'jian'li'du'wa'shao'bing'zhi'yi 箭丽毒蛙哨兵之衣
'jian'ren'zhi'lian'kou'lian'yao'dai 坚韧之链扣链腰带
'jian'yi'zhi'huan'kou'ding'yao'dai 坚毅之环扣钉腰带
'jian'yi'zhi'shi'jian'yi'ta'dun 坚毅之食坚毅塔盾
'jian'zhu'shi'zhi'shou'fu'ji'hu'shou 建筑师之手伏击护手
'jiang'jun'de'fu'sheng'sheng'jie'suo'jia 将军的复生圣洁锁甲
'jiang'lin'zhi'di'xian'qu'zhe'di'tu 降临之地先驱者地图
'jiao'sha'zhi'xi'hei'yao'hu'shen'fu 绞杀之息黑曜护身符
'jiao'tu'shu'yao'zhong'ge'yao'dai 狡徒束腰重革腰带
'jie'hun'zhi'huan'yue'guang'shi'jie'zhi 结魂之环月光石戒指
'jie'jing'quan'zhi'hei'yao'hu'shen'fu 结晶全知黑曜护身符
'jie'lv'zhi'ying'di'guo'duan'bi 戒律之影帝国短匕
'jie'xue'zhi'lian'xing'xing'ju'fu 竭血之镰行刑巨斧
'jin'bi'ji'tan'zhi'ming'yan'tan 禁闭祭坛致命岩滩
'jin'duan'de'jun'mao'qiang'hua'ju'kui 禁断的军帽强化巨盔
'jin'duan'zhi'huo'chi'hong'zhu'bao 禁断之火赤红珠宝
'jin'duan'zhi'rou'gu'lan'zhu'bao 禁断之肉钴蓝珠宝
'jin'gu'bao'feng'luo'wen'fa'zhang 禁锢暴风螺纹法杖
'jin'gu'jian'yu'jin'li'zhi'jia 禁锢监狱禁礼之甲
'jin'guo'shi'ying'yao'ji 禁果石英药剂
'jin'jue'zhi'shan'jing'zhi'pi'jia 金珏之缮精制皮甲
'jin'lv'mao'pi'mao 金缕帽皮帽
'jin'xue'hui'zhang'hu'po'hu'shen'fu 浸血徽章琥珀护身符
'jin'yu'ling'neng'zhi'long 禁语灵能之笼
'jin'yu'mian'rong'cao'ling'zhe'zhi'guan 禁域面容操灵者之冠
'jing'hua'ru'chong'qian'neng'zhi'jie 菁华蠕虫潜能之戒
'jing'hua'shou'ge'qi'wa'er'zhan'zhao 精华收割器瓦尔战爪
'jing'ji'ju'yuan'you'mu'yuan'dun 惊悸剧院柚木圆盾
'jing'mai'chuan'ci'duan'tie'jie'zhi 静脉穿刺锻铁戒指
'jing'xian'ci'ji'qing'qi'kui 惊险刺激轻骑盔
'jiu'shi'zhe'jun'tuan'chang'jian 救世者军团长剑
'ju'guang'zhi'shi'chi'hong'zhu'bao 聚光之石赤红珠宝
'ju'hun'shi'san'xiang'zhu'bao 聚魂石三相珠宝
'ju'keng'zhi'ling'yi'shi'shou'tao 巨坑之令仪式手套
'ju'lang'zhi'yan'lang'wang'mo'fu 巨狼之眼狼王魔符
'ju'ling'zai'xing'qing'tong'hu'shou 巨灵灾星青铜护手
'ju'shi'ni'zhuan'zhe'di'guo'zhong'chui 局势逆转者帝国重锤
'ju'tong'zhi'ding'jue'dou'zhong'kai 巨铜之顶角斗重铠
'ju'yan'zhi'tao'pi'ge'yao'dai 巨岩指套皮革腰带
'jue'di'mo'lv'shu'shi'chang'xue 绝地魔履术士长靴
'jun'heng'zhi'fu'hei'yao'hu'shen'fu 均衡之符黑曜护身符
'jun'tuan'de'jin'ji'jun'tuan'chang'xue 军团的进击军团长靴
'jun'zhu'zhi'fu'jian'yi'zhi'pao 君主之肤简易之袍
'ka'di'gan'wang'guan'fu'wen'wang'guan 卡迪甘王冠符文王冠
'ka'hu'tu'luo'a'zhi'que'xin'yuan'gu'jing'jia 卡胡图罗阿之确信远古胫甲
'ka'lan'de'zhi'chu'jie'zhi 卡兰德之触戒指
'ka'li'sha'de'you'ya'zhi'ying'fang'pin'xiu'bu'shou'tao 卡莉莎的优雅之影仿品绣布手套
'ka'li'sha'de'you'ya'zhi'ying'xiu'bu'shou'tao 卡莉莎的优雅之影绣布手套
'ka'lu'de'zhan'hui'cui'yu'hu'shen'fu 卡鲁的战徽翠玉护身符
'ka'lu'de'zhan'hui'fang'pin'cui'yu'hu'shen'fu 卡鲁的战徽仿品翠玉护身符
'ka'lu'zhi'xue'sheng'hua'sheng'ming'yao'ji 卡鲁之血圣化生命药剂
'ka'mei'li'ya'zhi'chui'jian'chui 卡美利亚之锤坚锤
'ka'mei'li'ya'zhi'tan'lan'jian'chui 卡美利亚之贪婪坚锤
'ka'si'pu'li'yi'zhi'an'ying'zhi'zhuang 卡斯普里意志暗影之装
'ka'si'pu'li'yuan'hen'bao'shi'xi'jian 卡斯普里怨恨宝饰细剑
'kai'tang'fu'po'cheng'fu 开膛斧破城斧
'kang'ge'de'zhan'yan'fang'pin'ju'ling'zhong'chui 康戈的战炎仿品惧灵重锤
'kang'ge'de'zhan'yan'ju'ling'zhong'chui 康戈的战炎惧灵重锤
'ke'la'li'duo'zhi'ming'bao'zuan'yao'ji 克拉里多之名宝钻药剂
'ke'ta'la'de'tiao'jie'qi'wang'quan'ci'dun 科塔拉的调节器王权刺盾
'ke'wang'zhi'guan'quan'zhao'zhan'kui 渴望之冠全罩战盔
'kong'ju'zhi'fou'zhan'zheng'qing'dun 恐惧之缶战争轻盾
'kong'ju'zhi'huan'lan'yu'jie'zhi 恐惧之环蓝玉戒指
'kong'ju'zhi'lian'qie'ge'zhe 恐惧之镰切割者
'kong'ju'zhi'ping'heng'gu'lan'zhu'bao 恐惧之平衡钴蓝珠宝
'kong'ming'de'shen'suan'yuan'gu'mo'dun 孔明的神算远古魔盾
'kong'xiang'shu'shi'chang'xue 空向术士长靴
'ku'bai'qi'zhen'shi'yuan'sui'pian 枯败奇珍始源碎片
'ku'han'de'ning'shi'ling'neng'zhi'long 酷寒的凝视灵能之笼
'ku'jia'er'de'ning'shi'an'shui'zhi'ning'zhu'bao 库加尔的凝视安睡之凝珠宝
'ku'jing'zhou'gu'mo'fu 枯井咒箍魔符
'ku'le'ma'ke'teng'zhang'she'wen'chang'zhang 库勒马克藤杖蛇纹长杖
'ku'meng'fang'pin'ying'yu'duan'zhang 苦梦仿品影语短杖
'ku'meng'ying'yu'duan'zhang 苦梦影语短杖
'ku'nan'ji'ban'hei'yao'hu'shen'fu 苦难羁绊黑曜护身符
'ku'nan'tan'xun'zhe'cu'ge'shou'tao 苦难探寻者粗革手套
'ku'tong'kuang'sha'ba'zhe'ci'dun 苦痛狂鲨霸者刺盾
'ku'tong'zhi'chu'ju'ren'mo'dun 苦痛之处巨人魔盾
'ku'tong'zhi'huan'hong'yu'jie'zhi 苦痛之环红玉戒指
'ku'xing'di'jin'hu'shen'fu 苦行帝金护身符
'ku'xing'zhi'lian'sheng'ge'yi'wu 苦刑之链圣歌遗物
'ku'xing'zhi'lv'yang'mao'zhi'xie 苦行之履羊毛之鞋
'kuang're'zhi'xin'gu'lan'zhu'bao 狂热之心钴蓝珠宝
'kui'bai'an'ying'zhi'xue 溃败暗影之靴
'kui'bai'fang'pin'an'ying'zhi'xue 溃败仿品暗影之靴
'kuo'zhan'ju'zhan'fu 阔斩巨战斧
'la'ke'si'de'ke'wang'yi'shi'duan'xue 拉克斯的渴望仪式短靴
'la'qi'ta'zhi'wu'fu'wen'ju'jian 拉其塔之舞符文巨剑
'la'qi'xu'zhi'ren'gui'zu'zhi'jian 拉奇许之刃贵族之剑
'la'shi'ka'de'de'nai'xin'cui'yu'hu'shen'fu 拉什卡德的耐心翠玉护身符
'la'wei'an'jia'de'zhi'hui'zhan'chui 拉维安加的智慧战锤
'la'wei'an'jia'zhi'quan'fang'pin'sheng'hua'mo'li'yao'ji 拉维安加之泉仿品圣化魔力药剂
'la'wei'an'jia'zhi'quan'sheng'hua'mo'li'yao'ji 拉维安加之泉圣化魔力药剂
'la'zi'wa'de'ling'shi'hai'yu'hu'shen'fu 拉兹瓦的灵石海玉护身符
'lang'yong'fu'zhe'long'lin'shou'tao 浪涌缚者龙鳞手套
'lang'zhu'sheng'pi'ta'dun 狼蛛生皮塔盾
'lei'ming'xi'li'gang'jing'ci'dun 雷鸣洗礼钢镜刺盾
'lei'mu'nuo'de'duo'ming'xiong'qi'leng'tie'zhong'chui 雷姆诺的夺命凶器冷铁重锤
'lei'mu'nuo'de'hao'qing'sa'mu'ni'kui 雷姆诺的豪情萨姆尼盔
'lei'mu'ri'yao'zhi'guan 雷目日耀之冠
'lei'yu'huang'ye'suo'kai 雷语荒野锁铠
'li'ji'de'mu'zhe'wu'ming'jie'zhi 利己的牧者无名戒指
'li'liang'lie'ren'can'ti'li'ren 力量猎刃残体利刃
'li'liang'yu'shi'yan'dian'ji'yi'wu 力量与誓言典籍遗物
'li'ming'xing'zhe'wa'er'jing'jia 黎明行者瓦尔胫甲
'li'shi'gong'li'tong'duan'duan'zhang 历史公理铜锻短杖
'li'xing'zhu'yi'gu'lan'zhu'bao 理性主义钴蓝珠宝
'li'yi'meng'mei'jun'yong'chang'ren 离异梦寐军用长刃
'lian'yu'zhi'xin'du'zhu'si'zhi'pao 炼狱之心毒蛛丝之袍
'lie'bao'zhe'de'hu'shou'yang'mao'shou'tao 猎宝者的护手羊毛手套
'lie'feng'di'guo'zhi'gong 裂风帝国之弓
'lie'feng'fang'pin'di'guo'zhi'gong 裂风仿品帝国之弓
'lie'hun'zhe'shi'ying'yao'ji 裂魂者石英药剂
'lie'huo'song'zang'fu'lin'shou'tao 烈火送葬蝮鳞手套
'lie'huo'zhi'ge'chi'hong'zhu'bao 烈火之歌赤红珠宝
'lie'jie'zhi'yin'he'jin'jie'zhi 裂界之印合金戒指
'lie'kong'zhe'yu'yan'zhong'jian 裂空者狱炎重剑
'lie'lu'fang'pin'gang'meng'ju'chui 裂颅仿品刚猛巨锤
'lie'lu'gang'meng'ju'chui 裂颅刚猛巨锤
'lie'quan'zhi'ya'yuan'gu'zhan'zhao 鬣犬之牙远古战爪
'lie'shi'lun'hui'feng'bao'chang'zhang 裂世轮回风暴长杖
'lie'shou'fang'pin'pi'ge'yao'dai 猎首仿品皮革腰带
'lie'shou'pi'ge'yao'dai 猎首皮革腰带
'lie'wu'ren'de'shen'pan'gui'zu'chang'zhang 猎巫人的审判贵族长杖
'lie'xi'kong'ju'zhi'ya 裂隙恐惧之牙
'lie'xin'ren'fang'pin'huang'jia'duan'bi 裂心刃仿品皇家短匕
'lie'xin'ren'huang'jia'duan'bi 裂心刃皇家短匕
'lie'yan'zhi'pao'xue'zhe'zhi'pao 烈炎之袍学者之袍
'lie'yan'zhi'xin'sheng'jie'suo'jia 烈炎之心圣洁锁甲
'lie'yan'zhi'yi'hou'zhuang'yuan'dun 烈炎之翼厚装鸢盾
'lie'yang'hui'ji'di'jin'hu'shen'fu 烈阳徽记帝金护身符
'lie'yang'kai'tong'duan'ban'jia 烈阳铠铜锻板甲
'lie'zong'lu'pi'duan'xue 猎踪鹿皮短靴
'lin'feng'di'jin'hu'shen'fu 临峰帝金护身符
'lin'si'de'shi'she'gang'jing'ci'dun 临死的施舍钢镜刺盾
'ling'hai'zhi'lv'fang'pin'si'chou'bian'xie 灵骸之履仿品丝绸便鞋
'ling'hai'zhi'lv'si'chou'bian'xie 灵骸之履丝绸便鞋
'ling'hu'lian'wu'zhe'xi'jian 灵护练武者细剑
'ling'hun'bang'ding'hai'ling'jie'zhi 灵魂绑定海灵戒指
'ling'hun'da'ji'ci'feng'jian'dai 灵魂打击刺锋箭袋
'ling'hun'da'ji'fang'pin'ci'feng'jian'dai 灵魂打击仿品刺锋箭袋
'ling'hun'fei'sheng'jin'li'hu'shou 灵魂飞升禁礼护手
'ling'hun'ji'ban'fang'pin'shi'bu'yao'dai 灵魂羁绊仿品饰布腰带
'ling'hun'ji'ban'shi'bu'yao'dai 灵魂羁绊饰布腰带
'ling'hun'jia'zhou'mie'shi'fa'yi 灵魂甲胄灭世法衣
'ling'jiu'xing'zhe'jin'li'zhi'xue 灵柩行者禁礼之靴
'ling'quan'gang'ying'hu'shou 陵拳钢影护手
'ling'ti'zhuan'huan'gu'lan'zhu'bao 灵体转换钴蓝珠宝
'ling'xiu'de'dai'jia'hei'yao'hu'shen'fu 领袖的代价黑曜护身符
'ling'xuan'zhan'yi'zhi'kui 灵漩战意之盔
'liu'chang'xing'dong'cui'lv'zhu'bao 流畅行动翠绿珠宝
'liu'shi'zhi'shi'shi'bu'yao'dai 流逝之时饰布腰带
'liu'shu'zhi'ci'cui'yu'hu'shen'fu 柳树之赐翠玉护身符
'long'feng'yin'yu'huo'zhi'ren 龙凤吟狱火之刃
'long'tui'zhi'dai'pi'ge'yao'dai 龙蜕之带皮革腰带
'long'ya'zhi'xiang'fang'pin'hei'yao'hu'shen'fu 龙牙之翔仿品黑曜护身符
'long'yan'zu'ji'sha'ying'duan'xue 龙炎足迹砂影短靴
'long'zu'yin'ji'fu'lin'shou'tao 龙族印记蝮鳞手套
'lu'lin'hao'xia'jin'guang'jie'zhi 绿林豪侠金光戒指
'lu'mang'fang'yu'fang'pin'gu'lan'zhu'bao 鲁莽防御仿品钴蓝珠宝
'lu'mang'fang'yu'gu'lan'zhu'bao 鲁莽防御钴蓝珠宝
'lu'mi'de'ling'yao'fang'pin'jian'yan'yao'ji 鲁米的灵药仿品坚岩药剂
'lu'mi'de'ling'yao'jian'yan'yao'ji 鲁米的灵药坚岩药剂
'lu'ming'zhi'feng'quan'gui'zhi'jian 掳名之锋权贵之剑
'luan'shi'zhi'xian'an'ying'gong 乱矢之弦暗影弓
'luan'shi'zhi'yi'ai'zi'mai'ju'fu 乱世之翼艾兹麦巨斧
'luan'shi'zhi'yi'fang'pin'ai'zi'mai'ju'fu 乱世之翼仿品艾兹麦巨斧
'lun'hui'de'meng'yan'mi'cao'shen'dian 轮回的梦魇密草神殿
'lun'hui'he'xie'mo'dun 轮回和谐魔盾
'luo'li'de'xing'yun'zhi'deng'san'xiang'jie'zhi 罗里的幸运之灯三相戒指
'luo'mi'la'de'qian'li'zhi'huan'bao'zuan'jie'zhi 罗米拉的潜力之环宝钻戒指
'luo'si'zhi'chu'fan'qu'gong 萝丝之触反曲弓
'lv'teng'fang'pin'xiu'mu'zhi'gan 绿藤仿品朽木之干
'lv'teng'xiu'mu'zhi'gan 绿藤朽木之干
'ma'he'suo'tuo'zhi'zha'leng'gang'yuan'dun 马赫索托之诈冷钢鸢盾
'ma'la'kai'de'ji'ju'tie'duan'zhi'mian 玛拉凯的祭具铁锻之面
'ma'la'kai'de'qiao'ji'fang'pin'qian'neng'zhi'jie 玛拉凯的巧技仿品潜能之戒
'ma'la'kai'de'qiao'ji'qian'neng'zhi'jie 玛拉凯的巧技潜能之戒
'ma'la'kai'de'yuan'jian'ling'zhu'zhan'guan 玛拉凯的远见领主战冠
'ma'la'kai'zhi'ji'an'ying'zhe'hu'shou 马拉凯之记暗影者护手
'ma'lei'ge'luo'de'can'ku'qing'yu'hu'shen'fu 马雷格罗的残酷青玉护身符
'ma'lei'ge'luo'de'mei'hong'shou'tao'lu'pi'shou'tao 马雷格罗的玫红手套鹿皮手套
'ma'lei'ge'luo'de'ran'xue'tou'jing'fu'he'ci'dun 马雷格罗的染血透镜复合刺盾
'ma'lei'ge'luo'de'ran'xue'zhi'huan'kou'lian'yao'dai 马雷格罗的染血之环扣链腰带
'ma'li'lin'de'hu'ti'zhi'fu'hai'yu'hu'shen'fu 玛莉琳的护体之符海玉护身符
'ma'luo'ni'de'ji'qiao'fang'pin'hua'mei'jian'dai 马洛尼的技巧仿品华美箭袋
'ma'luo'ni'de'ji'qiao'hua'mei'jian'dai 马洛尼的技巧华美箭袋
'ma'luo'ni'de'mu'guang'e'shi'jian'dai 马洛尼的暮光恶矢箭袋
'ma'qi'na'hu'shou'an'ying'zhe'hu'shou 马奇纳护手暗影者护手
'ma'ta'zhi'zhi'jiao'ka'lu'duan'zhang 玛塔之指教卡鲁短杖
'man'li'chong'zhuang'gu'lan'zhu'bao 蛮力冲撞钴蓝珠宝
'man'yi'zhi'jia'fang'pin'quan'gui'huan'jia 满溢之甲仿品权贵环甲
'man'yi'zhi'jia'quan'gui'huan'jia 满溢之甲权贵环甲
'mei'de'wei'de'de'tiao'zhan'fu'wen'shou'jia 梅德维德的挑战符文手甲
'mei'huo'fang'pin'wa'er'zhan'zhao 魅惑仿品瓦尔战爪
'mei'huo'wa'er'zhan'zhao 魅惑瓦尔战爪
'mei'ji'nuo'de'de'ju'li'wan'jia'leng'gang'hu'shou 梅吉诺德的巨力腕甲冷钢护手
'mei'ji'nuo'de'de'li'liang'quan'yuan'zhong'ge'yao'dai 梅吉诺德的力量泉源重革腰带
'mei'yan'wa'er'zhi'xiang 美艳瓦尔之相
'meng'yu'zhi'hen'lan'yu'jie'zhi 梦语之痕蓝玉戒指
'mi'fa'jun'lin'jun'tuan'chang'jian 秘法君临军团长剑
'mi'mang'huan'fu'bai'jin'bo'ren 迷茫幻符白金波刃
'mi'rong'wa'er'zhi'mian 谜容瓦尔之面
'mi'wu'zhi'qiang'fang'pin'qi'cai'qing'dun 迷雾之墙仿品漆彩轻盾
'mi'wu'zhi'qiang'qi'cai'qing'dun 迷雾之墙漆彩轻盾
'mie'shi'huang'jia'lie'gong 灭世皇家猎弓
'min'guang'shou'yi'fang'pin'jin'li'zhi'jia 泯光寿衣仿品禁礼之甲
'min'guang'shou'yi'jin'li'zhi'jia 泯光寿衣禁礼之甲
'min'rui'si'wei'ni'zong'duan'xue 敏锐思维匿踪短靴
'ming'en'de'hui'xin'zi'jing'jie'zhi 明恩的慧心紫晶戒指
'ming'quan'can'zhi'xue'se'duan'zhang 冥犬残肢血色短杖
'ming'shi'zhi'qin'si'wang'zhi'gong 冥使之琴死亡之弓
'ming'shi'zhi'ti'xing'mang'zhan'kai 冥使之体星芒战铠
'ming'yue'fang'pin'fu'wen'fa'zhang 冥约仿品符文法杖
'ming'yue'fu'wen'fa'zhang 冥约符文法杖
'ming'yun'zhi'feng'e'ling'chang'zhang 命运之风恶灵长杖
'ming'yun'zhi'kang'zheng'hai'ling'hu'shen'fu 命运之抗争海灵护身符
'ming'zhong'zhu'ding'hai'ling'jie'zhi 命中注定海灵戒指
'mo'bao'zhi'hen'ji'gong 魔暴之痕脊弓
'mo'dao'zhi'yi'hua'li'huan'jia 魔道之衣华丽环甲
'mo'kao'zhi'yong'hong'yu'jie'zhi 莫考之拥红玉戒指
'mo'li'feng'bao'ruan'xiang'mo'dun 魔力风暴软橡魔盾
'mo'ling'zhi'fu'hai'ling'hu'shen'fu 魔灵之符海灵护身符
'mo'mie'mo'xing'fa'zhang 抹灭魔性法杖
'mo'xie'de'hu'huan'zhong'shi'jian'dai 魔蝎的呼唤重矢箭袋
'mo'zu'zhi'yu'chen'xi'mu'di 魔诅之域晨曦墓地
'mu'guang'gu'miao'yue'ying'shen'dian 暮光古庙月影神殿
'mu'qin'de'yong'bao'zhong'ge'yao'dai 母亲的拥抱重革腰带
'nai'ke'da'zhi'deng'shui'jing'duan'zhang 奈可妲之灯水晶短杖
'nan'fang'lei'ting'sheng'zhang'di'guo'chang'zhang 南方雷霆圣杖帝国长杖
'nan'fang'zhan'shi'shou'tao 南方战士手套
'nan'jue'hu'mian'kui 男爵护面盔
'nao'ceng'fang'pin'huan'jing'di'tu 脑层仿品幻境地图
'nao'ceng'huan'jing'di'tu 脑层幻境地图
'nao'luan'zhe'lu'hun'zhong'chui 脑乱者戮魂重锤
'nei'bu'li'si'fang'pin'xu'ying'duan'zhang 内布利斯仿品虚影短杖
'nei'bu'li'si'xu'ying'duan'zhang 内布利斯虚影短杖
'nei'xin'zhi'zheng'xiang'zhi'ding'ji 内心之争橡枝酊剂
'nei'xing'zhi'guan'zhen'yan'zhan'guan 内省之冠箴言战冠
'neng'liang'jian'jia'chi'hong'zhu'bao 能量坚甲赤红珠宝
'ni'bu'luo'ke'meng'yan'zhi'chui 尼布洛克梦魇之锤
'ni'mi'si'huang'yu'jie'zhi 尼米斯黄玉戒指
'nie'wa'li'wu'si'de'chuan'cheng'shi'bu'yao'dai 涅瓦里乌斯的传承饰布腰带
'ning'xi'fang'pin'kou'lian'yao'dai 凝息仿品扣链腰带
'ning'xi'kou'lian'yao'dai 凝息扣链腰带
'niu'hun'zhe'ai'zi'mai'chang'zhang 扭魂者艾兹麦长杖
'niu'qu'de'yao'yuan'hui'yi'huan'jing'di'tu 扭曲的遥远回忆幻境地图
'niu'qu'zhi'guan'zhu'fu'fu'he'yao'ji 扭曲之罐祝福复合药剂
'nu'ge'ma'hu'zhi'yao'shen'yuan'ju'fu 努葛玛呼之耀深渊巨斧
'nu'ge'ma'hu'zhi'yin'hong'yu'jie'zhi 努葛玛呼之印红玉戒指
'nu'huo'zhong'shao'cui'lv'zhu'bao 怒火中烧翠绿珠宝
'nu'li'fan'zi'zhi'shou'fu'ji'hu'shou 奴隶贩子之手伏击护手
'nu'luo'de'shu'qin'xian'qu'zhe'zhi'gong 努罗的竖琴先驱者之弓
'nu'yi'zhi'suo'zhong'ge'yao'dai 奴役之索重革腰带
'nuo'fu'zhi'lian'kou'lian'yao'dai 懦夫之链扣链腰带
'nuo'fu'zhi'yi'kou'lian'yao'dai 懦夫之遗扣链腰带
'nuo'mi'ke'de'feng'bao'kou'huan'duan'xue 诺米克的风暴扣环短靴
'nuo'zhe'de'shi'yan'zhou'yuan'ling'mu 懦者的试验咒怨陵墓
'nv'jue'jiu'jun'dao 女爵旧军刀
'nv'shen'de'en'dian'zhen'yan'fa'zhang 女神的恩典箴言法杖
'nv'shen'de'ling'fu'jing'gu'xi'ren 女神的灵缚鲸骨细刃
'nv'shen'de'nu'yan'gui'zu'zhi'jian 女神的怒炎贵族之剑
'nv'wang'de'ji'e'wa'er'fa'yi 女王的饥饿瓦尔法衣
'nv'wu'ke'xing'gu'lan'zhu'bao 女巫克星钴蓝珠宝
'nv'wu'shen'yue'guang'shi'jie'zhi 女武神月光石戒指
'ou'ba'de'zhou'yuan'bao'ku'bin'hai'you'xue 欧霸的咒怨宝库滨海幽穴
'ou'ba'la'de'jian'shou'man'pi'duan'xue 欧巴拉的坚守鳗皮短靴
'ou'hui'huo'ya'zhi'mian 鸥喙祸鸦之面
'ou'luo'de'gong'pin'fang'pin'yu'yan'zhong'jian 欧罗的贡品仿品狱炎重剑
'ou'luo'de'gong'pin'yu'yan'zhong'jian 欧罗的贡品狱炎重剑
'ou'luo'shen'de'jue'xin'jian'tie'yao'ji 欧罗什的决心坚铁药剂
'ou'luo'shen'de'zhi'kong'fu'wen'hu'tui 欧罗什的指控符文护腿
'ou'si'ka'mu'sha'ying'shou'tao 欧斯卡姆砂影手套
'ou'tu'su'bu'yao'dai 呕吐素布腰带
'pan'shan'ju'shou'xing'mang'zhan'kai 蹒跚巨兽星芒战铠
'pi'si'ka'tuo'de'hui'yan'mo'xing'fa'zhang 皮斯卡托的慧眼魔性法杖
'ping'heng'leng'jing'yuan'shi'jian'dai 平衡棱镜原矢箭袋
'ping'zhong'xin'yang'liu'huang'yao'ji 瓶中信仰硫磺药剂
'po'kui'er'zhi'zhi'di'jin'hu'shen'fu 珀奎尔之趾帝金护身符
'po'lie'sui'pian'fei'hong'yuan'dun 破裂碎片绯红圆盾
'po'luo'de'bi'hu'feng'mu'yuan'dun 破落的庇护枫木圆盾
'po'mie'zhi'xi'you'xia'gong 破灭之希游侠弓
'po'qi'xin'yang'mi'shu'fa'yi 破弃信仰秘术法衣
'po'sui'chuan'cheng'zhe'she'wen'chang'zhang 破碎传承者蛇纹长杖
'po'sui'xin'nian'wei'neng'yuan'dun 破碎信念威能鸢盾
'po'xiao'zhe'ju'xing'ta'dun 破晓者巨型塔盾
'pu'la'ke'si'hai'ling'jie'zhi 普拉克斯海灵戒指
'pu'lan'de'si'qi'yue'san'xiang'zhu'bao 普兰德斯契约三相珠宝
'pu'lan'de'si'zhi'hui'song'mu'qing'dun 普兰德斯之徽松木轻盾
'pu'lan'de'si'zhi'ji'hai'ling'jie'zhi 普兰德斯之记海灵戒指
'pu'lan'de'si'zhi'yin'shi'bu'yao'dai 普兰德斯之印饰布腰带
'pu'teng'bo'de'cao'yuan'huang'yu'jie'zhi 普藤博的草原黄玉戒指
'pu'teng'bo'de'gao'shan'huang'yu'jie'zhi 普藤博的高山黄玉戒指
'pu'teng'bo'de'shan'gu'huang'yu'jie'zhi 普藤博的山谷黄玉戒指
'qi'hei'teng'zhang'huang'jia'duan'zhang 漆黑藤杖皇家短杖
'qi'hei'tian'ding'si'chou'shou'tao 漆黑天顶丝绸手套
