'a'di'xia'hong'guang'xing'pai 阿底峡弘广行派
'jie'jiu'bu'fang'yi'fen'zhi 戒酒不放逸分支
'jie'lv'gen'ben'si'ta'sheng 戒律根本四他胜
'jie'mo'jie'shi'zhu'shou'shi 羯磨戒施主受食
'jie'nei'li'fo'xiang 界内礼佛像
'jie'tuo'shi'yi'jue'wu'jin'you'yi 解脱时亦绝无仅有矣
'jie'wei'da'ci'da'bei'zhi'dui'jing 皆为大慈大悲之对境
'jin'duo'wei'xiu'hu'yan'zhe 今多未修胡言者
'jin'gang'chi'zhong'yi'ying'she'qi'bi 金刚持众亦应舍弃彼
'jin'sheng'zhi'zhong'zao'bu'xing 今生之中遭不幸
'jin'shi'li'zong'xiu'li'sheng 仅是立宗修力生
'jin'shuo'zhi'fen'zhi'cu'duo 今说支分之粗堕
'jin'ti'tou'fa'pi'hong'huang'seng'yi 仅剃头发披红黄僧衣
'jin'xing'fen'zhi'nai'zhai'jie 禁行分支乃斋戒
'jin'yi'yi'nian'xiang'shou'yin'shi'shi 仅以意念享受饮食饰
'jin'yin'xing'wei'jian'xiang'he 近因行为渐相合
'jin'zhi'pai'qi'fei'fa'shi 禁止牌棋非法食
'jing'chu'tong'zuo'yu'hu'li 静处同坐与忽立
'jing'hua'zhuang'yan'xu'zhong'shuo 精华庄严续中说
'jing'jin'er'feng'xing 精进而奉行
'jing'jin'xing'shan'fa 精进行善法
'jing'jin'xiu'chi'zhi'hui'mi'dao'shi 精进修持智慧密道时
'jing'li'yuan'man'fo 敬礼圆满佛
'jing'qin'dui'zhi'da'fan'nao 精勤对治大烦恼
'jing'qin'er'song'jing 精勤而诵经
'jing'qin'wu'yi'zhu'ri'jian'shuai'sun 精勤无义逐日渐衰损
'jing'shen'jin'gang'chi'fo'guo 净身金刚持佛果
'jing'shi'jia'zhi'yi'zu'liang 境时价值已足量
'jing'shuo'zhong'zhong'shan'ju'miao'gong'de 经说种种善聚妙功德
'jing'xing'meng'han'shui'shuang'yun 净醒梦酣睡双运
'jing'yan'xu'shuo'hai'jing'gui 精严续说还净轨
'jing'zhong'heng'yi'zheng'zhi'nian 敬众恒依正知念
'jiu'cheng'ci'di'chuan'li'xing 九乘次第传利行
'jiu'jing'duan'jue'bi'ming'gen 究竟断绝彼命根
'jiu'jing'huo'de'le'gan'shou 究竟获得乐感受
'jiu'jing'ta'dong'bi'wang'yu 究竟他懂彼妄语
'jiu'jing'zi'dao'ling'ta'qie 究竟自盗令他窃
'jiu'neng'zeng'zui'ye 酒能增罪业
'ju'bi'qiu'jie'sha'mi'jie 具比丘戒沙弥戒
'ju'chu'li'xin'shan'yuan'shi 具出离心善缘士
'ju'de'zhe'de'jing'jie'ru'yi'bao 具德者得净戒如意宝
'ju'ji'shu'yi'ruo'xiao'zhong'yin'shen 聚集数亿弱小中阴身
'ju'ji'you'po'jie 据己有破戒
'ju'jie'cheng'fang'yi 具戒成放逸
'ju'jie'cheng'li'yi 具戒成利益
'ju'jie'da'shi'lai'shi'sheng'he'chu 具戒大士来世生何处
'ju'jie'da'shi'zhuang'yan'wu'liang'gong 具戒大士庄严无量宫
'ju'jie'jiang'sheng'guang'da'lian'hua'zhong 具戒将生广大莲花中
'ju'jie'shan'shi'ru'yi'shu'yuan'zhong 具戒善士如意树园中
'ju'jie'zhe'bu'shi 具戒者不食
'ju'jie'zhe'xiang'sha 具戒者想杀
'ju'jie'zhi'shi'zu'xia'jian'ta'chen 具戒之士足下践踏尘
'ju'jing'hui'shen'zhuan'zhu'gu 聚精会神撰著故
'ju'ju'shi'jie'chi'ming'zhe 具居士戒持明者
'ju'shi'ci'di'wei'mi'zong 居士次第为密宗
'ju'shi'sui'fei'you'bu'shuo 居士虽非有部说
'ju'si'dao'shi'ji'e'zhi'zhong'sheng 具四倒识饥饿之众生
'ju'tan'yu'zhe'man'ye'shou'tong'ku 具贪愚者满业受痛苦
'ju'tong'shan'shuo'ru'hai'jie 具通善说如海戒
'ju'wei'zi'ji'suo'yong'you 据为自己所拥有
'ju'xiang'shi'qian'yi'shou'li'le'yuan 具相师前已受利乐源
'ju'you'chu'li'xin'de'a'li'ban'zhi'da 具有出离心的阿里班智达
'ju'you'yuan'fen'shang'gen'zhe 具有缘分上根者
'ju'yuan'jing'jie'da'shi'deng'liu'guo 具缘净戒大士等流果
'ju'zheng'nian'shan'xin 具正念善心
'ju'zheng'nian'wu'guo 具正念无过
'ju'zu'shou'yong'cai'ru'hua'le'tian 具足受用财如化乐天
'ju'zu'wu'nian'wu'lou'zhi'jie'lv 具足无念无漏之戒律
'ju'zu'xiang'hao'shu'sheng'zhuang'yan'shen 具足相好殊胜庄严身
'jue'di'zuo'ke'chao'si'yue 掘地做客超四月
'jue'ding'bu'wei'wei'yuan'suo'zhuan'bian 决定不为违缘所转变
'jue'xu'shi'lun'jin'gang'yan 橛续时轮金刚言
'jun'cheng'duo'zui'ye 均成多罪业
'jun'duan'huo'xiang'zhi'zhe'tong 均断惑相智者同
'jun'zhong'guo'su'yu'zheng'jun 军中过宿与整军
'kai'xu'wu'zui'shi'san'tiao 开许无罪十三条
'ke'shi'mi'er'you'bu'shi 克什米尔有部师
'ke'yong'zhi'shui'hou 可用之水后
'kong'bu'yan'luo'zu'yi'ran'shao'sha 恐怖阎罗卒以燃烧沙
'kong'bu'yu'zu'meng'hu'da'sha'sheng 恐怖狱卒猛呼打杀声
'kong'le'jue'shou'mo'hu'nai'si'cha 空乐觉受模糊乃伺察
'kou'chu'e'yu'xiu'mo'fa 口出恶语修魔法
'kou'zhong'han'shi'er'yan'yu 口中含食而言语
'lao'da'pen'ti'li 老打喷嚏礼
'lao'deng'chi'jie'zhe 老等持戒者
'lao'si'zhi'shi'sheng'qi'da'hui'xin 老死之时生起大悔心
'le'shou'ze'shi'jie 乐受则失戒
'le'zhi'ci'li'hou 了知此理后
'le'zhi'san'bao'zong'ji'zhi'ben'ti 了知三宝总集之本体
'li'dui'jing'chu'ke'li'bo 离对静处可离钵
'li'ji'chi'jie'zhe 利己持戒者
'li'ji'zhe'bu'yin 利己者不饮
'li'kai'fa'yi'guo'yi'ye 离开法衣过一夜
'li'le'xian'shi'jie'dang'hang 利乐现世皆当行
'li'ming'deng'zhi'shi'wu'shi 离名等执实无实
'li'ming'zhi'zhong'wu 黎明至中午
'li'ta'shen'yu'qi'bu'shan 利他身语七不善
'lian'hua'bu'ye'fa'shi'yan 莲花部业法誓言
'lian'sheng'jin'gang'zhong'sheng'shi'qian'li 莲生金刚众生师前礼
'lian'shi'zi'zong'tong'long'meng 莲师自宗同龙猛
'lian'zu'shu'zu'lu'xing'zuo 敛足舒足露形坐
'liang'xing'tong'sheng'san'ci'bian 两性同生三次变
'liang'zu'duo'zu'zhong 两足多足众
'lie'yuan'nan'hua'ci'di'zhi 劣缘难化次第知
'lin'se'bu'shi'cai'yu'fa 吝啬不施财与法
'ling'bi'qiu'wei'cang'bi'wu 令比丘畏藏彼物
'ling'cheng'bi'qiu'xing'hui'lu 令惩比丘行贿赂
'ling'fang'zhi'cheng'fang'zhi'wu 令纺织成纺织物
'ling'huan'su'deng'zao'wu'jian 令还俗等造无间
'ling'ni'bai'kai'di'yang'mao 令尼掰开涤羊毛
'ling'qi'mu'qiu'sheng'wen'cheng 令其慕求声闻乘
'ling'sha'sui'xi'zan'tan'deng 令杀随喜赞叹等
'ling'ta'ren'qu'shou 令他人取受
'liu'nian'wei'guo'zuo'xin'ju 六年未过做新具
'long'shu'pu'sa 龙树菩萨
'long'shu'pu'sa'zhu 龙树菩萨著
'luo'cha'nv'deng'zui'ye'zhe 罗刹女等罪业者
'lv'qi'deng'guan'shui 滤器等观水
'lv'qi'guo'lv'shui 滤器过滤水
'mei'ming'fei'fan'piao'yang'san'you'jie 美名飞幡飘扬三有界
'mei'wei'yin'shi'yi'shi'deng'cai'wu 美味饮食衣饰等财物
'mei'yi'yi'zhi'liu'ge'er 每一一至六各二
'meng'li'qi'dao'shang'shi'lian'hua'sheng 猛厉祈祷上师莲花生
'meng'zhong'duo'zui'de'chan'jing 梦中堕罪得忏净
'mi'le'pu'sa'zuo'jie'ji 弥勒菩萨作结集
'mi'yan'sha'zhong'shuo'xu'bu 密严刹中说续部
'mian'deng'fang'yi'yi'bu'duan 眠等放逸亦不断
'ming'an'man'zu'bang'shi'si 明暗满足谤十四
'ming'cheng'shi'ba'shi'shi'si 名称十八实十四
'ming'dian'yu'jia'wu'er'xu 明点瑜伽无二续
'ming'fu'qi'shi'ju'you'shan'yuan'zhe 名副其实具有善缘者
'ming'shuo'yin'yu'tan'nv'zan 明说淫语贪女赞
'ming'zhi'wang'shuo'bi'qiu'guo 明知妄说比丘过
'mo'hai'mao'niu'deng 莫害牦牛等
'mo'hai'zhu'sheng'ling 莫害诸生灵
'mo'hui'shen'jie'lv 莫毁身戒律
'mo'liang'yu'jiao'mu 磨粮与酵母
'mo'ne'wa'ma 莫讷瓦玛
'mo'shi'hui'fu'fang'fa'si 末失恢复方法四
'mo'shuo'shi'er'hui'fu'fa 末说失而恢复法
'mo'shuo'shi'jie'hui'fu'li 末说失戒恢复理
'mo'shuo'wen'ku'nao 莫说闻苦恼
'mo'yan'zhi'shi'liang 默言知食量
'mo'yi'jin'deng'shi 莫以金等饰
'mu'bu'tong'bu'tu 目不痛不涂
'mu'yu'ci'di'jue'huo'fen 沐浴次第绝火焚
'na'mo'ge'ri'wei 那莫革日巍
'nai'da'shu'fu'hui'jie'lv 乃大束缚毁戒律
'nai'jin'gang'bu'zhi'shi'yan 乃金刚部之誓言
'nai'ping'fan'ren'ba'ding'zui 乃平凡人八定罪
'nai'shi'mi'zong'zhi'fen'zhi 乃是密宗之分支
'nai'wei'qian'hou'gong'tong'dao 乃为前后共同道
'nai'wei'shi'lun'jin'gang'shuo 乃为时轮金刚说
'nai'zhi'xin'wei'mie'jin'qian 乃至心未灭尽前
'nan'nv'huo'shi'nv 男女或石女
'nan'nv'ju'shi'zai'jia'fang 男女居士在家方
'nan'nv'sha'mi'zheng'xue'nv 男女沙弥正学女
'nei'bu'xiang'wei'wu'za'hu 内不相违无杂护
'nei'wai'mi'cheng'wu'shang'zong 内外密乘无上宗
'nei'xin'wei'qiu'jin'sheng'zhi'mei'ming 内心唯求今生之美名
'ni'ba'ta'sheng'nian'seng'can 尼八他胜廿僧残
'nian'cheng'zi'ta'li'yi'shuo 念成自他利益说
'nian'zhou'san'wan'liu'qian'jing 念咒三万六千净
'ning'ru'du'she'kou 宁入毒蛇口
'ou'da'bi'qiu'yu'ni'da 殴打比丘与拟打
'pai'wang'si'wang'chu 派往死亡处
'pang'da'rou'nen'lie'shen'dao'zai'xing 庞大柔嫩劣身倒栽行
'pang'sheng'di'yu'zhong 旁生地狱众
'pei'cheng'zhi'jiu'fen 配成汁酒粉
'pi'dan'zhi'jian'shou'fu'jian 披单至肩手拊肩
'pi'jia'zhe'qian'bu'shuo'fa 披甲者前不说法
'ping'deng'bu'ran'chen 瓶等不染尘
'ping'fu'da'fu'xing 瓶腹大腹行
'ping'mi'zhi'hui'si'guan'ding 瓶密智慧四灌顶
'po'jie'guo'huan'chi'jie'zhi'gong'de 破戒过患持戒之功德
'po'jie'lie'ren'shen'chuan'li'ge'shang 破戒劣人身穿利戈上
'po'jie'tong'zi'ran'shao'tie'shi'zhong 破戒童子燃烧铁室中
'po'jie'yu'zhe'kong'bu'e'gui'zhong 破戒愚者恐怖饿鬼中
'po'jie'ze'tong'ku 破戒则痛苦
'po'seng'sui'shun'po'seng'wei 破僧随顺破僧违
'pu'bi'le'shou'sheng'guo'tian'ren'xiang 扑鼻乐受胜过天人香
'qi'chuang'guang'ming'xiang 起床光明想
'qi'dao'sheng'zhe'xu'kong'cang 祈祷圣者虚空藏
'qi'heng'sheng'qi'jing'xin'zhen'huan'xi 其恒生起敬心真欢喜
'qi'jian'ke'jin'can 期间可进餐
'qi'pian'ying'gong'ling'sheng'hui 欺骗应供令生悔
'qi'xin'er'chu'jia 起信而出家
'qi'xin'zao'yu'tian'mo'qiu'cai'wu 其心遭遇天魔求财物
'qi'yu'zhi'fa'nan'yi'hui'mie'zhi 其余之法难以毁灭之
'qi'zhi'gong'yi'yuan'xing'xin 七支供已愿行心
'qian'bei'zu'shi'da'de'xiu'xi'chu 前辈祖师大德修习处
'qian'shi'wu'zhun'fu'qu'yong 前施无准复取用
'qian'wei'ceng'shou'yuan'man'jie 前未曾受圆满戒
'qian'xing'zi'xing'dao'bian'yuan 前行自行道边缘
'qian'yi'chuan'cheng'jing'ming'shi 前译传承静命师
'qian'yi'pu'ji'xu'zhong'shuo 前译普集续中说
'qian'you'cai'fu'hao'jin'ru'shui'pao 前有财富耗尽如水泡
'qian'zao'hui'chan'ru'fu'du 前造悔忏如服毒
'qiang'po'ya'zhi'zhong 强迫压制中
'qiang'zuo'shi'jia'zhe'jing'li 强坐食家遮静立
'qie'chuan'mu'yu'shui 窃船木与税
'qie'mo'yan'qi'yu 切莫言绮语
'qin'duan'zhu'yu'guo 勤断诸语过
'qin'fen'bu'shui'mian 勤奋不睡眠
'qin'guan'qu'she'shi'yan'chu 勤观取舍誓言处
'qin'ji'zi'xiu'pu'ti'xin 勤积资修菩提心
'qing'cao'shang'sa'bu'jing'wu 青草上撒不净物
'qing'jing'fen'bie'yu'yi'guang'ming'zhi 清净分别喻义光明智
'qing'man'guan'bo'wu'shou'chu 轻慢观钵污手触
'qing'qiu'zhong'hui'suo'yi'qian 请求众会所依前
'qing'seng'xia'wu'guo'san'hu 请僧下午过三户
'qing'shang'shi'yong'can 请上师用餐
'qing'shi'wei'xing'wei'jiao'er 轻视违行违教二
'qing'wu'di'hui'cui'can'ba 轻侮诋毁摧残八
'qing'wu'kan'bu'san'shi'hui 轻侮堪布三失毁
'qing'wu'rao'luan'qi'nei'xin 轻侮扰乱其内心
'qing'xi'bo'yu'deng 清洗钵盂等
'qing'xi'shang'shi'zu 清洗上师足
'qiu'xue'zhong'shi'dang'ju'yu'ci'chu 求学众士当聚于此处
'qu'jie'da'xiao'bian 去解大小便
'qu'jin'jue'di'ti'yin'mao 取金掘地剃阴毛
'qu'ru'jin'gang'chi'dao'zhe 趋入金刚持道者
'qu'she'hei'bai'yuan'xin'jie 取舍黑白愿心戒
'qu'zhu'bi'qiu'nao'ya'zhi 驱逐比丘恼压制
'quan'she'yuan'xing'er'fa'xin 全摄愿行二发心
'quan'zhi'long'qin'rao'jiang'yan 全知龙钦绕降言
'qun'bian'shang'fan'ru'xiang'bi 裙边上翻如象鼻
'qun'bu'qi'yuan'guo'gao'xia 裙不齐圆过高下
'ran'bei'shi'jing'wai'yuan'suo'zhuan'bian 然被时境外缘所转变
'ran'er'ru'xin'ci'ai'er'gui'you 然而如心慈爱二轨友
'ran'er'wei'ci'zui'qing'wei 然而谓此罪轻微
'ran'er'yi'qie'jun'ke'zao 然而一切均可造
'ran'huan'yi'wan'dou'fen'xu'zhou'le 然换一碗豆粉许骤乐
'ran'ju'zhi'hui'wei'zhu'yao 然具智慧为主要
'ran'ru'wo'deng'wang'xi'ye'suo'gan 然如我等往昔业所感
'ran'ruo'fan'yi'yan'zhong'zui 然若犯一严重罪
'ran'shang'po'jie'guo'huan'fo'yi'ze 染上破戒过患佛亦责
'ran'shang'po'jie'guo'huan'wu'xin'zhe 染上破戒过患无心者
'ran'yi'hui'zao'e'mo'zhi'wei'hai 然亦会遭恶魔之危害
'ran'yi'qing'jing'shan'yuan'shou'jie'zhe 然以清净善愿守戒者
'ran'yi'tan'xin'yan'kan'shao'nv'xing 然以贪心眼看少女行
'ran'zheng'shou'qian'shou'qi'jie 然正受前受七戒
'rao'yi'you'qing'jie'si'she 饶益有情戒四摄
'ren'fei'ren'ye'deng 人非人耶等
'ren'he'suo'zuo'suo'wei'zhong 任何所作所为中
'ren'shou'wu'fa'heng'liang'jie'tuo'shi 人寿无法衡量解脱时
'ru'bu'fu'du'hou'jie'zui 如不服毒后戒罪
'ru'ci'neng'sheng'fu'xia'jie 如此能胜伏下戒
'ru'ci'yan'zhong'yu'mei'cheng'ke'xiao 如此严重愚昧诚可笑
'ru'da'sheng'zhe'mei'ming'bian'shi'gu 如大圣者美名遍世故
'ru'du'yi'yao'jing'jin'xing 如毒依药精进行
'ru'jin'liu'dao'zhong'sheng'wu'du'shan 如今六道众生五毒山
'ru'lai'bu'yi'jiu'wu'rou 如来部依酒五肉
'ru'lai'jin'gang'bao'lian'hua 如来金刚宝莲花
'ru'lai'yu'jia'bu'shi'yan 如来瑜伽部誓言
'ru'meng'yao'dian'bu'xiang'wei 如梦要点不相违
'ru'nei'shang'shi'qian 入内上师前
'ru'ruo'wei'fan'gen'ben'jie 如若违犯根本戒
'ru'shi'bu'zuo'dian 如是不坐垫
'ru'shi'chuan'fei'yong 如是船费用
'ru'shi'gong'tong'xia'er'jie 如是共同下二戒
'ru'shi'huan'bing'zhe 如是患病者
'ru'shi'shen'si'hou 如是深思后
'ru'shi'si'zhong'tan'cheng'zhong 如是四种坛城中
'ru'shi'su'qing'xing 如是速清醒
'ru'shi'ying'dang'xiu'xue'bi 如是应当修学彼
'ru'shi'zao'lun'zhong'zhong'yu'shan'shuo 如是造论种种语善说
'ru'shi'zhou'ye'liu'zuo'zhong 如是昼夜六座中
'ru'tong'zhen'bao'ying'luo'mei'shi'jie 如同珍宝璎珞美饰戒
'ru'wo'zhuo'ren'zhi'xing'xin'sheng'yan 如我浊人之行心生厌
'ru'xiang'nang'yu'she'tou'zhuang 如香囊与蛇头状
'ru'yi'yao'yi'meng'li'xin 如依药以猛厉信
'ruo'bu'qing'shi'shi 若不请示师
'ruo'chi'zheng'wu'da'yuan'jin'gang'zuan 若持证悟大圆金刚钻
'ruo'hui'duo'ru'jin'gang'di'yu'zhong 若毁堕入金刚地狱中
'ruo'jin'kai'xu'li'zhe'zhi 若近开许离遮止
'ruo'ju'chu'li'zhi'jie'lv 若具出离之戒律
'ruo'ju'ci'deng'ding'cheng'zui'hou'you 若具此等定成最后有
'ruo'sha'ze'huo'de 若杀则获得
'ruo'shi'chu'yi'sheng'ci'di 若失除以生次第
'ruo'shi'suo'yi'gan'lu'yue'ming'dian 若失所依甘露月明点
'ruo'shi'xi'wei'ming'dian'zhi'ma'xu 若失细微明点芝麻许
'ruo'shuo'shi'jie'lv 若说失戒律
'ruo'si'wu'qi'yin'guo'bu'shu'fu 若思无欺因果不束缚
'ruo'su'ji'sheng'lin'zhong'shi 若速即生临终时
'ruo'wei'pu'ti'xin'she'chi 若为菩提心摄持
'ruo'wei'san'bao'zun 若为三宝尊
'ruo'wu'fu'cang'shuo'zhen'shi 若无覆藏说真实
'ruo'wu'jie'kai'mai'jie'deng'gong'de 若无解开脉结等功德
'ruo'wu'jing'jie'shou'hu'zi'xiang'xu 若无净戒守护自相续
'ruo'wu'lv'qi'deng 若无滤器等
'ruo'yan'wo'yi'de 若言我已得
'ruo'yin'shi'zheng'nian 若饮失正念
'ruo'ying'xu'zuo'fei'fan'xing 若应许作非梵行
'ruo'you'yu'xiu'jie'dao'shan'yuan'zhe 若有欲修捷道善缘者
'ruo'you'yu'xue'jing'jie'shan'yuan'zhe 若有欲学净戒善缘者
'ruo'yu'shu'sheng'fo'fa'qi'xin'xin 若于殊胜佛法起信心
'ruo'yue'san'nian'bu'neng'fu 若越三年不能复
'ruo'zeng'qu'chao'shang'xia'zhuang 若赠取超上下装
'ruo'zhu'shi'zhu'shi 若诸施主施
'ruo'zun'yi'sheng'zhu 若遵医生嘱
'san'bian'xing'zhe'huan'hua'wai 三变性者幻化外
'san'gui'deng'de'hou'shu'sheng 三皈等德后殊胜
'san'jie'ge'you'zong'yuan'qi 三戒各有总缘起
'san'jie'yi'ren'xiang'xu'zhong 三戒一人相续中
'san'ju'jing'er'de'qing'jing 三聚经而得清净
'san'lei'jie'ding'hui'san'xue 三类戒定慧三学
'san'nian'song'zhi'zui'hou'ci 三念诵之最后次
'san'qi'sa'san'jie'cheng'fo 三七卅三劫成佛
'san'qing'jing'di'yi'shu'xin 三清净地异熟心
'sen'lin'wei'chu'wei'cha'zei 森林畏处未察贼
'seng'zhong'hui'xiang'zhi'cai'wu 僧众回向之财物
'seng'zhong'shang'shi'wu'yuan'hen 僧众上师五怨恨
'seng'zhong'zuo'dian'deng 僧众坐垫等
'sha'hai'pang'sheng'ling'bi'qiu 杀害旁生令比丘
'sha'jiao'sheng'zhong'shen'tuo'tie'ci'yuan 杀叫声中身拖铁刺原
'sha'mi'mo'yu'shuo 沙弥莫愚说
'sha'mi'wu'shi'song 沙弥五十颂
'sha'mi'zhu'yi'gui 沙弥诸仪轨
'sha'mi'zi'ling'ta 沙弥自令他
'sha'niu'hai'tong'yu'nan'nv 杀牛孩童与男女
'sha'sheng'shi'hui'jie 杀生失毁戒
'sha'sheng'xie'yin'bu'yu'qu 杀生邪淫不予取
'sha'sheng'zhi'ji'shi'ta'ren 杀生之基识他人
'sha'ta'ren'shi'jie 杀他人失戒
'shan'chang'xi'zhong'xin'gou'zhi'xian'ren 擅长洗众心垢之仙人
'shan'fa'dui'zhi'xian'xing'li 善法对治现行力
'shan'lai'si'bai'wen'da'deng 善来四白问答等
'shang'deng'zhong'deng'yu'xia'deng 上等中等与下等
'shang'shi'jiao'yan'zi'ming'zhi 上师教言自明知
'shang'shi'qian'jian'shou'jin'yuan 上师前渐受近圆
'shang'shi'suo'zai'qian 上师所在前
'shang'shi'xun'wen'qi'wei'yuan 上师询问其违缘
'shang'xu'jie'kai'mai'jie'zhi'zhu'yuan 尚需解开脉结之助缘
'shang'yi'bu'yuan'gao'di'shi 上衣不圆高低十
'shang'you'wu'ren'ji'jing'zhi'shen'shan 上有无人寂静之神山
'shang'zhong'di'ci'di 上中底次第
'she'bie'jie'tuo'xue'da'cheng 舍别解脱学大乘
'she'duo'zui'you'san'shi'san 舍堕罪有三十三
'she'fa'cheng'ju'po'jie'zhe 舍法惩具破戒者
'she'jie'zhi'yin'hai'jie'si 舍戒之因还戒死
'she'pu'ti'xin'di'wu'tiao 舍菩提心第五条
'she'qi'suo'xue'yu'qie'ting 舍弃所学与窃听
'she'shan'fa'jie'xiu'liu'du 摄善法戒修六度
'she'yuan'xing'xin'gen'ben'zui 舍愿行心根本罪
'shen'guang'fa'men'sui'wu'liang 深广法门虽无量
'shen'ju'xu'duo'xiong'e'yan'luo'zhong 身居许多凶恶阎罗众
'shen'she'fen'mi'hui'guo'shi 伸舌分米毁过食
'shen'shen'chan'ding'ji'fang'sheng 甚深禅定及放生
'shen'ti'yu'yan'xiang'zheng'dou 身体语言相诤斗
'shen'yu'suo'sheng'zhi'yuan'gu 身语所生之缘故
'shen'yu'zuo'yu'bei 身语作预备
'shen'zhuo'wei'ran'huai'se'yi 身着未染坏色衣
'shen'zu'jiao'zu'yu'qiao'xi 伸足交足与翘膝
'sheng'cheng'bu'zhang'ai 声称不障碍
'sheng'ci'jue'huo'yu'yi'zhi 生次绝火喻义智
'sheng'fu'de'li'cheng'fo'zi 生福德力成佛子
'sheng'jie'suo'yi'chu'wai'dao 生戒所依除外道
'sheng'jie'suo'yi'tian'yu'long 生戒所依天与龙
'sheng'qi'ao'man'jing 生起傲慢境
'sheng'seng'qian'ding'li 圣僧前顶礼
'sheng'sheng'shi'shi'xun'ran'jie'miao'xiang 生生世世熏染戒妙香
'sheng'wen'cheng'bu'duan'tan'deng 声闻乘不断贪等
'sheng'wen'pu'sa'chi'ming'cheng 声闻菩萨持明称
'sheng'wen'yuan'jue'pu'sa'cheng 声闻缘觉菩萨乘
'sheng'xin'shang'shang'you'hai'xia 胜心上上有害下
'sheng'yi'mei'ri'sha'fan'zhi 生依每日杀梵志
'sheng'yi'yi'gui'er'de'shou 胜义依轨而得受
'sheng'yu'san'zhou'zhi'nan'nv 生于三洲之男女
'sheng'yuan'da'dao'cheng'zong'liu 声缘大道乘宗六
'sheng'zhuan'da'pi'po'sha'deng 圣撰大毗婆沙等
'shi'bi'qiu'ni'huan'fa'yi 使比丘尼浣法衣
'shi'bu'yu'shi'yu'xu'shi 食不予食与蓄食
'shi'da'ying'zhu'di'shi'tiao 十大应诛第十条
'shi'da'ying'zhu'feng'fen'bie 十大应诛风分别
'shi'gu'ci'tiao'shou'xian'shuo 是故此条首先说
'shi'gu'qu'shou'zhu'mi'yi 是故取受诸密意
'shi'gu'ren'yun'cheng'er'li 是故任运成二利
'shi'gu'shang'ju'xia'gong'de 是故上具下功德
'shi'gu'sui'yi'lue'yan'shu'ci'li 是故随意略言书此理
'shi'gu'ying'dang'shi'di'xiu 是故应当实地修
'shi'gun'quan'da'ji 石棍拳打击
'shi'hui'jie'lv'ye'zhong'zhi'you'qing 失毁戒律业重之有情
'shi'hui'shen'jing'ming'dian'lie'yuan'shi 失毁身精明点劣缘士
'shi'jia'shi'zi'jiao 释迦狮子教
'shi'jian'san'man'xian'xian'zan'shi'le 世间散漫显现暂时乐
'shi'jian'zhu'zhong'xuan'zhong'zhong'e'yan 世间诸众宣种种恶言
'shi'nv'deng'sheng'zhi'zhang'ai 石女等生之障碍
'shi'qi'ji'zhi'zhi'xiu'fa 使弃寂止之修法
'shi'qi'su'xiang'qu'seng'xiang 失弃俗相取僧相
'shi'qian'bu'lai'qu 师前不来去
'shi'qin'xu'wei'shang'zuo'zong 世亲许为上座宗
'shi'ren'xing'zhe'yu'jia'shi 世人行者瑜伽士
'shi'shang'wei'zhi'ji'shen'bo 食尚未至即伸钵
'shi'shi'duan'ci'er'shi'yi 食时断此二十一
'shi'shi'ze'yi'cai'chou'bu 失誓则以财酬补
'shi'shou'gua'bo'zhen'shou'shi 舐手刮钵振手食
'shi'shuo'yi'de'shang'ren'fa 实说已得上人法
'shi'si'duo'zui'ge'shu'ding 十四堕罪各数定
'shi'si'gen'ben'wu'bu'jie 十四根本五部戒
'shi'su'sheng'yi'pu'ti'xin 世俗胜义菩提心
'shi'wan'huan'hua'tian'nv'zan'gong'yang 十万幻化天女赞供养
'shi'xing'yu'jia'qu'wu'shang 事行瑜伽趋无上
'shi'xing'yu'jia'wai'san'xu 事行瑜伽外三续
'shi'xing'yu'jia'wu'shang'si 事行瑜伽无上四
'shi'xue'shan'huan'rao'de'cang'di'nan'fang'chu'sheng 是雪山环绕的藏地南方出生
'shi'ye'bu'shi'shuo'wang'yu 事业部誓说妄语
'shi'yong'ren'he'wu 使用任何物
'shi'yong'zhi'hou'fu'jin'can 食用之后复进餐
'shi'yu'fa'yi'ji'tong'hang 施予法衣及同行
'shi'zun'bei'min'ci'jie'liu'ren'jian 世尊悲悯此戒留人间
'shi'zuo'shi'wu'bi'xiang'yong 使作食物彼享用
'shou'chi'bi'zhi'gen'ben'shi'yan'gu 受持彼之根本誓言故
'shou'chi'ling'chu'shou'yin'shi 受持铃杵手印师
'shou'chi'nei'wai'mi'zhi'cheng 受持内外密之乘
'shou'chi'zhi'hui'lan'bao'shi'miao'ping 手持智慧蓝宝石妙瓶
'shou'ci'mie'tou'zhi'ku'you'he'gan 受此灭头之苦有何感
'shou'dang'qing'huan'kou 手当轻缓扣
'shou'fa'fen'er'jiu'yi'gui 受法分二旧仪轨
'shou'hu'san'jie'ru'yan'mu 守护三戒如眼目
'shou'ji'xian'qian'cheng'fo'zhen'huan'xi 授记现前成佛真欢喜
'shou'jie'dui'jing'xin'yi'gui 受戒对境心仪轨
'shou'ju'ye'zhi'ping 手掬叶置瓶
'shou'luo'ti'zhe'wang'guan'jun 授裸体者往观军
'shou'zhe'xin'jing'sheng'zhe'shi 受者心净圣者师
'shu'jing'ye'pi'shui 树茎叶皮水
'shua'ya'yu'yin'shui 刷牙与饮水
'shuai'lao'zhi'shi'yi'zeng'huan'xi'xin 衰老之时亦增欢喜心
'shui'qi'wei'wen'jian'wu'shui 水器未问溅污水
