'ai'bing 癌病
'liang'xing'xue'guan'wai'pi'xi'bao'liu 良性血管外皮细胞瘤
'liang'xing'ya'chi'yuan'xing'liu 良性牙齿源性瘤
'liang'xing'ye'zhuang'liu 良性叶状瘤
'liang'xing'ying'xian'wei'liu 良性硬纤维瘤
'liang'xing'zhong'liu 良性肿瘤
'liang'xing'zhong'shen'liu 良性中肾瘤
'lin'ba'guan'ji'liu 淋巴管肌瘤
'lin'ba'guan'ji'liu'bing 淋巴管肌瘤病
'lin'ba'guan'liu 淋巴管瘤
'lin'ba'guan'nei'xing'jian'zhi'yi'wei'zheng 淋巴管内性间质异位症
'lin'ba'guan'rou'liu 淋巴管肉瘤
'lin'ba'jiang'xi'bao'xing'e'xing'lin'ba'liu 淋巴浆细胞性恶性淋巴瘤
'lin'ba'liu 淋巴瘤
'lin'ba'rou'liu 淋巴肉瘤
'lin'ba'rou'liu'xi'bao'bai'xue'bing 淋巴肉瘤细胞白血病
'lin'ba'shang'pi'ai 淋巴上皮癌
'lin'ba'shang'pi'yang'lin'ba'liu 淋巴上皮样淋巴瘤
'lin'ba'xi'bao'jian'shao'xing'huo'qi'jin'shi'bing 淋巴细胞减少型霍奇金氏病
'lin'ba'xi'bao'wei'zhu'xing'huo'qi'jin'shi'bing 淋巴细胞为主型霍奇金氏病
'lin'ba'yang'bai'xue'bing 淋巴样白血病
'lin'ba'zu'zhi'zeng'sheng'bing 淋巴组织增生病
'lin'ba'zu'zhi'zeng'sheng'xing'ji'bing 淋巴组织增生性疾病
'lin'zhuang'xi'bao'ai 鳞状细胞癌
'lin'zhuang'xi'bao'ru'tou'zhuang'liu 鳞状细胞乳头状瘤
'lin'zhuang'xi'bao'yuan'wei'ai 鳞状细胞原位癌
'lin'zhuang'ya'chi'yuan'xing'liu 鳞状牙齿源性瘤
'lu'yan'guan'liu 颅咽管瘤
'luan'chao'jia'zhuang'xian'zhong 卵巢甲状腺肿
'luan'chao'men'xi'bao'liu 卵巢门细胞瘤
'luan'chao'zhi'zhi'xi'bao'liu 卵巢脂质细胞瘤
'luan'pao'xi'bao'liu 卵泡细胞瘤
'luan'pao'xi'bao'mo'xi'bao'liu 卵泡细胞膜细胞瘤
'lv'pao'xing'bian'yi'ru'tou'zhuang'ai 滤泡性变异乳头状癌
'lv'pao'xing'e'xing'lin'ba'liu 滤泡性恶性淋巴瘤
'lv'pao'xing'xian'ai 滤泡性腺癌
'lv'pao'xing'xian'liu 滤泡性腺瘤
'mai'luo'cong'ru'tou'zhuang'liu 脉络丛乳头状瘤
'man'xing'bai'xue'bing 慢性白血病
'man'xing'dan'he'xi'bao'bai'xue'bing 慢性单核细胞白血病
'man'xing'gu'sui'zeng'sheng'bing 慢性骨髓增生病
'man'xing'hong'xi'bao'zeng'duo'zheng 慢性红细胞增多症
'man'xing'li'dan'he'xi'bao'bai'xue'bing 慢性粒单核细胞白血病
'man'xing'lin'ba'xi'bao'bai'xue'bing 慢性淋巴细胞白血病
'man'xing'sui'yang'li'xi'bao'xing'bai'xue'bing 慢性髓样粒细胞性白血病
'mao'fa'ji'zhi'liu 毛发基质瘤
'mao'fa'mao'nang'liu 毛发毛囊瘤
'mao'fa'shang'pi'liu 毛发上皮瘤
'mao'fa'shen'jing'mo'liu 毛发神经膜瘤
'mao'ji'mu'zhi'liu 毛基母质瘤
'mao'ji'zhi'ai 毛基质癌
'mao'xi'bao'xing'xing'xing'xi'bao'liu 毛细胞性星形细胞瘤
'mao'xi'lin'ba'guan'liu 毛细淋巴管瘤
'mao'xi'xue'guan'kuo'zhang'xing'gu'rou'liu 毛细血管扩张性骨肉瘤
'mao'xi'xue'guan'xue'guan'liu 毛细血管血管瘤
'mao'zhi 毛痣
'mei'ke'er'xi'bao'ai 梅克尔细胞癌
'mi'man'xing'ai 弥漫型癌
'mi'man'xing'e'xing'lin'ba'liu 弥漫性恶性淋巴瘤
'mian'yi'mu'xi'bao'xing'e'xing'lin'ba'liu 免疫母细胞性恶性淋巴瘤
'mian'yi'zeng'sheng'xing'ji'bing 免疫增生性疾病
'mian'yi'zeng'sheng'xing'xiao'chang'bing 免疫增生性小肠病
'miao'le'shi'hun'he'liu 苗勒氏混合瘤
'ming'xi'bao'rou'liu'chu'wai'shen'de'ming'xi'bao'rou'liu 明细胞肉瘤除外肾的明细胞肉瘤
'ming'xi'bao'shen'shang'xian'pi'zhi'xian'liu 明细胞肾上腺皮脂腺瘤
'ming'xi'bao'xian'ai 明细胞腺癌
'ming'xi'bao'xian'liu 明细胞腺瘤
'ming'xi'bao'xian'xian'wei'liu 明细胞腺纤维瘤
'nan'xing'mu'xi'bao'liu 男性母细胞瘤
'nang'nei'ai 囊内癌
'nang'nei'ru'tou'zhuang'xian'liu 囊内乳头状腺瘤
'nang'xian'ai 囊腺癌
'nang'xian'liu 囊腺瘤
'nang'xing'jian'pi'liu 囊性间皮瘤
'nang'xing'lin'ba'guan'liu 囊性淋巴管瘤
'nao'ji'mo'liu 脑脊膜瘤
'nao'ji'mo'liu'bing 脑脊膜瘤病
'nao'ji'mo'rou'liu'bing 脑脊膜肉瘤病
'nao'mo'liu'yang'nao'ji'mo'liu 脑膜瘤样脑脊膜瘤
'nei'fan'xing'ru'tou'zhuang'liu 内翻性乳头状瘤
'nei'fan'xing'yi'hang'xi'bao'ru'tou'zhuang'liu 内翻性移行细胞乳头状瘤
'nei'pei'dou'liu 内胚窦瘤
'nian'ye'biao'pi'yang'ai 粘液表皮样癌
'nian'ye'biao'pi'yang'liu 粘液表皮样瘤
'nian'ye'liu 粘液瘤
'nian'ye'rou'liu 粘液肉瘤
'nian'ye'ru'tou'zhuang'shi'guan'mo'liu 粘液乳头状室管膜瘤
'nian'ye'xing'nang'xian'ai 粘液性囊腺癌
'nian'ye'xing'nang'xian'liu 粘液性囊腺瘤
'nian'ye'xing'xian'xian'wei'liu 粘液性腺纤维瘤
'nian'ye'yang'nian'ye'xian'ai 粘液样粘液腺癌
'nian'ye'yang'ping'hua'ji'nei'liu 粘液样平滑肌内瘤
'nian'ye'yang'ruan'gu'rou'liu 粘液样软骨肉瘤
'nian'ye'yang'zhi'fang'rou'liu 粘液样脂肪肉瘤
'pa'xi'ni'shi'liu 帕西尼氏瘤
'pang'guang'shang'pi'ru'tou'zhuang'liu'ruan'xing'ru'tou'zhuang'liu 膀胱上皮乳头状瘤软性乳头状瘤
'pang'guang'xi'rou 膀胱息肉
'pao'mo'xi'bao'liu 泡膜细胞瘤
'pei'tai'xing'ai 胚胎性癌
'pei'tai'xing'ai'rou'liu 胚胎性癌肉瘤
'pei'tai'xing'heng'wen'ji'rou'liu 胚胎型横纹肌肉瘤
'pei'tai'xing'rou'liu 胚胎性肉瘤
'pei'tai'xing'xian'liu 胚胎性腺瘤
'pi'fu'fu'shu'qi'ai 皮肤附属器癌
'pi'fu'fu'shu'qi'xian'liu 皮肤附属器腺瘤
'pi'fu'lin'ba'liu 皮肤淋巴瘤
'pi'fu'xian'wei'liu 皮肤纤维瘤
'pi'fu'xian'wei'rou'liu 皮肤纤维肉瘤
'pi'ge'zhuang'wei'ying'bian'xing'wei'yan 皮革状胃硬变性胃炎
'pi'nei'zhi 皮内痣
'pi'yang'nang'zhong 皮样囊肿
'pi'yang'nang'zhong'ban'you'e'xing'bian 皮样囊肿伴有恶性变
'pi'zhi'xian'ai 皮脂腺癌
'pi'zhi'xian'xian'liu 皮脂腺腺瘤
'ping'hua'ji'liu 平滑肌瘤
'ping'hua'ji'liu'bing 平滑肌瘤病
'ping'hua'ji'rou'liu 平滑肌肉瘤
'ping'hua'ji'zhong'liu 平滑肌肿瘤
'pu'tao'tai 葡萄胎
'pu'tao'zhuang'man'zhuang'xue'guan'liu 葡萄状蔓状血管瘤
'pu'tao'zhuang'rou'liu 葡萄状肉瘤
'qi'qiu'xi'bao'hei'se'su'liu 气球细胞黑色素瘤
'qi'qiu'xi'bao'zhi 气球细胞痣
'qi'yi'xing'ping'hua'ji'liu 奇异性平滑肌瘤
'qin'shi'xing'xian'wei'liu'bing 侵蚀性纤维瘤病
'qin'xi'xing'cheng'gu'xi'bao'liu 侵袭性成骨细胞瘤
'qin'xi'xing'pu'tao'tai 侵袭性葡萄胎
'qiu'pang'xi'bao'liu 球旁细胞瘤
'qiu'xing'xi'bao'ai 球形细胞癌
'qu'fen'hua'xing'zhi'fang'rou'liu 去分化性脂肪肉瘤
'rong'mao'mo'ai'ban'you'ji'tai'liu 绒毛膜癌伴有畸胎瘤
'rong'mao'mo'ai'ban'you'qi'ta'sheng'zhi'xi'bao'cheng'fen 绒毛膜癌伴有其他生殖细胞成份
'rong'mao'mo'shang'pi'ai'zi'yang'xi'bao'ai 绒毛膜上皮癌滋养细胞癌
'rong'mao'zhuang'xian'ai 绒毛状腺癌
'rong'mao'zhuang'xian'liu 绒毛状腺瘤
'rong'mao'zhuang'xian'liu'nei'de'xian'ai 绒毛状腺瘤内的腺癌
'rong'mao'zhuang'xian'liu'nei'de'yuan'wei'xian'ai 绒毛状腺瘤内的原位腺癌
'rou'liu 肉瘤
'rou'liu'bing'zhuan'yi'xing'rou'liu 肉瘤病转移性肉瘤
'ru'fang'de'pei'ji'te'bing'he'dao'guan'nei'ai 乳房的佩吉特病和导管内癌
'ru'fang'fen'mi'xing'ai 乳房分泌性癌
'ru'fang'pei'ji'te'bing'ru'tou'ru'yun'yan'xing'ai'bian 乳房佩吉特病乳头乳晕炎性癌变
'ru'fang'pei'ji'te'shi'bing'he'jin'run'xing'guan'xing'ai 乳房佩吉特氏病和浸润性管性癌
'ru'fang'you'nian'xing'ai 乳房幼年性癌
'ru'tou'de'xian'liu 乳头的腺瘤
'ru'tou'zhuang'ai 乳头状癌
'ru'tou'zhuang'han'guan'xian'liu 乳头状汗管腺瘤
'ru'tou'zhuang'han'xian'xian'liu 乳头状汗腺腺瘤
'ru'tou'zhuang'jiang'ye'xing'nang'xian'ai 乳头状浆液性囊腺癌
'ru'tou'zhuang'jiang'ye'xing'nang'xian'liu 乳头状浆液性囊腺瘤
'ru'tou'zhuang'lin'zhuang'xi'bao'ai 乳头状鳞状细胞癌
'ru'tou'zhuang'liu 乳头状瘤
'ru'tou'zhuang'liu'bing 乳头状瘤病
'ru'tou'zhuang'nang'xian'ai 乳头状囊腺癌
'ru'tou'zhuang'nang'xian'liu 乳头状囊腺瘤
'ru'tou'zhuang'nang'xing'liu 乳头状囊性瘤
'ru'tou'zhuang'nao'ji'mo'liu 乳头状脑脊膜瘤
'ru'tou'zhuang'nian'ye'xing'nang'xian'ai 乳头状粘液性囊腺癌
'ru'tou'zhuang'nian'ye'xing'nang'xian'liu 乳头状粘液性囊腺瘤
'ru'tou'zhuang'ru'tou'zhuang'liu'yang'zhi 乳头状乳头状瘤样痣
'ru'tou'zhuang'shi'guan'mo'liu 乳头状室管膜瘤
'ru'tou'zhuang'xian'ai 乳头状腺癌
'ru'tou'zhuang'xian'liu 乳头状腺瘤
'ru'tou'zhuang'yi'hang'xi'bao'ai 乳头状移行细胞癌
'ru'tou'zhuang'yuan'wei'ai 乳头状原位癌
'ru'yun'xia'guan'xing'ru'tou'zhuang'liu'bing 乳晕下管性乳头状瘤病
'ruan'gu'liu 软骨瘤
'ruan'gu'liu'bing 软骨瘤病
'ruan'gu'nian'ye'rou'liu 软骨粘液肉瘤
'ruan'gu'nian'ye'yang'xian'wei'liu 软骨粘液样纤维瘤
'ruan'gu'rou'liu 软骨肉瘤
'ruan'zu'zhi'e'xing'ju'xi'bao'liu 软组织恶性巨细胞瘤
'ruan'zu'zhi'ju'xi'bao'liu 软组织巨细胞瘤
'ruan'zu'zhi'rou'liu 软组织肉瘤
'ruan'zu'zhi'xian'pao'zhuang'rou'liu 软组织腺泡状肉瘤
'sai'er'tuo'li'xi'bao'ai 塞尔托利细胞癌
'sai'er'tuo'li'xi'bao'liu 塞尔托利细胞瘤
'sai'er'tuo'li'xi'bao'liu'ban'you'zhi'zhi'zhu'ji 塞尔托利细胞瘤伴有脂质贮积
'sai'zha'rui'shi'bing'sai'zha'li'bing 塞扎瑞氏病塞乍里病
'se'su'chen'zhuo'xing'long'tu'xing'pi'fu'xian'wei'rou'liu 色素沉着性隆凸性皮肤纤维肉瘤
'se'su'xing'ji'di'xi'bao'ai 色素性基底细胞癌
'se'su'zhi 色素痣
'sha'li'ti'xing'nao'ji'mo'liu 沙粒体性脑脊膜瘤
'shai'zhuang'ai 筛状癌
'shang'pi'ji'shang'pi'ai 上皮肌上皮癌
'shang'pi'yang'ping'hua'ji'liu 上皮样平滑肌瘤
'shang'pi'yang'ping'hua'ji'rou'liu 上皮样平滑肌肉瘤
'shang'pi'yang'xi'bao'he'suo'xing'xi'bao'zhi 上皮样细胞和梭形细胞痣
'shang'pi'yang'xi'bao'hei'se'su'liu 上皮样细胞黑色素瘤
'shang'pi'yang'xi'bao'rou'liu 上皮样细胞肉瘤
'shang'pi'yang'xi'bao'xing'hua'mo'rou'liu 上皮样细胞型滑膜肉瘤
'shang'pi'yang'xi'bao'zhi 上皮样细胞痣
'shang'pi'yang'xue'guan'liu 上皮样血管瘤
'shang'pi'yang'xue'guan'nei'pi'liu 上皮样血管内皮瘤
'shao'tu'shen'jing'jiao'zhi'xi'bao'liu 少突神经胶质细胞瘤
'shen'de'ming'xi'bao'rou'liu 肾的明细胞肉瘤
'shen'jing'jiao'zhi'mu'xi'bao'rou'liu 神经胶质母细胞肉瘤
'shen'jing'jie'cheng'shen'jing'mu'xi'bao'liu 神经节成神经母细胞瘤
'shen'jing'jie'liu 神经节瘤
'shen'jing'jie'liu'bing 神经节瘤病
'shen'jing'jie'shen'jing'jiao'zhi'liu 神经节神经胶质瘤
'shen'jing'jie'xi'bao'jie'pang'ti'liu 神经节细胞节旁体瘤
'shen'jing'liu 神经瘤
'shen'jing'nei'fen'mi'ai 神经内分泌癌
'shen'jing'qiao'liu 神经鞘瘤
'shen'jing'qiao'mo'liu'bing 神经鞘膜瘤病
'shen'jing'qiao'nian'ye'liu 神经鞘粘液瘤
'shen'jing'shang'pi'liu 神经上皮瘤
'shen'jing'xi'bao'liu 神经细胞瘤
'shen'jing'xian'wei'liu 神经纤维瘤
'shen'jing'xian'wei'rou'liu 神经纤维肉瘤
'shen'jing'zhi 神经痣
'shen'pei'mu'xi'bao'liu 肾胚母细胞瘤
'shen'shang'xian'pi'zhi'xi'bao'ai 肾上腺皮质细胞癌
'shen'shang'xian'pi'zhi'xian'liu 肾上腺皮质腺瘤
'shen'shang'xian'sheng'yu'zu'zhi'liu 肾上腺剩余组织瘤
'shen'shang'xian'wai'jie'pang'ti'fu'shen'jing'jie'liu 肾上腺外节旁体副神经节瘤
'shen'shang'xian'yang'liu 肾上腺样瘤
'shen'xi'bao'ai 肾细胞癌
'sheng'zhi'xi'bao'liu 生殖细胞瘤
'shi'ge'mu'xi'bao'liu'fu'shen'jing'jie'liu 嗜铬母细胞瘤副神经节瘤
'shi'ge'xi'bao'liu 嗜铬细胞瘤
'shi'guan'mo'liu 室管膜瘤
'shi'guan'mo'xia'ju'xi'bao'xing'xing'xi'bao'liu 室管膜下巨细胞星形细胞瘤
'shi'guan'mo'xia'shen'jing'jiao'zhi'xi'bao'liu 室管膜下神经胶质细胞瘤
'shi'jian'xi'bao'ai 嗜碱细胞癌
'shi'jian'xi'bao'bai'xue'bing 嗜碱细胞白血病
'shi'jian'xi'bao'xian'liu 嗜碱细胞腺瘤
'shi'jian'xing'ai 嗜碱性癌
'shi'ming'ke'shi'ai'bi'yan'ai 施明克氏癌鼻咽癌
'shi'nai'de'ru'tou'zhuang'liu 施奈德乳头状瘤
'shi'nai'de'shi'ai 施奈德氏癌
'shi'suan'xi'bao'ai 嗜酸细胞癌
'shi'suan'xi'bao'bai'xue'bing 嗜酸细胞白血病
'shi'suan'xi'bao'xian'liu 嗜酸细胞腺瘤
'shi'suan'xing'xian'ai 嗜酸性腺癌
'shi'suan'xing'xian'liu 嗜酸性腺瘤
'shi'ti'ai 实体癌
'shi'yin'xing'lei'ai'liu 嗜银性类癌瘤
'shuang'xiang'fen'hua'xing'e'xing'jian'pi'liu 双相分化型恶性间皮瘤
'shuang'xiang'fen'hua'xing'hua'mo'rou'liu 双相分化型滑膜肉瘤
'shuang'xiang'fen'hua'xing'liang'xing'jian'pi'liu 双相分化型良性间皮瘤
'shui'yang'tou'ming'xi'bao'xian'ai 水样透明细胞腺癌
'shui'yang'tou'ming'xi'bao'xian'liu 水样透明细胞腺瘤
'song'guo'ti'liu 松果体瘤
'song'guo'ti'xi'bao'liu 松果体细胞瘤
'sui'shang'pi'liu 髓上皮瘤
'sui'wai'gu'li'xing'jiang'xi'bao'liu 髓外孤立性浆细胞瘤
'sui'xing'ai 髓性癌
'sui'xing'ai'ban'you'dian'fen'yang'jian'zhi 髓性癌伴有淀粉样间质
'sui'xing'ai'ban'you'lin'ba'xing'jian'zhi 髓性癌伴有淋巴性间质
'sui'xing'zu'zhi'xi'bao'xing'wang'zhuang'xi'bao'zeng'duo 髓性组织细胞性网状细胞增多
'sui'yang'li'xi'bao'xing'bai'xue'bing 髓样粒细胞性白血病
'sui'yang'rou'liu 髓样肉瘤
'suo'xing'xi'bao'hei'se'su'liu 梭形细胞黑色素瘤
'suo'xing'xi'bao'lin'zhuang'xi'bao'ai 梭形细胞鳞状细胞癌
'suo'xing'xi'bao'rou'liu 梭形细胞肉瘤
'suo'xing'xi'bao'xing'hua'mo'rou'liu 梭形细胞型滑膜肉瘤
'suo'xing'xi'bao'xing'xiao'xi'bao'ai 梭形细胞型小细胞癌
'suo'xing'xi'bao'yi'hang'xi'bao'ai 梭形细胞移行细胞癌
'suo'xing'xi'bao'zhi 梭形细胞痣
'suo'xing'xi'bao'zhi'fang'liu 梭形细胞脂肪瘤
'tai'er'heng'wen'ji'liu 胎儿横纹肌瘤
'tai'pan'bu'wei'zi'yang'ceng'de'zhong'liu 胎盘部位滋养层的肿瘤
'tan'li'xian'wei'liu 弹力纤维瘤
'te'fa'xing'xue'xiao'ban'zeng'duo'zheng 特发性血小板增多症
'wai'fen'mi'xing'han'xian'xian'liu 外分泌性汗腺腺瘤
'wai'fen'mi'xing'pi'fu'yuan'zhu'liu 外分泌性皮肤圆柱瘤
'wai'fen'mi'xing'ru'tou'zhuang'xian'liu 外分泌性乳头状腺瘤
'wai'fen'mi'xing'zhi'duan'han'xian'liu'xiao'han'xian'liu 外分泌性肢端汗腺瘤小汗腺瘤
'wai'zhou'xi'bao'lin'ba'liu 外周细胞淋巴瘤
'wan'gu'xing'pin'xue 顽固性贫血
'wan'gu'xing'pin'xue'ban'you'pei'xi'bao'guo'duo 顽固性贫血伴有胚细胞过多
'wan'gu'xing'pin'xue'ban'you'tie'li'you'xi'bao 顽固性贫血伴有铁粒幼细胞
'wan'gu'xing'pin'xue'bu'ban'you'tie'li'you'xi'bao 顽固性贫血不伴有铁粒幼细胞
'wang'zhuang'xi'bao'rou'liu 网状细胞肉瘤
'wei'fen'hua'de'cheng'shi'wang'mo'mu'xi'bao'liu 未分化的成视网膜母细胞瘤
'wei'fen'hua'de'e'xing'ji'tai'liu 未分化的恶性畸胎瘤
'wei'fen'hua'xi'bao'bai'xue'bing 未分化细胞白血病
'wei'fen'hua'xing'ai 未分化型癌
'wei'lv'pao'xing'xian'liu 微滤泡性腺瘤
'wei'mi'su'liu 胃泌素瘤
'wei'xiao'liu 微小瘤
'wei'xiao'nang'xing'xian'liu 微小囊性腺瘤
'wo'er'dan'si'te'lun'ju'qiu'dan'bai'xue'zheng 沃尔丹斯特伦巨球蛋白血症
'wu'bao'mo'ying'hua'xing'ai'fei'bao'wei'xing 无包膜硬化性癌非包围性
'wu'fei'se'su'xing'zhi 无非色素性痣
'wu'se'su'xing'hei'se'su'liu 无色素性黑色素瘤
'wu'xing'xi'bao'liu 无性细胞瘤
'xi'bao'xing'lan'zhi 细胞性蓝痣
'xi'bao'xing'ping'hua'ji'liu 细胞性平滑肌瘤
'xi'rou'e'xing'bian 息肉恶性变
'xi'zhi'qi'guan'fei'pao'xian'ai 细支气管肺泡腺癌
'xian'ai 腺癌
'xian'ai'ban'you'ding'mi'xing'han'xian'hua'sheng 腺癌伴有顶泌性汗腺化生
'xian'ai'ban'you'lin'zhuang'ji'pi'hua'sheng 腺癌伴有鳞状棘皮化生
'xian'ai'ban'you'lin'zhuang'shang'pi'zhuan'hua 腺癌伴有鳞状上皮转化
'xian'ai'ban'you'ruan'gu'he'gu'ruan'hua'sheng 腺癌伴有软骨和骨软化生
'xian'ai'ban'you'suo'xing'xi'bao'hua'sheng 腺癌伴有梭形细胞化生
'xian'ji'liu 腺肌瘤
'xian'lei'ai'liu 腺类癌瘤
'xian'lin'ba'liu 腺淋巴瘤
'xian'lin'zhuang'xi'bao'ai 腺鳞状细胞癌
'xian'liu 腺瘤
'xian'liu'bing 腺瘤病
'xian'liu'yang'liu 腺瘤样瘤
'xian'liu'yang'xi'rou 腺瘤样息肉
'xian'liu'yang'xi'rou'nei'de'xian'ai 腺瘤样息肉内的腺癌
'xian'liu'yang'xi'rou'nei'de'yuan'wei'xian'ai 腺瘤样息肉内的原位腺癌
'xian'liu'yang'ya'chi'yuan'xing'liu 腺瘤样牙齿源性瘤
'xian'pao'xi'bao'ai 腺泡细胞癌
'xian'pao'xi'bao'liu 腺泡细胞瘤
'xian'pao'xi'bao'xian'liu 腺泡细胞腺瘤
'xian'rou'liu 腺肉瘤
'xian'se'xi'bao'ai 嫌色细胞癌
'xian'se'xi'bao'xian'liu 嫌色细胞腺瘤
'xian'wei'ban'zhuang'gan'xi'bao'ai 纤维板状肝细胞癌
'xian'wei'jing'xia'qin'xi'xing'lin'zhuang'xi'bao'ai 显微镜下侵袭性鳞状细胞癌
'xian'wei'liu 纤维瘤
'xian'wei'nian'ye'liu 纤维粘液瘤
'xian'wei'nian'ye'rou'liu 纤维粘液肉瘤
'xian'wei'nian'ye'zhi'fang'liu 纤维粘液脂肪瘤
'xian'wei'rou'liu 纤维肉瘤
'xian'wei'shang'pi'xing'ji'di'xi'bao'ai 纤维上皮性基底细胞癌
'xian'wei'xian'liu 纤维腺瘤
'xian'wei'xing'nao'ji'mo'liu 纤维性脑脊膜瘤
'xian'wei'xing'xing'xing'xi'bao'liu 纤维性星形细胞瘤
'xian'wei'zhi'fang'liu 纤维脂肪瘤
'xian'wei'zu'zhi'xi'bao'liu'huang'se'xian'wei'liu 纤维组织细胞瘤黄色纤维瘤
'xian'xian'wei'liu 腺纤维瘤
'xian'yang'lin'zhuang'xi'bao'ai 腺样鳞状细胞癌
'xian'yang'nang'xing'ai 腺样囊性癌
'xiao'guan'nei'de'xian'wei'xian'liu 小管内的纤维腺瘤
'xiao'guan'zhou'wei'de'xian'wei'xian'liu 小管周围的纤维腺瘤
'xiao'he'lie'xi'bao'lv'pao'xing'e'xing'lin'ba'liu 小核裂细胞滤泡性恶性淋巴瘤
'xiao'he'lie'xi'bao'xing'mi'man'xing'e'xing'lin'ba'liu 小核裂细胞性弥漫性恶性淋巴瘤
'xiao'liang'xing'lv'pao'xing'xian'ai 小梁型滤泡性腺癌
'xiao'liang'xing'xian'ai 小梁性腺癌
'xiao'liang'xing'xian'liu 小梁性腺瘤
'xiao'lin'ba'xi'bao'xing'e'xing'lin'ba'liu 小淋巴细胞性恶性淋巴瘤
'xiao'nao'rou'liu 小脑肉瘤
'xiao'pao'xing'heng'wen'ji'rou'liu 小泡型横纹肌肉瘤
'xiao'qiu'xi'bao'shen'shang'xian'pi'zhi'xian'liu 小球细胞肾上腺皮质腺瘤
'xiao'shen'jing'jiao'zhi'xi'bao'liu 小神经胶质细胞瘤
'xiao'xi'bao'ai 小细胞癌
'xiao'xi'bao'gu'rou'liu 小细胞骨肉瘤
'xiao'xi'bao'rou'liu 小细胞肉瘤
'xiao'xi'bao'wu'he'lie'mi'man'xing'e'xing'lin'ba'liu 小细胞无核裂弥漫性恶性淋巴瘤
'xiao'ye'xing'ai 小叶性癌
'xiao'ye'xing'yuan'wei'ai 小叶性原位癌
'xie'zhi'qiang'kong'yuan'xing'ai 泄殖腔孔源性癌
'xing'suo'jian'zhi'liu 性索间质瘤
'xing'suo'liu'ban'you'huan'zhuang'xiao'guan 性索瘤伴有环状小管
'xing'suo'xing'xi'bao'hei'se'su'liu 型梭形细胞黑色素瘤
'xing'xian'pei'mu'xi'bao'liu 性腺胚母细胞瘤
'xing'xing'xi'bao'liu 星形细胞瘤
'xiu'shen'jing'yuan'xing'liu 嗅神经源性瘤
'xu'te'er'xi'bao'ai'xian'ai 许特尔细胞癌腺癌
'xu'te'er'xi'bao'liu'xian'liu 许特尔细胞瘤腺瘤
'xue'guan'cheng'mian'yi'xi'bao'xing'lin'ba'xian'bing 血管成免疫细胞性淋巴腺病
'xue'guan'ji'zhi'fang'liu 血管肌脂肪瘤
'xue'guan'ji'zhi'fang'rou'liu 血管肌脂肪肉瘤
'xue'guan'jiao'zhi'liu 血管角质瘤
'xue'guan'lin'ba'guan'liu 血管淋巴管瘤
'xue'guan'liu 血管瘤
'xue'guan'liu'xing'nao'ji'mo'liu 血管瘤性脑脊膜瘤
'xue'guan'nei'pi'liu'bing 血管内皮瘤病
'xue'guan'nei'pi'xi'bao'liu 血管内皮细胞瘤
'xue'guan'nei'zhi'qi'guan'fei'pao'liu 血管内支气管肺泡瘤
'xue'guan'nian'ye'liu 血管粘液瘤
'xue'guan'ping'hua'ji'liu 血管平滑肌瘤
'xue'guan'ping'hua'ji'rou'liu 血管平滑肌肉瘤
'xue'guan'qiu'ji'liu 血管球肌瘤
'xue'guan'qiu'liu 血管球瘤
'xue'guan'qiu'rou'liu 血管球肉瘤
'xue'guan'qiu'xing'xue'guan'liu 血管球性血管瘤
'xue'guan'rou'liu 血管肉瘤
'xue'guan'wai'pi'rou'liu 血管外皮肉瘤
'xue'guan'wai'pi'xi'bao'liu 血管外皮细胞瘤
'xue'guan'wai'zhou'pi'xi'bao'xing'nao'ji'mo'liu 血管外周皮细胞性脑脊膜瘤
'xue'guan'wang'zhuang'xi'bao'liu 血管网状细胞瘤
'xue'guan'xian'wei'liu 血管纤维瘤
'xue'guan'zhi'fang'liu 血管脂肪瘤
'xue'guan'zhong'xin'xing'mian'yi'zeng'sheng'xing'sun'hai 血管中心性免疫增生性损害
'xue'guan'zhong'xin'xing'xi'bao'lin'ba'liu 血管中心性细胞淋巴瘤
'xun'yang'rou'ya'zhong 蕈样肉芽肿
'xun'yang'zhen'jun'bing 蕈样真菌病
'ya'ben'zhi'liu 牙本质瘤
'ya'chi'cheng'you'xi'bao'liu 牙齿成釉细胞瘤
'ya'chi'gu'zhi'hua'xing'xian'wei'liu 牙齿骨质化性纤维瘤
'ya'chi'gu'zhi'liu 牙齿骨质瘤
'ya'chi'yuan'xing'liu 牙齿源性瘤
'ya'chi'yuan'xing'nian'ye'liu 牙齿源性粘液瘤
'ya'da'xun'biao'pi'nei'shang'pi'liu 雅达逊表皮内上皮瘤
'ya'ji'xing'bai'xue'bing 亚急性白血病
'ya'ji'xing'dan'he'xi'bao'bai'xue'bing 亚急性单核细胞白血病
'ya'ji'xing'lin'ba'yang'bai'xue'bing 亚急性淋巴样白血病
'ya'ji'xing'sui'yang'li'xi'bao'xing'bai'xue'bing 亚急性髓样粒细胞性白血病
'ya'liu 牙瘤
'ya'yuan'xing'xing'hai'xi'bao'liu 牙源性形骸细胞瘤
'yan'mai'xi'bao'ai 燕麦细胞癌
'yan'xing'ai 炎性癌
'ye'zhuang'liu 叶状瘤
'yi'dao'su'liu 胰岛素瘤
'yi'dao'xi'bao'ai 胰岛细胞癌
'yi'dao'xi'bao'xian'ai 胰岛细胞腺癌
'yi'dao'xi'bao'xian'liu 胰岛细胞腺瘤
