'a'bi'luo'ti 阿比罗提
'wu'wei'qi'shi'wu'fa 五位七十五法
'wu'wei'wu'xin 五位无心
'wu'wo 无我
'wu'wu'bai'nian 五五百年
'wu'xia'fen'jie 五下分结
'wu'xiang 无想
'wu'xiang 无相
'wu'xue 无学
'wu'yan 五眼
'wu'yao 五药
'wu'yin'sheng'ku 五阴盛苦
'wu'yu 五欲
'wu'yu'yi'nie'pan 无余依涅槃
'wu'yuan 无缘
'wu'yun 五蕴
'wu'zhang 五障
'wu'zheng 无诤
'wu'zhi 五智
'wu'zhong 五众
'wu'zhong'san'mei'dao 五种三昧道
'wu'zhong'san'mei'ye 五种三昧耶
'wu'zhong'xing 五种姓
'wu'zhong'xuan'yi 五重玄义
'wu'zhou'yin'guo 五周因果
'wu'zhu 无住
'wu'zhu'chu'nie'pan 无住处涅槃
'wu'zhu'di'fan'nao 五住地烦恼
'wu'zhuang'yan'fa 五庄严法
'wu'zhuo 五浊
'wu'zong'jiao 五宗教
'xi 系
'xi'di 悉地
'xi'fang'jing'tu 西方净土
'xi'lun 戏论
'xi'qi 习气
'xi'se 细色
'xi'she 喜舍
'xi'tan 悉昙
'xi'yi'shi 细意识
'xian 闲
'xian'guan 现观
'xian'jie 贤劫
'xian'jie'shi'liu'zun 贤劫十六尊
'xian'sheng 贤圣
'xian'tu'man'tu'luo 现图曼荼罗
'xian'xing 现行
'xian'zheng 显正
'xiang 想
'xiang 相
'xiang'hao 相好
'xiang'ji 相即
'xiang'ru 相入
'xiang'shui'hai 香水海
'xiang'xu 相续
'xiang'ying 相应
'xiang'ying'xin 相应心
'xiao'fan'nao'de'fa 小烦恼地法
'xie'jian 邪见
'xie'shi 胁士
'xin 信
'xin 心
'xin'bu'xiang'ying'xing 心不相应行
'xin'fo'zhong'sheng'san'fa'wu'cha 心佛众生三法无差
'xin'jie 信解
'xin'ju'san'qian 心具三千
'xin'man'cheng'fo 信满成佛
'xin'shi 信施
'xin'suo'you'fa 心所有法
'xin'wang'xin'suo 心王心所
'xin'xing'ben'jing 心性本净
'xin'yi'shi 心意识
'xin'yin 心印
'xing 行
'xing 性
'xing'de 性得
'xing'e 性恶
'xing'hai'guo'fen 性海果分
'xing'jie 行解
'xing'ju 性具
'xing'qi 性起
'xing'se 形色
'xing'xi'er'xing 性习二性
'xing'xiang 行香
'xing'xiang 行相
'xing'xiang 性相
'xing'xiang'er'zong 性相二宗
'xing'xiu'jie 星宿劫
'xing'yuan 行愿
'xing'yun 行蕴
'xiu'de 修得
'xiu'huo 修惑
'xu'kong 虚空
'xu'mi'shan 须弥山
'xu'wang'fen'bie 虚妄分别
'xuan'tan 玄谈
'xue'ren 学人
'xun'ci 寻伺
'xun'xi 熏习
'yan'jiao'er'di 言教二谛
'yan'nian'zhuan'shou 延年转寿
'yan'yu'dao'duan 言语道断
'ye 业
'ye'bao 业报
'ye'gan'yuan'qi 业感缘起
'ye'jing 业镜
'ye'tong 业通
'ye'zhang 业障
'yi 意
'yi'an'xin 异安心
'yi'chan'ti 一阐提
'yi'cheng 一乘
'yi'cheng'si'xiang 一乘思想
'yi'cheng'yi'qie'cheng 一成一切成
'yi'cheng'zhen'shi 一乘真实
'yi'da'shi'yin'yuan 一大事因缘
'yi'di 依地
'yi'duan'yi'qie'duan 一断一切断
'yi'duo'fa'jie 一多法界
'yi'fa'jie 一法界
'yi'fa'ju 一法句
'yi'fa'yin 一法印
'yi'fo'shi'jie 一佛世界
'yi'gen 意根
'yi'ji'yi'qie 一即一切
'yi'jing'san'di 一境三谛
'yi'jing'si'xin 一境四心
'yi'lai'guo 一来果
'yi'lai'xiang 一来向
'yi'men'pu'men 一门普门
'yi'ming'wu'liang'yi 一名无量义
'yi'nian'bu'sheng 一念不生
'yi'nian'san'qian 一念三千
'yi'nian'xiang'ying 一念相应
'yi'nian'xin'jie 一念信解
'yi'nian'yi 一念义
'yi'qie'fa 一切法
'yi'qie'si'she 一箧四蛇
'yi'qie'xing'ku 一切行苦
'yi'qie'zhi 一切智
'yi'qie'zhi'zhi 一切智智
'yi'qie'zhong'zhi 一切种智
'yi'san'quan'shi 一三权实
'yi'se'yi'xiang'wu'fei'zhong'dao 一色一香无非中道
'yi'sha'duo'sheng 一杀多生
'yi'sheng'bu'chu 一生补处
'yi'sheng'guo'sui 一生果遂
'yi'sheng'shen 意生身
'yi'sheng'xing 异生性
'yi'shi 一实
'yi'shi 意识
'yi'shu 异熟
'yi'ta'qi'xing 依他起性
'yi'wei'yun 一味蕴
'yi'xia'jiu'xun 一夏九旬
'yi'xin 一心
'yi'xin'bu'luan 一心不乱
'yi'xin'chuan'xin 以心传心
'yi'xin'er'men 一心二门
'yi'xin'san'guan 一心三观
'yi'xin'san'huo 一心三惑
'yi'xin'san'zhi 一心三智
'yi'xing'dao 易行道
'yi'xing'jie'cheng 一性皆成
'yi'yi'wu'liang'ming 一义无量名
'yi'yin'hui 一印会
'yi'yin'jiao 一音教
'yi'yuan'jian'li 一愿建立
'yi'zheng'er'bao 依正二报
'yi'zhi 抑止
'yi'zhuan'yu 一转语
'yi'zi'bu'shuo 一字不说
'yi'zi'di 一子地
'yi'zi'san'dian 伊字三点
'yi'zu'po'san'guan 一镞破三关
'yin'fen 因分
'yin'guo 因果
'yin'guo'bao'ying 因果报应
'yin'huai'wen'cheng 印坏文成
'yin'men'liu'yi 因门六义
'yin'neng'bian 因能变
'yin'wang'yi'nian 阴妄一念
'yin'ye 引业
'yin'yin 引因
'yin'yuan 因缘
'yin'yuan'bian 因缘变
'yin'yuan'xing 因缘性
'yin'yuan'yi 因缘依
'yin'zhong'wu'guo 因中无果
'yin'zhong'you'guo 因中有果
'ying'hua 应化
'ying'shen 应身
'ying'tu 应土
'you 有
'you'bian'wu'bian'lun 有边无边论
'you'dui 有对
'you'dui'chu 有对触
'you'fen'shi 有分识
'you'fo'wu'fo'xing'xiang'chang'zhu 有佛无佛性相常住
'you'fu'wu'ji 有覆无记
'you'gen'shen 有根身
'you'gong'yong 有功用
'you'jiao'wu'ren 有教无人
'you'lou 有漏
'you'lou'dao 有漏道
'you'lou'duan 有漏断
'you'lou'jing'tu 有漏净土
'you'lou'shan 有漏善
'you'lou'shi 有漏识
'you'lou'ye 有漏业
'you'lou'zhi 有漏智
'you'qing 有情
'you'qing'shu 有情数
'you'sui'mian'xin 有随眠心
'you'suo'de 有所得
'you'suo'yi 有所依
'you'tan 有贪
'you'ti 有体
'you'wei 有为
'you'wei'wu'lou 有为无漏
'you'wei'zhuan'bian 有为转变
'you'xiang 有想
'you'xiang 有相
'you'xiang'an'le'xing 有相安乐行
'you'xiang'wu'xiang'man'tu'luo 有相无相曼荼罗
'you'xin'wei 有心位
'you'xue 有学
'you'xun'you'ci 有寻有伺
'you'yi'shu 有异熟
'you'yu'nie'pan 有余涅槃
'you'yuan 有缘
'you'zhi'shou 有执受
'you'zhi'xi'qi 有支习气
'you'zhu'wu 有主物
'you'zuo'wu'zuo 有作无作
'yu 欲
'yu'jia 瑜伽
'yu'jiao'er'di 于教二谛
'yu'jie 欲界
'yuan 愿
'yuan'jiao 圆教
'yuan'jue 缘觉
'yuan'li'duan'jiu 缘理断九
'yuan'mi'yi'zhi 圆密一致
'yuan'pin'wu'ming 元品无明
'yuan'qi 缘起
'yuan'qi'xiang'you 缘起相由
'yuan'rong 圆融
'yuan'sheng'fa 缘生法
'za'ran 杂染
'ze'mie 择灭
'zeng'shang'guo 增上果
'zeng'shang'yuan 增上缘
'zeng'yu'chu 增语触
'zhe'fu'she'shou 折伏摄受
'zhe'na'ye 遮那业
'zhen'kong'miao'you 真空妙有
'zhen'ru 真如
'zhen'ru'men 真如门
'zhen'wang'er'xin 真妄二心
'zhen'yan 真言
'zheng 诤
'zheng'bao 正报
'zheng'dao 正道
'zheng'ding'ye 正定业
'zheng'fa 正法
'zheng'fa'yan'zang 正法眼藏
'zheng'guan 正观
'zheng'jian 正见
'zheng'jue 正觉
'zheng'nian 正念
'zheng'shi 正使
'zheng'xiang'mo 正像末
'zheng'xing 正行
'zheng'xing'li'sheng 正性离生
'zheng'yi'bang'yi 正依傍依
'zheng'za'er'xing 正杂二行
'zheng'zhi 正智
'zheng'zhu'er'ye 正助二业
'zhi 智
'zhi'duo 质多
'zhi'e'xiu'shan 止恶修善
'zhi'fen'sheng'man'tu'luo 支分生曼荼罗
'zhi'guan'ye 止观业
'zhi'xing'er'shan 止行二善
'zhi'zeng 智增
'zhi'zhuo 执着
'zhong'ban'nie'pan 中般涅槃
'zhong'dao 中道
'zhong'di 中谛
'zhong'tai'ba'ye'yuan 中台八叶院
'zhong'tong'fen 众同分
'zhong'xing 种性
'zhong'you 中有
'zhong'zi 种子
'zhong'zun 中尊
'zhuan'bian 转变
'zhuan'fa'lun 转法轮
'zhuan'gen 转根
'zhuan'nv'cheng'nan 转女成男
'zhuan'shi 转识
'zhuan'shi'de'zhi 转识得智
'zhuan'yi 转依
'zhuang'yan 庄严
'zi'jie 字界
'zi'jue 自觉
'zi'li 自利
'zi'li 自力
'zi'liang 资粮
'zi'ran'zhi 自然智
'zi'shi'de'jie 自誓得戒
'zi'shou'fa'yue 自受法乐
'zi'wo'ji 自我偈
'zi'xiang 自相
'zi'xiang 字相
'zi'xiang'huo 自相惑
'zi'xing 自性
'zi'xing'fen'bie 自性分别
'zi'xing'qing'jing'xin 自性清净心
'zi'xing'shen 自性身
'zi'xing'wei'xin 自性唯心
'zi'ye'zi'de 自业自得
'zi'yi 字义
'zi'yuan 字缘
'zi'zai 自在
'zong 宗
'zong'bao 总报
'zong'jiao 宗教
'zong'men 宗门
'zong'tong 宗通
'zong'yi 宗依
'zui 罪
'zui'hou'shen 最后身
'zui'ye 罪业
'zuo 座
'zuo'ye 作业
'zuo'yi 作意
'zuo'yong 作用
'zuo'zhe 作者
