'a'ji'mi'de'luo'xian 阿基米德螺线
'fa'xiang'chi'cao'kuan 法向齿槽宽
'fa'xiang'chi'hou 法向齿厚
'fa'xiang'chi'ju 法向齿距
'fa'xiang'chi'kuo 法向齿廓
'fa'xiang'luo'xuan'xian 法向螺旋线
'fa'xiang'mo'shu 法向模数
'fa'xiang'xian'chi'hou 法向弦齿厚
'fa'xiang'ya'li'jiao 法向压力角
'fa'xiang'yuan 法向圆
'fa'xiang'zhi'kuo'wo'gan 法向直廓蜗杆
'fa'you 乏油
'fan'bian'zhou'tao 翻边轴套
'fan'bian'zhou'wa 翻边轴瓦
'fan'chuan'gong'kuang 反传工况
'fan'kui'kong'zhi'xi'tong 反馈控制系统
'fan'tu'lun'ji'gou 反凸轮机构
'fan'xiang'fa'lan 反向法兰
'fan'ya'xi'shu 反压系数
'fan'zhuan'gong'kuang 反转工况
'fan'zhuan'ye'li'bian'ju'qi 反转液力变矩器
'fan'zuo'yong'li 反作用力
'fang'an'tu 方案图
'fang'chen'gai 防尘盖
'fang'chen'gai'zhou'cheng 防尘盖轴承
'fang'dian'quan 方垫圈
'fang'fu'shi 防腐蚀
'fang'kong'yuan'dian'quan 方孔圆垫圈
'fang'luo'mu 方螺母
'fang'sheng'ji'gou 仿生机构
'fang'shi 防蚀
'fang'tou'luo'ding 方头螺钉
'fang'tou'mu'luo'ding 方头木螺钉
'fang'tou'tu'yuan'luo'ding 方头凸缘螺钉
'fang'tu'yuan'luo'mu 方凸缘螺母
'fang'xiang'kong'zhi'fa 方向控制阀
'fang'xie'dian'quan 方斜垫圈
'fang'zhuan'xiao 防转销
'fei'bian'wei'chi'lun 非变位齿轮
'fei'bu'chang'huan 非补偿环
'fei'bu'chang'huan'zuo 非补偿环座
'fei'chang'gui'shi'yan'shai'zu 非常规试验筛组
'fei'dui'chen'yun'dong'gui'ji 非对称运动轨迹
'fei'gong'zuo'chi'mian 非工作齿面
'fei'jie'chu'shi'mi'feng 非接触式密封
'fei'lun 飞轮
'fei'lun'ju 飞轮矩
'fei'mo'ca'zhi'dong'qi 非摩擦制动器
'fei'ou'he'zhen'xing 非耦合振型
'fei'ping'heng'shi'ji'xie'mi'feng 非平衡式机械密封
'fei'ping'wen'zhen'dong 非平稳振动
'fei'que'ding'xing'gu'zhang 非确定性故障
'fei'tan'xing'peng'zhuang 非弹性碰撞
'fei'tiao'su'dian'qi'chuan'dong 非调速电气传动
'fei'xian'xing'kong'zhi'xi'tong 非线性控制系统
'fei'xian'xing'zhen'dong 非线性振动
'fei'yong'bi 费用比
'fei'yuan'chi'lun'ji'gou 非圆齿轮机构
'fei'yuan'hua'dong'zhou'cheng 非圆滑动轴承
'fei'zhi'jie'jie'chu'shi'zhi'dong'qi 非直接接触式制动器
'fei'zhi'ming'gu'zhang 非致命故障
'fei'zhi'ming'shi'xiao 非致命失效
'fei'zhou'qi'xing'su'du'bo'dong 非周期性速度波动
'fei'zhou'qi'zhen'dong 非周期振动
'fen'bei 分贝
'fen'bu'jian 分部件
'fen'bu'qu'mian 分布曲面
'fen'bu'yuan'chi'ju 分布圆齿距
'fen'bu'yuan'zhi'jing 分布圆直径
'fen'du'qu'mian 分度曲面
'fen'du'yuan 分度圆
'fen'du'yuan'chi'ding'gao 分度圆齿顶高
'fen'du'yuan'chi'gen'gao 分度圆齿根高
'fen'du'yuan'chi'ju 分度圆齿距
'fen'du'yuan'luo'xuan'xian 分度圆螺旋线
'fen'du'yuan'zhi'jing 分度圆直径
'fen'du'yuan'zhu'mian 分度圆柱面
'fen'du'yuan'zhui'jiao 分度圆锥角
'fen'du'yuan'zhui'mian 分度圆锥面
'fen'hong'zao'sheng 粉红噪声
'fen'jiao 分角
'fen'li'guo'cheng 分离过程
'fen'li'ji'gou 分离机构
'fen'li'shi'jian 分离时间
'fen'li'tan'huang 分离弹簧
'fen'mo'ye'jin'zhou'cheng 粉末冶金轴承
'fen'zhui 分锥
'fen'zhui'ding'dian 分锥顶点
'fen'zhui'jiao 分锥角
'fen'zi'ji'xie'mo'sun 分子机械磨损
'feng'xi'fu'shi 缝隙腐蚀
'feng'you'mian 封油面
'fu'bai 复摆
'fu'bian'wei 负变位
'fu'bo'xie'bo'chi'lun'chuan'dong 复波谐波齿轮传动
'fu'dong'pan'shu'chu'ji'gou 浮动盘输出机构
'fu'gai'xi'shu 覆盖系数
'fu'gao 幅高
'fu'hao'wei 符号为
'fu'he'chi'xing'de'bai'xian'lun 复合齿形的摆线轮
'fu'he'jiao'lian 复合铰链
'fu'he'ping'dai 复合平带
'fu'he'zhou'cheng'cai'liao 复合轴承材料
'fu'huan'zhou'cheng 浮环轴承
'fu'jia'kong'qi'shi 附加空气室
'fu'jia'rong'ji 附加容积
'fu'jia'zhen'dong 附加振动
'fu'jiao'bian'wei'chi'lun'fu 负角变位齿轮副
'fu'mi'feng 副密封
'fu'mi'feng'mo'ca'li 副密封摩擦力
'fu'pian 副片
'fu'shi 腐蚀
'fu'shi'chan'wu 腐蚀产物
'fu'shi'dian'chi 腐蚀电池
'fu'shi'dian'wei 腐蚀电位
'fu'shi'gao'shi'yan 腐蚀膏试验
'fu'shi'huan'jing 腐蚀环境
'fu'shi'ji 腐蚀剂
'fu'shi'luo'xuan'ji'gou 复式螺旋机构
'fu'shi'mo'sun 腐蚀磨损
'fu'shi'pi'lao 腐蚀疲劳
'fu'shi'pi'lao'ji'xian 腐蚀疲劳极限
'fu'shi'shen'du 腐蚀深度
'fu'shi'shi'yan 腐蚀试验
'fu'shi'su'lv 腐蚀速率
'fu'shi'sun'shang 腐蚀损伤
'fu'shi'ti'xi 腐蚀体系
'fu'shi'tu 俯视图
'fu'shi'xiao'ying 腐蚀效应
'fu'shi'xing 腐蚀性
'fu'you'xi 负游隙
'fu'zhao'fu'shi 辐照腐蚀
'fu'zhi'tu 复制图
'fu'zhu'mi'feng 辅助密封
'fu'zhu'mi'feng'quan 辅助密封圈
'fu'zhu'xi'tong 辅助系统
'gai'jin'deng'su'yun'dong'gui'ji 改进等速运动轨迹
'gai'lv'mi'du'han'shu 概率密度函数
'gai'lv'zhi 概率纸
'gai'xing'bo'luo'mu 盖形薄螺母
'gai'xing'luo'mu 盖形螺母
'gan'he'run'hua 干涸润滑
'gan'mo'ca 干摩擦
'gan'mo'sun 干磨损
'gan'rao'li 干扰力
'gan'rao'li'ju 干扰力矩
'gan'shai'fen 干筛分
'gan'shi'li'he'qi 干式离合器
'gan'shi'zhi'dong'qi 干式制动器
'gang'du 刚度
'gang'guan'fa'lan 钢管法兰
'gang'lun 刚轮
'gang'qiu'li'he'qi 钢球离合器
'gang'si'dang'quan 钢丝挡圈
'gang'si'suo'quan 钢丝锁圈
'gang'si'suo'xiao 钢丝锁销
'gang'xing'chi'lun 刚性齿轮
'gang'xing'chong'ji 刚性冲击
'gang'xing'gou'jian 刚性构件
'gang'xing'li'he'qi 刚性离合器
'gang'xing'lian'jie 刚性联接
'gang'xing'lian'zhou'qi 刚性联轴器
'gang'xing'zhou'cheng 刚性轴承
'gang'xing'zhuan'zi 刚性转子
'gao'bei'ya'shi'ji'xie'mi'feng 高背压式机械密封
'gao'bian'wei'chi'lun'fu 高变位齿轮副
'gao'bian'wei'yuan'zhu'chi'lun'fu 高变位圆柱齿轮副
'gao'bian'wei'zhui'chi'lun'fu 高变位锥齿轮副
'gao'du 高度
'gao'du'xi'lie 高度系列
'gao'fu 高副
'gao'fu'ji'gou 高副机构
'gao'jing'bi 高径比
'gao'si'sui'ji'zao'sheng 高斯随机噪声
'gao'tan'xing'mo'ca'pian 高弹性摩擦片
'gao'wen'pi'lao 高温疲劳
'gao'zhou'pi'lao 高周疲劳
'ge'li'jian 隔离件
'ge'li'liu'ti 隔离流体
'ge'mo'li'he'qi 隔膜离合器
'ge'mo'pian 隔模片
'ge'quan 隔圈
'ge'ti 个体
'gen'yuan 根圆
'gen'yuan'zhi'jing 根圆直径
'gen'yuan'zhui'jiao 根圆锥角
'gen'zhui 根锥
'gen'zhui'ding'dian 根锥顶点
'gen'zhui'jiao 根锥角
'gong'cha 公差
'gong'cha'dai 公差带
'gong'cha'dan'wei 公差单位
'gong'chai'deng'ji 公差等级
'gong'cheng'jie'chu'jiao'da'yu 公称接触角大于
'gong'cheng'jie'chu'jiao'wei 公称接触角为
'gong'cheng'zhi'jing 公称直径
'gong'e'chi'kuo 共轭齿廓
'gong'e'chi'mian 共轭齿面
'gong'e'tu'lun 共轭凸轮
'gong'fa'xian'chang'du 公法线长度
'gong'gong'yue'shu 公共约束
'gong'gong'zhui'ding 公共锥顶
'gong'lv'xiao'hao 功率消耗
'gong'neng'zu'ai'gu'zhang 功能阻碍故障
'gong'tong'gong'zuo'fan'wei 共同工作范围
'gong'xing'ban'tan'huang 弓形板弹簧
'gong'zhen 共振
'gong'zhen'pin'lv 共振频率
'gong'zhen'shi'yan 共振试验
'gong'zhen'zhuan'su 共振转速
'gong'zuo'chi'mian 工作齿面
'gong'zuo'gao'du 工作高度
'gong'zuo'ji'xian'niu'zhuan'jiao 工作极限扭转角
'gong'zuo'ji'xian'zai'he 工作极限载荷
'gong'zuo'niu'zhuan'jiao 工作扭转角
'gong'zuo'qiang 工作腔
'gong'zuo'qiang'nei'jing 工作腔内径
'gong'zuo'ya'li 工作压力
'gong'zuo'zai'he 工作载荷
'gong'zuo'zu'li 工作阻力
'gong'zuo'zu'li'ju 工作阻力矩
'gou'cao'tu'lun 沟槽凸轮
'gou'dao'xiao'ying 沟道效应
'gou'jian 构件
'gou'jian'de'su'bi 构件的速比
'gou'jian'de'zi'you'du 构件的自由度
'gou'shi 沟蚀
'gou'tou'xie'jian 钩头楔键
'gou'xing'qiu'zhou'cheng 沟型球轴承
'gou'zhuang'fu'shi 沟状腐蚀
'gu'ding'gou'jian 固定构件
'gu'ding'lian'jie 固定联接
'gu'ding'tu'lun 固定凸轮
'gu'ding'zhi'cheng 固定支承
'gu'lun 鼓轮
'gu'shi'li'he'qi 鼓式离合器
'gu'shi'zhi'dong'qi 鼓式制动器
'gu'ti'run'hua 固体润滑
'gu'ti'run'hua'zhou'cheng 固体润滑轴承
'gu'xing'chi 鼓形齿
'gu'xing'xiu'zheng 鼓形修整
'gu'you'zhen'dong'mo'tai 固有振动模态
'gu'zhang 故障
'gu'zhang'mo'shi 故障模式
'gu'zhang'mo'shi'yu'ying'xiang'fen'xi 故障模式与影响分析
'gu'zhang'shu'fen'xi 故障树分析
'guai'dian 拐点
'guai'dian'yuan 拐点圆
'guai'dian'zhong'xin 拐点中心
'guan'ding'ju 冠顶距
'guan'lun 冠轮
'guan'qian'lian 管钳链
'guan'xi'tu 管系图
'guan'xing'ban'jing 惯性半径
'guan'xing'ji 惯性积
'guan'xing'li'ou'ju 惯性力偶矩
'guan'xing'li'xi'zhu'ju 惯性力系主矩
'guan'xing'xi'tong 惯性系统
'guan'xing'zhang'liang 惯性张量
'guan'xing'zhi'dong'qi 惯性制动器
'guan'xing'zhu'zhou 惯性主轴
'guan'zhuang'mao'ding 管状铆钉
'gui'ding'hua'fa 规定画法
'gun'dao 滚道
'gun'dao'jie'chu'zhi'jing 滚道接触直径
'gun'dao'zhong'bu 滚道中部
'gun'dong 滚动
'gun'dong'mo'ca 滚动摩擦
'gun'dong'ti 滚动体
'gun'dong'zhou'cheng 滚动轴承
'gun'hua'bo'luo'mu 滚花薄螺母
'gun'hua'gao'luo'mu 滚花高螺母
'gun'hua'gao'tou'luo'ding 滚花高头螺钉
'gun'lun 滚轮
'gun'lun'jia 滚轮架
'gun'lun'shi'bo'fa'sheng'qi 滚轮式波发生器
'gun'zhen 滚针
'gun'zhen'zhou'cheng 滚针轴承
'gun'zhu'huo'chi 滚珠活齿
'gun'zhu'li'he'qi 滚柱离合器
'gun'zhu'luo'mu'zu'jian 滚珠螺母组件
'gun'zhu'si'gang 滚珠丝杠
'gun'zhu'si'gang'fu 滚珠丝杠副
'gun'zi 滚子
'gun'zi'chang'du 滚子长度
'gun'zi'huo'chi 滚子活齿
'gun'zi'lian 滚子链
'gun'zi'zhi'jing 滚子直径
'gun'zi'zhou'cheng 滚子轴承
'gun'zi'zong'ti'nei'jing 滚子总体内径
'gun'zi'zong'ti'wai'jing 滚子总体外径
'gun'zi'zu'de'jie'yuan'zhi'jing 滚子组的节圆直径
'gun'zi'zu'nei'jing 滚子组内径
'gun'zi'zu'wai'jing 滚子组外径
'guo'bao'hu 过保护
'guo'du'lian'jie 过渡链节
'guo'du'pei'he 过渡配合
'guo'du'qu'xian'gan'she 过渡曲线干涉
'guo'dun'hua'dian'wei 过钝化电位
'guo'dun'tai 过钝态
'guo'hui'fu 过恢复
'guo'liu'duan'mian 过流断面
'guo'shai'lv 过筛率
'guo'ying 过盈
'guo'ying'lian'jie 过盈联接
'guo'ying'pei'he 过盈配合
'guo'zai'xi'shu 过载系数
'hai'yang'fu'shi 海洋腐蚀
'han'jie'fang'luo'mu 焊接方螺母
'han'jie'fu'shi 焊接腐蚀
'han'jie'liu'jiao'luo'mu 焊接六角螺母
'han'jie'luo'zhu 焊接螺柱
'hao'qi'liang 耗气量
'hao'sun'gu'zhang 耗损故障
'hao'sun'shi'xiao 耗损失效
'hao'sun'shi'xiao'qi 耗损失效期
'he'bei'bao'rong'jian 和被包容件
'he'cheng'bu'ping'heng'li 合成不平衡力
'he'cheng'bu'ping'heng'li'ju 合成不平衡力矩
'he'dong'li'nian'du 和动力黏度
'he'ge'jie'xian 合格界限
'he'ge'shi'yan'shai 合格试验筛
'he'xi'shu 赫西数
'heng'ding'shi'xiao'lv'qi 恒定失效率期
'heng'ding'shi'xiao'mi'du'qi 恒定失效密度期
'heng'fu'zai'he 恒幅载荷
'heng'liu'liang'fa 恒流量阀
'hou'bi'zhou'wa 厚壁轴瓦
'hou'feng'ju'chi'chong'ji'mai'chong 后峰锯齿冲击脉冲
'hou'mo'run'hua 厚膜润滑
'hou'qing'ye'pian 后倾叶片
'hou'shi'tu 后视图
'hou'yuan 喉圆
'hu'chi'shi'jian 互斥事件
'hu'chi'zhui'chi'lun 弧齿锥齿轮
'hu'gao 弧高
'hu'mian'fen'du'tu'lun'ji'gou 弧面分度凸轮机构
'hu'quan 护圈
'hua'cha 滑差
'hua'dong 滑动
'hua'dong'biao'mian 滑动表面
'hua'dong'jiao 滑动角
'hua'dong'lv 滑动率
'hua'dong'mo'ca 滑动摩擦
'hua'dong'mo'ca'xi'shu 滑动摩擦系数
'hua'dong'shi'jian 滑动时间
'hua'dong'su'du 滑动速度
'hua'dong'zhou'cheng 滑动轴承
'hua'dong'zhou'cheng'ban'jing'jian'xi 滑动轴承半径间隙
'hua'dong'zhou'cheng'kong 滑动轴承孔
'hua'dong'zhou'cheng'kong'jing 滑动轴承孔径
'hua'dong'zhou'cheng'kuan'du 滑动轴承宽度
'hua'dong'zhou'cheng'xi'tong 滑动轴承系统
'hua'dong'zhou'cheng'xiang'dui'jian'xi 滑动轴承相对间隙
'hua'dong'zhou'cheng'zhi'jing'jian'xi 滑动轴承直径间隙
'hua'dong'zhou'cheng'zhou'xiang'jian'xi 滑动轴承轴向间隙
'hua'dong'zhou'cheng'zuo 滑动轴承座
'hua'dong'zhou'cheng'zuo'kong 滑动轴承座孔
'hua'fa 滑阀
'hua'jian 花键
'hua'jian 滑键
'hua'jian'lian'jie 花键联接
'hua'kai'xing'lie'wen 滑开型裂纹
'hua'kuai 滑块
'hua'kuai'lian'jie 滑块联接
'hua'kuai'lian'zhou'qi 滑块联轴器
'hua'kuai'shu'chu'ji'gou 滑块输出机构
'hua'mo'gong 滑摩功
'hua'mo'gong'lv 滑摩功率
'hua'shang 划伤
'hua'xue'fu'shi 化学腐蚀
'hua'yi'jian 滑移件
'huan'chong'jie'he'guo'cheng 缓冲接合过程
'huan'dian 环点
'huan'dian'qu'xian 环点曲线
'huan'jing 环境
'huan'jing'tiao'jian 环境条件
'huan'jing'zhen'dong 环境振动
'huan'mian'wo'gan 环面蜗杆
'huan'mian'wo'gan'fu 环面蜗杆副
'huan'xiang'fa 换向阀
'huan'xing'fu'shi 环形腐蚀
'huan'xing'rou'lun 环形柔轮
'huan'xing'tan'huang 环形弹簧
'huang'pian'lian'zhou'qi 簧片联轴器
'huang'tong'tuo'xin 黄铜脱锌
'hui'cheng 回程
'hui'cheng'yun'dong'jiao 回程运动角
'hui'fu 恢复
'hui'huai'xing'mo'sun 毁坏性磨损
'hui'wei'tan'huang 回位弹簧
'hui'yun'dong 回运动
'hui'zhu'tie'guan'fa'lan 灰铸铁管法兰
'hui'zhu'tie'luo'wen'guan'fa'lan 灰铸铁螺纹管法兰
'hui'zhuan'ban'jing 回转半径
'hui'zhuan'ye'pian 回转叶片
'hun'dun 混沌
'hun'he'kong'zhi 混合控制
'hun'lian'xi'tong 混联系统
'huo'chang'du 或长度
'huo'chi 活齿
'huo'chi'jia 活齿架
'huo'chi'lun 活齿轮
'huo'chi'shao'chi'cha'chi'lun'fu 活齿少齿差齿轮副
'huo'deng'ying'li 或等应力
'huo'duan'mian 或端面
'huo'fen'li 或分离
'huo'hua'ji 活化剂
'huo'jian'xiao 或减小
'huo'jie'luo'shuan 活节螺栓
'huo'nian'zhe'neng 或黏着能
'huo'shen'du 或深度
'huo'shui 或水
'huo'tai 活态
'huo'tao'fa'lan 活套法兰
'huo'xiao'chu 或消除
'huo'ying'bian 或应变
'huo'yun'dong'bu'jian 或运动部件
'huo'yun'dong'ji'xie 或运动机械
'huo'zeng'jia 或增加
'ji'ben'chi'cun 基本尺寸
'ji'ben'chi'kuo 基本齿廓
'ji'ben'chi'tiao 基本齿条
'ji'ben'chi'tiao'de'fa'xiang 基本齿条的法向
'ji'ben'e'ding'shou'ming 基本额定寿命
'ji'ben'pian'cha 基本偏差
'ji'ben'rong'ji 基本容积
'ji'ben'shi'jian 基本事件
'ji'ben'ya'xing 基本牙型
'ji'ben'yun'dong'gui'ji 基本运动轨迹
'ji'ben'zhen'xing 基本振型
'ji'ben'zhou'qi 基本周期
'ji'bian 畸变
'ji'dian'su'du 极点速度
'ji'gou 机构
'ji'gou'chuan'dong'bi 机构传动比
'ji'gou'de'ping'heng 机构的平衡
'ji'gou'fen'xi 机构分析
'ji'gou'jian'tu 机构简图
'ji'gou'jie'gou'gong'shi 机构结构公式
'ji'gou'xue 机构学
'ji'gou'yun'dong'jian'tu 机构运动简图
'ji'gou'yun'dong'xue 机构运动学
'ji'gou'yun'dong'xue'fen'xi 机构运动学分析
'ji'gou'yun'dong'xue'zong'he 机构运动学综合
'ji'gou'zong'he 机构综合
'ji'he'xiang'si 几何相似
'ji'he'yue'shu 几何约束
'ji'hua'dian'zu 极化电阻
'ji'hui'yun'dong'ji'gou 急回运动机构
'ji'ji'kong'zhi'shi'bo'fa'sheng'qi 积极控制式波发生器
'ji'jia 机架
'ji'kong'zhi 基孔制
'ji'lie 季裂
'ji'lun 棘轮
'ji'lun'ji'gou 棘轮机构
'ji'lun'li'he'qi 棘轮离合器
'ji'qi 机器
'ji'san'xi'tong 集散系统
'ji'suan'gong'kuang 计算工况
'ji'tiao'xiang'tong'de'pu'tong 几条相同的普通
'ji'wei'jia'jiao 极位夹角
'ji'xian 极限
'ji'xian'chi'cun 极限尺寸
'ji'xian'gao'du 极限高度
'ji'xian'mo'ca 极限摩擦
'ji'xian'niu'zhuan'jiao 极限扭转角
'ji'xian'pian'cha 极限偏差
'ji'xian'zai'he 极限载荷
'ji'xian'zhi 极限值
'ji'xie 机械
'ji'xie'chong'ji 机械冲击
'ji'xie'chuan'dong 机械传动
'ji'xie'dao'na 机械导纳
'ji'xie'de'ping'heng 机械的平衡
'ji'xie'de'shun'shi'xiao'lv 机械的瞬时效率
'ji'xie'de'xun'huan'xiao'lv 机械的循环效率
'ji'xie'dong'li'xue 机械动力学
'ji'xie'gong'cheng 机械工程
'ji'xie'hua'xue'mo'sun 机械化学磨损
'ji'xie'li'he'qi 机械离合器
'ji'xie'lian'jie 机械联接
'ji'xie'mi'feng 机械密封
'ji'xie'mo'sun 机械磨损
'ji'xie'shi'bo'fa'sheng'qi 机械式波发生器
'ji'xie'sun'shi 机械损失
'ji'xie'xi'tong 机械系统
'ji'xie'xiao'yi 机械效益
'ji'xie'yuan'jian 机械元件
'ji'xie'zhen'dong 机械振动
'ji'xie'zhi'dong'qi 机械制动器
'ji'xie'zu'kang 机械阻抗
'ji'ya'run'hua 极压润滑
'ji'ya'run'hua'ji 极压润滑剂
'ji'ya'xiao'ying 挤压效应
'ji'you'tai'jie 即有台阶
'ji'yuan 基圆
'ji'yuan'chi'ju 基圆齿距
'ji'yuan'dao'cheng'jiao 基圆导程角
'ji'yuan'luo'xuan'jiao 基圆螺旋角
'ji'yuan'luo'xuan'xian 基圆螺旋线
'ji'yuan'zhi'jing 基圆直径
'ji'yuan'zhu'mian 基圆柱面
'ji'zhong'fen'san'kong'zhi'xi'tong 集中分散控制系统
'ji'zhong'run'hua 集中润滑
'ji'zhong'run'hua'xi'tong 集中润滑系统
'ji'zhou'zhi 基轴制
'ji'zhua 棘爪
'ji'zhuan'dong'guan'liang 极转动惯量
'ji'zhun'chang'du 基准长度
'ji'zhun'jie'yuan'zhu'mian 基准节圆柱面
'ji'zhun'kong 基准孔
'ji'zhun'kuan'du 基准宽度
'ji'zhun'ping'mian 基准平面
'ji'zhun'wo'gan 基准蜗杆
'ji'zhun'xian 基准线
'ji'zhun'xian'cha 基准线差
'ji'zhun'yuan'zhou'chang 基准圆周长
'ji'zhun'zhi'jing 基准直径
'ji'zhun'zhou 基准轴
'jia'jin'dang'quan 夹紧挡圈
'jia'jin'huan 夹紧环
'jia'ke'lian'zhou'qi 夹壳联轴器
'jia're'liu'ti 加热流体
'jia're'zai'sheng 加热再生
'jia'su 加速
'jia'su'du'shun'xin 加速度瞬心
'jia'su'fu'shi'shi'yan 加速腐蚀试验
'jia'su'lao'hua'shi'yan 加速老化试验
'jia'su'xing 假塑性
'jia'tou 夹头
'jia'wen'li'ding'chu'li 加温立定处理
'jia'wen'qiang'la'chu'li 加温强拉处理
'jia'wen'qiang'niu'chu'li 加温强扭处理
'jia'wen'qiang'ya'chu'li 加温强压处理
'jia'wen'zheng'ding'chu'li 加温整定处理
'jian'bian'shi'xiao 渐变失效
'jian'cao 键槽
'jian'cui 碱脆
'jian'ge'gang'qiu 间隔钢球
'jian'gou'duan'tan'xing'dian'quan 尖钩端弹性垫圈
'jian'hua'hua'fa 简化画法
'jian'hua'zhi'liang 简化质量
'jian'hua'zhuan'dong'guan'liang 简化转动惯量
'jian'jin'shi'yan 间浸试验
'jian'ju 间距
'jian'kai'luo'xuan'mian 渐开螺旋面
'jian'kai'mian'bao'luo'huan'mian'wo'gan 渐开面包络环面蜗杆
'jian'kai'xian 渐开线
'jian'kai'xian'chi'kuo 渐开线齿廓
'jian'kai'xian'chi'lun 渐开线齿轮
'jian'kai'xian'hua'jian 渐开线花键
'jian'kai'xian'wo'gan 渐开线蜗杆
'jian'kai'xian'wo'gan'ji'yuan 渐开线蜗杆基圆
'jian'kai'xian'wo'gan'ji'yuan'zhu'mian 渐开线蜗杆基圆柱面
'jian'kai'xian'yuan'zhu'chi'lun 渐开线圆柱齿轮
'jian'lian'jie 键联接
'jian'mo'zhou'cheng'cai'liao 减摩轴承材料
'jian'qie'an'ding'xing 剪切安定性
'jian'qie'shi'xiang'jiao'tan'huang 剪切式橡胶弹簧
'jian'shi'li'he'qi 键式离合器
'jian'su'bi 减速比
'jian'su'chi'lun'fu 减速齿轮副
'jian'su'chi'lun'xi 减速齿轮系
'jian'su'ji 减速机
'jian'su'qi 减速器
'jian'su'xiang 减速箱
'jian'tu 简图
'jian'xi 间隙
'jian'xi'kong'cheng 间隙空程
'jian'xi'pei'he 间隙配合
'jian'xie'gu'zhang 间歇故障
'jian'xie'run'hua 间歇润滑
'jian'xie'yun'dong'ji'gou 间歇运动机构
'jian'xie'yun'dong'lian'gan'ji'gou 间歇运动连杆机构
'jian'xie'zhen'dong 简谐振动
'jian'ya'fa 减压阀
'jiang'lian'xu'de'zai'he 将连续的载荷
'jiang'rong'liang'wei 将容量为
'jiang'shi'ce'de'zai'he 将实测的载荷
'jiao'ban'zhuan'ju 搅拌转矩
'jiao'bian'wei'chi'lun'fu 角变位齿轮副
'jiao'bian'wei'yuan'zhu'chi'lun'fu 角变位圆柱齿轮副
'jiao'bian'wei'zhui'chi'lun'fu 角变位锥齿轮副
'jiao'bian'yuan 交变圆
'jiao'cha'chuan'dong 交叉传动
'jiao'cha'gun'zi'zhou'cheng 交叉滚子轴承
'jiao'cuo'zhou'chi'lun'fu 交错轴齿轮副
'jiao'cuo'zhou'xie'chi'lun'fu 交错轴斜齿轮副
'jiao'du'chuan'dong 角度传动
'jiao'du'xi'lie 角度系列
'jiao'fa'lan'mian'luo'mu 角法兰面螺母
'jiao'jie'chu'tui'li'zhou'cheng 角接触推力轴承
'jiao'jie'chu'zhou'cheng 角接触轴承
'jiao'lian'lian'jie 铰链连接
'jiao'lian'si'gan'ji'gou 铰链四杆机构
'jiao'liu'dian'qi'chuan'dong 交流电气传动
'jiao'zheng 校正
'jiao'zheng'fang'fa 校正方法
'jiao'zheng'zhi'liang 校正质量
'jiao'zhi 胶质
'jie'chu 接触
'jie'chu'dian 接触点
'jie'chu'pi'lao 接触疲劳
'jie'chu'xian 接触线
'jie'dian 节点
'jie'ding'ju 节顶距
'jie'gen'ju 节根距
'jie'he'guo'cheng 接合过程
'jie'he'ji'gou 接合机构
'jie'he'pin'lv 接合频率
'jie'he'shi'jian 接合时间
'jie'he'yuan'jian 接合元件
'jie'he'zhuan'su 接合转速
'jie'jing 节径
'jie'ju 节距
'jie'kuan 节宽
'jie'liao'pan 接料盘
'jie'liu'fa 节流阀
'jie'liu'qi 节流器
'jie'mian 节面
'jie'ping'mian 节平面
'jie'qu'mian 节曲面
'jie'xian 节线
'jie'xian'chang 节线长
'jie'xian'tu 接线图
'jie'yuan 节圆
'jie'yuan'luo'xuan'xian 节圆螺旋线
'jie'yuan'zhi'jing 节圆直径
'jie'yuan'zhou'chang 节圆周长
'jie'yuan'zhu'mian 节圆柱面
'jie'yuan'zhui'mian 节圆锥面
'jie'zhu'yun'dong'bu'jian 借助运动部件
'jie'zhui 节锥
'jie'zhui'luo'xuan'tan'huang 截锥螺旋弹簧
'jie'zhui'wo'juan'tan'huang 截锥涡卷弹簧
'jin'bian'la'li 紧边拉力
'jin'ding'luo'ding 紧定螺钉
'jin'gu'jian 紧固件
'jin'kuan 筋宽
'jin'shi'mo'sun 浸蚀磨损
'jin'shu'bo'wen'guan'ji'xie'mi'feng 金属波纹管机械密封
'jin'shu'mo'ca'cai'liao 金属摩擦材料
'jin'shu'si'bian'zhi'wang 金属丝编织网
'jin'shu'tan'xing'yuan'jian'lian'zhou'qi 金属弹性元件联轴器
'jin'shu'tao'ci'mo'ca'cai'liao 金属陶瓷摩擦材料
'jin'si'chi'cun'ke'li 近似尺寸颗粒
'jin'si'zhi'xian'ji'gou 近似直线机构
'jin'ti 紧蹄
'jin'xiu'zhi'jiao 近休止角
'jin'you'li'he'qi 浸油离合器
'jin'zhi'dong'yun'dong'bu'jian 仅制动运动部件
'jing'bu'ping'heng 静不平衡
'jing'dian'zhou'cheng 静电轴承
'jing'jian'fu'shi 晶间腐蚀
'jing'jian'fu'shi'shi'yan 晶间腐蚀试验
'jing'jian'po'lie 晶间破裂
'jing'jie 径节
'jing'lian'jie 静联接
'jing'mo'ca 静摩擦
'jing'mo'ca'li 静摩擦力
'jing'mo'ca'li'ju 静摩擦力矩
'jing'mo'ca'xi'shu 静摩擦系数
'jing'si 经丝
'jing'xiang'bian'wei 径向变位
'jing'xiang'bian'wei'liang 径向变位量
'jing'xiang'bian'wei'xi'shu 径向变位系数
