'an'hui'hui'shang 安徽徽商
'mai'ru'ping'cang 买入平仓
'mei'dou'po'zhi 美豆粕指
'mei'dou'you'zhi 美豆油指
'mei'dou'zhi'shu 美豆指数
'mei'er'ya 美尔雅
'mei'er'ya'qi'huo 美尔雅期货
'mei'er'ya'qi'huo'jing'ji'you'xian'gong'si 美尔雅期货经纪有限公司
'mei'mai'zhi'shu 美麦指数
'mei'mian'zhi'shu 美棉指数
'mei'ran'you'zhi 美燃油指
'mei'ri'jia'ge'zui'da'bo'dong'xian'zhi 每日价格最大波动限制
'mei'shi'qi'quan 美式期权
'mei'yu'mi'zhi 美玉米指
'mei'yuan 美元
'mei'yuan'you'zhi 美原油指
'mei'yuan'zhi'shu 美元指数
'min'sheng 民生
'min'sheng'qi'huo 民生期货
'min'sheng'qi'huo'you'xian'gong'si 民生期货有限公司
'mo'gen'da'tong 摩根大通
'mo'gen'da'tong'qi'huo'you'xian'gong'si 摩根大通期货有限公司
'mo'xi'ge'yan'sheng'pin'jiao'yi'suo 墨西哥衍生品交易所
'mu'qian'shang'shi'jiao'yi'he'yue 目前上市交易合约
'nan'hua 南华
'nan'hua'qi'huo 南华期货
'nan'hua'qi'huo'jing'ji'you'xian'gong'si 南华期货经纪有限公司
'nan'zheng 南证
'nan'zheng'qi'huo 南证期货
'nan'zheng'qi'huo'you'xian'ze'ren'gong'si 南证期货有限责任公司
'nei'meng'gu'zheng'quan'qi'huo'ye'xie'hui 内蒙古证券期货业协会
'nei'pan 内盘
'ning'bo'shan'li 宁波杉立
'ning'bo'shan'li'qi'huo'jing'ji'you'xian'gong'si 宁波杉立期货经纪有限公司
'ning'bo'zheng'quan'qi'huo'ye'xie'hui 宁波证券期货业协会
'ning'xia'qi'huo'ye'xie'hui 宁夏期货业协会
'niu'shi 牛市
'niu'shi'tao'qi'tu'li 牛市套期图利
'niu'yue'qi'huo'jiao'yi'suo 纽约期货交易所
'niu'yue'shang'ye'jiao'yi'suo 纽约商业交易所
'nong'zuo'wu'xiao'shou'nian'du 农作物销售年度
'ou'shi'qi'quan 欧式期权
'ou'zhou'qi'huo'jiao'yi'suo 欧洲期货交易所
'pan'gan 盘感
'pei'zi 配资
'peng'bo 澎博
'piao'mian'li'lv 票面利率
'pin'zhong 品种
'ping'an 平安
'ping'an'qi'huo 平安期货
'ping'cang 平仓
'ping'gu 评估
'ping'jin 平今
'ping'jin'you'hui 平今优惠
'pu'min 普民
'qi'huo 期货
'qi'huo'bao'zheng'jin'cun'guan'yin'hang 期货保证金存管银行
'qi'huo'bao'zheng'jin'cun'kuan 期货保证金存款
'qi'huo'fa 期货法
'qi'huo'feng'xian'zhun'bei'jin 期货风险准备金
'qi'huo'he'tong 期货合同
'qi'huo'he'yue 期货合约
'qi'huo'hui'yuan'zi'ge'tou'zi 期货会员资格投资
'qi'huo'jiao'yi 期货交易
'qi'huo'jiao'yi'guan'li'tiao'li 期货交易管理条例
'qi'huo'jiao'yi'suo 期货交易所
'qi'huo'jiao'yi'suo'te'bie'hui'yuan 期货交易所特别会员
'qi'huo'jiao'yi'yuan 期货交易员
'qi'huo'jiao'yi'zhe 期货交易者
'qi'huo'jing'ji'shang 期货经纪商
'qi'huo'pei'zi 期货配资
'qi'huo'ren 期货人
'qi'huo'sheng'shui 期货升水
'qi'huo'shi'chang 期货市场
'qi'huo'shi'jian 期货时间
'qi'huo'shu'ju'geng'xin 期货数据更新
'qi'huo'tie'shui 期货贴水
'qi'huo'tou'zi'fen'xi 期货投资分析
'qi'huo'tou'zi'zi'xun'zi'ge 期货投资咨询资格
'qi'huo'yong'jin'shang 期货佣金商
'qi'quan 期权
'qi'quan'chi'you'zhe 期权持有者
'qi'quan'mai'fang 期权买方
'qi'quan'mai'fang 期权卖方
'qi'quan'tao'qi'tu'li 期权套期图利
'qi'ta'fu'zhai 其他负债
'qi'ta'ying'fu'kuan 其他应付款
'qi'ta'ying'shou'kuan 其他应收款
'qi'ta'zi'chan 其他资产
'qi'xian'tao'li 期现套利
'qi'yue'gui'ding 契约规定
'qi'zhang'gong'die 齐涨共跌
'qi'zhuan'xian 期转现
'qi'zhuan'yin 期转银
'qian'di 前低
'qian'gao 前高
'qian'kun 乾坤
'qian'kun'qi'huo 乾坤期货
'qian'kun'qi'huo'you'xian'gong'si 乾坤期货有限公司
'qiang'mai 强麦
'qiang'mai'zhi'shu 强麦指数
'qiang'xing'ping'cang 强行平仓
'qiang'xing'ping'cang'zhi'du 强行平仓制度
'qing'dao'zheng'quan'ye'xie'hui 青岛证券业协会
'qu'shi'fen'xi 趋势分析
'qu'shi'xian 趋势线
'qu'xiao'zhi'ling 取消指令
'quan'qiu'shang'pin'shi'chang 全球商品市场
'ran'you 燃油
'ran'you'zhi'shu 燃油指数
'ran'you'zhu'li 燃油主力
'ri'jiao'yi'zhe 日交易者
'ri'jiao'zhi'shu 日胶指数
'ri'nei 日内
'ri'nei'jiao'yi 日内交易
'ri'tu 日图
'ri'xian'tu 日线图
'ru'shi 入市
'rui'da 瑞达
'rui'da'qi'huo 瑞达期货
'rui'da'qi'huo'jing'ji'you'xian'gong'si 瑞达期货经纪有限公司
'rui'long 瑞龙
'rui'long'qi'huo 瑞龙期货
'rui'qi 瑞奇
'ruo'shi 弱势
'san'chong'guo'lv 三重过滤
'san'jiao'xing 三角形
'san'li 三力
'san'li 三立
'san'wu'jiu 三五九
'san'wu'jiu'qi'huo 三五九期货
'sao'pan 扫盘
'sha'die 杀跌
'shan'dian'shou 闪电手
'shan'dong'sheng'qi'huo'ye'xie'hui 山东省期货业协会
'shan'li 杉立
'shan'li'qi'huo 杉立期货
'shan'xi'chang'an 陕西长安
'shan'xi'san'li 山西三立
'shan'xi'san'li'qi'huo'jing'ji'you'xian'gong'si 山西三立期货经纪有限公司
'shan'xi'sheng'chang'an'qi'huo'jing'ji'you'xian'gong'si 陕西省长安期货经纪有限公司
'shan'xi'wu'chan 山西物产
'shan'xi'zheng'quan'qi'huo'ye'xie'hui 陕西证券期货业协会
'shang'hai'da'lu 上海大陆
'shang'hai'da'lu'qi'huo'you'xian'gong'si 上海大陆期货有限公司
'shang'hai'dong'fang'qi'huo'jing'ji'you'xian'ze'ren'gong'si 上海东方期货经纪有限责任公司
'shang'hai'dong'ya 上海东亚
'shang'hai'dong'ya'qi'huo'jing'ji'you'xian'gong'si 上海东亚期货经纪有限公司
'shang'hai'dong'zheng'qi'huo'you'xian'gong'si 上海东证期货有限公司
'shang'hai'jin'yuan 上海金源
'shang'hai'jin'yuan'qi'huo'jing'ji'you'xian'ze'ren'gong'si 上海金源期货经纪有限责任公司
'shang'hai'jiu'heng 上海久恒
'shang'hai'jiu'heng'qi'huo'jing'ji'you'xian'gong'si 上海久恒期货经纪有限公司
'shang'hai'liang'mao 上海良茂
'shang'hai'liang'mao'qi'huo'jing'ji'you'xian'gong'si 上海良茂期货经纪有限公司
'shang'hai'pu'min 上海普民
'shang'hai'pu'min'qi'huo'jing'ji'you'xian'gong'si 上海普民期货经纪有限公司
'shang'hai'qi'huo'jiao'yi'suo 上海期货交易所
'shang'hai'qi'huo'tong'ye'gong'hui 上海期货同业公会
'shang'hai'tong'lian 上海通联
'shang'hai'tong'lian'qi'huo'jing'ji'you'xian'gong'si 上海通联期货经纪有限公司
'shang'hai'yi'hai 上海益海
'shang'hai'zhe'shi 上海浙石
'shang'hai'zhe'shi'qi'huo'jing'ji'you'xian'gong'si 上海浙石期货经纪有限公司
'shang'hai'zheng'quan'jiao'yi'suo 上海证券交易所
'shang'hai'zhong'cai 上海中财
'shang'hai'zhong'cai'qi'huo'you'xian'gong'si 上海中财期货有限公司
'shang'hai'zhong'qi 上海中期
'shang'hai'zhong'qi'qi'huo'jing'ji'you'xian'gong'si 上海中期期货经纪有限公司
'shang'pin 商品
'shang'pin'he'zi'ji'jin'jing'li 商品合资基金经理
'shang'pin'jiao'yi'gu'wen 商品交易顾问
'shang'pin'qi'huo'jiao'yi 商品期货交易
'shang'pin'qi'quan'shi'chang'hui'yuan'zi'ge 商品期权市场会员资格
'shang'pin'shi'ye'bu 商品事业部
'shang'po 上破
'shang'qi'suo 上期所
'shang'shi'jiao'yi 上市交易
'shang'shi'jiao'yi'he'yue 上市交易合约
'shang'shi'jiao'yi'suo 上市交易所
'shang'shi'pin'zhong 上市品种
'shang'tan 上探
'shang'ti 上提
'shang'zhang 上涨
'shen'hua 神华
'shen'hua'qi'huo 神华期货
'shen'hua'qi'huo'jing'ji'you'xian'gong'si 神华期货经纪有限公司
'shen'yin'wan'guo 申银万国
'shen'yin'wan'guo'qi'huo'you'xian'gong'si 申银万国期货有限公司
'shen'zhen'jin'hui 深圳金汇
'shen'zhen'jin'hui'qi'huo'jing'ji'you'xian'gong'si 深圳金汇期货经纪有限公司
'shen'zhen'rui'long'qi'huo'you'xian'gong'si 深圳瑞龙期货有限公司
'shen'zhen'shi'ping'an'qi'huo'jing'ji'you'xian'gong'si 深圳市平安期货经纪有限公司
'shen'zhen'shi'qi'huo'tong'ye'xie'hui 深圳市期货同业协会
'shen'zhen'shi'qi'huo'ye'tong'ye'xie'hui 深圳市期货业同业协会
'shen'zhen'zheng'quan'jiao'yi'suo 深圳证券交易所
'sheng'da'qi'huo 盛达期货
'sheng'da'qi'huo'you'xian'gong'si 盛达期货有限公司
'sheng'shui 升水
'sheng'tie'shui 升贴水
'sheng'xin 晟鑫
'sheng'xin'qi'huo 晟鑫期货
'sheng'xin'qi'huo'jing'ji'you'xian'gong'si 晟鑫期货经纪有限公司
'shi'dai 时代
'shi'huo'jiao'ge 实货交割
'shi'jia'zhi'ling 市价指令
'shi'jian'zhou'qi 时间周期
'shi'pan'da'sai 实盘大赛
'shi'shou'zi'ben'huo'gu'ben 实收资本或股本
'shi'tai 势态
'shi'wu'jiao'ge 实物交割
'shi'zhan 实战
'shi'zhi'qi'quan 实值期权
'shou'chu 收储
'shou'chuang 首创
'shou'pan 收盘
'shou'pan'jia 收盘价
'shou'pan'jia'fan'wei 收盘价范围
'shou'xi'feng'xian'guan 首席风险官
'shou'yi'lv 收益率
'shuang'kai 双开
'shuang'ping 双平
'shui'ping'tao'qi'tu'li 水平套期图利
'si'cha 死叉
'si'chuan'sheng'zheng'quan'qi'huo'ye'xie'hui 四川省证券期货业协会
'si'po'fei'po 似破非破
'su'liao 塑料
'su'liao'duo'dan'kai'cang 塑料多单开仓
'su'liao'duo'dan'ping'cang 塑料多单平仓
'su'liao'kong'dan'kai'cang 塑料空单开仓
'su'liao'kong'dan'ping'cang 塑料空单平仓
'su'liao'zhi'shu 塑料指数
'su'liao'zhu'li 塑料主力
'su'wu 苏物
'su'zhou'zhong'chen 苏州中辰
'sui'shen'xing 随身行
'suo'cang 锁仓
'suo'you'zhe'quan'yi'he'ji 所有者权益合计
'tai'wan'qi'huo'jiao'yi'suo 台湾期货交易所
'tao'hui 套汇
'tao'li 套利
'tao'qi'bao'zhi 套期保值
'tao'qi'bao'zhi'jiao'yi 套期保值交易
'tao'qi'bao'zhi'zhe 套期保值者
'tao'qi'tu'li 套期图利
'tian'fu 天富
'tian'fu'qi'huo 天富期货
'tian'fu'qi'huo'jing'ji'you'xian'gong'si 天富期货经纪有限公司
'tian'hong 天鸿
'tian'hong'qi'huo'jing'ji'you'xian'gong'si 天鸿期货经纪有限公司
'tian'hui'qi'huo 天汇期货
'tian'hui'qi'huo'you'xian'gong'si 天汇期货有限公司
'tian'jiao 天胶
'tian'jin'jin'gu 天津金谷
'tian'jin'jin'gu'qi'huo'jing'ji'you'xian'gong'si 天津金谷期货经纪有限公司
'tian'jin'shi'qi'huo'xie'hui 天津市期货协会
'tian'li 天利
'tian'li'qi'huo 天利期货
'tian'meng'xian'jue 天梦先觉
'tian'qi 天琪
'tian'qi'qi'huo 天琪期货
'tiao'kong'que'kou 跳空缺口
'tiao'xing'tu 条形图
'tiao'zheng'zhang'die'ting'ban'fu'du 调整涨跌停板幅度
'tie'shui 贴水
'ting'ban'e 停板额
'tong'duo'dan'kai'cang 铜多单开仓
'tong'duo'dan'ping'cang 铜多单平仓
'tong'kong'dan'kai'cang 铜空单开仓
'tong'kong'dan'ping'cang 铜空单平仓
'tong'lian 通联
'tong'pan 通盘
'tong'yi'kai'hu 统一开户
'tou'cun 头寸
'tou'cun'xian'zhi 头寸限制
'tou'ji 投机
'tou'ji'jiao'yi 投机交易
'tou'ji'zhe 投机者
'tou'jian'di 头肩底
'tou'jian'ding 头肩顶
'tou'zi'ren 投资人
'tou'zi'zhe 投资者
'tui'chi'jiao'ge'ri'qi 推迟交割日期
'tuo'pan 托盘
'wai'hui'an'jin'jiao'yi 外汇按金交易
'wai'hui'chu'bei 外汇储备
'wai'hui'qi'huo 外汇期货
'wai'pan 外盘
'wan'da 万达
'wan'da'qi'huo 万达期货
'wan'da'qi'huo'you'xian'gong'si 万达期货有限公司
'wan'jie'ding'xin 万杰鼎鑫
'wang'shang'jiao'yi'xi'tong 网上交易系统
'wei'bi 委比
'wei'chi'bao'zheng'jin 维持保证金
'wei'fen'pei'li'run 未分配利润
'wei'tuo'dan 委托单
'wen'feng 文峰
'wen'hua'cai'jing 文华财经
'wen'shi'ji'tuan 温氏集团
'wu'kuang'qi'huo 五矿期货
'wu'kuang'qi'huo'you'xian'gong'si 五矿期货有限公司
'wu'xing'zi'chan 无形资产
'xi'bu 西部
'xi'bu'qi'huo 西部期货
'xi'bu'qi'huo'you'xian'gong'si 西部期货有限公司
'xi'nan 西南
'xi'nan'qi'huo 西南期货
'xi'nan'qi'huo'jing'ji'you'xian'gong'si 西南期货经纪有限公司
'xi'piao 息票
'xi'tong 系统
'xia'gui 下轨
'xia'men'guo'mao'qi'huo'jing'ji'you'xian'gong'si 厦门国贸期货经纪有限公司
'xia'men'zheng'quan'qi'huo'ye'xie'hui 厦门证券期货业协会
'xia'po 下破
'xia'tan 下探
'xian'cai 线材
'xian'cang'zhi'du 限仓制度
'xian'dao 籼稻
'xian'huo'he'yue 现货合约
'xian'huo'jia'ge 现货价格
'xian'huo'shang'pin 现货商品
'xian'huo'shi'chang 现货市场
'xian'jia'zhi'ling 限价指令
'xian'jin'jiao'ge 现金交割
'xian'jin'jie'suan 现金结算
'xian'qi'ping'cang 限期平仓
'xian'rong 先融
'xian'tu 线图
'xiang'cai'qi'nian 湘财祈年
'xiang'cai'qi'nian'qi'huo'jing'ji'you'xian'gong'si 湘财祈年期货经纪有限公司
'xiang'gang'jiao'yi'suo 香港交易所
'xiang'gang'qi'huo'jiao'yi'suo 香港期货交易所
'xiang'jiao 橡胶
'xiang'ti 箱体
'xiang'yu 象屿
'xiang'yu'qi'huo 象屿期货
'xiang'yu'qi'huo'you'xian'ze'ren'gong'si 象屿期货有限责任公司
'xiao'shi'tu 小时图
'xiao'yang 小阳
'xiao'yin 小阴
'xie'ding'jia'ge 协定价格
'xie'yi'ping'cang 协议平仓
'xin'da 信达
'xin'da'qi'huo 信达期货
'xin'da'qi'huo'you'xian'gong'si 信达期货有限公司
'xin'duo'dan'kai'cang 锌多单开仓
'xin'duo'dan'ping'cang 锌多单平仓
'xin'hu 新湖
'xin'hu'qi'huo 新湖期货
'xin'hu'qi'huo'you'xian'gong'si 新湖期货有限公司
'xin'hua 新华
'xin'ji'yuan 新纪元
'xin'ji'yuan'qi'huo'you'xian'gong'si 新纪元期货有限公司
'xin'jia'po'guo'ji'jin'rong'jiao'yi'suo 新加坡国际金融交易所
'xin'jiang'tian'li 新疆天利
'xin'jiang'tian'li'qi'huo'jing'ji'you'xian'gong'si 新疆天利期货经纪有限公司
'xin'jiang'zheng'quan'qi'huo'ye'xie'hui 新疆证券期货业协会
'xin'kong'dan'kai'cang 锌空单开仓
'xin'kong'dan'ping'cang 锌空单平仓
'xin'shi'ji 新世纪
'xin'tai 心态
'xin'xi'ji'shu'bu 信息技术部
'xing'hai 星海
'xing'tai 形态
'xing'tai'fen'xi 形态分析
'xing'ye 兴业
'xing'ye'qi'huo 兴业期货
'xing'ye'qi'huo'you'xian'gong'si 兴业期货有限公司
'xiong'shi 熊市
'xiong'shi'tao'qi'tu'li 熊市套期图利
'xu'qiu'fen'xi 需求分析
'xu'zhi'qi'quan 虚值期权
'xuan'ze'quan 选择权
'ya'li'xian 压力线
'yan'chang'jiao'ge'ri'qi 延长交割日期
'yan'jiu'fa'zhan'bu 研究发展部
'yan'jiu'zhong'xin 研究中心
'yan'sheng'chan'pin 衍生产品
'yan'tai'zhong'zhou 烟台中州
'yan'tai'zhong'zhou'qi'huo'jing'ji'you'xian'gong'si 烟台中州期货经纪有限公司
'yi'ban'feng'xian'zhun'bei 一般风险准备
'yi'cang 移仓
'yi'de 一德
'yi'de'qi'huo 一德期货
'yi'de'qi'huo'you'xian'gong'si 一德期货有限公司
'yi'di'jiao'ge'cang'ku 异地交割仓库
'yi'jia 溢价
'yi'jian'tong 一键通
'yi'sheng 易盛
'yin'he 银河
'yin'he'qi'huo 银河期货
'yin'he'qi'huo'jing'ji'you'xian'gong'si 银河期货经纪有限公司
'yin'jian 银建
'yin'jian'qi'huo 银建期货
'yin'jian'qi'huo'jing'ji'you'xian'ze'ren'gong'si 银建期货经纪有限责任公司
'yin'qi 银期
'yin'qi'zhuan'zhang 银期转账
'yin'zhuan'qi 银转期
'ying'da'qi'huo 英大期货
'ying'da'qi'huo'you'xian'gong'si 英大期货有限公司
'ying'fu'huo'bi'bao'zheng'jin 应付货币保证金
'ying'fu'li'xi 应付利息
'ying'fu'qi'huo'tou'zi'zhe'bao'zhang'ji'jin 应付期货投资者保障基金
'ying'fu'shou'xu'fei'ji'yong'jin 应付手续费及佣金
'ying'fu'zhi'gong'xin'chou 应付职工薪酬
'ying'fu'zhi'ya'bao'zheng'jin 应付质押保证金
'ying'jiao'shui'fei 应交税费
'ying'shou'feng'xian'sun'shi'kuan 应收风险损失款
'ying'shou'huo'bi'bao'zheng'jin 应收货币保证金
'ying'shou'jie'suan'dan'bao'jin 应收结算担保金
'ying'shou'li'xi 应收利息
'ying'shou'yong'jin 应收佣金
'ying'shou'zhi'ya'bao'zheng'jin 应收质押保证金
'ying'xiao'guan'li'bu 营销管理部
'ying'xiao'guan'li'zhong'xin 营销管理中心
'ying'yu'gong'ji 盈余公积
'ying'zhi 赢智
'ying'zhi'cheng'xu'hua'jiao'yi'xi'tong 赢智程序化交易系统
'yong'an 永安
'yong'an'qi'huo 永安期货
'yong'da 永大
'yong'jin 佣金
'yu'ce 预测
'yu'ji'fu'zhai 预计负债
'yu'mi 玉米
'yu'zu 遇阻
'yuan'qi'he'yue 远期合约
'yuan'qi'yue'fen 远期月份
'yuan'you'zhi'shu 原油指数
'yue'tu 月图
'yue'xian'tu 月线图
'yun'chen 云晨
'yun'chen'qi'huo 云晨期货
'yun'chen'qi'huo'jing'ji'you'xian'gong'si 云晨期货经纪有限公司
'yun'nan'sheng'zheng'quan'ye'xie'hui 云南省证券业协会
'zao'shang'hao 早上好
'zeng'cang 增仓
'zhan'cang 斩仓
'zhang'bu'dong 涨不动
'zhang'die'ban 涨跌板
'zhang'die'fu 涨跌幅
'zhang'die'fu'du 涨跌幅度
'zhang'die'ting'ban'fu'du 涨跌停板幅度
'zhang'die'ting'ban'zhi'du 涨跌停板制度
'zhang'hu'ji'huo 账户激活
'zhang'hu'xiu'mian 账户休眠
'zhang'shang'cai'fu 掌上财富
'zhang'shi 涨势
'zhang'ting'ban'e 涨停板额
'zhang'yong'li 张永利
'zhao'jin 招金
'zhao'jin'qi'huo'you'xian'gong'si 招金期货有限公司
'zhao'shang 招商
'zhao'shang'qi'huo 招商期货
'zhao'shang'qi'huo'you'xian'gong'si 招商期货有限公司
'zhe'jiang'da'di 浙江大地
'zhe'jiang'da'di'qi'huo'jing'ji'you'xian'gong'si 浙江大地期货经纪有限公司
'zhe'jiang'da'yue 浙江大越
'zhe'jiang'da'yue'qi'huo'jing'ji'you'xian'ze'ren'gong'si 浙江大越期货经纪有限责任公司
'zhe'jiang'liang'shi 浙江良时
'zhe'jiang'liang'shi'qi'huo'jing'ji'you'xian'gong'si 浙江良时期货经纪有限公司
'zhe'jiang'sheng'qi'huo'hang'ye'xie'hui 浙江省期货行业协会
'zhe'jiang'sheng'yong'an'qi'huo'jing'ji'you'xian'gong'si 浙江省永安期货经纪有限公司
'zhe'jiang'tian'ma 浙江天马
'zhe'jiang'tian'ma'qi'huo'jing'ji'you'xian'gong'si 浙江天马期货经纪有限公司
'zhe'jiang'xin'hua 浙江新华
'zhe'jiang'xin'hua'qi'huo'jing'ji'you'xian'gong'si 浙江新华期货经纪有限公司
'zhe'jiang'xin'shi'ji 浙江新世纪
'zhe'jiang'xin'shi'ji'qi'huo'jing'ji'you'xian'gong'si 浙江新世纪期货经纪有限公司
'zhe'jiang'yong'an 浙江永安
'zhe'jiang'zhong'da 浙江中大
'zhe'jiang'zhong'da'qi'huo'jing'ji'you'xian'gong'si 浙江中大期货经纪有限公司
'zhe'shang'qi'huo 浙商期货
'zhe'shang'qi'huo'you'xian'gong'si 浙商期货有限公司
'zhe'shi 浙石
'zhen'dang'shi 震荡市
'zheng'mian 郑棉
'zheng'mian'zhi'shu 郑棉指数
'zheng'quan'deng'ji'jie'suan'gong'si 证券登记结算公司
'zheng'quan'fa 证券法
'zheng'shang'suo 郑商所
'zheng'tang 郑糖
'zheng'xiang'shi'chang 正向市场
'zheng'zhi'yin'su 政治因素
'zheng'zhou'shang'pin'jiao'yi'suo 郑州商品交易所
'zhi'cheng 支撑
'zhi'cheng'wei 支撑位
'zhi'cheng'xian 支撑线
'zhi'chi'dian 支持点
'zhi'ding'bu'wei 指定部位
'zhi'jia'ge'jiao'yi'suo'ji'tuan 芝加哥交易所集团
'zhi'jia'ge'qi'huo'jiao'yi'suo 芝加哥期货交易所
'zhi'jia'ge'shang'ye'jiao'yi'suo 芝加哥商业交易所
'zhi'liang'deng'ji 质量等级
'zhi'ling'xia'da'ren 指令下达人
'zhi'shu 指数
'zhi'shu'dian 指数点
'zhi'sun 止损
'zhi'ya 质押
'zhi'ying 止盈
'zhi'ying 止赢
'zhong'cai 中财
'zhong'cai'qi'huo 中财期货
'zhong'da 中大
'zhong'gang 中钢
'zhong'gang'qi'huo 中钢期货
'zhong'gang'qi'huo'you'xian'gong'si 中钢期货有限公司
'zhong'gu 中谷
'zhong'gu'chang'chun 中谷长春
'zhong'gu'liang'you 中谷粮油
'zhong'guo'guo'ji 中国国际
'zhong'guo'guo'ji'qi'huo 中国国际期货
'zhong'guo'guo'ji'qi'huo'jing'ji'you'xian'gong'si 中国国际期货经纪有限公司
'zhong'guo'jin'rong'qi'huo'jiao'yi'suo 中国金融期货交易所
'zhong'guo'qi'huo'bao'zheng'jin'jian'kong'zhong'xin 中国期货保证金监控中心
'zhong'guo'qi'huo'ye'xie'hui 中国期货业协会
'zhong'guo'si'liao 中国饲料
'zhong'guo'zheng'jian'hui 中国证监会
'zhong'guo'zheng'quan'deng'ji'jie'suan'you'xian'ze'ren'gong'si 中国证券登记结算有限责任公司
'zhong'hang 中航
'zhong'hang'qi'huo 中航期货
'zhong'hang'qi'huo'jing'ji'you'xian'gong'si 中航期货经纪有限公司
'zhong'hua'liang'wang'quan'guo'liang'you'jia'ge'jian'ce'xi'tong 中华粮网全国粮油价格监测系统
'zhong'hui 中辉
'zhong'hui'qi'huo 中辉期货
'zhong'hui'qi'huo'jing'ji'you'xian'gong'si 中辉期货经纪有限公司
'zhong'ji'que'kou 中继缺口
'zhong'jin'suo 中金所
'zhong'liang 中粮
'zhong'liang'ji'tuan 中粮集团
'zhong'liang'qi'huo 中粮期货
'zhong'liang'qi'huo'jing'ji'you'xian'gong'si 中粮期货经纪有限公司
'zhong'qi 中期
'zhong'qi'jia'he 中期嘉合
'zhong'qi'jia'he'qi'huo'jing'ji'you'xian'gong'si 中期嘉合期货经纪有限公司
'zhong'rong'hui'xin'qi'huo 中融汇信期货
'zhong'rong'hui'xin'qi'huo'you'xian'gong'si 中融汇信期货有限公司
'zhong'sheng 中晟
'zhong'sheng'qi'huo 中晟期货
'zhong'sheng'qi'huo'you'xian'gong'si 中晟期货有限公司
'zhong'xian 中线
'zhong'xian'chi'you 中线持有
'zhong'xian'jiao'yi 中线交易
'zhong'xin 中信
'zhong'xin'dong'fang'hui'li 中信东方汇理
'zhong'xin'dong'fang'hui'li'qi'huo'jing'ji'you'xian'gong'si 中信东方汇理期货经纪有限公司
'zhong'xin'jian'tou 中信建投
'zhong'xin'jian'tou'qi'huo'jing'ji'you'xian'gong'si 中信建投期货经纪有限公司
'zhong'yang'yin'hang'gan'yu 中央银行干预
'zhong'yin 中银
'zhong'yin'guo'ji 中银国际
'zhong'yin'guo'ji'qi'huo'you'xian'ze'ren'gong'si 中银国际期货有限责任公司
'zhong'yuan 中原
'zhong'yuan'qi'huo 中原期货
'zhong'yuan'qi'huo'jing'ji'you'xian'gong'si 中原期货经纪有限公司
'zhong'zheng 中证
'zhong'zheng'qi'huo 中证期货
'zhong'zheng'qi'huo'you'xian'gong'si 中证期货有限公司
'zhong'zhou 中州
'zhou'qi 周期
'zhou'tu 周图
'zhou'xian 周线
'zhou'xian'tu 周线图
'zhu'di 筑底
'zhu'dong'mai'pan 主动买盘
'zhu'dong'mai'pan 主动卖盘
'zhu'jiang 珠江
'zhu'jiang'qi'huo 珠江期货
'zhu'jiang'qi'huo'you'xian'gong'si 珠江期货有限公司
'zhu'li 主力
'zhu'ri'ding'shi'zhi'du 逐日盯市制度
'zhu'xian'tu 竹线图
'zhui'duo 追多
'zhui'kong 追空
'zhui'shi 追势
'zi'ben'gong'ji 资本公积
'zi'chan'zong'ji 资产总计
'zi'jin'diao'bo'ren 资金调拨人
'zi'shen'ke'hu'jing'li 资深客户经理
'zong'chi'cang'liang 总持仓量
'zong'he'guan'li'bu 综合管理部
'zong'jing'li'ban'gong'hui 总经理办公会
'zong'lv 棕榈
'zong'lv'zhu'li 棕榈主力
'zong'shou 总手
'zong'shu'liang 总数量
'zou'shi 走势
'zu'li 阻力
'zu'li'dian 阻力点
'zu'li'wei 阻力位
'zui'di 最低
'zui'di'jia 最低价
'zui'gao 最高
'zui'gao'jia 最高价
'zui'hou'jiao'yi'ri 最后交易日
'zui'hou'jiao'yi'ri'jiao'yi'shi'jian 最后交易日交易时间
'zui'jing'ji'ke'jiao'ge'fa 最经济可交割法
'zui'xiao'bian'dong'jia'ge 最小变动价格
'zui'xin'jia 最新价
'zuo'kong 做空
'zuo'shou'shi 昨收市
