'a'da'ke'li'si 阿达克利斯
'tie'wei'wu'feng 铁卫无锋
'ting'yuan'xun'meng'jian'bing 庭院寻梦尖兵
'tong'ning'ji 酮凝集
'tong'ning'ji'zu 酮凝集组
'tong'xun'ji'lu'yi 通讯记录仪
'tong'zhen'lie 酮阵列
'tou'bi 投币
'tu'ji'xie'yi'kuo'chong 突击协议扩充
'tu'ji'xie'yi'li'ren 突击协议利刃
'tu'ji'xie'yi'zeng'yuan 突击协议增援
'tu'qiong'bi'xian 图穷匕见
'tu'tu 兔兔
'tu'xi 突袭
'tu'ye 图耶
'tu'zhang 徒长
'tui'wang 推王
'tui'xing'de'luo'xin'nan'te 退行的罗辛南特
'wa'si'che 瓦斯车
'wa'yi'fan 瓦伊凡
'wan'ge 挽歌
'wan'lei'gong'sheng 万类共生
'wan'xiang'zhui'yi'lu 万象追忆录
'wang'wei'na 王维娜
'wei'cao 苇草
'wei'duo'li'ya 维多利亚
'wei'duo'li'ya'de'rong'yao 维多利亚的荣耀
'wei'feng 微风
'wei'ji'he'yue 危机合约
'wei'ji'si'fu 危机四伏
'wei'na 维娜
'wei'sai'ke'si'de'xin'jian 威塞克斯的信件
'wei'xian'zhu'yao 危险注药
'wei'yan'wu 魏彦吾
'wei'yi 位移
'wei'zhi'de'lv'xing 未知的旅行
'wen'cha 温差
'wen'di 温蒂
'wen'di'ge'bo'zhuo'ka'si'ti 温迪戈博卓卡斯替
'wen'ming'de'cun'xu 文明的存续
'wen'yue 文月
'wo'er'po 沃尔珀
'wo'lun'mu'de'de'bo'mu 沃伦姆德的薄暮
'wo'te'da'shu'yang'hu'tao'can 沃特大叔养护套餐
'wo'xuan'zuo 涡旋座
'wu'hui'zhong'chang 舞会终场
'wu'jian'yi'hua 午间逸话
'wu'jin'qi'yong'fen'dui 物尽其用分队
'wu'li'qiang'du 物理强度
'wu'lian 巫恋
'wu'ming'shi'ji 无名诗集
'wu'ren'ji 无人机
'wu'ren'ji'qi'jiang'ku 无人机起降库
'wu'ren'wei'lou 无人危楼
'wu'sa'si 乌萨斯
'wu'sa'si'de'hai'zi'men 乌萨斯的孩子们
'wu'sa'si'de'ke'qiu 乌萨斯的渴求
'wu'sa'si'de'nu'hao 乌萨斯的怒号
'wu'sa'si'lie'ba 乌萨斯列巴
'wu'sa'si'ping'min 乌萨斯平民
'wu'sa'si'xue'sheng'zi'zhi'tuan 乌萨斯学生自治团
'wu'sa'si'zhan'dian 乌萨斯毡垫
'wu'shang 无伤
'wu'sheng'hu'hao 无声呼号
'wu'shui'yan'mo'shi 五水研磨石
'wu'ti'mi'ling 无题密令
'wu'wei 无畏
'wu'xing 五星
'wu'xing'dao'wan 无形悼挽
'wu'xu'kuang'qu 无序矿区
'wu'xu'sheng'yan 无序盛宴
'wu'you 乌有
'wu'zhu'de'sa'ke'si 无主的萨克斯
'wu'zi'chou'bei 物资筹备
'xi'chao'de'dai'jia 息潮的代价
'xi'cong'xiang'lai 喜从箱来
'xi'de'jia 席德佳
'xi'lan 锡兰
'xi'meng 西蒙
'xi'si'ta 汐斯塔
'xi'wa'ai'shen 希瓦艾什
'xi'yin 稀音
'xi'you'du 稀有度
'xia'guang 瑕光
'xia'hui 夏卉
'xia'li 夏栎
'xian'di 仙蒂
'xian'di 先蒂
'xian'feng 先锋
'xian'lu'e'di 险路恶敌
'xian'lu'wu'jin 险路勿近
'xian'ren'tiao 仙人跳
'xian'suo'jiao'liu 线索交流
'xian'suo'sou'ji 线索搜集
'xiang'cao 香草
'xiang'cao'sha'shi'qi'shui 香草沙士汽水
'xiao'gui'dang'jia 小鬼当家
'xiao'huo'long 小火龙
'xiao'huo'shan 小火山
'xiao'qiu'jun'jiao'ye 小丘郡郊野
'xiao'tu'kuai 小土块
'xie'la'ge 谢拉格
'xie'yi'qiu'long 邪异囚笼
'xin'hang'xian 新航线
'xin'lai 信赖
'xin'lai'zhi 信赖值
'xin'pian 芯片
'xin'pian'sou'suo 芯片搜索
'xin'pian'zhu'ji 芯片助剂
'xin'sheng'yu'wu'fen'dui 心胜于物分队
'xin'wei 辛味
'xin'wu 信物
'xin'yong 信用
'xin'yue 新约
'xing'huo'xing'dong 星火行动
'xing'ji 星极
'xing'xiong 星熊
'xing'yun'ying'bi 幸运硬币
'xiu'chui'zhan'shi 锈锤战士
'xu'la'gu 叙拉古
'xu'shui'chi 蓄水池
'xu'yu 絮雨
'xuan'nao'fa'ze 喧闹法则
'xuan'wo 漩涡
'xue'pin 雪牝
'xue'qi'shi 血骑士
'xue'rou'ji'bian 血肉畸变
'xue'ruo 削弱
'xue'xing'lian'ju 血腥链锯
'xue'ye'hui'yin 雪夜回音
'xue'zhi 雪雉
'xun'dao'zhe 殉道者
'xun'fang'can'shu'mo'xing 寻访参数模型
'xun'fang'ping'zheng 寻访凭证
'xun'fang'shu'ju'qi'yue 寻访数据契约
'xun'lian'shi 训练室
'xun'lin'zhe 巡林者
'xun'luo'dui 巡逻队
'xun'shi 讯使
'xun'shou'xiao'wu 驯兽小屋
'xun'yao 寻耀
'xun'zhou'xing'dong 寻昼行动
'ya'ben'yun'zuo 鸭本运作
'ya'jue 鸭爵
'ya'jue'de'xi'ju 鸭爵的戏剧
'ya'jue'de'yan'hui 鸭爵的宴会
'ya'jue'jin'zhuan 鸭爵金砖
'ya'li'ke'si 亚历克斯
'ya'li'sang'na 亚利桑那
'ya'li'shan'da 亚历山大
'ya'te'li'ya'si 雅特利亚斯
'ya'xin 崖心
'ya'ye 亚叶
'ya'zhi 压制
'ya'zhou'deng'chang 压轴登场
'yan'guo 炎国
'yan'hua'xiu 烟花秀
'yan'ke 炎客
'yan'mo'shi 研磨石
'yan'rong 炎熔
'yan'sheng'zhe'zhong'duan 衍生者终端
'yan'sheng'zhe'zhong'duan'chao'ji'gai 衍生者终端超级改
'yan'wei 焰尾
'yan'xi'quan 演习券
'yan'yu'yan'rong 炎狱炎熔
'yao'ji 遥击
'yao'mei 药枚
'yao'qi'shi 耀骑士
'yao'qi'shi'lin'guang 耀骑士临光
'yao'xiang'zhi'yin 遥乡之引
'ye'ban 夜半
'ye'dao 夜刀
'ye'di'mi'xing 野地秘行
'ye'lian'na 叶莲娜
'ye'mo 夜魔
'ye'yan 夜烟
'ye'yang'cao 夜阳草
'ye'ying 夜莺
'yi'bei'hong'cha 一杯红茶
'yi'bi'li'ya 伊比利亚
'yi'chen'man'bu 遗尘漫步
'yi'fen'yan'jiang'gao 一份演讲稿
'yi'fu'li'te 伊芙利特
'yi'ge'lin'guang 异格临光
'yi'jie'che'fu 一介车夫
'yi'lai'ya'si 伊莱亚斯
'yi'liao 医疗
'yi'liao'xiao'che 医疗小车
'yi'luan'tong'sheng 异卵同生
'yi'luo'zhi'zhi 遗落之帜
'yi'nei'si 伊内斯
'yi'ren'wei'ben'fen'dui 以人为本分队
'yi'sang 伊桑
'yi'shi 遗石
'yi'shi'gao'ta 议事高塔
'yi'shi'zhi'ye 仪式之夜
'yi'te'la 依特拉
'yi'ti'tong'xin 异体同心
'yi'tie 异铁
'yi'tie'kuai 异铁块
'yi'tie'sui'pian 异铁碎片
'yi'tie'zu 异铁组
'yi'wai 意外
'yi'xing 一星
'yi'zhi 意志
'yi'zhou'nian'qing'dian 一周年庆典
'yin'hui 银灰
'yin'lao'ban 银老板
'yin'mi'wen'chuang 隐秘温床
'yin'tuo'luo 因陀罗
'yin'yun'huo'hua 阴云火花
'yin'yun'long'zhao 阴云笼罩
'ying'ji'deng 应急灯
'ying'ji'li'zhi'ding'ye 应急理智顶液
'ying'ji'li'zhi'he'ji 应急理智合剂
'ying'ji'li'zhi'xiao'yang 应急理智小样
'ying'jiao 鹰角
'ying'yin'zhan'lan 影印展览
'yong'heng'an'xi 永恒安息
'yong'heng'fen'nu 永恒愤怒
'yong'liu'zhi'shou 永流之手
'yong'wu'jin'tou 永无尽头
'you'hai'cong'lin 幽海丛林
'you'ji'dui 游击队
'you'jing 幽静
'you'ling 幽灵
'you'ling'sha 幽灵鲨
'you'ran'jia'ri 悠然假日
'you'xia 游侠
'you'yu'bu'jue 犹豫不决
'yu'chong'wei'ban 与虫为伴
'yu'jin'xiang'de'mi'fang 郁金香的秘方
'yu'lang 驭浪
'yu'mao'bi 羽毛笔
'yu'sheng'chi 育生池
'yu'yin'ji'lu 语音记录
'yuan'cheng'xie'yi'kuo'chong 远程协议扩充
'yuan'cheng'xie'yi'yao'ji 远程协议遥击
'yuan'cheng'xie'yi'zeng'yuan 远程协议增援
'yuan'fang'lai'ke 远方来客
'yuan'shan 远山
'yuan'shi 源石
'yuan'shi'bu'luo 原始部落
'yuan'shi'chen'xing'dong 源石尘行动
'yuan'shi'chong 源石虫
'yuan'shi'ding 源石锭
'yuan'shi'huan'jing'fa'sheng'qi 源石环境发生器
'yuan'shi'ji'yi'shi'ying'xing 源石技艺适应性
'yuan'shi'she'deng 源石射灯
'yuan'shi'sui'pian 源石碎片
'yuan'wang 远望
'yuan'yan 源岩
'yue'du'xiao'fen 月度小坟
'yue'er'sha'ji 悦耳杀机
'yue'he 月禾
'yue'jian'ye 月见夜
'yue'ke'de'han'feng 约克的寒风
'yue'qi'wei'xiu'gong'fang 乐器维修工坊
'yue'shu 月术
'yun'xing 陨星
'zai'bu'shu 再部署
'zao'lu 早露
'zao'xue'zhang'ai 造血障碍
'zha'la'ke 札拉克
'zha'lie'zhi'shou 炸裂之手
'zhan'chang'ji'dong 战场机动
'zhan'che 战车
'zhan'di'mi'wen 战地秘闻
'zhan'dou'ji'qiao 战斗技巧
'zhan'huo'hui'xiang 战火回想
'zhan'shu'dao'ju'xiang 战术道具箱
'zhan'shu'gui'hua 战术规划
'zhan'shu'he'dan 战术核弹
'zhan'shu'yan'xi 战术演习
'zhan'yi 战医
'zhao'huan 召唤
'zhao'mu 招募
'zhao'mu'xu'ke 招募许可
'zhe'ji'dian'xun 折戟典训
'zhe'ji'feng'ren 折戟锋刃
'zhe'ji'po'fu'chen'zhou 折戟破釜沉舟
'zhe'ji'tu'po 折戟突破
'zhe'ji'yi'fu'dang'guan 折戟一夫当关
'zhe'ji'yu'xue 折戟浴血
'zhe'wei'wu'sa'si'ren 这位乌萨斯人
'zhen'li 真理
'zhen'yin'zhan 真银斩
'zhen'zhong'wang'shi 阵中往事
'zheng'yi 正义
'zheng'zhao 征兆
'zheng'zhuang'dai'fa 整装待发
'zhi'liao 治疗
'zhi'su'fang'ke 质素访客
'zhi'tou'ci'shu 掷骰次数
'zhi'wu'zhong'zhi 植物种志
'zhi'yuan 支援
'zhi'yuan'ji'xie 支援机械
'zhi'yuan'liao 酯原料
'zhi'zao'zhan 制造站
'zhong'fu 重辅
'zhong'fu'dui 重辅队
'zhong'wo 众我
'zhu'jiao'de'yan'jiu 主教的研究
'zhu'shi'bu'shun 诸事不顺
'zhu'tie 铸铁
'zhu'wang'de'guan'mian 诸王的冠冕
'zhuan'er 专二
'zhuan'jing 专精
'zhuan'san 专三
'zhuan'yi 专一
'zhuan'zhu'shi'tiao 专注失调
'zhuang'zhi 装置
'zhui'yi'ying'she 追忆映射
'zhuo'xin'si'ka'di 浊心斯卡蒂
'zhuo'ya 卓娅
'zi'bi 自闭
'zi'lan 梓兰
'zi'lv 自律
'zi'yuan'bao'zhang 资源保障
'zi'zai 自在
'zi'zhi'ping'zheng 资质凭证
'zu'dang 阻挡
'zu'dang'shu 阻挡数
'zu'ma'ma 祖玛玛
'zuo'fei'ya 佐菲娅
'zuo'zhan 作战
