'a'di'xia'zun'zhe 阿底峡尊者
'she'li'zhang'ai'jing'jin'wei'yuan 舍离障碍精进违缘
'she'mo'ta 奢摩他
'she'mo'ta'cheng'yu'wei'cheng'zhi'jie'xian 奢摩他成与未成之界限
'she'qu 摄取
'she'qu'bo'luo'mi'duo'lun 摄取波罗蜜多论
'she'shan'fa'jie 摄善法戒
'she'shan'fa'jing'jin 摄善法精进
'she'shou'juan'shu'xu'yi'si'she 摄受眷属须依四摄
'she'song 摄颂
'she'xing'ju'lun 摄行炬论
'she'xiu'da'cheng'dao'fang'bian'lun 摄修大乘道方便论
'she'yan'jing 摄研经
'she'yan'mo'jing 摄研磨经
'shen'he'wei'yi'er'xiu 身何威仪而修
'shen'jian 深见
'shen'sheng'zheng'jian'dang'sui'shui'xing 身生正见当随谁行
'shen'yu'yi 身语意
'shen'yu'yi'san 身语意三
'shen'yu'yi'xiang 身语意像
'shen'yu'yi'ye 身语意业
'sheng'bao'yun'jing 圣宝云经
'sheng'da'huan'mu 圣大幻母
'sheng'dao'men 胜道门
'sheng'fa'sheng'xin'li'jing 圣发生信力经
'sheng'hui 胜慧
'sheng'hui'fang'bian 生慧方便
'sheng'jia'ye'jing 圣伽耶经
'sheng'jian'zhi'fa 生见之法
'sheng'jiao 圣教
'sheng'jiao'gong'de 圣教功德
'sheng'jie'shen'mi'jing 圣解深密经
'sheng'jin'gang'ding 胜金刚顶
'sheng'jin'guang'ming'chan 胜金光明忏
'sheng'jue'chen'diao 生觉沉掉
'sheng'leng'jia'jing 圣楞伽经
'sheng'mi'le'jie'tuo'jing 圣弥勒解脱经
'sheng'qi'ci'di 生起次第
'sheng'ran'deng'zhi 胜然灯智
'sheng'ru'lai'mi'mi'jing 圣如来秘密经
'sheng'si'cheng 生死城
'sheng'tian'pu'sa'zao 圣天菩萨造
'sheng'wen 声闻
'sheng'wen'di 声闻地
'sheng'xi'qi'shuai'bai 盛喜其衰败
'sheng'xu'kong'ku'jing 圣虚空库经
'sheng'yi'pu'ti'xin'wen'bao'ju'lun 胜义菩提心文宝炬论
'sheng'yong'lun'shi 圣勇论师
'sheng'yong'pu'sa 圣勇菩萨
'sheng'zhe'mu 胜者母
'sheng'zhe'suo'shuo'fa 圣者所说法
'shi'a'ji'mo 事阿笈摩
'shi'bing 侍病
'shi'cheng 师承
'shi'di'jing 十地经
'shi'fa 十法
'shi'fa'jing 十法经
'shi'fu 士夫
'shi'he'deng'wu 施何等物
'shi'jiao 事教
'shi'liang 释量
'shi'liang'lun 释量论
'shi'lun 释论
'shi'luo 尸罗
'shi'luo'cha'bie 尸罗差别
'shi'luo'xue 尸罗学
'shi'luo'zi'xing 尸罗自性
'shi'pu'ti'xin'lun 释菩提心论
'shi'qin'pu'sa'zao 世亲菩萨造
'shi'qin'pu'sa'zhu 世亲菩萨著
'shi'she'cai'shi 实舍财施
'shi'sheng 湿生
'shi'wu'yun'lun 释五蕴论
'shi'xing 实性
'shi'xiu'shi'liang 示修时量
'shi'ye'dao'qing'zhong 十业道轻重
'shi'yu'suo'po 释于所破
'shi'zi'qing'wen'jing 师子请问经
'shi'zun 世尊
'shou'sheng'gui'yi 受胜皈依
'shou'xing'bu'shi'si'zhong'bai'fa 受行不失四种白法
'shou'xue 受学
'shou'yi'ru'he'xue'xi'dao'li 受已如何学习道理
'shou'yong 受用
'shou'yong'ye 受用业
'shu'sheng 殊胜
'shu'sheng'zan'tuo'zun'zhu'jie'zuo 殊胜赞托尊珠杰作
'shu'shu 数数
'shu'shu'xuan'shuo 数数宣说
'shuang'xiu'zhi'guan'zhi'li 双修止观之理
'shun'yuan 顺缘
'shuo'gui'li 说轨理
'shuo'gui'yi'xue'chu 说皈依学处
'shuo'qi'suo'yu 说其所欲
'si'bai'lun 四百论
'si'bai'song'shi'quan'cheng 四百颂释全称
'si'bai'song'ti'po 四百颂提婆
'si'bie'ye'guo 思别业果
'si'di'xian'shuo'ku'di'zhi'yi'qu 四谛先说苦谛之义趣
'si'hou'cheng'ban'zhong'you'zhi'li 死后成办中有之理
'si'ji'zheng'hang'jin'zhi'zhi'li 思己正行进止之理
'si'ju'suo'sheng 四句所生
'si'jue'ding'si 思决定死
'si'mei'ji'jie'sheng'zhi'li 死没及结生之理
'si'mo 死歿
'si'she'zhi'zuo'ye 四摄之作业
'si'she'zi'xing 四摄自性
'si'wei'ba'ku 思惟八苦
'si'wei'bie'ku 思惟别苦
'si'wei'di'yu'de'suo'you'zhong'ku 思维地狱的所有众苦
'si'wei'fa'ren 思惟法忍
'si'wei'fa'suo'you'sheng'li 思维法所有胜利
'si'wei'ji'di'liu'zhuan'ci'di 思惟集谛流转次第
'si'wei'jie'tuo'deng'zhu'da'sheng'li 思惟解脱等诸大胜利
'si'wei'ku'di'sheng'si'guo'huan 思惟苦谛生死过患
'si'wei'ku'zhi'gong'de 思惟苦之功德
'si'wei'liu'ku 思惟六苦
'si'wei'nan'de 思维难得
'si'wei'san'ku 思惟三苦
'si'wei'sheng'si'zong'ku 思惟生死总苦
'si'wei'shuo'fa'suo'you'sheng'li 思维说法所有胜利
'si'wei'si'shi 思惟死时
'si'wei'si'wu'ding'qi 思惟死无定期
'si'wu'chang 死无常
'si'xin 死心
'si'ye 思业
'si'yi'ye 思已业
'si'yuan 死缘
'si'zong'ye'guo 思总业果
'su'ji 速疾
'sui'nian'shen'en'ying'qi'jing'zhong 随念深恩应起敬重
'sui'xi'zhi 随喜支
'sui'xie'jing'zhuan 随邪境转
'sui'yi'lue'shi'xiu'xing 随宜略事修行
'sun'jian 损减
'suo'shou'zhi'jing 所受之境
'suo'wei'yi 所为义
'suo'wen 所问
'suo'yi'chen'fei'ying'li 所依嗔非应理
'suo'yi'shan'zhi'shi'zhi'xiang 所依善知识之相
'suo'yi'you'fa'bu'ji'cheng'zhi'zong'guo 所依有法不极成之宗过
'suo'yin'jing'lun 所引经论
'suo'ying'zuo'pin 所应作品
'suo'you'cha'bie 所有差别
'suo'you'gen'ben 所有根本
'suo'you'sheng'li 所有胜利
'suo'yuan 所缘
'tai'xu'da'shi 太虚大师
'tan'yu 贪欲
'tan'zhu'zi'zong 贪著自宗
'te'shen'xiu'xin'xin'wei'gen'ben 特申修信心为根本
'te'yi'si'li'jing'xiu'dao'li 特以四力净修道理
'te'yu'hou'er'bo'luo'mi'duo 特于后二波罗密多
'te'yu'jin'gang'cheng'xue'xi'dao'li 特于金刚乘学习道理
'ti'po'pu'sa 提婆菩萨
'tian'ku 天苦
'tiao'fu 调伏
'tiao'fu'a'ji'mo 调伏阿笈摩
'tiao'ma'shi 调马师
'ting'wen'gui'li 听闻轨理
'ting'wen'ji 听闻集
'ting'wen'sui'zhuan'xiu'xin'yao 听闻随转修心要
'ting'wen'zheng'fa 听闻正法
'tong'da'rao'yi'you'qing'hui 通达饶益有情慧
'tong'da'sheng'yi'hui 通达胜义慧
'tong'da'shi'su'hui 通达世俗慧
'tong'da'shi'xing 通达实性
'tong'da'yi'qie'sheng'jiao'wu'wei 通达一切圣教无违
'tong'da'yi'qie'sheng'jiao'wu'wei'shu'sheng 通达一切圣教无违殊胜
'tu'xiang 涂香
'tuo'luo'ni'zi'zai'wang'qing'wen'jing 陀罗尼自在王请问经
'wan'jie 完结
'wan'jie'yi'gui 完结仪轨
'wan'ju 完具
'wei'chen'shu 微尘数
'wei'de 威德
'wei'de'ling'de 未得令得
'wei'duan'bi'gu 为断彼故
'wei'le'duo'wen 惟乐多闻
'wei'li'you'qing 为利有情
'wei'ming'suo'po 未明所破
'wei'xian'qi'fa 为显其法
'wei'xiu 未修
'wei'xiu'nian'si'suo'you'guo'huan 未修念死所有过患
'wei'xiu'zhong'jian'ying'ru'he 未修中间应如何
'wei'yi 威仪
'wei'yi'guo'huan 未依过患
'wei'yi'le'shi 唯意乐施
'wei'yu'fa'xin'zeng'huan'xi'gu 为于发心增欢喜故
'wei'yue 违越
'wei'zan'mei'shi'luo 唯赞美尸罗
'wen'da'lu 问答录
'wen'fa 闻法
'wen'fa'qi 闻法器
'wen'fa'sheng'li 闻法胜利
'wen'shu'gen'ben'xu 文殊根本续
'wo'man'gao'qiu 我慢高丘
'wu'bian'gong'de'zan 无边功德赞
'wu'bo'li'qing'wen'jing 邬波离请问经
'wu'chang'ji 无常集
'wu'fen 五分
'wu'gen 五根
'wu'gou'cheng'jing 无垢称经
'wu'jian'shi'pin 无坚实品
'wu'jin'hui'jing 无尽慧经
'wu'li 五力
'wu'liang'da'ku 无量大苦
'wu'ran'fa'shi 无染法施
'wu're'nao'qing'wen'jing 无热恼请问经
'wu'ru'zhen'shi'yi'zhi'ci'di 悟入真实义之次第
'wu'shang'jue 无上觉
'wu'shou'yong'ye 五受用业
'wu'si'cang 无死藏
'wu'si'gu'yin'tuo'luo'ni 无死鼓音陀罗尼
'wu'wei'shi 无畏施
'wu'xiang 五想
'wu'xing'dong'ye 五行动业
'wu'you'shi'chu 无有是处
'wu'yun'cha'bie 五蕴差别
'wu'zhu 无著
'xi'jin'dui'zhi'bu'shi'zhang'ai 习近对治布施障碍
'xi'neng 悉能
'xi'qiu 希求
'xi'wu'cha'bie 悉无差别
'xi'xin'suo'yuan'xian'ru'he'xiu 系心所缘先如何修
'xi'yu'qiu'duo'wen 希欲求多闻
'xia'hui 黠慧
'xia'man 暇满
'xia'shi 下士
'xian'bi'po'huai'zhong'guan'bu'tong'sheng'fa 显彼破坏中观不同胜法
'xian'che'wu'xing'er'wei'jia'you 显车无性而为假有
'xian'guan'zhuang'yan'bo're'bo'luo'mi'duo 现观庄严般若波罗蜜多
'xian'guan'zhuang'yan'lun 现观庄严论
'xian'jie'jing 贤劫经
'xian'qi'fei'li 显其非理
'xian'shi'bie'qu'shi'jian'dao'gui 显示别趣世间道轨
'xian'shi'ci'er'she'yi'qie'ding 显示此二摄一切定
'xian'shi'hei'ye'guo 显示黑业果
'xian'shi'li'bu'ying'chen 显示理不应嗔
'xian'shi'li'ying'bei'min 显示理应悲悯
'xian'shi'qi'ku'li'ying'ren'shou 显示其苦理应忍受
'xian'shi'ru'da'cheng'men'wei'shi'fa'xin 显示入大乘门唯是发心
'xian'shi'suo'yuan'yi'men 显示所缘异门
'xian'shi'xue'xi'zhi'hui'fang'bian'yi 显示学习智慧方便一
'xian'shi'ye'dao'er'wei'shang'shou 显十业道而为上首
'xian'shi'yi'she'mo'ta'qu'zong'dao'gui 显示依奢摩他趣总道轨
'xian'shi'zheng'yi 显示正义
'xian'suo'she'nan'jie'fei'neng'po 显所设难皆非能破
'xian'wang'cu'jing'xiang'dao'xu'de'zheng 显往粗静相道须得正
'xian'xia 闲暇
'xian'you'ci'cheng'wo'suo'wu'xing 显由此成我所无性
'xian'yu'jing 贤愚经
'xian'yu'yin'yuan 贤愚因缘
'xian'zai'zhu'fo'xian'zheng'san'mo'di'jing 现在诸佛现证三摩地经
'xian'zai'zhu'fo'xian'zhu'san'mo'di'jing 现在诸佛现住三摩地经
'xian'zheng 现证
'xiang'sheng'chu'pin 祥胜初品
'xiang'xu 相续
'xiang'xu'ben'mu 相续本母
'xiang'ying'zheng'fa 相应正法
'xiao'zi'xin 孝子心
'xie'li'fa'duo'wen'jing 颉隶伐多问经
'xie'zhi 邪执
'xin'cang 心藏
'xin'deng'wu'gen 信等五根
'xin'deng'wu'li 信等五力
'xin'gen 信根
'xin'jing'ai'le 信敬爱乐
'xin'li 信力
'xin'ma'chang'chi'ben 心马常驰奔
'xin'yao 心要
'xin'yu'suo'yuan'ru'he'an'zhu 心于所缘如何安住
'xing'chi 行持
'xing'dong'ye 行动业
'xiu'bei 修悲
'xiu'bi'fang'bian 修彼方便
'xiu'chi'gui'li 修持轨理
'xiu'ci 修慈
'xiu'ci'chu'pian 修次初篇
'xiu'ci'di'hou 修次第后
'xiu'ci'san'pian 修次三篇
'xiu'ci'yi'qie'cheng'yue'yi'xiang 修此一切成悦意相
'xiu'ci'zhong'pian 修次中篇
'xiu'duan'bi'zhi'fang'bian 修断彼之方便
'xiu'guan'zhi'fa 修观之法
'xiu'he'deng'dao'er'wei'mie'chu 修何等道而为灭除
'xiu'ji'shun'yuan'hu'zhu'zi'liang 修积顺缘护助资粮
'xiu'ji'zi'liang 修集资粮
'xiu'nian'si'li 修念死理
'xiu'pu'ti'xin'ci'di 修菩提心次第
'xiu'qi'zhong'yin'guo'jiao'shou 修七种因果教授
'xiu'ren'shi'ru'he'xing 修忍时如何行
'xiu'shen 修身
'xiu'shi'luo'shi'ying'ru'he'xing 修尸罗时应如何行
'xiu'shi'su'pu'ti'xin'lun 修世俗菩提心论
'xiu'wu'bian'men'tuo'luo'ni'jing 修无边门陀罗尼经
'xiu'xi'ci'jian'duan'zhang'zhi'li 修习此见断障之理
'xiu'xi'dui'zhi'bu'zhi'chen'diao 修习对治不知沉掉
'xiu'xi'sheng'li 修习胜利
'xiu'xi'xi'qiu'li'ta'zhi'xin 修习希求利他之心
'xiu'xi'xi'qiu'pu'ti'zhi'xin 修习希求菩提之心
'xiu'xi'zhi'guan'zhi'sheng'li 修习止观之胜利
'xiu'xi'zhi'yi 修习知已
'xiu'xi'zi'ta'xiang'huan'fa'zhi'ci'di 修习自他相换法之次第
'xiu'xin 修信
'xiu'xin 修心
'xiu'xin'da'cheng'jing 修信大乘经
'xiu'xing'ying'xue 修行应学
'xiu'xue'ji'ji'fu'zhi'zi'liang 修学积集福智资粮
'xiu'xue'xian'fa'bu'tui'fa'xin'zhi'yin 修学现法不退发心之因
'xiu'xue'yu'sheng'bu'li'fa'xin'zhi'yin 修学余生不离发心之因
'xiu'yi'cheng'jiu'she'mo'ta'liang 修已成就奢摩他量
'xiu'yi'shou'qu'fo'zi'lv'yi 修已受取佛子律仪
'xiu'zeng'shang'yi'le 修增上意乐
'xiu'zhi'zi'liang 修止资粮
'xu'lie 虚劣
'xue'ling'zeng'zhang 学令增长
'xue'she'mo'ta'fa 学奢摩他法
'xue'shuang'yun'fa 学双运法
'xue'tu'zhi'ci'di 学徒之次第
'xue'xi'bu'shi 学习布施
'xue'xi'chi'jie 学习持戒
'xue'xi'jing'jin 学习精进
'xue'xi'jing'lv 学习静虑
'xue'xi'liu'du'shu'zi'fo'fa 学习六度熟自佛法
'xue'xi'pi'bo'she'na'zhi'fa 学习毗钵舍那之法
'xue'xi'ren'ru 学习忍辱
'xue'xi'si'she'shu'ta'you'qing 学习四摄熟他有情
'yan'jiao'fu'zhe 言教富者
'yan'jiao'wei'zhong 言教威重
'ye'guo 业果
'ye'yu'cha'bie 业余差别
'yi'bi'neng'jian 依彼能见
'yi'bi'yin'sheng'zhu'xin'ci'di 依彼引生住心次第
'yi'bu'ying'li 义不应理
'yi'ci'neng'po 依此能破
'yi'ci'su'de 依此速得
'yi'ci'su'de'zheng'jian'sheng'li 依此速得正见胜利
'yi'de'shou'hu'bu'huai 已得守护不坏
'yi'gui'shou'fa 仪轨受法
'yi'he'deng'xin'mie'chu'sheng'si 以何等心灭除生死
'yi'he'yi'le'jia'hang'er'shuo 以何意乐加行而说
'yi'hu 依怙
'yi'ji'tian'fo'zi'zhu'shu'er'xiu 依寂天佛子著述而修
'yi'le 意乐
'yi'le'qin'jin'gui'li 意乐亲近轨理
'yi'li 义利
'yi'liu'zhong'xiang 依六种想
'yi'nian'bi'si 忆念必死
'yi'qie'shan'le 一切善乐
'yi'qie'sheng'yan'xian'wei'jiao'shou 一切圣言现为教授
'yi'qie'sheng'yan'xian'wei'jiao'shou'shu'sheng 一切圣言现为教授殊胜
'yi'qie'zhong'zhi 一切种智
'yi'shang'er'yuan 依上二缘
'yi'shang'er'yuan'fa'qin'jing'jin 依上二缘发勤精进
'yi'she'mo'ta 依奢摩他
'yi'she'mo'ta'li'yu'zhi'li 依奢摩他离欲之理
'yi'shi'gui'li 依师轨理
'yi'shu 异熟
'yi'shu'gong'de 异熟功德
'yi'shu'guo 异熟果
'yi'shu'guo'bao 异熟果报
'yi'shu'yin'yuan 异熟因缘
'yi'shui'er'po 以谁而破
'yi'si'ju'ji 一四句偈
'yi'yu'huo'de'sheng'zhe'mi'yi'shu'sheng 易于获得胜者密意殊胜
'yi'zhi'hou'shi 依止后世
'yi'zhi'hou'shi'an'le'fang'bian 依止后世安乐方便
'yi'zhi'pi'bo'she'na'zi'liang 依止毗钵舍那资粮
'yi'zhi'sheng'li 依止胜利
'yi'zhi'zi'liang'xiu'she'mo'ta 依止资粮修奢摩他
'yin'chong'xiu 殷重修
'yin'dao'xue'tu 引导学徒
'yin'dao'xue'tu'ci'di 引导学徒次第
'yin'fa'ci'zhi'fang'bian 引发此之方便
'yin'fa'sheng'qi'ci'xin'suo'yi 引发生起此心所依
'yin'sheng'wu'guo'san'mo'di'fa 引生无过三摩地法
'yin'shi'zhi'liang 饮食知量
'yin'xiang 因相
'yin'zhong 殷重
'ying'bi 映蔽
'ying'bu'ying'jia'sheng'yi 应不应加胜义
'ying'cheng 应成
'ying'cheng'zi'xu 应成自续
'ying'dang'xiu'xue'liu'ci'fa'xin 应当修学六次发心
'ying'dang'xiu'xue'yi'nian'sheng'li 应当修学忆念胜利
'ying'gui'yi'ci'zhi'yin'xiang 应皈依此之因相
'ying'shuo'bu'shuo 应说不说
'ying'yi'zhi 应依止
'ying'zhi'fu'zhi 应制伏之
'yong'han'xin 勇悍心
'yong'li'jing 勇利经
'yong'meng'zhang'zhe'qing'wen'jing 勇猛长者请问经
'yong'shou'wen'jing 勇授问经
'you'bi'bi'fu 由彼蔽覆
'you'chen'diao'shi'ying'ru'he'xiu 有沉掉时应如何修
'you'ci'shen'xin'kan'neng'zhi'li 由此身心堪能之理
'you'ci'yi'neng'po'zhu'yu'pin 由此亦能破诸余品
'you'fei'qi'qi 犹非其器
'you'fei'wan'zu 犹非完足
'you'he'dao'li'er'zheng'gui'yi 由何道理而正皈依
'you'jing 有境
'you'ku'sheng'shi 有苦生时
'you'liang'cheng'bu'cheng'li 由量成不成立
'you'liu'li'cheng'ban 由六力成办
'you'ming'cha'bie'jie'de'cheng'li 由名差别皆得成立
'you'ru'huan'hua 犹如幻化
'you'san'shi'dao'yin'dao'zhi'yi 由三士道引导之义
'you'san'shi'men'ru'ci'yin'dao 由三士门如次引导
'you'shi'pu'ti'dao'ci'yin'dao 由是菩提道次引导
'you'shi'wu'shi'deng'si'ju 有事无事等四句
'you'shi'yun'gu 由时运故
'you'xia'shen 有暇身
'you'xiu'xi'gu 由修习故
'you'yi'bi'gu'suo'gui'zhi'jing 由依彼故所皈之境
'you'yi'he'shi'wei'gui'yi'yin 由依何事为皈依因
'you'yi'he'yin'ru'he'sheng'qi 由依何因如何生起
'you'yu'ku'ji'men'zhong'si'wei 由于苦集门中思惟
'you'yu'shi'er'yuan'qi'si'wei 由于十二缘起思惟
'you'zuo'yi'xiang'ji'duan'yi 有作意相及断疑
'yu'bi'duan'zheng 于彼断诤
'yu'bu'xiang'tong 喻不相同
'yu'ci'ru'he'xue'xi'ci'di 于此如何学习次第
'yu'dao'zong'jian'li'fa'jue'ding'jie 于道总建立发决定解
'yu'fa'fa'shi'fa'qi'cheng'shi 于法法师发起承事
'yu'fa'xin'zeng'huan'xi'gu 于发心增欢喜故
'yu'gong'shang'shi'dao'ci'xiu'xin 于共上士道次修心
'yu'gong'xia'shi'dao'ci'xiu'xin 于共下士道次修心
'yu'gong'zhong'shi'dao'ci'xiu'xin 于共中士道次修心
'yu'he'deng'jing 于何等境
'yu'jia 瑜伽
'yu'jia'shi'di'lun 瑜伽师地论
'yu'jia'shi'di'lun 瑜珈师地论
'yu'jie'wu'gai 余皆无盖
'yu'qi'jian'ci'ling'fa'ding'jie 于其渐次令发定解
'yu'shan'na 逾缮那
'yu'shi'shi'jia'zun'zhu'qi'shou'li 于是释迦尊主稽首礼
'yu'tian'san'ku 欲天三苦
'yu'wan'jie'shi'gong'zuo'gui'li 于完结时共作轨理
'yu'xiang'xu'zhong 于相续中
'yu'yin'du'suo'zuo'shi'li 于印度所作事理
'yu'you'xia'shen'quan'qu'xin'yao 于有暇身劝取心要
'yu'yu'suo'po'jia'bu'jia'ci'zhi'li 于余所破加不加此之理
'yu'zan 喻赞
'yu'zheng'xiu'shi 于正修时
'yu'zhu'you'qing'ling'xin'ping'deng 于诸有情令心平等
'yu'zong'da'cheng'xue'xi'dao'li 于总大乘学习道理
'yuan'man 圆满
'yuan'man'ci'di 圆满次第
'yuan'man'zhong'zhong'shou'sheng'shi'li 圆满种中受生事理
'yuan'qi'jing'de'jie'shi 缘起经的解释
'yuan'qi'jing'shi 缘起经释
'yue'cheng'lun'shi 月称论师
'yue'cheng'lun'shi'zao 月称论师造
'yue'deng'jing 月灯经
'yue'deng'san'mei'jing 月灯三昧经
'yue'guan'lun'shi 月官论师
'yue'shang'tong'nv'qing'wen'jing 月上童女请问经
'za'shi 杂事
'zan'hui'da'de'yue'da'a'du'li 赞悔大德月大阿闍黎
'zan'ying'zan 赞应赞
'zan'zhong'yun 赞中云
'zeng'guang 增广
'zeng'zhang'suo'fa'xin'gu 增长所发心故
'zha'na'shi'nan'lun 札那释难论
'zhe'po'ta'pai 遮破他派
'zhe'zhi 遮止
'zhe'zhi'ying'xue 遮止应学
'zhen'shi'xiang'ying'jing 真实相应经
'zheng'fa 正法
'zheng'fa'ci'xin 正发此心
'zheng'gong'de'shi'li 证功德事理
'zheng'hang 正行
'zheng'jian'sheng'li 正见胜利
'zheng'jue'ze'wo'wu'zi'xing 正抉择我无自性
'zheng'jue'ze'zhen'shi'yi 正抉择真实义
'zheng'ling 正令
'zheng'ming 正明
'zheng'ming'cha'bie 正明差别
'zheng'ming'fan'nao 正明烦恼
'zheng'ming'qi'jing 正明其境
'zheng'ming'qi'si'mie'chen'diao'fa 正明其思灭沉掉法
'zheng'ming'si'wei'zhi'li 正明思维之理
'zheng'ming'suo'ji'zhi'ye 正明所集之业
'zheng'ming'suo'po'yi 正明所破义
'zheng'ming'suo'yuan 正明所缘
'zheng'ming'xia'man 正明暇满
'zheng'ming'xiu'fa 正明修法
'zheng'ming'yin'sheng'zhu'xin'ci'di 正明引生住心次第
'zheng'ming'yin'xiang 正明因相
'zheng'ming'zheng'li'suo'po 正明正理所破
'zheng'po'zi'xu 正破自续
'zheng'she'fa'jing 正摄法经
'zheng'shi'xiu'xi'zhi'ci'di 正释修习之次第
'zheng'shi'xue'xi'xue'chu'zhi'ci'di 正释学习学处之次第
'zheng'si'wei 正思惟
'zheng'wen'gui'li 正闻轨理
'zheng'xian'shi'hei'ye'dao 正显示黑业道
'zheng'xiu 正修
'zheng'xiu'bi'shi'ying'ru'he'xing 正修彼时应如何行
'zheng'xiu'hui'shi'ying'ru'he'xing 正修慧时应如何行
'zheng'xiu'ku'di 正修苦谛
'zheng'xiu'shi'ying'ru'he 正修时应如何
'zheng'xiu'xia'shi'yi'le 正修下士意乐
'zheng'xiu'xing'shi'ying'ru'he'xiu 正修行时应如何修
'zheng'xiu'yi'gui 正修仪轨
'zheng'xiu'yi'le 正修意乐
'zheng'yi'jiao'shou 正以教授
'zheng'yi'shu'liang'jue'ding 正义数量决定
'zheng'yu'bi'dao'qu'xin'yao'zhi'li 正于彼道取心要之理
'zheng'zhi'er'xing 正知而行
'zheng'zhi'fang'bian 正知方便
'zheng'zhu 正住
'zhi'cha'bie 知差别
'zhi'fa'fan'jie'jing 制罚犯戒经
'zhi'gong'de 知功德
'zhi'guan'shuang'xiu 止观双修
'zhi'guan'shuang'yun 止观双运
'zhi'guan'zi'xing 止观自性
'zhi'hui'guang'ming'zhuang'yan'jing 智慧光明庄严经
'zhi'jian'guang'bo'huo'jiao'gong'de'shi'li 知见广博获教功德事理
'zhi'ling 制令
'zhi'wei'bu'xi 执为不喜
'zhi'xin 至心
'zhi'yan'zhi'li 至言之理
'zhi'yin'san'mo'di'jing 智印三摩地经
'zhong'dun'ba 仲敦巴
'zhong'guan'gen'ben'hui'lun 中观根本慧论
'zhong'guan'gen'ben'lun 中观根本论
'zhong'guan'guang'ming'lun 中观光明论
'zhong'guan'jiao'shou 中观教授
'zhong'guan'li'ju 中观理聚
'zhong'guan'lun'long'shu'pu'sa'zao 中观论龙树菩萨造
'zhong'guan'xin'lun 中观心论
'zhong'guan'xin'lun'shi 中观心论释
'zhong'guan'xin'yao'lun 中观心要论
'zhong'guan'xiu'ci 中观修次
'zhong'guan'zhuang'yan'lun 中观庄严论
'zhong'lun'da'shu 中论大疏
'zhong'lun'de'zhu'jie 中论的注解
'zhong'shi'dao'ci 中士道次
'zhong'xing 种性
'zhu'da'cheng'jing 诸大乘经
'zhu'fo'pu'sa 诸佛菩萨
'zhu'fo'shi'zun 诸佛世尊
'zhu'suo'yuan'hou'ying'ru'he'xiu 住所缘后应如何修
'zhu'suo'yuan'shi'ying'ru'he'xiu 住所缘时应如何修
'zhu'xi'yuan'chu 诸希愿处
'zhu'yu'yin'guo'shi'ci'yin'guo'dao'li 诸余因果是此因果道理
'zhu'zhong'guan'shi'ru'he'da'bi 诸中观师如何答彼
'zhuan'qu'fa'qi'bu'shi'fang'bian 转趣发起布施方便
'zhuang'yan'chu'suo 庄严处所
'zhuang'yan'jing'lun 庄严经论
'zhuang'yan'jing'lun'shi 庄严经论释
'zi'bu'tong'po'zhi'li 自不同破之理
'zi'er 子二
'zi'lei'xiang'xu 自类相续
'zi'liang'lun 资粮论
'zi'liang'tian 资粮田
'zi'san 子三
'zi'shi'shou 自誓受
'zi'ta'neng'huan 自他能换
'zi'wei'tiao'fu 自未调伏
'zi'xiang'xu 自相续
'zi'xu 自续
'zi'yi 子一
'zi'zong'ming'xian'suo'po'zhi'li 自宗明显所破之理
'zong'da'shi 宗大师
'zong'gong'xiu'fa 总共修法
'zong'jian'li'suo'yuan 总建立所缘
'zong'ka'ba 宗喀巴
'zong'lue'xuan'shuo 总略宣说
'zong'lue'xuan'shuo'xiu'chi'gui'li 总略宣说修持轨理
'zong'she 总摄
'zong'shi 总示
'zong'shi'qin'jin'yi'le 总示亲近意乐
'zong'ye'guo 总业果
'zong'yi'qie'yi'dang'ru'he'xing 总一切依当如何行
'zu'shi 祖师
'zui'sheng 最胜
'zui'sheng'zhi'men 最胜之门
'zui'zhang 罪障
'zun'zhang'shi'ci'di 尊长事次第
'zun'zhong'wu'shi'song 尊重五十颂
'zuo'bing'zhe'xiang 作病者想
'zuo'hui'deng'san 作毁等三
