'ai'er'bu'shang 哀而不伤
'ju'shan'er'jiao'bu'neng 举善而教不能
'ju'shang'bu'kuan 居上不宽
'ju'wang 举枉
'ju'wu'qiu'an 居无求安
'ju'xian'cai 举贤才
'ju'yi'yin 举伊尹
'ju'yi'yu'bu'yi'san'yu'fan 举一隅不以三隅反
'ju'yu'de 据於德
'ju'ze'yue 居则曰
'ju'zhi'bu 居之不
'ju'zhi'cuo'zhu'wang 举直错诸枉
'ju'zhi'wu'juan 居之无倦
'juan'zhe'you'suo'bu'wei'ye 狷者有所不为也
'jun 君
'jun'ci'sheng 君赐生
'jun'ci'shi 君赐食
'jun'ci'xing 君赐腥
'jun'er'zhi'li 君而知礼
'jun'hong 君薨
'jun'ji 君祭
'jun'lv'zhi'shi 军旅之事
'jun'ming 君命
'jun'ming'zhao 君命召
'jun'qu'yu'wu 君取於吴
'jun'shi'chen 君使臣
'jun'shi'chen'yi'li 君使臣以礼
'jun'shi'zhi 君视之
'jun'shu 君孰
'jun'shu'bu'zu 君孰不足
'jun'yi'zhong 君以忠
'jun'yue 君曰
'jun'zai 君在
'jun'zhao'shi'bin 君召使摈
'jun'zi 君子
'jun'zi'bo'xue'yu'wen 君子博学於文
'jun'zi'bu'qi 君子不器
'jun'zi'bu'yi'gan'shi 君子不以绀饰
'jun'zi'bu'you'bu'ju 君子不忧不惧
'jun'zi'bu'zhong 君子不重
'jun'zi'cheng'ren'zhi'mei 君子成人之美
'jun'zi'chi'qi'yan'er'guo'qi'xing 君子耻其言而过其行
'jun'zi'dao'zhe'san 君子道者三
'jun'zi'du'yu'qin 君子笃於亲
'jun'zi'duo'hu'zai 君子多乎哉
'jun'zi'er'bu'ren'zhe'you'yi'fu 君子而不仁者有矣夫
'jun'zi'he'er'bu'tong 君子和而不同
'jun'zi'he'huan'hu'wu 君子何患乎无
'jun'zi'huai'de 君子怀德
'jun'zi'huai'xing 君子怀刑
'jun'zi'jing'er'wu'shi 君子敬而无失
'jun'zi'ju'zhi 君子居之
'jun'zi'ke'shi'ye 君子可逝也
'jun'zi'qu'ren 君子去仁
'jun'zi'ren'yu'jun'zi'ren'ye 君子人与君子人也
'jun'zi'shang'da 君子上达
'jun'zi'shi'wu'qiu'bao 君子食无求饱
'jun'zi'si'bu'chu'qi'wei 君子思不出其位
'jun'zi'suo'gui'hu'dao'zhe'san 君子所贵乎道者三
'jun'zi'tai'er'bu'jiao 君子泰而不骄
'jun'zi'tan'dang'dang 君子坦荡荡
'jun'zi'wu'ben 君子务本
'jun'zi'wu'suo'zheng 君子无所争
'jun'zi'wu'zhong'shi'zhi'jian'wei'ren 君子无终食之间违仁
'jun'zi'ye 君子也
'jun'zi'yi'dang'hu 君子亦党乎
'jun'zi'yi'shi'er'nan'shuo'ye 君子易事而难说也
'jun'zi'yi'wen'hui'you 君子以文会友
'jun'zi'yi'you'qiong'hu 君子亦有穷乎
'jun'zi'yu 君子於
'jun'zi'yu'ne'yu'yan'er'min'yu'xing 君子欲讷於言而敏於行
'jun'zi'yu'qi'suo'bu'zhi 君子於其所不知
'jun'zi'yu'yu'yi 君子喻於义
'jun'zi'zai'ruo'ren 君子哉若人
'jun'zi'zhe'hu 君子者乎
'jun'zi'zhi'er'yi'yi 君子质而已矣
'jun'zi'zhi'yu'tian'xia'ye 君子之於天下也
'jun'zi'zhi'zhi'yu'si'ye 君子之至於斯也
'jun'zi'zhou'er'bu'bi 君子周而不比
'jun'zi'zhou'ji'bu'ji'fu 君子周急不继富
'kan'kan'ru'ye 侃侃如也
'kang'zi'kui'yao 康子馈药
'kang'zi'yue 康子曰
'ke 克
'ke'de'er'wen'ye 可得而闻也
'ke'ji'fu'li 克己复礼
'ke'ji'ye 可及也
'ke'qi'ye 可妻也
'ke'qi'ye 可欺也
'ke'shi'wei'zhi'zai'ye 可使为之宰也
'ke'shi'xing 可使杏
'ke'shi'yu'bin'ke'yan'ye 可使与宾客言也
'ke'shi'zhi'qi'fu'ye 可使治其赋也
'ke'shi'zu'min 可使足民
'ke'wei 可谓
'ke'wei'da'chen'yu 可谓大臣与
'ke'wei'hao'xue'ye'yi 可谓好学也已
'ke'wei'ju'chen'yi 可谓具臣矣
'ke'wei'ming'ye'yi'yi 可谓明也已矣
'ke'wei'ren'hu 可谓仁乎
'ke'wei'ren'yi 可谓仁矣
'ke'wei'ren'zhi'fang'ye'yi 可谓仁之方也已
'ke'wei'shi'yi 可谓士矣
'ke'wei'xiao'yi 可谓孝矣
'ke'wei'yuan'ye'yi'yi 可谓远也已矣
'ke'wei'zhi'yi 可谓知矣
'ke'ye 可也
'ke'ye'jian 可也简
'ke'yi'ji'bai'li'zhi'ming 可以寄百里之命
'ke'yi'tuo'liu'chi'zhi'gu 可以托六尺之孤
'ke'yi'wei 可以为
'ke'yi'wei'nan'yi 可以为难矣
'ke'yi'wei'shi'yi 可以为师矣
'ke'yi'wu'da'guo'yi 可以无大过矣
'ke'yi'yu'shang'ye 可以语上也
'ke'yu'gong'xue 可与共学
'ke'yu'li 可与立
'ke'yu'shi'dao 可与适道
'ke'zhi'ye 可知也
'keng'er 铿尔
'kong'kong'ru'ye 空空如也
'kong'wen'zi'he'yi'wei'zhi 孔文子何以谓之
'kong'zi'dui'yue 孔子对曰
'kong'zi'mu'yu'er'chao 孔子沐浴而朝
'kong'zi'tui 孔子退
'kong'zi'wei'ji'shi 孔子谓季氏
'kong'zi'yi'qi'xiong'zhi'zi'qi'zhi 孔子以其兄之子妻之
'kong'zi'yu'xiang'dang 孔子於乡党
'kong'zi'yu'zhi'zuo 孔子与之坐
'kong'zi'yue 孔子曰
'kuai'bu'yan'xi 脍不厌细
'kuang'er'bu'zhi 狂而不直
'kuang'ren'qi'ru'yu'he 匡人其如予何
'kuang'zhe'jin'qu 狂者进取
'lao'er'bu'si 老而不死
'lao'er'bu'yuan 劳而不怨
'lao'yue 牢曰
'lao'zhe'an'zhi 老者安之
'lao'zhi 劳之
'le'er'bu'yin 乐而不淫
'le'qi'ke'zhi'ye 乐其可知也
'le'ran'hou'xiao 乐然後笑
'le'yi'wang'you 乐以忘忧
'le'yi'zai'qi'zhong'yi 乐亦在其中矣
'lei'yue 诔曰
'li 利
'li 力
'li 李
'li 礼
'li'bu'zhong'men 立不中门
'li'bu'zu'ye 力不足也
'li'bu'zu'zhe 力不足者
'li'hou'hu 礼后乎
'li'kang'you'shou'du'zong'you'hu'man'gai'gao'bi'bi'kui'yue'tuo'xie'kui'wen'shu'jun'gu'zong'yong'zai'hu'man'gang'you 李康游收犊鬃釉弧谩溉缟蔽薜溃跃陀械溃稳纾俊箍鬃佣栽弧谩缸游
'li'kang'zi'huan'dao 李康子患盗
'li'kang'zi'wen 李康子问
'li'kang'zi'wen'zheng'yu'kong'zi 李康子问政於孔子
'li'lu'wen'shi'gui'shen 李路问事鬼神
'li'niu'zhi'zi'ma'xin'qie'jiao 犁牛之子马辛且角
'li'ren'di'si 里仁第四
'li'ren'wei'mei 里仁为美
'li'shi'fu'yu'zhou'gong 李氏富於周公
'li'ye 礼也
'li'ye'si 鲤也死
'li'yu'li 立於礼
'li'yue'bu'xing 礼乐不兴
'li'zhi'yong 礼之用
'li'zi'ran'wen 李子然问
'liang 良
'lin'da'jie 临大节
'lin'fang'wen'li'zhi'ben 林放问礼之本
'lin'sang'bu'ai 临丧不哀
'lin'zhi'yi'zhuang 临之以庄
'ling'se 令色
'ling'yin'zi'wen'san'shi'wei'ling'yin 令尹子文三仕为令尹
'liu 六
'liu'shi 六十
'lou 陋
'lu 路
'lu 鲁
'lu'ren'wei'chang'fu 鲁人为长府
'lu'wu'jun'zi'zhe 鲁无君子者
'lu'yi'bian 鲁一变
'lu'zai'qi'zhong'yi 禄在其中矣
'luan 乱
'luan'bang'bu'ju 乱邦不居
'luan'ye 乱也
'lun'du'shi'yu 论笃是与
'lun'yu 论语
'lv'kong 屡空
'lv'yi'xia'ren 虑以下人
'lv'zeng'yu'ren 屡憎於人
'ma'bu'jin'ye 马不进也
'ma'mian 麻冕
'man 漫
'mei'jie'qu'jin 没阶趋进
'mei'mu'pan'xi 美目盼兮
'mei'shi'wen 每事问
'men'ren'bu'jing'zi'lu 门人不敬子路
'men'ren'hou'zang'zhi 门人厚葬之
'men'ren'huo 门人惑
'men'ren'wen'yue 门人问曰
'men'ren'yu'hou'zang'zhi 门人欲厚葬之
'meng'gong'chuo 孟公绰
'meng'jing'zi'wen'zhi 孟敬子问之
'meng'sun'wen'xiao'yu'wo 孟孙问孝於我
'meng'wu'bo'wen'xiao 孟武伯问孝
'meng'wu'bo'wen'zi'lu'ren'hu 孟武伯问子路仁乎
'meng'yi'zi'wen'xiao 孟懿子问孝
'meng'zhi'fan'bu'fa 孟之反不伐
'mian'yi'shang'zhe 冕衣裳者
'mian'yu'xing'lu 免於刑戮
'miao'er'bu'xiu'zhe 苗而不秀者
'min'dao'yu'jin'shou'qi'ci 民到于今受其赐
'min'de'gui'hou'yi 民德归厚矣
'min'er'hao'xue 敏而好学
'min'ke'shi'you'zhi 民可使由之
'min'mian'er'wu'chi 民免而无耻
'min'wu'de'er'cheng'yan 民无得而称焉
'min'wu'neng'ming'yan 民无能名焉
'min'wu'xin'bu'li 民无信不立
'min'xian'jiu'yi 民鲜久矣
'min'xin'zhi'yi 民信之矣
'min'yi'qiu'zhi'zhe'ye 敏以求之者也
'min'yu'shi'er'shen'yu'yan 敏於事而慎於言
'min'zi'qian 闵子骞
'min'zi'qian'yue 闵子骞曰
'min'zi'shi'ce 闵子侍侧
'ming 明
'ming'bu'zheng 名不正
'ming'ri'sui'xing 明日遂行
'ming'ye 命也
'ming'yi'fu 命矣夫
'mo'chi 没齿
'mo'chun'zhe 莫春者
'mo'er'shi'zhi 默而识之
'mo'ji'zhi'ye 莫己知也
'mo'neng'xing 莫能兴
'mo'wo'zhi'ye'fu 莫我知也夫
'mo'wu'you'ren'ye 莫吾犹人也
'mo'you'ye'yi 末由也已
'mo'zhi'nan'yi 末之难矣
'mu'ne 木讷
'nan 难
'nan'gong'shi'chu 南宫适出
'nan'gong'shi'wen'yu'kong'zi'yue 南宫适问於孔子曰
'nan'hu'mian'yu'jin'zhi'shi'yi 难乎免於今之世矣
'nan'hu'you'heng'yi 难乎有恒矣
'nan'ren'you'yan'yue 南人有言曰
'nan'rong'san'fu'bai'gui 南容三复白圭
'nei'xing'bu'jiu 内省不疚
'neng'e'ren 能恶人
'neng'jie'qi'li 能竭其力
'neng'jin'qu 能近取
'neng'shi'wang'zhe'zhi 能使枉者直
'neng'wu'cong'hu 能无从乎
'neng'wu'hui'hu 能勿诲乎
'neng'wu'lao'hu 能勿劳乎
'neng'wu'shuo'hu 能无说乎
'neng'yi'li'rang'wei'guo'hu 能以礼让为国乎
'neng'zhi 能之
'neng'zhi'qi'shen 能致其身
'ni'yuan'er'you'qi'ren 匿怨而友其人
'nian'ji 年饥
'niao'zhi'jiang'si 鸟之将死
'ning'gu 宁固
'ning'jian 宁俭
'ning'mei'yu'gui 宁媚於龟
'ning'qi 宁戚
'nuo 诺
'nv 女
'nv'de'ren'yan'er'hu 女得人焉耳乎
'nv'fu'neng'jiu'yu 女弗能救与
'nv'wei'jun'zi'ru 女为君子儒
'nv'xi'bu'yue 女奚不曰
'nv'yi'yu'wei'duo'xue'er'shi'zhi'zhe'yu 女以予为多学而识之者与
'nv'yu'hui'ye'shu'yu 女与回也孰愈
'peng'you'shu 朋友数
'peng'you'si 朋友死
'peng'you'xin'zhi 朋友信之
'peng'you'zhi'kui 朋友之馈
'pi'fu'bu'ke'duo'zhi'ye 匹夫不可夺志也
'pi'ru'ping'di 譬如平地
'pi'ru'wei'shan 譬如为山
'pian'qi'fan'er 偏其反而
'pian'yan'ke'yi'zhe'yu'zhe 片言可以折狱者
'pin'er'wu'chan 贫而无谄
'pin'er'wu'yuan 贫而无怨
'pin'qie'jian'yan 贫且贱焉
'pin'yu'jian 贫与贱
'qi 其
'qi 齐
'qi'bu'er'si 岂不尔思
'qi'bu'shan'zhe'e'zhi 其不善者恶之
'qi'bu'shan'zhe'er'gai'zhi 其不善者而改之
'qi'bu'zu'zheng'ye 杞不足征也
'qi'ci'pi'di 其次辟地
'qi'ci'pi'se 其次辟色
'qi'ci'pi'yan 其次辟言
'qi'cong'zhi'ye 其从之也
'qi'er'wei'zhi 弃而违之
'qi'fu'rang'yang'er'zi'zheng'zhi 其父攘羊而子证之
'qi'he'yi'xing'zhi'zai 其何以行之哉
'qi'huan'gong'zheng'er'bu'jue 齐桓公正而不谲
'qi'hui'ye'yu 其回也与
'qi'huo'ji'zhou'zhe 其或继周者
'qi'jing'gong'wen'zheng'yu'kong'zi 齐景公问政於孔子
'qi'ke'wei'zhi'de'ye'yi'yi 其可谓至德也已矣
'qi'ming'ye'ai 其鸣也哀
'qi'qi'ran'hu 岂其然乎
'qi'ran 其然
'qi'ru'shi'zhu 其如示诸
'qi'ruo'pi'fu'pi'fu'zhi'wei'liang'ye 岂若匹夫匹妇之为谅也
'qi'shen'bu'zheng 其身不正
'qi'shen'zheng 其身正
'qi'shi'er'cong'xin'suo'yu 七十而从心所欲
'qi'shi'min'ye'yi 其使民也义
'qi'shi'shang'ye'jing 其事上也敬
'qi'shi'ye 其事也
'qi'si'zhi'wei'yu 其斯之谓与
'qi'tian'hu 其天乎
'qi'tian'hu 欺天乎
'qi'wei 其为
'qi'wei'ren'ye 其为人也
'qi'wei'ren'ye'xiao'di 其为人也孝弟
'qi'wei'ren'zhi'ben'yu 其为仁之本与
'qi'xin'san'yue'bu'wei'ren 其心三月不违仁
'qi'xing'ji'ye'gong 其行己也恭
'qi'yan 其言
'qi'yan'bu'rang 其言不让
'qi'yan'si'bu'zu'zhe 其言似不足者
'qi'yan'ye'shan 其言也善
'qi'yan'zhi'bu'zuo 其言之不怍
'qi'yang'min'ye'hui 其养民也惠
'qi'ye 器也
'qi'yi'bian 齐一变
'qi'you'cheng'gong'ye 其有成功也
'qi'you'wen'zhang 其有文章
'qi'you'ye'yu 其由也与
'qi'you'yu 其由与
'qi'yu 其余
'qi'yu'bu 其愚不
'qi'yu'bu'zu'guan'ye'yi 其馀不足观也已
'qi'yu'shou 启予手
'qi'yu'ze'ri'yue'zhi'yan'er'yi'yi 其余则日月至焉而已矣
'qi'yu'zhe'shang'ye 起予者商也
'qi'yu'zu 启予足
'qi'zai'zong'miao'chao'ting 其在宗庙朝廷
'qi'zheng'ye'jun'zi 其争也君子
'qi'zhi 器之
'qi'zhi 妻之
'qi'zhi'ke'ji'ye 其知可及也
'qi'zhi'yi'li 齐之以礼
'qi'zhi'yi'xing 齐之以刑
'qi'zhu'lin'er'yu'zhi 乞诸邻而与之
'qi'zhu'yi'hu'ren'zhi'qiu'zhi'yu 其诸异乎人之求之与
'qian'sheng'zhi 千乘之
'qian'sheng'zhi'guo 千乘之国
'qian'shi'zhi'yi 千室之邑
'qian'ze'jie 浅则揭
'qiang'fu'qi'zi'er'zhi'yi 襁负其子而至矣
'qiao'xiao'qian'xi 巧笑倩兮
'qiao'yan 巧言
'qiao'yan'ling'se 巧言令色
'qie'ge 且格
'qie'qie 切切
'qie'yu'yu'qi'si'yu'chen'zhi'shou'ye 且予与其死於臣之手也
'qie'yu'zong'bu'de'da'zang 且予纵不得大葬
'qie'zhi'fang'ye 且知方也
'qin'bu'shi 寝不尸
'qin'bu'yan 寝不言
'qing 清
'qing'shi'si'yu'yi 请事斯语矣
'qing'tao'zhi 请讨之
'qing'wen'qi'mu 请问其目
'qing'xue'wei'pu 请学为圃
'qing'yi 请益
'qiu 求
'qiu'bei'yan 求备焉
'qiu'he'wei'shi'xi'xi'zhe'yu 丘何为是栖栖者与
'qiu'ren'er'de'ren 求仁而得仁
'qiu'shan'jia'er'gu'zhu 求善贾而沽诸
'qiu'wei'da 丘未达
'qiu'wei'ke'zhi'ye 求为可知也
'qiu'ye 丘也
'qiu'ye 求也
'qiu'ye'he'ru 求也何如
'qiu'ye'ke'shi'cong'zheng'ye'yu 求也可使从政也与
'qiu'ye'tui 求也退
'qiu'ye'wen 求也问
'qiu'ye'xing 丘也幸
'qiu'ye'yi 求也艺
'qiu'yi'chi'zhi 丘亦耻之
'qiu'yu'lu 求於鲁
'qiu'zhi'dao'jiu'yi 丘之祷久矣
'qiu'zhi'yi 求之艺
'qiu'zhi'yu 求之与
'qu 去
'qu'bing 去兵
'qu'bo'yu'shi'ren'yu'kong'zi 蘧伯玉使人於孔子
'qu'gong'er'zhen'zhi 曲肱而枕之
'qu'jin 趋进
'qu'shi 去食
'quan 权
'que'dang'tong'zi'jiang'ming 阙党童子将命
'ran 冉
'ran 然
'ran'bo'niu 冉伯牛
'ran'hou'jun'zi 然後君子
'ran'hou'qu 然後取
'ran'hou'wei'xue 然後为学
'ran'hou'yue'zheng 然後乐正
'ran'hou'zhi'song'bai'diao'ye 然後知松柏雕也
'ran'qiu 冉求
'ran'qiu'yue 冉求曰
'ran'you 冉有
'ran'you'pu 冉有仆
'ran'you'yue 冉有曰
'ran'ze 然则
'ran'ze'cong'zhi'zhe'yu 然则从之者与
'ran'ze'guan'zhong'zhi'li'hu 然则管仲知礼乎
'ran'zi'tui'chao 冉子退朝
'ran'zi'wei'qi'mu'qing'li 冉子为其母请栗
'ran'zi'yu'zhi'li'wu'bing 冉子与之栗五秉
'rang'yi'de'zhi 让以得之
'ren 人
'ren 仁
'ren'bi'zhi'zhi 人必知之
'ren'bu'jian'yu'qi'fu'mu'jie'di'zhi'yan 人不间於其父母皆弟之言
'ren'bu'kan'qi'you 人不堪其忧
'ren'bu'yan'qi'qu 人不厌其取
'ren'bu'yan'qi'xiao 人不厌其笑
'ren'bu'yan'qi'yan 人不厌其言
'ren'bu'zhi'er'bu 人不知而不
'ren'er'bu'ren 人而不仁
'ren'er'wu'heng 人而无恒
'ren'er'wu'xin 人而无信
'ren'jie'ji'yi'jin 人洁己以进
'ren'jie'you'xiong'di 人皆有兄弟
'ren'qi'she'zhu 人其舍诸
'ren'yan'sou'zai 人焉叟哉
'ren'ye 人也
'ren'ye 仁也
'ren'yi 人矣
'ren'yi 仁矣
'ren'yi'hu 仁矣乎
'ren'yi'wei'chan'ye 人以为谄也
'ren'yi'wei'ji'ren 仁以为己任
'ren'yuan'hu'zai 仁远乎哉
'ren'ze'wu'bu'zhi'ye 仁则吾不知也
'ren'zhe 仁者
'ren'zhe'an'ren 仁者安仁
'ren'zhe'bu'you 仁者不忧
'ren'zhe'jing 仁者静
'ren'zhe'le'shan 仁者乐山
'ren'zhe'shou 仁者寿
'ren'zhe'xian'nan'er'hou'huo 仁者先难而后获
'ren'zhi'e'ye 人之恶也
'ren'zhi'guo'ye 人之过也
'ren'zhi'jiang'si 人之将死
'ren'zhi'sheng'ye'zhi 人之生也直
'ren'zhi'yan'yue 人之言曰
'ren'zhong'er'dao'yuan 任重而道远
'reng'jiu'guan 仍旧贯
'rou'sui'duo 肉虽多
'ru 入
'ru 如
'ru'bu'ji 如不祭
'ru'bu'ke'qiu 如不可求
'ru'bu'rong 如不容
'ru'bu'shan'er'mo'zhi'wei'ye 如不善而莫之违也
'ru'bu'sheng 如不胜
'ru'da'miao 入大庙
'ru'gong'men 入公门
'ru'hao'se'zhe'ye 如好色者也
'ru'hui'tong 如会同
'ru'huo'zhi'er 如或知尔
'ru'le'he 如乐何
'ru'li'he 如礼何
'ru'lin'shen 如临深
'ru'lv'bo'bing 如履薄冰
'ru'qi'li'yue 如其礼乐
'ru'qi'ren 如其仁
'ru'qi'shan'er'mo'zhi'wei'ye 如其善而莫之违也
'ru'qie'ru'cuo 如切如磋
'ru'si'er'yi'hu 如斯而已乎
'ru'tai'miao 入太庙
'ru'wu'liu'shi 如五六十
'ru'ye 如也
'ru'yong'zhi 如用之
'ru'you 如有
'ru'you'bo'shi'yu'min'er'neng'ji'zhong 如有博施於民而能济众
'ru'you'fu'wo'zhe 如有复我者
'ru'you'suo'li 如有所立
'ru'you'wang'zhe 如有王者
'ru'you'zhou'gong'zhi'cai'zhi'mei 如有周公之才之美
'ru'yu 如愚
'ru'ze'shi'fu'xiong 入则事父兄
'ru'ze'xiao 入则孝
'ru'zheng'ren'he 如正人何
'ru'zhi'he 如之何
'ru'zhi'he'qi'che'ye 如之何其彻也
'ru'zhi'he'qi'wen'si'xing'zhi 如之何其闻斯行之
'ru'zhi'wei'jun'zhi'nan'ye 如知为君之难也
'ru'zhuo'ru'mo 如琢如磨
'ruo'sheng'yu'ren 若圣与仁
'ruo'you'ye 若由也
'ruo'zang'wu'zhong'zhi'zhi 若臧武仲之知
'san'fen'tian'xia'you'qi'er 三分天下有其二
'san'jia'zhe'yi'yong'che 三家者以雍彻
'san'jun'ke'duo'shi'ye 三军可夺师也
'san'nian 三年
'san'nian'wu'gai'yu'fu'zhi'dao 三年无改於父之道
'san'nian'xue 三年学
'san'nian'you'cheng 三年有成
'san'ren'xing 三人行
'san'shi'er'li 三十而立
'san'xiu'er 三嗅而
'san'yi'tian'xia'rang 三以天下让
'san'yi'zhi 三已之
'san'yue'bu'zhi'rou'wei 三月不知肉味
'san'zi'zhe'chu 三子者出
'sang 丧
'sang'shi'bu'gan'bu'mian 丧事不敢不勉
'sang'wu'suo'bu'pei 丧无所不佩
'se 瑟
'se'bo'ru'ye 色勃如也
'se'e'bu'shi 色恶不食
'se'nan 色难
'se'qu'ren'er'xing'wei 色取仁而行违
'se'si'ju'yi 色斯举矣
'se'zhuang'zhe'hu 色庄者乎
'shan'chuan'qi'she'zhu 山川其舍诸
'shan'fu 善夫
'shan'jie'zao'mu'dui 山节藻木兑
'shan'liang'ci'zhi 山梁雌雉
'shan'ren 善人
'shan'ren'jiao'min'qi'nian 善人教民七年
'shan'ren'wei'bang'bai'nian 善人为邦百年
'shan'wei'wo'ci'yan 善为我辞焉
'shan'zai 善哉
'shan'zai'wen 善哉问
'shang'de'zai'ruo'ren 尚德哉若人
'shang'hao'li 上好礼
'shang'hao'xin 上好信
'shang'hao'yi 上好义
'shang'ren'hu 伤人乎
'shang'ru'yi 上如揖
'shang'wen'zhi'yi 商闻之矣
'shang'ye'bu'ji 商也不及
'shang'yi 上矣
'shao'meng'bao'kong'you'pi'dang'pu'ying'you'lu'shu'huang'su'lu'jin'huai'bi'xian'ling'jing'qu 捎蒙保孔佑疲裆埔樱又路纾恍酥虏荩徊萆现绫刭取
'shao'you 少有
'shao'zhe'huai'zhi 少者怀之
'she'bu'zhu'pi 射不主皮
'she'qi'sheng'tang 摄齐升堂
'she'se'er'zuo 舍瑟而作
'she'xiao'guo 赦小过
'she'ze'bu'sun 奢则不孙
'she'zhi'ze'cang 舍之则藏
'shen 甚
'shen 神
'shen'cheng 申枨
'shen'er'wu'li'ze'xi 慎而无礼则葸
'shen'shen'ru'ye 申申如也
'shen'xing 慎行
'shen'yan'qi'yu 慎言其余
'shen'yi'wu'ai'ye 甚矣吾哀也
'shen'ze'li 深则厉
'shen'zhi'yi'hu 甚至矣乎
'shen'zhong 慎终
'sheng 圣
'sheng 生
'sheng'che 升车
'sheng'ren 圣人
'shi 十
'shi 士
'shi 师
'shi 是
'shi 誓
'shi 诗
'shi 食
'shi'bu'cheng 事不成
'shi'bu'yan'jing 食不厌精
'shi'bu'yu 食不语
'shi'dao'ye 是道也
'shi'er'er'shun 十而耳顺
'shi'er'huai'ju 士而怀居
'shi'er'yu'nei'er'rou'bai 食而鱼馁而肉败
'shi'fu'ban'zhe 式负版者
'shi'fu'mu 事父母
'shi'fu'mu'ji'jian 事父母几谏
'shi'fu'yu'jun 弑父与君
'shi'gu'e'fu'ning'zhe 是故恶夫佞者
'shi'gu'shen'zhi 是故哂之
'shi'hou'su 事后素
'shi'hu 使乎
'shi'huo'ye 是惑也
'shi'jiao'qie'lin 使骄且吝
'shi'jun 事君
'shi'jun'jin'li 事君尽礼
'shi'jun'shu 事君数
'shi'ke'ren'ye 是可忍也
'shi'ke'yu'yan'shi'yi 始可与言诗矣
'shi'ke'yu'yan'shi'yi'yi 始可与言诗已矣
'shi'li'ye 是礼也
'shi'min'jing 使民敬
'shi'min'ru'cheng'da'ji 使民如承大祭
'shi'min'yi'shi 使民以时
'shi'min'zhan'li 使民战栗
'shi'pu 市脯
'shi'qi'suo'yi 视其所以
'shi'ren'bu'shi 失饪不食
'shi'ren'zhi'suo'yu'ye 是人之所欲也
'shi'ru'bei'chen'ju'qi'suo'er'zhong'xing'gong'zhi 誓如北辰居其所而众星共之
'shi'ruo'chu 实若处
'shi'san'bai 诗三百
'shi'shi'ke'zhi'ye 十世可知也
'shi'shi'yu 侍食於
'shi'shi'yuan'er 室是远而
'shi'shi'zhi'yi 十室之邑
'shi'shu'tao'lun'zhi 世叔讨论之
'shi'wei'neng'yang 是谓能养
'shi'wei'qi'zhi 是谓弃之
'shi'wei'zei 是为贼
'shi'wei'zhi 是谓之
'shi'wen'ye 是闻也
'shi'wu'song'hu 使无讼乎
'shi'wu'you'ye 是吾忧也
'shi'wu'yu'ren'ye 始吾於人也
'shi'xian'hu 是贤乎
'shi'ye'guo 师也过
'shi'ye'pi 师也辟
'shi'yi'wei'zheng 是亦为政
'shi'you 始有
'shi'yu'shang'ye'shu'xian 师与商也孰贤
'shi'yu'si'fang 使於四方
'shi'yu'you'fu'ye 视予犹父也
'shi'yu'you'zheng 施於有政
'shi'yun 诗云
'shi'zai'shi'zai 时哉时哉
'shi'zhe'chu 使者出
'shi'zhe'ru'si'fu 逝者如斯夫
'shi'zhi'qi 是知其
'shi'zhi'ye 是知也
'shi'zhi'yi'li 事之以礼
'shi'zhi'yu'dao 士志於道
'shi'zhi'zhi'shi 师挚之始
'shi'zuo 始作
'shou'ming 受命
'shou'si'shan'dao 守死善道
'shou'zhi'yi'zheng 授之以政
'shu 书
'shu'bu'ke'ren'ye 孰不可忍也
'shu'bu'zhi'li 孰不知礼
'shu'dai'li'yu'chao 束带立於朝
'shu'er'bu'zuo 述而不作
'shu'er'di'qi 述而第七
'shu'gan'bu'zheng 孰敢不正
'shu'neng'wei'zhi'da 孰能为之大
'shu'qi'bu'nian'jiu'e 叔齐不念旧恶
'shu'qi'he'ren'ye 叔齐何人也
'shu'wei'wei'sheng'gao'zhi 孰谓微生高直
'shu'wei'zou'ren'zhi'zi'zhi'li'hu 孰谓鄹人之子知礼乎
'shu'yi'zai 庶矣哉
'shu'yun 书云
'shui'neng'chu'bu'you'hu 谁能出不由户
'shui'zhi'bian'zhi'shi 谁执鞭之士
'shun 舜
'shun'you'chen'wu'ren 舜有臣五人
'shun'yu'zhi'you'tian'xia'ye 舜禹之有天下也
'shuo'er'bu'yi 说而不绎
'shuo'ye 说也
'shuo'zhi'bu'yi'dao 说之不以道
'shuo'zhi'sui'bu'yi'dao 说之虽不以道
'si 死
'si'bu'ji'she 驷不及舌
'si'bu'neng'yan'zhe 似不能言者
'si'chu'yi 斯出矣
'si'di 私觌
'si'er'bu'hui'zhe 死而不悔者
'si'er'bu'xue'ze'dai 思而不学则殆
'si'er'hou'yi 死而後已
'si'hai'ye'ji 斯害也己
'si'hai'zhi'nei 四海之内
'si'hu 斯乎
'si'jin'xin'xiao 斯近信笑
'si'ke'yi 斯可矣
'si'ma'niu'wen 司马牛问
'si'ma'niu'you'yue 司马牛忧曰
'si'ren'ye'you'si'ji 斯人也有斯疾
'si'ren'ye'you'si'ji'ye 斯人也有斯疾也
'si'ren'zhi'yi 斯仁至矣
'si'ru'yi 斯辱矣
'si'sheng'you'ming 死生有命
'si'shi'er'bu'huo 四十而不惑
'si'shi'wu'shi'er'wu'wen'yan 四十五十而无闻焉
'si'shu'wu'jing 四书五经
'si'shu'yi 斯疏矣
'si'wei'mei 斯为美
'si'wei'zhi'jun 斯谓之君
'si'wu'xie 思无邪
'si'yan'qu'si 斯焉取斯
