'ai'fu'tun'suan 嗳腐吞酸
'ji'ruan'er'chen'xi 极软而沉细
'ji'wang'shi 既往史
'ji'xi'ji'ruan 极细极软
'ji'xiong 鸡胸
'ji'xu'wei're 积蓄为热
'ji'zao'yi'nu 急躁易怒
'ji'zhi 积滞
'jia're'zhen'han 假热真寒
'jia'shen 假神
'jia'shi 假实
'jia'shi'shang'han 夹食伤寒
'jia'shi'zhong'shu 夹食中暑
'jia'tai 假苔
'jia'xu 假虚
'jia'xu'zhen'shi 假虚真实
'jia'xu'zhi'zheng 假虚之证
'jia'zu'bing'shi 家族病史
'jian'chun 茧唇
'jian'fei 睑废
'jian'lao'bu'yi 坚牢不移
'jian'qing'yu'xie 兼清余邪
'jian'se'bu'chang 艰涩不畅
'jian'suo'ku 间所苦
'jian'wang 健忘
'jiang'se'she 绛色舌
'jiang'she 绛舌
'jiang'she'huang'bai'tai 绛舌黄白苔
'jiang'she'huang'run'tai 绛舌黄润苔
'jiang'she'huang'zhan'ni'tai 绛舌黄粘腻苔
'jiang'she'wu'tai 绛舌无苔
'jiang'zhan'ni'she 绛粘腻舌
'jiang'zi 绛紫
'jiao'gong'fan'zhang 角弓反张
'jiao'huang're'jie 焦黄热结
'jiao'huang'tai 焦黄苔
'jie'duo'yin'jing 劫夺阴精
'jie'jie 结疖
'jie'lu 解卤
'jie'mai 结脉
'jie'suo 解索
'jie'suo'mai 解索脉
'jie'xiong 结胸
'jin'chuang 金疮
'jin'gu 筋骨
'jin'gu'long'sheng 筋骨隆盛
'jin'jin 金津
'jin'jing'lu 金镜录
'jin'kou'li 噤口痢
'jin'ku'fei'sun 津枯肺损
'jin'kui 津亏
'jin'mai 紧脉
'jin'mai'shi'yang 筋脉失养
'jin'mai'shi'yu'wen'yang 筋脉失于温养
'jin'mai'shou'suo 筋脉收缩
'jin'men 紧闷
'jin'mo'jin 筋膜紧
'jin'po'bu'ming 金破不鸣
'jin'ren 金刃
'jin'ren'chuang'shang 金刃创伤
'jin'shang 津伤
'jin'shang 筋伤
'jin'shang'gu'zhe 筋伤骨折
'jin'shang'yang'kang 津伤阳亢
'jin'shang'ye'jie 津伤液竭
'jin'shi'bu'ming 金实不鸣
'jin'ti 筋惕
'jin'ye 津液
'jin'ye'bu'shang 津液不伤
'jin'ye'bu'zu 津液不足
'jin'ye'da'shang 津液大伤
'jin'ye'kui'hao 津液亏耗
'jin'ye'sheng'hua'jian'shao 津液生化减少
'jin'ye'sun'shang 津液损伤
'jin'ye'wai'xie 津液外泄
'jin'ye'xiang'cheng 津液相成
'jin'yin'chuang 浸淫疮
'jing'bi'bu'yun 经闭不孕
'jing'bie 经别
'jing'cai'nei'han 精彩内含
'jing'chan'qi 经产期
'jing'er'shao'yan 静而少言
'jing'feng'zheng 惊风证
'jing'jin 经筋
'jing'kui'sui'shao 精亏髓少
'jing'kui'xue'shao 精亏血少
'jing'luan 痉挛
'jing'luo 经络
'jing'luo'qi'xue'yu'zhi 经络气血郁滞
'jing'mai 经脉
'jing'mai'dong 颈脉动
'jing'mai'hu'wei'luo'shu 经脉互为络属
'jing'mai'ju'ji 经脉拘急
'jing'mai'nu'zhang 颈脉怒张
'jing'mai'shi'yang 经脉失养
'jing'mai'shou'suo 经脉收缩
'jing'mu'shi'zi 睛目失滋
'jing'neng'sheng'shen 精能生神
'jing'qi'duo'ze'xu 精气夺则虚
'jing'qi'nei'han 精气内含
'jing'qi'nei'jie 精气内竭
'jing'qi'nei'shang 精气内伤
'jing'qi'ni'luan 经气逆乱
'jing'qi'shuai'jie 精气衰竭
'jing'se'zi'an 经色紫暗
'jing'shao'bu'yu 精少不育
'jing'shao'jing'bi 经少经闭
'jing'shen'bu'zhen 精神不振
'jing'shen'chi'dai 精神痴呆
'jing'shen'kun'dun 精神困顿
'jing'shen'nai'ju 精神乃居
'jing'shen'san'luan'zhi'xu'zheng 精神散乱之虚证
'jing'shen'wei'mi 精神萎靡
'jing'shen'yi'yu 精神抑郁
'jing'shuai'ze'ti'ruo 精衰则体弱
'jing'xue'bu'neng'cang 精血不能藏
'jing'xue'fa'yuan 经血乏源
'jing'xue'liang 经血量
'jing'xue'shou'zu 经血受阻
'jing'xue'zhi'yuan 经血之源
'jing'yue'quan'shu 景岳全书
'jing'zu'ze'xing'jian 精足则形健
'jiu'bing'bu'yu 久病不愈
'jiu'bing'ke'chuan 久病咳喘
'jiu'bing'shang'zheng 久病伤正
'jiu'bing'ti'xu 久病体虚
'jiu'bing'xue'li 久病血痢
'jiu'du'nei'ji 酒毒内积
'jiu'li'jiu'xie 久痢久泄
'jiu'li'shang'gu 久立伤骨
'jiu'shi'shang'xue 久视伤血
'jiu'wo'shang'qi 久卧伤气
'jiu'xie'bu'zhi 久泄不止
'jiu'xie'jiu'li 久泄久痢
'jiu'xing'shang'jin 久行伤筋
'jiu'zao'bi 酒糟鼻
'jiu'zuo'shang'rou 久坐伤肉
'ju'an'xun 举按寻
'ju'bu 局部
'ju'bu'po'sun'chu'xie 局部破损出血
'ju'bu'qi'xue'bu'chang 局部气血不畅
'ju'chu'chao'shi 居处潮湿
'ju'er'cheng'tan 聚而成痰
'ju'ji 拘急
'ju'ji'shou'suo 拘急收缩
'ju'ji'shou'yin 拘急收引
'ju'luan'ji'po 拘挛急迫
'ju'shi'sheng'tan 聚湿生痰
'ju'tong'bao'zuo 剧痛暴作
'ju'zhi'fan'fan'er'you'yu 举之泛泛而有余
'ju'zhi'shi'chang 举止失常
'juan'dai 倦怠
'juan'dai'fa'li 倦怠乏力
'juan'dai'wu'li 倦怠无力
'jue'si'sheng'zhi'fen 决死生之分
'jue'si'sheng'zhi'fen'yi 决死生之分矣
'jue'yin 厥阴
'jue'yin'jing'tou'tong 厥阴经头痛
'jue'zheng 厥证
'jun'huo'bu'ning 君火不宁
'jun'yun'he'huan 均匀和缓
'jun'zhuang'ru'tou 菌状乳头
'ka'tan'xiong'men 咯痰胸闷
'kai'qiao'yu'she 开窍于舌
'kai'she 揩舌
'ke'bu'duo'yin 渴不多饮
'ke'chuan'fei'zhang 咳喘肺胀
'ke'chuan'tu'ran'fa'zuo 咳喘突然发作
'ke'chuan'wu'li 咳喘无力
'ke'ni'xiong'tong 咳逆胸痛
'ke'se 客色
'ke'sheng'bu'yang 咳声不扬
'ke'sou 咳嗽
'ke'sou'ka'xie 咳嗽咯血
'ke'xue 咳血
'kong'shui 恐水
'kou'bi'er'ru 口鼻而入
'kou'chou'bian'mi 口臭便秘
'kou'chuang 口疮
'kou'chun'gan'lie 口唇干裂
'kou'chun'se'dan 口唇色淡
'kou'da'ke'xi'leng'yin 口大渴喜冷饮
'kou'dan'bu'ke 口淡不渴
'kou'dan'fa'wei 口淡乏味
'kou'dan'fu'zhang 口淡腹胀
'kou'gan 口疳
'kou'gan'ke'yin 口干渴饮
'kou'jiao'liu'xian 口角流涎
'kou'ke'duo'yin 口渴多饮
'kou'ke'xin'fan 口渴心烦
'kou'ke'yin'leng 口渴饮冷
'kou'ku'e'xin'zhe 口苦恶心者
'kou'ku'yan'gan 口苦咽干
'kou'mai 芤脉
'kou'mi 口糜
'kou'po 口破
'kou'qi 口气
'kou'tian 口甜
'kou'tu'tan'xian 口吐痰涎
'kou'tu'xian'mo 口吐涎沫
'kou'xian 口咸
'kou'yan'wai'xie 口眼歪斜
'kou'zao'yan'gan 口燥咽干
'kou'zhong'fan'suan 口中泛酸
'kou'zhong'suan'sou 口中酸馊
'ku'bai'she 枯白舌
'ku'xiao'wu'chang 哭笑无常
'kuang'quan'bing 狂犬病
'kuang'zao'wang'dong 狂躁妄动
'kuang'zao'zhan'yu 狂躁谵语
'kuang'zheng 狂证
'kun'juan'yi'shui 困倦易睡
'lai'sheng'qu'shuai 来盛去衰
'lai'shi'meng 来势猛
'lai'shi'meng'ji 来势猛疾
'lan'ban'mi'bu 烂斑密布
'lan'ping'guo'yang'qi'wei 烂苹果样气味
'lan'yan 懒言
'lao'juan 劳倦
'lao'juan'nei'shang 劳倦内伤
'lao'lei'guo'du 劳累过度
'lao'mai 牢脉
'lao'she 老舌
'lao'shen'shang'xue 劳神伤血
'lao'sou 劳嗽
'lao'sun'gan'shen 劳损肝肾
'lao'yi 劳逸
'le'zhi'tang'ren'zi'xu'zhi'yun'yu 乐只堂人子须知韵语
'lei'bo'tai 类剥苔
'leng'mi 冷秘
'li'dong'yuan 李东垣
'li'han'wai're 里寒外热
'li'hei 黧黑
'li'ji 痢疾
'li'ji'hou'zhong 里急后重
'li're'kang'sheng 里热亢盛
'li're'nei'chi 里热内炽
'li're'xie'shi 里热挟湿
'li're'zheng 里热证
'li're'zheng'teng 里热蒸腾
'li'shi 里实
'li'shi'cai 李士材
'li'shi'zhen 李时珍
'li'xia'wu'du 利下无度
'li'xie'chu'biao 里邪出表
'li'xu 里虚
'li'yan 李延
'li'yu'chang'ren 力逾常人
'li'zheng 里证
'li'zhong'zi 李中梓
'lian'hua'she 莲花舌
'lian'ye'wei'tan 炼液为痰
'liang'jing'xiang'bo'wei'zhi'shen 两精相搏谓之神
'liang'mu'gan'se 两目干涩
'liang'mu'hun'hua 两目昏花
'liang'quan'chao'hong 两颧潮红
'liang'quan'fa'hong 两颧发红
'liang'quan'hong'chi 两颧红赤
'liang'shao 量少
'liang'yu'yu 梁玉瑜
'liang'zao 凉燥
'liang'zhe'xiang'wei'biao'li 两者相为表里
'liang'zu'piao'fu 两足飘浮
'lie'wen 裂纹
'lie'wen'she 裂纹舌
'lin'chan'mai 临产脉
'lin'li'se'tong 淋沥涩痛
'lin'zheng 淋证
'ling'huo'zi'ru 灵活自如
'liu'he'jian 刘河间
'liu'heng'rui 刘恒瑞
'liu'huo 流火
'liu'jing 六经
'liu'li'zhi 刘立之
'liu'xue'bu'zhi 流血不止
'liu'yang'mai 六阳脉
'liu'yi'ren 刘以仁
'liu'yin 六淫
'liu'yin'mai 六阴脉
'liu'yin'xie'qi 六淫邪气
'liu'zhu'chang'zhong 流注肠中
'long'bi 癃闭
'lou'xia 漏下
'lun'kuo'ru'tou 轮廓乳头
'luo'li 瘰疬
'luo'mai 络脉
'luo'mai'bu'li 络脉不利
'luo'mai'se'shen'er'zhi 络脉色深而滞
'luo'mai'shou'fa 络脉手法
'luo'mai'sun'shang 络脉损伤
'luo'quan'tui 箩圈腿
'lv'tai 绿苔
'ma'cu 麻促
'ma'feng 麻风
'ma'mu 麻木
'ma'mu'bu'ren 麻木不仁
'ma'zhen 麻疹
'mai'chen'chi 脉沉迟
'mai'chen'hua 脉沉滑
'mai'chen'wei'xi 脉沉微细
'mai'dao'jian'man 脉道坚满
'mai'dao'jin'zhang'er'ju'ji 脉道紧张而拘急
'mai'dao'kuo'zhang 脉道扩张
'mai'dao'shi'chong 脉道失充
'mai'dao'shou'yin 脉道收引
'mai'fu'huan'zhe 脉浮缓者
'mai'fu'jin 脉浮紧
'mai'fu'shu'zhe 脉浮数者
'mai'huan'da 脉缓大
'mai'jian'bu'yi 脉简补义
'mai'jian'chen'jin 脉见沉紧
'mai'jian'fu'da'er'san 脉见浮大而散
'mai'jian'xi'shu 脉见细数
'mai'jue'hui'bian 脉诀汇辨
'mai'jue'kan'wu'ji'jie 脉诀刊误集解
'mai'lai'beng'ji 脉来绷急
'mai'lai'huan'er'shi'yi'zhi 脉来缓而时一止
'mai'luo'shi'he 脉络失和
'mai'qi'gu'dong 脉气鼓动
'mai'qi'jin'zhang 脉气紧张
'mai'ru'shu 脉濡数
'mai'shi'you'li 脉实有力
'mai'shu'wu'li 脉数无力
'mai'shu'you'li 脉数有力
'mai'ti'kuo'da 脉体阔大
'mai'wei'xi 脉微细
'mai'wei'xi'yu'jue 脉微细欲绝
'mai'wei'yu'jue 脉微欲绝
'mai'xi'ru'xian 脉细如线
'mai'xi'ruo 脉细弱
'mai'xi'se 脉细涩
'mai'xi'wu'li 脉细无力
'mai'xiang 脉象
'mai'xiang'tong'lei 脉象统类
'mai'xiang'xi'se 脉象细涩
'mai'xiang'xu'shu 脉象虚数
'mai'xing'jia'su 脉行加速
'mai'xing'ru'dou 脉形如豆
'mai'xu 脉虚
'mai'xu'wu'li 脉虚无力
'mai'yao'tu'zhu'xiang'jie 脉要图注详解
'mai'yi'jian'mo 脉义简摩
'mai'zhe'qi'xue'zhi'xian'ye 脉者气血之先也
'mai'zhen 脉诊
'man'pi'feng 慢脾风
'man'xing'chu'xie 慢性出血
'man'yan'quan'shen 蔓延全身
'man'zhong'wu'tou 漫肿无头
'mao'qiao'yu'bi'ze'wu'han 毛窍郁闭则无汗
'mei'du 梅毒
'mei'fu'tai 霉腐苔
'mei'jiang'tai 霉酱苔
'mei'qi'zhong'du 煤气中毒
'men'men'bu'le 闷闷不乐
'men'tong'te'shen 闷痛特甚
'meng'bi'qing'qiao 蒙蔽清窍
'meng'bi'shen'ming 蒙蔽神明
'meng'bi'xin'shen 蒙蔽心神
'meng'yi'hua'jing 梦遗滑精
'mi'dian 糜点
'mi'qie'xiang'guan 密切相关
'mian'bai'quan'chi 面白颧赤
'mian'bai'wu'hua 面白无华
'mian'bu'hong're 面部烘热
'mian'chi'kou'ke 面赤口渴
'mian'hong'mu'chi 面红目赤
'mian'hong'shen're 面红身热
'mian'huang'er'gou 面黄而垢
'mian'huang'xu'fu 面黄虚浮
'mian'mu 面目
'mian'qing'xuan'yun 面青眩晕
'mian'ru'ku'xiao 面如苦笑
'mian'se'an'dan 面色暗淡
'mian'se'an'zhi 面色暗滞
'mian'se'cang'bai 面色苍白
'mian'se'dan'bai 面色淡白
'mian'se'hui'an 面色晦暗
'mian'se'jiao'hei 面色焦黑
'mian'se'qing'hui 面色青灰
'mian'se'rong'run 面色荣润
'mian'se'shen'dan 面色渗淡
'mian'se'wei'huang 面色萎黄
'mian'zhong 面肿
'min'zu 民族
'ming'guan 命关
'ming'men'huo'shuai 命门火衰
'ming'run'han'xu 明润含蓄
'ming'tang 明堂
'mo'mo'bu'yu'yin'shi 默默不欲饮食
'mu'an'jing'mi 目暗睛迷
'mu'fan'shang'shi 目翻上视
'mu'guang'jing'cai 目光精彩
'mu'guang'ming'liang 目光明亮
'mu'guang'zhuan'liang 目光转亮
'mu'hun 目昏
'mu'jing'shang'shi 目睛上视
'mu'jing'wei'ding 目睛微定
'mu'jing'zheng'yuan 目睛正圆
'mu'ke'nei'xian 目窠内陷
'mu'ke'zhong 目窠肿
'mu'run 目瞤
'mu'shi'suo'yang 目失所养
'mu'tong 目痛
'mu'xi'ji 目系急
'mu'xuan 目眩
'mu'yu'ke'tu 木郁克土
'na'dai 纳呆
'na'dai'e'xin 纳呆恶心
'na'shao'fa'li 纳少乏力
'na'shao'fu'zhang 纳少腹胀
'na'shi'wu'quan 纳食无权
'nan'jing 难经
'nan'nan'bu'xiu 喃喃不休
'nan'nan'zi'yu 喃喃自语
'nan'yi'fu'yang 难以俯仰
'nao'nu'shang'gan 恼怒伤肝
'nao'sui'shi'yang 脑髓失养
'nei'chuan'ru'li 内传入里
'nei'dong'xin'shen 内动心神
'nei'er'zang'fu 内而脏腑
'nei'fu'xin'jing 内伏心经
'nei'jing 内经
'nei'liu'zang'fu 内流脏腑
'nei'po'xue'fen 内迫血分
'nei're 内热
'nei're'chong'chi 内热充斥
'nei'shang'za'bing 内伤杂病
'nei'she'yu'fei 内舍于肺
'nei'ting'sheng'leng 内停生冷
'nei'yi'hou'ge 内以候膈
'nei'yi'hou'pi 内以候脾
'nei'yi'hou'shan'zhong 内以候膻中
'nei'yin 内因
'nei'ying'yu'fei 内应于肺
'nei'yong 内痈
'nei'you'tan'yin 内有痰饮
'nei'zang'xia'chui 内脏下垂
'nei'zao'zheng 内燥证
'nei'zhang 内障
'nei'zhuo'shen'ming 内灼神明
'nen'she 嫩舌
'ni'tai 腻苔
'nian'gao'ti'ruo 年高体弱
'nian'lao'ti'ruo 年老体弱
'nian'ling 年龄
'nian'qi'mai 廿七脉
'niao'dao'zhuo'tong 尿道灼痛
'niao'huang 尿黄
'niao'pin 尿频
'niao'pin'niao'ji 尿频尿急
'niao'xie 尿血
'niao'zao'wei 尿躁味
'ning'ju'cheng'kuai 凝聚成块
'ning'zhi 凝滞
'ning'zhi'mai'dao 凝滞脉道
'nong'er 脓耳
'nong'fu'tai 脓腐苔
'nong'kui'ji'yu 脓溃即愈
'nong'ye'chou'huang 脓液稠黄
'nu'rou'pan'yan 胬肉攀眼
'nue'ji 疟疾
'nue'mu 疟母
'ou'tu 呕吐
'ou'tu'e'xin 呕吐恶心
'ou'tu'huang'lv'ku'shui 呕吐黄绿苦水
'ou'tu'tan'xian 呕吐痰涎
'ou'tu'xian'xue 呕吐鲜血
'pai'bian'bu'shuang 排便不爽
'pai'bian'tong'chang 排便通畅
'pai'chu'kun'nan 排出困难
'pai'xie'shui'ye 排泄水液
'pai'xie'wu 排泄物
'pang'da'she 胖大舌
'pao'mo'tan 泡沫痰
'pei'xue 衃血
'pen'ti 喷嚏
'pi'bing'ji'wei 脾病及胃
'pi'bing'shi'tian 脾病嗜甜
'pi'bu'tong'xue'zheng 脾不统血证
'pi'de'yun'hua 脾的运化
'pi'fa 疲乏
'pi'fei'jing'qi 脾肺精气
'pi'fei'qi'xu 脾肺气虚
'pi'fu'gan'ku'wu'ze 皮肤干枯无泽
'pi'fu'gan'zao 皮肤干燥
'pi'han'fu'tong 脾寒腹痛
'pi'huo'jin'he 脾火津涸
'pi'jing'shi're 脾经湿热
'pi'lao'shang'shi 脾劳伤食
'pi'leng 脾冷
'pi'man 痞满
'pi'mao'shou'xie 皮毛受邪
'pi'qi'kui'xu 脾气亏虚
'pi'qi'shou'kun 脾气受困
'pi'qi'xu 脾气虚
'pi'qi'xu'shuai 脾气虚衰
'pi'qi'xu'sun 脾气虚损
'pi're 脾热
'pi're'ze'jin'hao 脾热则津耗
'pi'shen'ji're 脾肾积热
'pi'shen'shuang'kui 脾肾双亏
'pi'shen'yang'shuai 脾肾阳衰
'pi'shen'yang'xu 脾肾阳虚
'pi'shi'jian'yun 脾失健运
'pi'tu'shou'kun 脾土受困
'pi'wei'gong'chu'zhong'jiao 脾胃共处中焦
'pi'wei'qi'xu 脾胃气虚
'pi'wei're'zhi 脾胃热滞
'pi'wei'shi're 脾胃湿热
'pi'wei'su'ruo 脾胃素弱
'pi'wei'wei'hou'tian'zhi'ben 脾胃为后天之本
'pi'wei'xu'han 脾胃虚寒
'pi'wei'xu'ruo 脾胃虚弱
'pi'wei'xu'sun 脾胃虚损
'pi'wei'yang'xu 脾胃阳虚
'pi'wei'yun'hua'shi'si 脾胃运化失司
'pi'wei'yun'ji're'du 脾胃蕴积热毒
'pi'xia'zi'ban 皮下紫斑
'pi'xu'bu'yun 脾虚不运
'pi'xu'gan'yu 脾虚肝郁
'pi'xu'shi'qin 脾虚湿侵
'pi'xu'shi'sheng 脾虚湿盛
'pi'xu'shi'yun 脾虚湿蕴
'pi'xu'shui'shi'nei'zi 脾虚水湿内渍
'pi'xu'xia'xian 脾虚下陷
'pi'xue 癖血
'pi'yang'jiang'jue 脾阳将绝
'pi'yang'xu'shuai 脾阳虚衰
'pi'yang'yi'jue 脾阳已绝
'pi'yin'yi'jue 脾阴已绝
'pi'yun'shi'jian 脾运失健
'pi'zhi'wai'hou 脾之外候
'pi'zhu'ji'rou 脾主肌肉
'ping'mai 平脉
'ping'xi 平息
'po'hou'fu'lan 破后腐烂
'po'men 魄门
'po'shang'feng 破伤风
'po'sun 破损
'po'xue'wang'xing 迫血妄行
'pu'tao'yi'she 葡萄疫舌
'qi'bi'shi'si 启闭失司
'qi'bu'de'xu 气不得续
'qi'bu'gui'yuan 气不归元
'qi'bu'hua'jin 气不化津
'qi'bu'she'xue 气不摄血
'qi'chuan'mai'wei 气喘脉微
'qi'chuan'xi'cu 气喘息粗
'qi'cu'er'lian'xu'bu'neng'yi'xi'zhe 气促而连续不能以息者
'qi'cu'sheng'gao'xi'yong 气粗声高息涌
'qi'dao'bu'tong 气道不通
'qi'dao'shou'zu 气道受阻
'qi'duan 气短
'qi'duan'er'chuan 气短而喘
'qi'fen 气分
'qi'fen're'ji 气分热极
'qi'fen're'sheng 气分热盛
'qi'fen'you're 气分有热
'qi'fen'zheng 气分证
'qi'guan 气关
'qi'han'er'zao 气寒而燥
'qi'he'er'sheng 气和而生
'qi'hua'bu'li 气化不利
'qi'hua'shui'ye 气化水液
'qi'huo'nei'yu 气火内郁
'qi'ji'bu'chang 气机不畅
'qi'ji'bu'li 气机不利
'qi'ji'yu'zhi 气机郁滞
'qi'jie'huo'yan 气结火炎
'qi'jing'ba'mai 奇经八脉
'qi'jue'mai 七绝脉
'qi'lai'duan'cu 气来短促
'qi'lun 气轮
'qi'neng'sheng'shen 气能生神
'qi'ni 气逆
'qi'ni'xue'luan 气逆血乱
'qi'qing 七情
'qi'qing'guo'ji 七情过激
'qi'qing'jing'kong 七情惊恐
'qi'qing'nei'shang 七情内伤
'qi'qing'yu'jie 七情郁结
'qi'shi'she'na 气失摄纳
'qi'shi'wen'xu 气失温煦
'qi'sui'han'xie 气随汗泄
'qi'sui'xue'tuo 气随血脱
'qi'wai'xie'er'xue'liu'bu'zhi 气外泄而血流不止
'qi'wei 气微
'qi'wei'er'hun'chen 气微而昏沉
'qi'wei'tan'zu 气为痰阻
'qi'xi'chen'chen'yu'jue 气息沉沉欲绝
'qi'xi'ru'chang 气息如常
'qi'xian 气陷
'qi'xian'yu'xia 气陷于下
'qi'xing'ning'lian 其性凝敛
'qi'xu 气虚
'qi'xu'bu'zu 气虚不足
'qi'xu'fa're 气虚发热
'qi'xu'xia'xian'suo'zhi 气虚下陷所致
'qi'xu'xie'shi 气虚挟湿
'qi'xu'xue'yu 气虚血瘀
'qi'xu'xue'zhi 气虚血滞
'qi'xue'bai'huai 气血败坏
'qi'xue'bu'chang 气血不畅
'qi'xue'bu'chong 气血不充
'qi'xue'bu'zu 气血不足
'qi'xue'chong'dong 气血冲动
'qi'xue'chong'ying'mai'luo 气血充盈脉络
'qi'xue'han'ze'mai'chi 气血寒则脉迟
'qi'xue'jin'ye 气血津液
'qi'xue'jin'ye'bian'zheng 气血津掖辨证
'qi'xue'ju'xu 气血俱虚
'qi'xue'kui'sun 气血亏损
'qi'xue'liang'kui 气血两亏
'qi'xue'liang'xu 气血两虚
'qi'xue'nao'ze 气血淖泽
'qi'xue'ning'jie 气血凝结
'qi'xue'ning'qi 气血凝泣
'qi'xue'ning'se 气血凝涩
'qi'xue'ping'ze'mai'zhi'dao 气血平则脉治刀
'qi'xue're'ze'mai'shu 气血热则脉数
'qi'xue'sai'sheng 气血塞盛
'qi'xue'sheng'ze'mai'sheng 气血盛则脉盛
'qi'xue'shou'kun 气血受困
'qi'xue'shuai'ze'mai'shuai 气血衰则脉衰
'qi'xue'shuang'kui 气血双亏
'qi'xue'tan'yin 气血痰饮
'qi'xue'tong'bing 气血同病
'qi'xue'tong'li 气血通利
'qi'xue'wei'ze'mai'ruo 气血微则脉弱
'qi'xue'wen'luan 气血紊乱
'qi'xue'yu'bi 气血郁闭
'qi'xue'yun'xing 气血运行
'qi'xue'yun'xing'bu'li 气血运行不利
'qi'xue'zhi'hua'yuan 气血之化源
'qi'xue'zu'zhi 气血阻滞
'qi'ye'liang'kui 气液两亏
'qi'yi'er'zou 弃衣而走
'qi'yin'hao'shang 气阴耗伤
'qi'yin'liang'kui 气阴两亏
'qi'yin'liang'shuai 气阴两衰
'qi'ying'liang'fan 气营两燔
'qi'yu 气郁
'qi'yu'hua'huo 气郁化火
'qi'yu'sheng'tan 气郁生痰
'qi'yu'tan'ning 气郁痰凝
'qi'zai'hu'shen 气载乎神
'qi'zhang 气胀
'qi'zhi 气滞
'qi'zhi 气至
'qi'zhi'xue'yu 气滞血瘀
'qian'e'bu'lian'mei'suo'gu'tong 前额部连眉梭骨痛
'qian'sheng'zhuan'suo 牵绳转索
'qian'yin 前阴
'qian'yin'si'zhi 牵引四肢
'qian'zhong'du 铅中毒
'qiang'zhi 强直
'qin'fan'zang'fu 侵犯脏腑
'qin'xi'fei'wei 侵袭肺胃
'qing'dao'gua'zhu 轻刀刮竹
'qing'er'ru'mao 轻而如毛
'qing'hei 青黑
'qing'hou'shi'zheng 晴后湿蒸
'qing'jin'wai'lu 青筋外露
'qing'qu'bu'ying 轻取不应
'qing'qu'ji'de 轻取即得
'qing'ru'cao'zi 青如草兹
'qing'ru'cui'yu 青如翠羽
'qing'se'she 青色舌
'qing'she 青舌
'qing'she'huang'tai 青舌黄苔
'qing'shui'tan'xian 清水痰涎
'qing'su'shi'zhi 清肃失职
'qing'xu'bu'ning 情绪不宁
'qing'yang'bu'sheng 清阳不升
'qing'yang'shi'zhan 清阳失展
'qing'ze'xin'ji 轻则心悸
'qing'zhi 情志
'qing'zhi'bu'sui 情志不遂
'qing'zhi'nei'shang 情志内伤
'qing'zhi'yi'yu 情志抑郁
'qing'zhi'yu'jie'bu'shu 情志郁结不舒
'qing'zi'she'huang'hua'tai 青紫舌黄滑苔
'qing'zi'shi'run 青紫湿润
'qiu'fu 秋浮
'qu'shen'bu'li 屈伸不利
'quan'chi'ru'zhuang 颧赤如妆
'quan'hong 颧红
'quan'qu'cheng'tuan 蜷曲成团
'quan'shen'ji'neng'ji'du'jiang'di 全身机能极度降低
'quan'shen'jing'luo 全身经络
'quan'shen'shui'zhong 全身水肿
'quan'shen'xu'ruo 全身虚弱
'quan'shen'zhen'chan 全身振颤
'quan'yao'shang 犬咬伤
'que'mu 雀目
'que'xia 阙下
'que'zhuo 雀啄
'que'zhuo'mai 雀啄脉
'rao'luan'xin'shen 扰乱心神
'rao'yin'qi 绕阴器
're'bi 热痹
're'bing'hou'qi 热病后期
're'du'cheng'xin 热毒乘心
're'du'chi'sheng 热毒炽盛
're'du'nei'sheng 热毒内盛
're'ji'jin'ku 热极津枯
're'ji'sheng'feng 热极生风
're'jie'chang'wei 热结肠胃
're'jie'pang'liu 热结旁流
're'ke'yang'ming'suo'zhi 热客阳明所致
're'li'xia'zhong 热痢下重
're'ou 热呕
're'po'niao'dao 热迫尿道
're'qi'chuang 热气疮
're'rao'xin'shen 热扰心神
're'rao'xin'shen'zhi'shi'zheng 热扰心神之实证
're'rao'ying'yin 热扰营阴
're'ru'jue'yin 热入厥阴
're'ru'xin'bao 热入心包
're'ru'xue'fen 热入血分
're'ru'ying'xue 热入营血
're'shang'fei'luo 热伤肺络
're'shang'shen'yin 热伤肾阴
're'shang'yin'ye 热伤阴液
're'sheng'dong'feng 热盛动风
're'sheng'shang'jin 热盛伤津
're'sheng'shang'jin'dong'feng 热盛伤津动风
're'sheng'shang'jin'hao'ye 热盛伤津耗液
're'sheng'shang'yin 热盛伤阴
're'sheng'shen'hun'er'zhi'hun'shui 热盛神昏而致昏睡
're'shi'jian'tui 热势渐退
're'tan 热痰
're'tui'shen'liang 热退身凉
're'xie'fan'biao 热邪犯表
're'xie'fan'fei 热邪犯肺
're'xie'jian'ao'jin'ye 热邪煎熬津液
're'xie'shang'rao 热邪上扰
're'xie'xun'zheng 热邪熏蒸
're'xie'yong'fei 热邪雍肺
're'xing'sheng'san 热性升散
're'yu'fei'wei 热郁肺胃
're'zai'shang'jiao 热在上焦
're'zai'xin'bao 热在心包
're'zheng 热证
're'zhong'yu'shi 热重于湿
're'zhuo'gan'jing 热灼肝经
'ren'shen'e'zu 妊娠恶阻
'ren'shen'mai 妊娠脉
'ren'shen'qi 妊娠期
'ren'zhong'duan'suo 人中短缩
'ri'xing'qi'xiang'de'zhe'sheng 日形气相得者生
'rong'guang'wai'fa 容光外发
'rong'ku 荣枯
'rong'yang'bai'hai 荣养百骸
'rou'he'wei'gui 柔和为贵
'rou'lun 肉轮
'rou'shun'shu'chang'zhi'xing 柔顺舒畅之性
'ru'an'cong'guan 如按葱管
