'a'mu'zhong'tao'yun'hai'ji 阿母种桃云海际
'kang'qiao'yue 抗乔岳
'kao'le'qiong'xiu'jia 犒乐穷休嘉
'ke'lian'jin'ye'su'chang'jia 可怜今夜宿倡家
'ke'lian'tuan'tuan'ye 可怜团团叶
'ke'lu'tiao'tiao'xin'nan'yue 客路迢迢信难越
'ke'wang'nan'qin'jin 可望难亲近
'kong'ji'sheng'ai'ai 空寄声哀哀
'kong'shi'nan'xin'yuan'qi'qie 空使南心远凄切
'kong'you'zuo'ri'di 空游昨日地
'kou'chi'duan'jin'jian 扣齿端金简
'kou'chi'feng'lei'xiang 扣齿风雷响
'ku'yi'rou 枯以肉
'kua'hai'zhan'chang'jing 跨海斩长鲸
'kuang'feng'chui'gu'yue 狂风吹古月
'kuang'fu'yuan'si'jun 况复远思君
'kuang'gan'yi'meng'ya 况敢遗萌芽
'kuang'shi'qing'chun'ri'jiang'mu 况是青春日将暮
'kun'lun'yi'tui 昆仑以颓
'kuo'feng'lue 廓封略
'lai'fan'chun'tang'qi'lv'shu 来泛春塘栖绿树
'lai'you'qiu'feng'zhi 赖有秋风知
'lan'jie'zheng'chang'bai'tong'di 拦街争唱白铜鞮
'lang'ran'he'tai'qing 朗然合太清
'lao'guang'cai 劳光彩
'lao'xiong'si 老雄死
'le'bian'xie'gong'shang 乐变协宫商
'le'zai'feng'bo'bu'yong'xian 乐在风波不用仙
'lei'lei'lai'zi'dong 累累来自东
'lei'qu'bian'zhu'zao'qiu'tai 垒曲便筑糟丘台
'lei'sheng'xia'wai'zhang 雷声峡外长
'lei'yi'bu'neng'wei'zhi'duo 泪亦不能为之堕
'leng'cui'zhu 冷翠烛
'li'bai'jun'ma'huang 李白君马黄
'li'bai'kong'hou'yao 李白箜篌谣
'li'bai'lin'jiang'wang'jie'shi'ge 李白临江王节士歌
'li'bai'qiang'jin'jiu 李白将进酒
'li'bai'shang'zhi'hui 李白上之回
'li'bai'si'ma'jiang'jun'ge 李白司马将军歌
'li'bai'xiang'yang'ge 李白襄阳歌
'li'bai'xiang'yang'qu 李白襄阳曲
'li'bai'you'suo'si 李白有所思
'li'bai'yu'er'tong'si'sheng 李白与尔同死生
'li'bai'zhan'cheng'nan 李白战城南
'li'bai'zhi'zi'ban 李白雉子班
'li'bai'zhong'shan'ru'zi'qie'ge 李白中山孺子妾歌
'li'duan'wu'shan'gao 李端巫山高
'li'he'ai'ru'zhang 李贺艾如张
'li'he'li'fu'ren'ge 李贺李夫人歌
'li'he'qiang'jin'jiu 李贺将进酒
'li'he'shang'zhi'hui 李贺上之回
'li'he'su'xiao'xiao'ge 李贺苏小小歌
'li'he'wu'shan'gao 李贺巫山高
'li'he'ye'cheng'tong'zi'yao 李贺邺城童子谣
'li'ke'yi'zhi 力可以止
'li'kuo'ji'ming'qu 李廓鸡鸣曲
'li'qi'zheng'ying'tao'ge 李颀郑樱桃歌
'li'ru'san'wu'yue 丽如三五月
'li'shang'yin'li'fu'ren'ge 李商隐李夫人歌
'li'shi'dang 力士铛
'li'xian'huang'tai'gua'ci 李贤黄台瓜辞
'li'xun'yu'fu'ge 李珣渔父歌
'li'ze'mi'wan'si 利泽弥万祀
'li'zhi'yang 黎之阳
'lian'qiong'lu 连穹庐
'lian'xiong'chi 连熊螭
'liang'feng'chui'yuan'nian 凉风吹远念
'liang'gu'fang'an'ji 两股方安髻
'liang'liang'san'san'ze'meng'zhou 两两三三舴艋舟
'liao'liao'yi'lang'si 寥寥倚浪丝
'liao'rao'wan'jia'jing 缭绕万家井
'lie'lie'pei'qi'qi 烈烈旆其旗
'lie'lie'wang'zhe'shi 烈烈王者师
'lie'que'diao'zhi 列缺掉帜
'lie'ying'qing'chi'qu 列映清池曲
'lin'gao'tai 临高台
'lin'jian'gong'zi'xie'dan'gong 林间公子挟弹弓
'ling'guan'jing'shui'jiang 灵官竟谁降
'ling'xiang'chu'feng'lin 灵香出凤麟
'liu'fang'ping'wu'shan'gao 刘方平巫山高
'liu'hong'hui 流洪辉
'liu'jia'zhan'cheng'nan 刘驾战城南
'liu'li'zhong 琉璃钟
'liu'shi'yun'you'suo'si 刘氏云有所思
'liu'yu'xi'bu'xu'ci 刘禹锡步虚词
'liu'yue'ren'jia'jing'wu'shui 六月人家井无水
'liu'zong'yuan'bao'nie 柳宗元苞枿
'liu'zong'yuan'ben'jing'pei 柳宗元奔鲸沛
'liu'zong'yuan'dong'man 柳宗元东蛮
'liu'zong'yuan'gao'chang 柳宗元高昌
'liu'zong'yuan'he'you'ping 柳宗元河右平
'liu'zong'yuan'jin'yang'wu 柳宗元晋阳武
'liu'zong'yuan'jing'ben'bang 柳宗元靖本邦
'liu'zong'yuan'jing'shui'huang 柳宗元泾水黄
'liu'zong'yuan'shou'zhi'qiong 柳宗元兽之穷
'liu'zong'yuan'tie'shan'sui 柳宗元铁山碎
'liu'zong'yuan'tu'yu'hun 柳宗元吐谷浑
'liu'zong'yuan'zhan'wu'lao 柳宗元战武牢
'long'can'yan'yu'qian 龙骖俨欲前
'long'dong'wo'sui'man'feng'yu 陇东卧穗满风雨
'long'hu'yi'quan'zhen 龙虎亦全真
'long'ni'yin'yi'kai 龙泥印已开
'long'qi'fan'hai'lang 龙旂翻海浪
'long'xiang'geng'cheng'zhang 龙想更成章
'long'xing'hai'dang'ma 龙行还当马
'long'ye'mang 陇野茫
'lou'tai'yu'tian'tong 楼台与天通
'lou'yu'liu'xin'jue 镂玉留新诀
'lu'ci'biao 鸬鹚杓
'lu'gui'meng'xie'se'ge 陆龟蒙挟瑟歌
'lu'hua'lan'ye'cen'ci'guang 露华兰叶参差光
'lu'tong'you'suo'si 卢仝有所思
'lu'ye'cheng'xin'xu 露叶承新旭
'lu'zhao'lin'fang'shu 卢照邻芳树
'lu'zhao'lin'shang'zhi'hui 卢照邻上之回
'lu'zhao'lin'wu'shan'gao 卢照邻巫山高
'lu'zhao'lin'zhan'cheng'nan 卢照邻战城南
'luan'ge'feng'chui'qing'qie'ai 鸾歌凤吹清且哀
'luan'he'gong'pai'huai 鸾鹤共徘徊
'luo'ping'xiu'mu'wei'xiang'feng 罗屏绣幕围香风
'luo'ri'yu'mei'xian'shan'xi 落日欲没岘山西
'luo'shan'xiao'xiang'feng 罗衫枭向风
'luo'wei'xi'wei'kong 罗帏夕未空
'luo'ye'liu'feng'xiang'yu'tai 落叶流风向玉台
'luo'yin'fang'shu 罗隐芳树
'lv'shu'yao'chun'feng 绿树摇春风
'lv'suo'yi 绿蓑衣
'lv'xiang'xiu'zhang'he'shi'xie 绿香绣帐何时歇
'lv'ze'zhong 虑则中
'ma'se'sui'bu'tong 马色虽不同
'ma'shang'xiu'e'lan 马上修蛾懒
'ma'zu'bu'ke'ban 马足不可绊
'mai'jiu'mo'jie'jin 买酒莫解金
'mai'lian'mo'po'quan 买莲莫破券
'man'gu'lian'shan'bian'ku'sheng 满谷连山遍哭声
'man'si'xi'tiao'tuo 蛮丝系条脱
'man'yi'jiu'yi 蛮夷九译
'mang'bi'tu 氓毕屠
'mang'mang'gu'fan'rang 茫茫古蕃壤
'mang'mang'xiang'shui'shuo 茫茫向谁说
'mang'ran'shi 莽然施
'mei'luo'bu'gui'jia 梅落不归家
'mei'ren'bi'hong'zhu 美人闭红烛
'mei'ren'bu'jian'chou'ren'xin 美人不见愁人心
'mei'ren'chou'yan'kong 美人愁烟空
'mei'ren'kuang'yan'zhu 美人旷延伫
'mei'ren'xi'mei'ren 美人兮美人
'mei'ren'xing'zheng'ming'ying'tao 美人姓郑名樱桃
'mei'ren'yan'se'jiao'ru'hua 美人颜色娇如花
'mei'ren'yuan'he'shen 美人怨何深
'mei'tai'wei'yi'shuang'er'bai 莓苔为衣双耳白
'men'qian'chun'shui'nian'nian'lv 门前春水年年绿
'meng'ben'bu'he'di'tou'ru'hao'li 孟贲不合低头入蒿里
'meng'hu'luo'xian'jing 猛虎落陷阱
'meng'jia'xiang 梦嘉祥
'meng'jiao'wu'shan'gao'er'shou 孟郊巫山高二首
'meng'jiao'you'suo'si 孟郊有所思
'meng'zhong'zui'wo'wu'shan'yun 梦中醉卧巫山云
'mi'ba'bi'jing 弥巴蔽荆
'mi'shi'fu 弭矢箙
'mi'yi'chi'zu 縻以尺组
'mie'shi'zhe'ling'zhong'bu'wu 灭石者陵终不误
'ming'ding'xiang'yang'xia 酩酊襄阳下
'ming'feng'qu'ri'yue 命风驱日月
'ming'gui'qu 明鬼区
'ming'jia'lei'gu'yong'hui'jun 鸣笳擂鼓拥回军
'ming'pi'zou'ma'jie'fei'niao 鸣鼙走马接飞鸟
'ming'xing'zhao'dong'wu 明星照东屋
'ming'zhi'meng 命之瞢
'mo'bian'ti'yuan'shu 莫辨啼猿树
'mo'dao'wu'xiang'shi 莫道无相识
'mo'dao'yu'ren'zhi'wei'yu 莫道渔人只为鱼
'mo'du'zai'wu'tan 冒顿在乌贪
'mo'kan'duo'lei'bei 莫看堕泪碑
'mo'ma'long'dui'yue'zhao'ying 秣马龙堆月照营
'mo'neng'xiang 莫能享
'mo'shi'jin'zun'kong'dui'yue 莫使金尊空对月
'mo'shuo'fu'ren'shang'ti'ling 莫说夫人上涕零
'mo'xin'long'mei'long'xi'qu 莫信龙媒陇西去
'mo'zheng'cheng'wai'di 莫争城外地
'mou'you'zong 谋猷纵
'mu'chen'qi 暮尘起
'mu'ji'hun'duan'wang'bu'jian 目极魂断望不见
'mu'wei'qie'di'fu'qie'tian 母为妾地父妾天
'mu'xuan'xu 慕玄虚
'mu'yi'you'suo'si 暮亦有所思
'mu'yu'hong'ni'yi'qian'chi 暮雨虹霓一千尺
'mu'yu'jing'qi'shi'wei'gan 暮雨旌旗湿未干
'mu'yu'pai'huai'jiang 暮雨徘徊降
'na'jiang'ren'shi'lian 那将人世恋
'nai'kui'nai'fen 乃溃乃奋
'nai'xin'shen'wu'gong 乃信神武功
'nai'zai'bi'hai'zhi'dong'yu 乃在碧海之东隅
'nai'zhi'bing'zhe'shi'xiong'qi 乃知兵者是凶器
'nan'xi'bai'tuo'ming'ku'zhong 南溪白鼍鸣窟中
'nan'zheng'meng'jiang'ru'yun'lei 南征猛将如云雷
'nao'tu'yuan'ye 脑涂原野
'nei'guan'fu'shang'hua'yun'che 内官扶上画云车
'neng'zong'zhao 能纵棹
'ni'zhi'zhu 逆之助
'nian'er'you'sheng'ya 念尔有生涯
'nian'hua'fu'zai'si 年华复在斯
'niang'yu'dang'cheng'jiu 酿玉当成酒
'ning'dan'wei'ding'xue'wei'yi 凝丹为顶雪为衣
'ning'yao'xiang'ye'tong 宁邀襄野童
'ning'zhi'shu'pian'yun 宁知数片云
'nong'li'guang'ru'lian 秾李光如练
'nu'fei'ji'xiao 怒飞饥啸
'nu'kou'mi 怒鷇麛
'nuan'xiang'xian'po'bi 暖香闲破鼻
'nv'wei'gong'zhu'nan'wei'wang 女为公主男为王
'ou'yang'jiong'yu'fu'ge 欧阳炯渔父歌
'pan'long'dou'zhang'hu'po'guang 盘龙斗帐琥珀光
'pan'tian'mo'deng'long 攀天莫登龙
'pan'tiao'shi'lei'zuo'xiang'si 攀条拭泪坐相思
'pang'ren'zhi'qie'wei'zhu'shuo 旁人知妾为主说
'pei'he'fu'can'luan 辔鹤复骖鸾
'pei'hui'zuo'xing'yu 裴回作行雨
'peng'long'pao'feng'yu'zhi'qi 烹龙炮凤玉脂泣
'peng'xian'hai'qun'long 鹏鶱骇群龙
'peng'yang'zai'niu'qie'wei'le 烹羊宰牛且为乐
'pi'rang'meng'mao 披攘蒙霿
'pian'lian'gui'hua'zhui'qiu'yue 翩联桂花坠秋月
'pian'pian'xi'zhu'lu 翩翩兮朱鹭
'pian'zai'jiu'qiu'zhong 偏在九秋中
'piao'ling'jun'bu'jian 飘零君不见
'piao'miao'gui'qing'yun 缥眇归青云
'piao'yao'jiu'xiao'wai 飘飖九霄外
'pin'dai'han'xi'jing'bu'yan 颦黛含犀竟不言
'pin'fang'jian'dao'sheng 频放翦刀声
'pin'feng'qing'jian'lang'hua'shi 蘋风轻翦浪花时
'ping'kan'yun'yu'tai 平看云雨台
'ping'ming'liu'xue'jin'kong'cheng 平明流血浸空城
'ping'sha'ji'tian'ji 平沙际天极
'ping'yun'gou'gao'tang 凭云构高唐
'po'ding'xiang 破定襄
'po'guo'ping'fan'xi'wei'wen 破国平蕃昔未闻
'po'si'long'xiang'xia'san'shu 颇似龙骧下三蜀
'pu'bian'feng 浦边风
'pu'hai'xiao'shuang'ning'jian'wei 蒲海晓霜凝剑尾
'pu'shi'shan'yi 铺施芟夷
'pu'shui'ri'bian'lai 瀑水日边来
'qi'ji'kun'jian'ru'chong'shi 戚姬髡翦入舂市
'qi'ji'wu'shan'gao 齐己巫山高
'qi'li'pai'long'hu 骑吏排龙虎
'qi'qi'yu'gou'cao 萋萋御沟草
'qi'qian'xiao'cheng'lu 萋芊小城路
'qi'ren'zhi'wang'ru'su'kong 齐人织网如素空
'qi'ting'bai'dui'kai'xin'shi 旗亭百队开新市
'qi'wen'wei'chuan'lao 岂问渭川老
'qi'wu'shu'bing'san'qian'ren 岂无蜀兵三千人
'qi'xiang'zhu'ying'shu'xia'xing 起向朱樱树下行
'qi'zhong'you'yin'bing 碛中有阴兵
'qia'si'pu'tao'chu'po'pei 恰似葡萄初酦醅
'qian'jin'jun'ma'huan'shao'qie 千金骏马换少妾
'qian'jin'qiu 千金裘
'qian'jin'san'jin'huan'fu'lai 千金散尽还复来
'qian'jun'xi'liu'bei 前军细柳北
'qian'li'li 虔栗栗
'qian'nian'jing'zao'yu 千年井灶馀
'qian'qi'yang'cai'hong 千旗扬彩虹
'qian'qie'ru'ci'shi'zhu'fu 遣妾如此事主父
'qian'qun'mian'fu'chu'fan'cheng 千群面缚出蕃城
'qian'yan'wan'he'hua'jie'che 千岩万壑花皆坼
'qian'zai'chu'xiang'hen 千载楚襄恨
'qiang'di'heng'chui'a'duo'hui 羌笛横吹阿亸回
'qiang'er'chui'yu'guan 羌儿吹玉管
'qiang'jin'jiu 将进酒
'qiang'yin'zhuo 强饮啄
'qiao'meng'ya 翘萌牙
'qie'ling'er'yin'yun 且令饵氤氲
'qie'nong'zhang'hua'tai 窃弄章华台
'qie'wei'ci'shi'ren'ou'zhi 妾为此事人偶知
'qie'yu'jian 切玉剑
'qie'zui'xi'jia'chi 且醉习家池
'qin'huang'bu'ken'lian'shou'xia'sha'qiu 秦皇不肯敛手下沙丘
'qin'jia'zhu'cheng'bei'hu'chu 秦家筑城备胡处
'qin'qi'huan'yao'zhe 亲戚讙要遮
'qin'zi'jin'lu'lan'she'xiang 秦子金炉兰麝香
'qing'bai'jiu 倾白酒
'qing'bian'wei'wo'hu'xiang'shu 青编为我忽降书
'qing'cao'hu'zhong'yue'zheng'yuan 青草湖中月正圆
'qing'cheng'you'yu'you'su'xiang 清澄有馀幽素香
'qing'chi'yang'shen'cai 清池养神蔡
'qing'di'gu'you'xin 青帝固有心
'qing'feng'lang'yue'bu'yong'yi'qian'mai 清风朗月不用一钱买
'qing'ge'yi'qu'duan'jun'chang 清歌一曲断君肠
'qing'jue'lu 轻爵禄
'qing'jun'wei'wo'ce'er'ting 请君为我侧耳听
'qing'ling'chui'yu'zhu 清泠吹玉柱
'qing'lou'zhu'bo'tian'zhi'ya 青楼珠箔天之涯
'qing'lv'yi 倾绿蚁
'qing'meng'li'ling'xin 轻猛李陵心
'qing'qing'wei'shui'chun 青青为谁春
'qing'qiu'jian'chu'gong 清秋见楚宫
'qing'ruo'li 青箬笠
'qing'tai'jing'mai'gu 青苔竟埋骨
'qing'tai'jiu'mo'mie 青苔久磨灭
'qing'tian'bu'jie'gao'gao'fei 青天不解高高飞
'qing'wu'qi 庆无期
'qing'xi'dao'shi'ren'bu'shi 青溪道士人不识
'qing'xin'li'qi'zhen 清心礼七真
'qing'yan'tuo'peng'you 轻言托朋友
'qing'yuan'bu'ke'ting 清猿不可听
'qing'yuan'ri'ye'ti 清猿日夜啼
'qing'yun'wu'guang'gong'shui'yan 青云无光宫水咽
'qing'zhe'lei 勍者羸
'qiong'jing'ku'zhai 穷竟窟宅
'qiu'dong'wei'wei 秋冬为尾
'qiu'feng'heng'da'ge 秋风横大歌
'qiu'mu'yao'chi'yan 秋暮瑶池宴
'qiu'yuan'hao'hao'ri'jiang'xi 秋猿嗥嗥日将夕
'qiu'yue'sheng'luo'wei 秋月生罗帏
'qu'chai'si 驱豺兕
'qu'nian'gao'zhi'you'ya'di 去年高枝犹压地
'qu'nian'zhan'sang'gan'yuan 去年战桑干源
'qu'shi'xiong'xi'bei 麹氏雄西北
'qu'yun'meng 屈赟猛
'quan'jia'qu'bu'nan 全家去不难
'quan'jun'zhong'ri'ming'ding'zui 劝君终日酩酊醉
'quan'ying'ru'yun'kan 犬影入云看
'que'shi'xiang'wang'meng'jue'chi 却是襄王梦觉迟
'que'xiang'wu'yun'fan'chi'fei 却向五云翻翅飞
'que'xiao'jiang'nan'ke 却笑江南客
'qun'wan'ji'yi 群顽既夷
'ren'jian'wei'ceng'wen 人间未曾闻
'ren'sheng'de'yi'xu'jin'huan 人生得意须尽欢
'ren'ta'shang'shi'tian 任他上是天
'ren'xin'ben'wu'ge 人心本无隔
'ren'yi'tian'shang'zuo 人疑天上坐
'reng'wen'bi'hai'shang 仍闻碧海上
'ri'chi'chi 日迟迟
'ri'du'ying'cen'ci 日度影参差
'ri'hua'lian'hun'po 日华炼魂魄
'ri'qi'chi'kun'yu 馹骑驰坤隅
'ri'zhi'sheng 日之升
'rong'da'jun 融大钧
'rong'se'zhao'zhao'luo 容色朝朝落
'rou'chang'zao'bei'qiu'bo'ge 柔肠早被秋波割
'ru'ti'yan 如啼眼
'ru'yi'hong'ze 濡以鸿泽
'ru'zhou'wang'hui'shu 如周王会书
'ruo'shi'wei'ke'yi'zhi 若使威可以制
'san'cai'xian'bu'xiang 三才闲布象
'san'jun'jin'shuai'lao 三军尽衰老
'san'lang'dang'dian'zuo 三郎当殿坐
'san'shi'liu'li'gong 三十六离宫
'san'tian'shi'ming'tong 三天使命同
'san'tian'ye'zheng'chun 三天夜正春
'san'wu'er'ba'ying'you'que 三五二八盈又缺
'san'zhai'shang'zi'ke 三摘尚自可
'shan'gong'yu'shang'ma 山公欲上马
'shan'gong'zui'jiu'shi 山公醉酒时
'shan'hai'ji'qian'zhong 山海几千重
'shan'jin'yi 扇锦翼
'shan'juan'rang'tian'zi 善卷让天子
'shan'xiong'hao 擅雄豪
'shang'di'qiu'xian'shi 上帝求仙使
'shang'fa'yao'wu'ying 上法杳无营
'shang'jie'you'huang'fang 上界有黄房
'shang'long'xia'cong 上聋下聪
'shang'tian'xia'tian'he'yi'zhi 上天下天鹤一只
'shang'you'duo'lei'bei 上有堕泪碑
'shang'zhi'hui 上之回
'shao'jin'qie'zhuan'dan 烧金且转丹
'shao'xiang'yu'nv'chun 烧香玉女春
'she'hai'bu'chou'shen 涉海不愁深
'she'ri'gong 射日弓
'shen'gu'xie'yuan'sheng 深谷泻猿声
'shen'ju'yu'zhang'lin'he'kui 身居玉帐临河魁
'shen'lai'wei'ji'meng'xiang'jian 神来未及梦相见
'shen'lai'zhi'wei'ci 神来知位次
'shen'nv'xiang'gao'tang 神女向高唐
'shen'quan'qi'diao'gan'pian 沈佺期钓竿篇
'shen'quan'qi'fang'shu 沈佺期芳树
'shen'quan'qi'gu'ge 沈佺期古歌
'shen'quan'qi'wu'shan'gao'er'shou 沈佺期巫山高二首
'shen'quan'qi'you'suo'si 沈佺期有所思
'shen'wu'yong 神武用
'shen'zhang'wo 申掌握
'sheng'ge'zou'feng'huang 笙歌走凤凰
'sheng'jie'zhu'yu'zhi 剩结茱萸枝
'sheng'ren'bu'de'yi'er'yong'zhi 圣人不得已而用之
'sheng'ren'yi'gua'shan'long'fu 圣人亦挂山龙服
'sheng'ren'zuo 圣人作
'shi'dei'shang'yao'tai 始得上瑶台
'shi'er'bi'feng'qi 十二碧峰齐
'shi'er'feng'tou'cha'tian'bi 十二峰头插天碧
'shi'hai'ji'ru'ma 尸骸积如麻
'shi'he'yi'jing 式和以敬
'shi'ji'long 石季龙
'shi'lang'xin'si'san 使郎心四散
'shi'shi'dong'ren'yi 时时动人意
'shi'shi'fan'fu'huang'yun'fei 世事翻覆黄云飞
'shi'wo'sheng'gao'tai 使我升高台
'shi'zai'bu'feng'hou 十载不封侯
'shi'zhi'ba'shang'wei'ying'hai 始知灞上为婴孩
'shi'zu'tu'cao'mang 士卒涂草莽
'shou'chen'bu'ren 守臣不任
'shou'deng'hun'yuan'chu 寿等混元初
'shou'gong'bu'xi'zhu'nan'ren 寿宫不惜铸南人
'shou'wo'jiang 授我疆
'shou'yi'shen'bing 授以神柄
'shou'yuan'tian'yu 手援天予
'shou'zhi'qiong 兽之穷
'shou'zhong'dian'ye'yi'tian'jian 手中电曳倚天剑
'shu'hu'liu'wan'gu 倏忽流万古
'shu'ji'xian'zheng 庶绩咸正
'shu'ren'yu'shan'jiao 束刃逾山徼
'shu'se'mu'lian'kong 树色暮连空
'shu'zhou'biao 舒州杓
'shuang'ci'tong'yin'zhuo 双雌同饮啄
'shuang'xing'luo'yang'mo 双行洛阳陌
'shui'feng'yu'fei'nian 谁逢玉妃辇
'shui'jie'heng'men'shi'li'yu 水接衡门十里馀
'shui'jing'lian'wai'jin'bo'xia 水精帘外金波下
'shui'lai'wu'wai'you 谁来物外游
'shui'lu'sha'ru'xue 水渌沙如雪
'shui'neng'you'bi'shen'hou'shi 谁能忧彼身后事
'shui'qing'bai'yu'jiang 谁倾白玉浆
'shui'wei'pei 水为佩
'shui'yan'jie'you'jia 谁言皆有家
'shui'zhi'hao'jia'wang'er'qu 谁知豪家网尔躯
'shui'zhong'lian'zi'huai'fang'xin 水中莲子怀芳心
'shun'zhi'yu'li 顺之于理
'si'ao'xiang 肆翱翔
'si'geng'shang'di'tong'hu'shui 司更尚滴铜壶水
'si'ji'wei'yi'yi 四极威仪异
'si'jun'jun'bu'zhi 思君君不知
'si'shen'yi'zhi'chang 思神意智长
'song'jiang'xie'she'zhu'ren'huan 松江蟹舍主人欢
'song'ru'gai 松如盖
'song'yu'shi'cai'zhe 宋玉恃才者
'su'he'shi'ling'xiang 苏合是灵香
'su'jun'yi'de'xian 苏君已得仙
'sui'bu'ru'yan'nian'mei 虽不如延年妹
'sui'gan'xi'yu'jun 遂感西域君
'sui'lai'qin'bian 岁来侵边
'sui'qin'rao'wo'jiang 岁侵扰我疆
'sui'sheng'mo'neng'tong 虽圣莫能通
'sui'xu'wan'zhuang'guai 睢盱万状乖
'sui'zhe'shui 绥者谁
'suo'di'zou'shan'chuan 缩地走山川
'suo'gui'kuang'shi'huai 所贵旷士怀
'ta'feng'wei 挞凤尾
'ta'ren'fang'cun'jian 它人方寸间
'ta'ta'zhuang'qi'xin 沓沓状奇新
'tai'guan'xiao'cang'cang 台馆晓苍苍
'tai'xiao'you'you'guan 太霄犹有观
'tan'de'hui'wu'quan 贪得会无全
'tan'jing'yu'liu'chuan 潭静欲留船
'tan'li'chuan'che'nao 潭里船车闹
'tan'shang'yue'ming'gong'dian'bi 坛上月明宫殿闭
'tan'tian'jian'di'shui'bu'wei 贪天僭地谁不为
'tan'xi'chun'feng'qi 叹息春风起
'tang'ye'ru'shan'chong 唐业如山崇
'tao'hua'liu'shui'gui'yu'fei 桃花流水鳜鱼肥
'tao'hua'luan'luo'ru'hong'yu 桃花乱落如红雨
'tao'li'bu'ru'song 桃李不如松
'tao'li'chu'shen'jing 桃李出深井
'tao'li'shang'chun'feng 桃李伤春风
'te'yi'se'jian'zhen 特以色见珍
'teng'tian'lang 腾天狼
'ti'niao'nong'hua'shu 啼鸟弄花疏
'ti'tian'gang 提天纲
'tian'di'zhi'guang'da 天地至广大
'tian'gao'qing'lei'qi'zhui'di 天高庆雷齐坠地
'tian'gao'ren'bu'jian 天高人不见
'tian'he'zhi'nv'jia 天河织女家
'tian'hou'huang'de 天厚黄德
'tian'jiang'long'qi'che'hai'yun 天将龙旗掣海云
'tian'sheng'wo'cai'bi'you'yong 天生我材必有用
'tian'sheng'xi'sui'wu 天生细碎物
'tian'tou'ri'yue'xiang'song'ying 天头日月相送迎
'tian'ya'juan'juan'chang'e'yue 天涯娟娟常娥月
'tian'yu'yu 天欲雨
'tian'zi'an'diao'ge 天子按雕戈
'tian'zi'ming'yuan'shuai 天子命元帅
'tian'zi'yu'kai'lin'ge'dai 天子预开麟阁待
'tiao'deng'ri'yue'guang 挑灯日月光
'tiao'gao'xian'jue'wu'zhi'yin 调高弦绝无知音
'tiao'tiao'ban'chu'kong 迢迢半出空
'tiao'tiao'fang'yuan'shu 迢迢芳园树
'tiao'yao'lei'xiao'cheng 岧峣类削成
'tie'qi'xiao'can'tan 铁骑晓参潭
'tie'shan'sui 铁山碎
'ting'chang'de'bao'ge 听唱得宝歌
'ting'chang'de'ti'ge 听唱得体歌
'ting'qian'chun'niao'zhuo'lin'sheng 庭前春鸟啄林声
'tong'hua'luo'di'wu'ren'sao 桐花落地无人扫
'tong'tuo'qin'se'sui'qu'chen 铜驮琴瑟随去尘
'tou'ji'si'di 投迹死地
'tou'shang'bai'jie'li 头上白接篱
'tu'hua'mo'bi'yun'mang'mang 土花漠碧云茫茫
'tu'ji'jiao 图掎角
'tu'kan'shen'nv'yun 徒看神女云
'tu'mang'mang 土茫茫
'tu'ni'yi'ri 吐霓翳日
'tu'yu'hun'sheng'qiang 吐谷浑盛强
'tuan'shan'xiu'wang'chen 团扇羞网尘
'tuan'tuan'zou 团团走
'tuan'wei'bu'li'xia 湍危不理辖
'tui'cui'zhu'mu'qian'xia'tang 推摧主母牵下堂
'tui'ni'xian'qie'xia 退匿险且遐
'tui'yuan'chen 推元臣
'tuo'qiang'ban'ye'qu 拖枪半夜去
'tuo'shen'bai'yun'hai'gu'xiang 托身白云还故乡
'wan'chong'chun'shu'he 万重春树合
'wan'gong'she'er'shang 弯弓射尔伤
'wan'gu'gong'bei'xin 万古共悲辛
'wan'guo'si'wu'xie 万国思无邪
'wan'jian'qian'dao'yi'ye'sha 万箭千刀一夜杀
'wan'li'chang'zheng'zhan 万里长征战
'wan'li'fu'yun'si 万里浮云思
'wan'li'sang'qian'bang 万里桑乾傍
'wan'luan'zhu'jing'wang 婉娈逐荆王
'wan'sheng'chu'huang'dao 万乘出黄道
'wan'sheng'chu'xi'he 万乘出西河
'wan'shi'meng'qi'ren 万室蒙其仁
'wan'wei'zhi'kui 顽为之魁
'wan'zai'chang'men'dian 宛在长门殿
'wang'bo'lin'gao'tai 王勃临高台
'wang'bu'gong 罔不龚
'wang'gu'bu'de'ju 往古不得俱
'wang'jian'ji'ming'qu 王建鸡鸣曲
'wang'lai'che'ma'chen 往来车马尘
'wang'lv'qian'wan'ren 王旅千万人
'wang'mou'nei'ding 王谋内定
'wang'shi'ru'lei'zhen 王师如雷震
'wang'si'mo'mo'wu'xing'ying 网丝漠漠无形影
'wang'wang'xia'chao'fen 望望下朝雰
'wang'zheng'jing'huang'jia 往征靖皇家
'wang'zu'ru'fei'han 王卒如飞翰
'wei'dai'zhan'fang'han 为待战方酣
'wei'de'fu 惟德辅
'wei'di'zhi'mo 惟帝之谟
'wei'feng'ru'niao'dao 危峰入鸟道
'wei'gen'zhi'pan 惟根之蟠
'wei'kan'fang'er'xia 为看芳饵下
'wei'ming'qiong'tian'ya 威命穷天涯
'wei'qu'mou'bu'xu'ci 韦渠牟步虚词
'wei'qu'wen'huang'ren 委曲问皇人
'wei'ren'zhi'qing 惟人之庆
'wei'ren'zhi'zai 惟人之灾
'wei'rui'ban'lu'fu'rong'se 葳蕤半露芙蓉色
'wei'shi'bu'jing 惟时不靖
'wei'wei'de'huai 威畏德怀
'wei'wen'yang'tai'xi 为问阳台夕
