'a'ba'la'ti'ya'gong'yu 阿巴拉提亚公鱼
'jin'qiang'sha 金枪鲨
'jin'se'ge'li 堇色蛤蜊
'jin'se'pi'pi'la'yu 金色皮皮拉鱼
'jin'se'zuo'ri 金色昨日
'jin'shu'xiang 金属箱
'jin'xi'dun'kou'yuan 金曦钝口螈
'jin'xie'di 金鞋底
'jin'yu 金鱼
'jin'zhi'li 金脂鲤
'jin'zhuan'qiu 锦砖鳅
'jing'die'yu 净碟鱼
'jing'gu'wo'niu 净骨蜗牛
'jing'gui 惊龟
'jing'he 镜核
'jing'jin'duo'qi'yu 精金多鳍鱼
'jing'jin'you'gui 精金幼龟
'jing'li 镜鲤
'jing'lin'yu 晶鳞鱼
'jing'ling'qiang'yu 菁灵枪鱼
'jing'sui'wo'niu 净髓蜗牛
'jing'xi'dan 惊喜蛋
'jing'xian'wei 镜仙卫
'jing'xiang'yu 镜像鱼
'jing'yu 镜鱼
'jing'zhong'die 镜中蝶
'jing'zhong'ying 镜中影
'jiu'fang'wu'zhe 酒房舞者
'jiu'gui'yu 酒鬼鱼
'jiu'hong'bi'zhi'li 酒红鼻脂鲤
'ju'chi'ge'li 锯齿蛤蜊
'ju'chi'sha 巨齿鲨
'ju'ci'yan'yu 锔瓷燕鱼
'ju'da'qiang'yu 巨大枪鱼
'ju'dan'da'she 巨蛋大蛇
'ju'dan'shi'e 巨胆石颚
'ju'du'ran'se'wa 剧毒染色蛙
'ju'fei 巨鲱
'ju'gu'she'yu 巨骨舌鱼
'ju'jian'ju'gai'yu 巨剑锯盖鱼
'ju'jiao 锯鲛
'ju'ke'dou 巨蝌蚪
'ju'lu 巨鲈
'ju'mo'yu 巨魔鱼
'ju'nian'yu 巨鲶鱼
'ju'sha 巨鲨
'ju'sha 锯鲨
'ju'shen'ju'gai'yu 巨身锯盖鱼
'ju'shi'an'kang 巨食鮟鱇
'ju'wen'zhi'li 巨吻脂鲤
'ju'wu'zei 巨乌贼
'ju'xing'an'kang 巨型鮟鱇
'ju'xing'li'chi'zhi'li 巨型利齿脂鲤
'ju'xing'shui'guan 巨型税官
'ju'xing'shui'hu'yu 巨型水虎鱼
'ju'xing'wu'zei 巨型乌贼
'ju'xing'zhen'you 巨型真鱿
'ju'yun'gui 巨陨龟
'ju'zhi'li 巨脂鲤
'juan'ceng'yun'hong 卷层云魟
'juan'feng'sha 卷风鲨
'juan'li 绢鲤
'jue'gui'e 绝鬼鳄
'jue'jiang'ji'yu 倔强鲫鱼
'ka'jia'ya'luo'xuan'zhe 卡嘉雅落选者
'ka'le'ga'ya'zi 卡勒嘎牙子
'ka'le'xie 卡勒蟹
'ka'li'ban'gu'tou'yu 卡利班骨头鱼
'ka'lie'lian'zhen'gu'yu 卡列连真骨鱼
'ka'wa'yu 卡瓦鱼
'kai'hua'kai'er'pai 开花凯尔派
'kai'jia'pi'pa'yu 铠甲琵琶鱼
'kai'men'e 凯门鳄
'kai'sha 铠鲨
'kai'yu 铠鱼
'kang'fu'yu 康复鱼
'ke'ju'gu'she'yu 刻巨骨舌鱼
'ke'lei'la'li 克雷拉鲤
'ke'lu'xi'ya'di'wang'xie 珂露西亚帝王蟹
'ke'lu'xi'ya'die'yu 珂露西亚鲽鱼
'ke'lu'xi'ya'long'tou'yu 珂露西亚隆头鱼
'ke'mu'xie 刻木蟹
'ke'nei'li'ya 科内利亚
'ke'zha'ma'wu'ka'zhan'ma'yu 克扎玛乌卡斩马鱼
'ke'zha'ma'wu'ka'zhi'li 克扎玛乌卡脂鲤
'ke'zha'ma'wu'tiao'yu 克扎玛乌跳鱼
'kong'ji'yu 空棘鱼
'kong'jing'wei 恐惊威
'kong'que'yu 孔雀鱼
'kong'wen'yu 空吻鱼
'kong'yu 恐鱼
'kong'zei'bai'gang'tong'huo 空贼白钢通货
'ku'cao'tiao'yu 枯草跳鱼
'ku'er'man 苦尔鳗
'ku'er'zha'si'hai'ruo'luo 库尔札斯海若螺
'ku'er'zha'si'mu'li 库尔札斯牡蛎
'ku'ye'hai'long 枯叶海龙
'kuan'shen'ju'gai'yu 宽身锯盖鱼
'kuan'tou'wu'zei 宽头乌贼
'kuang'dou'yu 狂斗鱼
'kuang'lu'fei'yu 矿炉飞鱼
'kuang'nu'dou'yu 狂怒斗鱼
'kuang'ye'hai'dan 狂野海胆
'kuang'ye'hong'dou'yu 狂野红斗鱼
'kui'she'yu 蝰蛇鱼
'kui'shi'yu 窥视鱼
'kuo'mian'yu 阔面鱼
'la'er'ge'luo'lei 拉尔戈落雷
'la'er'ge'nian'yu 拉尔戈鲶鱼
'la'gu 蝲蛄
'la'kai'ti'ka'xia'hu 拉凯提卡虾虎
'la'kai'ti'ka'zun 拉凯提卡鳟
'la'ke'shan'li 拉克汕鲤
'la'ke'shan'mo'luo 拉克汕墨螺
'la'lei'ya'er 拉雷亚尔
'la'nuo'xi'ya'ci'yu 拉诺西亚刺鱼
'la'nuo'xi'ya'long 拉诺西亚龙
'la'nuo'xi'ya'shui'mu 拉诺西亚水母
'la'ta'tuo'si'ke'zhi'hun 拉塔托斯克之魂
'la'zha'ba'li'ke'yu 拉札巴里克鱼
'lan'ao'xia 蓝螯虾
'lan'bao'shi'shan'jiang 蓝宝石扇鳉
'lan'cai'yu 蓝彩鱼
'lan'dai'le'yi'long 兰代勒翼龙
'lan'dian'yu 蓝电鱼
'lan'gua'fu 蓝寡妇
'lan'ling'gui 蓝铃鲑
'lan'qi'can 蓝鳍鲹
'lan'qiang'yu 蓝枪鱼
'lan'sai'tai'yang'yu 蓝鳃太阳鱼
'lan'se'gong'zhu'hai'xing 蓝色公主海星
'lan'se'mei'du'sha 蓝色美杜莎
'lan'se'qian'bao 蓝色钱包
'lan'se'tu'la'er'xie 蓝色图拉尔蟹
'lan'shan'hu 蓝珊瑚
'lan'shi 蓝尸
'lan'tian'shan'hu 蓝天珊瑚
'lan'wei'nian 蓝尾鲶
'lan'xie 蓝蟹
'lan'zhang'yu 蓝章鱼
'lan'zhen 蓝针
'lang'ren'can 浪人鲹
'lang'zi'yu 浪子鱼
'lao'sha 姥鲨
'le'yuan'shi'ban'yu 乐园石斑鱼
'lei'can 类鲹
'lei'die'yu 雷鲽鱼
'lei'dou'yu 雷斗鱼
'lei'dun'yu 雷遁鱼
'lei'guang'die'yu 雷光鲽鱼
'lei'huang'zi 雷皇子
'lei'ke'lan'de'xue'yu 雷克兰德鳕鱼
'lei'lin'rong'yuan 雷鳞蝾螈
'lei'liu'zun 雷流鳟
'lei'man 雷鳗
'lei'shen'guang 雷神光
'lei'shen'yu 雷神鱼
'lei'wen'yu 雷纹鱼
'lei'xun 雷鲟
'lei'yan 泪眼
'lei'yong'long'tou'yu 雷咏隆头鱼
'lei'yun'long'tou'yu 雷云隆头鱼
'li'chi'ge'li 利齿蛤蜊
'li'chi'zhi'li 利齿脂鲤
'li'de'er 里德尔
'li'ming'shao'nv 黎明少女
'li'si'ta'ke'sha 利斯塔克鲨
'li'tou'yao 犁头鳐
'li'wang'yu 理王鱼
'li'wei'you'man 利维幼鳗
'li'wu'xie 丽舞蟹
'lian'jia'yu 镰甲鱼
'lian'qi'chang'can 镰鳍鲳鲹
'lian'xin'qiu'zao 恋心球藻
'lian'yu 鲢鱼
'lian'yu'huo'jiao 炼狱火角
'liang'pian'ju'gu'she'yu 亮片巨骨舌鱼
'lie'bao'man 猎豹鳗
'lie'chuan'dao'shui'zhen'yu 猎船岛水珍鱼
'lie'ren'shi 猎人矢
'lie'shou'yu 猎手鱼
'lie'xing'yu 猎星鱼
'lin'jiang'luo 鳞匠螺
'lin'jiao'luo 鳞脚螺
'lin'nian 鳞鲶
'ling'diao 菱鲷
'ling'min'wu'zhe 灵敏舞者
'ling'xie 蛉蝎
'ling'yan'zhi'jian 灵岩之剑
'liu'li'die'yu 琉璃鲽鱼
'liu'li'fei 琉璃鲱
'liu'li'jin'qiang'yu 琉璃金枪鱼
'liu'li'long 琉璃龙
'liu'xing'yin'wei 流星银尾
'liu'yin'ren 流银刃
'long'bao'diao'yu 龙堡鲷鱼
'long'bao'gong'yu 龙堡公鱼
'long'bao'lu 龙堡鲈
'long'bao'shan'bei 龙堡扇贝
'long'gu'bei 龙骨贝
'long'gu'yu 龙骨鱼
'long'hun 龙魂
'long'juan'luo 龙卷螺
'long'juan'sha 龙卷鲨
'long'ka'de'da'shui'she 隆卡的大水蛇
'long'ka'jin'kuai 隆卡金块
'long'ka'pi'pa'yu 隆卡琵琶鱼
'long'lin'si'lie'zhe 龙鳞撕裂者
'long'lin'yu 龙鳞鱼
'long'men'yu 龙门鱼
'long'tai'lang 泷太郎
'long'tou'yu 隆头鱼
'long'yu 龙鱼
'long'zhi'sun 龙之孙
'long'zu'xi'huan'de'ying'yu 龙族喜欢的硬鱼
'lou'dou'sha 漏斗鲨
'lou'gu 蝼蛄
'lu'chi'li 露齿鲤
'luo'cha'te'er'ju'gu'she'yu 洛查特尔巨骨舌鱼
'luo'ke'wa'wei'bing 洛克瓦卫兵
'luo'lei'man 落雷鳗
'luo'min'sa'ti'yu 罗敏萨鳀鱼
'luo'shui'mian'ju 落水面具
'luo'si'li'te'bei 罗斯利特贝
'luo'si'li'te'hai'dai 罗斯利特海带
'luo'si'li'te'mu'li 罗斯利特牡蛎
'luo'ta'nuo'sha'ding'yu 罗塔诺沙丁鱼
'luo'ta'nuo'suo'zi'chun 罗塔诺梭子鰆
'luo'xuan'yu 螺旋鱼
'luo'ye'yu 落叶鱼
'lv'cai'yu 绿彩鱼
'lv'deng'qiu'zao 绿灯球藻
'lv'ji'zun 旅迹鳟
'lv'jian'wei'yu 绿剑尾鱼
'lv'sai'gui 绿鳃鲑
'lv'sha'man 旅沙鳗
'lv'xiao'chou 绿小丑
'ma'da'ma'ta'she'jing'gui 麻瘩玛塔蛇颈龟
'ma'ha'er 马哈尔
'ma'hu'wa'yi 马湖瓦伊
'ma'long'xia 马龙虾
'ma'xi'qi'qiu 麻希鲯鳅
'ma'yi'bo'yi 麻伊博伊
'ma'zi'la'ya'qiang'yu 马兹拉雅枪鱼
'mai'lun'nian 脉轮鲶
'man'gen'tiao'yu 蔓根跳鱼
'man'yue'sha'ding'yu 满月沙丁鱼
'mang'ban'pan'li'yu 蟒斑盘丽鱼
'mang'you'yu 盲鼬鱼
'mang'yu 盲鱼
'mao'chi'jing 矛齿鲸
'mao'ding'mu'li 铆钉牡蛎
'mao'li'xie 毛栗蟹
'mao'li'yu 矛丽鱼
'mao'lin'yu 毛鳞鱼
'mao'sha 茂鲨
'mei'de'long'xing'ren 梅德龙星人
'mei'er'tuo'er'hu'die'yu 梅尔托尔蝴蝶鱼
'mei'er'tuo'er'long'xia 梅尔托尔龙虾
'mei'er'tuo'er'xia'hu 梅尔托尔虾虎
'mei'gui'diao'yu 玫瑰鲷鱼
'mei'gui'wa 玫瑰蛙
'mei'gui'xie 玫瑰蟹
'mei'hua'bei 梅花贝
'mei'nian 美鲶
'mei'quan'bao'gui 梅泉宝龟
'meng'huan'xia'hu 梦幻虾虎
'meng'kai'en'kai'yu 蒙凯恩凯鱼
'meng'ma'zhang'yu 猛犸章鱼
'meng'niu'kou'shi 猛牛口食
'mi'jin'luo'fei'yu 迷津罗非鱼
'mi'lin'luo'ye 密林落叶
'mi'ni'bi'si'mai'yu 迷你俾斯麦鱼
'mi'yin'jun 秘银君
'mi'yin'xiang 秘银箱
'mian'bu'zun 棉布鳟
'mian'yun'hong 棉云魟
'ming'he'deng 冥河灯
'ming'jing'shui'yu 冥境睡鱼
'ming'ma'hun 名马魂
'ming'xiang'yu 冥想鱼
'miu'en'yu 缪恩鱼
'mo'bei 墨贝
'mo'bu'lin'tao'ci'hong 莫布林陶瓷魟
'mo'er'ba 莫尔巴
'mo'fa'shui'tong 魔法水桶
'mo'fan 魔帆
'mo'gu'er'gu'qiu'qiu 莫古尔古球球
'mo'gu'qiu'qiu 莫古球球
'mo'gu'xie 蘑菇蟹
'mo'huan'mo'gu'xie 魔幻蘑菇蟹
'mo'jiao'wo'niu 魔角蜗牛
'mo'ke'xue'wu'zhi 魔科学物质
'mo'la'bi'die'yu 莫拉比鲽鱼
'mo'lin'yu 墨鳞鱼
'mo'man 魔鳗
'mo'ming'rong'yan'yu 莫名熔岩鱼
'mo'mo'la'mo'la 莫莫拉莫拉
'mo'suo'yu 魔梭鱼
'mo'tan 魔毯
'mo'wei'zu'yu 墨尾足鱼
'mo'wu'zei 墨乌贼
'mo'xiang'wa 魔象蛙
'mo'ye'e 摩耶鳄
'mo'ye'gen'yu 摩耶根鱼
'mo'ye'ling'gui 摩耶灵龟
'mo'yu 魔鱼
'mu'hui'la'gu 暮晖蝲蛄
'mu'hui'yu 暮辉鱼
'mu'tan'man 木炭鳗
'mu'ye'long 木叶龙
'na'ba'shi'fu'fen 拿巴示蝠鲼
'na'ba'shi'ju 拿巴示锯
'na'er'zha'er'man'yu 纳尔札尔鳗鱼
'na'ru'nai'zhang'yu 纳茹奈章鱼
'nai'hao 奶蚝
'nan'fang'gou'yu 南方狗鱼
'nan'ke'lu'xi'ya'xue'yu 南珂露西亚鳕鱼
'nei'jiao'shi 内角石
'nei'lu'ci'yu 内陆刺鱼
'neng'yan'zhe 能言者
'ni'an'kang 拟鮟鱇
'ni'ju'xie'bing 泥巨蟹兵
'ni'kui'rui'pi'li'yu 尼葵瑞皮丽鱼
'ni'kui'rui'pi'zun 尼葵瑞皮鳟
'ni'liu'yu 逆流鱼
'ni'long 逆龙
'ni'mei'ya'de'fang'che 妮美雅的纺车
'ni'mo'chuan'zhang 尼摩船长
'ni'mu'ru'chong 尼姆蠕虫
'ni'ruan'xie 泥软蟹
'ni'tu'yu 泥土鱼
'ni'xian'ren 泥仙人
'niang'xue'yu 酿血鱼
'nie'pan'xie 涅槃蟹
'nie'pu'te'long 涅普特龙
'ning'bao'yu 狞豹鱼
'ning'meng'huang'yu 柠檬黄鱼
'ning'meng'yu 柠檬鱼
'niu'pi'yu 牛皮鱼
'niu'wa 牛蛙
'nong'yan'tun 浓盐鲀
'nuan'shui'zun 暖水鳟
'nv'wang'de'li'fu 女王的礼服
'ou'ba'bin'hai'xie 欧巴宾海蝎
'ou'lai'ou'lai'ou'lai 欧来欧来欧来
'ou'luo'pu'ken 欧洛浦肯
'pa'ge'er'zan'pan'li'yu 帕戈尔赞盘丽鱼
'pa'ke'xia'yu 帕克夏鱼
'pa'li'you'nan'li'yu 帕利尤南丽鱼
'pa'pa'ya'yu 汃汃呀鱼
'pai'huai'nian'yu 徘徊鲶鱼
'pan'li'yu 盘丽鱼
'pan'ni'yu 叛逆鱼
'pan'nuo'pu'tei'si 潘诺普忒斯
'pan'yan'yu 攀岩鱼
'pang'yu 庞鱼
'pei'lu'wa 佩鲁蛙
'pei'lu'zai'xing 佩鲁灾星
'pen'she'fu'fen 喷射蝠鲼
'pen'zai'yu 盆栽鱼
'peng'song'hai'long 蓬松海龙
'pi'gu'yu 披骨鱼
'pi'ke'zhen 皮颏鱵
'pi'pi'la'pi'la'yu 皮皮拉皮拉鱼
'pi'pi'la'yu 皮皮拉鱼
'pi'ya'lei'yu 皮亚雷鱼
'pian'zi'yu 骗子鱼
'piao'fu'dan 飘浮蛋
'piao'liu'zun 漂流鳟
'ping'chan'ji'yu 平铲鲫鱼
'ping'guo'bei 苹果贝
'ping'yu 平鱼
'po'huai'shen'de'xing'chen 破坏神的星尘
'po'jun'wei 破军尾
'po'sun'xie 破损蟹
'po'yun'fei'yu 破云飞鱼
'pu'bu'huang'ling 瀑布徨灵
'pu'lu'si'e 普鲁斯鳄
'pu'luo'si'bi'luo'man 普洛斯彼罗鳗
'pu'shan'tun 蒲扇鲀
'qi'cai'tian'zhu 七彩天主
'qi'hei'di'guan 漆黑帝冠
'qi'huan'nian'yu 奇幻鲶鱼
'qi'long 鳍龙
'qi'pao'yu 气泡鱼
'qi'qiu'tun 气球鲀
'qi'qiu'wa 气球蛙
'qi'ren'hai'dai 鳍人海带
'qi'ren'tan'xi 鳍人叹息
'qi'ren'zhi'di 鳍人之敌
'qi'ren'zu'de'su'di 鳍人族的宿敌
'qi'ren'zu'de'yu'cha 鳍人族的鱼叉
'qi'shi'lu 骑士鲈
'qi'shi'xia'hu 骑士虾虎
'qi'wa'gu'qiu 其瓦固鳅
'qi'xia 奇虾
'qi'xing 七星
'qian'di'gong'qi'yu 潜底弓鳍鱼
'qian'di'qiang'ji'yu 潜底腔棘鱼
'qian'long 潜龙
'qian'lv'yu 千虑鱼
'qian'nian'shang 千年殇
'qian'qi 千鳍
'qian'sha'yu 潜沙鱼
'qian'tan'xue'yu 浅滩鳕鱼
'qian'ya'long 千牙龙
'qiang'bi'tou 枪鼻头
'qiang'dao'xie 强盗蟹
'qiang'ji'yu 腔棘鱼
'qiang'jian'luo 枪尖螺
'qiang'wei'xia 蔷薇虾
'qiang'wu'zei 枪乌贼
'qiao'er'hai'lu'xing'niao 巧儿海陆行鸟
'qie'zi'yu 茄子鱼
'qin'wen'yu 亲吻鱼
'qing'cai'yu 青彩鱼
'qing'che'bing'zhan'shen 清澈冰战神
'qing'dao'fu 清道夫
'qing'dao'pi'pa'yu 清道琵琶鱼
'qing'jiang 青鳉
'qing'jie'fang'an 清洁方案
'qing'kong'lei 青空泪
'qing'lan'qiu 青蓝鳅
'qing'lan'zhi'mian 青蓝之面
'qing'lan'zhi'shou'ci'yu 青蓝之手刺鱼
'qing'lin'he 青磷核
'qing'se'hai'e'mo 青色海恶魔
'qing'se'hai'zhi'zhu 青色海蜘蛛
'qing'se'zhang'yu 青色章鱼
'qing'tong'pi'pa'yu 青铜琵琶鱼
'qing'tong'pi'pi'la'yu 青铜皮皮拉鱼
'qing'yang'nian'yu 倾仰鲶鱼
'qing'yu 青鱼
'qiu'xue'yu 求雪鱼
'qiu'ye'yu 秋叶鱼
'qiu'yi'luo'ye 秋意落叶
'qiu'yu'yu 求雨鱼
'quan'suo'ba 犬梭鲃
'que'shan 雀鳝
'ran'xue'pao'guang'xie 染血抛光蟹
're'po 热破
're'qi'yu 热鳍鱼
'ren'dou'yu 忍斗鱼
'ren'mian'li 人面鲤
'ren'yu'fa 人鱼发
'ren'yu'zhi'lin 人鱼之鳞
'ri'lun 日轮
'ri'yong'mian'zao 日用绵藻
'rong'gu'wo'niu 溶骨蜗牛
'rong'luo 蝾螺
'rong'mao'hai'shen'xia 绒毛海神虾
'rong'mao'nv'shen'xia 绒毛女神虾
'rong'yan'di'wang 熔岩帝王
'rong'yan'hou 熔岩鲎
'rong'yan'man 熔岩鳗
'rong'yan'nian'yu 熔岩鲶鱼
'rong'yan'wang 熔岩王
'rong'yan'wo'niu 熔岩蜗牛
'ru'bai'shan'hu 乳白珊瑚
'sa'gou'li'diao'an'kang 撒沟厉钓鮟鱇
'sa'wei'nai'e 萨维奈鳄
'sa'wei'nai'hai'shen 萨维奈海参
'sa'wei'nai'ka'la'mo'yu 萨维奈卡拉墨鱼
'sa'wei'nai'man'yu 萨维奈鳗鱼
'sa'wei'nai'qiu'ye'yu 萨维奈秋叶鱼
'sa'wei'nai'sha'yu 萨维奈鲨鱼
'sa'wei'nai'xia'hu 萨维奈虾虎
'sai'ren'de'tan'xi 塞壬的叹息
'sai'ti 赛缇
'san'cha'shen'hai'shou 三叉神海兽
'san'chun'li 三唇鲤
'san'fan'sou 三番叟
'san'jiao'ci'yu 三角刺鱼
'san'se'li 三色鲤
'san'yi'zhi'xing 三艺之星
'san'zui'yu 散罪鱼
'seng'lv'yin'dao 僧侣银刀
'sha'diao'yu 沙鲷鱼
'sha'dun'yu 沙遁鱼
'sha'hai'chang'chong 沙海肠虫
'sha'li'bei 砂砾贝
'sha'li'bei'nie 沙里贝涅
'sha'li'ya'ke'e 沙利亚克鳄
'sha'li'ya'ke'he'xie 沙利亚克河蟹
'sha'li'yu 砂砾鱼
'sha'luan 沙卵
'sha'mo'ju 沙漠锯
'sha'nian 鲨鲶
'sha'nian'yu 沙鲶鱼
'sha'pu'bi'hu 沙蹼壁虎
'sha'qiu'fu'fen 沙丘蝠鲼
'sha'shou'ku'nuo 杀手库诺
'sha'yu 沙鱼
'sha'yu'bi'xia'hu 鲨鱼鼻虾虎
'shan'bei'hai'she 扇贝海蛇
'shan'di'tun 山地鲀
'shan'feng'xie 山峰蟹
'shan'hu'die 珊瑚蝶
'shan'hu'fu'fen 珊瑚蝠鲼
'shan'hu'hai'long 珊瑚海龙
'shan'hu'hai'ma 珊瑚海马
'shan'shen'yin 山神印
'shan'shuo'yu'ying 闪烁鱼影
'shan'yue'shen'du'fu'yu 山岳神杜父鱼
'shang'mei'yu 赏梅鱼
'shang'pa'ci'yu 上爬刺鱼
'shao'er'di'ya'hong'bao'shi 绍尔迪雅红宝石
'she'ban'pan'li'yu 蛇斑盘丽鱼
'she'shui'yu 射水鱼
'she'tou'li 蛇头鳢
'she'tou'yu 蛇头鱼
'shen'ao'de'zheng'ren 深奥的证人
'shen'hai'man 深海鳗
'shen'hai'ping'yu 深海平鱼
'shen'he'ta 深褐鳎
'shen'hong'diao'an'kang 深红钓鮟鱇
'shen'hong'ju'zao 深红巨藻
'shen'hong'la'gu 深红蝲蛄
'shen'mi'de'yu 神秘的鱼
'shen'pan'yao 审判鳐
'shen'tong'qi 神通骑
'shen'wo'jiang 神握鳉
'shen'wo'yu 神我鱼
'shen'xian'yu 神仙鱼
'shen'xue'long'tou'yu 渗血隆头鱼
'shen'ying'sha'ding'yu 深影沙丁鱼
'shen'yong'de'gu'shu 深泳的古书
'shen'yu'ku'yu 神谕苦鱼
'shen'yu'xie 神谕蟹
'sheng'dun'xia 圣盾虾
'sheng'fa'si'li'ke'de'nu'fa 圣法斯里克的怒发
'sheng'fa'si'li'ke'de'shi'tou'nao'dai 圣法斯里克的石头脑袋
'sheng'jie'rong'qiu 圣洁绒球
'sheng'long'lei 圣龙泪
'sheng'mu'li 圣母鲤
'sheng'ren'biao 圣人标
'sheng'yu 绳鱼
'sheng'zun'zhen'de 圣鳟贞德
'shi'bang 石蚌
'shi'bing'shui'mu 食冰水母
'shi'fa'lai'bao'yu 释法来豹鱼
'shi'gu'xia 食骨虾
'shi'gu'yu 石骨鱼
'shi'gui'suo'yu 尸鬼梭鱼
'shi'hai'yu 食骸鱼
'shi'huang'an'kang 拾荒鮟鱇
'shi'jian'qiong'jie'de'hui'gui'zhe 事件穹界的回归者
'shi'liu'hai 石榴海
'shi'luan'zhe 噬卵者
'shi'lv'hu'zun'yu 石绿湖鳟鱼
'shi'lv'man 石绿鳗
'shi'lv'zun 石绿鳟
'shi'mao'yu 时髦鱼
'shi'nan'jia'yu 石楠嘉鱼
'shi'pian'pi'pa'yu 石片琵琶鱼
'shi'ren'bei 食人贝
'shi'ren'de'di'zi 诗人的笛子
'shi'ren'e 食人鳄
'shi'ruan'xie 石软蟹
'shi'shi'gui'yu 食尸鬼鱼
'shi'si'yu 食死鱼
'shi'tou'xie 石头蟹
'shi'tou'yu 石头鱼
'shi'wen'yu 食蚊鱼
'shi'xiao'sha 食蛸鲨
'shi'yan'zhe 噬炎者
'shi'ying'chui'tou'sha 石英锤头鲨
'shi'yong'hao 食用蚝
'shou'ling'mao'chi'jing 首领矛齿鲸
'shou'ling'qi'long 守领鳍龙
'shou'zhi'xia 手指虾
'shu'di'yu 竖笛鱼
'shu'ji'guan'sha'shou 书记官杀手
'shu'ji'yu 枢机鱼
'shu'sha 鼠鲨
'shua'ya'yong'de'hai'mian'dong'wu 刷牙用的海绵动物
'shuang'xing'chi'yi'long 双型齿翼龙
'shui'hua 水花
'shui'jian'yu 水剑鱼
'shui'jing'ci'yu 水晶刺鱼
'shui'jing'dao'yu 水晶刀鱼
'shui'jing'dou'zhi'li 水晶都脂鲤
'shui'jing'fei'ge 水晶飞鸽
'shui'jing'qi 水晶鳍
'shui'mei'shui'yu 水没睡鱼
'shui'mian'jiang 水面鳉
'shui'mo'yu 水墨鱼
'shui'pao'yan 水泡眼
'shui'ping'wang 水瓶王
'shui'qi'qing 水鲯鲭
'shui'qiu'yu 水球鱼
'shui'tian'yi'bi 水天一碧
'shui'yao'tun'shi'zhe 水妖吞噬者
'shui'yin'yu 水引鱼
'shui'zhong'hui'xing 水中辉星
'si'can 丝鲹
'si'chou'fan'che'yu 丝绸翻车鱼
'si'wang'qiu 死亡鳅
'si'yan'yu 四眼鱼
'si'yuan'ji'yu 寺院鲫鱼
'song'pi'die'yu 松皮鲽鱼
'su'da'tun 苏打鲀
'su'ji'gui'e 速疾鬼鳄
'su'mian 素面
'su'mian'la'gu 素面蝲蛄
'sui'bei'hai'dai 碎贝海带
'sui'bing'yu 碎冰鱼
'suo'di'si 索蒂斯
'suo'lu 梭鲈
'suo'zi'chun 梭子鰆
'ta'ao'ku'yu 塔奥苦鱼
'ta'men'jian'bing 塔门监兵
'ta'men'shou'wei 塔门守卫
'ta'ni'wa 塔尼瓦
'tai'fei'wo'niu 太妃蜗牛
'tai'feng'xia 台风虾
'tai'gui 苔龟
'tai'lv'sai'gui 苔绿鳃鲑
'tai'tan'ying'jia'xie 泰坦硬甲蟹
'tai'yang'bei 太阳贝
'tai'yang'fan 太阳帆
'tai'yang'lu 太阳鲈
'tai'yang'shen'hong'yan'lu 太阳神红眼鲈
'tai'yang'shen'mian'sha 太阳神面纱
'tai'yang'shen'shi'zhe 太阳神使者
'tai'yang'shen'zhang 太阳神杖
'tan'shi'zhao'xia 贪食沼虾
'tan'tu'yu 弹涂鱼
'tan'zi'zhang'yu 毯子章鱼
'te'ji'yi'tai'yao'shi 特级以太药虱
'te'la'ma'bao'yu 特拉玛豹鱼
'te'li'ping'nian 特利平鲶
'teng'pi'hai'shen 藤皮海参
'ti'dao'yu 剃刀鱼
'ti'deng'shui'mu 提灯水母
'ti'yu 鳀鱼
'tian'chong 天虫
'tian'gou'tuan'shan 天狗团扇
'tian'keng'gui 天坑龟
'tian'keng'que'shan 天坑雀鳝
'tian'keng'sha 天坑鲨
'tian'keng'tai'yang 天坑太阳
'tian'kong'qing'dao'fu 天空清道夫
'tian'kong'shan'hu 天空珊瑚
'tian'mu'yu 天幕鱼
'tian'nv'li 天女鲤
'tian'nv'yu 天女鱼
'tian'shi'zhi'mu 天使之母
'tian'tang'xie 天堂蟹
'tian'tang'yu 天堂鱼
'tian'tang'zhi'yao 天堂之钥
'tian'yu 天鱼
'tian'zhi'hu 天之虎
'tiao'shi'diao 条石鲷
'tiao'wen'li'yu 条纹丽鱼
'tiao'wen'xia'yu 条纹虾鱼
'tiao'wen'ya'qian'yu 条纹牙签鱼
'tiao'xia'hu 跳虾虎
'tie'bing 铁饼
'tie'suo 铁索
'ting'yuan'tiao'yu 庭园跳鱼
'tong'he'ta 铜褐鳎
'tong'jing 铜镜
'tong'lv'hong'jiang 铜绿虹鳉
'tong'yan'yu 桶眼鱼
'tong'yu 铜鱼
'tou'ling'bao'bing'zhang'yu 头领薄饼章鱼
'tou'tie'zun 头铁鳟
'tu'dun'yu 土遁鱼
'tu'la'er'du'xi'yi 图拉尔毒蜥蜴
'tu'la'er'qiu 图拉尔鳅
'tu'la'er'xun 图拉尔鲟
'tu'li'yu 图丽鱼
'tu'tiao'yu 兔跳鱼
'tu'yan'jin'yu 凸眼金鱼
'tu'zui'yu 吐罪鱼
'tuan'shan'bei 团扇贝
'tuan'zi'yu 团子鱼
'tui'shai'qiu'qiu 褪色球球
'tun'bing'shui'mu 吞冰水母
'tun'gou'ku'yu 吞钩苦鱼
'tun'lei'yu 吞雷鱼
'tun'wang 鲀王
'tun'xing'yu 吞星鱼
'tuo'xue'long'xia 唾血龙虾
'wa'nu'tou 瓦努头
'wa'si'tun 瓦斯鲀
'wai'ke'yi'sheng 外科医生
'wai'tao'wo'niu 外套蜗牛
