'ai'ai'fu'mu 哀哀父母
'huo'fan'huo'zhi 或幡或炙
'huo'fan'huo'zhi 或燔或炙
'huo'fu'qi'hou 或负其餱
'huo'gan'wu'yu 或敢侮予
'huo'ge'huo'e 或歌或咢
'huo'huang'huo'bai 或黄或白
'huo'jiang'yu'a 或降于阿
'huo'jin'cui'shi'guo 或尽瘁事国
'huo'lai'zhan'nv 或來瞻女
'huo'lie'ju'fu 火烈具阜
'huo'lie'ju'ju 火烈具举
'huo'lie'ju'yang 火烈具扬
'huo'mi'shi'bu'wei 或靡事不为
'huo'qi'chi'yan'yang 或栖迟偃仰
'huo'qian'zai'yuan 或潜在渊
'huo'qin'huo'e 或寝或讹
'huo'qun'huo'you 或群或友
'huo'sheng'huo'fou 或圣或否
'huo'shou'zhi'ji 或授之几
'huo'si'huo'jiang 或肆或将
'huo'si'zhi'yan 或肆之筵
'huo'su'huo'ai 或肃或艾
'huo'wang'shi'yang'zhang 或王事鞅掌
'huo'xi'yan'zai'chuang 或息偃在床
'huo'xian'huo'zuo 或獻或酢
'huo'yan'yan'ju'xi 或燕燕居息
'huo'yi'qi'jiu 或以其酒
'huo'yin'yu'chi 或饮于池
'huo'yun'huo'zi 或耘或耔
'huo'zai'yu'zhu 或在于渚
'huo'zhan'le'yin'jiu 或湛乐饮酒
'huo'zhe'huo'mou 或哲或谋
'huo'zhi'zhi'zhi 獲之挃挃
'huo'zui'huo'fou 或醉或否
'huo'zuo'zhi'shi 或佐之史
'ji'an'qie'ning 既安且宁
'ji'bao'yi'de 既飽以德
'ji'bei'nai'shi 既备乃事
'ji'bei'nai'zou 既備乃奏
'ji'bi'gong'tang 跻彼公堂
'ji'bi'nan'yi 及彼南夷
'ji'bo'ji'dao 既伯既祷
'ji'bu'wo'jia 既不我嘉
'ji'cha'wo'ma 既差我马
'ji'cheng'bu'sui 饥成不遂
'ji'cheng'miao'miao 既成藐藐
'ji'cheng'wo'fu 既成我服
'ji'chu'wo'ju 既出我車
'ji'deng'nai'yi 既登乃依
'ji'duo'shou'zhi 既多受祉
'ji'er'chu'wang 及尔出王
'ji'er'dian'fu 及尔颠覆
'ji'er'ru'guan 及尔如贯
'ji'er'si'suo 及尔斯所
'ji'er'tong'liao 及尔同寮
'ji'er'tong'si 及尔同死
'ji'er'xie'lao 及尔偕老
'ji'er'you'yan 及尔游衍
'ji'fa'yu'chong 既伐于崇
'ji'fang'ji'zao 既方既皂
'ji'fu'qi'gu 既伏其辜
'ji'fu'yan'xi 吉甫燕喜
'ji'fu'zuo'song 吉甫作誦
'ji'gu 击鼓
'ji'gu'qi'tang 击鼓其镗
'ji'he'jiao'yue 及河喬岳
'ji'he'qie'ping 既和且平
'ji'ji'duo'shi 济济多士
'ji'ji'liang'si 畟畟良耜
'ji'ji'ming'yi 鸡既鸣矣
'ji'ji'pi'wang 济济辟王
'ji'ji'pian'pian 缉缉翩翩
'ji'ji'qiang'qiang 济济跄跄
'ji'ji'qie'xian 既佶且闲
'ji'ji'zhi'qie 既亟只且
'ji'jia'si'hou 既挾四鍭
'ji'jian'fu'guan 既见复关
'ji'jian'ji'hao 既坚既好
'ji'jian'jun'zi 既见君子
'ji'jie'ji'ping 既戒既平
'ji'jin'jian'zhen 饑饉薦臻
'ji'jing'ji'jie 既敬既戒
'ji'jing'nai'gang 既景乃岡
'ji'juan'wei'chi 吉蠲为饎
'ji'ke'huai'yi 既克淮夷
'ji'ke'you'ding 既克有定
'ji'kuang'ji'chi 既匡既敕
'ji'li'zhi'jian 既立之监
'ji'ling'zai'yuan 脊令在原
'ji'meng'wei'he 吉梦维何
'ji'ming 鸡鸣
'ji'ming'bu'yi 鸡鸣不已
'ji'ming'jiao'jiao 鸡鸣胶胶
'ji'ming'jie'jie 鸡鸣喈喈
'ji'ming'qie'zhe 既明且哲
'ji'nv'si'ji 季女斯饥
'ji'po'wo'fu 既破我斧
'ji'pu'ji'chang 既溥既长
'ji'qi'cheng'wu 亟其乘屋
'ji'qi'ji'ji 既齐既稷
'ji'qi'mao'zei 及其蟊贼
'ji'qi'nv'qian 既其女迁
'ji'qi'yu'jie 鸡栖于桀
'ji'qi'yu'shi 鸡栖于埘
'ji'qi'zuo'yi 戢其左翼
'ji'qian'er'zhi 既愆尔止
'ji'qu'wo'zi 既取我子
'ji'ren'luan'luan'xi 棘人栾栾兮
'ji'ri 吉日
'ji'ri'geng'wu 吉日庚午
'ji'ri'wei'wu 吉日维戊
'ji'rou'er'yan 輯柔尔顏
'ji'ru'yu'xie 既入于謝
'ji'she'wo'yu 既設我旟
'ji'sheng'ji'yu 既生既育
'ji'shi'you'zhi 吉士诱之
'ji'shou'di'zhi 既受帝祉
'ji'shu'ji'fan 既庶既繁
'ji'shu'qie'duo 既庶且多
'ji'shun'nai'xuan 既順乃宣
'ji'si'wo'ri 继嗣我日
'ji'ting'qie'shuo 既庭且硕
'ji'wang'ji'lai 既往既来
'ji'wei'qie'zhong 既微且尰
'ji'wei'shang'di 疾威上帝
'ji'xian'qie'chi 既閑且馳
'ji'xie'wo'shi 既挟我矢
'ji'xin'yao'yao 棘心夭夭
'ji'xu'qi'huang'zhi 继序其皇之
'ji'xu'si'bu'wang 继序思不忘
'ji'yan'yu'zong 既燕于宗
'ji'yi'ji'yi 既夷既怿
'ji'yi'qing'jiu 祭以清酒
'ji'yi'wo'yi 既诒我肄
'ji'yin'zhi'jiu 既飲旨酒
'ji'ying'bu'ru'gui 济盈不濡轨
'ji'yong'wu'zhi 疾用无枝
'ji'you'fei'mu 既有肥牡
'ji'you'fei'zhu 既有肥羜
'ji'you'ji'wo 既优既渥
'ji'you'lie'kao 既右烈考
'ji'you'pan'huan 继猶判渙
'ji'you'shen'she 济有深涉
'ji'you'tai'jia'shi 即有邰家室
'ji'you'xiang'zhi 既右饗之
'ji'you'yin'wei 既有淫威
'ji'yu'bao'ji 集于苞棘
'ji'yu'bao'qi 集于苞杞
'ji'yu'bao'sang 集于苞桑
'ji'yu'bao'xu 集于苞栩
'ji'yu'guan'mu 集于灌木
'ji'yu'pan'lin 集于泮林
'ji'yu'zhong'ze 集于中泽
'ji'yue'de'zhi 既曰得止
'ji'yue'gao'zhi 既曰告止
'ji'yue'gui'zhi 既曰归止
'ji'yue'yong'zhi 既曰庸止
'ji'zai'qing'gu 既载清酤
'ji'zhan'ji'zu 既沾既足
'ji'zhang'wo'gong 既张我弓
'ji'zhao'jia'er 既昭假尔
'ji'zhi'li'li 積之栗栗
'ji'zhi'yin'nv 既之陰女
'ji'zhong'ji'jie 既种既戒
'ji'zu'wo'de 既阻我德
'ji'zui 既醉
'ji'zui'er'chu 既醉而出
'ji'zui'ji'bao 既醉既飽
'ji'zui'ji'bao 既醉既饱
'ji'zui'yi'jiu 既醉以酒
'ji'zuo'er'ge 既作尔歌
'ji'zuo'pan'gong 既作泮宮
'jia'bi'si'luo 驾彼四骆
'jia'bi'si'mu 驾彼四牡
'jia'bin'shi'yan'sui'zhi 嘉宾式燕绥之
'jia'bin'shi'yan'yi'ao 嘉宾式燕以敖
'jia'bin'shi'yan'yi'kan 嘉宾式燕以衎
'jia'bin'shi'yan'yi'le 嘉宾式燕以乐
'jia'bin'shi'yan'you'si 嘉宾式燕又思
'jia'bo'wei'zai 家伯维宰
'jia'fu'zuo'song 家父作诵
'jia'le 假乐
'jia'le'jun'zi 假乐君子
'jia'mei'yong'tan 假寐永叹
'jia'qi'huang'jian 夾其皇澗
'jia'se'fei'jie 稼穡匪解
'jia'se'wei'bao 稼穡维寶
'jia'se'zu'yang 稼穡卒癢
'jia'tan'jie'jie 葭菼揭揭
'jia'wo'cheng'ma 驾我乘马
'jia'wo'qi 驾我骐
'jia'wo'wei'lao 嘉我未老
'jia'yan'chu'you 驾言出游
'jia'yan'cu'dong 驾言徂东
'jia'yan'xing'shou 驾言行狩
'jia'yao'pi'jue 嘉肴脾臄
'jia'yi'fu'ren 哿矣富人
'jia'yi'neng'yan 哿矣能言
'jia'yi'yi'wo 假以溢我
'jia'yong'bu'shou 贾用不售
'jia'yu'yu'gui 驾予与归
'jia'yu'yu'xing 驾予与行
'jia'zai'huang'kao 假哉皇考
'jia'zai'tian'ming 假哉天命
'jian'bi'mao'yi 建彼旄矣
'jian'che'wei'shang 渐车帷裳
'jian'ci'can'zhe 见此粲者
'jian'ci'liang'ren 见此良人
'jian'ci'xie'hou 见此邂逅
'jian'er'yuan'zi 建尔元子
'jian'guan'che'zhi'xia'xi 间关车之舝兮
'jian'guan'si'fang 監觀四方
'jian'jia 蒹葭
'jian'jia'cai'cai 蒹葭采采
'jian'jia'cang'cang 蒹葭苍苍
'jian'jia'qi'qi 蒹葭萋萋
'jian'jian'zhi'shi 渐渐之石
'jian'shi'ji'han 僭始既涵
'jian'si'kong'qun 俴驷孔群
'jian'wo'liang'ren 歼我良人
'jian'xi 简兮
'jian'xi'jian'xi 简兮简兮
'jian'xian'yue'liu 见晛曰流
'jian'xian'yue'xiao 见晛曰消
'jian'yi'you'guang 监亦有光
'jian'zhao'she'mao 建旐设旄
'jiang'an'jiang'le 将安将乐
'jiang'ao'jiang'xiang 将翱将翔
'jiang'bo'zhu'yu 将伯助予
'jiang'chang'yi'yi 疆场翼翼
'jiang'chang'you'gua 疆场有瓜
'jiang'ci'da'li 降此大厲
'jiang'ci'da'li 降此大戾
'jiang'ci'ju'xiong 降此鞠訩
'jiang'ci'mao'zei 降此蟊賊
'jiang'er'sheng'shang 降而生商
'jiang'er'xia'fu 降尔遐福
'jiang'fu'ji'duo 降福既多
'jiang'fu'jian'jian 降福簡簡
'jiang'fu'kong'jie 降福孔皆
'jiang'fu'kong'yi 降福孔夷
'jiang'fu'rang'rang 降福穰穰
'jiang'fu'wu'jiang 降福无疆
'jiang'guan'yu'sang 降观于桑
'jiang'han 江汉
'jiang'han'fu'fu 江汉浮浮
'jiang'han'shang'shang 江汉汤汤
'jiang'han'zhi'xu 江汉之滸
'jiang'kong'jiang'ju 将恐将惧
'jiang'mu'lai'shen 将母来谂
'jiang'qi'lai'shi 将其来食
'jiang'qi'lai'shi'shi 将其来施施
'jiang'sang'ji'jin 降丧饥馑
'jiang'shou'jue'ming 將受厥明
'jiang'shu'wu'niu 将叔勿狃
'jiang'you'si 江有汜
'jiang'you'tuo 江有沱
'jiang'you'zhu 江有渚
'jiang'yu'duo'dui 強御多懟
'jiang'yu'jiu'zhi 將予就之
'jiang'yu'qing'shi 降予卿士
'jiang'zhi'bai'fu 降之百福
'jiang'zhi'yong'yi 江之永矣
'jiang'zhong'zi 将仲子
'jiang'zhong'zi'xi 将仲子兮
'jiang'zi'wu'nu 将子无怒
'jiao'chang'er'gong 交韔二弓
'jiao'gong 角弓
'jiao'gong'qi'qiu 角弓其觩
'jiao'hui'er'zi 教诲尔子
'jiao'jiao'bai'ju 皎皎白驹
'jiao'jiao'hu'chen 矯矯虎臣
'jiao'jiao'huang'niao 交交黄鸟
'jiao'jiao'sang'hu 交交桑扈
'jiao'liao 椒聊
'jiao'liao'qie 椒聊且
'jiao'liao'zhi'shi 椒聊之实
'jiao'luan'si'guo 交乱四国
'jiao'ren'hao'hao 骄人好好
'jiao'ren'liao'xi 佼人僚兮
'jiao'ren'liao'xi 佼人燎兮
'jiao'ren'liu'xi 佼人懰兮
'jiao'tong 狡童
'jiao'xiang'wei'yu 交相为愈
'jiao'zhen'can'xi 角枕粲兮
'jiao'zhi'hui'zhi 教之诲之
'jie'bi'huai'pu 截彼淮浦
'jie'bi'nan'shan 节彼南山
'jie'er'jing'fu 介尔景福
'jie'er'jun'zi 嗟尔君子
'jie'er'peng'you 嗟尔朋友
'jie'er'zhao'ming 介尔昭明
'jie'jie'bao'jie 嗟嗟保介
'jie'jie'chen'gong 嗟嗟臣工
'jie'jie'fan'fan 捷捷幡幡
'jie'jie'gan'jing 孑孑干旌
'jie'jie'gan'mao 孑孑干旄
'jie'jie'gan'yu 孑孑干旟
'jie'jie'lie'zu 嗟嗟烈祖
'jie'nan'shan 节南山
'jie'nan'shan'zhi'shen 节南山之什
'jie'qi'shang'nv 戒其伤女
'jie'ren'wei'fan 價人维藩
'jie'wo'fu'zi 嗟我妇子
'jie'wo'huai'ren 嗟我怀人
'jie'wo'nong'fu 嗟我农夫
'jie'wo'shi'lv 戒我師旅
'jie'wo'xiong'di 嗟我兄弟
'jie'xing'zhi'ren 嗟行之人
'jie'yi'fan'zhi 介以繁祉
'jie'yue'wei'zhi 借曰未知
'jin'bi'bao'lang 浸彼苞稂
'jin'bi'bao'shi 浸彼苞蓍
'jin'bi'bao'xiao 浸彼苞萧
'jin'bi'dao'tian 浸彼稻田
'jin'ci'lao'ren 矜此劳人
'jin'ci'xia'min 今此下民
'jin'cui'yi'shi 尽瘁以仕
'jin'er'hou'du 謹尔侯度
'jin'jin'jing'jing 矜矜兢兢
'jin'jin'qi'ming 斤斤其明
'jin'jue'hu'chen 進厥虎臣
'jin'nv'xia'min 今女下民
'jin'qin'lan'xi 锦衾烂兮
'jin'shi'nan'mu 今适南亩
'jin'tu'ru'yi 堇荼如飴
'jin'tui'wei'gu 進退维穀
'jin'wo'bu'le 今我不乐
'jin'wo'lai'si 今我来思
'jin'xi'he'xi 今夕何夕
'jin'ye'mei'shi'bu'bao 今也每食不饱
'jin'ye'mei'shi'wu'yu 今也每食无余
'jin'ye'ri'cu'guo'bai'li 今也日蹙国百里
'jin'yi'hu'qiu 锦衣狐裘
'jin'yu'qi'xiang 金玉其相
'jin'zhe'bu'le 今者不乐
'jin'zi'zhi'zheng 今兹之正
'jing'bi'huai'yi 憬彼淮夷
'jing'er'ting'zhi 敬而听之
'jing'er'wei'yi 敬尔威儀
'jing'er'zai'gong 敬尔在公
'jing'gong'er'wei 靖共尔位
'jing'gong'ming'shen 敬恭明神
'jing'jing'ye'ye 兢兢業業
'jing'jing'zhe'e 菁菁者莪
'jing'ming'qi'de 敬明其德
'jing'ming'you'pu 景命有仆
'jing'nv 静女
'jing'nv'qi'luan 静女其娈
'jing'nv'qi'shu 静女其姝
'jing'shan'yu'jing 景山与京
'jing'shen'wei'yi 敬慎威儀
'jing'shi'ling'tai 經始灵台
'jing'shi'wu'ji 經始勿亟
'jing'shi'zhi'fu 京室之婦
'jing'shi'zhi'ye 京師之野
'jing'shu'shi'cheng 荊舒是懲
'jing'tian'zhi'nu 敬天之怒
'jing'tian'zhi'yu 敬天之渝
'jing'xing'xing'zhi 景行行止
'jing'yan'si'zhi 静言思之
'jing'yi'wei'zhuo 泾以渭浊
'jing'ying'si'fang 經營四方
'jing'ying'si'fang 经营四方
'jing'yun'wei'he 景員维河
'jing'zhi 敬之
'jing'zhi'jing'zhi 敬之敬之
'jing'zhi'ying'zhi 經之營之
'jiong'jiong'mu'ma 駉駉牡马
'jiong'zhi'shen 駉之什
'jiong'zhuo 泂酌
'jiong'zhuo'bi'xing'liao 泂酌彼行潦
'jiu'ji'he'zhi 酒既和旨
'jiu'jiu'ge'ju 纠纠葛屦
'jiu'jiu'wu'fu 赳赳武夫
'jiu'li'wei'ru 酒醴维醹
'jiu'mu 樛木
'jiu'qi'qian'yi 就其浅矣
'jiu'qi'shen'yi 就其深矣
'jiu'shi'qi'chun 九十其犉
'jiu'shi'qi'yi 九十其仪
'jiu'you'you'jie 九有有截
'jiu'yu 九罭
'jiu'yu'zhi'yu 九罭之鱼
'jiu'yue'shou'yi 九月授衣
'jiu'yue'shu'ju 九月叔苴
'jiu'yue'su'shuang 九月肃霜
'jiu'yue'zai'hu 九月在户
'jiu'yue'zhu'chang'pu 九月筑场圃
'jiu'zai'zhong'zai 疚哉冢宰
'ju'chang'yi'you 秬鬯一卣
'ju'chang'yu'xu 居常与許
'ju'chou'yi'yi 举酬逸逸
'ju'guo'nan'xiang 居国南乡
'ju'he'zhi'mi 居河之麋
'ju'huo'yi'jin 具禍以燼
'ju'qi'zhi'yang 居岐之陽
'ju'ran'sheng'zi 居然生子
'ju'ren'zhi'tei 鞫人忮忒
'ju'wei'mao'cao 鞫为茂草
'ju'ye'wei'zong 虡業维樅
'ju'yi'xiong'jin 居以凶矜
'ju'yue'yu'sheng 具曰予圣
'ju'zai'shu'zheng 鞫哉庶正
'ju'zhi'reng'reng 捄之陾陾
'ju'zhui'zu'huang 具贅卒荒
'juan'a 卷阿
'juan'er 卷耳
'juan'fa'ru'chai 卷发如虿
'juan'juan'huai'gu 眷眷怀顾
'juan'juan'pei'sui 鞙鞙佩璲
'juan'yan'gu'zhi 眷言顾之
'jue'chu'sheng'min 厥初生民
'jue'de'bu'hui 厥德不回
'jue'fu'kong'wu 蹶父孔武
'jue'fu'zhi'zi 蹶父之子
'jue'jue'wang'zhi'zao 蹻蹻王之造
'jue'sheng'zai'lu 厥声载路
'jue'shi'ji'ci 决拾既佽
'jue'wei'qu'ma 蹶维趣马
'jue'you'yi'yi 厥猶翼翼
'jue'zuo'guan'jiang 厥作祼將
'jun'ben'zou'zai'miao 駿奔走在庙
'jun'fa'er'si 駿发尔私
'jun'fu'mo'mo 君妇莫莫
'jun'hui'wo'wen'wang 駿惠我文王
'jun'ji'yu'tian 駿極于天
'jun'ming'bu'yi 駿命不易
'jun'yue 君曰
'jun'zhe'wei'shang 浚哲维商
'jun'zhi'zong'zhi 君之宗之
'jun'zi'bing'xin 君子秉心
'jun'zi'bu'hui 君子不惠
'jun'zi'hao'qiu 君子好逑
'jun'zi'lai'chao 君子来朝
'jun'zi'le'xu 君子乐胥
'jun'zi'lv'meng 君子屡盟
'jun'zi'ru'jie 君子如届
'jun'zi'ru'nu 君子如怒
'jun'zi'ru'yi 君子如夷
'jun'zi'ru'zhi 君子如祉
'jun'zi'shi'shi 君子是識
'jun'zi'shi'wei 君子实维
'jun'zi'shi'ze'shi'xiao 君子是则是效
'jun'zi'shu'zhi 君子树之
'jun'zi'suo'jie 君子所届
'jun'zi'suo'lv 君子所履
'jun'zi'suo'yi 君子所依
'jun'zi'tao'tao 君子陶陶
'jun'zi'wan'nian 君子万年
'jun'zi'wei'yan 君子维宴
'jun'zi'wu'yi'you'yan 君子无易由言
'jun'zi'xie'lao 君子偕老
'jun'zi'xin'chan 君子信谗
'jun'zi'xin'dao 君子信盗
'jun'zi'yang'yang 君子阳阳
'jun'zi'yi'zhi 君子宜之
'jun'zi'you'gu 君子有穀
'jun'zi'you'hui'you 君子有徽猷
'jun'zi'you'ji 君子攸跻
'jun'zi'you'jiu 君子有酒
'jun'zi'you'ning 君子攸宁
'jun'zi'you'xiao'zi 君子有孝子
'jun'zi'you'yu 君子攸芋
'jun'zi'you'zhi 君子有之
'jun'zi'yu'yi 君子于役
'jun'zi'zhi'che 君子之车
'jun'zi'zhi'ju 君子之車
'jun'zi'zhi'ma 君子之马
'jun'zi'zhi'zhi 君子至止
'jun'zi'zuo'ge 君子作歌
'jun'zi'zuo'zhi 君子作之
'kai'di'jun'zi 岂弟君子
'kai'feng 凯风
'kai'feng'zi'nan 凯风自南
'kai'qi'yi 慨其矣
'kai'wo'wu'tan 忾我寤叹
'kan'kan'fa'fu'xi 坎坎伐辐兮
'kan'kan'fa'lun'xi 坎坎伐轮兮
'kan'kan'fa'tan'xi 坎坎伐檀兮
'kan'kan'gu'wo 坎坎鼓我
'kan'qi'ji'fou 坎其击缶
'kan'qi'ji'gu 坎其击鼓
'kan'wo'lie'zu 衎我烈祖
'kao'bu'wei'wang 考卜维王
'kao'pan 考槃
'kao'pan'zai'a 考槃在阿
'kao'pan'zai'jian 考槃在涧
'kao'pan'zai'lu 考槃在陆
'kao'shen'qi'xiang 考慎其相
'ke'an'de'xin 克廣德心
'ke'chang'jue'hou 克昌厥後
'ke'chang'ke'jun 克长克君
'ke'ding'jue'jia 克定厥家
'ke'gong'ming'xing 克共明刑
'ke'kai'jue'hou 克開厥後
'ke'ming'ke'lei 克明克類
'ke'ming'qi'de 克明其德
'ke'pei'bi'tian 克配彼天
'ke'pei'shang'di 克配上帝
'ke'qi'ke'yi 克岐克嶷
'ke'qi'shan'fang'chu 醘妻煽方处
'ke'shun'ke'bi 克順克比
'ke'xian'jue'gong 克咸厥功
'ke'yi'fen'chi 可以餴饎
'ke'yi'feng'shang 可以缝裳
'ke'yi'gong'yu 可以攻玉
'ke'yi'le'ji 可以乐饥
'ke'yi'lv'shuang 可以履霜
'ke'yi'ou'jian 可以沤菅
'ke'yi'ou'ma 可以沤麻
'ke'yi'ou'zhu 可以沤纻
'ke'yi'qi'chi 可以栖迟
'ke'yi'wei'cuo 可以为错
'ke'yi'zhuo'gai 可以濯溉
'ke'yi'zhuo'lei 可以濯罍
'ke'yin'ke'si 克禋克祀
'ke'yu'wu'ge 可与晤歌
'ke'yu'wu'yan 可与晤言
'ke'yu'wu'yu 可与晤语
'ke'zhuang'qi'you 克壮其犹
'kong'hui'kong'shi 孔惠孔时
'kong'ji'qie'dai 孔棘且殆
'kong'ji'wo'yu 孔棘我圉
'kong'le'han'tu 孔乐韓土
'kong'man'qie'shi 孔曼且碩
'kong'shu'bu'ni 孔淑不逆
'kong'tian'bu'ning 孔填不寧
'kong'wu'you'li 孔武有力
'kong'xiu'qie'zhang 孔修且张
'kong'yan'qi'di 孔燕岂弟
'kong'yu'da'bang 控于大邦
'kou'rang'shi'nei 寇攘式內
'kuai'chao'qing'ming 會朝清明
'kuai'fa'ping'lin 會伐平林
'kuai'kuai'qi'zheng 哙哙其正
'kuan'xi'chuo'xi 宽兮绰兮
'kuang'fu'qu'qu 狂夫瞿瞿
'kuang'tong'zhi'kuang'ye'qie 狂童之狂也且
'kuang'ye'yong'tan 况也永叹
'kuang'zhi'ju'zhi 筐之莒之
'kui'bian 頍弁
'kui'kui'hui'yu 潰潰回遹
'kui'zhi'yi'ri 揆之以日
'kun'wu'xia'jie 昆吾夏桀
'kuo'hong'qian'mie 鞹鞃淺幭
'lai'chao'zou'ma 來朝走马
'lai'fang'yin'si 来方禋祀
'lai'gui'zi'gao 来归自镐
'lai'ji'wo'mou 来即我谋
'lai'jia'lai'xiang 來假來饗
'lai'jia'qi'qi 來假祁祁
'lai'jia'yu'zhou 來嫁于周
'lai'pin'san'qian 騋牝三千
'lai'wo'si'cheng 賚我思成
'lai'xian'qi'chen 來獻其琛
'lai'xun'lai'xuan 來旬來宣
'lai'you'lai'ge 來游來歌
'lai'zi'lai'ru 來咨來茹
'lan'qi'ying'men 爛其盈門
'lang'ba 狼跋
'lang'ba'qi'hu 狼跋其胡
'lang'zhi'qi'wei 狼疐其尾
'lao'fu'guan'guan 老夫灌灌
'lao'ma'fan'wei'ju 老马反为驹
'lao'ren'cao'cao 劳人草草
'lao'shi'wo'yuan 老使我怨
'lao'xin'can'xi 劳心惨兮
'lao'xin'da'da 劳心怛怛
'lao'xin'dao'dao 劳心忉忉
'lao'xin'qiao'xi 劳心悄兮
'lao'xin'sao'xi 劳心慅兮
'lao'xin'tuan'tuan'xi 劳心慱慱兮
'le'bi'zhi'yuan 乐彼之园
'le'er'qi'tang 乐尔妻帑
'le'guo'yue'guo 乐国乐国
'le'ji'he'zou 乐既和奏
'le'jiao'le'jiao 乐郊乐郊
'le'jiu'jin'xi 乐酒今夕
'le'ju'ru'zou 乐具入奏
'le'qie'you'yi 乐且有仪
'le'tu'le'tu 乐土乐土
'le'zhi'jun'zi 乐只君子
'le'zi'zhi'wu'jia 乐子之无家
'le'zi'zhi'wu'shi 乐子之无室
'le'zi'zhi'wu'zhi 乐子之无知
'li'er'gui'zan 厘尔圭瓚
'li'er'nv'shi 厘尔女士
'li'min'dai'shi 力民代食
'li'wo'zheng'min 立我烝民
'li'yi'ji'bei 礼仪既备
'li'yi'zu 礼仪卒
'li'ze'ran'yi 礼则然矣
'lian'man'yu'ye 蔹蔓于野
'lian'man'yu'yu 蔹蔓于域
'lian'yuan'yi'wei'de 斂怨以为德
'liang'bi'wu'wang 涼彼武王
'liang'bu'wo'zheng'chu'ci'san'wu 谅不我郑出此三物
'liang'can'bu'yi 两骖不猗
'liang'can'ru'shou 两骖如手
'liang'can'ru'wu 两骖如舞
'liang'can'yan'hang 两骖雁行
'liang'fu'qi'shou 两服齐首
'liang'fu'shang'xiang 两服上襄
'liang'ma'liu'zhi 良马六之
'liang'ma'si'zhi 良马四之
'liang'ma'wu'zhi 良马五之
'liang'shi'jue'jue 良士蹶蹶
'liang'shi'qu'qu 良士瞿瞿
'liang'shi'xiu'xiu 良士休休
'liang'si 良耜
'liang'yue'bu'ke 涼曰不可
'liao'bi'xiao'si 蓼彼萧斯
'liao'e 蓼莪
'liao'ke'yu'yu 聊可与娱
'liao'le'wo'yuan 聊乐我员
'liao'liao'zhe'e 蓼蓼者莪
'liao'xiao 蓼萧
'liao'yi'xing'guo 聊以行国
'liao'yu'zhi'mou 聊与之谋
'liao'yu'zi'ru'yi'xi 聊与子如一兮
'liao'yu'zi'tong'gui'xi 聊与子同归兮
'liao'zhi'fang'yang 燎之方扬
'lie'bi'xia'quan 冽彼下泉
'lie'jia'bu'xia 烈假不遐
'lie'lie'zheng'shi 烈烈征师
'lie'wen 烈文
'lie'wen'pi'gong 烈文辟公
'lie'zu 烈祖
'lin'chong'fu'fu 臨沖茀茀
'lin'chong'xian'xian 臨沖閑閑
'lin'qi'xue 临其穴
'lin'xia'you'he 臨下有赫
'lin'you'pu 林有朴
'lin'zhi'ding 麟之定
'lin'zhi'jiao 麟之角
'lin'zhi'zhi 麟之趾
'ling'de'lai'jiao 令德来教
'ling'de'shou'qi 令德寿岂
'ling'lu'ni'ni 零露泥泥
'ling'lu'nong'nong 零露浓浓
'ling'lu'rang'rang 零露瀼瀼
'ling'lu'xu'xi 零露湑兮
'ling'lu'zhuan'xi 零露漙兮
'ling'qi'shou'mu 令妻寿母
'ling'ru'qiu'qi 领如蝤蛴
'ling'tai 灵台
'ling'wen'bu'yi 令聞不已
'ling'wen'ling'wang 令聞令望
'ling'yi'ling'se 令儀令色
'ling'yu'ji'ling 灵雨既零
'ling'yu'qi'meng 零雨其濛
'ling'zhong'you'chu 令終有俶
'liu'li'zhi'zi 流离之子
'liu'pei'er'er 六轡耳耳
'liu'pei'ji'jun 六辔既均
'liu'pei'ru'qin 六辔如琴
'liu'pei'ru'ru 六辔如濡
'liu'pei'ru'si 六辔如丝
'liu'pei'wo'ruo 六辔沃若
'liu'pei'zai'shou 六辔在手
'liu'qi'qing'yi 浏其清矣
'liu'ri'bu'zhan 六日不詹
'liu'shi'ji'zhi 六師及之
'liu'yan'yi'dui 流言以對
'liu'yue 六月
'liu'yue'cu'shu 六月徂署
'liu'yue'sha'ji'zhen'yu 六月莎鸡振羽
'liu'yue'shi'yu'ji'yu 六月食郁及薁
'liu'yue'xi'xi 六月栖栖
'long'dun'zhi'he 龙盾之合
'long'qi'cheng'si 龙旗承祀
'long'qi'shi'cheng 龙旗十乘
'long'qi'yang'yang 龙旗陽陽
'lou'feng'nian 婁丰年
'lu'bang'shi'chang 鲁邦是常
'lu'bang'suo'zhan 鲁邦所詹
'lu'bi'jian'mao 露彼菅茅
'lu'che'cheng'huang 路车乘黄
'lu'che'cheng'ma 路车乘马
'lu'che'you'shi 路车有奭
'lu'dao'you'dang 鲁道有荡
'lu'hou'li'zhi 鲁侯戾止
'lu'hou'shi'ruo 鲁侯是若
'lu'hou'yan'xi 鲁侯燕喜
'lu'hou'zhi'gong 鲁侯之功
'lu'ju'cheng'ma 路車乘马
'lu'ling 卢令
'lu'ling'ling 卢令令
'lu'ming 鹿鸣
'lu'ming'zhi'shen 鹿鸣之什
'lu'qin'kong'shi 路寢孔碩
'lu'si'zhi'ben 鹿斯之奔
'lu'song 鲁颂
'lu'yu'fei 鷺于飞
'lu'yu'xia 鷺于下
'lu'zhong'huan 卢重环
'lu'zhong'mei 卢重鋂
'luan'bi'zhu'ji 娈彼诸姬
