'ai'qin'jing'chang 爱亲敬长
'jun'zi 君子
'jun'zi'bu'chu'jia 君子不出家
'jun'zi'dang'su'qi'wei'er'xue 君子当素其位而学
'jun'zi'su'qi'wei'er'xing 君子素其位而行
'jun'zi'wei'huan'xue'ye'zhi'bu'xiu 君子惟患学业之不修
'jun'zi'wei'you'bu'ru'ci 君子未有不如此
'jun'zi'xian'qi'xian 君子贤其贤
'jun'zi'xian'shen'hu'de 君子先慎乎德
'jun'zi'yong'quan 君子用权
'jun'zi'yong'zhi'yi'ji'qi'shan 君子用之以济其善
'jun'zi'you'da'dao 君子有大道
'jun'zi'you'ju'zhi'dao 君子有矩之道
'jun'zi'zhi'dao 君子之道
'jun'zi'zhi'dao'an'ran'er'ri'zhang 君子之道暗然而日章
'jun'zi'zhi'suo'bu'ke'ji'zhe 君子之所不可及者
'kai'tan'hui'zhuo 慨叹秽浊
'kan'luo'sheng'hua 刊落声华
'kao'zhu'gu'xun 考诸古训
'kao'zhu'san'wang 考诸三王
'ke'di 科第
'ke'di'chi'su 科第迟速
'ke'wei 可谓
'ke'yi 可以
'ke'yu'ru'de'yi 可与入德矣
'kong'gu'zhi'zu'yin 空谷之足音
'kong'ju 恐惧
'kong'meng'zhi'xue 孔孟之学
'kong'ming 孔明
'kong'wu'neng'wei'zhu'ye 恐无能为助也
'kong'zi 孔子
'kong'zi'mei 孔子没
'kuan'xin'ping'qi'yi'xun'tao'zhi 宽心平气以薰陶之
'kuan'yu'wen'rou 宽裕温柔
'kuang'jin'tian'shi'dong'hu 况今天时冻冱
'kuang'ren'hu 况人乎
'kuang'wu'ping'ri'suo'wang'yu'xian'di 况吾平日所望于贤弟
'kuang'yu'guo'hu 况于过乎
'kuo'da'gong'wu'wo'zhi'ren 扩大公无我之仁
'kuo'ran'da'gong 廓然大公
'lao'bai'xing 老百姓
'lao'ruo'ju'shou 老弱居守
'le'shi'xin'zhi'ben'ti 乐是心之本体
'le'zhi'jun'zi 乐只君子
'lei'shi'er'wu'suo'nao'qi'jing 累释而无所挠其精
'lei'shi'ze'yi'yu'er'jing 累释则怡愉而静
'lei'sui'qing 累虽轻
'lei'xia 泪下
'li'qi'li 利其利
'li'shi'xi'ci'xin'ye 立时习此心也
'li'tian'xia'zhi'da'ben 立天下之大本
'li'yi 礼仪
'li'yi'san'bai 礼仪三百
'li'yue 礼乐
'li'zhi 立志
'li'zhi'er'sheng 立志而圣
'li'zhi'er'xian 立志而贤
'li'zhi'zhi'shuo 立志之说
'lian'qi'wu 连其伍
'liang'ge'zi 两个字
'liang'you 良友
'liang'zhi 良知
'liang'zhi'wu'you'bu'zi'zhi'zhe 良知无有不自知者
'liang'zhi'yi'you'qi'chu 良知亦有起处
'liang'zhi'zhao'ming 良知昭明
'liang'zhi'zhi'shuo 良知之说
'liao'yi'da'zhu'sheng'zhi'yi 聊以答诸生之意
'lin'bie'shu'yu 临别数语
'lin'shi'bu'de'zhuan'cao'zhou'zhi'quan'er'fen'shi 临事不得专操舟之权而偾事
'lin'xing'qing'yi 临行请益
'ling'jue 灵觉
'ling'ren'qi'yue'fen'xun 令人起跃奋迅
'liu'xing 流行
'liu'yi'shen'xian'zhi'xue 留意神仙之学
'long'chang'zhu'sheng 龙场诸生
'lu'cheng'lu 陆澄录
'lu'shi 陆氏
'lun'jia'yu'ren 沦浃于人
'lun'yu'qin'shou 沦于禽兽
'luo'xian'dian'dun 裸跣颠顿
'lv'jing'tian'ye 闾井田野
'mao'you'you'lun 毛犹有伦
'mei'ni'fu'gui 没溺富贵
'mei'ri'gong'fu 每日功夫
'mei'you 没有
'mei'zhong'ye'yi'si 每终夜以思
'men'xia 门下
'meng'zi 孟子
'mi'dao'an'min 弭盗安民
'mian'hua'you'ri 面话有日
'min'qing'tu'su 民情土俗
'min'su 民俗
'min'wu'tong'bao 民吾同胞
'min'zhi'fu'mu 民之父母
'min'zhi'suo'e 民之所恶
'min'zhi'suo'hao 民之所好
'ming'bai 明白
'ming'bian 明辨
'ming'dao 明道
'ming'dao'yun 明道云
'ming'de 明德
'ming'de'qin'min 明德亲民
'ming'gai'guo'bu'lin'zhi'yong 明改过不吝之勇
'ming'gong 明公
'ming'ming'de 明明德
'ming'ming'de'yu'tian'xia 明明德于天下
'ming'qi'dao'bu'ji'qi'gong 明其道不计其功
'ming'rui'tian'shou 明睿天授
'ming'shan 明善
'ming'shan'cheng'shen 明善诚身
'ming'ye 命也
'ming'zhe 明哲
'miu'wei'zhu'sheng'xiang'cong'yu'ci 谬为诸生相从于此
'mo'bu 莫不
'mo'bu'yi'ci'ju'wei'fei'yi 莫不以此举为非宜
'mo'bu'you'li 莫不有理
'mo'bu'zun'qin 莫不尊亲
'mo'jian 莫见
'mo'ye 末也
'mou'gao'yi'bian'hua'qi'zhi 某告以变化气质
'mou'xi'xun'ju'qu'yu'dan'yang 某西寻句曲与丹阳
'mou'yu'dao'wei'you'suo'de 某于道未有所得
'nai'er'fu'wo 乃尔负我
'nai'shu'er 乃术尔
'nai'wei'shan'er 乃为善耳
'nai'wei'shen'ai 乃为深爱
'nai'yu'tong'fu'zhou'zhi'zui 乃与同覆舟之罪
'nai'zhi'gu'ren'gua'guan'jie'shou 乃知古人挂冠解绶
'nan'gan'xiang'yue 南赣乡约
'nan'geng'gai'dong 难更改动
'nan'gong'shi 南宫试
'nei'wai 内外
'nei'xing 内省
'nei'xing'bu'jiu 内省不疚
'neng'gou 能够
'nian'pu 年谱
'nian'yi'shi 年益逝
'nie'wen'wei'shu 聂文蔚书
'ning'bu'han'xin 宁不寒心
'ning'jing 宁静
'ning'shen'hua'qi 凝神化气
'ning'shen'hua'qi'zhi'dao 凝神化气之道
'nong'gong'shang'jia 农工商贾
'pei'di 配地
'pei'tian 配天
'pei'yang 培养
'peng'lai'xue'cheng 朋来学成
'peng'sheng'ma'zhong 蓬生麻中
'peng'you 朋友
'peng'you'zhi'dao 朋友之道
'pi'ru 譬如
'pi'ru'si'shi'zhi'cuo'xing 辟如四时之错行
'pi'ru'tian'di'zhi'wu'bu'chi'zai 辟如天地之无不持载
'piao'dang'ben'yi 漂荡奔逸
'piao'ran'you'tuo'xi'ren'jian'zhi'zhi 飘然有脱屣人间之志
'pin'de 品德
'pin'jian 贫贱
'pin'jian'zhi'ke'you 贫贱之可忧
'ping'hao'fan'jian'yi'shi 平濠反间遗事
'ping'ri 平日
'ping'tian'xia 平天下
'ping'tian'xia'zai'zhi'qi'guo 平天下在治其国
'po'shan'zhong'zei'yi 破山中贼易
'po'xin'zhong'zei'nan 破心中贼难
'pu'bo'ru'tian 溥博如天
'pu'bo'yuan'quan 溥博渊泉
'pu'cheng'shen'wei'zhi'shi'xi 仆诚甚为执事喜
'qi'bang'qian 其谤浅
'qi'bang'shen'yi 其谤深矣
'qi'bu'wu'que'ci'sheng'ye 岂不误却此生耶
'qi'bu'xiu'zai 岂不休哉
'qi'bu'zu'zheng 杞不足征
'qi'ci'xian'er'jue 其辞显而决
'qi'ci'yin'er'wan 其辞隐而婉
'qi'dao'wei'chang'bu'zhi'ye 其道未尝不直也
'qi'dao'ze'yi 其道则一
'qi'gong'fu'zhi'nan'shi'bei 其功夫之难十倍
'qi'jia 齐家
'qi'jian 其间
'qi'jin'yi'bu'ke'liang 其进益不可量
'qi'ju'yu'yu 其居于于
'qi'jue'lu 弃爵录
'qi'kuan'mian'shui'liang 乞宽免税粮
'qi'mo 其默
'qi'mo'zu'yi'rong 其默足以容
'qi'qi'jia'zai'xiu'qi'shen 齐其家在修其身
'qi'se'yu'yu 其色愉愉
'qi'shen'ting 其慎听
'qi'shi 其实
'qi'shi'yi'bu'yi'zhi'ye 其时亦不易值也
'qi'shu'neng'zhi'zhi 其孰能知之
'qi'suo'zao'ruo'qing'feng'zhi'pi'wu 其所遭若清风之披物
'qi'wei'ren'zhi'suo'bu'jian'hu 其唯人之所不见乎
'qi'wei'xi'wei 其为喜慰
'qi'xiang 气象
'qi'xue'lu'mang'er 其学卤莽耳
'qi'yan 其言
'qi'yan'er'shan 其言而善
'qi'yan'zu'yi'xing 其言足以兴
'qi'ye'zhen'zhen 其叶蓁蓁
'qi'yi'bu'tei 其仪不忒
'qi'you'yan'guan 乞宥言官
'qi'zhi'bu'tong 其治不同
'qi'zhi'yi 其至矣
'qi'zhi'yi'li 齐之以礼
'qi'zhong 其中
'qi'zhuang'zhong'zheng 齐庄中正
'qi'zi'li'san 妻子离散
'qi'zi'lu'ru 妻子戮辱
'qian'de'hong'lu 钱德洪录
'qian'ni'shi'hao 牵溺嗜好
'qian'shou'yi 谦受益
'qian'sui'fu'yi 潜虽伏矣
'qian'zai'si'zhong'suo'yun'jing'zuo'shi 前在寺中所云静坐事
'qian'zui'bai'e 千罪百恶
'qie'cuo'di'li 切磋砥砺
'qie'wu'shu'yu'qian'guo 且无赎于前过
'qie'xu'sui'ji'dao'yin 且须随机导引
'qie'xu'yuan'zhi'deng'an 且须援之登岸
'qin'min 亲民
'qin'qi'qin 亲其亲
'qin'qin'ren'min 亲亲仁民
'qin'shou 禽兽
'qin'xue 勤学
'qin'xue'hao'wen 勤学好问
'qing'li'hai 轻利害
'qing'wen 请问
'qiong'li 穷理
'qiu'dao 求道
'qiu'dao'zhe'shao 求道者少
'qiu'qi'fang'xin 求其放心
'qiu'ren 求仁
'qu'bo'yu 蘧伯玉
'qu'dao'yi'yuan 去道益远
'qu'qiao 躯壳
'qu'qu 区区
'qu'qu'dao'hou'lu 区区叨厚禄
'qu'qu'zai'wai'zhi'rong'ru'de'sang 区区在外之荣辱得丧
'qu'quan'jian 去权奸
'qu'yang'ming'dong'fang'shu'shi'li'er 去阳明洞方数十里耳
'quan'jian 权奸
'quan'qi'hou 劝其厚
'quan'ti 全体
'quan'wen'zong'jie 全文总结
'quan'wu'shi 劝吾仕
'quan'zhe 权者
'que'bu'de'yi'ci'shao'dong'qi'xin 却不得以此稍动其心
'que'ran'bu'yi 确然不疑
'que'shi 却是
'qun'ru 群儒
'ran'bu'hai'qi'zu'wei'da'xian'zhe 然不害其卒为大贤者
'ran'dao'li'shi'ru'ci'ye 然道理实如此也
'ran'er 然而
'ran'er'mo'gan'wei'bi'xia'yan'zhe 然而莫敢为陛下言者
'ran'hou 然后
'ran'hou'neng'jin'wu'zhi'xing 然后能尽物之性
'ran'qi'li'xin'ze'yi 然其利心则一
'ran'si'xin'qie'bu'yi'wei'ran 然私心切不以为然
'ran'wei'gu'zhi'shu'ji'ye 然谓古之庶几也
'ran'wei'zhi'ji'yan 然为知己言
'ran'xu'zhong'gao'er'shan'dao'zhi 然须忠告而善道之
'ran'yi'bu'dang'yi'ci'zi'qian 然亦不当以此自歉
'ran'you'shen'wei'zhi'shi'you'ye 然又甚为执事忧也
'ran'ze 然则
'ran'ze'zi'shi'er'hou 然则自是而后
'ran'zi'ta'ren'shi'zhi 然自他人视之
'ren'ben'lai'mian'mu 认本来面目
'ren'dao 任道
'ren'de 认得
'ren'guo'sui'wei'suo'qi 人果遂为所欺
'ren'guo'sui'yi'bi'wei'wu'neng 人果遂以彼为无能
'ren'jian'geng'fu'you'he'le 人间更复有何乐
'ren'li'suo'tong 人力所通
'ren'min'xu'yue 人民胥悦
'ren'nei'yi'wai 仁内义外
'ren'qin'yi'wei'bao 仁亲以为宝
'ren'qing'ren'yi 任情任意
'ren'ren 人人
'ren'ren'zhe 仁人者
'ren'ren'zhi'xin 仁人之心
'ren'sui'zhi'yu 人虽至愚
'ren'wei'shi'shi'wu'fan'wu'yin 人谓事师无犯无隐
'ren'wu'zhi'dong 壬午之冬
'ren'xin 人心
'ren'xin'wei'wei 人心惟危
'ren'xin'zhi'ling 人心之灵
'ren'yan'bu'ru 人言不如
'ren'yi 仁义
'ren'yi'li'zhi 仁义礼智
'ren'yi'shi'er'jia'zhu'wo 人以是而加诸我
'ren'yu 人欲
'ren'zai'shi'tu 人在仕途
'ren'zhe'zhi'xin'zi'ran'ruo'ci 仁者之心自然若此
'ren'zhi'qi'suo'qin'ai 人之其所亲爱
'ren'zhi'shi'ji 人之视己
'ren'zhi'wu'liang 人之无良
'ren'zhong'dao'yuan 任重道远
'ren'zhong'er'dao'yuan 任重而道远
'ri'xin'zhi'gong 日新之功
'ri'yuan'ri'hui 日远日晦
'ri'yue 日月
'ri'yue'dai'ming 日月代明
'ri'yue'suo'zhao 日月所照
'ri'yue'zhi'dai'ming 日月之代明
'ru'ci 如此
'ru'ci'er'bu'wei'shan'ke'ye 如此而不为善可也
'ru'ci'er'er'deng'bu'ting 如此而尔等不听
'ru'ci'er'wei'e'ke'ye 如此而为恶可也
'ru'de 入德
'ru'di'shang'chen 如地上尘
'ru'e'e'chou 如恶恶臭
'ru'hao'hao'se 如好好色
'ru'he 如何
'ru'he'zuo'de 如何做得
'ru'jian'qi'fei'gan'ran 如见其肺肝然
'ru'jin 如今
'ru'jin'lv'xiang'jie'ran 如今闾巷皆然
'ru'ju'ru'qiu 如拘如囚
'ru'qi'wei'shan 如其未善
'ru'ren'zai'da'hai'bo'tao'zhong 如人在大海波涛中
'ru'wu'duo'zhi'zhou 如无舵之舟
'ru'xie'zhen'chuan'shen 如写真传神
'ru'yi 汝以
'ru'zhe 儒者
'run'se'xiu'ju 润色修举
'ruo'ji'wei'jun'zi 若己为君子
'ruo'shi 若是
'ruo'shi'yi'qie'zong'ren'yu'mie'tian'li'de'shi 若是一切纵人欲灭天理的事
'ruo'xi'yuan'suo'chu 若希渊所处
'ruo'xian'bao'bai'qi'guo'e 若先暴白其过恶
'ruo'yi'yi'shi'tou'zhi'bo'tao'zhong 若以衣食投之波涛中
'ruo'yue'wu'xi'yi'ru'ci 若曰吾昔已如此
'ruo'zai'chi'er'san'yue 若再迟二三月
'ruo'zi'ji'bing'tong'wei'neng'chu'de 若自己病痛未能除得
'san'chong 三重
'san'wang 三王
'shan'e 善恶
'shan'zhe 善者
'shang'bu'kui'yu'wu'lou 尚不愧于屋漏
'shang'gan'lei'ting'zhi'nu'zhe 上干雷霆之怒者
'shang'lao'lao 上老老
'shang'lv'tian'shi 上律天时
'shang'tian'zhi'zai 上天之载
'shang'wei 尚未
'shang'wei'de'bao 尚未得报
'shang'xu'gu 上恤孤
'shang'yan'zhe 上焉者
'shang'you 尚有
'shang'zhang'chang 上长长
'she'hui'zhi'li 社会治理
'shen'du 慎独
'shen'me 什么
'shen'ren'tian'xia 身任天下
'shen'shou'ze'tian'guang'fa 神守则天光发
'shen'si 慎思
'shen'si'ming'bian 慎思明辨
'shen'wen 审问
'shen'xi 甚喜
'shen'xian'zhi'xue 神仙之学
'shen'xiu'ze'he 身修则和
'shen'you'suo'fen 身有所忿
'shen'yu'shi'jia'pai'fa 申谕十家牌法
'shen'zhi'zhu'zai'bian'shi'xin 身之主宰便是心
'sheng'de 圣德
'sheng'de'zhao'bu'yuan'er 圣德昭布远迩
'sheng'hu'jin'zhi'shi 生乎今之世
'sheng'jin'zhi'shi 生今之世
'sheng'ming'yang'yi 声名洋溢
'sheng'ren 圣人
'sheng'ren'qing'shun 圣人情顺
'sheng'ren'shu'liu'jing 圣人述六经
'sheng'ren'zhi'dao 圣人之道
'sheng'ren'zhi'xue 圣人之学
'sheng'se'zhi'yu'yi'hua'min 声色之于以化民
'sheng'shen'li'ming'zhi'yuan 生身立命之原
'sheng'xian 圣贤
'sheng'xian'bi'zhi'shu 圣贤笔之书
'sheng'xian'chu'mo'shi 圣贤处末世
'sheng'xian'zhi'xue 圣贤之学
'sheng'xue'hui 圣学晦
'sheng'yi'bu'qiong 生意不穷
'sheng'zhe'shuai'zhi'shi 盛者衰之始
'sheng'zhi 生知
'sheng'zhi'an'xing 生知安行
'shi'bi'wen'zhi'er'ke'cong 使彼闻之而可从
'shi'bi'xia'you'sha'jian'chen'zhi'ming 使陛下有杀谏臣之名
'shi'bu'ke'yi'bu'hong'yi 士不可以不弘毅
'shi'chang'luan'dao'jian'ye 是长乱导奸也
'shi'chu 时出
'shi'chu'zhi 时出之
'shi'cuo'zhi'yi 时措之宜
'shi'dang'lian'hui 时当敛晦
'shi'dao'ye 是道也
'shi'di'li'zhi'shuo 示弟立志说
'shi'er'bu'jian 视而不见
'shi'er'bu'zhi'qi'wei 食而不知其味
'shi'fei 是非
'shi'gu'jun'zi'bu'shang'er'min'quan 是故君子不赏而民劝
'shi'gu'wei'li'yi'er'shou'xiao'pu 是故为力易而收效溥
'shi'ji'man'mo 施及蛮貊
'shi'ji'zhi'er'shi'wei'e'yi 是激之而使为恶矣
'shi'jia'pai 十家牌
'shi'jian 实践
'shi'jian'xing'qu 识见兴趣
'shi'jing 诗经
'shi'mi'you'zheng 时靡有争
'shi'qi'ren'zi'bing'sui'shen'chao'mai 使其人资禀虽甚超迈
'shi'qi'ren'zi'bing'sui'shen'lu'dun 使其人资禀虽甚鲁钝
'shi'shi 时时
'shi'shi'neng'you'de'li'chu 始是能有得力处
'shi'shi'zhong'qi'ni 是适重其溺
'shi'su'duo'suo'xi'chuan 世俗多所喜传
'shi'su'zhi'si'qing 世俗之私情
'shi'ti'ren 实体认
'shi'tian 事天
'shi'tu 仕途
'shi'wei'e'er'fu'mu'ai'zhi 使为恶而父母爱之
'shi'wei'shan'er'fu'mu'nu'zhi 使为善而父母怒之
'shi'wei'tian'xia'dao 世为天下道
'shi'wei'tian'xia'fa 世为天下法
'shi'wei'tian'xia'ze 世为天下则
'shi'wen'er'wan'ran 始闻而惋然
'shi'wen'zhi'xi 诗文之习
'shi'wu 事物
'shi'wu'er'shi'ye 使吾而是也
'shi'wu'min'han'wu'yi 使吾民寒无衣
'shi'wu'suo'rong 使无所容
'shi'xi'deng'reng'jiu'gong'zhi 使铣等仍旧供职
'shi'yi'chang'qi'ao'ye 适以长其敖也
'shi'yi'dong'bi'you'cheng'er'ji'wu'bu'li 是以动必有成而吉无不利
'shi'yi'sheng'ming'yang'yi'hu'zhong'guo 是以声名洋溢乎中国
'shi'yi'shi'qi'wei'ye 适以饰其伪也
'shi'yi'si'qi'bian'ye 适以肆其辨也
'shi'yi'wang'wang'hui'duo'wu'li 是以往往隳堕无立
'shi'yi'xing'qi'e'ye 适以行其恶也
'shi'you'zhong'shi 事有终始
'shi'yue 诗曰
'shi'yun 诗云
'shi'ze'xin'yi 是则信矣
'shi'zhong'ze'shi'guo 失众则失国
'shou'qian'chui 受钳锤
'shou'tang'yun'gu'xu 寿汤云谷序
'shou'zu'zhi'bu'ke'shi'wei'bi 手足之不可使痿痹
'shu'bu'jiu'chi'mi 庶不就弛靡
'shu'du 叔度
'shu'ji'su'ye 庶几夙夜
'shu'ji'yi 庶几矣
'shu'lai'quan'wu'shi 书来劝吾仕
'shu'min 庶民
'shu'tong'wen 书同文
'shu'wu'yi'jiang'luo'cheng 书屋亦将落成
'shu'xu'ru'pei'juan 书徐汝佩卷
'shu'zheng'xian'shan 书正宪扇
'shuai'xing 率性
'shuang'lu'suo'zhui 霜露所坠
'si'ming 俟命
'si'qi'gan'fa'xing'qi 俟其感发兴起
'si'shi 四时
'si'shu 四书
'si'suo 思索
'si'xin 私心
'si'yi 私意
'si'yu 私欲
'si'yu'ri'sheng 私欲日生
'si'zhe'dao'zhi'zheng'ye 四者道之证也
'si'zhi 四肢
'si'zhi'he'yi 思之何益
'song'zong'bo'qiao'bai'yan'xu 送宗伯乔白岩序
'sou'xun'chu'lai 搜寻出来
'su'fu'gui 素富贵
'su'huan'nan 素患难
'su'pin'jian 素贫贱
'su'pin'jian'huan'nan 素贫贱患难
'su'zhi'xian'ni 俗之陷溺
'sui'mian'xi'ju'ye 虽勉习举业
'sui'nei'yu'gai'guo'cong'shan'zhi'xin 遂馁于改过从善之心
'sui'qing'zhuo'bu'tong 虽清浊不同
'sui'ran 虽然
'sui'shan'bu'zun 虽善不尊
'sui'shan'wu'zheng 虽善无征
'sui'ta'duo'shao'xie'si'wang'nian 随他多少邪思枉念
'sui'tian'gou'he 遂填沟壑
'sui'xi'wei'kou'dao 虽昔为寇盗
'sui'you'cong'ming 虽有聪明
'sui'you'wei 虽有位
'sui'yu'jiang'yi'xiang'cong 虽欲降以相从
'sui'yu'mian'jin'er'you'suo'bu'neng 虽欲勉进而有所不能
'sui'yue'bu'dai 岁月不待
'suo'bu'lun'ye 所不论也
'suo'e'yu'hou 所恶于后
'suo'e'yu'qian 所恶于前
'suo'e'yu'shang 所恶于上
'suo'e'yu'xia 所恶于下
'suo'e'yu'you 所恶于右
'suo'e'yu'zuo 所恶于左
'suo'wei 所谓
'suo'wei'gong'ming 所谓功名
'suo'wei'kun'wang'zhi'bing 所谓困忘之病
'suo'wei'zhi'de'sa'sao'ying'dui 所谓知得洒扫应对
'suo'yi 所以
'suo'yi'ji'ji'yu'shi 所以汲汲于是
'suo'yi'shi'chang'ye 所以事长也
'suo'yi'shi'jun'ye 所以事君也
'suo'yi'shi'zhong'ye 所以使众也
'suo'yu'ru'ci 所遇如此
'tai'xu 太虚
'tan'zhi'yu'jing 探之愈精
'tang'yu'san'dai 唐虞三代
'tao'yin'jun'zhi'yi'ji 陶隐君之遗迹
'tao'yu'tian'di'zhi'wai 逃于天地之外
'tao'zhi'yao'yao 桃之夭夭
'ti'ren 体认
'tian'dao'bu'xi'ju 天道不翕聚
'tian'di 天地
'tian'di'wan'wu 天地万物
'tian'di'wan'wu'yi'ti 天地万物一体
'tian'di'wei 天地位
'tian'di'wei'yan 天地位焉
'tian'di'zhi'wu'bu'chi'zai 天地之无不持载
'tian'jun'tai'ran 天君泰然
'tian'li 天理
'tian'li'zhi'zai'ren'xin 天理之在人心
'tian'xia 天下
'tian'xia'shi'sui'wan'bian 天下事虽万变
'tian'xia'wu'ke'cheng'zhi'shi 天下无可成之事
'tian'xia'you'you'xin'wai'zhi'shi 天下又有心外之事
'tian'xia'zhi'da'li'da'hai'ye 天下之大利大害也
'tian'xia'zhi'wu 天下之物
'tian'zhi 天之
'tian'zhi'suo'fu 天之所覆
'tian'zhi'zhi'mei 天质之美
'tian'zi 天子
'ting'er'bu'wen 听而不闻
'ting'song 听讼
'tong'hui'ji'di 痛毁极底
'tong'zai 痛哉
'tong'zhi 同志
'tou'nao 头脑
'tu'fang'xin'er 徒放心耳
'tu'fu'zhi'hao'tan'er'yi 徒付之浩叹而已
'tuan'bao'kui'xiang 团保馈饷
'tui'er'bu'neng'yuan 退而不能远
'tuo'ji'er'xing 托疾而行
'wai'ben'nei'mo 外本内末
'wai'gao'er'zhong'ze 外槁而中泽
'wai'mian'shi'fei'hui'yu 外面是非毁誉
'wan'wu 万物
'wan'wu'bing'yu 万物并育
'wan'wu'bing'yu'er'bu'xiang'hai 万物并育而不相害
'wan'wu'yi'ti 万物一体
'wan'wu'yu 万物育
'wan'wu'yu'yan 万物育焉
'wan'yi'you'jin'yu'shi'zhe 万一有近于是者
'wang'dao'xi 王道熄
'wang'guo'zhi'yin'ye 亡国之音也
'wang'jing'yan'jin'yi'chu'zai'da'ming 汪景颜近亦出宰大名
'wang'ren'wu'yi'wei'bao 亡人无以为宝
'wang'sheng'yi'ju 妄生疑惧
'wang'tian'xia 王天下
'wang'wang 往往
'wang'yang'ming'xin'xue'ming'ju'ci'ku'zheng'li 王阳明心学名句词库整理
'wei'bu'shan 为不善
'wei'chang 未尝
'wei'chi 为耻
'wei'ci 为此
'wei'da'li'liang 伟大力量
'wei'dang'li'bian'shi'si'xin 未当理便是私心
'wei'dang'li'hai 惟当利害
'wei'e'ruo'bu'zhi'gai 为恶若不知改
'wei'e'ze'fu'mu'nu'zhi 为恶则父母怒之
'wei'fa'zhi'zhong 未发之中
'wei'huan'duo'zhi 惟患夺志
'wei'jin 未尽
'wei'jin'zhe'shen'ku 为金者甚苦
'wei'jing 惟精
'wei'jing'wei'yi 唯精唯一
'wei'mian 未免
'wei'ming'bu'yu'chang 惟命不于常
'wei'ming'yu'wei'li 为名与为利
'wei'neng 未能
'wei'qi'hua'mei'tai'fa'lu'er 为其华美太发露耳
'wei'qi'neng'gai'ye 为其能改也
'wei'qiong 未穷
'wei'shan'sui'ren'bu'zhi 为善虽人不知
'wei'shan'yi'wei'bao 惟善以为宝
'wei'shan'ze'fu'mu'ai'zhi 为善则父母爱之
'wei'tian'xia'zhi'cheng 唯天下至诚
'wei'tian'xia'zhi'sheng 唯天下至圣
'wei'xia 为下
'wei'xia'bu'bei 为下不倍
'wei'yi 威仪
'wei'yi 惟一
'wei'yi'cheng'de'wei'shi 惟以成德为事
'wei'yi'san'qian 威仪三千
'wei'yi'ti 为一体
'wei'you 未有
'wei'zei'zhi'qin'ku'jing'li 为贼之勤苦精力
'wei'zhi 谓之
'wei'zhi'wei'ji 未知为己
'wen'er'li 温而理
'wen'gu'zhi'xin 温故知新
'wen'jian 闻见
'wen'jian'zhi'bo 闻见之博
'wen'li'mi'cha 文理密察
'wen'qing'ding'sheng 温凊定省
'wen'rou'dun'hou 温柔敦厚
'wen'wang 文王
'wen'wei 文蔚
'wen'wu'zhi'fa 文武之法
'wen'zhi'xi'ji 闻之喜极
'wen'zhong 文仲
'wo'gui'wo'zhe'gui 我贵我者贵
'wo'ze'ke'yi'wu'han'yi 我则可以无憾矣
'wu'an'neng'xiao'bu'ren'yu'chun'fu 吾安能小不忍于纯甫
'wu'bei'yong'gong'zhi'qiu'ri'jian 吾辈用功只求日减
'wu'bu 无不
'wu'chu 无处
'wu'cong'zhou 吾从周
'wu'de 无德
'wu'e'yu'zhi 无恶于志
'wu'er'fei'ye 吾而非也
'wu'er'wei'you 无而为有
'wu'fei 无非
'wu'fei'cheng'fu'shui'wang'xie 吾非诚甫谁望邪
'wu'ge 物格
'wu'hu 呜呼
'wu'hu 毋忽
'wu'ji'er'tai'ji 无极而太极
'wu'ji'tai'ji 无极太极
'wu'jiang'ying 无将迎
'wu'jin'te'qian'ren'fu'yu'er'deng 吾今特遣人抚谕尔等
'wu'jing 五经
'wu'ke'yu'yu'zhe 无可与语者
'wu'nei'wai 无内外
'wu'neng'zi'chu 无能自处
'wu'qi'you'cheng 务期有成
'wu'qing 无情
'wu'qing'zhe 无情者
'wu'ren 无人
'wu'ru'er'bu'zi'de 无入而不自得
'wu'sheng'wu'xiu 无声无臭
'wu'shi 吾师
'wu'shi 无事
'wu'shuo'xia'li 吾说夏礼
'wu'si'xin'ji'shi'dang'li 无私心即是当理
'wu'suo 无所
'wu'suo'bu'zhi 无所不至
'wu'wang 勿忘
'wu'wang'wu'zhu 勿忘勿助
'wu'wei 无位
'wu'xian'zhi'ma 无衔之马
'wu'xiang'xia'ze'de'yi 务相下则得益
'wu'xin'wu'zhi'xin 吾信吾之心
'wu'xin'yi'wu'bu'jin 吾心已无不尽
'wu'xin'zhi'quan'ti'da'yong 吾心之全体大用
'wu'xing'zi'zu 吾性自足
'wu'xue'yin'li 吾学殷礼
'wu'xue'zhou'li 吾学周礼
'wu'yan'yi'wu'bu'jin 吾言已无不尽
'wu'yi 吾以
'wu'yi'cong'qian 毋以从前
'wu'yi'fei'jie'shen'zhe 吾亦非洁身者
'wu'yi'jiao'yu'you 毋以交于右
'wu'yi'jiao'yu'zuo 毋以交于左
'wu'yi'shi'shang 毋以事上
'wu'yi'shi'xia 毋以使下
'wu'yi'xian'hou 毋以先后
'wu'you'ben'mo 物有本末
'wu'you'ren'ye 吾犹人也
'wu'you'you'guo'er'bu'zi'zhi'zhe 无有有过而不自知者
'wu'yu 物欲
'wu'yu'qie'ji'chu'zhuo'shi'yong'li 务于切己处着实用力
'wu'yu'shi'wu'min'bi'er 吾欲使吾民避尔
'wu'zhe 五者
'wu'zheng'bu'xin 无征不信
'wu'zhi'bing'liang'wu'qiong 吾之兵粮无穷
'wu'zi'qi 毋自欺
'xi'deng'zai'dao'huo'zhi'shi'suo 铣等在道或致失所
'xi'qi'zhong'ai 悉其忠爱
