'a'mi'tuo'fo'chun 阿弥驼佛纯
'yu'jian'ji'gui'feng'di'gao 遇贱即贵逢低高
'yu'si'da'di'chun'zi'lai 雨思大地春自来
'yu'yi'ni'chang'yun'wei'xian 羽衣霓裳云为线
'yuan'bu'kong'you'xin'xiang'yin 缘不空有心相印
'yuan'sheng'yuan'mie'kong 缘生缘灭空
'yuan'shi'fo'shuo'zai'lian'tai 原是佛说在莲台
'yuan'ze'li'suo'po 愿则离娑婆
'yun'ben'wu'lu'yin'feng'hui 云本无路因峰回
'yun'ju'yun'san'yin'feng'luo 云聚云散因风落
'yun'juan'yun'shu'yun'fan'gun 云卷云疏云翻滚
'yun'xia'chun'feng'yi'pian'lv 云下春风一片绿
'zen'pa'zi'xin'lei'gen'chen 怎怕自心累根尘
'zhai'feng'dian'dian'bu'rong'zhen 窄缝点点不容针
'zhan'qun'xie'bao'jian 斩群邪宝剑
'zhi'jian'shen'bian'chu 只见身边处
'zhi'shi'wei'dao'shang'xin'chu 只是未到伤心处
'zhi'wei'ni'xing'fu 只为你幸福
'zhi'yao'yi'nian'qi'yi'xin 只要一念起一心
'zhi'yin'wang'xiang'gu 只因妄想故
'zhi'yin'xin'xu'qi'wai'yuan 只因心绪起外缘
'zhong'shan'long'pan'yue'tian'fu 钟山龙盘越天府
'zhu'lin'ge'zi'kou'xian'hua 竹林鸽子口衔花
'zhu'ma'po'qian'yi'wu'hou 驻马坡前忆武侯
'zhuan'yan'shi'jie'da'bian'qian 转眼世界大变迁
'zhuang'zhe'san'jia'cun'li'lai 撞着三家村里来
'zhui'ci'bu'teng'zhen'ci'teng 锥刺不疼针刺疼
'zi'dang'yong'meng'jing'jin'qiu 自当勇猛精进求
'zi'lan'hua'xiang'kai 紫兰花香开
'zi'xin'ben'lai'shen'bian'shi 自心本来身边事
'zi'xin'nian'fo'neng 自信念佛能
'zi'xin'ru'shu'gen 自信如树根
'zi'xing'mi'tuo'shen'bian'lai 自性弥陀身边来
'zong'ran'feng'du'yu'pian'pian 纵然风度与翩翩
'zong'shi'tai'ping'an'le'duo 纵使太平安乐多
'zong'shi'tu'po'san'da'qian 纵使突破三大千
'zong'shi'zi'zai'bai'he'fei 总是自在白鹤飞
'zong'you'huang'tu'bei'tian'shi 总有黄土背天时
'zu'shi'zai'shi'ye'wang'ran 祖师在世也枉然
'zui'zun'zui'shang'men 最尊最上门
'zuo'deng'mi'tuo'xia'fan'jian 坐等弥陀下凡间
