'ai'er'bu'neng'ling 爱而不能令
'li'bu'dong 利不动
'li'cong'jin'qu'hai'yi'yuan'ge 利从近取害以远隔
'li'dai'tao'jiang 李代桃僵
'li'er'you'zhi 利而诱之
'li'liang'dao 利粮道
'li'qi'bu'zi'zhu'er'qu'zhi 利其不自主而取之
'li'qi'jing'er'you'zhu 利其静而有主
'li'qi'ruo'er'wu'zhu 利其弱而无主
'li'qu'zhong'yuan'nei'xu'yu'jia 力屈中原内虚于家
'li'xiao'shi'da 力小势大
'li'ye'zhong'shu 利也众树
'li'yong'yu'kou'shun'xiang'bao'ye 利用御寇顺相保也
'li'yu'bu'bai'zhi'di 立于不败之地
'li'yu'lang'miao'zhi'shang 厉于廊庙之上
'li'zu'wu 吏卒无
'lian'huan'ji 连环计
'lian'jie'ke'ru 廉洁可辱
'liang'bu'san'zai 粮不三载
'liang'da'zhi'jian 两大之间
'liang'jiang'duo'zhi 良将惰之
'liang'jiang'jing'zhi 良将警之
'liang'sheng'shu 量生数
'liao'di'zhi'sheng 料敌制胜
'ling'ban'du'er'ji'zhi'li 令半渡而击之利
'ling'di'ban'chu'er'ji'zhi'li 令敌半出而击之利
'ling'fa'zhi'ri 令发之日
'ling'min'yu'shang'tong'yi 令民于上同意
'ling'su'xing'yi'jiao'qi'min 令素行以教其民
'ling'su'xing'zhe 令素行者
'liu'zhe 六者
'liu'zhi'jiang'bu'ting'wu'ji 留之将不听吾计
'long'zhan'yu'ye 龙战于野
'luan'er'bu'neng'zhi 乱而不能治
'luan'er'qu'zhi 乱而取之
'luan'sheng'yu'zhi 乱生于治
'luan'ye'li'nu'zhe 乱也吏怒者
'lue'xiang 掠乡
'lue'yu'rao'ye 掠于饶野
'ma'mai'lun 马埋轮
'man'tian'guo'hai 瞒天过海
'mei'ren'ji 美人计
'mei'zhan'bi'bai 每战必败
'min'bu'fu 民不服
'min'ji'zhuan'yi 民既专一
'min'zhi'si'ming 民之司命
'ming'yue'fei'liu 命曰费留
'mo'nan'yu'jun'zheng 莫难于军争
'mo'zhi'suo'zhi 莫知所之
'mo'zhi'wu'suo'yi'zhi'sheng'zhi'xing 莫知吾所以制胜之形
'mou'gong'di'san 谋攻第三
'mou'gong'pian 谋攻篇
'mou'ye 谋也
'mu'qi'gui 暮气归
'mu'shi 木石
'nai'wei'zhi'shi 乃为之势
'nan'yi'fan 难以返
'nan'zhi'ru'yin 难知如阴
'nei'wai'sao'dong 内外骚动
'neng'shi'di'ren'qian'hou'bu'xiang'ji 能使敌人前后不相及
'neng'shi'di'ren'zi'zhi'zhe 能使敌人自至者
'neng'wei'bu'ke'sheng 能为不可胜
'neng'yi'zhong 能以众
'neng'yin'di'bian'hua'er'qu'sheng'zhe 能因敌变化而取胜者
'neng'yu'shi'zu'zhi'er'mu 能愚士卒之耳目
'ning'wei'zuo'bu'zhi'bu'wei 宁伪作不知不为
'nu'er'nao'zhi 怒而挠之
'nu'ke'yi'fu'xi 怒可以复喜
'nu'ye'qu'di'zhi'li'zhe 怒也取敌之利者
'pao'zhuan'yin'yu 抛砖引玉
'pi'ru'shuai'ran 譬如率然
'pi'ruo'jiao'zi 譬若骄子
'pi'zhe'hou 疲者后
'pin'geng'qi'zhen 频更其阵
'pin'yu'shi'zhe'yuan'shu 贫于师者远输
'ping'lu'chu'yi 平陆处易
'po'guo'ci'zhi'quan'jun'wei'shang 破国次之全军为上
'po'jun'ba'ma 破军罢马
'po'jun'ci'zhi'quan'lv'wei'shang 破军次之全旅为上
'po'lv'ci 破旅次
'po'wu'ci'zhi 破伍次之
'po'zu'ci'zhi'quan'wu'wei'shang 破卒次之全伍为上
'qi'ci'fa'bing 其次伐兵
'qi'dao'qiong'ye 其道穷也
'qi'fa'ban'zhi'san'shi'li 其法半至三十里
'qi'fa'shi'yi 其法十一
'qi'guo'ke'hui 其国可隳
'qi'huo'you'ri 起火有日
'qi'jie'duan 其节短
'qi'shi'wan'jia 七十万家
'qi'shi'zi'bi 其势自毙
'qi'suo'ai 其所爱
'qi'suo'cuo'sheng 其所措胜
'qi'ti'shuai'yu'zhi'shen 其梯帅与之深
'qi'xia'gong'cheng 其下攻城
'qi'xian'de'zhe'er'geng'qi'jing'qi 其先得者而更其旌旗
'qi'xiang'jiu'ye'ru'zuo'you'shou 其相救也如左右手
'qi'xu'ru'lin 其徐如林
'qi'ye'ban'jin'ban'tui'zhe 期也半进半退者
'qi'yong'zhan'ye 其用战也
'qi'yu'ke'yi'wei'yi'ye 其羽可以为仪也
'qi'zhan'ren'ye 其战人也
'qi'zhe 旗者
'qi'zheng'shi'ye'bing'zhi'suo'jia 奇正是也兵之所加
'qi'zheng'xiang'sheng 奇正相生
'qi'zhi'yi'wu 齐之以武
'qian'bu'neng'jiu'hou 前不能救后
'qian'li'kui'liang 千里馈粮
'qian'li'sha'jiang 千里杀将
'qian'si'hou'sheng 前死后生
'qian'ze'san 浅则散
'qiang'er'bi'zhi 强而避之
'qiao'cai'ye'shao'er'wang'lai'zhe 樵采也少而往来者
'qie'sheng'yu'yong 怯生于勇
'qie'zhe'bu'de'du'tui 怯者不得独退
'qin'er'li'zhi 亲而离之
'qin'lue'ru'huo 侵掠如火
'qin'zei'qin'wang 擒贼擒王
'qing'di'wu'jiang'shi'zhi'shu 轻地吾将使之属
'qing'di'ye'bei'gu'qian'ai'zhe 轻地也背固前隘者
'qing'di'ze'wu'zhi 轻地则无止
'qing'zhe 情者
'qiong'kou'wu'po 穷寇勿迫
'qiong'kou'ye 穷寇也
'qiu'ling'di'fang 丘陵堤防
'qiu'niu'da'che 丘牛大车
'qiu'zhi'yu'shi 求之于势
'qu'di'he'jiao 衢地合交
'qu'di'wu'jiang'jin'qi'shi 衢地吾将谨其恃
'qu'di'ye 衢地也
'qu'di'ze'he'jiao 衢地则合交
'qu'er'lai 驱而来
'qu'er'wang 驱而往
'qu'guo'yue'jing'er'shi'zhe 去国越境而师者
'qu'li'dan'huo 屈力殚货
'qu'qi'suo'bu'yi 趋其所不意
'qu'ren'zhi'bing'er'fei'zhan'ye 屈人之兵而非战也
'qu'shen'zhi'li 屈伸之力
'qu'yong'yu'guo 取用于国
'qu'zhi 去之
'qu'zhi'guan'dao'zhu'yong'ye 曲制官道主用也
'qu'zhu'hou'zhe'yi'li 趋诸侯者以利
'quan'guo'wei'shang 全国为上
'quan'shi'bi'di 全师避敌
'ran'hou'neng'wei'sheng 然后能为胜
'ran'hou'shi'wan'zhi'shi'ju'yi 然后十万之师举矣
'ren'bu'zi'hai 人不自害
'ren'jie'zhi'wo'suo'yi'sheng'zhi'xing 人皆知我所以胜之形
'ren'qing'zhi'li 人情之理
'ren'shi'zhe 任势者
'ri'fei'qian'jin 日费千金
'ri'ye'bu'chu 日夜不处
'ri'you'duan'chang 日有短长
'ri'yue'shi'ye 日月是也
'ri'zhe 日者
'ru'deng'gao'er'qu 如登高而去
'ru'shen'zhe 入深者
'ru'xun'huan'zhi'wu'duan 如循环之无端
'ru'yi'tou'luan'zhe 如以投卵者
'ru'zhu'hou'zhi'di 入诸侯之地
'ru'zhuan'mu'shi 如转木石
'ru'zhuan'yuan'shi 如转圆石
'rui'zu'wu'gong 锐卒勿攻
'ruo'di'xian'ju'zhi 若敌先居之
'ruo'jiao'jun'yu'chi'ze'zhi'zhong 若交军于斥泽之中
'ruo'jue'ji'shui'yu'qian'ren'zhi'xi'zhe 若决积水于千仞之溪者
'ruo'qu'qun'yang 若驱群羊
'ruo'sheng'yu'qiang 弱生于强
'ruo'shi'yi'ren 若使一人
'ruo'ze'neng'bi'zhi 若则能避之
'sai'qi'que 塞其阙
'san'er'hou'qin 散而后擒
'san'jun'ji 三军既
'san'jun'ke'duo'qi 三军可夺气
'san'jun'zu'shi 三军足食
'san'yue'di 三曰地
'san'yue'huo'zi 三曰火辎
'san'yue'shu 三曰数
'sha'shi'zu'san'fen'zhi'yi 杀士卒三分之一
'shan'gong'zhe'dong'yu'jiu'tian'zhi'shang 善攻者动于九天之上
'shan'shou'zhe'cang'yu'jiu'di'zhi'xia 善守者藏于九地之下
'shan'yong'bing'zhe 善用兵者
'shan'zhi'shan'zhe'ye 善之善者也
'shang'fa'shu'ming 赏罚孰明
'shang'huo'xia'ze 上火下泽
'shang'jiang'zhi'dao'ye 上将之道也
'shang'wu'chou'ti 上屋抽梯
'shang'xia'bu'xiang'shou 上下不相收
'shang'xia'tong'yu'zhe'sheng 上下同欲者胜
'shang'yu'shui'liu'zhi 上雨水流至
'shao'ze'neng'tao'zhi 少则能逃之
'shen'jian'bu'neng'kui 深间不能窥
'shen'ru'ze'ju 深入则拘
'shen'ru'ze'zhuan 深入则专
'shen'xi'shi'zu'ru'ai'zi 深溪视卒如爱子
'shen'ze'zhuan 深则专
'sheng'bu'guo'wu 声不过五
'sheng'dong'ji'xi 声东击西
'sheng'fu'jian'yi 胜负见矣
'sheng'jiu'ze'dun'bing'cuo'rui 胜久则钝兵挫锐
'sheng'nai'bu'dai'zhi'tian'zhi'di 胜乃不殆知天知地
'sheng'nai'ke'quan 胜乃可全
'sheng'yi'bai'zhe'ye 胜已败者也
'sheng'yu'yi'sheng'zhe'ye 胜于易胜者也
'sheng'zhan'ji 胜战计
'sheng'zhi'ban'ye'zhi'di'zhi'ke'ji 胜之半也知敌之可击
'shi'bi'you'sun 势必有损
'shi'di'yi'zhong 食敌一钟
'shi'er'tong'san'jun'zhi'zheng 事而同三军之政
'shi'gu'bai'zhan'bai'sheng 是故百战百胜
'shi'gu'bu'zheng'tian'xia'zhi'jiao 是故不争天下之交
'shi'gu'bu'zhi'zhu'hou'zhi'mou'zhe 是故不知诸侯之谋者
'shi'gu'fang 是故方
'shi'gu'juan'jia'er'qu 是故卷甲而趋
'shi'gu'jun'wu'zi'zhong'ze'wang 是故军无辎重则亡
'shi'gu'qi'bing'bu'xiu'er'jie 是故其兵不修而戒
'shi'gu'qu 是故屈
'shi'gu'san'di'wu'jiang'yi'qi'zhi 是故散地吾将一其志
'shi'gu'san'di'ze'wu'zhan 是故散地则无战
'shi'gu'sheng'bing 是故胜兵
'shi'gu'zhao'qi'rui 是故朝气锐
'shi'gu'zheng'ju 是故政举
'shi'gu'zhi'zhe'zhi'lv 是故智者之虑
'shi'ji'pian 始计篇
'shi'jun'nan'yi 势均难以
'shi'min'bu'de'lv 使民不得虑
'shi'qi'suo'kuang'ye 实其所诳也
'shi'qi'xian'ye'yuan'er'tiao'zhan'zhe 恃其险也远而挑战者
'shi'qi'zi'lei 使其自累
'shi'qu'qi'liu 十去其六
'shi'qu'qi'qi'gong'jia'zhi'fei 十去其七公家之费
'shi'ren'bei'ji'zhe'ye 使人备己者也
'shi'ren'jin'li 士人尽力
'shi'ren'wu'shi'yi'qi'ju 使人无识易其居
'shi'ru'kuo'nu 势如扩弩
'shi'sheng'chu 视生处
'shi'sheng'chu'gao 视生处高
'shi'wei'bi'qu 是谓必取
'shi'wei'bi'sheng 是谓必胜
'shi'wei'luan'jun'yin'sheng 是谓乱军引胜
'shi'wei'mi'jun'bu'zhi'san'jun'zhi 是谓縻军不知三军之
'shi'wei'qiao'neng'cheng'shi 是谓巧能成事
'shi'wei'sheng'di'er'yi'qiang 是谓胜敌而益强
'shi'wu'fa'zhi'shang 施无法之赏
'shi'wu'you'suo'bu'ke'gong'ye 恃吾有所不可攻也
'shi'wu'you'yi 恃吾有以
'shi'xian 势险
'shi'ye 势也
'shi'ye'qiang'ruo 势也强弱
'shi'ye'zhi'niao'zhi'ji 势也鸷鸟之疾
'shi'yi'shi'gong'qi'yi'ye 是以十攻其一也
'shi'ze'wei'zhi 十则围之
'shi'zhe 势者
'shi'zhe 时者
'shi'zhi'wu'zhi'yi'qi'shi 使之无知易其事
'shi'zhi'ye'di'zhe 时制也地者
'shi'zhi'yi'dong 示之以动
'shi'zhong'gua'zhi'yong'zhe'sheng 识众寡之用者胜
'shi'zhong'ye'shu'shang'zhe 失众也数赏者
'shi'zu'ru'ying'er 视卒如婴儿
'shi'zu'shu'lian 士卒孰练
'shi'zu'zuo'zhe'ti'zhan'jin 士卒坐者涕沾襟
'shou'er'bi'gu'zhe 守而必固者
'shou'hai'bi'zhen 受害必真
'shou'qi'suo'bi'gong'ye 守其所必攻也
'shou'ruo'shi'yi'ren 手若使一人
'shou'ye 守也
'shou'ze'bu'zu 守则不足
'shu'neng'qiong'zhi'zai 孰能穷之哉
'shu'shang'kai'hua 树上开花
'shu'sheng'cheng 数生称
'shu'ye'yong'qie 数也勇怯
'shuai'ran'zhe 率然者
'shuai'yu'zhi'qi 帅与之期
'shui'cao'er'bei'zhong'shu 水草而背众树
'shui'ke'yi'jue 水可以绝
'shui'wu'chang'xing 水无常形
'shui'zhi'xing'bi'gao'er'qu'xia 水之行避高而趋下
'shun'shou'qian'yang 顺手牵羊
'shun'yi'dong'yu 顺以动豫
'shun'yi'xun'ye 顺以巽也
'si'di'wu'jiang'shi'zhi'yi'bu'huo 死地吾将示之以不活
'si'di'ye 死地也
'si'di'ze'zhan 死地则战
'si'er'geng'sheng 死而更生
'si'qie'bu'bei 死且不北
'si'sheng'zhi'di 死生之地
'si'shi'shi'ye 四时是也
'si'shi'wu'chang'wei 四时无常位
'si'wu'zhe 四五者
'si'yan'bu'de 死焉不得
'si'yue'cheng 四曰称
'si'yue'huo'ku 四曰火库
'si'yue'jiang 四曰将
'si'zhe'bu'ke'yi'fu'sheng 死者不可以复生
'su'er'bu'ke'ji'ye 速而不可及也
'sui'hua'di'er'shou'zhi 虽画地而守之
'sui'you'zhi'zhe 虽有智者
'sui'zhi'di'xing 虽知地形
'sui'zhi'wu'li 虽知五利
'sun'gang'yi'rou 损刚益柔
'sun'yin'yi'yi'yang 损阴以益阳
'sun'zi'yue 孙子曰
'suo'cong'gui'zhe'yu 所从归者迂
'suo'yi'bian'ren'zhi'er'mu'ye 所以变人之耳目也
'suo'yi'yi'min'zhi'er'mu'ye 所以一民之耳目也
'suo'zhi'shi'qian 唆之使前
'tian'di'shu'de 天地孰得
'tian'xia'zhong'zhe 天下众者
'tian'zhi'zao'ye 天之燥也
'tiao'zhan 挑战
'tong'meng'zhi'ji 童蒙之吉
'tong'xing'zhe 通形者
'tou'liang'huan'zhu 偷梁换柱
'tou'zhi'wang'di'ran'hou'cun 投之亡地然后存
'tou'zhi'wu'suo'wang 投之无所往
'tu'lai'ye'san'er'tiao'da'zhe 徒来也散而条达者
'tu'you'suo'bu'you 途有所不由
'tui'bu'bi'zui 退不避罪
'tui'er'wei'zhi'tui 退而谓之退
'tui'ye'qing'che 退也轻车
'wang'guo'bu'ke'yi'fu'cun 亡国不可以复存
'wang'jian'lai'fan 往蹇来返
'wei'bu'de'yi 为不得已
'wei'bu'ke'ce 为不可测
'wei'di 围地
'wei'di'wu'jiang 围地吾将
'wei'di'ye'wu'suo'wang'zhe 围地也无所往者
'wei'di'ze'mou 围地则谋
'wei'du'qiao'zhi'jiu 未睹巧之久
'wei'fan'di'suo'you'ru'zhe'ai 为泛地所由入者隘
'wei'hu'wei'hu 微乎微乎
'wei'ji'qu'wu'liu 唯亟去无留
'wei'jia'yu'di 威加于敌
'wei'jun'er'zheng'li'ze'zi'zhong'juan 委军而争利则辎重捐
'wei'li'zai'suo'bi'de 微利在所必得
'wei'min'shi'bao 唯民是保
'wei'qi'zhong'zhe 畏其众者
'wei'qing'di'wo'dei'yi'li 为轻地我得亦利
'wei'qu'di'ru'ren'zhi'di'shen 为衢地入人之地深
'wei'shi'chang'ye 未失常也
'wei'shi'yi'que 围师遗阙
'wei'si'di 为死地
'wei'wei'di'ji 为围地疾
'wei'wei'jiu'zhao 围魏救赵
'wei'wu'wu'jin 惟无武进
'wei'xi'zai'suo'bi'cheng 微隙在所必乘
'wei'yu'zhi'qi 微与之期
'wei'ze'dong 危则动
'wei'zheng'di'wo'ke'yi'wang 为争地我可以往
'wei'zhi'shen 谓之神
'wei'zhi'you'ye 未之有也
'wei'zhong'di'shan'lin'xian'zu'ju'ze 为重地山林险阻沮泽
'wei'zu'shi'ye'qi'yong'ru'yi 未足恃也齐勇如一
'wen'lei'ting'bu'wei'cong'er 闻雷霆不为聪耳
'wen'zi'san'pang'huan'che'pang 温字氵旁换车旁
'wo'chu'er'bu'li 我出而不利
'wo'jia'yi'shi 我假以势
'wo'ke'yi'wang 我可以往
'wo'wu'chu'ye 我无出也
'wo'xian'ju'zhi 我先居之
'wo'zhe'ti'jiao'yi 卧者涕交颐
'wo'zhuan'wei'yi 我专为一
'wu'bai'zhe 无败者
'wu'cong'ye 勿从也
'wu'dai'yu'nei 无待于内
'wu'fu'yu'shui'er'ying'ke 无附于水而迎客
'wu'gao'yi'li 勿告以利
'wu'gao'yi'yan'fan 勿告以言犯
'wu'gong'xia'feng 无攻下风
'wu'ji'tang'tang'zhi'chen 无击堂堂之陈
'wu'jin'ye 勿近也
'wu'liang'shi'ze'wang 无粮食则亡
'wu'qiong'ru'tian'di 无穷如天地
'wu'se'zhi'bian 五色之变
'wu'sheng'zhi'bian 五声之变
'wu'shi'qi'bu'lai 无恃其不来
'wu'shi'wu'yu'cai 吾士无余财
'wu'shi'you'bian 勿使有变
'wu'suo'bu'bei 无所不备
'wu'suo'wang'ze'gu 无所往则固
'wu'suo'yu'zhan'zhi'di'bu'ke'zhi 吾所与战之地不可知
'wu'tong'qi'shi 无通其使
'wu'wei'ji'ze'wang 无委积则亡
'wu'wei'zhi'bian 五味之变
'wu'xing'ze 无形则
'wu'yao'zheng'zheng'zhi'qi 无邀正正之旗
'wu'yi'ci'guan'zhi 吾以此观之
'wu'yi'ci'zhi'sheng'fu'yi 吾以此知胜负矣
'wu'ying'shui'liu 无迎水流
'wu'ying'zhi'yu'shui'nei 勿迎之于水内
'wu'yong'gong 无勇功
'wu'yuan'zhi 吾远之
'wu'yue'huo'dui 五曰火队
'wu'yue'sheng 五曰胜
'wu'ze'gong'zhi 五则攻之
'wu'zhan'ke'ye 无战可也
'wu'zhi'ming 无智名
'wu'zhong'sheng'you 无中生有
'xi'zhi'shan'zhan'zhe 昔之善战者
'xia'de'wang'pang'huan'shi'pang 瑕的王旁换石旁
'xian'chu'ju'qi'ce'zhe 先出居其侧者
'xian'ju'gao'yang 先居高阳
'xian'ren'zhi 先人至
'xian'sheng'er'hou'qiu'zhan 先胜而后求战
'xian'wei'bu'ke'sheng 先为不可胜
'xian'xing'zhe 险形者
'xian'zhi'er'de 先至而得
'xian'zhi'si'di 陷之死地
'xian'zhi'si'di'ran'hou'sheng 陷之死地然后生
'xian'zhi'yu'zhi'zhi'ji'zhe'sheng 先知迂直之计者胜
'xiang'shou'shu'nian 相守数年
'xiao'li'cang'dao 笑里藏刀
'xiao'lin'hui'zhe 小林荟者
'xiao'qi'dou'zhi 消其斗志
'xiao'zhi'yi'ji 校之以计
'xin'er'an'zhi 信而安之
'xing'huo'bi'you'yin 行火必有因
'xing'jun'di'jiu 行军第九
'xing'jun'pian 行军篇
'xing'ming'shi'ye'san'jun'zhi'zhong 形名是也三军之众
'xing'qian'li'er'bu'lao'zhe 行千里而不劳者
'xing'xian'er'shun 行险而顺
'xing'ye 形也
'xing'yu'wu'ren'zhi'di 行于无人之地
'xing'yuan 形圆
'xing'zhe 形者
'xing'zhi 形之
'xing'zhi'dao'zhe 行之道者
'xing'zhi'er'zhi'si'sheng'zhi'di 形之而知死生之地
'xiu'dao'er'bao'fa 修道而保法
'xiu'lu 修橹
'xu'shi'di'liu 虚实第六
'xu'shi'pian 虚实篇
'xu'shi'shi'ye 虚实是也
'xu'ye'ye'hu'zhe 虚也夜呼者
'xu'yu'ren'yan'zhe 徐与人言者
'xu'zhe'xu'zhi'yi'zhong'sheng'yi 虚者虚之疑中生疑
'xuan'bu'fan'qi'she'zhe 悬不返其舍者
'xuan'quan'er'dong 悬权而动
'xuan'wu'zheng'zhi'ling 悬无政之令
'xun'er'zhi'gu 巽而止蛊
'yang'bei'wu'cong 佯北勿从
'yang'guai'xu'luan 阳乖序乱
'yang'sheng'er'chu 养生而处
'ye'gong'er'bi'qu'zhe 也攻而必取者
'ye'qi'lun'ye 曳其轮也
'ye'qi'suo'ju'yi'zhe 也其所居易者
'yi'bao'dai'ji 以饱待饥
'yi'bu'zai'ji 役不再籍
'yi'bu'zhi 一不知
'yi'dai'di'ruo'di'xian'ju'zhi 以待敌若敌先居之
'yi'dai'di'zhi'ke'sheng 以待敌之可胜
'yi'dan 一石
'yi'dong'er'xun 益动而巽
'yi'er'lao'zhi 佚而劳之
'yi'fen'he'wei'bian 以分和为变
'yi'guan'zhe'fu 夷关折符
'yi'huan'wei'li 以患为利
'yi'jia'ao'tou 翳加艹头
'yi'jie'qi'ti 以解其体
'yi'jin'dai'yuan 以近待远
'yi'jing'dai'hua 以静待哗
'yi'jue'zhan'shi 以决战事
'yi'li'dong 以利动
'yi'li'dong'zhi 以利动之
'yi'qi'sheng 以奇胜
'yi'ruo'ji'qiang 以弱击强
'yi'sha'qi'shi 以杀其势
'yi'shao'he'zhong 以少合众
'yi'sheng'yi'fu 一胜一负
'yi'shi'fa'zhi 以时发之
'yi'shu'shou'zhi 以数守之
'yi'shui'zuo'gong'zhe'qiang 以水佐攻者强
'yi'wu'du'zhi 以吾度之
'yi'xi'yi'yu'sheng'zai 亦奚益于胜哉
'yi'xiang'hui'ru'yan'xi 以向晦入宴息
'yi'ye'niao'qi'zhe 疑也鸟起者
'yi'yi 以佚
'yi'yi'dai'lao 以逸待劳
'yi'yi'ji'shi 以一击十
'yi'yi'kou'shi 疑以叩实
'yi'yu'wei'zhi 以迂为直
'yi'zhan'ze'li 以战则利
'yi'zheng'he 以正合
'yi'zheng'yi'ri'zhi'sheng 以争一日之胜
'yi'zhi'bing'bu'zhi'jiu'bian'zhi'shu 矣治兵不知九变之术
'yi'zhi'dai'luan 以治待乱
'yi'zhong'zhi'yi 疑中之疑
'yi'zhu'hou'zhe'yi'ye 役诸侯者以业
'yi'zhu'qi'shi 以诛其事
'yi'zu'dai'zhi 以卒待之
'yi'zuo'qi'wai 以佐其外
'yin'bi'su'ju 因必素具
'yin'er'qu'zhi 引而去之
'yin'li'er'zhi'quan'ye 因利而制权也
'yin'liang'yu'di 因粮于敌
'yin'xing'er'cuo'sheng'yu'zhong 因形而措胜于众
'yin'yang'han'shu 阴阳寒暑
'yin'yi'dai'ni 阴以待逆
'yin'yi'tu'zhi 阴以图之
'yin'you'sha'di'bu'zi'chu'li 引友杀敌不自出力
'yin'zai'yang'zhi'nei 阴在阳之内
'ying'er'wu'cong 盈而勿从
'ying'jun'ye'ci'bei'er'bei 营军也辞卑而备
'yong'bing'zhi'fa 用兵之法
'yong'bing'zhi'li'ye 用兵之利也
'yong'bing'zhi'zai'ye 用兵之灾也
'yong'er'shi'zhi'bu'yong 用而示之不用
'yong'jian'di'shi'san 用间第十三
'yong'jian'pian 用间篇
'yong'ren'yi'you'zhi 用人以诱之
'yong'zhi'bi'bai 用之必败
'yong'zhi'bi'sheng 用之必胜
'you'bei'gao 右背高
'you'bu'neng'jiu 右不能救
'you'bu'xiang'qu 又不相去
'you'bu'yi'di'bu'dong 友不疑敌不动
'you'bu'yu'zhi'dao 由不虞之道
'you'fan'di 有泛地
'you'jiao'di 有交地
'you'qing'di 有轻地
'you'qu'di 有衢地
'you'san'di 有散地
'you'san'yue'er'hou'yi 又三月而后已
'you'si'di 有死地
'you'ye'zhang'er'li'zhe 诱也杖而立者
'you'yu'bu'zu'zhi'chu 有余不足之处
'you'zheng'di 有争地
'you'zhong'di 有重地
'yu'bu'ke'yi'zhan'zhe'sheng 与不可以战者胜
'yu'dai'bu'yu'zhe'sheng 虞待不虞者胜
'yu'di'dui'er'zi'zhan 遇敌怼而自战
'yu'du'wei'bu'dang'ye 遇毒位不当也
'yu'qi'tu 迂其途
'yu'qian'ren'zhi'shan'zhe 于千仞之山者
'yu'qin'gu'zong 欲擒姑纵
'yu'qin'gu'zong 欲擒故纵
'yu'ren 于人
'yu'ren'zhi'jin 欲人之进
'yu'she'zhe 欲涉者
'yu'shun'yi'dong 豫顺以动
'yu'xiu'xi'ye 欲休息也
'yu'zhan'zhe 欲战者
'yu'zhong'xiang'de'ye 与众相得也
'yuan'er'shi'zhi'jin 远而示之近
'yuan'jiao'jin'gong 远交近攻
'yuan'jiao'jin'gong'xing'jin'shi'ge 远交近攻形禁势格
'yuan'jin'xian'yi 远近险易
'yuan'shu'ze'bai'xing'pin 远输则百姓贫
'yuan'xing'zhe 远形者
'yuan'ze'xing 圆则行
'yue'bei 曰北
'yue'beng'jiang'ruo'bu'yan 曰崩将弱不严
'yue'chi'li'qiang'zu'ruo 曰驰吏强卒弱
'yue'er'hou'cheng'ju'yin 月而后成距堙
'yue'fa 曰法
'yue'gua 曰挂
'yue'ke 曰可
'yue'luan'jiang'bu'neng'liao'di 曰乱将不能料敌
'yue'ren'zhi'bing'sui'duo 越人之兵虽多
'yue'tong 曰通
'yue'xian 曰陷
'yue'you'si'sheng 月有死生
'yue'zai 月在
'yue'zhi 曰支
'yue'zhu'shu'you'dao 曰主孰有道
'yue'zou'zu'qiang'li'ruo 曰走卒强吏弱
'yun'bing'ji'mou 运兵计谋
'yun'ke'yi'fu'shuo 愠可以复说
'yun'lei'tun'ye 云雷屯也
'za'yu'hai'er'huan'ke'jie'ye 杂于害而患可解也
'za'yu'li'er'wu'ke'xin'ye 杂于利而务可信也
'zai'shi'zhong'ji 在师中吉
'zai'shun'xiang'di'zhi'yi 在顺详敌之意
'ze'bu'fu 则不服
'ze'bu'ke'yong 则不可用
'ze'bu'neng'jin'zhi 则不能尽知
'ze'jue'shang'jiang'jun 则蹶上将军
'ze'jun'shi'yi'yi 则军士疑矣
'ze'ke'qian'li'er'hui'zhan 则可千里而会战
'ze'min'fu'ling'su'bu'xing'yi'jiao'qi'min 则民服令素不行以教其民
'ze'mou 则谋
'ze'nei'wai'zhi'fei 则内外之费
'ze'qi'cheng'ke'ba 则其城可拔
'ze'qi'jiao'bu'de'he 则其交不得合
'ze'qin'san'jiang'jun 则擒三将军
'ze'san'fen'zhi'er'zhi 则三分之二至
'ze'wo'zhong'di'gua 则我众敌寡
'ze'wo'zhuan'er'di'fen 则我专而敌分
'ze'wu'suo'bu'gua 则无所不寡
'ze'wu'suo'yu'zhan'zhe'gua'yi 则吾所与战者寡矣
'ze'wu'zhi'suo'yu'zhan'zhe'yue'yi 则吾之所与战者约矣
'ze'yong'zhe'bu'de'du'jin 则勇者不得独进
'ze'zao'ying'zhi'yu'wai'huo'fa 则早应之于外火发
'ze'zhu'hou'cheng'qi'bi'er'qi 则诸侯乘其弊而起
'ze'zhu'hou'zhi'nan'zhi'yi 则诸侯之难至矣
'ze'zuo'bu'neng'jiu'you 则左不能救右
'zhan'er'bu'li 战而不利
'zhan'long'wu'deng 战隆无登
'zhan'sheng'er'tian'xia'yue'shan 战胜而天下曰善
'zhan'shi'bu'guo'qi'zheng 战势不过奇正
'zhan'ze'cun 战则存
'zhan'zhe 战者
'zhe'ye 者也
'zheng'di'wu'jiang'qu'qi'hou 争地吾将趋其后
'zheng'di'ze'wu'gong 争地则无攻
'zheng'wei'wei 争为危
'zheng'yi'zhi 正以治
'zheng'zhi'bian 正之变
'zheng'zhi'dao'ye'gang'rou'jie'de 政之道也刚柔皆得
'zhi'ban'ye 之半也
'zhi'ci'er'yong'zhan'zhe'bi 知此而用战者必
'zhi'ke'yi'zhan 知可以战
'zhi'luan 治乱
'zhi'quan'zu'wei'shang 之全卒为上
'zhi'ren'er'bu'zhi'yu'ren 致人而不致于人
'zhi'ri 之日
'zhi'sang'ma'huai 指桑骂槐
'zhi'she'ye 之蛇也
'zhi'sheng'zhi'dao'ye 知胜之道也
'zhi'si'wu'suo'zhi 至死无所之
