'ba'mao'ru'yi'qi'hui'zhen'ji'heng 拔茅茹以其彙貞吉亨
'liu'yao'bo'hui'pang'tong'qing'ye 六爻發揮旁通情也
'long'de'er'yin'zhe'ye 龍德而隱者也
'long'de'er'zheng'zhong'zhe'ye 龍德而正中者也
'lun'yu'zi'lu'di'shi'san 論語子路第十三
'lv'cu'ran'jing'zhi'wu'jiu 履錯然敬之无咎
'lv'cu'zhi'jing'yi'pi'jiu'ye 履錯之敬以辟咎也
'meng'heng'fei 蒙亨匪
'meng'shan'xia'you'jian'jian'er'zhi 蒙山下有險險而止
'meng'yi'yang'zheng'sheng'gong'ye 蒙以養正聖功也
'mi'fu'xiong'you'zai'sheng 迷復凶有災眚
'mi'fu'zhi'xiong'fan'jun'dao'ye 迷復之凶反君道也
'ming'chu'di'shang 明出地上
'ming'chu'di'shang'jin 明出地上晉
'ming'liang'zuo'li 明兩作離
'ming'qian'li'yong'xing'shi'zheng'yi'guo 鳴謙利用行師征邑國
'ming'qian'zhen'ji 鳴謙貞吉
'ming'qian'zhen'ji'zhong'xin'de'ye 鳴謙貞吉中心得也
'ming'qian'zhi'wei'de'ye 鳴謙志未得也
'ming'ru'di'zhong 明入地中
'ming'ru'di'zhong'ming'yi 明入地中明夷
'ming'yi 明夷
'ming'yi'li'jian'zhen 明夷利艱貞
'ming'yi'yi'yu'zuo'gu 明夷夷于左股
'ming'yi'yu'fei'chui'qi'yi 明夷于飛垂其翼
'ming'yi'yu'nan'shou 明夷于南狩
'ming'yu'cheng'you'yu'wu'jiu 冥豫成有渝无咎
'ming'yu'xiong 鳴豫凶
'ming'yu'zai'shang'he'ke'chang'ye 冥豫在上何可長也
'ming'yu'zhi'qiong'xiong'ye 鳴豫志窮凶也
'mo'zhi'sheng'shui 莫之勝說
'na'nan'er'neng'zheng'qi'zhi'ji'zi'yi'zhi 內難而能正其志箕子以之
'na'rou'er'wai'gang 內柔而外剛
'na'wen'ming'er'wai'rou'shun 內文明而外柔順
'na'xiao'ren'er'wai'jun'zi 內小人而外君子
'na'yao'zi'you'zhong'wu'jiu 納約自牖終无咎
'na'yin'er'wai'yang 內陰而外陽
'nai'hua'cheng'tian'xia 乃化成天下
'nai'jian'tian'ze 乃見天則
'nai'tong'tian 乃統天
'nai'wei'hu'tian'de 乃位乎天德
'nai'yi'gang'zhong'ye 乃以剛中也
'nan'nv'kui'er'qi'zhi'tong'ye 男女睽而其志通也
'nan'nv'zheng'tian'di'zhi'da'yi'ye 男女正天地之大義也
'nan'shou'zhi'zhi'nai'de'da'ye 南狩之志乃得大也
'nan'zheng'wei'hu'wai 男正位乎外
'neng'zhi'jian'da'zheng'ye 能止健大正也
'nv'zi'zhen'bu'zi 女子貞不字
'peng'cong'er'si 朋從爾思
'peng'lai'wu'jiu 朋來无咎
'pin'fu'li'wu'jiu 頻復厲无咎
'pin'fu'zhi'li'yi'wu'jiu'ye 頻復之厲義无咎也
'pou'duo'yi'gua'chen'wu'ping'shi 裒多益寡稱物平施
'qi'de'gang'jian'er'wen'ming 其德剛健而文明
'qi'fei'zheng'you'sheng 其匪正有眚
'qi'ren'tian'qie'yi'wu'chu'you'zhong 其人天且劓无初有終
'qi'ri'lai'fu 七日來復
'qi'ri'lai'fu'tian'xing'ye 七日來復天行也
'qi'wei'sheng'ren'hu 其唯聖人乎
'qi'xue'lian'ru 泣血漣如
'qi'xue'lian'ru'he'ke'chang'ye 泣血漣如何可長也
'qian'dao'bian'hua'ge'zheng'xing'ming 乾道變化各正性命
'qian'dao'nai'ge 乾道乃革
'qian'heng 謙亨
'qian'heng'jun'zi'you'zhong 謙亨君子有終
'qian'long'wu'yong 潛龍勿用
'qian'long'wu'yong'he'wei'ye 潛龍勿用何謂也
'qian'long'wu'yong'xia'ye 潛龍勿用下也
'qian'long'wu'yong'yang'zai'xia'ye 潛龍勿用陽在下也
'qian'qian'jun'zi'bei'yi'zi'mu'ye 謙謙君子卑以自牧也
'qian'qian'jun'zi'yong'she'da'chuan'ji 謙謙君子用涉大川吉
'qian'qian'yin'qi'shi'er'ti 乾乾因其時而惕
'qian'shi'neng'yi'mei'li'li'tian'xia 乾始能以美利利天下
'qian'xing'ye 乾行也
'qian'yuan'xiang'li'zhen 乾元享利貞
'qian'yuan'yong'jiu 乾元用九
'qian'yuan'yong'jiu'tian'xia'zhi'ye 乾元用九天下治也
'qian'yuan'zhe'shi'er'heng'zhe'ye 乾元者始而亨者也
'qian'zhi'wei'yan'ye'yin'er'wei'jian 潛之爲言也隱而未見
'qian'zun'er'guang'bei'er'bu'ke'yu 謙尊而光卑而不可踰
'qing'fou'xian'fou'hou'xi 傾否先否後喜
'qiu'xiao'de'wei'chu'zhong'ye 求小得未出中也
'que'hu'qi'bu'ke'ba'qian'long'ye 確乎其不可拔潛龍也
'ren'dao'e'ying'er'hao'qian 人道惡盈而好謙
'ri'ke'jian'zhi'xing'ye 日可見之行也
'ri'xin'qi'de 日新其德
'ri'yue'bu'guo 日月不過
'ri'yue'de'tian'er'neng'jiu'zhao 日月得天而能久照
'ri'yue'li'hu'tian 日月麗乎天
'ri'ze'zhi'li'bu'gu'fou'er'ge 日昃之離不鼓缶而歌
'ri'ze'zhi'li'he'ke'jiu'ye 日昃之離何可久也
'rou'de'zhong'er'shang'xing 柔得中而上行
'rou'jin'er'shang'xing 柔進而上行
'rou'lai'er'wen'gang'gu'heng 柔來而文剛故亨
'rou'li'hu'zhong'zheng'gu'heng 柔麗乎中正故亨
'rou'shang'er'gang'xia 柔上而剛下
'ru'yu'kan'dan'wu'yong 入于坎窞勿用
'ru'yu'kan'dan'xiong 入于坎窞凶
'ru'yu'zuo'fu 入于左腹
'ru'yu'zuo'fu'huo'xin'yi'ye 入于左腹獲心意也
'san'sui'bu'de'xiong 三歲不得凶
'san'sui'bu'xing 三歲不興
'san'sui'bu'xing'an'xing'ye 三歲不興安行也
'sang'yang'yu'yi'wei'bu'dang'ye 喪羊于易位不當也
'sang'yang'yu'yi'wu'hui 喪羊于易无悔
'shan'fu'yu'di 山附于地
'shan'shang'you'shi'xian 山上有澤咸
'shan'shang'you'shui'jian 山上有水蹇
'shan'xia'chu'quan 山下出泉
'shan'xia'you'feng'gu 山下有風蠱
'shan'xia'you'huo'ben 山下有火賁
'shan'xia'you'lei'yi 山下有雷頤
'shang'bu'zai'tian'xia'bu'zai'tian 上不在天下不在田
'shang'gang'xia'jian'jian'er'jian 上剛下險險而健
'shang'hai'gu'ji'chu'ban'she 上海古籍出版社
'shang'huo'xia'shi'kui 上火下澤睽
'shang'jiu 上九
'shang'jiu'kang'long'you'hui 上九亢龍有悔
'shang'jiu'you'fu'wei'ru'zhong'ji 上九有孚威如終吉
'shang'jiu'yue 上九曰
'shang'liu 上六
'shang'liu'shi'dao'xiong'san'sui'ye 上六失道凶三歲也
'shang'lv'bu'xing 商旅不行
'shang'xia'bu'jiao'er'tian'xia'wu'bang'ye 上下不交而天下无邦也
'shang'xia'wu'chang'fei'wei'xie'ye 上下无常非爲邪也
'she'che'er'tu'yi'fu'cheng'ye 舍車而徒義弗乘也
'she'er'ling'gui'guan'wo'duo'yi'xiong 舍爾靈龜觀我朵頤凶
'shen'yan'yu'jie'yin'shi 慎言語節飲食
'sheng'ren'gan'ren'xin'er'tian'xia'he'ping 聖人感人心而天下和平
'sheng'ren'jiu'yu'qi'dao 聖人久於其道
'sheng'ren'yang'xian'yi'ji'wan'min 聖人養賢以及萬民
'sheng'ren'yi'shen'dao'she'jiao 聖人以神道設教
'sheng'ren'yi'shun'dong 聖人以順動
'sheng'ren'zuo'er'wan'wu'du 聖人作而萬物睹
'shi'cheng'liu'long'yi'yu'tian 時乘六龍以御天
'shi'cheng'liu'long'yi'yu'tian'ye 時乘六龍以御天也
'shi'de'wu'xu'wang'you'qing'ye 失得勿恤往有慶也
'shi'fu'mie'bi'cheng'gang'ye 噬膚滅鼻乘剛也
'shi'fu'mie'bi'wu'jiu 噬膚滅鼻无咎
'shi'gu 是故
'shi'jiu'de'cong'shang'ji'ye 食舊德從上吉也
'shi'ke'er'heng 噬嗑而亨
'shi'ke'heng'li'yong'yu 噬嗑亨利用獄
'shi'la'rou'yu'du'xiao'lin'wu'jiu 噬腊肉遇毒小吝无咎
'shi'mie'mu'da'guo 澤滅木大過
'shi'nian'nai'zi 十年乃字
'shi'nian'wu'yong'dao'da'bei'ye 十年勿用道大悖也
'shi'nian'wu'yong'wu'you'li 十年勿用无攸利
'shi'qian'rou'de'huang'jin'zhen'li'wu'jiu 噬乾肉得黃金貞厲无咎
'shi'qian'zi'de'jin'shi'li'jian'zhen'ji 噬乾胏得金矢利艱貞吉
'shi'san'jing'zhu'shu 十三經注疏
'shi'shang'you'di'lin'jun'zi'yi 澤上有地臨君子以
'shi'shu'zhen'li'wei'bu'dang'ye 鼫鼠貞厲位不當也
'shi'yi 是以
'shi'yi'xiao'shi'ji 是以小事吉
'shi'yi'yuan'heng 是以元亨
'shi'zhong'you'lei'sui 澤中有雷隨
'shou'chu'shu'wu'wan'guo'xian'ning 首出庶物萬國咸寧
'shou'ci'jie'fu'yi'zhong'zheng'ye 受茲介福以中正也
'shou'ci'jie'fu'yu'qi'wang'mu 受茲介福于其王母
'shui'cun'zhi'xi'kan 水洊至習坎
'shui'er'li'hu'ming'rou'jin'er'shang'xing 說而麗乎明柔進而上行
'shui'er'shun 說而順
'shui'liu'er'bu'ying 水流而不盈
'shui'liu'shi'huo'jiu'zao 水流濕火就燥
'shun'er'li'hu'da'ming 順而麗乎大明
'shun'er'zhi'zhi'guan'xiang'ye 順而止之觀象也
'shun'yi'xun'ye 順以巽也
'shun'yi'ze'ye 順以則也
'shuo'guo'bu'shi 碩果不食
'si'shi'bian'hua'er'neng'jiu'cheng 四時變化而能久成
'si'shi'bu'tei 四時不忒
'song'you'fu'zhi'ti'zhong'ji'zhong'xiong 訟有孚窒惕中吉終凶
'sui'bu'dang'wei'li'yong'yu'ye 雖不當位利用獄也
'sui'da'heng'zhen'wu'jiu 隨大亨貞无咎
'sui'gang'lai'er'xia'rou'dong'er'shui 隨剛來而下柔動而說
'sui'shi'zhi'yi'da'yi'zai 隨時之義大矣哉
'sui'wei'wu'jiu'yi 雖危无咎矣
'sui'xiao'you'yan'qi'bian'ming'ye 雖小有言其辯明也
'sui'xiong'ju'ji'shun'bu'hai'ye 雖凶居吉順不害也
'sui'you'huo'qi'yi'xiong'ye 隨有獲其義凶也
'sui'you'huo'zhen'xiong 隨有獲貞凶
'sui'yuan'heng'li'zhen'wu'jiu 隨元亨利貞无咎
'suo'yi'jin'de'ye 所以進德也
'tian'dao'kui'ying'er'yi'qian 天道虧盈而益謙
'tian'dao'xia'ji'er'guang'ming 天道下濟而光明
'tian'di'bu'jiao'er'wan'wu'bu'tong'ye 天地不交而萬物不通也
'tian'di'gan'er'wan'wu'hua'sheng 天地感而萬物化生
'tian'di'kui'er'qi'shi'tong'ye 天地睽而其事同也
'tian'di'wan'wu'zhi'qing'ke'jian'yi 天地萬物之情可見矣
'tian'di'yang'wan'wu 天地養萬物
'tian'di'yi'shun'dong 天地以順動
'tian'di'zhi'dao'geng 天地之道恆
'tian'jin'gu'ji'chu'ban'she 天津古籍出版社
'tian'ming'bu'you'xing'yi'zai 天命不祐行矣哉
'tian'qie'fu'wei 天且弗違
'tian'wu'qin 田无禽
'tian'xia'fu'yi 天下服矣
'tian'xia'hua'cheng 天下化成
'tian'xia'lei'xing 天下雷行
'tian'xia'sui'shi 天下隨時
'tian'xia'wen'ming 天下文明
'tian'xia'you'shan'dun 天下有山遯
'tian'xing'jian'jun'zi'yi'zi'jiang'bu'xi 天行健君子以自強不息
'tian'yu'huo'tong'ren 天與火同人
'tian'yu'shui'wei'xing 天與水違行
'tian'zai'shan'zhong'da'chu 天在山中大畜
'tian'zao'cao'mei'yi'jian'hou'er'bu'ning 天造草昧宜建侯而不寧
'tong'guan'xiao'ren'dao'ye 童觀小人道也
'tong'guan'xiao'ren'wu'jiu'jun'zi'lin 童觀小人无咎君子吝
'tong'meng'zhi'ji'shun'yi'xun'ye 童蒙之吉順以巽也
'tong'niu'zhi'gu'yuan'ji 童牛之牿元吉
'tong'ren 同人
'tong'ren'rou'de'wei 同人柔得位
'tong'ren'xian'hao'tao'er'hou'xiao 同人先號咷而後笑
'tong'ren'yu'jiao'wu'hui 同人于郊无悔
'tong'ren'yu'jiao'zhi'wei'de'ye 同人于郊志未得也
'tong'ren'yu'men'wu'jiu 同人于門无咎
'tong'ren'yu'ye'heng'li'she'da'chuan 同人于野亨利涉大川
'tong'ren'yu'zong'lin 同人于宗吝
'tong'ren'yu'zong'lin'dao'ye 同人于宗吝道也
'tong'ren'zhi'xian'yi'zhong'zhi'ye 同人之先以中直也
'tong'sheng'xiang'ying'tong'qi'xiang'qiu 同聲相應同氣相求
'tu'ru'qi'lai'ru 突如其來如
'tu'ru'qi'lai'ru'wu'suo'rong'ye 突如其來如无所容也
'tuan'yue 彖曰
'tun'ru'zhan'ru 屯如邅如
'wan'wu'kui'er'qi'shi'lei'ye 萬物睽而其事類也
'wang'bi 王弼
'wang'chen'jian'jian'fei'gong'zhi'gu 王臣蹇蹇匪躬之故
'wang'chen'jian'jian'zhong'wu'you'ye 王臣蹇蹇終无尤也
'wang'gong'she'jian'yi'shou'qi'guo 王公設險以守其國
'wang'ji'wu'bu'li 往吉无不利
'wang'jia'you'jia'jiao'xiang'ai'ye 王假有家交相愛也
'wang'jia'you'jia'wu'xu'ji 王假有家勿恤吉
'wang'jian'lai'fan 往蹇來反
'wang'jian'lai'fan'na'xi'zhi'ye 往蹇來反內喜之也
'wang'jian'lai'lian 往蹇來連
'wang'jian'lai'lian'dang'wei'shi'ye 往蹇來連當位實也
'wang'jian'lai'shuo'ji'li'jian'da'ren 往蹇來碩吉利見大人
'wang'jian'lai'shuo'zhi'zai'na'ye 往蹇來碩志在內也
'wang'jian'lai'yu 往蹇來譽
'wang'jian'lai'yu'yi'dai'ye 往蹇來譽宜待也
'wang'yong'chu'zheng'yi'zheng'bang'ye 王用出征以正邦也
'wang'yong'chu'zheng'you'jia'zhe'shou 王用出征有嘉折首
'wang'yong'heng'yu'xi'shan 王用亨于西山
'wang'you'gong'ye 往有功也
'wang'yu'yu'ze'ji 往遇雨則吉
'wei'hu'tian'wei'yi'zheng'zhong'ye 位乎天位以正中也
'wei'jun'zi'wei'neng'tong'tian'xia'zhi'zhi 唯君子爲能通天下之志
'wei'ru'zhi'ji'fan'shen'zhi'wei'ye 威如之吉反身之謂也
'wei'ru'zhi'ji'yi'er'wu'bei'ye 威如之吉易而无備也
'wei'xin'heng 維心亨
'wei'yong'fa'yi'dao'wei'guang'ye 維用伐邑道未光也
'wen'ming'yi'jian'zhong'zheng 文明以健中正
'wen'ming'yi'zhi'ren'wen'ye 文明以止人文也
'wen'wang'yi'zhi 文王以之
'wen'yan'yue 文言曰
'wo'qiu'tong'meng'tong'meng'qiu'wo 我求童蒙童蒙求我
'wu'bu'li'hui'qian 无不利撝謙
'wu'bu'li'hui'qian'bu'wei'ze'ye 无不利撝謙不違則也
'wu'chu'you'zhong'yu'gang'ye 无初有終遇剛也
'wu'jiao'hai'fei'jiu'jian'ze'wu'jiu 无交害匪咎艱則无咎
'wu'jiao'hai'ye 无交害也
'wu'jiu 无咎
'wu'jiu'wu'yu 无咎无譽
'wu'wang'gang'zi'wai'lai 无妄剛自外來
'wu'wang'wang'ji 无妄往吉
'wu'wang'xing'you'sheng'wu'you'li 无妄行有眚无攸利
'wu'wang'yuan'heng'li'zhen 无妄元亨利貞
'wu'wang'zhi'ji'wu'shuo'you'xi 无妄之疾勿藥有喜
'wu'wang'zhi'shuo'bu'ke'shi'ye 无妄之藥不可試也
'wu'wang'zhi'wang'de'zhi'ye 无妄之往得志也
'wu'wang'zhi'wang'he'zhi'yi 无妄之往何之矣
'wu'wang'zhi'xing'qiong'zhi'zai'ye 无妄之行窮之災也
'wu'wang'zhi'zai'huo'ji'zhi'niu 无妄之災或繫之牛
'wu'you'li'jian'ze'ji 无攸利艱則吉
'wu'you'sui'zai'zhong'kui'zhen'ji 无攸遂在中饋貞吉
'wu'yu'wu'wang 物與无妄
'xi'dun'you'ji'li 係遯有疾厲
'xi'dun'zhi'li'you'ji'bei'ye 係遯之厲有疾憊也
'xi'kan 習坎
'xi'kan'ru'kan'shi'dao'xiong'ye 習坎入坎失道凶也
'xi'kan'you'fu'wei'xin'heng'xing'you'shang 習坎有孚維心亨行有尚
'xi'kan'zhong'jian'ye 習坎重險也
'xi'ti'ruo'li'wu'jiu 夕惕若厲无咎
'xi'xiao'zi'fu'jian'yu'ye 係小子弗兼與也
'xi'xiao'zi'shi'zhang'fu 係小子失丈夫
'xi'yong'hui'mo'tian'yu'cong'ji 係用徽纆寘于叢棘
'xi'zhang'fu'shi'xiao'zi'sui 係丈夫失小子隨
'xi'zhang'fu'zhi'she'xia'ye 係丈夫志舍下也
'xi'zhi'pan'dai'zhong'chao'san'chi'zhi 錫之鞶帶終朝三褫之
'xia'guan'er'hua'ye 下觀而化也
'xian'gan'ye 咸感也
'xian'heng'li'zhen'qu'nv'ji 咸亨利貞取女吉
'xian'jia'san'ri'hou'jia'san'ri 先甲三日後甲三日
'xian'lin'ji'wu'bu'li 咸臨吉无不利
'xian'lin'ji'wu'bu'li'wei'shun'ming'ye 咸臨吉无不利未順命也
'xian'lin'zhen'ji 咸臨貞吉
'xian'lin'zhen'ji'zhi'xing'zheng'ye 咸臨貞吉志行正也
'xian'qi'fei'xiong'ju'ji 咸其腓凶居吉
'xian'qi'fu'jia'she 咸其輔頰舌
'xian'qi'fu'jia'she'teng'kou'shui'ye 咸其輔頰舌滕口說也
'xian'qi'gu'yi'bu'chu'ye 咸其股亦不處也
'xian'qi'gu'zhi'qi'sui'wang'lin 咸其股執其隨往吝
'xian'qi'mei'wu'hui 咸其脢无悔
'xian'qi'mei'zhi'mo'ye 咸其脢志末也
'xian'qi'mu 咸其拇
'xian'qi'mu'zhi'zai'wai'ye 咸其拇志在外也
'xian'ren'zai'xia'wei'er'wu'fu 賢人在下位而无輔
'xian'tian'er'tian'fu'wei 先天而天弗違
'xian'wang'yi'mao'dui'shi'yu'wan'wu 先王以茂對時育萬物
'xian'wang'yi'ming'fa'chi'fa 先王以明罰敕法
'xian'wang'yi'sheng'fang'guan'min'she'jiao 先王以省方觀民設教
'xian'wang'yi'zhi'ri'bi'guan 先王以至日閉關
'xian'wang'yi'zuo'le'chong'de 先王以作樂崇德
'xian'xie'cun'qi'cheng'shan'shi'er'bu'fa 閑邪存其誠善世而不伐
'xian'you'jia'hui'wang 閑有家悔亡
'xian'you'jia'zhi'wei'bian'ye 閑有家志未變也
'xian'yu'wei'li'you'you'wang 閑輿衛利有攸往
'xiang'yue 象曰
'xiao'li'you'you'wang'tian'wen'ye 小利有攸往天文也
'xiao'li'zhen'jin'er'chang'ye 小利貞浸而長也
'xiao'ren'bao'lu 小人剝廬
'xiao'ren'bao'lu'zhong'bu'ke'yong'ye 小人剝廬終不可用也
'xiao'ren'dao'chang'jun'zi'dao'xiao'ye 小人道長君子道消也
'xiao'ren'yong'zhuang'jun'zi'wang'ye 小人用壯君子罔也
'xiao'ren'yong'zhuang'jun'zi'yong'wang 小人用壯君子用罔
'xing'er'wei'cheng 行而未成
'xing'fa'qing'er'min'fu 刑罰清而民服
'xing'jian'er'bu'shi'qi'xin 行險而不失其信
'xing'ren'de'niu'yi'ren'zai'ye 行人得牛邑人災也
'xing'ren'zhi'de'yi'ren'zhi'zai 行人之得邑人之災
'xing'shi'lei'ye 行失類也
'xing'you'shang'wang'you'gong'ye'tian 行有尚往有功也天
'xiu'ci'li'qi'cheng'suo'yi'ju'ye'ye 脩辭立其誠所以居業也
'xiu'fu'ji 休復吉
'xiu'fu'zhi'ji'yi'xia'ren'ye 休復之吉以下仁也
'xu'xu'ye'jian'zai'qian'ye 需須也險在前也
'xu'you'fu'guang'heng'zhen'ji 需有孚光亨貞吉
'xu'yu'hui'chi'you'hui 盱豫悔遲有悔
'xu'yu'you'hui'wei'bu'dang'ye 盱豫有悔位不當也
'xue'yi'ju'zhi'wen'yi'bian'zhi 學以聚之問以辯之
'xun'er'dong'gang'rou'jie'ying'geng 巽而動剛柔皆應恆
'xun'er'shui'xing 巽而說行
'xun'er'zhi'gu 巽而止蠱
'yan'you'wu'er'xing'you'geng 言有物而行有恆
'yang'qi'qian'cang 陽氣潛藏
'yi'bu'zu'gui'ye 亦不足貴也
'yi'gong'ren'chong'zhong'wu'you'ye 以宮人寵終无尤也
'yi'guo'xing'yu'de 以果行育德
'yi'meng'da'nan 以蒙大難
'yi'qi'guo'jun'xiong 以其國君凶
'yi'wang'lin 以往吝
'yi'yue 易曰
'yi'zhen'ji'guan'yi'zi'qiu'kou'shi 頤貞吉觀頤自求口實
'yi'zhen'ji'yang'zheng'ze'ji'ye 頤貞吉養正則吉也
'yi'zhi'shi'da'yi'zai 頤之時大矣哉
'yi'zhong'you'wu'yue'shi'ke 頤中有物曰噬嗑
'yi'zuo'shi'mou'shi 以作事謀始
'yin'jian'zhi'shang'di'yi'pei'zu'kao 殷薦之上帝以配祖考
'yin'shi'yan'le 飲食宴樂
'ying'hu'tian'er'shi'xing 應乎天而時行
'yong'hui'er'ming 用晦而明
'yong'jiu'jian'qun'long'wu'shou'ji 用九見羣龍无首吉
'yong'jiu'tian'de'bu'ke'wei'shou'ye 用九天德不可爲首也
'yong'shui'zhi'gu 用說桎梏
'yong'xing'shi 用行師
'yong'yan'zhi'xin'yong'xing'zhi'jin 庸言之信庸行之謹
'yong'zhen'zhi'ji'zhong'mo'zhi'ling'ye 永貞之吉終莫之陵也
'yong'zheng'ma'zhuang'ji 用拯馬壯吉
'you'fu'zai'dao'ming'gong'ye 有孚在道明功也
'you'fu'zai'dao'yi'ming'he'jiu 有孚在道以明何咎
'you'li'li'yi 有厲利已
'you'li'li'yi'bu'fan'zai'ye 有厲利已不犯災也
'you'ming'wu'jiu'chou'li'zhi 有命无咎疇離祉
'you'ming'wu'jiu'zhi'xing'ye 有命无咎志行也
'you'qiu'de'li'ju'zhen 有求得利居貞
'you'yi'li'ji'da'you'qing'ye 由頤厲吉大有慶也
'you'yi'li'ji'li'she'da'chuan 由頤厲吉利涉大川
'you'you'wang'zhu'ren'you'yan 有攸往主人有言
'you'yu'da'you'de'wu'yi'peng'he'zan 由豫大有得勿疑朋盍簪
'you'yu'da'you'de'zhi'da'xing'ye 由豫大有得志大行也
'yu'chu'men'ting 于出門庭
'yu'du'wei'bu'dang'ye 遇毒位不當也
'yu'fu'zhi'gu'wang'jian'lin 裕父之蠱往見吝
'yu'fu'zhi'gu'wang'wei'de'ye 裕父之蠱往未得也
'yu'gang'ying'er'zhi'xing'shun'yi'dong'yu 豫剛應而志行順以動豫
'yu'gui'shen'he'qi'ji'xiong 與鬼神合其吉凶
'yu'ji'shi'ye'gu'wu'jiu 欲及時也故无咎
'yu'li'jian'hou'xing'shi 豫利建侯行師
'yu'ri'yue'he'qi'ming 與日月合其明
'yu'shi'xie'ji 與時偕極
'yu'shi'xie'xing 與時偕行
'yu'shui'bu 輿說輹
'yu'shui'bu'zhong'wu'you'ye 輿說輹中无尤也
'yu'shun'yi'dong'gu'tian'di'ru'zhi 豫順以動故天地如之
'yu'si'shi'he'qi'xu 與四時合其序
'yu'wu'jiu 裕无咎
'yu'wu'jiu'wei'shou'ming'ye 裕无咎未受命也
'yu'yu'zhi'ji'qun'yi'wang'ye 遇雨之吉羣疑亡也
'yu'zhi'shi'yi'da'yi'zai 豫之時義大矣哉
'yu'zhu'yu'xiang'wei'shi'dao'ye 遇主于巷未失道也
'yu'zhu'yu'xiang'wu'jiu 遇主于巷无咎
'yuan'xiao'ren'bu'e'er'yan 遠小人不惡而嚴
'yuan'zhe'shan'zhi'chang'ye 元者善之長也
'yun'cong'long'feng'cong'hu 雲從龍風從虎
'yun'xing'yu'shi'pin'wu'liu'xing 雲行雨施品物流形
'yun'xing'yu'shi'tian'xia'ping'ye 雲行雨施天下平也
'zai'gui'yi'che'xian'zhang'zhi'hu 載鬼一車先張之弧
'zai'san'dou 再三瀆
'zai'xia'wei'er'bu'you 在下位而不憂
'ze'ge'cong'qi'lei'ye 則各從其類也
'ze'li'you'you'wang 則利有攸往
'zhe'jiang'gu'ji'chu'ban'she 浙江古籍出版社
'zhen'geng'xiong 振恆凶
'zhen'geng'zai'shang'da'wu'gong'ye 振恆在上大无功也
'zhen'gu'zu'yi'gan'shi 貞固足以幹事
'zhen'ji 貞吉
'zhen'ji'cheng'gang'ye 貞疾乘剛也
'zhen'ji'geng'bu'si 貞疾恆不死
'zhen'ji'hui'wang 貞吉悔亡
'zhen'ji'hui'wang'wei'gan'hai'ye 貞吉悔亡未感害也
'zhen'ji'yi'zhong'ye 貞吉以中也
'zhen'li'di'yang'chu'fan'lei'qi'jiao 貞厲羝羊觸藩羸其角
'zhen'li'wu'jiu'de'dang'ye 貞厲无咎得當也
'zhen'min'yu'de 振民育德
'zhen'zhe'shi'zhi'gan'ye 貞者事之幹也
'zheng'da'er'tian'di'zhi'qing'ke'jian'yi 正大而天地之情可見矣
'zheng'jia'er'tian'xia'ding'yi 正家而天下定矣
'zhi'cun'er'bu'zhi'wang 知存而不知亡
'zhi'de'er'bu'zhi'sang 知得而不知喪
'zhi'er'shui'nan'xia'nv 止而說男下女
'zhi'jin'er'bu'zhi'tui 知進而不知退
'zhi'jin'tui'cun'wang'er'bu'shi'qi'zheng'zhe 知進退存亡而不失其正者
'zhi'kou'zhi 致寇至
'zhi'lin'da'jun'zhi'yi'ji 知臨大君之宜吉
'zhi'lin'wu'jiu 至臨无咎
'zhi'lin'wu'jiu'wei'dang'ye 至臨无咎位當也
'zhi'yong'huang'niu'gu'zhi'ye 執用黃牛固志也
'zhi'yu'ba'yue'you'xiong 至于八月有凶
'zhi'yu'ba'yue'you'xiong'xiao'bu'jiu'ye 至于八月有凶消不久也
'zhi'yu'shi'nian'bu'ke'zheng 至于十年不克征
'zhi'zai'sui'ren'suo'zhi'xia'ye 志在隨人所執下也
'zhi'zhi'yong'huang'niu'zhi'ge 執之用黃牛之革
'zhi'zhi'zhi'zhi'ke'yu'ji'ye 知至至之可與幾也
'zhi'zhong'zhong'zhi'ke'yu'cun'yi'ye 知終終之可與存義也
'zhong'bu'zai'ren 中不在人
'zhong'gang'er'bu'zhong 重剛而不中
'zhong'hang'du'fu 中行獨復
'zhong'hang'du'fu'yi'cong'dao'ye 中行獨復以從道也
'zhong'hua'shu'ju 中華書局
'zhong'ji 終吉
'zhong'ming'yi'li'hu'zheng 重明以麗乎正
'zhong'ri'qian'qian 終日乾乾
'zhong'ri'qian'qian'fan'fu'dao'ye 終日乾乾反復道也
'zhong'ri'qian'qian'xing'shi'ye 終日乾乾行事也
'zhong'you'da'bai 終有大敗
'zhong'yun'hui'wang 衆允悔亡
'zhong'yun'zhi'zhi'shang'xing'ye 衆允之志上行也
'zhong'ze'you'shi'tian'xing'ye 終則有始天行也
'zhong'ze'you'shi'ye 終則有始也
'zhong'zheng'ye 中正也
'zhong'zheng'yi'guan'tian'xia 中正以觀天下
'zhou'ri'san'jie 晝日三接
'zhou'ri'san'jie'ye 晝日三接也
'zhou'yi'zheng'yi 周易正義
'zhuang'yu'da'yu'zhi'bu 壯于大輿之輹
'zhuang'yu'zhi'qi'fu'qiong'ye 壯于趾其孚窮也
'zhuang'yu'zhi'zheng'xiong'you'fu 壯于趾征凶有孚
'zi'ke'jia'gang'rou'jie'ye 子克家剛柔節也
'zi'qiu'kou'shi'guan'qi'zi'yang'ye 自求口實觀其自養也
'zi'tian'you'zhi'ji'wu'bu'li 自天祐之吉无不利
