'ai'jiu 艾灸
'gang'men'huan'zha'shu 肛门环扎术
'gang'men'huo'zu'zhi'jian'cha 肛门活组织检查
'gang'men'jing'jian'cha 肛门镜检查
'gang'men'kuo'yue'ji'cheng'xing'shu 肛门括约肌成形术
'gang'men'kuo'yue'ji'qie'chu'shu 肛门括约肌切除术
'gang'men'kuo'yue'ji'qie'duan'shu 肛门括约肌切断术
'gang'men'kuo'yue'ji'qie'kai'shu 肛门括约肌切开术
'gang'men'kuo'yue'ji'xiu'bu'shu 肛门括约肌修补术
'gang'men'kuo'zhang 肛门扩张
'gang'men'kuo'zhang'shu 肛门扩张术
'gang'men'lie'shang'feng'he'shu 肛门裂伤缝合术
'gang'men'qie'chu'shu 肛门切除术
'gang'men'qie'kai'tan'cha'shu 肛门切开探查术
'gang'men'qie'kai'yi'wu'qu'chu'shu 肛门切开异物取出术
'gang'men'qing'chuang'shu 肛门清创术
'gang'men'tuo'chui'fu'wei'shu 肛门脱垂复位术
'gang'men'zhi'chang'ji'bu'fen'qie'chu'shu 肛门直肠肌部分切除术
'gang'men'zhou'wei'zu'zhi'qie'chu'shu 肛门周围组织切除术
'gang'ru'tou'qie'chu'shu 肛乳头切除术
'gang'zhou'nong'zhong'chuan'ci'chou'xi'shu 肛周脓肿穿刺抽吸术
'gang'zhou'nong'zhong'gen'zhi'shu 肛周脓肿根治术
'gang'zhou'nong'zhong'qie'chu'shu 肛周脓肿切除术
'gang'zhou'nong'zhong'qie'kai'yin'liu'shu 肛周脓肿切开引流术
'gang'zhou'pi'zhui'qie'chu'shu 肛周皮赘切除术
'gang'zhou'shi'zhen'feng'bi 肛周湿疹封闭
'gang'zhou'zu'zhi'huo'zu'zhi'jian'cha 肛周组织活组织检查
'gang'zhou'zu'zhi'xia'bu'qie'kai'shu 肛周组织下部切开术
'gao'wan'bing'sun'qie'chu'shu 睾丸病损切除术
'gao'wan'chou'xi'shu 睾丸抽吸术
'gao'wan'fu'jian'qie'chu'shu 睾丸附件切除术
'gao'wan'fu'wei'shu 睾丸复位术
'gao'wan'gu'ding'shu 睾丸固定术
'gao'wan'jia'ti'zhi'ru'shu 睾丸假体置入术
'gao'wan'lie'shang'feng'he'shu 睾丸裂伤缝合术
'gao'wan'qiao'mo'ji'ye'chou'xi'shu 睾丸鞘膜积液抽吸术
'gao'wan'qiao'mo'ji'ye'qie'chu'shu 睾丸鞘膜积液切除术
'gao'wan'qiao'mo'qie'kai'yin'liu'shu 睾丸鞘膜切开引流术
'gao'wan'qie'kai'tan'cha'shu 睾丸切开探查术
'gao'wan'xiu'bu'shu 睾丸修补术
'gao'wei'chan'qian'ban'hui'yin'qie'kai'shu 高位产钳伴会阴切开术
'gao'wei'chan'qian'shu 高位产钳术
'gao'xuan'ze'xing'mi'zou'shen'jing'qie'duan'shu 高选择性迷走神经切断术
'gao'ya'gei'yang 高压给氧
'gao'ya'yi'zhi'yin'dao 高压移植引导
'ge'bu'bing'sun'chuan'ci'huo'zu'zhi'jian'cha 骼部病损穿刺活组织检查
'ge'ji'zhe'die'shu 膈肌折叠术
'ge'ren'xin'li'zhi'liao 个人心理治疗
'ge'shen'jing'po'huai'shu 膈神经破坏术
'ge'shen'jing'yi'wei'shu 膈神经移位术
'ge'xia'nong'zhong'qie'kai'yin'liu'shu 膈下脓肿切开引流术
'gen'gu'bing'sun'qie'chu'shu 跟骨病损切除术
'gen'gu'bu'fen'qie'chu'shu 跟骨部分切除术
'gen'gu'gu'zhe'bi'he'fu'wei'gang'zhen'nei'gu'ding'shu 跟骨骨折闭合复位钢针内固定术
'gen'gu'gu'zhe'bi'he'fu'wei'luo'ding'nei'gu'ding'shu 跟骨骨折闭合复位螺钉内固定术
'gen'gu'gu'zhe'bi'he'fu'wei'shu 跟骨骨折闭合复位术
'gen'gu'gu'zhe'qie'kai'fu'wei'gang'ban'nei'gu'ding'shu 跟骨骨折切开复位钢板内固定术
'gen'gu'gu'zhe'qie'kai'fu'wei'gang'zhen'nei'gu'ding'shu 跟骨骨折切开复位钢针内固定术
'gen'gu'gu'zhe'qie'kai'fu'wei'luo'ding'nei'gu'ding'shu 跟骨骨折切开复位螺钉内固定术
'gen'gu'gu'zhe'qie'kai'fu'wei'shu 跟骨骨折切开复位术
'gen'gu'guan'jie'rong'he'shu 跟骨关节融合术
'gen'gu'nei'gu'ding'wu'qu'chu'shu 跟骨内固定物取出术
'gen'gu'qu'gu'shu 跟骨取骨术
'gen'gu'xie'xing'jie'gu'shu 跟骨楔形截骨术
'gen'gu'xiu'bu'shu 跟骨修补术
'gen'gu'zhi'gu'shu 跟骨植骨术
'gen'guan'zhi'liao'ban'chong'xi'shu 根管治疗伴冲洗术
'gen'guan'zhi'liao'ban'gen'jian'qie'chu'shu 根管治疗伴根尖切除术
'gen'jian'bing'sun'qie'chu'shu 根尖病损切除术
'gen'jian'bing'sun'qie'chu'shu 跟腱病损切除术
'gen'jian'feng'he'shu 跟腱缝合术
'gen'jian'qie'chu'shu 根尖切除术
'gen'jian'qie'duan'shu 跟腱切断术
'gen'jian'suo'duan'shu 跟腱缩短术
'gen'jian'xiu'bu'shu 跟腱修补术
'gen'jian'yan'chang'shu 跟腱延长术
'gen'ju'guan'jie'rong'he'shu 跟距关节融合术
'gen'zhi'xing'wei'qie'chu'shu 根治性胃切除术
'gong'dong'mai'feng'he'shu 肱动脉缝合术
'gong'dong'mai'jie'za'shu 肱动脉结扎术
'gong'dong'mai'liu'qie'chu'ban'da'yin'jing'mai'yi'zhi'shu 肱动脉瘤切除伴大隐静脉移植术
'gong'dong'mai'liu'qie'chu'shu 肱动脉瘤切除术
'gong'dong'mai'qiu'nang'kuo'zhang'cheng'xing'shu 肱动脉球囊扩张成形术
'gong'dong'mai'tou'jing'mai'ren'gong'xue'guan'da'qiao'shu 肱动脉头静脉人工血管搭桥术
'gong'er'tou'ji'feng'he'shu 肱二头肌缝合术
'gong'er'tou'ji'jian'yan'chang'shu 肱二头肌腱延长术
'gong'gu'bing'sun'qie'chu'shu 肱骨病损切除术
'gong'gu'bu'fen'qie'chu'shu 肱骨部分切除术
'gong'gu'cheng'xing'shu 肱骨成形术
'gong'gu'gang'ban'nei'gu'ding'shu 肱骨钢板内固定术
'gong'gu'gang'zhen'nei'gu'ding'shu 肱骨钢针内固定术
'gong'gu'gu'hou'fen'li'bi'he'fu'wei'shu 肱骨骨骺分离闭合复位术
'gong'gu'gu'zhe'bi'he'fu'wei'gang'ban'nei'gu'ding'shu 肱骨骨折闭合复位钢板内固定术
'gong'gu'gu'zhe'bi'he'fu'wei'gang'zhen'nei'gu'ding'shu 肱骨骨折闭合复位钢针内固定术
'gong'gu'gu'zhe'bi'he'fu'wei'luo'ding'nei'gu'ding'shu 肱骨骨折闭合复位螺钉内固定术
'gong'gu'gu'zhe'bi'he'fu'wei'shu 肱骨骨折闭合复位术
'gong'gu'gu'zhe'qie'kai'fu'wei'gang'ban'nei'gu'ding'shu 肱骨骨折切开复位钢板内固定术
'gong'gu'gu'zhe'qie'kai'fu'wei'gang'zhen'nei'gu'ding'shu 肱骨骨折切开复位钢针内固定术
'gong'gu'gu'zhe'qie'kai'fu'wei'luo'ding'nei'gu'ding'shu 肱骨骨折切开复位螺钉内固定术
'gong'gu'gu'zhe'qie'kai'fu'wei'shu 肱骨骨折切开复位术
'gong'gu'huo'zu'zhi'jian'cha 肱骨活组织检查
'gong'gu'kai'chuang'yin'liu'shu 肱骨开窗引流术
'gong'gu'kai'fang'xing'gu'zhe'qing'chuang'shu 肱骨开放性骨折清创术
'gong'gu'ke'bu'fen'qie'chu'shu 肱骨髁部分切除术
'gong'gu'ke'jian'cheng'xing'shu 肱骨髁间成形术
'gong'gu'luo'ding'nei'gu'ding'shu 肱骨螺钉内固定术
'gong'gu'nei'gu'ding'wu'qu'chu'shu 肱骨内固定物取出术
'gong'gu'qie'chu'shu 肱骨切除术
'gong'gu'qu'gu'shu 肱骨取骨术
'gong'gu'ren'gong'gu'zhi'gu'shu 肱骨人工骨植骨术
'gong'gu'si'gu'qu'chu'shu 肱骨死骨去除术
'gong'gu'sui'nei'zhen'nei'gu'ding'shu 肱骨髓内针内固定术
'gong'gu'wai'gu'ding'shu 肱骨外固定术
'gong'gu'xie'xing'jie'gu'shu 肱骨楔形截骨术
'gong'gu'yan'chang'shu 肱骨延长术
'gong'gu'zhe'gu'shu 肱骨折骨术
'gong'gu'zhi'gu'shu 肱骨植骨术
'gong'ji'feng'xian'ping'gu 攻击风险评估
'gong'jing'bi'suo'qie'kai'shu 宫颈闭锁切开术
'gong'jing'feng'xian'qu'chu 宫颈缝线去除
'gong'jing'zhou'wei'zi'gong'qu'shen'jing'shu 宫颈周围子宫去神经术
'gong'mo'ban'ceng'yi'zhi'shu 巩膜板层移植术
'gong'mo'bing'sun'qie'chu'shu 巩膜病损切除术
'gong'mo'fang'ye'shu 巩膜放液术
'gong'mo'feng'he'shu 巩膜缝合术
'gong'mo'feng'xian'tiao'zheng'shu 巩膜缝线调整术
'gong'mo'huan'zha'shu 巩膜环扎术
'gong'mo'huan'zha'shu'ban'bo'li'ti'qie'chu'shu 巩膜环扎术伴玻璃体切除术
'gong'mo'huan'zha'shu'ban'kong'qi'tian'chong 巩膜环扎术伴空气填充
'gong'mo'huan'zha'shu'ban'zhi'ru'wu 巩膜环扎术伴植入物
'gong'mo'huan'zuan'shu'ban'hong'mo'qie'chu'shu 巩膜环钻术伴虹膜切除术
'gong'mo'leng'dong'shu 巩膜冷冻术
'gong'mo'lie'shang'feng'he'shu 巩膜裂伤缝合术
'gong'mo'lou'xiu'bu'shu 巩膜瘘修补术
'gong'mo'lv'pao'xiu'zheng'shu 巩膜滤泡修正术
'gong'mo'pu'tao'zhong'xiu'bu'shu 巩膜葡萄肿修补术
'gong'mo'pu'tao'zhong'yi'zhi'wu'xiu'bu'shu 巩膜葡萄肿移植物修补术
'gong'mo'qie'chu'shu 巩膜切除术
'gong'mo're'zhuo'shu'ban'hong'mo'qie'chu'shu 巩膜热灼术伴虹膜切除术
'gong'mo'sheng'wu'jiao'zhi'ru'shu 巩膜生物胶置入术
'gong'mo'tan'cha'shu 巩膜探查术
'gong'mo'tou're'shu 巩膜透热术
'gong'mo'wai'huan'za'dai'qu'chu'shu 巩膜外环扎带取出术
'gong'mo'wai'huan'za'dai'tiao'zheng'shu 巩膜外环扎带调整术
'gong'mo'wai'jia'ya'ban'tian'chong'shu 巩膜外加压伴填充术
'gong'mo'wai'jia'ya'shu 巩膜外加压术
'gong'mo'xiu'bu'shu 巩膜修补术
'gong'mo'yao'qie'shu 巩膜咬切术
'gong'mo'yi'ti'yang'mo'tian'chong'shu 巩膜异体羊膜填充术
'gong'mo'yi'wu'qu'chu'shu 巩膜异物取出术
'gong'mo'yi'zhi'wu'jia'gu'shu 巩膜移植物加固术
'gong'mo'zao'lou'shu'hou'xiu'zheng'shu 巩膜造瘘术后修正术
'gong'mo'zhuo'lou'shu 巩膜灼瘘术
'gong'nei'bi'yun'qi'zhi'ru'shu 宫内避孕器置入术
'gong'nei'bi'yun'zhuang'zhi'qu'chu 宫内避孕装置去除
'gong'qiang'jing'jian'cha 宫腔镜检查
'gong'qiang'jing'xia'dian'xi'ren'liu 宫腔镜下电吸人流
'gong'qiang'jing'xia'shu'luan'guan'tong'ye'shu 宫腔镜下输卵管通液术
'gong'qiang'jing'xia'yin'dao'zong'ge'qie'kai'shu 宫腔镜下阴道纵隔切开术
'gong'qiang'jing'xia'zhen'duan'xing'gua'gong'shu 宫腔镜下诊断性刮宫术
'gong'qiang'jing'xia'zi'gong'bing'sun'dian'qie'shu 宫腔镜下子宫病损电切术
'gong'qiang'jing'xia'zi'gong'bing'sun'qie'chu'shu 宫腔镜下子宫病损切除术
'gong'qiang'jing'xia'zi'gong'bing'sun'she'pin'xiao'rong'shu 宫腔镜下子宫病损射频消融术
'gong'qiang'jing'xia'zi'gong'chen'jiu'xing'lie'shang'xiu'bu'shu 宫腔镜下子宫陈旧性裂伤修补术
'gong'qiang'jing'xia'zi'gong'dian'ning'zhi'xue'shu 宫腔镜下子宫电凝止血术
'gong'qiang'jing'xia'zi'gong'ge'mo'qie'chu'shu 宫腔镜下子宫隔膜切除术
'gong'qiang'jing'xia'zi'gong'huo'zu'zhi'jian'cha 宫腔镜下子宫活组织检查
'gong'qiang'jing'xia'zi'gong'jing'bing'sun'dian'qie'shu 宫腔镜下子宫颈病损电切术
'gong'qiang'jing'xia'zi'gong'jing'bing'sun'qie'chu'shu 宫腔镜下子宫颈病损切除术
'gong'qiang'jing'xia'zi'gong'jing'qie'chu'shu 宫腔镜下子宫颈切除术
'gong'qiang'jing'xia'zi'gong'jing'zhui'xing'qie'chu'shu 宫腔镜下子宫颈锥形切除术
'gong'qiang'jing'xia'zi'gong'nei'bi'yun'zhuang'zhi'qu'chu 宫腔镜下子宫内避孕装置去除
'gong'qiang'jing'xia'zi'gong'nei'mo'bing'sun'qie'chu'shu 宫腔镜下子宫内膜病损切除术
'gong'qiang'jing'xia'zi'gong'nei'mo'cheng'xing'shu 宫腔镜下子宫内膜成形术
'gong'qiang'jing'xia'zi'gong'nei'mo'qu'chu'shu 宫腔镜下子宫内膜去除术
'gong'qiang'jing'xia'zi'gong'nei'mo're'qiu'qu'chu'shu 宫腔镜下子宫内膜热球去除术
'gong'qiang'jing'xia'zi'gong'nei'mo'zhan'lian'song'jie'shu 宫腔镜下子宫内膜粘连松解术
'gong'qiang'yin'liu'shu 宫腔引流术
'gong'san'tou'ji'feng'he'shu 肱三头肌缝合术
'gong'suo'su'yin'chan 宫缩素引产
'gong'ti'pi'fu'qie'chu'shu 供体皮肤切除术
'gong'yu'zhi'liao 工娱治疗
'gong'zhe'cai'xie 供者采血
'gong'zhe'gu'sui'cai'ji'shu 供者骨髓采集术
'gu'bing'shou'fa'zhi'liao 骨病手法治疗
'gu'bo'ji'yi'zhi'gang'men'shi'jin'jiao'zheng'shu 股薄肌移植肛门失禁矫正术
'gu'dian'shi'pou'gong'chan'shu 古典式剖宫产术
'gu'dong'mai'cheng'xing'shu 股动脉成形术
'gu'dong'mai'chuan'ci'shu 股动脉穿刺术
'gu'dong'mai'fei'dong'mai'da'qiao'shu 股动脉腓动脉搭桥术
'gu'dong'mai'fei'dong'mai'da'yin'jing'mai'da'qiao'shu 股动脉腓动脉大隐静脉搭桥术
'gu'dong'mai'feng'he'shu 股动脉缝合术
'gu'dong'mai'gu'dong'mai'da'qiao'shu 股动脉股动脉搭桥术
'gu'dong'mai'guo'dong'mai'da'qiao'shu 股动脉腘动脉搭桥术
'gu'dong'mai'guo'dong'mai'da'yin'jing'mai'da'qiao'shu 股动脉腘动脉大隐静脉搭桥术
'gu'dong'mai'guo'dong'mai'ren'gong'xue'guan'da'qiao'shu 股动脉腘动脉人工血管搭桥术
'gu'dong'mai'jing'dong'mai'da'qiao'shu 股动脉胫动脉搭桥术
'gu'dong'mai'jing'fei'dong'mai'gan'da'qiao'shu 股动脉胫腓动脉干搭桥术
'gu'dong'mai'nei'mo'bo'tuo'ban'xue'shuan'qie'chu'shu 股动脉内膜剥脱伴血栓切除术
'gu'dong'mai'nei'mo'bo'tuo'shu 股动脉内膜剥脱术
'gu'dong'mai'qiu'nang'kuo'zhang'cheng'xing'shu 股动脉球囊扩张成形术
'gu'dong'mai'shuan'sai'shu 股动脉栓塞术
'gu'dong'mai'xue'shuan'qie'chu'shu 股动脉血栓切除术
'gu'dong'mai'zao'ying 股动脉造影
'gu'dong'mai'zhi'jia'zhi'ru'shu 股动脉支架置入术
'gu'dou'tan'cha'shu 鼓窦探查术
'gu'er'tou'ji'feng'he'shu 股二头肌缝合术
'gu'fang'she'xing'tong'wei'su'yuan'ju'li'zhi'liao 钴放射性同位素远距离治疗
'gu'fang'she'zhi'liao 钴放射治疗
'gu'ge'ji'ci'ji'qi'qu'chu'shu 骨骼肌刺激器去除术
'gu'gu'bing'sun'qie'chu'shu 股骨病损切除术
'gu'gu'bu'fen'qie'chu'shu 股骨部分切除术
'gu'gu'cheng'xing'shu 股骨成形术
'gu'gu'gang'ban'nei'gu'ding'shu 股骨钢板内固定术
'gu'gu'gang'zhen'nei'gu'ding'shu 股骨钢针内固定术
'gu'gu'gu'hou'fen'li'bi'he'fu'wei'shu 股骨骨骺分离闭合复位术
'gu'gu'gu'zhe'bi'he'fu'wei'gang'zhen'nei'gu'ding'shu 股骨骨折闭合复位钢针内固定术
'gu'gu'gu'zhe'bi'he'fu'wei'luo'ding'nei'gu'ding'shu 股骨骨折闭合复位螺钉内固定术
'gu'gu'gu'zhe'bi'he'fu'wei'shu 股骨骨折闭合复位术
'gu'gu'gu'zhe'qie'kai'fu'wei'gang'ban'nei'gu'ding'shu 股骨骨折切开复位钢板内固定术
'gu'gu'gu'zhe'qie'kai'fu'wei'gang'si'nei'gu'ding'shu 股骨骨折切开复位钢丝内固定术
'gu'gu'gu'zhe'qie'kai'fu'wei'gang'zhen'nei'gu'ding'shu 股骨骨折切开复位钢针内固定术
'gu'gu'gu'zhe'qie'kai'fu'wei'luo'ding'nei'gu'ding'shu 股骨骨折切开复位螺钉内固定术
'gu'gu'gu'zhe'qie'kai'fu'wei'shu 股骨骨折切开复位术
'gu'gu'huo'zu'zhi'jian'cha 股骨活组织检查
'gu'gu'jing'kai'chuang'yin'liu'shu 股骨颈开窗引流术
'gu'gu'kai'chuang'yin'liu'shu 股骨开窗引流术
'gu'gu'kai'fang'xing'gu'zhe'qing'chuang'shu 股骨开放性骨折清创术
'gu'gu'ke'kai'chuang'yin'liu'shu 股骨髁开窗引流术
'gu'gu'ke'shang'qian'yin 股骨髁上牵引
'gu'gu'luo'ding'nei'gu'ding'shu 股骨螺钉内固定术
'gu'gu'nei'gu'ding'wu'qu'chu'shu 股骨内固定物取出术
'gu'gu'qian'yin 股骨牵引
'gu'gu'qie'chu'shu 股骨切除术
'gu'gu'si'gu'qu'chu'shu 股骨死骨去除术
'gu'gu'sui'nei'zhen'nei'gu'ding'shu 股骨髓内针内固定术
'gu'gu'tou'chong'jian'bang'zhi'ru'shu 股骨头重建棒置入术
'gu'gu'tou'jing'qie'chu'shu 股骨头颈切除术
'gu'gu'tou'kai'chuang'yin'liu'shu 股骨头开窗引流术
'gu'gu'wai'gu'ding'jia'qu'chu'shu 股骨外固定架去除术
'gu'gu'wai'gu'ding'shu 股骨外固定术
'gu'gu'xie'xing'jie'gu'shu 股骨楔形截骨术
'gu'gu'yan'chang'shu 股骨延长术
'gu'gu'zhe'gu'shu 股骨折骨术
'gu'gu'zhi'gu'shu 股骨植骨术
'gu'gu'zuan'kong'jian'ya'shu 股骨钻孔减压术
'gu'guan'jie're'ying'xiang'tu 骨关节热影像图
'gu'jing'mai'chuan'ci'shu 股静脉穿刺术
'gu'jing'mai'feng'he'shu 股静脉缝合术
'gu'jing'mai'gu'jing'mai'ren'gong'xue'guan'da'qiao'shu 股静脉股静脉人工血管搭桥术
'gu'jing'mai'huan'suo'shu 股静脉环缩术
'gu'kong'xi'tian'bu'wu'zhi'ru'shu 骨空隙填补物置入术
'gu'li'shen'qie'chu'shu 孤立肾切除术
'gu'lin'ba'jie'gen'zhi'xing'qie'chu'shu 股淋巴结根治性切除术
'gu'mi'du'jian'cha 骨密度检查
'gu'mo'chuan'ci'shu 鼓膜穿刺术
'gu'mo'qie'chu'shu 鼓膜切除术
'gu'mo'qie'kai'yin'liu'shu 鼓膜切开引流术
'gu'mo'qie'kai'zhi'guan'shu 鼓膜切开置管术
'gu'mo'tong'qi'guan'qu'chu'shu 鼓膜通气管取出术
'gu'mo'xiu'bu'shu 鼓膜修补术
'gu'mo'yi'zhi'shu 鼓膜移植术
'gu'mo'zao'kou'shu 鼓膜造口术
'gu'nei'shou'ji'qie'duan'shu 股内收肌切断术
'gu'pen'chong'jian'shu 骨盆重建术
'gu'pen'gu'zhe'bi'he'fu'wei'shu 骨盆骨折闭合复位术
'gu'pen'gu'zhe'qie'kai'fu'wei'gang'ban'nei'gu'ding'shu 骨盆骨折切开复位钢板内固定术
'gu'pen'gu'zhe'qie'kai'fu'wei'gang'zhen'nei'gu'ding'shu 骨盆骨折切开复位钢针内固定术
'gu'pen'gu'zhe'qie'kai'fu'wei'luo'ding'nei'gu'ding'shu 骨盆骨折切开复位螺钉内固定术
'gu'pen'he'ci'gong'zhen'jian'cha 骨盆核磁共振检查
'gu'pen'qie'chu'shu 骨盆切除术
'gu'qia'ji'ci'ji'qi'zhi'huan'shu 骨髂肌刺激器置换术
'gu'qia'ji'ci'ji'qi'zhi'ru'shu 骨髂肌刺激器置入术
'gu'qian'dong'mai'gu'shen'dong'mai'da'qiao'shu 股浅动脉股深动脉搭桥术
'gu'qian'la'yan'chang'qi'zhi'ru'shu 骨牵拉延长器置入术
'gu're'ying'xiang'tu 骨热影像图
'gu'shen'jing'tan'cha'shu 股神经探查术
'gu'shen'jing'wen'he'shu 股神经吻合术
'gu'shi'bing'sun'qie'chu'shu 鼓室病损切除术
'gu'shi'cheng'xing'xiu'zheng'shu 鼓室成形修正术
'gu'shi'feng'bi'shu 鼓室封闭术
'gu'shi'jiao'gan'shen'jing'qie'chu'shu 鼓室交感神经切除术
'gu'shi'qie'kai'tan'cha'shu 鼓室切开探查术
'gu'shi'shen'jing'cong'qie'chu'shu 鼓室神经丛切除术
'gu'shi'zhan'lian'song'jie'shu 鼓室粘连松解术
'gu'shi'zhi'guan'shu 鼓室置管术
'gu'shi'zhu'she'shu 鼓室注射术
'gu'si'tou'ji'cheng'xing'shu 股四头肌成形术
'gu'si'tou'ji'feng'he'shu 股四头肌缝合术
'gu'sui'chuan'ci'huo'zu'zhi'jian'cha 骨髓穿刺活组织检查
'gu'sui'tong'wei'su'sao'miao 骨髓同位素扫描
'gu'sui'zhu'she 骨髓注射
'gu'tong'wei'su'sao'miao 骨同位素扫描
'guan'jie'chou'xi'shu 关节抽吸术
'guan'jie'chuan'ci'shu 关节穿刺术
'guan'jie'jing'xia'tun'ji'luan'suo'song'jie'shu 关节镜下臀肌挛缩松解术
'guan'jie'jing'xia'wan'guan'song'jie'shu 关节镜下腕管松解术
'guan'jie'ruan'gu'xiu'fu'shu 关节软骨修复术
'guan'jie'zhi'liao'xing'wu'zhi'zhu'she 关节治疗性物质注射
'guan'xiong'shu 关胸术
'guan'zhu'xue'guan'jia'ya'ji 灌注血管加压剂
'guan'zhu'zhi'liao'shu 灌注治疗术
'guan'zhuang'dong'mai'fei'dong'mai'lou'feng'du'shu 冠状动脉肺动脉瘘封堵术
'guan'zhuang'dong'mai'fei'yao'wu'xi'tuo'zhi'jia'zhi'ru'shu 冠状动脉非药物洗脱支架置入术
'guan'zhuang'dong'mai'ji'qiao'qie'duan'shu 冠状动脉肌桥切断术
'guan'zhuang'dong'mai'jie'za'shu 冠状动脉结扎术
'guan'zhuang'dong'mai'kai'kou'cheng'xing'shu 冠状动脉开口成形术
'guan'zhuang'dong'mai'lou'xiu'bu'shu 冠状动脉瘘修补术
'guan'zhuang'dong'mai'nei'rong'shuan'ji'zhu'she 冠状动脉内溶栓剂注射
'guan'zhuang'dong'mai'tan'cha'shu 冠状动脉探查术
'guan'zhuang'dong'mai'yao'wu'xi'tuo'zhi'jia'zhi'ru'shu 冠状动脉药物洗脱支架置入术
'guan'zhuang'dong'mai'you'fang'lou'feng'du'shu 冠状动脉右房瘘封堵术
'guan'zhuang'dong'mai'zhi'jia'zhi'ru'shu 冠状动脉支架置入术
'guan'zhuang'pi'ban'yi'zhi'shu 管状皮瓣移植术
'guan'zhuang'xue'guan'dong'mai'liu'xiu'bu'shu 冠状血管动脉瘤修补术
'guang'zi'yuan'ju'li'fang'she'zhi'liao 光子远距离放射治疗
'gui'guan'qu'chu'shu 硅管取出术
'gui'guan'tiao'zheng'shu 硅管调整术
'gui'guan'zhi'ru'shu 硅管置入术
'guo'dong'mai'guo'dong'mai'da'qiao'shu 腘动脉腘动脉搭桥术
'guo'dong'mai'jing'dong'mai'da'yin'jing'mai'da'qiao'shu 腘动脉胫动脉大隐静脉搭桥术
'guo'dong'mai'liu'qie'chu'ban'ren'gong'xue'guan'zhi'huan'shu 腘动脉瘤切除伴人工血管置换术
'guo'dong'mai'liu'qie'chu'shu 腘动脉瘤切除术
'guo'dong'mai'nei'mo'bo'tuo'ban'bu'pian'xiu'bu'shu 腘动脉内膜剥脱伴补片修补术
'guo'dong'mai'nei'mo'bo'tuo'shu 腘动脉内膜剥脱术
'guo'dong'mai'qiu'nang'kuo'zhang'cheng'xing'shu 腘动脉球囊扩张成形术
'guo'dong'mai'zhi'jia'zhi'ru'shu 腘动脉支架置入术
'guo'ji'yan'chang'shu 腘肌延长术
'guo'jing'mai'xiu'bu'shu 腘静脉修补术
'guo'sheng'ji'qie'duan'shu 腘绳肌切断术
'guo'wo'bei'ke'nang'zhong'qie'chu'shu 腘窝贝克囊肿切除术
'hai'mian'dou'bing'sun'qie'chu'shu 海绵窦病损切除术
'han'mi'er'dun'yi'yu'ping'ding 汉米尔顿抑郁评定
'he'gu'qian'yin'qi'qu'chu 颌骨牵引器去除
'he'gu'wai'gu'ding'qu'chu 颌骨外固定去除
'he'gu'xiu'zheng'shu 颌骨修整术
'he'jian'xi'yin'liu'shu 颌间隙引流术
'he'xia'lin'ba'jie'gen'zhi'xing'qie'chu'shu 颌下淋巴结根治性切除术
'he'xia'lin'ba'jie'qie'chu'shu 颌下淋巴结切除术
'he'xia'qu'bing'sun'qie'chu'shu 颌下区病损切除术
'he'xia'xian'bing'sun'qie'chu'shu 颌下腺病损切除术
'he'xia'xian'bu'fen'qie'chu'shu 颌下腺部分切除术
'he'xia'xian'dao'guan'jie'shi'qu'chu'shu 颌下腺导管结石取出术
'he'xia'xian'guan'kou'yi'zhi'shu 颌下腺管口移植术
'he'xia'xian'qie'chu'shu 颌下腺切除术
'he'xia'xian'yi'zhi'shu'hou'dao'guan'chong'jian'shu 颌下腺移植术后导管重建术
'he'xia'xian'zi'ti'yi'zhi'shu 颌下腺自体移植术
'he'xia'xian'zi'ti'yi'zhi'xian'ti'jian'liang'shu 颌下腺自体移植腺体减量术
'he'xia'yin'liu'shu 颌下引流术
'heng'ge'bing'sun'qie'chu'shu 横膈病损切除术
'heng'ge'bu'fen'qie'chu'shu 横膈部分切除术
'heng'ge'feng'he'shu 横膈缝合术
'heng'ge'huo'zu'zhi'jian'cha 横膈活组织检查
'heng'ge'lie'shang'feng'he'shu 横膈裂伤缝合术
'heng'ge'nong'zhong'yin'liu'shu 横膈脓肿引流术
'heng'ge'qi'bo'qi'zhi'ru'shu 横膈起搏器置入术
'heng'ge'xiu'bu'shu 横膈修补术
'heng'jie'chang'bing'sun'qie'chu'shu 横结肠病损切除术
'heng'jie'chang'bu'fen'qie'chu'shu 横结肠部分切除术
'heng'jie'chang'jiang'jie'chang'wen'he'shu 横结肠降结肠吻合术
'heng'jie'chang'po'lie'xiu'bu'shu 横结肠破裂修补术
'heng'jie'chang'qie'chu'shu 横结肠切除术
'heng'jie'chang'yi'zhuang'jie'chang'wen'he'shu 横结肠乙状结肠吻合术
'heng'jie'chang'zao'kou'bi'he'shu 横结肠造口闭合术
'heng'jie'chang'zao'kou'chong'jian'shu 横结肠造口重建术
'heng'jie'chang'zao'kou'hai'na'shu 横结肠造口还纳术
'heng'jie'chang'zao'kou'xiu'zheng'shu 横结肠造口修正术
'heng'jie'chang'zhi'chang'wen'he'shu 横结肠直肠吻合术
'hong'mo'bing'sun'qie'chu'shu 虹膜病损切除术
'hong'mo'bu'fen'qie'chu'shu 虹膜部分切除术
'hong'mo'ge'jing'ti'zhi'ru'shu 虹膜隔晶体置入术
'hong'mo'hai'na'shu 虹膜还纳术
'hong'mo'huo'zu'zhi'jian'cha 虹膜活组织检查
