'bai'nian'guo'hen 百年国恨
'ying'qu'liang'dui'tian'ming'shi 赢渠梁对天明誓
'ying'qu'liang'ming'gao'tian'xia 嬴渠梁明告天下
'ying'zhuang 嬴壮
'ying'zhuo 嬴倬
'yong'bu'xiang'fu 永不相负
'yong'bu'zu'yi'lin'ji'jue'duan 勇不足以临机决断
'yong'de'qi'suo 用得其所
'yong'qiang'han'zhi'min'er'bing'ruo 拥强悍之民而兵弱
'yong'zhe'xia 庸者下
'you'ci'wu'zhe 有此五者
'you'jiu'bian'hao 有酒便好
'you'ren'er'shen 由人而神
'you'shen'er'gui 由神而鬼
'you'xin'ru'zui 忧心如醉
'you'you'ke'qi 悠悠可期
'you'you'nan'gui 悠悠难归
'you'you'wu'gou'gong'qin'jian 幽幽吴钩共秦剑
'yu'ban'nong'quan'mou'you'tian'rang'zhi'bie 与搬弄权谋有天壤之别
'yu'ben'gong'gong'zhi'qin'guo 与本公共治秦国
'yu'chang'jun'ze'ruo 遇常君则弱
'yu'da'feng'chui 雨打风吹
'yu'gong'qi'zhi'dao'shi'wei'pian'zhi 于公器之道实为偏执
'yu'hou'shi'qian'qiu'wan'dai 于后世千秋万代
'yu'hun'jun'ze'wang 遇昏君则亡
'yu'ming'jun'ze'qiang 遇明君则强
'yu'qian'shu'san'dao'tian'rang'zhi'bie 与前述三道天壤之别
'yu'qing 虞卿
'yu'shi'zhe'de'ai'shang'peng'pai'ye'jue'fei'yi'wu 与逝者的哀伤澎湃也绝非一物
'yu'wang'tong'zi 玉王同字
'yu'xian'li'fa 预先立法
'yu'zhou'bei'zao'wu'wei 宇宙被造物围
'yu'zi 玉字
'yu'zi'san'heng'yi'shu 玉字三横一竖
'yuan'song'yu'ye 远送于野
'yuan'wen'wei'yang'zhi'lun 愿闻卫鞅之论
'yuan'yu 原雨
'yuan'yu'qin'jun'dui'deng'qi'bing'jie'zhen'chong'sha 愿与秦军对等骑兵结阵冲杀
'zai'hui'bian'hao 再会便好
'zai'qin'wu'xian 在秦无险
'zan'shang'zhi'yan'xi'bu'zi'jin 赞赏之言喜不自禁
'zao'wu'zui'zhong'you'bei'yun'yun'zhong'sheng'wei 造物最终又被芸芸众生围
'ze'gong'qi'hua'wei'si'dao 则公器化为私道
'zhan'bi'sheng'de'qiang'da'xin'jun 战必胜的强大新军
'zhan'wang'fu'ji 瞻望弗及
'zhang'bo 张博
'zhang'di 张迪
'zhang'jing'wei 张晶伟
'zhang'yi'wen 张译文
'zhao'bao 赵豹
'zhao'chun'yang 赵纯阳
'zhao'hui'wen'wang 赵惠文王
'zhao'kuo 赵括
'zhao'kuo'mu 赵括母
'zhao'li 赵栗
'zhao'lin 赵麟
'zhao'man 赵蔓
'zhao'qin'mu'chu 朝秦暮楚
'zhao'she 赵奢
'zhao'sheng 赵胜
'zhao'wa 赵娃
'zhao'xiao'cheng'wang 赵孝成王
'zhao'yang 昭阳
'zhao'zhao'ri'yue'bu'tong'xian 昭昭日月不同弦
'zhen'qing'tian'dao 真情天道
'zhen'zheng'de'da'wei'zhi'yan 真正的大伪之言
'zheng'an'ping 郑安平
'zheng'hao 郑好
'zheng'he'tian'di'wan'wu'zhi'fa'ze 正合天地万物之法则
'zheng'tian'yong 郑天庸
'zheng'xin'er'yi 正心而矣
'zhi'bu'zu'yi'tong'quan'bian 智不足以通权变
'zhi'xiang'shui'bian'xi 知向谁边兮
'zhi'yin'zi'wo'ren'zhi'bu'gou 只因自我认知不够
'zhi'zu'zhe 知足者
'zhong'bu'gao'zhi 终不告之
'zhong'bu'neng'cheng 终不能成
'zhong'bu'neng'na'bai'chuan 终不能纳百川
'zhong'jiang'da'hui'ye 终将大毁也
'zhong'jiang'zi'hui 终将自毁
'zhong'wo'yi'sheng 终我一生
'zhong'you'jin'shi 终有尽时
'zhong'you'suo'de 中有所得
'zhou'bo 周波
'zhou'le 周乐
'zhu'shuai'you'shi 主帅有失
'zhuang'nian'lie'guo'piao'bo 壮年列国漂泊
'zi'an'zhe 自安者
'zi'dang'xiu'shen'yang'xing 自当修身养性
'zi'lan 子兰
'zi'mu'gong'cheng'ba 自穆公称霸
'zi'xue'zhi'shi 自学之始
'zi'ying'tan'ran'shou'zhi 自应坦然受之
'zi'ying'you'ju'an'si'wei'zhi'jue 自应有居安思危之觉
'zong'qing'xiang'le 纵情享乐
'zu'xia'wu'duan'zhi'chi 足下无端指斥
'zuo'de'shi'bu'ke'du 做的事不可渎
'zuo'shi'yu'yan'hang'yun'zhi'li 坐失鱼盐航运之利
