'ai'qi'zi 爱其子
'qing'tian'bai'ri'ying'lou'tai 青天白日映楼台
'qing'tian'lu'zuo'shi'ci'hui 青天露坐始此回
'qing'yue'chu'ling'guang'ru'fei 清月出岭光入扉
'qiu'shuang'xi'ke'li 秋霜喜刻轹
'qu'bai'ji'shi 取败几时
'qu'di'ou'qing'zhou 去觌偶晴昼
'qu'er'fu'zi 去而父子
'qu'jiang'shui'man'hua'qian'shu 曲江水满花千树
'qu'qi'chong'she'qin'shou 驱其虫蛇禽兽
'qu'ren'yu'yi'yan'zhi'ye 去仁与义言之也
'quan'wo'shi'zuo'shi'gu'ge 劝我试作石鼓歌
'ran'er'gong'bu'jian'xin'yu'ren 然而公不见信于人
'ran'er'sheng'zhu'bu'jia'zhu 然而圣主不加诛
'ran'hou'jiao'zhi'yi'xiang'sheng'xiang'yang'zhi'dao 然后教之以相生相养之道
'ran'hou'wei'zhi'gong'shi 然后为之宫室
'ran'hou'you'qian'li'ma 然后有千里马
'ran'long'cheng'shi'qi 然龙乘是气
'ran'wu'chang'wen'feng'su'yu'hua'yi'yi 然吾尝闻风俗与化移易
'ran'ze'gu'zhi'suo'wei'zheng'xin'er'cheng'yi'zhe 然则古之所谓正心而诚意者
'rang'chi'fo'lao 攘斥佛老
'ren'fei'sheng'er'zhi'zhi'zhe 人非生而知之者
'ren'sheng'ru'ci'zi'ke'le 人生如此自可乐
'ren'sheng'you'ming'fei'you'ta 人生由命非由他
'ren'yu'yi'wei'ding'ming 仁与义为定名
'ren'zhi'hai'duo'yi 人之害多矣
'ren'zhi'hao'guai'ye 人之好怪也
'ren'zhi'lei'mie'jiu'yi 人之类灭久矣
'ri'chu'tong'guan'si'shan'kai 日出潼关四扇开
'ri'xiao'yue'shuo'jiu'mai'mo 日销月铄就埋没
'rong'bu'jian'zhi 冗不见治
'rong'ye'xu'rou'mao 融液煦柔茂
'ru'ci'zhi'bao'cun'qi'duo 如此至宝存岂多
'ru'gu'zhi'wu'sheng'ren 如古之无圣人
'ru'he'fu'nie'er'zi'zong 如何复蹑二子踪
'ru'he'lian'xiao'yu 如何连晓语
'ru'jin'dao'si'de'xian'chu 如今到死得闲处
'ru'shi'er'yi 如是而已
'ru'yu'bi 入于彼
'ru'zhe'fu'zhi 入者附之
'ru'zhe'zhu'zhi 入者主之
'ruan'ruo'lei'han'zhou 软弱类含酎
'ruo'fu'shang'cai'hui'zhi'you'wang 若夫商财贿之有亡
'san'nian'bo'shi 三年博士
'san'ren'xing 三人行
'sen'ran'po'dong'xia'ma'bai 森然魄动下马拜
'seng'yan'gu'bi'fo'hua'hao 僧言古壁佛画好
'sha'ping'shui'xi'sheng'ying'jue 沙平水息声影绝
'shan'hong'jian'bi'fen'lan'man 山红涧碧纷烂漫
'shan'hu'bi'shu'jiao'zhi'ke 珊瑚碧树交枝柯
'shan'huang'zha'pu'su 杉篁咤蒲苏
'shan'jing'ji'di'zhi 山经及地志
'shan'jing'jiang'kong'shui'jian'sha 山净江空水见沙
'shan'ru'bi'yu'sen 山如碧玉篸
'shan'shi'luo'que'xing'jing'wei 山石荦确行径微
'shang'gui'yao'si 上规姚姒
'shao'ling'wu'ren'zhe'xian'si 少陵无人谪仙死
'shao'shi'zhi'xue 少始知学
'she'shu'yi'ri'xing'wan'li 赦书一日行万里
'shen'bian'hua 神变化
'shen'ling'ri'xiao'xu 神灵日歊歔
'shen'wu'an'gan'kou 神物安敢寇
'shen'yan'zhao'zhi'shi'chu'hu'qi'xing'zhe'zai 矧燕赵之士出乎其性者哉
'shen'yi 甚矣
'shen'zong'yu'fu'nan'wei'gong 神纵欲福难为功
'sheng'en'ruo'xu'liu'tai'xue 圣恩若许留太学
'sheng'hu'wu'hou 生乎吾后
'sheng'hu'wu'qian 生乎吾前
'sheng'jie'yu'lv'jian'pu'jiu 升阶伛偻荐脯酒
'sheng'ren'bu'si 圣人不死
'sheng'ren'wu'chang'shi 圣人无常师
'sheng'ren'zhi'suo'yi'wei'sheng 圣人之所以为圣
'sheng'tang'zuo'jie'xin'yu'zu 升堂坐阶新雨足
'shi'bu'bao 食不饱
'shi'bu'bi'xian'yu'di'zi 师不必贤于弟子
'shi'da'fu'zhi'zu 士大夫之族
'shi'dao'zhi'bu'chuan'ye'jiu'yi 师道之不传也久矣
'shi'dao'zhi'bu'fu'ke'zhi'yi 师道之不复可知矣
'shi'de'guan'lan'fu 始得观览富
'shi'er'ru'zhe 是二儒者
'shi'gu'di'zi'bu'bi'bu'ru'shi 是故弟子不必不如师
'shi'gu'ge 石鼓歌
'shi'gu'jun'zhe 是故君者
'shi'gu'sheng'yi'sheng 是故圣益圣
'shi'gu'wu'gui'wu'jian 是故无贵无贱
'shi'gu'zhi'ge'zhi'yu'ci 石鼓之歌止于此
'shi'gu'zhi'zai'shu'luo'tuo 十鼓只载数骆驼
'shi'jian'song'li'jie'shi'wei 时见松枥皆十围
'shi'kan'bai'niao'xiang 使看百鸟翔
'shi'lin'teng'zhi'dui'zhu'rong 石廪腾掷堆祝融
'shi'ma'ye 是马也
'shi'ma'zhe'bu'zhi'qi'neng'qian'li'er'shi'ye 食马者不知其能千里而食也
'shi'que'wu'qiong'bu'de'gui 湿却无穷不得归
'shi'sheng'jiu'si'dao'guan'suo 十生九死到官所
'shi'shi'yi'luo'qian'zhang'qiang 失势一落千丈强
'shi'shuo 师说
'shi'suo'wei'jie'jiang'shi'zhi'bu'yi'yi'wei'ying 是所谓诘匠氏之不以杙为楹
'shi'tian'hui'da'xue 时天晦大雪
'shi'yi'lei'pang'pang 湿衣泪滂滂
'shi'you'bo'le 世有伯乐
'shi'zhe 师者
'shi'zhi'bu'neng'jin'qi'cai 食之不能尽其材
'shi'zhi'suo'cun'ye 师之所存也
'shou'bu'ting'pi'yu'bai'jia'zhi'bian 手不停披于百家之编
'shou'chi'bei'jiao'dao'wo'zhi 手持杯珓导我掷
'shou'zhi'shu'er'xi'qi'ju'du'zhe 授之书而习其句读者
'shu'cong'er'ting'zhi 孰从而听之
'shu'li'yi'zu'bao'wo'ji 疏粝亦足饱我饥
'shu'neng'wu'huo 孰能无惑
'shu'shan'za'wu'you 倏闪杂鼯鼬
'shu'ye'you'zhuan'gong 术业有专攻
'shu'yun'duo'er'bu'yang 孰云多而不扬
'shu'zhi'shang'ke'bo'bai'e 数纸尚可博白鹅
'shui'fu'zhu'shou'wei'ma'sa 谁复著手为摩挲
'shui'ken'liu'lian'shao'huan'hui 谁肯留恋少环回
'shui'sheng'ji'ji'feng'chui'yi 水声激激风吹衣
'shui'shou'chun'se'jiang'gui'qu 谁收春色将归去
'shui'xia'tu 水下土
'si'bu'jian'zhu'yu'you 私不见助于友
'si'fang'huan'zhen'song'dang'zhong 四方环镇嵩当中
'si'fang'shang'xia'zhu'dong'ye 四方上下逐东野
'si'huang'ji'sheng'deng'kui'gao 嗣皇继圣登夔皋
'song'bai'yi'jing'qu'ling'gong 松柏一径趋灵宫
'song'bai'zai'shan'gang 松柏在山冈
'song'dong'shao'nan'you'he'bei'xu 送董邵南游河北序
'song'gui'zhou'yan'dai'fu'tong'yong'nan'zi 送桂州严大夫同用南字
'song'li'yuan'gui'pan'gu'xu 送李愿归盘谷序
'song'qiong'wen 送穷文
'song'shi'chu'shi'xu 送石处士序
'song'yang'shao'yin'xu 送杨少尹序
'sou'yu'qi'yang'cheng'xiong'jun 蒐于岐阳骋雄俊
'su'long'gong'tan 宿龙宫滩
'su'yuan'xin'shi'fu 宿愿忻始副
'sui'cuan'nan'yi 遂窜南夷
'sui'mi'lin'su 岁靡廪粟
'sui'qin'bu'xie'xia 虽亲不亵狎
'sui'xu'zhen'si'neng'ju'gong 睢盱侦伺能鞠躬
'sui'you'jiu'mo'wu'chen'ai 虽有九陌无尘埃
'sui'you'jue'ding'shui'neng'qiong 虽有绝顶谁能穷
'sui'you'li'bie'wu'you'feng 虽有离别无由逢
'sui'you'qian'li'zhi'neng 虽有千里之能
'sui'yuan'bu'bei'miu 虽远不悖谬
'suo'yi'chuan'dao'shou'ye'jie'huo'ye 所以传道受业解惑也
'suo'zhu'cai'zuo'you 所瞩才左右
'tai'shan'yi'hao'mang 太山一毫芒
'tan'duo'wu'de 贪多务得
'tan'li'de'xie'hou 探历得邂逅
'tan'sheng'yi'geng'yang 滩声抑更扬
'tao'chan'yu'chu 逃谗于楚
'teng'shen'kua'han'man 腾身跨汗漫
'tian'di'kuo'yuan'sui'fei'yang 天地阔远随飞扬
'tian'gong'gao'ju'gui'shen'e 天公高居鬼神恶
'tian'jia'shen'bing'zhuan'qi'xiong 天假神柄专其雄
'tian'jie'xiao'yu'run'ru'su 天街小雨润如酥
'tian'kong'fu'xiu'mei 天空浮修眉
'tian'lu'you'xian'nan'zhui'pan 天路幽险难追攀
'tian'ming'du'qu'wu'dao'lu 天明独去无道路
'tian'xia'wu'ma 天下无马
'tian'xia'zhi'gong'yan'ye 天下之公言也
'tiao'shan'cang 条山苍
'tiao'zhang'ji 调张籍
'ting'ying'shi'tan'qin 听颖师弹琴
'tong'huo'cai 通货财
'tong'shi'bei'liu'duo'shang'dao 同时辈流多上道
'tou'qi'ji'bu'kou 投弃急哺鷇
'tou'tong'chi'huo 头童齿豁
'tou'xian'zhi'san 投闲置散
'tu'chu'er'bing'ye 土处而病也
'tu'ci'wei'jing 吐辞为经
'tu'guan'fu'zao'hen 徒观斧凿痕
'tu'qi'mo'jian'zao 突起莫间簉
'tuan'ci'shi'ti'qie 团辞试提挈
'tui'shou'ju'zhi'zhi 推手遽止之
'tuo'xian'yu'bi'chou 脱险逾避臭
'wan'li'qin'shou'jie'zhe'luo 万里禽兽皆遮罗
'wan'tai'ti'xian'lu'jie'jiao 剜苔剔藓露节角
'wang'ji'liang'zhi'suo'cheng 忘己量之所称
'wang'shi'bei'tao'he'dang'hui 王师北讨何当回
'wei'bao'jun'en'zhi'si'suo 未报君恩知死所
'wei'bei'ze'zu'xiu 位卑则足羞
'wei'ci'liang'fu'zi 唯此两夫子
'wei'guai'zhi'yu'wen 惟怪之欲闻
'wei'jiang'xian'zhi'ling'qing'jing 为将纤质凌清镜
'wei'jie'man'tian'zuo'xue'fei 惟解漫天作雪飞
'wei'kong'zi'zhe 为孔子者
'wei'lan'dong'shui'mian 微澜动水面
'wei'mian'chui'chu'chen'ai'jian 未免捶楚尘埃间
'wei'qi'shi'shi'zhe 惟器是适者
'wei'rong'sang'xiao'shuang 威容丧萧爽
'wei'sheng'ting'si'huang 未省听丝篁
'wei'wo'diao'wang'zhu'jun'zhi'mu 为我吊望诸君之墓
'wei'wo'du'liang'jue'jiu'ke 为我度量掘臼科
'wei'yong'zan'bao'you 惟用赞报酭
'wei'zhi'cheng'guo'jia'bing'yi'shou'zhi 为之城郭甲兵以守之
'wei'zhi'gong'yi'shan'qi'qi'yong 为之工以赡其器用
'wei'zhi'jia'yi'tong'qi'you'wu 为之贾以通其有无
'wei'zhi'jun 为之君
'wei'zhi'le'yi'xuan'qi'yan'yu 为之乐以宣其湮郁
'wei'zhi'li'yi'ci'qi'xian'hou 为之礼以次其先后
'wei'zhi'shi 为之师
'wei'zhi'xing'yi'chu'qi'qiang'geng 为之刑以锄其强梗
'wei'zhi'yi'yao'yi'ji'qi'yao'si 为之医药以济其夭死
'wei'zhi'zang'mai'ji'si'yi'chang'qi'en'ai 为之葬埋祭祀以长其恩爱
'wei'zhi'zheng'yi'lv'qi'dai'juan 为之政以率其怠倦
'wen'dao'you'xian'hou 闻道有先后
'wen'sui'qi'er'bu'ji'yu'yong 文虽奇而不济于用
'wo'ge'jin'yu'jun'shu'ke 我歌今与君殊科
'wo'lai'zheng'feng'qiu'yu'jie 我来正逢秋雨节
'wo'yuan'sheng'liang'chi 我愿生两翅
'wo'zai'yu'shui'ju 我在与谁居
'wu'cong'er'shi'zhi 吾从而师之
'wu'e'zhi'qi'jin'bu'yi'yu'gu'suo'yun'xie 吾恶知其今不异于古所云邪
'wu'feng'zi'piao'bo 无风自飘簸
'wu'hu'wu'yi'qi'cuo'tuo 呜呼吾意其蹉跎
'wu'huan'you'si'zhi'bu'gong 无患有司之不公
'wu'huan'you'si'zhi'bu'ming 无患有司之不明
'wu'nai'jia'zu'zhou 无乃假诅咒
'wu'ren'shou'shi'li'ze'na 无人收拾理则那
'wu'shi'dao'ye 吾师道也
'wu'wei'jian'qi'ming'ye 吾未见其明也
'wu'wen'jing'cheng'nan 吾闻京城南
'wu'wu'kuang'yi'niu 兀兀狂以狃
'wu'yi'bing'tan'zhi'wo'chang 无以冰炭置我肠
'wu'yi'yue'shi'bai'gong'zhi'ren 巫医乐师百工之人
'wu'yin'zi'you'suo'gan'yi 吾因子有所感矣
'wu'yu'dong'ye'sheng'bing'shi 吾与东野生并世
'wu'yu'mao'lin'jie'yi'ju'han're'ye 无羽毛鳞介以居寒热也
'wu'yuan'shen'wei'yun 吾愿身为云
'wu'yue'ji'zhi'jie'san'gong 五岳祭秩皆三公
'wu'yue'liu'hua'zhao'yan'ming 五月榴花照眼明
'wu'zhang'wu'shao 无长无少
'wu'zhao'ya'yi'zheng'shi'ye 无爪牙以争食也
'wu'zhe'wang'cheng'fu'chuan 圬者王承福传
'wu'zhi'qi'bi'you'he'ye 吾知其必有合也
'xi'bian'chao'zhou'lu'ba'qian 夕贬潮州路八千
'xi'da'bu'juan 细大不捐
'xi'mu'wei'jue 细木为桷
'xi'nan'xiong'tai'bai 西南雄太白
'xi'nian'yin'du'li'bai'du'fu'shi 昔年因读李白杜甫诗
'xi'wen'qi'shuo 习闻其说
'xi'zhe'meng'ke'hao'bian 昔者孟轲好辩
'xi'zhi'su'shu'chen'zi'mei 羲之俗书趁姿媚
'xia'chuang'wei'she'shi'wei'yao 下床畏蛇食畏药
'xia'ge'er'dong'qiu 夏葛而冬裘
'xia'yan'bai'mu'sheng 夏炎百木盛
'xia'you'yi'shuang'yu 下有一双鱼
'xian'cheng'qi'yi 先诚其意
'xian'guan'chi'liu'ding 仙官敕六丁
'xian'qi'qi'jia 先齐其家
'xian'qiang'shi'yi'chu 先强势已出
'xian'sheng'kou'bu'jue'yin'yu'liu'yi'zhi'wen 先生口不绝吟于六艺之文
'xian'sheng'qi'yu'zai 先生欺余哉
'xian'sheng'zhi'ye 先生之业
'xian'sheng'zhi'yu'ru 先生之于儒
'xian'sheng'zhi'yu'wei'ren 先生之于为人
'xian'xiu'qi'shen 先修其身
'xian'yun'si'juan'tian'wu'he 纤云四卷天无河
'xian'zheng'qi'xin 先正其心
'xian'zhi'qi'guo 先治其国
'xiang'dang'shi'shou'shi 想当施手时
'xiang'duo'ye 相夺也
'xiang'gong'qin'po'cai'zhou'hui 相公亲破蔡州回
'xiang'qi'ye 相欺也
'xiang'sui'wo'bu'ru 相随我不如
'xiang'zhong 湘中
'xiao'can'yu'song'liang 宵残雨送凉
'xiao'xue'er'da'yi 小学而大遗
'xiao'yan'yi'kou'he'huan'hai 笑言溢口何欢咍
'xiao'yao'yue'kun'wei 逍遥越坤位
'xin'nian'dou'wei'you'fang'hua 新年都未有芳华
'xin'xi'zhao'wei'e 新曦照危峨
'xin'yi'gao'hua'zui'xian'kai 辛夷高花最先开
'xin'yi'hua'fang'hu'quan'kai 辛夷花房忽全开
'xing'cheng'yu'si 行成于思
'xing'er'yi'zhi'zhi'wei'yi 行而宜之之谓义
'xing'huan'bu'neng'cheng 行患不能成
'xing'jun'zhi'ling'er'zhi'zhi'min'zhe'ye 行君之令而致之民者也
'xing'sui'xiu'er'bu'xian'yu'zhong 行虽修而不显于众
'xing'xing'jiang'sui'qiong 行行将遂穷
'xing'yue'yan'ying'yun'tong'long 星月掩映云曈昽
'xiong'fu'ju'ke'xiang'xun'lai 凶讣讵可相寻来
'xu'jie'xin'qi'guai 吁嗟信奇怪
'xu'yu'jing'sao'zhong'feng'chu 须臾静扫众峰出
'xuan'gui'dao'hui'ni 旋归道回睨
'xuan'jiu'bai'niao'qun 喧啾百鸟群
'xuan'wang'fen'qi'hui'tian'ge 宣王愤起挥天戈
'xuan'zhuang'jun'xing'bu'wei'yong 选壮军兴不为用
'xue'yong'lan'guan'ma'bu'qian 雪拥蓝关马不前
'xue'yu'yu 学于余
'xun'qing'shou'zheng 荀卿守正
'xun'zhui'xu'zhi'mang'mang 寻坠绪之茫茫
'yan'luan'sui'lv'cui 岩峦虽嵂崒
'yan'sui'duo'er'bu'yao'qi'zhong 言虽多而不要其中
'yan'wei'ji 言未既
'yan'yan'jia'ku'jiu 巘巘驾库厩
'yan'yan'li'you'shu 延延离又属
'yan'zhao'gu'cheng'duo'gan'kai'bei'ge'zhi'shi 燕赵古称多感慨悲歌之士
'yang'hua'qing'hou'zi'fei'fei 杨花晴后自飞飞
'yang'hua'yu'jia'wu'cai'si 杨花榆荚无才思
'yang'jian'tu'wu'cheng'qing'kong 仰见突兀撑青空
'yang'xi'ya'bu'pu 仰喜呀不仆
'yao'he'fen'ding'dou 肴核纷饤饾
'ye'heng'yue'miao'sui'su'yue'si'ti'men'lou 谒衡岳庙遂宿岳寺题门楼
'ye'jing'yu'qin 业精于勤
'ye'meng'duo'jian'zhi 夜梦多见之
'ye'shen'jing'wo'bai'chong'jue 夜深静卧百虫绝
'ye'tou'fo'si'shang'gao'ge 夜投佛寺上高阁
'yi'bei'xiang'zhu'jun'dang'ge 一杯相属君当歌
'yi'feng'chao'zou'jiu'chong'tian 一封朝奏九重天
'yi'hu'ru'ren'jia'ming'se 已呼孺人戛鸣瑟
'yi'huo'lai'zhao'suo'jian'xi 以火来照所见稀
'yi'nian'ming'yue'jin'xiao'duo 一年明月今宵多
'yi'qiu'qi'suo'wei'qing'jing'ji'mie'zhe 以求其所谓清净寂灭者
'yi'ren'zhi'si'yan'ye 一人之私言也
'yi'shi'cai'zu'gan'chang'zhong 衣食才足甘长终
'yi'shi'huo'jin'su'yi'dan 一食或尽粟一石
'yi'shi'qi'shang 以事其上
'yi'shi'zhi'liang'ye 医师之良也
'yi'wo'sheng'qi'hou 伊我生其后
'yi'xi'chu'meng'bo'shi'zheng 忆昔初蒙博士征
'yi'zhang'heng'gao'mao 亿丈恒高袤
'yin'jun'shi'ba'kan'shuang'bin 吟君诗罢看双鬓
'yin'qi'hui'mei'wu'qing'feng 阴气晦昧无清风
'yin'rong'bu'jie'zhi'ge'ye 音容不接只隔夜
'yin'xian'zong'teng'rou 阴霰纵腾糅
'yin'ya'hua'beng'huo 垠崖划崩豁
'yin'yin'shu'qiang'yuan 誾誾树墙垣
'yin'yu'zeng'mai'fu 荫郁增埋覆
'yin'yuan'kui'qi'qiu 因缘窥其湫
'ying'fan'song'xie'bie'you'yi 迎繁送谢别有意
'ying'hu'er'cheng'neng 颖乎尔诚能
'ying'ke'mu'shi'yu'ren'shu 应科目时与人书
'yong'shi'fu'di'chang 勇士赴敌场
'yong'yan'nan'shu'you 拥掩难恕宥
'yong'yu'gan'wei 勇于敢为
'yong'yue'zao'nao'you 踊跃躁猱狖
'you'di'mang'shi'bu'ken'lai 有底忙时不肯来
'you'jiu'bu'yin'nai'ming'he 有酒不饮奈明何
'you'ju'mo'mo'ru'cang'tao 幽居默默如藏逃
'you'qie'cong'shi'er'wen'yan 犹且从师而问焉
'you'qie'yue'fei'feng'qian 犹且月费俸钱
'you'ru'cun'ting'zhuang'ju'zhong 有如寸筳撞巨钟
'you'ru'sheng'yu 优入圣域
'you'ru'you'jiu'yuan 又如游九原
'you'sheng'ren'zhe'li 有圣人者立
'you'shi'er'zhi'yan'zhi'wei'dao 由是而之焉之谓道
'you'xiao'yu'lie'zhe'yue 有笑于列者曰
'you'you'shu'er'an 悠悠舒而安
'yu'bao'xing'ming'cheng'nan'zai 欲保性命诚难哉
'yu'chen'gei'shi'shu 与陈给事书
'yu'duo'niao'jing'jiu 欲堕鸟惊救
'yu'jia'qi'neng'xing'gu'dao 余嘉其能行古道
'yu'jia'zhi'neng'sui'liu'xu 榆荚只能随柳絮
'yu'jin'bu'ke'you 欲进不可又
'yu'jin'qi'xi'ling'ye 欲进其豨苓也
'yu'lin'ri'jiu'ye'huo'liao 雨淋日灸野火燎
'yu'qi'qi'jia'zhe 欲齐其家者
'yu'qi'shen'ye 于其身也
'yu'ren'zhi'suo'yi'wei'yu 愚人之所以为愚
'yu'ren'zhi'wu'huo'ye'nan'yi 欲人之无惑也难矣
'yu'wei'sheng'ming'chu'bi'shi 欲为圣明除弊事
'yu'wo'gao'xie'hang 与我高颉颃
'yu'xia'ke'fu'duo 鱼虾可俯掇
'yu'xiu'liang'bu'neng 欲休谅不能
'yu'xiu'qi'shen'zhe 欲修其身者
'yu'yi'fei'bo'ming'qi'zhong 欲以菲薄明其衷
'yu'yi'yu 愚益愚
'yu'yu'shi'zi'tu 郁郁适兹土
'yu'yu'wei'yan 纡馀为妍
'yu'yu'yu'chuang'ping 喁喁鱼闯萍
'yu'zheng'qi'xin'zhe 欲正其心者
'yu'zhi'qi'guo'zhe 欲治其国者
'yu'zi'you'nian'yi 于兹有年矣
'yuan'chou'yu'yong'shui'fan'bo 猿愁鱼踊水翻波
'yuan'dao 原道
'yuan'de'zhong'shi'ru'ju'qiong 原得终始如駏蛩
'yuan'jia'qi'bi'shou 远贾期必售
'yuan'jie'bian'kou'ru'xuan'he 愿借辩口如悬河
'yuan'ming'zhong'dong'bu'zhi'shu 猿鸣钟动不知曙
'yuan'sheng'deng'xian'qu 远胜登仙去
'yue'shi'yue'di'zi'yun'zhe 曰师曰弟子云者
'yue'tian'xiao'zhe 曰天小者
'yun'ci'zui'ji'yu'nan'tong 云此最吉余难同
'yun'dang'jing'chang'xian'xian'sun 筼筜竞长纤纤笋
'yun'gu'fu'ling'yu'long'ye 云固弗灵于龙也
'yun'heng'qin'ling'jia'he'zai 云横秦岭家何在
'yun'qi'zheng'jie'gou 云气争结构
'yun'yi'ling'guai'yi'zai 云亦灵怪矣哉
'za'jin'qiao'zhuo 杂进巧拙
'zai'chen'bu'jian'chi 宰臣不见斥
'zai'xiang'zhi'fang'ye 宰相之方也
'zan'wei'yu'shi 暂为御史
'zao'chun'cheng'shui'bu'zhang'shi'ba'yuan'wai 早春呈水部张十八员外
'zao'shi'zuo'gu'hui'cuo'e 凿石作鼓隳嵯峨
'ze'bi'you'wo'shi 则必有我师
'ze'chi'shi'yan 则耻师焉
'ze'gui'yu'fo 则归于佛
'ze'gui'yu'mo 则归于墨
'ze'qun'ju'er'xiao'zhi 则群聚而笑之
'ze'shi'er'jiao'zhi 择师而教之
'ze'shi'qi'suo'yi'wei'chen 则失其所以为臣
'ze'shi'qi'suo'yi'wei'jun 则失其所以为君
'ze'zhu 则诛
'zhan'bao'xi'guo'ke'li'zhi 毡包席裹可立致
'zhan'ma'ku'ji'shui'nian'zai 战马苦饥谁念哉
'zhan'xiao'shan'zhe'lv'yi'lu 占小善者率以录
'zhang'bai'chuan'er'dong'zhi 障百川而东之
'zhang'huang'you'miao 张皇幽眇
'zhang'sheng'shou'chi'shi'gu'wen 张生手持石鼓文
'zhao'zhu'sheng'li'guan'xia 招诸生立馆下
'zhe'huan'tian'xia 辙环天下
'zhe'zhuo'li'qu'shou 磔卓立癯瘦
'zhen'bu'zhi'ma'ye 真不知马也
'zheng'lan'xiang'hong'dong 蒸岚相澒洞
'zheng'rong'ji'zhong'ding 峥嵘跻冢顶
'zheng'xian'wan'huan'fei 争衔弯环飞
'zhi'ce'er'lin'zhi 执策而临之
'zhi'jian'shi'jian'zi'chu'cheng 枝间时见子初成
'zhi'ju'bi'zhang 治具毕张
'zhi'qian'ren'zhi'xia'ci 指前人之瑕疵
'zhi'ru'yu'nu'li'ren'zhi'shou 只辱于奴隶人之手
'zhi'ru'yuan'lai'ying'you'yi 知汝远来应有意
'zhi'shang'ruo'xuan'liu 直上若悬溜
'zhi'shi'shuo'jia'xiang 只是说家乡
'zhi'zhi'neng'hua'mao 峙质能化贸
'zhi'zhu'xian'kai'yan'yan'hua 踯躅闲开艳艳花
'zhong'bu'jie'yi 终不解矣
'zhong'chang'tu'zhi'yi'yi 踵常途之役役
'zhou'dao'shuai 周道衰
'zhou'gang'ling'chi'si'hai'fei 周纲凌迟四海沸
'zhou'jia'shen'ming'shi'jia'yi 州家申名使家抑
'zhou'si'fan'wei'mang 昼思反微茫
'zhu'hou'jian'pei'ming'xiang'mo 诸侯剑佩鸣相磨
'zhu'hou'yong'yi'li'ze'yi'zhi 诸侯用夷礼则夷之
'zhu'sheng'jiang'jie'de'qie'cuo 诸生讲解得切磋
'zhu'sheng'ye'huan'bu'neng'jing 诸生业患不能精
'zhu'wei'fang'shao'ri 朱维方烧日
'zhuan'xin'yi'ping'dao 专心忆平道
'zhuo'guan'mu'yu'gao'ji'jiu 濯冠沐浴告祭酒
'zhuo'luo'wei'jie 卓荦为杰
'zhuo'zhuo'tu'shen'xiu 濯濯吐深秀
'zi'bu'zhi'geng 子不知耕
'zi'can'qing'hao'yi'chang'song 自惭青蒿倚长松
'zi'chan'bu'hui'xiang'xiao'song 子产不毁乡校颂
'zi'di'zai'xiang'nan 兹地在湘南
'zi'fei'qi'xing'yu 兹非其幸欤
'zi'gai'lian'yan'jie'tian'zhu 紫盖连延接天柱
'zi'gu'liu'chuan'shi'mi'luo 自古流传是汨罗
'zi'ti'bu'lei'li'yu'ke 字体不类隶与蝌
'zi'wei'qun'shan'you 兹惟群山囿
'zi'wen'ying'shi'dan 自闻颖师弹
'zi'yan'er'bu'fu'qi 子焉而不父其
'zu'hu'ji'wu'dai'yu'wai'zhi'wei'de 足乎己无待于外之谓德
'zu'lao'yu'xing 卒老于行
'zuan'yan'zhe'bi'gou'qi'xuan 纂言者必钩其玄
'zui'cong'da'pi'jie'chu'si 罪从大辟皆除死
'zui'liu'dong'ye 醉留东野
'zui'shi'yi'nian'chun'hao'chu 最是一年春好处
'zuo'jian'ju'guo'lai'ben'bo 坐见举国来奔波
'zuo'jing'er'guan'tian 坐井而观天
'zuo'kuang'chao'lun'wu'you'pei 坐狂朝论无由陪
'zuo'lai'feng'qing'ji 昨来逢清霁
'zuo'qi'min 作器皿
'zuo'qian'zhi'lan'guan'shi'zhi'sun'xiang 左迁至蓝关示侄孙湘
'zuo'shi'shuo'yi'yi'zhi 作师说以贻之
'zuo'wei'wen'zhang 作为文章
'zuo'you'ju'yi 左右具宜
'zuo'zhe'zhou'qian'chui'da'gu 昨者州前捶大鼓
