'a'er'tai'chai'hu 阿尔泰柴胡
'luan'ye'bian'dou'cai 卵叶变豆菜
'luan'ye'ding'xiang'liao 卵叶丁香蓼
'luan'ye'hu'jiao 卵叶胡椒
'luan'ye'qiang'huo 卵叶羌活
'lun'san'wu'jia 轮伞五加
'lun'san'wu'ye'can 轮伞五叶参
'luo'fu'mai'ma'teng 罗浮买麻藤
'luo'guo'hu'jiao 裸果胡椒
'luo'han'bai 罗汉柏
'luo'han'song 罗汉松
'luo'jing'nang'ban'qin 裸茎囊瓣芹
'luo'san 罗伞
'luo'shuo 裸蒴
'luo'xuan'shan'ye'zao 螺旋杉叶藻
'luo'ye'chen'guo'hu'jiao 落叶沉果胡椒
'luo'ye'song 落叶松
'luo'yu'shan 落羽杉
'lv'dao'hu'jiao 绿岛胡椒
'lv'gan'bai 绿干柏
'lv'hua'shan'qin 绿花山芹
'lv'song'tian'hu'sui 吕宋天胡荽
'ma'chang'zi'shu 马肠子树
'ma'li'po'e'zhang'chai 麻栗坡鹅掌柴
'ma'ti'can 马蹄参
'ma'wei'song 马尾松
'mai'diao'shan 麦吊杉
'mai'lin'liu'ye'cai 埋鳞柳叶菜
'mai'ma'teng 买麻藤
'mai'ye'chi'leng'qin 脉叶翅棱芹
'mao'bai'yang 毛白杨
'mao'bing'tian'hu'sui 毛柄天胡荽
'mao'cao'long 毛草龙
'mao'geng'cao'ye'wu'jia 毛梗糙叶五加
'mao'geng'hong'mao'wu'jia 毛梗红毛五加
'mao'geng'ji'sheng'wu'ye'can 毛梗寄生五叶参
'mao'guo'xia'qiang'qin 毛果狭腔芹
'mao'lai 毛梾
'mao'mai'jin'su'lan 毛脉金粟兰
'mao'mai'liu'luan 毛脉柳卵
'mao'mai'liu'ye'cai 毛脉柳叶菜
'mao'shan'qin 毛山芹
'mao'xu'xi'feng'qin 毛序西风芹
'mao'ye'ci'qiu 毛叶刺楸
'mao'ye'cong'mu 毛叶葱木
'mao'ye'dan'shi'zhu'yu 毛叶单室茱萸
'mao'ye'hong'mao'wu'jia 毛叶红毛五加
'mao'ye'hu'jiao 毛叶胡椒
'mao'ye'lai'mu 毛叶梾木
'mao'ye'xiu'mao'wu'ye'can 毛叶锈毛五叶参
'mao'zhi'luo'han'song 毛枝罗汉松
'mao'zhi'wu'zhen'song 毛枝五针松
'mao'zhou'xing'an'yang 毛轴兴安杨
'mei'guo'bian'bai 美国扁柏
'mei'guo'jian'ye'bian'bai 美国尖叶扁柏
'meng'gu'qian'hu 蒙古前胡
'meng'hai'hu'jiao 勐海胡椒
'meng'ya'song 萌芽松
'meng'zi'cao'hu'jiao 蒙自草胡椒
'meng'zi'shui'qin 蒙自水芹
'mi'guo'qin 迷果芹
'mi'hua'tao'ye'shan'hu 密花桃叶珊瑚
'mi'hua'yan'feng 密花岩风
'mi'lin'yang 米林杨
'mi'liu'liu'guo'qin 密瘤瘤果芹
'mi'mai'e'zhang'chai 密脉鹅掌柴
'mi'mao'da'ban'qin 密毛大瓣芹
'mi'mao'tao'ye'shan'hu 密毛桃叶珊瑚
'mi'san'tian'hu'sui 密伞天胡荽
'mi'ye'hong'dou'shan 密叶红豆杉
'mi'ye'yang 密叶杨
'mi'zhi'yuan'bai 密枝圆柏
'mian'dian'yun'shan 缅甸云杉
'min'he'yang 民和杨
'min'jiang'bai'mu 岷江柏木
'min'jiang'leng'shan 岷江冷杉
'ming'dang'shen 明党参
'mo'bao'gao'ben 膜苞藁本
'mo'guo'ma'huang 膜果麻黄
'mo'jue'nang'ban'qin 膜蕨囊瓣芹
'mo'pan'xi'feng'qin 膜盘西风芹
'mo'tuo'leng'shan 墨脱冷杉
'mo'xi'ge'bai'mu 墨西哥柏木
'mo'xi'ge'luo'yu'shan 墨西哥落羽杉
'mu'ma'huang 木麻黄
'mu'zei'ma'huang 木贼麻黄
'nan'chang'ge'ling 南昌格菱
'nan'chuan'qian'hu 南川前胡
'nan'chuan'qing'jia'ye 南川青荚叶
'nan'fang'da'ye'chai'hu 南方大叶柴胡
'nan'fang'hong'dou'shan 南方红豆杉
'nan'fang'lu'zhu'cao 南方露珠草
'nan'hu'dang'gui 南湖当归
'nan'hu'liu'ye'cai 南湖柳叶菜
'nan'ling'qian'hu 南岭前胡
'nan'pan'jiang'su'tie 南盘江苏铁
'nan'ya'song 南亚松
'nan'yang'sha 南洋杉
'nei'meng'yan'zi'cai 内蒙眼子菜
'nei'meng'yang 内蒙杨
'niu'ye'yan'zi'cai 扭叶眼子菜
'nong'zi'long'yan'du'huo 浓紫龙眼独活
'nu'jiang'hong'shan 怒江红杉
'nu'jiang'leng'shan 怒江冷杉
'ou'dang'gui 欧当归
'ou'fang'feng 欧防风
'ou'qin 欧芹
'ou'ze'qin 欧泽芹
'ou'zhou'chi'song 欧洲赤松
'ou'zhou'da'ye'yang 欧洲大叶杨
'ou'zhou'hei'song 欧洲黑松
'ou'zhou'hong'rui'mu 欧洲红瑞木
'ou'zhou'luo'ye'song 欧洲落叶松
'ou'zhou'shan'yang 欧洲山杨
'ou'zhou'yun'shan 欧洲云杉
'pa'mi'er'yan'zi'cai 帕米尔眼子菜
'pa'mi'yang 帕米杨
'pan'ye'luo'san 盘叶罗伞
'pan'ye'zhang'ye'shu 盘叶掌叶树
'pan'zhi'hua'su'tie 攀枝花苏铁
'peng'shui'bian'dou'cai 彭水变豆菜
'pi'pa'ye'shan'hu 枇杷叶珊瑚
'pi'zhen'wu'ye'can 披针五叶参
'ping'bian'hu'jiao 屏边胡椒
'ping'bian'san'qi 屏边三七
'pu'di'bai 铺地柏
'pu'fu'lu'zhu'cao 匍匐露珠草
'pu'fu'wu'jia 匍匐五加
'pu'san'yan'zi'cai 铺散眼子菜
'pu'xiang'pu 普香蒲
'pu'zhi'chai'hu 匍枝柴胡
'qi'bai'zhi 祁白芷
'qi'lian'yuan'bai 祁连圆柏
'qi'tou'rong 齐头绒
'qian'guo'hu'jiao 嵌果胡椒
'qian'lie'luo'san 浅裂罗伞
'qian'lie'zhang'ye'shu 浅裂掌叶树
'qiao'bing'mu 鞘柄木
'qiao'jia'wu'zhen'song 巧家五针松
'qiao'shan'xiong 鞘山芎
'qiao'song 乔松
'qie'yi'ye'qian'hu 窃衣叶前胡
'qin'ling'dang'gui 秦岭当归
'qin'ling'hong'shan 秦岭红杉
'qin'ling'leng'shan 秦岭冷杉
'qin'ling'xiao'ye'yang 秦岭小叶杨
'qin'ye'long'yan'du'huo 芹叶龙眼独活
'qing'gan'yang 青甘杨
'qing'hai'yun'shan 青海云杉
'qing'jia'ye 青荚叶
'qing'mao'yang 青毛杨
'qing'mu 青木
'qing'qian 青扦
'qing'shui'yuan'bai 清水圆柏
'qing'xi'yang 清溪杨
'qing'yang 青杨
'qiong'dao'yang 琼岛杨
'qiu'gen'a'wei 球根阿魏
'qiu'jiao'ling 丘角菱
'qiu'sui'hu'jiao 球穗胡椒
'qiu'xu'e'zhang'chai 球序鹅掌柴
'qiu'xu'xiang'pu 球序香蒲
'qiu'zi'mai'ma'teng 球子买麻藤
'qu'ban'lai'mu 曲瓣梾木
'qu'bing'dang'gui 曲柄当归
'qu'xu'yue'jian'cao 曲序月见草
'qu'zhou'hei'san'leng 曲轴黑三棱
'quan'lie'ye'a'wei 全裂叶阿魏
'quan'sheng'yan'zi'cai 泉生眼子菜
'quan'ye'shan'qin 全叶山芹
'quan'yuan'jin'su'lan 全缘金粟兰
'quan'yuan'wu'ye'can 全缘五叶参
're'dai'song 热带松
'ren'shen 人参
'ri'ben'bian'bai 日本扁柏
'ri'ben'fei'shu 日本榧树
'ri'ben'hua'bai 日本花柏
'ri'ben'jia'fan'lv 日本假繁缕
'ri'ben'leng'shan 日本冷杉
'ri'ben'liu'shan 日本柳杉
'ri'ben'luo'ye'song 日本落叶松
'ri'ben'si'zhao'hua 日本四照花
'ri'ben'wu'zhen'song 日本五针松
'ri'ben'xiang'bai 日本香柏
'ri'ben'yun'shan 日本云杉
'rong'guo'qin 绒果芹
'rong'mao'jian'ye'si'zhao'hua 绒毛尖叶四照花
'rong'mao'shan'yang 茸毛山杨
'rong'ye'shu'can 榕叶树参
'rong'ye'zhang'ye'shu 榕叶掌叶树
'rou'hua'yan'zi'cai 柔花眼子菜
'rou'mao'long'yan'du'huo 柔毛龙眼独活
'rou'mao'wu'jia 柔毛五加
'rou'mao'yang 柔毛杨
'rou'mao'you'shan 柔毛油杉
'rou'mao'zhang'guo'qin 柔毛胀果芹
'rou'tuo'zhu'bai 肉托竹柏
'rou'zhou'hu'jiao 肉轴胡椒
'ru'tou'qian'hu 乳头前胡
'ru'tu'lai'mu 乳突梾木
'ru'tu'qing'jia'ye 乳突青荚叶
'ruan'que'hua 软雀花
'rui'chi'liu'ye'cai 锐齿柳叶菜
'rui'chi'xi'feng'qin 锐齿西风芹
'rui'li'e'zhang'chai 瑞丽鹅掌柴
'rui'li'hu'jiao 瑞丽胡椒
'rui'li'luo'san 瑞丽罗伞
'san'bai'cao 三白草
'san'bao'xiao'chai'hu 三苞小柴胡
'san'jian'shan 三尖杉
'san'mai'qing'yang 三脉青杨
'san'se'hu'jiao 三色胡椒
'san'xiao'ye'dang'gui 三小叶当归
'san'xue'qin 散血芹
'san'ye'luo'san 三叶罗伞
'sao'zhou'you'song 扫帚油松
'sha'huang'song 沙黄松
'sha'lai 沙梾
'sha'mu 杉木
'sha'sheng'a'wei 沙生阿魏
'shan'di'a'wei 山地阿魏
'shan'hu'cai 珊瑚菜
'shan'jiao'cao 山椒草
'shan'ling'ma'huang 山岭麻黄
'shan'lu'dou 山露兜
'shan'qin 山芹
'shan'song 杉松
'shan'tao'cao 山桃草
'shan'xi'xi'feng'qin 山西西风芹
'shan'xiang'qin 山香芹
'shan'xiong 山芎
'shan'yang 山杨
'shan'ye'zao 杉叶藻
'shan'zhu'yu 山茱萸
'shao'guan'duan'mao'du'huo 少管短毛独活
'shao'hua'tao'ye'shan'hu 少花桃叶珊瑚
'shao'mao'bei'qian'hu 少毛北前胡
'she'chuang 蛇床
'she'chuang'hui'qin 蛇床茴芹
'she'xiang'a'wei 麝香阿魏
'shen'lie'ci'qiu 深裂刺楸
'shen'lie'ya'er'qin 深裂鸭儿芹
'shen'shan'lu'zhu'cao 深山露珠草
'shi'chan'cao 石蝉草
'shi'di'song 湿地松
'shi'fang'feng 石防风
'shi'luo 莳萝
'shi'mian'jin'su'lan 石棉金粟兰
'shi'mian'yang 石棉杨
'shi'nan'teng 石南藤
'shi'rui'da'can 十蕊大参
'shi'shan'su'tie 石山苏铁
'shi'yong'tu'dang'gui 食用土当归
'shou'ye'yang 瘦叶杨
'shu'can 树参
'shu'guo'hu'jiao 疏果胡椒
'shu'mao'leng'zi'qin 疏毛棱子芹
'shu'wu'jia 蜀五加
'shuan'guo'qin 栓果芹
'shuang'qiu'qin 双球芹
'shuang'sheng'yin'pan'qin 双生隐盘芹
'shuang'shi'shu'can 双室树参
'shuang'sui'ma'huang 双穗麻黄
'shui'jing'hua 水晶花
'shui'long 水龙
'shui'mai'dong 水麦冬
'shui'qin 水芹
'shui'shan 水杉
'shui'shi'yi 水石衣
'shui'song 水松
'shui'weng 水蕹
'shui'zhu 水烛
'shui'zhu'cao 水珠草
'si'chi'yue'jian'cao 四翅月见草
'si'chuan'dang'gui 四川当归
'si'chuan'jin'su'lan 四川金粟兰
'si'chuan'qing'jia'ye 四川青荚叶
'si'fen'zao 丝粉藻
'si'jiao'ai'ling 四角矮菱
'si'jiao'da'bing'ling 四角大柄菱
'si'jiao'ke'ye'ling 四角刻叶菱
'si'jiao'ling 四角菱
'si'liu'ling 四瘤菱
'si'rui'hu'wei'zao 四蕊狐尾藻
'si'ye'ge'lv'zi 丝叶葛缕子
'si'ye'qin 丝叶芹
'si'ye'shan'qin 丝叶山芹
'si'ye'yan'zi'cai 丝叶眼子菜
'si'zhao'hua 四照花
'song'pan'yuan'bai 松潘圆柏
'song'ye'xi'feng'qin 松叶西风芹
'su'tie 苏铁
'sui'hua'shan 穗花杉
'sui'xu'e'zhang'chai 穗序鹅掌柴
'sui'ye'yan'feng 碎叶岩风
'sui'zhuang'hei'san'leng 穗状黑三棱
'sui'zhuang'hu'wei'zao 穗状狐尾藻
'suo'yang 锁阳
'ta'shen'ke'yang'jiao'qin 塔什克羊角芹
'ta'zhi'yuan'bai 塔枝圆柏
'tai'bai'chai'hu 太白柴胡
'tai'bai'shan'wu'jia 太白山五加
'tai'dong'su'tie 台东苏铁
'tai'hang'a'wei 太行阿魏
'tai'lu'ge'dang'gui 太鲁阁当归
'tai'shan'qian'hu 泰山前胡
'tai'wan'bian'bai 台湾扁柏
'tai'wan'cong'mu 台湾葱木
'tai'wan'cu'fei 台湾粗匪
'tai'wan'cui'bai 台湾翠柏
'tai'wan'du'huo 台湾独活
'tai'wan'e'zhang'chai 台湾鹅掌柴
'tai'wan'guo'song 台湾果松
'tai'wan'hu'jiao 台湾胡椒
'tai'wan'huang'shan 台湾黄杉
'tai'wan'hui'qin 台湾茴芹
'tai'wan'ji'yi 台湾及已
'tai'wan'jia'fan'lv 台湾假繁缕
'tai'wan'jin'su'lan 台湾金粟兰
'tai'wan'leng'shan 台湾冷杉
'tai'wan'ling 台湾菱
'tai'wan'ling'ye'chang'chun'teng 台湾菱叶常春藤
'tai'wan'liu'ye'cai 台湾柳叶菜
'tai'wan'luo'han'song 台湾罗汉松
'tai'wan'qian'hu 台湾前胡
'tai'wan'qing'jia'ye 台湾青荚叶
'tai'wan'sha'mu 台湾杉木
'tai'wan'shan 台湾杉
'tai'wan'shan'mo'li'qin 台湾山茉莉芹
'tai'wan'shan'xiong 台湾山芎
'tai'wan'she'chuang 台湾蛇床
'tai'wan'shui'long 台湾水龙
'tai'wan'song 台湾松
'tai'wan'sui'hua'shan 台湾穗花杉
'tai'wan'tie'shan 台湾铁杉
'tai'wan'wu'ye'can 台湾五叶参
'tai'wan'wu'zhen'song 台湾五针松
'tai'wan'you'shan 台湾油杉
'tai'wan'yun'shan 台湾云杉
'tao'ye'qing'jia'ye 桃叶青荚叶
'tao'ye'shan'hu 桃叶珊瑚
'tao'zhou'dang'gui 洮州当归
'teng'wu'jia 藤五加
'tian'ge'lv'zi 田葛缕子
'tian'hu'sui 天胡荽
'tian'lan'bian'dou'cai 天蓝变豆菜
'tian'mu'bian'dou'cai 天目变豆菜
'tian'mu'jin'su'lan 天目金粟兰
'tian'shan'leng'zi'qin 天山棱子芹
'tian'shan'liu'guo'qin 天山瘤果芹
'tian'shan'liu'ye'cai 天山柳叶菜
'tian'shan'ze'qin 天山泽芹
'tian'yang 甜杨
'tiao'ye'yan'feng 条叶岩风
'tie'jian'shan 铁坚杉
'tie'shan 铁杉
'tong'shan'a'wei 铜山阿魏
'tong'tuo'mu 通脱木
'tou'xu'cong'mu 头序葱木
'tou'zhuang'si'zhao'hua 头状四照花
'tu'geng'lu'zhu'cao 秃梗露珠草
'tuo'li'a'wei 托里阿魏
'tuo'yuan'ye'hu'jiao 椭圆叶胡椒
'wan'guo'cao'ci'zao 弯果草茨藻
'wan'guo'ci'zao 弯果茨藻
'wan'jun'bai 万均柏
'wan'nian'chun 万年春
'wan'song 晚松
'wang'mai'liu'lan 网脉柳兰
'wang'zi'liu'ye'cai 网籽柳叶菜
'wei'chi'yan'zi'cai 微齿眼子菜
'wei'mao'hui'qin 微毛茴芹
'wei'rong'mao'du'huo 微绒毛独活
'wei'xi'yuan'mao'yang 维西缘毛杨
'wei'ye'e'zhang'chai 尾叶鹅掌柴
'wei'ye'luo'san 尾叶罗伞
'wei'ye'wu'jia 尾叶五加
'wen'chuan'chai'hu 汶川柴胡
'wen'shan'e'zhang'chai 文山鹅掌柴
'wen'xian'yang 文县杨
'wu'ban'yang 五瓣杨
'wu'bao'xiang'pu 无苞香蒲
'wu'bing'xi'feng'qin 无柄西风芹
'wu'ci'ge'ling 无刺格菱
'wu'geng'wu'jia 无梗五加
'wu'jia 五加
'wu'jiao'ling 无角菱
'wu'jing'liang'she'chuang 无茎亮蛇床
'wu'lian'mei'wu'jia 乌蔹莓五加
'wu'lian'yang 五莲杨
'wu'ling 乌菱
'wu'long'qian'hu 武隆前胡
'wu'mao'chang'yuan'ye'lai'mu 无毛长圆叶梾木
'wu'shi'luo'san 五室罗伞
'wu'su'li'hu'wei'zao 乌苏里狐尾藻
'wu'tong'yang 梧桐杨
'wu'ye'can 五叶参
'wu'yi'liu'ye'qin 无翼柳叶芹
'wu'yi'si'zhao'hua 武夷四照花
'wu'zhu'e'zhang'chai 五柱鹅掌柴
'wu'zhu'hei'san'leng 无柱黑三棱
'wu'zhu'yu'wu'jia 吴茱萸五加
'xi'bao'gao'ben 细苞藁本
'xi'bing'chai'hu 细柄柴胡
'xi'bing'hui'qin 细柄茴芹
'xi'bing'mai'ma'teng 细柄买麻藤
'xi'chi'tao'ye'shan'hu 细齿桃叶珊瑚
'xi'ci'wu'jia 细刺五加
'xi'feng'qin 喜峰芹
'xi'geng'hong'liang'zi 细梗红椋子
'xi'geng'luo'san 细梗罗伞
'xi'geng'qing'jia'ye 细梗青荚叶
'xi'geng'sha'lai 细梗沙梾
'xi'geng'shu'can 细梗树参
'xi'geng'wu'zhu'yu'wu'jia 细梗吴茱萸五加
'xi'guo'ye'ling 细果野菱
'xi'hua'ding'xiang'liao 细花丁香蓼
'xi'huang'song 西黄松
'xi'jin'leng'shan 锡金冷杉
'xi'jin'shuan'guo'qin 锡金栓果芹
'xi'jing'a'wei 细茎阿魏
'xi'lie'gao'ben 细裂藁本
'xi'ma'la'ya'liu'lan 喜马拉雅柳兰
'xi'ma'la'ya'shan'hu 喜马拉雅珊瑚
'xi'nan'cong'mu 西南葱木
'xi'nan'shui'qin 西南水芹
'xi'nan'yang 西南杨
'xi'xu'e'zhang'chai 细序鹅掌柴
'xi'yang'shen 西洋参
'xi'ye'gao'ben 细叶藁本
'xi'ye'han'qin 细叶旱芹
'xi'ye'yin'leng'qin 细叶隐棱芹
'xi'ye'yun'nan'song 细叶云南松
'xi'yu'qing'jia'ye 西域青荚叶
'xi'zang'bai'mu 西藏柏木
'xi'zang'dan'qiu'qin 西藏单球芹
'xi'zang'e'zhang'chai 西藏鹅掌柴
'xi'zang'hou'leng'qin 西藏厚棱芹
'xi'zang'si'ban'qin 西藏丝瓣芹
'xi'zang'tong'tuo'mu 西藏通脱木
'xi'zang'tu'dang'gui 西藏土当归
'xi'zang'xi'feng'qin 西藏西风芹
'xi'zhi'mu'ma'huang 细枝木麻黄
'xi'zhi'yin'leng'qin 细枝隐棱芹
'xi'zi'liu'ye'cai 细籽柳叶菜
'xi'zi'ma'huang 细子麻黄
'xia'qiang'qin 狭腔芹
'xia'qu'hui'qin 下曲茴芹
'xia'yan'ye'gu'dang'gui 下延叶古当归
'xia'ye'dang'gui 狭叶当归
'xia'ye'duan'mao'du'huo 狭叶短毛独活
'xia'ye'duo'mai'hu'jiao 狭叶多脉胡椒
'xia'ye'e'zhang'chai 狭叶鹅掌柴
'xia'ye'hei'san'leng 狭叶黑三棱
'xia'ye'huang'san'feng 狭叶幌伞枫
'xia'ye'jia'ren'shen 狭叶假人参
'xia'ye'jin'su'lan 狭叶金粟兰
'xia'ye'lu'zhu'cao 狭叶露珠草
'xia'ye'luo'han'song 狭叶罗汉松
'xia'ye'shan'qin 狭叶山芹
'xia'ye'tao'ye'shan'hu 狭叶桃叶珊瑚
'xia'ye'teng'wu'jia 狭叶藤五加
'xia'ye'wu'jia 狭叶五加
'xian'bei'ci'bai 鲜卑刺柏
'xian'bei'leng'shan 鲜卑冷杉
'xian'bei'luo'ye'song 鲜卑落叶松
'xian'bei'wu'zhen'song 鲜卑五针松
'xian'bei'yun'shan 鲜卑云杉
'xian'chi'luo'san 纤齿罗伞
'xian'geng'hu'jiao 线梗胡椒
'xian'jing'liu'ye'cai 腺茎柳叶菜
'xian'mai'da'can 显脉大参
'xian'mai'luo'san 显脉罗伞
'xian'wei'tao'ye'shan'hu 纤尾桃叶珊瑚
'xian'xi'chai'hu 纤细柴胡
'xian'xi'ci'zao 纤细茨藻
'xian'xi'nang'ban'qin 纤细囊瓣芹
'xian'ye'chai'hu 线叶柴胡
'xian'ye'gao'ben 线叶藁本
'xian'ye'hei'san'leng 线叶黑三棱
'xian'ye'shui'qin 线叶水芹
'xiang'bai 香柏
'xiang'cheng'yang 乡城杨
'xiang'gang'si'zhao'hua 香港四照花
'xiang'gui'yang'jiao'qin 湘桂羊角芹
'xiang'lu'dou 香露兜
'xiang'mao'yang 响毛杨
'xiang'pu 象蒲
'xiang'pu 香蒲
'xiang'qin 香芹
'xiang'yang 香杨
'xiang'ye'yang 响叶杨
'xiao'chai'hu 小柴胡
'xiao'ci'zao 小茨藻
'xiao'er'xian'cao 小二仙草
'xiao'guo'chui'zhi'bai 小果垂枝柏
'xiao'guo'de'qin'yang 小果德钦杨
'xiao'guo'wu'geng'wu'jia 小果无梗五加
'xiao'guo'xiu'mao'wu'ye'can 小果锈毛五叶参
'xiao'hei'san'leng 小黑三棱
'xiao'hua'da'can 小花大参
'xiao'hua'lai'mu 小花梾木
'xiao'hua'liu'ye'cai 小花柳叶菜
'xiao'hua'shan'tao'cao 小花山桃草
'xiao'hua'yue'jian'cao 小花月见草
'xiao'jie'yan'zi'cai 小节眼子菜
'xiao'jin'du'huo 小金独活
'xiao'lai'mu 小梾木
'xiao'lu'dou 小露兜
'xiao'qing'yang 小青杨
'xiao'xiang'pu 小香蒲
'xiao'xing'qing'jia'ye 小型青荚叶
'xiao'yan'zi'cai 小眼子菜
'xiao'ye'cong'mu 小叶葱木
'xiao'ye'dian'yang 小叶滇杨
'xiao'ye'e'zhang'chai 小叶鹅掌柴
'xiao'ye'gao'shan'bai 小叶高山柏
'xiao'ye'luo'han'song 小叶罗汉松
'xiao'ye'mai'ma'teng 小叶买麻藤
'xiao'ye'pa'ya'xiang 小叶爬崖香
'xiao'ye'qing'jia'ye 小叶青荚叶
'xiao'ye'qiu'sui'hu'jiao 小叶球穗胡椒
'xiao'ye'yang 小叶杨
'xiao'ye'yang'jiao'qin 小叶羊角芹
'xiao'zi'yuan'bai 小子圆柏
'xiao'zuan'yang 小钻杨
'xie'ye'dian'xiong 楔叶滇芎
'xie'ye'dong'bei'yang 楔叶东北杨
'xie'ye'ju 斜叶蒟
'xin'jiang'a'wei 新疆阿魏
'xin'jiang'fang'zhi'bai 新疆方枝柏
'xin'jiang'liu'ye'cai 新疆柳叶菜
'xin'jiang'rong'guo'qin 新疆绒果芹
'xin'jiang'shuan'chi'qin 新疆栓翅芹
'xin'jiang'xi'ye'qin 新疆细叶芹
'xin'jiang'yang 新疆杨
'xin'ye'huang'san'feng 心叶幌伞枫
'xin'ye'wu'ye'can 心叶五叶参
'xing'an'du'huo 兴安独活
'xing'an'qian'hu 兴安前胡
'xing'an'she'chuang 兴安蛇床
'xing'an'yang 兴安杨
'xing'an'yu'lin'yun'shan 兴安鱼鳞云杉
'xing'an'yuan'bai 兴安圆柏
'xing'kai'chi'song 兴凯赤松
'xing'mao'luo'san 星毛罗伞
'xing'mao'ya'jiao'mu 星毛鸭脚木
'xing'ye'hui'qin 杏叶茴芹
'xing'zhu'shu'can 星柱树参
'xiu'li'cong'mu 秀丽葱木
'xiu'li'si'zhao'hua 秀丽四照花
'xiu'mao'luo'san 锈毛罗伞
'xiu'mao'su'tie 锈毛苏铁
'xiu'mao'wu'ye'can 锈毛五叶参
'xiu'mao'wu'zhu'yu'wu'jia 锈毛吴茱萸五加
'xiu'mao'zhang'ye'shu 锈毛掌叶树
'xu'mi'bai'pi'song 须弥白皮松
'xu'mi'hong'dou'shan 须弥红豆杉
'xu'mi'hong'shan 须弥红杉
'xu'mi'yun'shan 须弥云杉
'xu'mi'zhang'ye'song 须弥长叶松
'xue'ling'yun'shan 雪岭云杉
'xue'shan'dang'gui 雪山当归
'xue'song 雪松
'xue'xiang'lan 雪香兰
'ya'ba'qian'hu 鸭巴前胡
'ya'bai 崖柏
'ya'ge'zhi'liu'ye'cai 亚革质柳叶菜
'ya'jia'song 雅加松
'ya'jiang'leng'zi'qin 雅江棱子芹
'ya'zhi'liu'ye'cai 雅致柳叶菜
'ya'zhou'yan'feng 亚洲岩风
'yan'bai 偃柏
'yan'feng 岩风
'yan'hui'xiang 岩茴香
'yan'qian'hu 岩前胡
'yan'song 偃松
'yan'sui 芫荽
'yan'tai'dang'gui 烟台当归
'yan'yuan'gao'ben 盐源藁本
'yan'zhu'xi'feng'qin 焉著西风芹
'yan'zi'cai 眼子菜
'yang'hong'shan 羊红膻
'yang'shi'a'wei 羊食阿魏
'yang'ye'qu'ban'lai'mu 杨叶曲瓣梾木
'ye'hu'luo'bo 野胡萝卜
'ye'ling 野菱
'ye'mao'teng'wu'jia 腋毛藤五加
'yi'chang'dang'gui 宜昌当归
'yi'li'yan'feng 伊梨岩风
'yi'li'yan'feng 伊犁岩风
'yi'li'yang 伊犁杨
'yi'se'gao'ben 异色藁本
'yi'yang 椅杨
'yi'ye'e'zhang'chai 异叶鹅掌柴
'yi'ye'liang'wang'cha 异叶梁王茶
'yi'ye'nan'yang'sha 异叶南洋杉
'yi'ye'nang'ban'qin 异叶囊瓣芹
'yi'ye'yan'zi'cai 异叶眼子菜
'yi'zhu'wu'jia 异株五加
'yin'bai'yang 银白杨
'yin'du'du'huo 印度独活
'yin'hui'yang 银灰杨
'yin'pan'qin 隐盘芹
'yin'shan 银杉
'yin'xian'cao 银线草
'yin'xing 银杏
'yin'zhou'chai'hu 银州柴胡
'ying'a'wei 硬阿魏
'ying'jiang'hu'jiao 盈江胡椒
'ying'mao'cao'hu'jiao 硬毛草胡椒
'ying'mao'liu'ye'cai 硬毛柳叶菜
'you'chi'qiao'bing'mu 有齿鞘柄木
'you'mai'diao'shan 油麦吊杉
'you'shan 油杉
'you'song 油松
'yu'lie'ya'er'qin 羽裂鸭儿芹
'yu'lin'yuan'bai 榆林圆柏
'yu'lin'yun'shan 鱼鳞云杉
'yu'quan'yang 玉泉杨
'yu'ye'can 羽叶参
'yu'ye'cong'mu 羽叶葱木
'yu'ye'er'yao'zao 羽叶二药藻
'yu'ye'san'qi 羽叶三七
'yu'zhou'si'ban'qin 羽轴丝瓣芹
'yu'zi'lan 鱼子兰
'yuan'bai 圆柏
'yuan'bao'shan'leng'shan 元宝山冷杉
'yuan'chi'nang'ban'qin 圆齿囊瓣芹
'yuan'chi'ya'dong'yang 圆齿亚东杨
'yuan'mao'hu'jiao 缘毛胡椒
'yuan'mao'yang 缘毛杨
'yuan'ye'cong'mu 圆叶葱木
'yuan'ye'xiao'ye'yang 圆叶小叶杨
'yuan'ye'yang 圆叶杨
'yuan'ye'yu'ye'can 圆叶羽叶参
'yuan'zhu'liu'ye'cai 圆柱柳叶菜
'yue'jian'cao 月见草
'yue'nan'ling 越南菱
'yun'li'leng'zi'qin 云丽棱子芹
'yun'nan'cong'mu 云南葱木
'yun'nan'dan'shi'zhu'yu 云南单室茱萸
'yun'nan'du'huo 云南独活
'yun'nan'e'zhang'chai 云南鹅掌柴
'yun'nan'fei 云南榧
'yun'nan'gao'mu 云南藁木
'yun'nan'hei'san'leng 云南黑三棱
'yun'nan'huang'san'feng 云南幌伞枫
'yun'nan'leng'zi'qin 云南棱子芹
'yun'nan'long'yan'du'huo 云南龙眼独活
'yun'nan'qian'hu 云南前胡
'yun'nan'shu'can 云南树参
'yun'nan'song 云南松
'yun'nan'sui'hua'shan 云南穗花杉
'yun'nan'tie'shan 云南铁杉
'yun'nan'wu'jia 云南五加
'yun'nan'wu'ye'can 云南五叶参
'yun'nan'xi'lie'qin 云南细裂芹
'yun'nan'you'shan 云南油杉
'yun'shan 云杉
'ze'qin 泽芹
'zhai'ban'ye'shan'hu 窄斑叶珊瑚
