'a'ke'li'di'shu'chong 阿克里地树虫
'xian'ren'wa'de'luo'si 先人瓦德洛司
'xian'yu 咸雨
'xian'zhao 咸沼
'xiang'shi 相弑
'xiang'shu'zhi'li 橡树之力
'xiang'xian'xu'kong 象限虚空
'xiang'yang'bing 翔阳兵
'xiao'chu'mo'zhang 消除魔障
'xiao'huo'xi 哮火蜥
'xiao'mo 消魔
'xiao'xing'ru'chi'ju'xiang 小型乳齿巨象
'xie'e'ji'ke 邪恶饥渴
'xie'hui'shi'xian 邪秽示现
'xie'yi 邪疑
'xin'fang 心防
'xin'ling'tao'tie'ge'li'er 心灵饕餮格立尔
'xin'ling'zhan 心灵斩
'xin'lv'yan'ti 新绿演替
'xin'nian'qie'qu 心念窃取
'xing'huo'yu 星火雨
'xing'lie'kong'niao 行猎恐鸟
'xing'mian'long'wang'li'si 醒眠龙王丽丝
'xiong'shi'ma'ji'ta 雄狮马基塔
'xuan'guang'yi'shan 眩光一闪
'xuan'mu'tian'shi 眩目天使
'xue'chou 血仇
'xue'hua'shi'zhi 雪花石蛭
'xue'se'shou'wei 血色守卫
'xue'shi 血誓
'xue'si'du'yan'ju'ren 血丝独眼巨人
'xue'xin'shou 削心兽
'xue'yan'ju'xiang 血焰巨像
'xue'yu'sui'fu'diao 血玉髓浮雕
'xun'dao'zhe'zhi'mu 殉道者之墓
'xun'meng'long 迅猛龙
'ya'bao'wa 芽胞蛙
'ya'ge'si 亚格斯
'ya'long 亚龙
'ya'wei'ma'ya 亚维玛雅
'ya'wei'ma'ya'ye'man'ren 亚维马雅野蛮人
'ya'wei'ma'ya'zhi'huo 亚维马雅之火
'yan'bian'hu'wei 炎鞭护卫
'yan'hai'dao'nue 沿海盗虐
'yan'huan 岩獾
'yan'ji'dan 焰击弹
'yan'jiang'bao 岩浆爆
'yan'ju'hu'lin'bing 炎炬护林兵
'yan'ku'ku'yi 严酷苦役
'yan'she'ka'fu 焰舌卡甫
'yan'she'xi'guai 岩舌蜥怪
'yang'jing'yuan 阳景院
'yang'tu'xing'zhuang'lin 扬图刑樁林
'yao'hei'shi'seng 曜黑侍僧
'yao'jing'ru'ma'yuan 妖精辱骂员
'ye'feng'hua'xiang'yi 夜风滑翔翼
'ye'geng'yao'jing 夜更妖精
'ye'jing'yuan 夜景院
'ye'kou'luo 野寇骡
'ye'lv'xiang 叶绿象
'ye'shi'du'jun'shou 液石督军兽
'ye'shi'hua'dong 液石滑动
'ye'shi'qiang 液石墙
'ye'shi'tu'ci 液石突刺
'ye'shi'zhen'yi'ji 液石振翼机
'ye'wu'zhe 叶舞者
'ye'yan 烨焰
'ye'zhi'ming'zhong 夜之鸣钟
'yi'chu 夷除
'yi'chu'zhi'jian'yin 移除之缄印
'yi'di'shi'ni'shou 夷地史尼兽
'yi'dian'wei'bing 仪典卫兵
'yi'hua'mao 移花帽
'yi'shi 异狮
'yi'tai'ci'chu 以太刺触
'yi'tai'zhang'bi 乙太障壁
'yi'yu'li'zhi'dun'pai 义与理之盾牌
'yin'jing'gu'tuo'huang'zhe 银镜谷拓荒者
'yin'jing'gu'yuan'su 银镜谷元素
'yin'mo'xiang'ka'en 银魔像卡恩
'yin'ni'huan'ying 隐匿幻影
'yin'ye'lin'cao'yao'shi 银叶林草药师
'ying'qi'bao'zhu 映奇宝珠
'ying'xiong'chong'ju'shou 英雄重聚首
'yong'bing 佣兵
'yong'bing'jian'ju'ren 佣兵检举人
'yong'ren'miu'xiang 庸人谬想
'you'kou'luo 幼寇骡
'you'li'de'zi'he'ma 游历的紫河马
'you'ling'bei'qi 幽灵悲泣
'you'ming'cha'lu 幽冥岔路
'you'tian 佑天
'you'yi'la'de'gong'ju'xiang 尤依菈的工具箱
'yu'miao'di 育苗地
'yu'ni'fu'xing'shou 淤泥匐行兽
'yuan'chu'cheng'zhang 原初成长
'yuan'zhen'ka'fu 远侦卡甫
'yue'ge'mo'fu 约格莫夫
'yue'ge'mo'fu'de'mou'lue 约格莫夫的谋略
'yue'hu 跃虎
'yun'shi'bao 陨石暴
'za'nan'ju'ling 匝南巨灵
'zan'shi'xing'xi'feng 暂时性隙缝
'zang'huo'ling'yong 葬火灵俑
'zang'shu'ren 脏鼠人
'zang'yi'yuan 葬仪员
'zha'shu'fa'shi 诈术法师
'zhan'tui'liang'nan 战退两难
'zhan'xun'mo'xiang 战训魔像
'zhan'yi'bao'feng 展翼暴风
'zhao'di'qian'mo 沼地潜魔
'zhao'huan'shi'tiao 召唤失调
'zhao'long'gong'men 召龙拱门
'zhen'di'fa'shi 震地法师
'zhen'feng'ting 侦风艇
'zhen'jun'bo'xing'shou 真菌跛行兽
'zhen'tong'xiang'gao 镇痛香膏
'zhen'wei'mo'bian 真伪莫辨
'zhen'yang 震央
'zheng'qi'zhao'che 蒸汽爪车
'zheng'su'ju'lian 整肃巨镰
'zhi'ge'zhe 织歌者
'zhi'ming'yao'tong 致命妖瞳
'zhi'shi'wu 指示物
'zhi'tian'qiao'jiang 织天巧匠
'zhi'zu'ji 滞阻机
'zhong'hun'xing'jin 众魂行进
'zhong'tuo'shou 重驮兽
'zhong'xia'huan'yan 仲夏欢宴
'zhu'la 珠拉
'zhu'tian'long'wang'de'luo'ma 逐天龙王德洛马
'zhui'yao'shi'zhe 追耀逝者
'zhuo'sha 灼砂
'zi'ran'zhao'sheng 自然肇生
'zi'xi'zhi'chi 孳息之池
'zou'diao'wan'ge 走调挽歌
'zou'xing'hai'mian 走行海绵
'zu'e 阻遏
'zu'yu'wang 阻御网
