'ai'lian'shuo 爱莲说
'he'yi'zhan 何以战
'he'zai 何哉
'he'zhi'yu'ci 何至于此
'he'zhou'ji 核舟记
'heng'ke'shang'bi 横柯上蔽
'heng'wu'ji'ya 横无际涯
'hong'zhuang'er'jian'zhe 红装而蹇者
'hou'lang'zhi'er'qian'lang'you'zhi 后狼止而前狼又至
'hou'sui'wu'wen'jin'zhe 后遂无问津者
'hou'tian'xia'zhi'le'er'le 后天下之乐而乐
'hou'zhe'ying 后者应
'hou'zhi'qing'fu 后值倾覆
'hu'bu'jian'wo'yu'wang 胡不见我于王
'hu'da'feng'qi 忽大风起
'hu'er'er'yu'zhi 呼尔而与之
'hu'feng'tao'hua'lin 忽逢桃花林
'hu'hu'feng'sheng 呼呼风声
'hu'jian'shan'tou'you'gu'ta'song'qi 忽见山头有孤塔耸起
'hu'ming'hu'yue 狐鸣呼曰
'hu'ran'fu'chi'yi'xia 忽然抚尺一下
'hu'ren'da'ru'sai 胡人大入塞
'hu'shang'ying'zi 湖上影子
'hu'ti'qiu'zhi 忽啼求之
'hu'xiang'xuan'miao 互相轩邈
'hu'xiao'yuan'ti 虎啸猿啼
'hu'xin'ting'kan'xue 湖心亭看雪
'hu'xin'ting'yi'dian 湖心亭一点
'hu'yi'ren'da'hu 忽一人大呼
'hu'you'pang'ran'da'wu 忽有庞然大物
'hu'zhong'ren'niao'sheng'ju'jue 湖中人鸟声俱绝
'hu'zhong'yan'de'geng'you'ci'ren 湖中焉得更有此人
'hua'tai'xiao'cao'cong'za'chu 花台小草丛杂处
'hua'wei'deng'lin 化为邓林
'hua'zhao'jie'hou 花朝节后
'hua'zhi'fu'gui'zhe'ye 花之富贵者也
'hua'zhi'jun'zi'zhe'ye 花之君子者也
'hua'zhi'yin'yi'zhe'ye 花之隐逸者也
'huai'min'yi'wei'qin 怀民亦未寝
'huai'nan'zi 淮南子
'huai'nu'wei'fa 怀怒未发
'huan'chu'jie'shan'ye 环滁皆山也
'huan'du'xiao'ran 环堵萧然
'huan'er'gong'zhi'er'bu'sheng 环而攻之而不胜
'huan'shan'shan'shi 奂山山市
'huan'yu'jiu'du 还于旧都
'huang'fa'chui'tiao 黄发垂髫
'hui'bin'ke'da'yan 会宾客大宴
'hui'hong'zhi'shi'zhi'qi 恢弘志士之气
'hui'ming'bian'hua'zhe 晦明变化者
'hui'nv'zhi'zhi'hu 诲女知之乎
'hui'qing'dao'ying 回清倒影
'hui'tian'da'yu 会天大雨
'hui'xing'xi'yue 彗星袭月
'hui'zi'xiang'liang 惠子相梁
'hui'zi'yue 惠子曰
'huo'bao'sheng 火爆声
'huo'e'qi'qi'yu'di'ye 货恶其弃于地也
'huo'ping'huo'li 或凭或立
'huo'qi 火起
'huo'ran'kai'lang 豁然开朗
'huo'wang'ming'ji'xuan 或王命急宣
'huo'wei'hui'zi'yue 或谓惠子曰
'huo'yi'er'zhe'zhi'wei 或异二者之为
'huo'yi'qian'bi'qi'zhi 或以钱币乞之
'huo'yi'wei'si 或以为死
'huo'yi'wei'wang 或以为亡
'huo'yu'qi'chi'duo 或遇其叱咄
'huo'zhi'jiu'er'zhao'zhi 或置酒而招之
'ji'ben'yun'yu'bo'hai'zhi'wei 箕畚运于渤海之尾
'ji'bu'zi'xin 忌不自信
'ji'cheng'tian'si'ye'you 记承天寺夜游
'ji'chu 既出
'ji'di'ling'wu'zhan 藉第令毋斩
'ji'er'er'xing 既而儿醒
'ji'er'feng'ding'tian'qing 既而风定天清
'ji'er'jian'jin 既而渐近
'ji'er'jin'ben'teng'fen'he'wu'zhen'zhi'shi 既而尽奔腾分合五阵之势
'ji'geng'gua'mu'xiang'dai 即更刮目相待
'ji'gong'da'xiong'wu'yi'nv 即公大兄无奕女
'ji'hai'zhi'er'yue'ye 己亥之二月也
'ji'jia'guan 既加冠
'ji'jun'xia 及郡下
'ji'ke 既克
'ji'liao'wu'ren 寂寥无人
'ji'lu'su'guo'xun'yang 及鲁肃过寻阳
'ji'nian'zhi'hou 期年之后
'ji'quan'xiang'wen 鸡犬相闻
'ji'ri'yi'huan 计日以还
'ji'shu'shi'si'ju 即书诗四句
'ji'suo'bu'yu 己所不欲
'ji'tuan'shen'jian 急湍甚箭
'ji'xia'chuan 及下船
'ji'yi'ling'guai'yi'zai 技亦灵怪矣哉
'ji'yi'wei'shou 祭以尉首
'ji'yi'zhi'wu'zhi'zhi'er'wen'wo 既已知吾知之而问我
'ji'yu'xian'zou 几欲先走
'ji'zhi'nan 冀之南
'ji'zui'er'tui 既醉而退
'ji'zuo'you'zhou'zi'ge'yi'ren 楫左右舟子各一人
'jia'an'gao'shan 夹岸高山
'jia'an'shu'bai'bu 夹岸数百步
'jia'fu'liang'ma 家富良马
'jia'mu'xiu'er'fan'yin 佳木秀而繁阴
'jia'pin 家贫
'jia'pin'bu'neng'chang'de 家贫不能常得
'jian'bu'xian'er'nei'zi'xing'ye 见不贤而内自省也
'jian'chen'qie'ming 奸臣窃命
'jian'er'chong'dou'cao'jian 见二虫斗草间
'jian'gong'dian'shu'shi'suo 见宫殿数十所
'jian'gong'shu'pan 见公输盘
'jian'miao'xiao'zhi'wu'bi'xi'cha'qi'wen'li 见藐小之物必细察其纹理
'jian'shan'shang'ren'yan'shi'si 见山上人烟市肆
'jian'wang'shi'er 见往事耳
'jian'xian'si'qi'yan 见贤思齐焉
'jian'yu 见余
'jian'yu'ren 见渔人
'jiang'gan'shang'xia'shi'yu'li'jian 江干上下十余里间
'jiang'han'zhi'yu'bie'yuan'tuo'wei'tian'xia'fu 江汉之鱼鳖鼋鼍为天下富
'jiang'heng'yu'xi'yao 江横玉系腰
'jiang'jun'ji'di'shi'zhi'zhou 将军既帝室之胄
'jiang'jun'qi'you'yi'hu 将军岂有意乎
'jiang'jun'qi'yuan'jian'zhi'hu 将军岂愿见之乎
'jiang'jun'shen'lv'yi'zhou'zhi'zhong'chu'yu'qin'chuan 将军身率益州之众出于秦川
'jiang'jun'shen'pi'jian'zhi'rui 将军身被坚执锐
'jiang'jun'xiang'chong 将军向宠
'jiang'jun'yi'wang'jia'gu'zhi 将军宜枉驾顾之
'jiang'wei'zui 将尉醉
'jiang'xin'xiu'mu 讲信修睦
'jiang'yi'gong'song 将以攻宋
'jiao'ge'ju'yu'yu'yan'zhi'zhong 胶鬲举于鱼盐之中
'jiao'shou'ang'shi 矫首昂视
'jie'bu'yi'zhi'shi'ye 皆布衣之士也
'jie'chao'yu'qi 皆朝于齐
'jie'chu'jiu'shi 皆出酒食
'jie'fu 嗟夫
'jie'hu 嗟乎
'jie'pang'jin'yu'zhi 借旁近与之
'jie'pi'fa'wen'shen 皆披发文身
'jie'ruo'kong'you'wu'suo'yi 皆若空游无所依
'jie'sheng'han'shu 皆生寒树
'jie'tan'wan 皆叹惋
'jie'xia'zhi 皆下之
'jie'xing'qi'zhang'li 皆刑其长吏
'jie'yi'mei'yu'xu'gong 皆以美于徐公
'jie'yi'shi'qi 皆已失期
'jie'yi'yu'shui 解衣欲睡
'jie'you'er'bie 结友而别
'jie'zhi'mu'chen'sheng 皆指目陈胜
'jin'an 近岸
'jin'cao'yi'yong'bai'wan'zhi'zhong 今操已拥百万之众
'jin'cheng'yi'wu'zhong'zha'zi'cheng'gong'zi'fu'su'xiang'yan 今诚以吾众诈自称公子扶苏项燕
'jin'dang'yuan'li 今当远离
'jin'fu'bu'shou'zhi'tian 今夫不受之天
'jin'huo'wen'wu'zui 今或闻无罪
'jin'jin'zhong'yan 进尽忠言
'jin'lin'you'yong 锦鳞游泳
'jin'nan'fang'yi'ding 今南方已定
'jin'qi'di'fang'qian'li 今齐地方千里
'jin'ri'shi'ye 今日是也
'jin'ru'yin'xian 仅如银线
'jin'sai'shang'zhi'ren'you'shan'shu'zhe 近塞上之人有善术者
'jin'sai'zhi'ren 近塞之人
'jin'tai'yuan'zhong 晋太元中
'jin'tao'yuan'ming'du'ai'ju 晋陶渊明独爱菊
'jin'tian'xia'san'fen 今天下三分
'jin'wang'yi'si 今亡亦死
'jin'wei'gong'shi'zhi'mei'wei'zhi 今为宫室之美为之
'jin'wei'qi'qie'zhi'feng'wei'zhi 今为妻妾之奉为之
'jin'wei'suo'shi'qiong'fa'zhe'de'wo'er'wei'zhi 今为所识穷乏者得我而为之
'jin'wu'yi'shi'bei'zhi'di 今吾以十倍之地
'jin'xi'min'fang'zhong'yong 金溪民方仲永
'jin'you'di'chuan'wei'huo'suo'fen 仅有敌船为火所焚
'jin'you'ren'yu'ci 今有人于此
'jin'zi'yu'yi'zi'zhi'liang'guo'er'xia'wo'xie 今子欲以子之梁国而吓我邪
'jing'guo'you'yu'yu'di'er'bu'zu'yu'min 荆国有余于地而不足于民
'jing'lun'shi'wu'zhe 经纶世务者
'jing'shou'ming 敬受命
'jing'ying'chen'bi 静影沉璧
'jing'you'chang'song'wen'zi'pian'nan'yu'zhang 荆有长松文梓楩楠豫章
'jing'you'yun'meng 荆有云梦
'jing'zhi'di'fang'wu'qian'li 荆之地方五千里
'jing'zhong'you'shan'kou'ji'zhe 京中有善口技者
'jing'zhou'bei'ju'han'mian 荆州北据汉沔
'jiu'bai'ren'tun'da'ze'xiang 九百人屯大泽乡
'jiu'er'nai'he 久而乃和
'jiu'nian'ji'shang'ce 九年级上册
'jiu'nian'ji'xia'ce 九年级下册
'jiu'zhi 久之
'ju'cu'yi'shi'zhi'nei 局促一室之内
'ju'da'ji'yi'si 举大计亦死
'ju'da'zhi 具答之
'ju'miao'tang'zhi'gao'ze'you'qi'min 居庙堂之高则忧其民
'ju'qi'bu'yi'ye 惧其不已也
'ju'ran'cheng'guo'yi 居然城郭矣
'ju'shi'er'mou'yue 聚室而谋曰
'ju'shu'yue 居数月
'ju'wei'yi'ti 俱为一体
'ju'yi'nian 居一年
'ju'you'fu'yan 惧有伏焉
'ju'you'zhe'zhui'ji'yang'mian 居右者椎髻仰面
'ju'zhi'ai 菊之爱
'ju'zuo'zhe'you'shou'zhi'pu'kui'shan 居左者右手执蒲葵扇
'juan'ran'ru'shi 娟然如拭
'juan'shi'di'yi'chu 卷石底以出
'jue'yan'duo'sheng'guai'bai 绝巘多生怪柏
'jun'mei'shen 君美甚
'jun'wei'ji'jiang'an'chu 君谓计将安出
'jun'yu'jia'jun'qi'ri'zhong 君与家君期日中
'jun'yu'ju'lai 君与俱来
'ke'ai'zhe'shen'fan 可爱者甚蕃
'ke'ci 客此
'ke'cong'wai'lai 客从外来
'ke'hu 可乎
'ke'ji'ri'er'dai'ye 可计日而待也
'ke'jian'qi'ding 可见其顶
'ke'tang'xian'jin'ren'shi'fu'yu'qi'shang 刻唐贤今人诗赋于其上
'ke'wen'yuan'fang 客问元方
'ke'yi 可矣
'ke'yi'tiao'su'qin 可以调素琴
'ke'yi'wei'shi'yi 可以为师矣
'ke'yi'yi'zhan 可以一战
'ke'yuan'guan'er'bu'ke'xie'wan'yan 可远观而不可亵玩焉
'ke'yue 客曰
'ke'zhi'mei'wo'zhe 客之美我者
'kong'fa'qi'shen 空乏其身
'kong'fu'tuo'bu'xiao 恐付托不效
'kong'gu'chuan'xiang 空谷传响
'kong'qian'hou'shou'qi'di 恐前后受其敌
'kong'zi'yun 孔子云
'kou'ji 口技
'kou'ji'ren'zuo'ping'zhang'zhong 口技人坐屏障中
'kou'shi'ken'rang 叩石垦壤
'kou'you'bai'she 口有百舌
'kou'zhong'wu'sheng 口中呜声
'kua'fu'yu'ri'zhu'zou 夸父与日逐走
'kua'fu'zhu'ri 夸父逐日
'kua'zhou'lian'jun'zhe'bu'ke'sheng'shu 跨州连郡者不可胜数
'kui'gu'wang'fan 窥谷忘反
'kui'jing 窥镜
'kui'jing'er'zi'shi 窥镜而自视
'kun'yu'xin'heng'yu'lv'er'hou'zuo 困于心衡于虑而后作
'la'yu'tong'yin 拉余同饮
'lan'wu'zhi'qing 览物之情
'lang'bu'gan'qian 狼不敢前
'lang'ya'ye 琅琊也
'lang'yi'xia'yi 狼亦黠矣
'lao'qi'jin'gu 劳其筋骨
'lei'er'ge'zhe 罍而歌者
'li'bu'zu 力不足
'li'dao'yuan 郦道元
'li'e'qi'bu'chu'yu'shen'ye 力恶其不出于身也
'li'er'cong'zhe 隶而从者
'li'ji 礼记
'li'jin'nan'hai 利尽南海
'li'li'zai'mu 历历在目
'li'ren 里仁
'li'yu'zhi 礼愈至
'lian'gen'liu'qi'li 连亘六七里
'lian'yue'bu'kai 连月不开
'lian'zhi'ai 莲之爱
'liang'an'lian'shan 两岸连山
'liang'an'shi'bi 两岸石壁
'liang'da'yue 亮答曰
'liang'duo'qu'wei 良多趣味
'liang'er'qi'ku 两儿齐哭
'liang'gong'geng'long'mu 亮躬耕陇亩
'liang'gu'zhan'zhan 两股战战
'liang'xiao'er'bian'ri 两小儿辩日
'liang'ze 两则
'liang'zhang 两章
'lie'zi 列子
'lin'biao'ti'ling 临表涕零
'lin'han'jian'su 林寒涧肃
'lin'he'you'mei 林壑尤美
'lin'jin'shui'yuan 林尽水源
'lin'lang'ceng'ceng 鳞浪层层
'lin'ren'jing'cheng'shi'zhi'shuang'qi'you'yi'nan 邻人京城氏之孀妻有遗男
'lin'si'huan 林嗣环
'lin'xi'er'yu 临溪而渔
'lin'you'bi'yu'er'yu'qie'zhi 邻有敝舆而欲窃之
'lin'you'duan'he'er'yu'qie'zhi 邻有短褐而欲窃之
'lin'you'kang'zao'er'yu'qie'zhi 邻有糠糟而欲窃之
'ling'chu'xia 令初下
'ling'ling'zuo'xiang 泠泠作响
'ling'ru'zhi 令辱之
'ling'zuo'shi 令作诗
'liu'tiao'jiang'shu'wei'shu 柳条将舒未舒
'liu'xue'qian'li 流血千里
'liu'xue'wu'bu 流血五步
'liu'yi'qing 刘义庆
'liu'yu'xi 刘禹锡
'liu'zhang'an'ruo 刘璋暗弱
'liu'zong'yuan 柳宗元
'long'zhong'dui 隆中对
'lou'jian'di 楼渐低
'lou'shi'ming 陋室铭
'lou'wai'tian'ye 楼外天也
'lou'wu'jia 楼五架
'lou'yu'gao 楼愈高
'lu'bi 录毕
'lu'ling'ou'yang'xiu'ye 庐陵欧阳修也
'lu'shang'you'hu 炉上有壶
'lu'zhi'ju'zuo 鲁直居左
'lu'zhi'xian'zuo'zu 鲁直现左足
'lu'zhi'zuo'shou'zhi'juan'mo 鲁直左手执卷末
'lue'wu'mu'yan'yi 略无慕艳意
'lue'wu'que'chu 略无阙处
'lun'yu 论语
'lun'yu'shi'ze 论语十则
'luo'ying'bin'fen 落英缤纷
'lv'qi'zi'yi'ren'lai'ci'jue'jing 率妻子邑人来此绝境
'ma'shuo 马说
'ma'wu'gu'wang'er'ru'hu 马无故亡而入胡
'ma'zhi'qian'li'zhe 马之千里者
'mai'tian'qian'lie'cun'xu 麦田浅鬣寸许
'man'jing'you'ji 满井游记
'man'mu'xiao'ran 满目萧然
'man'zuo'bin'ke'wu'bu'shen'jing 满坐宾客无不伸颈
'man'zuo'ji'ran 满坐寂然
'mao'yu'lin'lie'zhi'jian'jie'you'xi'qi 毛羽鳞鬣之间皆有喜气
'mei'jia'jie'yu'cang'shu'zhi'jia 每假借于藏书之家
'mei'mao'feng'chi'xing 每冒风驰行
'mei'sui'jing'yin'chu'zhe'jiang'ting'jiao'yue'shui'jun 每岁京尹出浙江亭教阅水军
'mei'you'hui'yi 每有会意
'mei'yu'chen'lun'ci'shi 每与臣论此事
'mei'zhi'qing'chu'shuang'dan 每至晴初霜旦
'mei'zi'bi'yu'guan'zhong'yue'yi 每自比于管仲乐毅
'men'ren'di'zi'tian'qi'shi 门人弟子填其室
'men'ting'ruo'shi 门庭若市
'men'wai'xi 门外戏
'meng'chong'shu'bai 艨艟数百
'meng'ci'yi'jun'zhong'duo'wu 蒙辞以军中多务
'meng'lang'ruo'ben 猛浪若奔
'meng'luo'yao'zhui 蒙络摇缀
'meng'nai'shi'jiu'xue 蒙乃始就学
'meng'yue 蒙曰
'meng'zi 孟子
'mi'su'fei'bu'duo'ye 米粟非不多也
'mian'shan'er'ju 面山而居
'min'fu'cong'ye 民弗从也
'min'ran'zhong'ren'yi 泯然众人矣
'min'yin'guo'fu'er'bu'zhi'cun'xu 民殷国富而不知存恤
'ming'cha'qiu'hao 明察秋毫
'ming'dao'zhong 明道中
'ming'kua'e'shi'er'zi'fu'er'shan 命夸娥氏二子负二山
'ming'mie'ke'jian 明灭可见
'ming'ri'xu'gong'lai 明日徐公来
'ming'sheng'shang'xia 鸣声上下
'ming'you'qi'qiao'ren'yue'wang'shu'yuan 明有奇巧人曰王叔远
'ming'zhi'er'bu'neng'tong'qi'yi 鸣之而不能通其意
'ming'zhi'zhe'shui 名之者谁
'mo'shuo'xiang'gong'chi 莫说相公痴
'mo'zi 墨子
'mu'dan 牡丹
'mu'dan'zhi'ai 牡丹之爱
'mu'dao'jiang'ling 暮到江陵
'mu'er'gui 暮而归
'mu'er'guo'da'wang'qi'cai 暮而果大亡其财
'mu'qin'er'si'zhi 暮寝而思之
'mu'si'ming 目似瞑
'nai'bu'zhi'you'han 乃不知有汉
'nai'chong'xiu'yue'yang'lou 乃重修岳阳楼
'nai'da'jing 乃大惊
'nai'dan'shu'bo'yue 乃丹书帛曰
'nai'ji'zhi'er'qu 乃记之而去
'nai'jian 乃见
'nai'ke'gong'ye 乃可攻也
'nai'ling'fu'li'ren'ge'ying'jiang'bing'xun'qi'yi'dong 乃令符离人葛婴将兵徇蕲以东
'nai'ru'jian 乃入见
'nai'ru'ju'chen 乃入据陈
'nai'wu'qian'lang'jia'mei 乃悟前狼假寐
'nai'xia'ling 乃下令
'nai'xing'bu 乃行卜
'nai'zha'cheng'gong'zi'fu'su'xiang'yan 乃诈称公子扶苏项燕
'nan'ce'ye 难测也
'nan'fang'you'niao 南方有鸟
'nan'fu'yi'yue 南抚夷越
'nan'ji'xiao'xiang 南极潇湘
'nan'nv'yi'zhuo 男女衣着
'nan'yang'liu'zi'ji 南阳刘子骥
'nan'yang'zhu'ge'lu 南阳诸葛庐
'nan'you'fen 男有分
'nei'xiu'zheng'li 内修政理
'neng'bang'ji'yu'shi'chao 能谤讥于市朝
'neng'mian'ci'gua'ren'zhi'guo'zhe 能面刺寡人之过者
'neng'yi'jing'cun'zhi'mu 能以径寸之木
'neng'zhang'mu'dui'ri 能张目对日
'nian'er'ri'tian'shao'he 廿二日天稍和
'nian'gui 念鬼
'nian'jin'zhong'wu'ci'chan'yuan 念近中无此禅院
'nian'qie'jiu'shi 年且九十
'nian'wu'yu'wei'le'zhe 念无与为乐者
'niang'quan'wei'jiu 酿泉为酒
'niang'quan'ye 酿泉也
'nie'zheng'zhi'ci'han'kui'ye 聂政之刺韩傀也
'nu'er'chu'bu'zhou'zhi'shan 怒而触不周之山
'nv'you'gui 女有归
'ou'yang'xiu 欧阳修
'pang'kai'xiao'chuang 旁开小窗
'pen'qi'qing'ce 盆器倾侧
'pian'si'yu'cao'li'zhi'jian 骈死于槽枥之间
'po'shi'ji'zhi 颇示己志
'po'shui'sheng 泼水声
'pu'song'ling 蒲松龄
'qi'an'shi'quan'ya'cha'hu 其岸势犬牙差互
'qi'bi'yue 其必曰
'qi'bu'shan'zhe'er'gai'zhi 其不善者而改之
'qi'chuan'bei'shao'yi 其船背稍夷
'qi'chuang'er'guan 启窗而观
'qi'fu'yi'yu 其夫呓语
'qi'fu'yue 其父曰
'qi'guo'zhi'mei'li'zhe'ye 齐国之美丽者也
'qi'jia'shen'zhi'qi'zi 其家甚智其子
'qi'jian'qian'er'bai'li 其间千二百里
'qi'li'zhi'guo 七里之郭
'qi'liang'xi'xiang'bi'zhe 其两膝相比者
'qi'lin'ren'zhi'fu'yi'yun 其邻人之父亦云
'qi'ma'jiang'hu'jun'ma'er'gui 其马将胡骏马而归
'qi'ming'wei'yuan'chu 其名为鹓鶵
'qi'nian'ji'shang'ce 七年级上册
'qi'nian'ji'xia'ce 七年级下册
'qi'qi'xian'yi'yue 其妻献疑曰
'qi'qi'yue 其妻曰
'qi'qi'zhang 弃其杖
'qi'qian'yu 骑千余
'qi'qie'zhi'feng 妻妾之奉
'qi'ren'bu'xie'ye 乞人不屑也
'qi'ren'san'gu 齐人三鼓
'qi'ren'shi'duan'rong'ji 其人视端容寂
'qi'ri'zhong 期日中
'qi'ru'tu'shi'he 其如土石何
'qi'ru'yu'nu'li'ren'zhi'shou 祇辱于奴隶人之手
'qi'se'dan 其色丹
'qi'se'mo 其色墨
'qi'shan'yi'shui 奇山异水
'qi'shen'han'gu 凄神寒骨
'qi'shi'bai'ji 齐师败绩
'qi'shi'fa'wo 齐师伐我
'qi'shi'yi'yang'fu'mu 其诗以养父母
'qi'shou'zhi'tian'ye 其受之天也
'qi'shu'hu 其恕乎
'qi'wen'li'jie'you'ke'guan'zhe 其文理皆有可观者
'qi'xi'nan'zhu'feng 其西南诸峰
'qi'xi'yang'yang'zhe'yi 其喜洋洋者矣
'qi'xia 蕲下
'qi'xiang'ren'yue 其乡人曰
'qi'xiang'wan'qian 气象万千
'qi'yan'zi'ruo'ren'zhi'chou'hu 其言兹若人之俦乎
'qi'yi'quan'zuo'yu'qian 其一犬坐于前
'qi'yu'lu 起于鲁
'qi'zai'bi'zui 期在必醉
'qi'zhen'bu'zhi'ma'ye 其真不知马也
'qi'zhen'wu'ma'xie 其真无马邪
'qi'zhi'wu'bai'li'zai 岂直五百里哉
'qi'zhong'wang'lai'zhong'zuo 其中往来种作
'qi'zi'hao'qi 其子好骑
'qi'zi'yue 其子曰
'qi'zuo'er'xuan'hua'zhe 起坐而喧哗者
'qian'bai'cheng'feng 千百成峰
'qian'ke'sao'ren 迁客骚人
'qian'li'ma'chang'you 千里马常有
'qian'lou'zhi'qi'you'yan 黔娄之妻有言
'qian'mo'jiao'tong 阡陌交通
'qian'ren'zhi'shu'bei'yi 前人之述备矣
'qian'zhang'jian'di 千丈见底
'qian'zhe'hu 前者呼
'qiang'duo'sheng 抢夺声
'qiang'qing'ji'cui 樯倾楫摧
'qiao'chuang'you'sui 悄怆幽邃
'qie'qin'mie'han'wang'wei 且秦灭韩亡魏
'qie'wei'zhong'ren 且为众人
'qie'yan'zhi'tu'shi 且焉置土石
'qie'yu'yu'chang'ma'deng'bu'ke'de 且欲与常马等不可得
'qie'yue 妾曰
'qie'zhi'mei'wo'zhe 妾之美我者
'qie'zhuang'shi'bu'si'ji'yi 且壮士不死即已
'qin'jiu'zhi'qi'ru'ci 亲旧知其如此
'qin'qi'pan'zhi 亲戚畔之
'qin'shou'zhi'bian'zha'ji'he'zai 禽兽之变诈几何哉
'qin'wang'bu'yue 秦王不悦
'qin'wang'fu'ran'nu 秦王怫然怒
'qin'wang'se'nao 秦王色挠
'qin'wang'shi'ren'wei'an'ling'jun'yue 秦王使人谓安陵君曰
'qin'wang'wei'tang'ju'yue 秦王谓唐雎曰
'qin'wang'yue 秦王曰
'qin'xian'chen 亲贤臣
'qin'xiao'ren 亲小人
'qing'che'jian'di 清澈见底
'qing'feng'xu'lai 清风徐来
'qing'gua'ren'yu 轻寡人与
'qing'guang'yu'jun 请广于君
'qing'jin'dang'tu'zhang'shi 卿今当涂掌事
'qing'jin'zhe'cai'lue 卿今者才略
'qing'li'si'nian'chun 庆历四年春
'qing'lin'cui'zhu 青林翠竹
'qing'liu'jian'di 清流见底
'qing'rong'jun'mao 清荣峻茂
'qing'shu'cui'man 青树翠蔓
'qing'shuo'zhi 请说之
'qing'xian'shi'jin 请献十金
'qing'xun'qi'ben 请循其本
'qing'yan'duo'wu 卿言多务
'qiong'dong'lie'feng 穷冬烈风
'qu'hou'nai'zhi 去后乃至
'qu'you'bi'zhi'chuan 诎右臂支船
'qu'zhi'bie'yuan 驱之别院
'quan'er'ming'zhe 泉而茗者
'quan'shi'yi'wei'di 全石以为底
'quan'shui'ji'shi 泉水激石
'quan'wei'lv'meng'yue 权谓吕蒙曰
'quan'xiang'er'jiu'lie 泉香而酒洌
'quan'yue 权曰
'qun'chen'jin'jian 群臣进谏
'qun'chen'li'min 群臣吏民
'qun'xiang'bi'jue 群响毕绝
'ran'cao'sui'neng'ke'shao 然操遂能克绍
'ran'chen'zhi'di'zi'qin'hua'li'deng'san'bai'ren 然臣之弟子禽滑厘等三百人
'ran'er'bu'sheng'zhe 然而不胜者
'ran'er'qin'niao'zhi'shan'lin'zhi'le 然而禽鸟知山林之乐
'ran'hou'shi'xing 然后施行
'ran'hou'you'qian'li'ma 然后有千里马
'ran'hou'zhi'sheng'yu'you'huan'er'si'yu'an'le'ye 然后知生于忧患而死于安乐也
'ran'hou'zhi'song'bai'zhi'hou'diao'ye 然后知松柏之后凋也
'ran'hu'bu'yi'hu 然胡不已乎
'ran'shi'wei'zhi'chen'bu'xie'yu'nei 然侍卫之臣不懈于内
'ran'shu'nian'heng'bu'yi'jian 然数年恒不一见
'ran'tu'bu'ze'han'chu'jia'bei 然徒步则汗出浃背
'ran'ze'bei'tong'wu'xia 然则北通巫峡
'ran'ze'he'shi'er'le'ye 然则何时而乐耶
'ran'zhi'you'wei'yi 然志犹未已
'ran'zu'xia'bu'zhi'gui'hu 然足下卜之鬼乎
'rang'chu'jian'xiong 攘除奸凶
'ren'bu'zhi'er'bu'yun 人不知而不愠
'ren'heng'guo'ran'hou'neng'gai 人恒过然后能改
'ren'jie'diao'zhi 人皆吊之
'ren'jie'he'zhi 人皆贺之
'ren'jie'you'zhi 人皆有之
'ren'wu'lue'bu'xiang'du 人物略不相睹
'ren'yi'dong'xi 任意东西
'ren'yi'wei'ji'ren 仁以为己任
'ren'ying'san'luan 人影散乱
'ren'you'bai'kou 人有百口
'ren'zhi'cong'tai'shou'you'er'le 人知从太守游而乐
'ren'zhong'er'dao'yuan 任重而道远
'ri'ban'zhong'yong'huan'ye'yu'yi'ren 日扳仲永环谒于邑人
'ri'guang'xia'che 日光下澈
'ri'xing'yin'yao 日星隐曜
'ri'zhong'bu'zhi 日中不至
'rou'shao'pi'feng 柔梢披风
'rou'shi'zhe'bi 肉食者鄙
'rou'shi'zhe'mou'zhi 肉食者谋之
'ru'ci'qi'xian'ye 如此其贤也
'ru'lv'ping'di 如履平地
'ru'ming'pei'huan 如鸣珮环
'ru'qian'nv'zhi'hui'mian'er'ji'huan'zhi'shi'lue'ye 如倩女之靧面而髻鬟之始掠也
'ru'ri 入日
'ru'shi'ren'zhi'suo'yu'mo'shen'yu'sheng 如使人之所欲莫甚于生
'ru'tai'hang 如太行
'ru'xin'zhi'gu 汝心之固
'ru'you'suo'yu 如有所语
'ru'ze'wu'fa'jia'bi'shi 入则无法家拂士
'ru'zhi'bu'hui 汝之不惠
'ruo'fu'ri'chu'er'lin'fei'kai 若夫日出而林霏开
'ruo'fu'yin'yu'fei'fei 若夫淫雨霏霏
'ruo'kua'you'jing'yi 若跨有荆益
'ruo'peng'fu'zhi 箬篷覆之
'ruo'shi'bi'nu 若士必怒
'ruo'ting'cha'sheng'ran 若听茶声然
'ruo'tuo'long'zhi'hu 若脱笼之鹄
'ruo'wei'yong'geng 若为佣耕
'ruo'wu'xing'de'zhi'yan 若无兴德之言
'ruo'xiao'hu'zhuang 若啸呼状
'ruo'you'zuo'jian'fan'ke'ji'wei'zhong'shan'zhe 若有作奸犯科及为忠善者
'sa'yan'kong'zhong'cha'ke'ni 撒盐空中差可拟
'sai'weng'shi'ma 塞翁失马
'san'er'jie 三而竭
'san'gu'chen'yu'cao'lu'zhi'zhong 三顾臣于草庐之中
'san'lao'hao'jie'jie'yue 三老豪杰皆曰
'san'li'zhi'cheng 三里之城
'san'ren'xing 三人行
'san'xia 三峡
'se'yu'gong 色愈恭
'sha'chen 杀臣
'sha'ou'xiang'ji 沙鸥翔集
'sha'suo'bu'zu'er'zheng'suo'you'yu 杀所不足而争所有余
