'a'bai'xi'pu'yan'nei'zhu'she'rong'ye 阿柏西普眼内注射溶液
'er'qiu'ding'er'na 二巯丁二钠
'er'qiu'ding'er'suan 二巯丁二酸
'er'yang'bing'qin 二氧丙嗪
'fa'luo'pei'nan'ke'li'ji 法罗培南颗粒剂
'fa'luo'pei'nan'kou'fu'chang'shi'ji'xing 法罗培南口服常释剂型
'fa'mo'ti'ding'kou'fu'chang'shi'ji'xing 法莫替丁口服常释剂型
'fa'mo'ti'ding'zhu'she'ji 法莫替丁注射剂
'fa'shu'di'er 法舒地尔
'fa'wei'la'wei'pian'you'cheng'fa'pi'la'wei'pian 法维拉韦片又称法匹拉韦片
'fa'xi'luo'wei 伐昔洛韦
'fan'xi'luo'wei 泛昔洛韦
'fan'ying'pu'an 泛影葡胺
'fan'ying'suan'na 泛影酸钠
'fei'bu'si'ta 非布司他
'fei'luo'di'ping 非洛地平
'fei'luo'di'ping'huan'shi'kong'shi'ji'xing 非洛地平缓释控释剂型
'fei'luo'di'ping'kou'fu'chang'shi'ji'xing 非洛地平口服常释剂型
'fei'na'bi'ding 非那吡啶
'fei'na'xiong'an 非那雄胺
'fei'nuo'bei'te 非诺贝特
'fen'bian'ming'kou'fu'chang'shi'ji'xing 酚苄明口服常释剂型
'fen'bian'ming'zhu'she'ji 酚苄明注射剂
'fen'huang'yi'an 酚磺乙胺
'fen'ka'ma'min'jiao'nang 酚咖麻敏胶囊
'fen'ka'pian 酚咖片
'fen'ma'mei'min'jiao'nang 酚麻美敏胶囊
'fen'ma'mei'min'pian 酚麻美敏片
'fen'nai'jing'kou'fu'chang'shi'ji'xing 奋乃静口服常释剂型
'fen'nai'jing'zhu'she'ji 奋乃静注射剂
'fen'tai'ni 芬太尼
'fen'tai'ni'tie'ji 芬太尼贴剂
'fen'tuo'la'ming 酚妥拉明
'fu'bao'mi'ding'kou'fu'chang'shi'ji'xing 氟胞嘧啶口服常释剂型
'fu'bao'mi'ding'zhu'she'ji 氟胞嘧啶注射剂
'fu'bi'luo'fen'ba'bu'gao'ji 氟比洛芬巴布膏剂
'fu'bi'luo'fen'ning'jiao'tie'gao'ji 氟比洛芬凝胶贴膏剂
'fu'bi'luo'fen'tie'gao'ji 氟比洛芬贴膏剂
'fu'bi'luo'fen'zhi 氟比洛芬酯
'fu'da'la'bin'kou'fu'chang'shi'ji'xing 氟达拉滨口服常释剂型
'fu'da'la'bin'zhu'she'ji 氟达拉滨注射剂
'fu'duo'si'tan 福多司坦
'fu'duo'si'tan'kou'fu'rong'ye 福多司坦口服溶液
'fu'fa'ta'ting'huan'shi'kong'shi'ji'xing 氟伐他汀缓释控释剂型
'fu'fa'ta'ting'kou'fu'chang'shi'ji'xing 氟伐他汀口服常释剂型
'fu'fang'a'qin'mi'te 复方阿嗪米特
'fu'fang'a'si'pi'lin 复方阿司匹林
'fu'fang'a'ti'ka'yin 复方阿替卡因
'fu'fang'an'fen'mei'sha'tang'jiang 复方氨酚美沙糖浆
'fu'fang'an'fen'na'min'ke'li 复方氨酚那敏颗粒
'fu'fang'an'fen'pu'xin'pian 复方氨酚葡锌片
'fu'fang'an'ji'suan 复方氨基酸
'fu'fang'bei'ta'mi'song 复方倍他米松
'fu'fang'dian'qie'qing'yang'hua'lv'pian 复方颠茄氢氧化铝片
'fu'fang'dui'yi'xian'an'ji'fen 复方对乙酰氨基酚
'fu'fang'e'zhu'you 复方莪术油
'fu'fang'fan'ying'pu'an 复方泛影葡胺
'fu'fang'fen'ka'wei'ma'jiao'nang 复方酚咖伪麻胶囊
'fu'fang'gan'cao'kou'fu'chang'shi'ji'xing 复方甘草口服常释剂型
'fu'fang'gan'cao'kou'fu'ye'ti'ji 复方甘草口服液体剂
'fu'fang'gan'you 复方甘油
'fu'fang'huang'an'jia'e'zuo'kou'fu'chang'shi'ji'xing 复方磺胺甲噁唑口服常释剂型
'fu'fang'huang'an'jia'e'zuo'zhu'she'ji 复方磺胺甲噁唑注射剂
'fu'fang'huang'an'mi'ding'xin 复方磺胺嘧啶锌
'fu'fang'jia'yang'na'ming 复方甲氧那明
'fu'fang'jiao'cai'suan'zhi'ru'gao'ji 复方角菜酸酯乳膏剂
'fu'fang'jiao'cai'suan'zhi'shuan'ji 复方角菜酸酯栓剂
'fu'fang'ju'yi'er'chun'dian'jie'zhi 复方聚乙二醇电解质
'fu'fang'ka'bi'duo'ba 复方卡比多巴
'fu'fang'ka'tuo'pu'li 复方卡托普利
'fu'fang'li'xue'ping 复方利血平
'fu'fang'li'xue'ping'an'ben'die'ding 复方利血平氨苯蝶啶
'fu'fang'luo'bu'ma 复方罗布麻
'fu'fang'lv'hua'na 复方氯化钠
'fu'fang'lv'jie'lin'ding 复方氯解磷定
'fu'fang'lv'suan'bi 复方铝酸铋
'fu'fang'lv'zuo'sha'zong 复方氯唑沙宗
'fu'fang'peng'sha 复方硼砂
'fu'fang'qing'xiu'suan'you'mei'sha'fen'tang'jiang 复方氢溴酸右美沙芬糖浆
'fu'fang'qing'yang'hua'lv 复方氢氧化铝
'fu'fang'ru'suan'na'pu'tao'tang 复方乳酸钠葡萄糖
'fu'fang'shi'suan'ru'gan'jun'pian 复方嗜酸乳杆菌片
'fu'fang'shui'yang'suan 复方水杨酸
'fu'fang'tong'suan 复方酮酸
'fu'fang'tu'jin'pi 复方土槿皮
'fu'fang'tuo'bi'ka'an 复方托吡卡胺
'fu'fang'xiao'hua'mei'jiao'nang 复方消化酶胶囊
'fu'fang'xin'bu'ke'li'ji 复方锌布颗粒剂
'fu'fang'yan'suan'wei'ma'huang'jian'huan'shi'jiao'nang 复方盐酸伪麻黄碱缓释胶囊
'fu'fang'yi'bing'tuo'xiu'an 复方异丙托溴铵
'fu'fang'yi'mei'san 复方胰酶散
'fu'fang'yu'chuang'mu'fen'huang'suan'jia'kou'fu'rong'ye 复方愈创木酚磺酸钾口服溶液
'fu'fang'yu'fen'pen'tuo'na'min'tang'jiang 复方愈酚喷托那敏糖浆
'fu'fen'nai'jing'kou'fu'chang'shi'ji'xing 氟奋乃静口服常释剂型
'fu'fen'nai'jing'zhu'she'ji 氟奋乃静注射剂
'fu'fu'sha'ming 氟伏沙明
'fu'ge'lie'bo'tang 伏格列波糖
'fu'gui'li'qin 氟桂利嗪
'fu'he'lin'suan'qing'jia'zhu'she'ye 复合磷酸氢钾注射液
'fu'he'ru'suan'jun'chang'rong'jiao'nang 复合乳酸菌肠溶胶囊
'fu'kang'zuo 氟康唑
'fu'kang'zuo'di'yan'ji 氟康唑滴眼剂
'fu'kang'zuo'ke'li'ji 氟康唑颗粒剂
'fu'kang'zuo'lv'hua'na 氟康唑氯化钠
'fu'kang'zuo'pu'tao'tang 氟康唑葡萄糖
'fu'kang'zuo'zhu'she'ji 氟康唑注射剂
'fu'li'kang'zuo'kou'fu'chang'shi'ji'xing 伏立康唑口服常释剂型
'fu'li'kang'zuo'kou'fu'ye'ti'ji 伏立康唑口服液体剂
'fu'li'kang'zuo'zhu'she'ji 伏立康唑注射剂
'fu'ma 呋麻
'fu'ma'suan'bei'da'kui'lin'pian 富马酸贝达喹啉片
'fu'ma'suan'er'jia'zhi'chang'rong'jiao'nang 富马酸二甲酯肠溶胶囊
'fu'ma'suan'fu'nuo'la'sheng'pian 富马酸伏诺拉生片
'fu'ma'suan'ya'tie'ju'jue'pian 富马酸亚铁咀嚼片
'fu'ma'suan'ya'tie'ke'li'ji 富马酸亚铁颗粒剂
'fu'ma'suan'ya'tie'kou'fu'chang'shi'ji'xing 富马酸亚铁口服常释剂型
'fu'ma'xi'ni 氟马西尼
'fu'mi'long 氟米龙
'fu'mo'si'ting 福莫司汀
'fu'mo'te'luo 福莫特罗
'fu'mo'tou'xi'ye 腹膜透析液
'fu'nan'tuo'yin 呋喃妥因
'fu'nan'zuo'tong 呋喃唑酮
'fu'niao'mi'ding 氟尿嘧啶
'fu'niao'mi'ding'kou'fu'chang'shi'ji'xing 氟尿嘧啶口服常释剂型
'fu'niao'mi'ding'lv'hua'na 氟尿嘧啶氯化钠
'fu'niao'mi'ding'pu'tao'tang 氟尿嘧啶葡萄糖
'fu'niao'mi'ding'zhu'she'ji 氟尿嘧啶注射剂
'fu'pai'ding'chun'kou'fu'chang'shi'ji'xing 氟哌啶醇口服常释剂型
'fu'pai'ding'chun'zhu'she'ji 氟哌啶醇注射剂
'fu'pai'li'duo 氟哌利多
'fu'pai'sai'dun'mei'li'qu'xin 氟哌噻吨美利曲辛
'fu'sai'mi'kou'fu'chang'shi'ji'xing 呋塞米口服常释剂型
'fu'sai'mi'zhu'she'ji 呋塞米注射剂
'fu'ta'an 氟他胺
'fu'ti'ka'song 氟替卡松
'fu'ti'ka'song'xi'ru'ji 氟替卡松吸入剂
'fu'wei'si'qun 氟维司群
'fu'xi'di'suan 夫西地酸
'fu'xi'di'suan'zhu'she'ji 夫西地酸注射剂
'fu'xi'ting 氟西汀
'fu'xin'pu'li 福辛普利
'ga'bei'pu'an 钆贝葡胺
'ga'bu'chun'zhu'she'ye 钆布醇注射液
'ga'pen'suan'pu'an 钆喷酸葡胺
'ga'shuang'an 钆双胺
'ga'te'chun'zhu'she'ye 钆特醇注射液
'ga'te'suan'pu'an 钆特酸葡胺
'gan'an'shuang'zuo'na 甘氨双唑钠
'gan'cao'suan'er'an'kou'fu'chang'shi'ji'xing 甘草酸二铵口服常释剂型
'gan'cao'suan'er'an'zhu'she'ji 甘草酸二铵注射剂
'gan'jing'yi'dao'su 甘精胰岛素
'gan'lu'chun'chong'xi'ji 甘露醇冲洗剂
'gan'lu'chun'zhu'she'ji 甘露醇注射剂
'gan'su'feng'guan'ye 肝素封管液
'gan'su'ru'gao'ji 肝素乳膏剂
'gan'su'zhu'she'ji 肝素注射剂
'gan'you'guan'chang'ji 甘油灌肠剂
'gan'you'guo'tang'lv'hua'na 甘油果糖氯化钠
'gan'you'lin'suan'na 甘油磷酸钠
'gan'you'shuan'ji 甘油栓剂
'gao'meng'suan'jia 高锰酸钾
'gao'san'jian'shan'zhi'jian 高三尖杉酯碱
'gao'san'jian'shan'zhi'jian'lv'hua'na 高三尖杉酯碱氯化钠
'gao'xue'tang'su 高血糖素
'ge'gen'su 葛根素
'ge'la'si'qiong'kou'fu'chang'shi'ji'xing 格拉司琼口服常释剂型
'ge'la'si'qiong'zhu'she'ji 格拉司琼注射剂
'ge'li'mu'dan'kang 戈利木单抗
'ge'lie'ben'niao 格列本脲
'ge'lie'bi'qin'huan'shi'kong'shi'ji'xing 格列吡嗪缓释控释剂型
'ge'lie'bi'qin'kou'fu'chang'shi'ji'xing 格列吡嗪口服常释剂型
'ge'lie'kui'tong 格列喹酮
'ge'lie'mei'niao 格列美脲
'ge'lie'qi'te 格列齐特
'ge'lie'qi'te'huan'shi'kong'shi'ji'xing 格列齐特缓释控释剂型
'ge'lie'qi'te'kou'fu'chang'shi'ji'xing 格列齐特口服常释剂型
'ge'long'xiu'an 格隆溴铵
'ge'na'rui'lin 戈那瑞林
'ge'nai'ding'kou'fu'chang'shi'ji'xing 咯萘啶口服常释剂型
'ge'nai'ding'zhu'she'ji 咯萘啶注射剂
'geng'xi'luo'wei'kou'fu'chang'shi'ji'xing 更昔洛韦口服常释剂型
'geng'xi'luo'wei'yan'yong'ning'jiao'ji 更昔洛韦眼用凝胶剂
'geng'xi'luo'wei'zhu'she'ji 更昔洛韦注射剂
'gu'guang'gan'tai 谷胱甘肽
'gu'hua'san'chun'kou'fu'chang'shi'ji'xing 骨化三醇口服常释剂型
'gu'hua'san'chun'zhu'she'ji 骨化三醇注射剂
'gu'lai'yi'dao'su 谷赖胰岛素
'gu'wei'su 谷维素
'gui'fu'fen'nai'jing 癸氟奋乃静
'gui'jiang'gai'su'xi'ru'ji 鲑降钙素吸入剂
'gui'jiang'gai'su'zhu'she'ji 鲑降钙素注射剂
'gui'jiu'du'su'ruan'gao'ji 鬼臼毒素软膏剂
'gui'jiu'du'su'wai'yong'ye'ti'ji 鬼臼毒素外用液体剂
'guo'tang 果糖
'guo'tang'lv'hua'na 果糖氯化钠
'guo'yang'ben'jia'xian 过氧苯甲酰
'guo'yang'hua'qing 过氧化氢
'ha'xi'nai'de'ruan'gao'ji 哈西奈德软膏剂
'ha'xi'nai'de'wai'yong'ye'ti'ji 哈西奈德外用液体剂
'hai'yuan'xing'gu'guang'gan'tai'gu'guang'gan'tai 还原型谷胱甘肽谷胱甘肽
'han'fang'ji'jia'su'kou'fu'chang'shi'ji'xing 汉防己甲素口服常释剂型
'han'fang'ji'jia'su'zhu'she'ji 汉防己甲素注射剂
'hao'jia'mi 蒿甲醚
'hong'mei'su 红霉素
'hong'mei'su'kou'fu'chang'shi'ji'xing 红霉素口服常释剂型
'hong'mei'su'yan'gao'ji 红霉素眼膏剂
'hong'mei'su'zhu'she'ji 红霉素注射剂
'hu'po'suan'ya'tie'huan'shi'kong'shi'ji'xing 琥珀酸亚铁缓释控释剂型
'hu'po'suan'ya'tie'ke'li'ji 琥珀酸亚铁颗粒剂
'hu'po'suan'ya'tie'kou'fu'chang'shi'ji'xing 琥珀酸亚铁口服常释剂型
'hu'po'xian'ming'jiao 琥珀酰明胶
'hu'yi'hong'mei'su'ke'li'ji 琥乙红霉素颗粒剂
'hu'yi'hong'mei'su'kou'fu'chang'shi'ji'xing 琥乙红霉素口服常释剂型
'hua'fa'lin 华法林
'huan'bao'su'di'yan'ji 环孢素滴眼剂
'huan'bao'su'kou'fu'chang'shi'ji'xing 环孢素口服常释剂型
'huan'bao'su'kou'fu'ye'ti'ji 环孢素口服液体剂
'huan'bao'su'zhu'she'ji 环孢素注射剂
'huan'bi'tong'an 环吡酮胺
'huan'bing'sha'xing'di'er'ji 环丙沙星滴耳剂
'huan'bing'sha'xing'di'yan'ji 环丙沙星滴眼剂
'huan'bing'sha'xing'kou'fu'chang'shi'ji'xing 环丙沙星口服常释剂型
'huan'bing'sha'xing'lv'hua'na 环丙沙星氯化钠
'huan'bing'sha'xing'ning'jiao'ji 环丙沙星凝胶剂
'huan'bing'sha'xing'pu'tao'tang 环丙沙星葡萄糖
'huan'bing'sha'xing'ruan'gao'ji 环丙沙星软膏剂
'huan'bing'sha'xing'yan'gao'ji 环丙沙星眼膏剂
'huan'bing'sha'xing'zhu'she'ji 环丙沙星注射剂
'huan'lin'xian'an'kou'fu'chang'shi'ji'xing 环磷酰胺口服常释剂型
'huan'lin'xian'an'zhu'she'ji 环磷酰胺注射剂
'huan'lin'xian'gan 环磷腺苷
'huan'lun'ning 环轮宁
'huan'si'an'suan 环丝氨酸
'huan'zhi'hong'mei'su 环酯红霉素
'huang'an'cu'xian'na 磺胺醋酰钠
'huang'an'duo'xin 磺胺多辛
'huang'an'duo'xin'yi'an'mi'ding 磺胺多辛乙胺嘧啶
'huang'an'mi'ding'kou'fu'chang'shi'ji'xing 磺胺嘧啶口服常释剂型
'huang'an'mi'ding'kou'fu'ye'ti'ji 磺胺嘧啶口服液体剂
'huang'an'mi'ding'xin 磺胺嘧啶锌
'huang'an'mi'ding'yin 磺胺嘧啶银
'huang'an'mi'ding'zhu'she'ji 磺胺嘧啶注射剂
'huang'da'gan'gui'na 磺达肝癸钠
'huang'ti'tong 黄体酮
'huang'ti'tong'kou'fu'chang'shi'ji'xing 黄体酮口服常释剂型
'huang'ti'tong'shuan'ji 黄体酮栓剂
'huang'tong'pai'zhi 黄酮哌酯
'ji'chun'yan'suan'zhi'pian 肌醇烟酸酯片
'ji'fa'zhi 吉法酯
'ji'fei'luo'qi 吉非罗齐
'ji'fei'ti'ni 吉非替尼
'ji'gan 肌苷
'ji'mi'sha'xing 吉米沙星
'ji'tong'ke'ke'jian'huan'shi'kong'shi'ji'xing 己酮可可碱缓释控释剂型
'ji'tong'ke'ke'jian'kou'fu'chang'shi'ji'xing 己酮可可碱口服常释剂型
'ji'tong'ke'ke'jian'zhu'she'ji 己酮可可碱注射剂
'ji'xi'ci'fen'kou'fu'chang'shi'ji'xing 己烯雌酚口服常释剂型
'ji'xi'ci'fen'zhu'she'ji 己烯雌酚注射剂
'ji'xi'ta'bin 吉西他滨
'jia'an'die'ling 甲氨蝶呤
'jia'an'die'ling'kou'fu'chang'shi'ji'xing 甲氨蝶呤口服常释剂型
'jia'ba'pen'ding 加巴喷丁
'jia'bei'zhi 加贝酯
'jia'ben'huang'suan'ai'duo'sha'ban'pian 甲苯磺酸艾多沙班片
'jia'ben'mi'zuo 甲苯咪唑
'jia'di'yun'tong 甲地孕酮
'jia'gu'an'kou'fu'chang'shi'ji'xing 甲钴胺口服常释剂型
'jia'gu'an'zhu'she'ji 甲钴胺注射剂
'jia'huang'suan'ai'li'bu'lin'zhu'she'ye 甲磺酸艾立布林注射液
'jia'huang'suan'ao'xi'ti'ni'pian 甲磺酸奥希替尼片
'jia'huang'suan'lun'fa'ti'ni'jiao'nang 甲磺酸仑伐替尼胶囊
'jia'ji'duo'ba 甲基多巴
'jia'lan'ta'min'kou'fu'chang'shi'ji'xing 加兰他敏口服常释剂型
'jia'lan'ta'min'zhu'she'ji 加兰他敏注射剂
'jia'lv'fen'zhi 甲氯芬酯
'jia'nai'qing'kun 甲萘氢醌
'jia'po'ni'long'kou'fu'chang'shi'ji'xing 甲泼尼龙口服常释剂型
'jia'po'ni'long'zhu'she'ji 甲泼尼龙注射剂
'jia'qiang'yun'tong'kou'fu'chang'shi'ji'xing 甲羟孕酮口服常释剂型
'jia'qiang'yun'tong'zhu'she'ji 甲羟孕酮注射剂
'jia'qiu'mi'zuo 甲巯咪唑
'jia'ti'sha'xing'di'yan'ji 加替沙星滴眼剂
'jia'ti'sha'xing'yan'yong'ning'jiao'ji 加替沙星眼用凝胶剂
'jia'xiao'zuo'kou'fu'chang'shi'ji'xing 甲硝唑口服常释剂型
'jia'xiao'zuo'lv'hua'na 甲硝唑氯化钠
'jia'xiao'zuo'ning'jiao'ji 甲硝唑凝胶剂
'jia'xiao'zuo'pu'tao'tang 甲硝唑葡萄糖
'jia'xiao'zuo'shuan'ji 甲硝唑栓剂
'jia'xiao'zuo'yin'dao'pao'teng'pian 甲硝唑阴道泡腾片
'jia'xiao'zuo'zhu'she'ji 甲硝唑注射剂
'jia'yang'bian'ding 甲氧苄啶
'jia'yang'lv'pu'an'kou'fu'chang'shi'ji'xing 甲氧氯普胺口服常释剂型
'jia'yang'lv'pu'an'zhu'she'ji 甲氧氯普胺注射剂
'jia'yang'sha'lin'kou'fu'chang'shi'ji'xing 甲氧沙林口服常释剂型
'jia'yang'sha'lin'wai'yong'ye'ti'ji 甲氧沙林外用液体剂
'jia'zhuang'xian'pian 甲状腺片
'jian'ben'san'fen 间苯三酚
'jian'qiang'an 间羟胺
'jiang'xian'mei 降纤酶
'jiao'ti'guo'jiao'bi'ke'li'ji 胶体果胶铋颗粒剂
'jiao'ti'guo'jiao'bi'kou'fu'chang'shi'ji'xing 胶体果胶铋口服常释剂型
'jie'he'ci'ji'su 结合雌激素
'jie'he'jun'su'chun'dan'bai'yan'sheng'wu 结核菌素纯蛋白衍生物
'jin'gang'wan'an 金刚烷胺
'jin'gang'yi'an'ke'li'ji 金刚乙胺颗粒剂
'jin'gang'yi'an'kou'fu'chang'shi'ji'xing 金刚乙胺口服常释剂型
'jin'gang'yi'an'kou'fu'ye'ti'ji 金刚乙胺口服液体剂
'jin'mei'su 金霉素
'jin'mei'su'yan'gao'ji 金霉素眼膏剂
'jing'an'suan 精氨酸
'jing'an'suan'bu'luo'fen 精氨酸布洛芬
'jing'an'suan'gu'an'suan'zhu'she'ye 精氨酸谷氨酸注射液
'jing'dan'bai'chong'zu'ren'yi'dao'su'hun'he 精蛋白重组人胰岛素混合
'jing'dan'bai'sheng'wu'he'cheng'ren'yi'dao'su 精蛋白生物合成人胰岛素
'jing'dan'bai'xin'chong'zu'ren'yi'dao'su 精蛋白锌重组人胰岛素
'jing'dan'bai'xin'yi'dao'su 精蛋白锌胰岛素
'jiu'jie'he'jun'su 旧结核菌素
'ju'ben'yi'xi'huang'suan 聚苯乙烯磺酸
'ju'gui'chun 聚桂醇
'ju'jia'fen'huang'quan'shuan'ji 聚甲酚磺醛栓剂
'ju'jia'fen'huang'quan'wai'yong'ye'ti'ji 聚甲酚磺醛外用液体剂
'ju'ka'bo'fei'gai 聚卡波非钙
'ju'yi'er'chun 聚乙二醇
'ju'yuan'suan'bi'jia'ke'li'ji 枸橼酸铋钾颗粒剂
'ju'yuan'suan'bi'jia'kou'fu'chang'shi'ji'xing 枸橼酸铋钾口服常释剂型
'ju'yuan'suan'jia'ke'li'ji 枸橼酸钾颗粒剂
'ju'yuan'suan'jia'kou'fu'ye'ti'ji 枸橼酸钾口服液体剂
'ju'yuan'suan'tuo'fa'ti'bu'huan'shi'pian 枸橼酸托法替布缓释片
'ju'yuan'suan'yi'sha'zuo'mi'jiao'nang 枸橼酸伊沙佐米胶囊
'juan'qu'mei'su 卷曲霉素
'ka'ba'la'ting 卡巴拉汀
'ka'bei'suo'gong'su 卡贝缩宫素
'ka'bi'duo'ba 卡比多巴
'ka'bo 卡铂
'ka'bo'fen'jing 卡泊芬净
'ka'bo'san'chun'bei'ta'mi'song'ning'jiao'ji 卡泊三醇倍他米松凝胶剂
'ka'bo'san'chun'bei'ta'mi'song'ruan'gao'ji 卡泊三醇倍他米松软膏剂
'ka'bo'san'chun'ruan'gao'ji 卡泊三醇软膏剂
'ka'bo'san'chun'wai'yong'ye'ti'ji 卡泊三醇外用液体剂
'ka'fei'yin 咖啡因
'ka'fen'wei'ma'pian 咖酚伪麻片
'ka'ge'lie'jing 卡格列净
'ka'luo'huang'na'shen'shang'xian'se'zong'lv'hua'na 卡络磺钠肾上腺色腙氯化钠
'ka'luo'huang'na'shen'shang'xian'se'zong'zhu'she'ji 卡络磺钠肾上腺色腙注射剂
'ka'ma'xi'ping'huan'shi'kong'shi'ji'xing 卡马西平缓释控释剂型
'ka'ma'xi'ping'kou'fu'chang'shi'ji'xing 卡马西平口服常释剂型
'ka'mo'fu 卡莫氟
'ka'mo'si'ting 卡莫司汀
'ka'pei'ta'bin 卡培他滨
'ka'qian'lie'jia'zhi 卡前列甲酯
'ka'qian'lie'su'an'ding'san'chun 卡前列素氨丁三醇
'ka'ti'luo'er 卡替洛尔
'ka'tuo'pu'li 卡托普利
'ka'wei'di'luo 卡维地洛
'ka'zuo'shuang'duo'ba'zuo'xuan'duo'ba'ka'bi'duo'ba 卡左双多巴左旋多巴卡比多巴
'kai'sai'lu'gan'you'guan'chang'ji 开塞露甘油灌肠剂
'kai'sai'lu'gan'you'wai'yong'ye'ti'ji 开塞露甘油外用液体剂
'kai'sai'lu'guan'chang'ji 开塞露灌肠剂
'kai'sai'lu'wai'yong'ye'ti'ji 开塞露外用液体剂
'kan'di'qing'sai 坎地氢噻
'kan'di'sha'tan'zhi 坎地沙坦酯
'kang'ai'zi'bing'yong'yao 抗艾滋病用药
'kang'fu'she'du'xue'qing 抗蝮蛇毒血清
'kang'kuang'quan'bing'xue'qing 抗狂犬病血清
'kang'suan'mo'mi'song'ning'jiao'ji 糠酸莫米松凝胶剂
'kang'suan'mo'mi'song'ruan'gao'ji 糠酸莫米松软膏剂
'kang'suan'mo'mi'song'xi'ru'ji 糠酸莫米松吸入剂
'kang'tan'ju'xue'qing 抗炭疽血清
'kang'wu'bu'she'du'xue'qing 抗五步蛇毒血清
'kang'yan'jing'she'du'xue'qing 抗眼镜蛇毒血清
'kang'yin'huan'she'du'xue'qing 抗银环蛇毒血清
'kang'zai'chun 糠甾醇
'ke'dai'yin 可待因
'ke'dai'yin'kou'fu'chang'shi'ji'xing 可待因口服常释剂型
'ke'di'song 可的松
'ke'di'song'di'yan'ji 可的松滴眼剂
'ke'di'song'yan'gao'ji 可的松眼膏剂
'ke'la'mei'su'ke'li'ji 克拉霉素颗粒剂
'ke'la'mei'su'kou'fu'chang'shi'ji'xing 克拉霉素口服常释剂型
'ke'le'ding'kou'fu'chang'shi'ji'xing 可乐定口服常释剂型
'ke'le'ding'tie'ji 可乐定贴剂
'ke'lin'mei'su 克林霉素
'ke'lin'mei'su'kou'fu'chang'shi'ji'xing 克林霉素口服常释剂型
'ke'lin'mei'su'lin'suan'zhi'kou'fu'chang'shi'ji'xing 克林霉素磷酸酯口服常释剂型
'ke'lin'mei'su'lin'suan'zhi'zhu'she'ji 克林霉素磷酸酯注射剂
'ke'lin'mei'su'zhu'she'ji 克林霉素注射剂
'ke'lin'mei'su'zong'lv'suan'zhi'ke'li'ji 克林霉素棕榈酸酯颗粒剂
'ke'lin'mei'su'zong'lv'suan'zhi'kou'fu'chang'shi'ji'xing 克林霉素棕榈酸酯口服常释剂型
'ke'lin'mei'su'zong'lv'suan'zhi'kou'fu'ye'ti'ji 克林霉素棕榈酸酯口服液体剂
'ke'luo'mi'tong 克罗米通
'ke'mei'zuo'kou'fu'chang'shi'ji'xing 克霉唑口服常释剂型
'ke'mei'zuo'ruan'gao'ji 克霉唑软膏剂
'ke'mei'zuo'shuan'ji 克霉唑栓剂
'ke'mei'zuo'yin'dao'pian 克霉唑阴道片
'ke'mei'zuo'yin'dao'ru'gao 克霉唑阴道乳膏
'ke'zuo'ti'ni'jiao'nang 克唑替尼胶囊
'ku'cao'gan'jun'er'lian'huo'jun 枯草杆菌二联活菌
'kui'liu'ping'huan'shi'kong'shi'ji'xing 喹硫平缓释控释剂型
'kui'liu'ping'kou'fu'chang'shi'ji'xing 喹硫平口服常释剂型
'kui'ni'ding 奎尼丁
'kui'ning'kou'fu'chang'shi'ji'xing 奎宁口服常释剂型
'kui'ning'zhu'she'ji 奎宁注射剂
'la'bei'luo'er 拉贝洛尔
'la'jiao'jian 辣椒碱
'la'kao'sha'an 拉考沙胺
'la'kao'sha'an'kou'fu'rong'ye 拉考沙胺口服溶液
'la'kao'sha'an'zhu'she'ye 拉考沙胺注射液
'la'mi'fu'ding 拉米夫定
'la'mo'san'qin 拉莫三嗪
'la'tan'qian'lie'su 拉坦前列素
'la'xi'di'ping 拉西地平
'la'yang'tou'bao 拉氧头孢
'lai'an'pi'lin 赖氨匹林
'lai'fu'mi'te 来氟米特
'lai'na'du'an 来那度胺
'lai'nuo'pu'li 赖诺普利
'lai'nuo'pu'li'qing'lv'sai'qin 赖诺普利氢氯噻嗪
'lai'pu'yi'dao'su 赖脯胰岛素
'lai'qu'zuo 来曲唑
'lai'te'mo'wei'pian 来特莫韦片
'lan'suo'la'zuo'kou'fu'chang'shi'ji'xing 兰索拉唑口服常释剂型
'lan'suo'la'zuo'zhu'she'ji 兰索拉唑注射剂
'lan'xiang'xi'kou'fu'chang'shi'ji'xing 榄香烯口服常释剂型
'lan'xiang'xi'zhu'she'ji 榄香烯注射剂
'lao'la'xi'pan 劳拉西泮
'le'ka'di'ping 乐卡地平
'lei'bei'la'zuo 雷贝拉唑
'lei'luo'xi'fen 雷洛昔芬
'lei'mi'pu'li 雷米普利
'lei'ni'ti'ding'kou'fu'chang'shi'ji'xing 雷尼替丁口服常释剂型
'lei'ni'ti'ding'zhu'she'ji 雷尼替丁注射剂
'lei'sha'ji'lan 雷沙吉兰
'lei'ti'qu'sai 雷替曲塞
'li'ao'xi'gua'pian 利奥西呱片
'li'ba'wei'lin'di'yan'ji 利巴韦林滴眼剂
'li'ba'wei'lin'kou'fu'chang'shi'ji'xing 利巴韦林口服常释剂型
'li'ba'wei'lin'zhu'she'ji 利巴韦林注射剂
'li'duo'ka'yin 利多卡因
'li'duo'ka'yin'jiao'jiang'ji 利多卡因胶浆剂
'li'duo'ka'yin'ning'jiao'ji 利多卡因凝胶剂
'li'duo'ka'yin'ning'jiao'tie'gao 利多卡因凝胶贴膏
'li'duo'ka'yin'xi'ru'ji 利多卡因吸入剂
'li'fa'sha'ban 利伐沙班
'li'fu'bu'ting 利福布汀
