'an'jie 安节
'yi'ri'zhong 宜日中
'yi'sang'bei 亿丧贝
'yi'shi'chuan'wang 已事遄往
'yi'tong'shen'ming'zhi'de 以通神明之德
'yi'wei'jue'jing 亦未繘井
'yi'wo'wei'xiao 一握为笑
'yi'wu'sang 亿无丧
'yi'yu'zuo'gu 夷于左股
'yi'yue 劓刖
'yi'ze'yi'zhi 易则易知
'yi'zhi'yong'xiong'shi 益之用凶事
'yi'zhi'yuan'ji 以祉元吉
'yi'zhi'ze'you'qin'yi'cong'ze'you'gong 易知则有亲易从则有功
'yin'dui 引兑
'yin'ji 引吉
'yin'shi'kan'kan 饮食衎衎
'yong'da'sheng'ji'li 用大牲吉利
'yong'feng'he 用冯河
'yong'fou 用缶
'yong'jian'da'ren 用见大人
'yong'she'da'chuan 用涉大川
'yong'shi'wu'fen'ruo 用史巫纷若
'yong'shuo'zhi'gu'yi 用说桎梏以
'yong'xing'shi 用行师
'yong'zheng'ma'zhuang 用拯马壮
'you'bu'su'zhi'ke'san'ren'lai 有不速之客三人来
'you'fu 有孚
'you'fu'bi'zhi 有孚比之
'you'fu'bu'zhong 有孚不终
'you'fu'fa'ruo 有孚发若
'you'fu'gai'ming 有孚改命
'you'fu'hui'wo'de 有孚惠我德
'you'fu'hui'xin 有孚惠心
'you'fu'luan'ru 有孚挛如
'you'fu'shi'shi 有孚失是
'you'fu'wei'ru 有孚威如
'you'fu'ying'fou 有孚盈缶
'you'fu'yu'ruo 有孚顒若
'you'fu'yu'xiao'ren 有孚于小人
'you'fu'yu'yin'jiu 有孚于饮酒
'you'fu'yuan'ji 有孚元吉
'you'fu'zai'dao 有孚在道
'you'hui 有悔
'you'ji'li 有疾厉
'you'jia'zhe'shou 有嘉折首
'you'li'li'yi 有厉利已
'you'ming 有命
'you'qing'yu 有庆誉
'you'ren'zhen'ji 幽人贞吉
'you'ta'bu'yan 有它不燕
'you'ta'lin 有它吝
'you'xiong 有凶
'you'yan 有言
'you'yan'bu'xin 有言不信
'you'yi 由颐
'you'you'wang 有攸往
'you'yu 由豫
'you'yun'zi'tian 有陨自天
'you'zai'sheng 有灾眚
'you'zhong 有终
'yu'chu'men'ting 于出门庭
'yu'du 遇毒
'yu'fu'zhi'gu'wang'jian'lin 裕父之蛊往见吝
'yu'gua 豫卦
'yu'ji 虞吉
'yu'nie'wu 于臲靰
'yu'qi'bi 遇其妣
'yu'qi'chen 遇其臣
'yu'qi'pei'zhu 遇其配主
'yu'qi'wang'mu 于其王母
'yu'qi'yi'zhu 遇其夷主
'yu'shi'you'fu 于食有福
'yu'shuo'fu 舆说輹
'yu'shuo'fu 舆说辐
'yu'wu'jiu 裕无咎
'yu'yuan'fu 遇元夫
'yu'zhu'yu'xiang 遇主于巷
'yuan'heng'li'pin'ma'zhi'zhen 元亨利牝马之贞
'yuan'heng'li'zhen 元亨利贞
'yuan'ji 元吉
'yuan'qu'zhu'wu 远取诸物
'yuan'shi 原筮
'yuan'yong'zhen 元永贞
'yue'dong'hui 曰动悔
'yue'ji'wang 月几望
'yue'xian'yu'wei 曰闲舆卫
'yun'sheng 允升
'zai'gui'yi'che 载鬼一车
'zai'san'du 再三渎
'zai'shi'zhong 在师中
'zai'zhong'kui 在中馈
'ze'da'die'zhi'jie 则大耋之嗟
'ze'jie'ruo 则嗟若
'ze'li'you'you'wang 则利有攸往
'zhang'ren'ji 丈人吉
'zhang'zi'shuai'shi 长子帅师
'zhe'qi'you'gong 折其右肱
'zhen'bu'yu'qi'gong'yu'qi'lin 震不于其躬于其邻
'zhen'gua 震卦
'zhen'heng 振恒
'zhen'ji 贞吉
'zhen'ji 贞疾
'zhen'jing'bai'li 震惊百里
'zhen'lai'li 震来厉
'zhen'lai'xi'xi 震来虩虩
'zhen'li 贞厉
'zhen'lin 贞吝
'zhen'su'su 震苏苏
'zhen'sui'ni 震遂泥
'zhen'suo'suo 震索索
'zhen'wang'lai'li 震往来厉
'zhen'xing'wu'sheng 震行无眚
'zhen'xiong 贞凶
'zhen'yong'fa'gui'fang 震用伐鬼方
'zheng'ji 征吉
'zheng'xiong 征凶
'zheng'yi'guo 征邑国
'zhi'fang'da'bu'xi'wu'bu'li 直方大不习无不利
'zhi'gao'bu'shi 雉膏不食
'zhi'ji'ping 祗既平
'zhi'kou'zhi 致寇至
'zhi'lin 知临
'zhi'lin 至临
'zhi'qi'sui 执其随
'zhi'ti 窒惕
'zhi'yu'ba'yue'you'xiong 至于八月有凶
'zhi'yu'cong'ji 置于丛棘
'zhi'yu'shi'nian'bu'ke'zheng 至于十年不克征
'zhi'zhi'yong'huang'niu'zhi'ge 执之用黄牛之革
'zhong'chao'san'chi'zhi 终朝三褫之
'zhong'fu'gua 中孚卦
'zhong'hang 中行
'zhong'hang'du'fu 中行独复
'zhong'ji 中吉
'zhong'ji 终吉
'zhong'lai'you'ta 终来有它
'zhong'lin 终吝
'zhong'mo'zhi'sheng 终莫之胜
'zhong'ri'jie 终日戒
'zhong'xiong 终凶
'zhong'yi'yu'ming 终以誉命
'zhong'you'da'bai 终有大败
'zhong'you'xiong 终有凶
'zhong'yun'hui'wang 众允悔亡
'zhou'ri'san'jie 昼日三接
'zhu'fu'fang'lai 朱绂方来
'zhu'ren'you'yan 主人有言
'zhuang'yu'da'yu'zhi'fu 壮于大舆之輹
'zhuang'yu'qian'zhi 壮于前趾
'zhuang'yu'qiu 壮于頄
'zhuang'yu'zhi 壮于趾
'zhuo'sun'zhi 酌损之
'zi'fu 自复
'zi'ke'jia 子克家
'zi'qiu'kou'shi 自求口实
'zi'tian'you'zhi 自天佑之
'zi'wo'xi'jiao 自我西郊
'zi'yi'gao'ming 自邑告命
'zun'jiu'gui'er 樽酒簋贰
