'ai'guo'zhi'min 爱国治民
'qi'shi'qi'zhang 七十七章
'qi'shi'san'zhang 七十三章
'qi'shi'si'zhang 七十四章
'qi'shi'wu'zhang 七十五章
'qi'shi'yi'zhang 七十一章
'qi'shi'zhang 七十章
'qi'si 其私
'qi'si'ye'jian'qiang 其死也坚强
'qi'si'ye'ku'gao 其死也枯槁
'qi'wei'yang'zai 其未央哉
'qi'wei'yi'san 其微易散
'qi'wei'zhao 其未兆
'qi'wei'zhao'yi'mou 其未兆易谋
'qi'wu 奇物
'qi'wu'yi'yi'zhi 其无以易之
'qi'wu'zheng'ye 其无正也
'qi'xia'bu'mei 其下不昧
'qi'xu'yan 岂虚言
'qi'xu'yan'zai 岂虚言哉
'qi'yong'bu'bi 其用不弊
'qi'yong'bu'qiong 其用不穷
'qi'you'tuo'yue'hu 其犹橐龠乎
'qi'you'zhang'gong'yu 其犹张弓与
'qi'yu'lei'tu 起于累土
'qi'zai'dao'ye 其在道也
'qi'zhe'bu'li 企者不立
'qi'zheng'cha'cha 其政察察
'qi'zheng'men'men 其政闷闷
'qi'zhi'mi'shao 其知弥少
'qi'zhi'zhi'ye 其致之也
'qi'zhong'you 其中有
'qi'zhong'you'jing 其中有精
'qi'zhong'you'ming'you'xing 其中有名有姓
'qi'zhong'you'ming'you'xing'cang'zhi'ming'shan'zhe 其中有名有姓藏之名山者
'qi'zhong'you'wu 其中有物
'qi'zhong'you'xiang 其中有象
'qi'zhong'you'xin 其中有信
'qi'zi 其资
'qian'bai'nian'lai 千百年来
'qian'hou'xiang 前后相
'qian'hou'xiang'sui 前后相随
'qian'li'zhi'xing 千里之行
'qian'shi'zhe 前识者
'qiang'da'chu'xia 强大处下
'qiang'liang'zhe'bu'de'qi'si 强梁者不得其死
'qiang'qi'gu 强其骨
'qiang'wei'zhi'ming'yue'da 强为之名曰大
'qiang'xing'zhe'you'zhi 强行者有志
'qiang'zi'zhi'yue'dao 强字之曰道
'qin'er'xing'zhi 勤而行之
'qin'er'yu'zhi 亲而誉之
'qing'di'ji'sang'wu'bao 轻敌几丧吾宝
'qing'jing'wei'tian'xia'zheng 清静为天下正
'qing'ze'shi'gen 轻则失根
'qiu'yi'de 求以得
'qu'she 去奢
'qu'tai 去泰
'qu'tian'xia'chang'yi'wu'shi 取天下常以无事
'qu'ze'quan 曲则全
'qu'ze'quan'zhe 曲则全者
'quan'nai'tian 全乃天
'que'zou'ma'yi'fen 却走马以粪
'ran'hou'nai'zhi'da'shun 然后乃至大顺
'rang'wu'bi 攘无臂
'ren'duo'ji'qiao 人多伎巧
'ren'duo'li'qi 人多利器
'ren'fa'di 人法地
'ren'sheng'guan 人生观
'ren'yi'da 人亦大
'ren'zhi'bu'shan 人之不善
'ren'zhi'dao'ze'bu'ran 人之道则不然
'ren'zhi'mi 人之迷
'ren'zhi'sheng 人之生
'ren'zhi'sheng'ye'rou'ruo 人之生也柔弱
'ren'zhi'suo'e 人之所恶
'ren'zhi'suo'jiao 人之所教
'ren'zhi'suo'wei 人之所畏
'reng'wu'di 扔无敌
'rong'ma'sheng'yu'jiao 戎马生于郊
'rong'nai'gong 容乃公
'rou'ruo'chu'shang 柔弱处上
'rou'ruo'sheng'gang'qiang 柔弱胜刚强
'rou'ruo'zhe'sheng'zhi'tu 柔弱者生之徒
'rou'zhi'sheng'gang 柔之胜刚
'ru'chun'deng'tai 如春登台
'ru'jun'bu'bei 入军不被
'ru'shi 儒释
'ru'xiang'tai'lao 如享太牢
'ru'ying'er'zhi'wei'hai 如婴儿之未孩
'ruo'bi 若比
'ruo'cun'ruo'wang 若存若亡
'ruo'jin'rou'er'wo'gu 弱筋柔而握固
'ruo'ke'ji'tian'xia 若可寄天下
'ruo'ke'tuo'tian'xia 若可托天下
'ruo'peng'xiao'xian 若烹小鲜
'ruo'qi'zhi 弱其志
'ruo'shi'min'chang'wei'si 若使民常畏死
'ruo'wu'suo'gui 若无所归
'ruo'xiao 若肖
'ruo'zhe'dao'zhi'yong 弱者道之用
'ruo'zhi'sheng'qiang 弱之胜强
'sai'qi'dui 塞其兑
'san'bai'zhong'zhi'duo 三百种之多
'san'sheng'wan'wu 三生万物
'san'shi'fu 三十辐
'san'yue'bu'gan'wei'tian'xia'xian 三曰不敢为天下先
'san'zhe'bu'ke'zhi'jie 三者不可致诘
'sha'ren'zhi'zhong 杀人之众
'shan'bao'zhe'bu'tuo 善抱者不脱
'shan'bi'wu'guan'jian'er'bu'ke'kai 善闭无关楗而不可开
'shan'dai'qie'cheng 善贷且成
'shan'fu'wei'yao 善复为妖
'shan'jian'zhe'bu'ba 善建者不拔
'shan'jie'wu'sheng'yue'er'bu'ke'jie 善结无绳约而不可解
'shan'ren'zhi'bao 善人之宝
'shan'ren'zhi'zi 善人之资
'shan'sheng'di'zhe'bu'yu 善胜敌者不与
'shan'shu'bu'yong'chou'ce 善数不用筹策
'shan'wei'shi'zhe'bu'wu 善为士者不武
'shan'xing'wu'zhe'ji 善行无辙迹
'shan'yan'wu'xia'zhe 善言无瑕谪
'shan'yong'ren'zhe'wei'zhi'xia 善用人者为之下
'shan'you'guo'er'yi 善有果而已
'shan'zhan'zhe'bu'nu 善战者不怒
'shan'zhe 善者
'shan'zhe'bu'bian 善者不辩
'shan'zi'zuo'le'tian'jia 擅自作了添加
'shang'de'bu'de 上德不德
'shang'de'ruo'gu 上德若谷
'shang'de'wu'wei'er'wu'yi'wei 上德无为而无以为
'shang'jiang'jun'ju'you 上将军居右
'shang'li'wei'zhi'er'mo'zhi'ying 上礼为之而莫之应
'shang'ren'wei'zhi'er'wu'yi'wei 上仁为之而无以为
'shang'shan'ruo'shui 上善若水
'shang'shi'wen'dao 上士闻道
'shang'xia'ji'qian'nian'wen'ming 上下几千年文明
'shang'yi'wei'zhi'er'you'yi'wei 上义为之而有以为
'shao'shu'han'zi 少数汉字
'shao'si'gua'yu 少思寡欲
'shao'ze'duo 少则多
'she'hou'qie'xian 舍后且先
'she'jian'qie'guang 舍俭且广
'she'she'yan 歙歙焉
'shen'ai'bi'da'fei 甚爱必大费
'shen'bu'ke'shi 深不可识
'shen'de'yi'yi'ling 神得一以灵
'shen'sui'bo'da 深邃博大
'shen'wu'yi'ling 神无以灵
'shen'yi'xing 甚易行
'shen'yu'huo'shu'duo 身与货孰多
'shen'zhong'ru'shi 慎终如始
'sheng'er'bu'mei 胜而不美
'sheng'er'bu'you 生而不有
'sheng'er'fu'you 生而弗有
'sheng'jing 圣经
'sheng'ren'bu'bing 圣人不病
'sheng'ren'bu'ji 圣人不积
'sheng'ren'bu'ren 圣人不仁
'sheng'ren'chang'wu'xin 圣人常无心
'sheng'ren'jie 圣人皆
'sheng'ren'yi'bu'shang'ren 圣人亦不伤人
'sheng'ren'yong'zhi 圣人用之
'sheng'ren'zai'tian'xia 圣人在天下
'sheng'ren'zhe'you'li 胜人者有力
'sheng'ren'zhi'dao 圣人之道
'sheng'sheng'xi'bu'ke'ming 绳绳兮不可名
'sheng'yu'hao'mo 生于毫末
'sheng'zhi'tu 生之徒
'shi'cheng'zhi 势成之
'shi'de'er'hou'ren 失德而后仁
'shi'fu'zhi'zhe'bu'gan'wei'ye 使夫智者不敢为也
'shi'gu'bu'yu'ru'yu 是故不欲如玉
'shi'le'sha'ren 是乐杀人
'shi'min'bu'wei'dao 使民不为盗
'shi'min'bu'zheng 使民不争
'shi'min'xin'bu'luan 使民心不乱
'shi'min'zhong'si'er'bu'yuan'xi 使民重死而不远徙
'shi'qi'fu 实其腹
'shi'ren'er'hou'yi 失仁而后义
'shi'ren'fu'jie'sheng'er'yong'zhi 使人复结绳而用之
'shi'shan'neng 事善能
'shi'wei 是谓
'shi'wei'bu'dao 是谓不道
'shi'wei'bu'zheng'zhi'de 是谓不争之德
'shi'wei'chong'ru'ruo'jing 是谓宠辱若惊
'shi'wei'dai'da'jiang'zhuo 是谓代大匠斲
'shi'wei'dao'ji 是谓道纪
'shi'wei'dao'kua 是为盗夸
'shi'wei'hu'huang 是谓惚恍
'shi'wei'pei'tian'gu'zhi'ji 是谓配天古之极
'shi'wei'she'ji'zhu 是谓社稷主
'shi'wei'shen'gen 是谓深根
'shi'wei'tian'di'gen 是谓天地根
'shi'wei'tian'xia'wang 是为天下王
'shi'wei'wei'ming 是谓微明
'shi'wei'wu'zhuang'zhi'zhuang 是谓无状之状
'shi'wei'xi'chang 是为袭常
'shi'wei'xi'ming 是谓袭明
'shi'wei'xing'wu'xing 是谓行无行
'shi'wei'xuan'de 是谓玄德
'shi'wei'xuan'pin 是谓玄牝
'shi'wei'yao'miao 是谓要妙
'shi'wei'yong'ren'zhi'li 是谓用人之力
'shi'wei'zao'fu 是谓早服
'shi'wo'jie'ran'you'zhi 使我介然有知
'shi'wu'shi 事无事
'shi'xian'yu'gui'sheng 是贤于贵生
'shi'yi 失亦
'shi'yi'bing'qiang'ze'bu'sheng 是以兵强则不胜
'shi'yi'bu'bing 是以不病
'shi'yi'bu'qu 是以不去
'shi'yi'bu'wo'zhi 是以不我知
'shi'yi'bu'yan 是以不厌
'shi'yi'da'zhang'fu'chu'qi'hou 是以大丈夫处其厚
'shi'yi'er'hou'li 失义而后礼
'shi'yi'hou'wang'zi'cheng'gu 是以侯王自称孤
'shi'yi'hou'wang'zi'cheng'gu'gua 是以侯王自称孤寡
'shi'yi'ji 是以饥
'shi'yi'jun'zi'zhong'ri'xing'bu'li'zi'zhong 是以君子终日行不离辎重
'shi'yi'nan'zhi 是以难治
'shi'yi'qing'si 是以轻死
'shi'yi'sheng'ren 是以圣人
'shi'yi'sheng'ren'bao'yi'wei'tian'xia'shi 是以圣人抱一为天下式
'shi'yi'sheng'ren'bu'xing'er'zhi 是以圣人不行而知
'shi'yi'sheng'ren'chang'shan'jiu'ren 是以圣人常善救人
'shi'yi'sheng'ren'chu'wu'wei'zhi'shi 是以圣人处无为之事
'shi'yi'sheng'ren'fang'er'bu'ge 是以圣人方而不割
'shi'yi'sheng'ren'hou'qi'shen'er'shen'xian 是以圣人后其身而身先
'shi'yi'sheng'ren'pi'he'huai'yu 是以圣人被褐怀玉
'shi'yi'sheng'ren'qu'shen 是以圣人去甚
'shi'yi'sheng'ren'wei'er'bu'shi 是以圣人为而不恃
'shi'yi'sheng'ren'wei'fu'bu'wei'mu 是以圣人为腹不为目
'shi'yi'sheng'ren'wu'wei 是以圣人无为
'shi'yi'sheng'ren'you'nan'zhi 是以圣人犹难之
'shi'yi'sheng'ren'yu'shang'min 是以圣人欲上民
'shi'yi'sheng'ren'yun 是以圣人云
'shi'yi'sheng'ren'zhi'zhi 是以圣人之治
'shi'yi'sheng'ren'zhi'zuo'qi 是以圣人执左契
'shi'yi'sheng'ren'zhong'bu'wei'da 是以圣人终不为大
'shi'yi'sheng'ren'zi'zhi'bu'zi'jian 是以圣人自知不自见
'shi'yi'tian'xia'le'tui'er'bu'yan 是以天下乐推而不厌
'shi'yi'wan'wu'mo'bu'zun'dao'er'gui'de 是以万物莫不尊道而贵德
'shi'yi'wu'de 是以无德
'shi'yi'you'de 是以有德
'shi'you'jun 事有君
'shi'you'san 十有三
'shi'you'shen'bo'zhi'qi'er'bu'yong 使有什伯之器而不用
'shi'yu'zu 始于足
'shi'yu'zu'xia 始于足下
'shi'yue'yuan 逝曰远
'shi'zhe 失者
'shi'zhi'bu'jian 视之不见
'shi'zhi'bu'zu'jian 视之不足见
'shi'zhi'ruo'jing 失之若惊
'shi'zhi'suo'chu 师之所处
'shi'zhi'you'ming 始制有名
'shou'guo'bu'xiang 受国不祥
'shou'guo'zhi'gou 受国之垢
'shou'jing'du 守静笃
'shou'qi'ci 守其雌
'shou'qi'hei 守其黑
'shou'qi'ru 守其辱
'shou'rou'yue'qiang 守柔曰强
'shu'er'bu'shi 疏而不失
'shu'gan 孰敢
'shu'neng'an'yi'dong'zhi'xu'sheng 孰能安以动之徐生
'shu'neng'you'yu'yi'feng'tian'xia 孰能有余以奉天下
'shu'neng'zhuo'yi'jing'zhi'xu'qing 孰能浊以静之徐清
'shu'wei'ci'zhe 孰为此者
'shu'zhi'qi'gu 孰知其故
'shu'zhi'qi'ji 孰知其极
'shui'shan'li'wan'wu'er'bu'zheng 水善利万物而不争
'si'bu'shan'yi 斯不善已
'si'bu'xiao 似不肖
'si'di 死地
'si'e'yi 斯恶已
'si'er'bu'wang'zhe'shou 死而不亡者寿
'si'huo'cun 似或存
'si'wan'wu'zhi'zong 似万物之宗
'si'wu'suo'tou'qi'jiao 兕无所投其角
'si'xiang'yu'jing'shen 思想与精神
'si'yi 死矣
'si'zhi'tu 死之徒
'su'ren'cha'cha 俗人察察
'su'ren'zhao'zhao 俗人昭昭
'sui'xiao 虽小
'sui'you'gong'bi'yi'xian'si'ma 虽有拱璧以先驷马
'sui'you'jia'bing 虽有甲兵
'sui'you'rong'guan 虽有荣观
'sui'you'zhou'yu 虽有舟舆
'sui'zhe'zhong'hua'min'zu'de 随着中华民族的
'sui'zhi'da'mi 虽智大迷
'sun'bu'zu'yi'feng'you'yu 损不足以奉有余
'sun'you'yu'er'bu'bu'zu 损有余而补不足
'sun'zhi'you'sun 损之又损
'suo'fu'xiao'ding'wen 所附校定文
'suo'tui'chong 所推崇
'tai'shang 太上
'tian'chang'di'jiu 天长地久
'tian'da 天大
'tian'dan'wei'shang 恬淡为上
'tian'dao'wu'qin 天道无亲
'tian'de'yi'yi'qing 天得一以清
'tian'di 天地
'tian'di'bu'ren 天地不仁
'tian'di'shang'bu'neng'jiu 天地尚不能久
'tian'di'suo'yi'neng'chang'qie'jiu'zhe 天地所以能长且久者
'tian'di'xiang'he 天地相合
'tian'di'zhi'jian 天地之间
'tian'fa'dao 天法道
'tian'jiang'jiu'zhi 天将救之
'tian'men'kai'he 天门开阖
'tian'nai'dao 天乃道
'tian'shen'wu 田甚芜
'tian'wang'hui'hui 天网恢恢
'tian'xia'da'shi 天下大事
'tian'xia'duo'ji'hui 天下多忌讳
'tian'xia'jiang 天下将
'tian'xia'jiang'zi'zheng 天下将自正
'tian'xia'jie'wei'wo'dao'da 天下皆谓我道大
'tian'xia'jie'zhi'mei'zhi'wei'mei 天下皆知美之为美
'tian'xia'mo'bu'zhi'mo'neng'xing 天下莫不知莫能行
'tian'xia'mo'neng'chen 天下莫能臣
'tian'xia'mo'neng'yu'zhi'zheng 天下莫能与之争
'tian'xia'mo'neng'zhi 天下莫能知
'tian'xia'mo'rou'ruo'yu'shui 天下莫柔弱于水
'tian'xia'nan'shi 天下难事
'tian'xia'shen'qi 天下神器
'tian'xia'wan'wu'sheng'yu'you 天下万物生于有
'tian'xia'wang 天下往
'tian'xia'wu'dao 天下无道
'tian'xia'xi'ji'zhi 天下希及之
'tian'xia'you'dao 天下有道
'tian'xia'you'shi 天下有始
'tian'xia'zhi'jiao'ye 天下之交也
'tian'xia'zhi'pin 天下之牝
'tian'xia'zhi'zhi'rou 天下之至柔
'tian'zhi'dao 天之道
'tian'zhi'dao'ye 天之道也
'tian'zhi'suo'e 天之所恶
'ting'zhi'bu 听之不
'ting'zhi'bu'wen 听之不闻
'tong'chu'er'yi'ming 同出而异名
'tong'qi'chen 同其尘
'tong'wei'zhi'xuan 同谓之玄
'tong'yu'dao 同于道
'tong'yu'dao'zhe 同于道者
'tong'yu'de 同于德
'tong'yu'de'zhe 同于德者
'tong'yu'shi 同于失
'tong'yu'shi'zhe 同于失者
'tu'nan'yu'qi'yi 图难于其易
'wa'ze'ying 洼则盈
'wai'qi'shen'er'shen'cun 外其身而身存
'wan'wu'bing'zuo 万物并作
'wan'wu'cao'mu'zhi'sheng'ye'rou'cui 万物草木之生也柔脆
'wan'wu'er'bu'wei'zhu 万物而不为主
'wan'wu'fu'yin'er'bao'yang 万物负阴而抱阳
'wan'wu'gui'yan'er'bu'wei'zhu 万物归焉而不为主
'wan'wu'jiang'zi'bin 万物将自宾
'wan'wu'jiang'zi'hua 万物将自化
'wan'wu'shi'zhi'yi'sheng'er'bu'ci 万物恃之以生而不辞
'wan'wu'wu'yi'sheng 万物无以生
'wan'wu'zuo'er'fu'shi 万物作而弗始
'wang'bi 王弼
'wang'er'bu'hai 往而不害
'wang'ze'zhi 枉则直
'wang'zuo'xiong 妄作凶
'wei'da'yu'qi'xi 为大于其细
'wei'dao'ri'sun 为道日损
'wei'dao'shi'cong 惟道是从
'wei'er'bu'shi 为而不恃
'wei'er'bu'zheng 为而不争
'wei'er'fu'shi 为而弗恃
'wei'gu 唯孤
'wei'he 为和
'wei'huang'wei'hu 惟恍惟惚
'wei'miao'xuan'tong 微妙玄通
'wei'shi'shi'wei 唯施是畏
'wei'shu'bu'duo'zhi'chu 为数不多之处
'wei'tian'wu'yi'qing 谓天无以清
'wei'tian'xia'gu 为天下谷
'wei'tian'xia'hun'qi'xin 为天下浑其心
'wei'tian'xia'shi 为天下式
'wei'tian'xia'xi 为天下溪
'wei'wo'men 为我们
'wei'wo'men'de 为我们的
'wei'wo'men'xian'shi'yue'du'guo'cheng'zhong 为我们闲时阅读过程中
'wei'wu'wei 为无为
'wei'wu'wei 味无味
'wei'wu'you'shen 为吾有身
'wei'xue'ri'yi 为学日益
'wei'you'dao'zhe 唯有道者
'wei'zhe'bai'zhi 为者败之
'wei'zhi 畏之
'wei'zhi'bu'dao 谓之不道
'wei'zhi'pin'mu'zhi'he'er'zuo 未知牝牡之合而作
'wei'zhi'yu'a 唯之与阿
'wei'zhi'yu'wei'you 为之于未有
'wei'zhi'yu'wei'you'zhi 为之于未有治
'wo'du'bo'xi 我独泊兮
'wo'du'hun'hun 我独昏昏
'wo'du'men'men 我独闷闷
'wo'du'yi'yu'ren 我独异于人
'wo'hao'jing 我好静
'wo'men'can'zhao'le 我们参照了
'wo'men'zhei'li 我们这里
'wo'wu'shi 我无事
'wo'wu'wei 我无为
'wo'wu'yu 我无欲
'wo'yi'jiao'zhi 我亦教之
'wo'you'san'bao 我有三宝
'wo'yu'ren'zhi'xin'ye'zai 我愚人之心也哉
'wo'zi'ran 我自然
'wu'bu 吾不
'wu'bu'gan'wei'zhu'er'wei'ke 吾不敢为主而为客
'wu'bu'ke 无不克
'wu'bu'zhi'qi'ming 吾不知其名
'wu'de'si'che 无德司彻
'wu'de'zhi'er'sha'zhi 吾得执而杀之
'wu'dui'ying'de 无对应的
'wu'he'yi'zhi'qi'ran'zai 吾何以知其然哉
'wu'he'yi'zhi'tian'xia'ran'zai 吾何以知天下然哉
'wu'he'yi'zhi'zhong'fu'zhi'zhuang'zai 吾何以知众甫之状哉
'wu'huo'e'zhi 物或恶之
'wu'jian'qi'bu'de'yi 吾见其不得已
'wu'jiang'yi'wei'jiao'fu 吾将以为教父
'wu'jiang'zhen'zhi'yi'wu'ming'zhi'pu 吾将镇之以无名之朴
'wu'ming'tian'di'zhi'shi 无名天地之始
'wu'rong'zhi'yi 无容质疑
'wu'se'ling'ren'mu'mang 五色令人目盲
'wu'shan'zhi 吾善之
'wu'shi'yi'zhi'wu'wei'zhi'you 吾是以知无为之有
'wu'shi'yi'zhi'wu'wei'zhi'you'yi 吾是以知无为之有益
'wu'si'di 无死地
'wu'suo'chen'zhi 无所陈之
'wu'suo'cheng'zhi 无所乘之
'wu'suo'yi'you'da'huan'zhe 吾所以有大患者
'wu'wei'er'wu'bu'wei 无为而无不为
'wu'wei'ling'ren'kou'shuang 五味令人口爽
'wu'wei'zhi'yi 无为之益
'wu'wu'zhi'xiang 无物之象
'wu'xia'qi'suo'ju 无狎其所居
'wu'xin'zhi 吾信之
'wu'xing'zhi 物形之
'wu'yan'qi'suo'sheng 无厌其所生
'wu'yan'shen'yi'zhi 吾言甚易知
'wu'yi'guan'fu 吾以观复
'wu'yi'shan'zhi 吾亦善之
'wu'yi'shen'yang 无遗身殃
'wu'yi'xin'zhi 吾亦信之
'wu'yin'ling'ren'er'long 五音令人耳聋
'wu'you 吾有
'wu'you 无忧
'wu'you'ru'wu'jian 无有入无间
'wu'yu 无欲
'wu'zhi 侮之
'wu'zhi 无执
'wu'zhi'yi'wei'yong 无之以为用
'wu'zhuang'ze 物壮则
'wu'zhuang'ze'lao 物壮则老
'xi'fang'xue'zhe 西方学者
'xi'ruo'wu'zhi 兮若无止
'xi'yan'zi'ran 希言自然
'xi'you'bu'shang'qi'shou'yi 希有不伤其手矣
'xi'zhi'de'yi'zhe 昔之得一者
'xia'de'bu'shi'de 下德不失德
'xia'de'wu'wei'er'you'yi'wei 下德无为而有以为
'xia'san'bai'zhong'zhi'duo 下三百种之多
'xia'shi'wen'dao 下士闻道
'xia'zhe'ju'zhi 下者举之
'xian'shi'yue'du'guo'cheng'zhong 闲时阅读过程中
'xian'su'bao'pu 见素抱朴
'xian'tian'de'sheng 先天地生
'xiang'bi'jue'wu'guo'yu'zhi'xian 想必绝无过誉之嫌
'xiang'di'zhi'xian 象帝之先
'xiang'qu'ji'he 相去几何
'xiang'qu'ruo'he 相去若何
'xiao'bang'bu'guo'yu'ru'shi'ren 小邦不过欲入事人
'xiao'bang'yi'xia'da'bang 小邦以下大邦
'xiao'ding'wen 校定文
'xiao'gu'xue'zhe 校诂学者
'xiao'guo'gua'min 小国寡民
'xin'bu'zu'yan 信不足焉
'xin'fa'kuang 心发狂
'xin'shan'yuan 心善渊
'xin'shi'qi'yue'qiang 心使气曰强
'xin'yan'bu'mei 信言不美
'xin'zhe 信者
'xing'bu'yan'zhi'jiao 行不言之教
'xing'yu'da'dao 行于大道
'xiong'shi'shang'you 凶事尚右
'xiu'zhi'yu'bang 修之于邦
'xiu'zhi'yu'jia 修之于家
'xiu'zhi'yu'shen 修之于身
'xiu'zhi'yu'tian'xia 修之于天下
'xiu'zhi'yu'xiang 修之于乡
'xu'er'bu'qu 虚而不屈
'xu'qi'xin 虚其心
'xuan'de 玄德
'xuan'de'shen'yi 玄德深矣
'xuan'pin'zhi'men 玄牝之门
'xuan'tong 玄同
'xuan'zhi'you'xuan 玄之又玄
'yan'chu'chao'ran 燕处超然
'yan'shan'xin 言善信
'yan'xi'qi'ruo'ke 俨兮其若客
'yan'yi'sang'li'chu'zhi 言以丧礼处之
'yan'yin'shi 厌饮食
'yan'you'zong 言有宗
'yan'zhe'bu'zhi 言者不知
'yan'zhi'yi'wei'qi 埏埴以为器
'yang'yang'sa'sa 洋洋洒洒
'yang'yang'sa'sa'shen'sui'bo'da'di 洋洋洒洒深邃博大地
'yang'zhi'fu'zhi 养之覆之
'yao'xi'ming'xi 窈兮冥兮
'ye'bei'yue'lai'yue'duo'de 也被越来越多的
'ye'bei'yue'lai'yue'duo'de'xi'fang'xue'zhe'suo'tui'chong 也被越来越多的西方学者所推崇
'ye'fu 也夫
'yi'bai'xing'wei'chu'gou 以百姓为刍狗
'yi'bai'xing'xin'wei'xin 以百姓心为心
'yi'bang'guan'bang 以邦观邦
'yi'bei'ai'qi'zhi 以悲哀泣之
'yi'bu 亦不
'yi'bu'xia 亦不下
'yi'ci 以此
'yi'ci'wei'zhi 以慈卫之
'yi'dao'li'tian'xia 以道莅天下
'yi'dao'ruo 夷道若
'yi'dao'zuo'ren'zhu'zhe 以道佐人主者
'yi'er'yong'zhi 已而用之
'yi'ge'pu'su 一个朴素
'yi'huo'zhi'hu'wei 亦或直呼为
'yi'ji'zhu'duo'de'zhu 以及诸多的注
'yi'jia'guan'jia 以家观家
'yi'jian'wei'ben'xie 以贱为本邪
'yi'jiang'gan'lu 以降甘露
'yi'jing'wei'xia 以静为下
'yi'jiu'ba'si'nian'ban 一九八四年版
'yi'jiu'jiu'ling'nian'ban 一九九零年版
'yi'qi 以其
'yi'qi'bing'bing 以其病病
'yi'qi'bu'zheng 以其不争
'yi'qi'bu'zi'sheng 以其不自生
'yi'qi'shan'xia'zhi 以其善下之
'yi'qi'shang'qiu'sheng'zhi'hou 以其上求生之厚
'yi'qi'shang'shi'shui'zhi'duo 以其上食税之多
'yi'qi'shang'zhi'you'wei 以其上之有为
'yi'qi'sheng'zhi'hou 以其生之厚
'yi'qi'yong'bing 以奇用兵
'yi'qi'zhi'duo 以其智多
'yi'qi'zhong'bu 以其终不
'yi'qu 以取
'yi'sheng'er 一生二
'yi'sheng'yue'xiang 益生曰祥
'yi'shi'you'san 亦十有三
'yi'shou'ze'gu 以守则固
'yi'shu'zhong 一书中
'yi'tian'xia'guan'tian'xia 以天下观天下
'yi'wan'wu'wei'chu'gou 以万物为刍狗
'yi'wang'bi'ben'wei'lan'ben 依王弼本为蓝本
'yi'wei'tian'di'mu 以为天地母
'yi'wei'tian'xia'mu 以为天下母
'yi'wu'shi'qu'tian'xia 以无事取天下
'yi'xiang'guan'xiang 以乡观乡
'yi'yan'yi'bi'zhi'zhe 一言以蔽之者
'yi'yang 衣养
'yi'yu'jin'zhi'you 以御今之有
'yi'yue'ci 一曰慈
'yi'yue'zhong'fu 以阅众甫
'yi'zheng'zhi'guo 以正治国
'yi'zhi'qi'zi 以知其子
'yi'zhi'yu'wu'wei 以至于无为
'yin'che'mai'jiang'zhi'liu 引车买浆之流
'yin'che'mai'jiang'zhi'liu'you'yun 引车买浆之流有云
'yin'sheng'xiang'he 音声相和
'ying'xiang'suo'ji 影响所及
'ying'zhi'bu'jian'qi'shou 迎之不见其首
'yong'bing'you'yan 用兵有言
'yong'bing'ze'gui'you 用兵则贵右
'yong'qi'guang 用其光
'yong'yu'bu'gan'ze'huo 勇于不敢则活
'yong'yu'gan'ze'sha 勇于敢则杀
'yong'zhi 用之
'yong'zhi'bu'zu'ji 用之不足既
'you'bu'xin'yan 有不信焉
'you'che'zhi'yong 有车之用
'you'chuan'gu'zhi'yu'jiang'hai 犹川谷之于江海
'you'da'wei 有大伪
'you'de'si'qi 有德司契
'you'guo'zhi'mu 有国之母
'you'ming'wan'wu'zhi'mu 有名万物之母
'you'qi'zhi'yong 有器之用
'you'ren'yi 有仁义
'you'sheng'yu'wu 有生于无
'you'shi'zhi'yong 有室之用
'you'wu'hun'cheng 有物混成
'you'wu'xiang'sheng 有无相生
'you'xi'qi'gui'yan 悠兮其贵言
'you'xi'ruo'wei'si'lin 犹兮若畏四邻
'you'xiao'ci 有孝慈
'you'yu'zhe'sun'zhi 有余者损之
'you'yun 有云
'you'zhong'chen 有忠臣
'you'zui'yi'mian'xie 有罪以免邪
'yu'bu'ke'tuo'yu'yuan 鱼不可脱于渊
'yu'shan'ren 与善仁
'yu'shi'zhui'xing 馀食赘形
'yu'wu'fan'yi 与物反矣
'yu'xi'ruo'dong'she'chuan 豫兮若冬涉川
'yu'xian'min 欲先民
'yu'yi'guan'qi'jiao 欲以观其徼
'yu'yi'guan'qi'miao 欲以观其妙
'yu'zhong'you'si'da 域中有四大
'yu'zhou'guan 宇宙观
'yuan'shi'yi 原是依
'yuan'xi 渊兮
'yuan'yue'fan 远曰反
'yue'ming 曰明
'yue'yuan 曰远
'zai'ying'po'bao'yi 载营魄抱一
'zao'fu'wei'zhi'zhong'ji'de 早服谓之重积德
'zao'hu'you'yi'wei'shi 凿户牖以为室
'zao'ze'shi'jun 躁则失君
'ze'bu'ke'de'zhi'yu'tian'xia'yi 则不可得志于天下矣
'ze'da'wei'zhi 则大威至
'ze'mo'zhi'qi'ji 则莫知其极
'ze'qu'da'bang 则取大邦
'ze'qu'xiao'bang 则取小邦
'ze'rang'bi'er'reng'zhi 则攘臂而扔之
'ze'wei'guan'zhang 则为官长
'ze'wo'zhe'gui 则我者贵
'ze'wu'bai'shi 则无败事
'ze'wu'bu'zhi 则无不治
'zhan'sheng'yi'sang'li'chu'zhi 战胜以丧礼处之
'zhan'xi 湛兮
'zhen'zhi'yi'wu'ming'zhi'pu 镇之以无名之朴
'zheng'fu'wei'qi 正复为奇
'zheng'shan'zhi 政善治
'zheng'yan'ruo'fan 正言若反
'zhi'bu'jian'qi'hou 之不见其后
