'a'fei 阿斐
'ji'ni'lie 基尼烈
'ji'ni'lie'hu 基尼烈湖
'ji'ni'lie'quan'jing 基尼烈全境
'ji'ni'ren 基尼人
'ji'ni'ren'xi'bai 基尼人希百
'ji'ni'xi'ren 基尼洗人
'ji'nian 记念
'ji'nian'ta'xiang'yi'se'lie'jia 记念他向以色列家
'ji'nian'wo 记念我
'ji'nu'ba 基努拔
'ji'nv 妓女
'ji'ou'xiang 祭偶像
'ji'qiao 讥诮
'ji'se 基色
'ji'sha'na'hen'ta'de'ren 击杀那恨他的人
'ji'shan 基善
'ji'shu'ren 基述人
'ji'si 祭司
'ji'si'de 祭司的
'ji'si'de'zhi'fen 祭司的职分
'ji'si'liu'yue 基斯流月
'ji'si'zhi'ren 祭司职任
'ji'tan 祭坛
'ji'ti 基提
'ji'tie 基帖
'ji'tu'la 基土拉
'ji'xi'ya 基洗亚
'ji'xian'shuai'shi 机弦甩石
'ji'xie'de 嫉邪的
'ji'xue 基薛
'ji'xun 基训
'ji'yao'pai 基要派
'ji'yi'la 基伊拉
'ji'zhe 藉着
'ji'zhe'ni'de'zuo'wei'jiao'wo'gao'xing 藉着你的作为叫我高兴
'ji'zhe'sheng'zi'ye'su 藉着圣子耶稣
'jia'ba 迦巴
'jia'ba'le'ren 迦巴勒人
'jia'ba'lu 迦巴鲁
'jia'ba'lu'he 迦巴鲁河
'jia'bai'nong 迦百农
'jia'bei 加倍
'jia'bu 加布
'jia'bu'le 迦步勒
'jia'da'la 加大拉
'jia'de 迦得
'jia'de'gu 迦得谷
'jia'de'ren 迦得人
'jia'de'ren'ba'ni 迦得人巴尼
'jia'de'si'bei'wen 加得斯碑文
'jia'de'zhi'pai 迦得支派
'jia'di'si 加低斯
'jia'er'wen 加尔文
'jia'fei'tuo 迦斐托
'jia'fei'tuo'ren 迦斐托人
'jia'ge 甲各
'jia'han 迦含
'jia'ji'mi'she 迦基米设
'jia'ji'mi'shi 迦基米施
'jia'jian'zheng 假见证
'jia'juan 家眷
'jia'ke'dun'xin'jing 迦克敦信经
'jia'la 迦拉
'jia'la'tai 加拉太
'jia'la'tai'shu 加拉太书
'jia'la'tai'shu'zhu'shi 加拉太书注释
'jia'lai 加莱
'jia'le 迦勒
'jia'le'di 迦勒底
'jia'le'di'de'wu'er 迦勒底的吾珥
'jia'le'nuo 迦勒挪
'jia'lei'de 迦累得
'jia'li 迦利
'jia'li 迦立
'jia'li'gu'le 加利古勒
'jia'li'li 加利利
'jia'li'li'hai 加利利海
'jia'li'ya 加利亚
'jia'liu 迦流
'jia'lue 加略
'jia'lue'ren'you'da 加略人犹大
'jia'lue'xi'si'pian 加略希斯篇
'jia'ma'lie 迦玛列
'jia'mao'wei'shan 假冒伪善
'jia'mi 迦密
'jia'mi'ren 迦密人
'jia'mi'ren'xi'si'lai 迦密人希斯莱
'jia'mi'shan 迦密山
'jia'mo'ni'ren 甲摩尼人
'jia'na 迦拿
'jia'nan 迦南
'jia'nan'di'man'li'qian 迦南地幔利前
'jia'nan'ren 迦南人
'jia'nan'shu'ku 迦南书库
'jia'neng'jia'li 加能加力
'jia'ni 甲尼
'jia'pa'duo'jia 加帕多家
'jia'pu 家谱
'jia'sa 迦萨
'jia'shi'xi'ren 迦实溪人
'jia'shi'xi'ren'xi'tai 迦实溪人希太
'jia'si'lu'xi'ren 迦斯路希人
'jia'tai'ji 迦太基
'jia'te 迦特
'jia'te'lin'men 迦特临门
'jia'te'ren 迦特人
'jia'te'ren'ge'li'ya 迦特人歌利亚
'jia'te'xi'fu'ren 迦特希弗人
'jia'ting 家庭
'jia'xi'fei'ya 迦西斐亚
'jia'xue 甲薛
'jia'yi'si'ba'ni'ya 加伊斯巴尼亚
'jia'yu'yan 假预言
'jia'zai 家宰
'jia'zai'e'ba'di 家宰俄巴底
'jia'zai'na'you'neng'zhe'de'shen'shang 加在那有能者的身上
'jia'zai'ya'za 家宰亚杂
'jia'zhong'de'shen'xiang 家中的神像
'jian'chi'dao'di 坚持到底
'jian'du 监督
'jian'du'de'zhi'fen 监督的职分
'jian'du'de'zi'ge 监督的资格
'jian'e'ren'zao'bao 见恶人遭报
'jian'ge'li 坚革哩
'jian'gu'pan'shi 坚固磐石
'jian'li 建立
'jian'li'gong'zheng 坚立公正
'jian'li'shan'yi'gong'ping'jiu'zhu'liang'peng 建立善义公平救主良朋
'jian'nang 箭囊
'jian'ren 坚忍
'jian'ta'shao'zhuang'shi'zi'he'da'she 践踏少壮狮子和大蛇
'jian'ti'zhong'wen'he'he'ben'sheng'jing 简体中文和合本圣经
'jian'ti'zhong'wen'sheng'jing 简体中文圣经
'jian'wang'de'hua 僭妄的话
'jian'yin 奸淫
'jian'zheng 见证
'jian'zheng'rong'yao'da'jun'wang'yi'jiang'lin 见证荣耀大君王已降临
'jian'zheng'wo'zhu'wu'shang'rong'guang 见证我主无上荣光
'jian'zhong'xin'tu'lin'zhong'cong'zhu 见众信徒临终从主
'jiang'chun'zheng'de'jiao'xun'quan'hua'ren 将纯正的教训劝化人
'jiang'ci'zhen'mei'zao'wan'cheng 将此真美早完成
'jiang'dao 讲道
'jiang'dao'xue 讲道学
'jiang'di'ji'ci'ni'wei'tian'chan 将地极赐你为田产
'jiang'he'hu'hai'wei'ni'pian'pian'qi'wu 江河湖海为你翩翩起舞
'jiang'lai'de'shi 将来的事
'jiang'lin'jie 降临节
'jiang'ni'de'xin'shi'chuan'yu'wan'dai 将你的信实传与万代
'jiang'ni'shi'chang'bao'hu 将你时常保护
'jiang'ping'an'fang'zai'wo'de'nei'xin 将平安放在我的内心
'jiang'shang 奖赏
'jiang'sheng'lai'dao'zhe'shi'jie 降生来到这世界
'jiang'sheng'shou'si'you'si'fu'huo 降生受死由死复活
'jiang'ta'de'bao'zuo'tui'dao'yu'di 将他的宝座推倒于地
'jiang'ta'de'guan'mian'jian'ta'yu'di 将他的冠冕践踏于地
'jiang'tai 讲台
'jiang'tan 讲坛
'jiang'tan'xin'xi'zong'hui 讲坛信息总汇
'jiang'wo'de'jiu'en'xian'ming'gei'ta 将我的救恩显明给他
'jiang'wo'de'xing'ming'ta'zai'di'xia 将我的性命踏在地下
'jiang'wo'jin'jin'zhua'zhu 将我紧紧抓住
'jiang'wo'jiu'ba'chu'lai 将我救拔出来
'jiang'wu'gu'de'ren'ding'wei'si'zui 将无辜的人定为死罪
'jiang'yu'yan 讲预言
'jiang'yuan 讲员
'jiang'zan'mei'zun'rong 将赞美尊荣
'jiang'zhan'kai'zhan'xin'de'hang'xing 将展开崭新的航行
'jiang'zhang 讲章
'jiang'zhu'ai'li'zhao'che'wo'xin 将主爱力照彻我心
'jiang'zhu'guang'dai'jin'ren'qun'li 将主光带进人群里
'jiao'ao 骄傲
'jiao'dao 教导
'jiao'dao'ren'xue'yi 教导人学义
'jiao'dao'wo'de'zhi'tou'da'zhang 教导我的指头打仗
'jiao'dao'wo'xin'jian'ding'yu'ni 教导我心坚定于你
'jiao'dao'zhuang'bei 教导装备
'jiao'dian 浇奠
'jiao'fu 交付
'jiao'gui 交鬼
'jiao'gui 教规
'jiao'hui 教会
'jiao'hui'jian'du 教会监督
'jiao'hui'lun 教会论
'jiao'hui'shi'gong 教会事工
'jiao'hui'shi'gong'huo'dong 教会事工活动
'jiao'hui'shi'lue 教会史略
'jiao'hui'zhi'wu 教会职务
'jiao'hui'zhou'kan 教会周刊
'jiao'hui'zhou'xun 教会周训
'jiao'men 角门
'jiao'mu'shu'xin 教牧书信
'jiao'pai'ji'yi'duan 教派及异端
'jiao'shu'shen'de'ren'de'yi'wan'quan 叫属神的人得以完全
'jiao'ta'zai'zheng'zhan'zhi'zhong 叫他在争战之中
'jiao'tiao 教条
'jiao'yi 教义
'jiao'you 浇油
'jiao'yu'lun 教育论
'jiao'zheng 教政
'jie'cai'zhong 芥菜种
'jie'dai'yuan 接待员
'jie'dang'gao'chang'ha'li'lu'ya 皆当高唱哈利路亚
'jie'jing 洁净
'jie'jing'yuan'li 解经原理
'jie'kai'tong'ku'de'mian'sha 揭开痛苦的面纱
'jie'li'zai'shen'mian'qian'de'meng'xi'yue 竭力在神面前得蒙喜悦
'jie'sui'shen'yi'an'pai 皆随神意安排
'jie'you'bao'zuo'er'fa 皆由宝座而发
'jie'zhi'yin 戒指印
'jin'dang'qi'lai'xie'zhu 今当齐来谢主
'jin'deng'tai 金灯台
'jin'hua'lun 进化论
'jin'jian'zhu'ci'yan 觐见主慈颜
'jin'ju 金句
'jin'li'jin'li'jin'yi 尽力尽力尽意
'jin'men 金门
'jin'niu'du 金牛犊
'jin'ri'de'xiang'an'le 今日得享安乐
'jin'ri'ma'na 今日吗哪
'jin'ru'hei'an'li 进入黑暗里
'jin'ru'ni'de'tong'zai 进入你的同在
'jin'sheng'jin'shi'wo'bu'zai'xun'zhao 今生今世我不再寻找
'jin'shi 禁食
'jin'shou 谨守
'jin'wo'ben'fen'yin'ta'ren 尽我本分引他人
'jin'xiang'lu 金香炉
'jin'xin'hui 浸信会
'jin'yi'gui'ji'fa'chu'guang'ming 仅依轨迹发出光明
'jin'you'wei'jie'wen'cun 今犹慰藉温存
'jin'zi 金子
'jin'zuo'tian'fu'you'bian 今坐天父右边
'jing'bai 敬拜
'jing'bai'de'mi'jue 敬拜的秘诀
'jing'bai'ni'rang'ni'rong'yao 敬拜你让你荣耀
'jing'bai'wo'de'zhu 敬拜我的主
'jing'bai'ye'he'hua 敬拜耶和华
'jing'diao'zai'zi'ji'suo'wa'de'jing'li 竟掉在自己所挖的阱里
'jing'gao 警告
'jing'guo'hong'hai 经过红海
'jing'guo'kuang'ye'yu'shan'lin 经过旷野与山林
'jing'ji 荆棘
'jing'jie 警戒
'jing'qi 旌旗
'jing'qian 敬虔
'jing'qian'de'ao'mi 敬虔的奥秘
'jing'qian'de'cao'lian 敬虔的操练
'jing'qian'du'ri 敬虔度日
'jing'qian'duan'zheng'ping'an'wu'shi 敬虔端正平安无事
'jing'qian'zhen'li'de'zhi'shi 敬虔真理的知识
'jing'qiu'mei'li'ci'bei'zhu 敬求美丽慈悲主
'jing'wei 敬畏
'jing'wei'shang'di'zhi'zhang'quan'bing 敬畏上帝执掌权柄
'jing'wei'shen 敬畏神
'jing'wen 经文
'jing'wen'hui'bian 经文汇编
'jing'wen'pi'he 经文皮盒
'jing'xian'fu'zi'yu'sheng'ling 敬献父子与圣灵
'jing'xing'qi'dao 警醒祈祷
'jing'ying'can'dan'shi'jiu'en 经营惨淡施救恩
'jing'yuan'zhe'xue 经院哲学
'jiu'diu'diao'qi'jue'ta 就丢掉弃绝他
'jiu'en 救恩
'jiu'en'lun 救恩论
'jiu'en'shu'hu'ye'he'hua 救恩属乎耶和华
'jiu'huan'xi 就欢喜
'jiu'li'shi'meng'she'mian 就立时蒙赦免
'jiu'neng'chuan'guo'shen'shen'de'chang'ye 就能穿过深深的长夜
'jiu'neng'jing'guo'zhong'zhong'de'kao'yan 就能经过重重的考验
'jiu'neng'shi'zhan'da'neng 就能施展大能
'jiu'ren'ping'chou'di'zhui'gan'wo 就任凭仇敌追赶我
'jiu'shi'jiao'ren'de'zhi'shi'de 就是叫人得知识的
'jiu'shi'jun 救世军
'jiu'shi'neng'ren'shi'zhu'ye'su 就是能认识主耶稣
'jiu'shi'neng'xin'kao'zhu'ye'su 就是能信靠主耶稣
'jiu'shi'quan'di'zhi'zhu'de'mian 就是全地之主的面
'jiu'shu 救赎
'jiu'shu'zhe 救赎者
'jiu'shu'zhu 救赎主
'jiu'ta'de'ling'hun 救他的灵魂
'jiu'xiang'hai'bian'de'tu'sha 就像海边的土沙
'jiu'yue 旧约
'jiu'yue'dao'yan 旧约导言
'jiu'yue'gai'lun 旧约概论
'jiu'yue'li'shi'yu'dao'lun'jiang'yi 旧约历史与导论讲义
'jiu'yue'shen'xue 旧约神学
'jiu'zha 酒榨
'jiu'zheng 纠正
'jiu'zheng 酒政
'jiu'zhi'you'zhu'zai'shang 就知有主在上
'jiu'zhu 救主
'jiu'zhu'yi'jing'wei'wo 救主已经为我
'jiu'zuo 酒酢
'ju'bi'lu 居比路
'ju'dang'xiang'zhu'huan'hu'song'yang 俱当向主欢呼颂扬
'ju'ji 聚集
'ju'jian'zhi'jing 居间之境
'ju'li'niu 居里扭
'ju'ni'ge'hou'tan'ni'jin'qin 举你歌喉弹你金琴
'ju'pa 惧怕
'ju'qi'jing'bai'de'shou 举起敬拜的手
'ju'qi'sheng'jie'de'shou'sui'chu'dao'gao 举起圣洁的手随处祷告
'ju'ya'sa'lie 居亚撒列
'ju'zheng'lun'xing'shu'juan 具争论性书卷
'ju'zhi'xing'dong'yao'gong'jing 举止行动要恭敬
'juan'gu 眷顾
'juan'xian 捐献
'jue'xin'du'qian'jing'sheng'jie'de'sheng'huo 决心渡虔敬圣洁的生活
'jun'wang 君王
'jun'wang'bu'neng'yin'bing'duo'de'sheng 君王不能因兵多得胜
'jun'zun'jia'zu 君尊家族
'ka'er'ba'te 卡尔巴特
'ka'er'ge'lv'zhou 喀尔格绿洲
'ka'er'sen 喀尔森
'ka'na'ke 卡纳克
'ka'sai'he 喀塞河
'ka'shan'de 卡山德
'ka'wa'la 卡瓦拉
'kai'chu 开除
'kai'chu'jiao'ji 开除教籍
'kan'di'shang'yi'qie'de'ju'min 看地上一切的居民
'kan'gu'jing'wei'ta'de'ren 看顾敬畏他的人
'kan'gu'wo'de'cong'lai'bu'xie'xi 看顾我的从来不歇息
'kan'jian'fu'xing 看见复兴
'kan'jian'mei'hao'li'ming'lai'lin 看见美好黎明来临
'kan'jian'ying'xu'shi'xian 看见应许实现
'kan'jian'zhen'shen'ying'xu'shi'xian 看见真神应许实现
'kan'na'kan'na'yi'qie'dou'geng'xin 看哪看哪一切都更新
'kang'kai 慷慨
'kao'ma'de'jiu'shi'wang'ran'de 靠马得救是枉然的
'kao'xu'wu'zhi'shen'zi'kua'de 靠虚无之神自夸的
'kao'ye'he'hua'huan'xi'kuai'le 靠耶和华欢喜快乐
'kao'zhe'wo'ci'ai'fu'qin 靠着我慈爱父亲
'kao'zhe'zhu'de'li'liang'jiu'neng'du'guo 靠着主的力量就能渡过
'kao'zhu'de'yong'sheng 靠主得永生
'ke'di'kai'xuan'sheng'shi'yu'zui 克敌凯旋胜世与罪
'ke'fei'qi'de 可废弃的
'ke'ji 克己
'ke'la 可拉
'ke'li 可利
'ke'li'pei'tuo'la'yi'shi 克丽佩脱拉一世
'ke'lian'wo'ruan'ruo 可怜我软弱
'ke'lian'xu'jia'bian'chu'xin 可怜虚假变初心
'ke'lun'ba 柯伦巴
'ke'lun'ban'na 柯伦班拿
'ke'lv'ni'ge'xin'yun'dong 克吕尼革新运动
'ke'lv'ni'xiu'dao'yuan 克吕尼修道院
'ke'si 科斯
'ke'xi'ma'ni 客西马尼
'ke'xun'zhao'de'shi'hou'dao'gao'ni 可寻找的时候祷告你
'ke'zhui'te 柯锥特
'ken'qiu'ci'wo'jiu'en 恳求赐我救恩
'ken'qiu'dao'gao'dai'qiu'zhu'xie 恳求祷告代求祝谢
'ken'qiu'gao'ju'wan'zhong'xin 恳求高举万众心
'ken'qiu'ni'qing'ting'wo'de'xin 恳求你倾听我的心
'ken'qiu'sheng'fu'lai'lin 恳求圣父来临
'ken'qiu'sheng'ling'lai'lin 恳求圣灵来临
'ken'qiu'sheng'zi'lai'lin 恳求圣子来临
'ken'qiu'tong'zhi'zhong'xin 恳求统治众心
'ken'qiu'zao'jiu'wo'men 恳求造就我们
'kong'pa'ta'men'xiang'shi'zi'si'lie'wo 恐怕他们像狮子撕裂我
'kong'su'zhe 控诉者
'kong'xu'hun'dun 空虚混沌
'kong'ya 孔亚
'kou'bai'jing'er'gong 叩拜敬而恭
'kou'men'men'jiu'kai'yi'dian'bu'chi'yan 叩门门就开一点不迟延
'ku'dan 苦胆
'ku'hai'ni'de'chan'ye 苦害你的产业
'ku'nan 苦难
'ku'nan'de'yi'yi 苦难的意义
'ku'nan'yu'zui'e 苦难与罪恶
'ku'yi'chou'yun'ken'qiu'xiao'hua 苦意愁云恳求消化
'kua'kua'zhi'yi'de'xu'li'ya'zhi'xian 夸夸之役的叙利亚之献
'kua'yao 夸耀
'kua'yue'si'wang 跨越死亡
'kuai'le'chong'bai'ge 快乐崇拜歌
'kuai'le'kuai'le'wo'men'chong'bai 快乐快乐我们崇拜
'kuan'dai 款待
'kuan'qiang 宽墙
'kuang'ao'ren'bu'neng'zhan'zai'ni'yan'qian 狂傲人不能站在你眼前
'kuang'ye 旷野
'kui'qian'de 亏欠的
'kun'bang'de'ling 捆绑的灵
'kun'chong'zou'shou'ge'cong'qi'lei 昆虫走兽各从其类
'la'ba 拉巴
'la'ba'ren 拉巴人
'la'ban 拉班
'la'bi 拉比
'la'ding'wu'jia'da'yi'ben 拉丁武加大译本
'la'he 喇合
'la'ji 拉吉
'la'ji'de'wa'pian'shu'xin 拉吉的瓦片书信
'la'jia 拉加
'la'jian 蜡剪
'la'jie 拉结
'la'ma 拉玛
'la'ma'suo'fei 拉玛琐非
'la'mai 拉麦
'la'mo 拉末
'la'sa'lu 拉撒路
'la'sa'lu'de'jie'jie 拉撒路的姐姐
'la'sha 拉沙
'la'si'shan'la'wen'xian 拉斯珊拉文献
'la'wu 拉吴
'la'yi 拉亿
'la'yi'le 拉伊勒
'lai'chang'kai'xiong'huai'zan'mei'ta 来敞开胸怀赞美他
'lai'dao'zhu'de'mian'qian 来到主的面前
'lai'dao'zhu'qian'gao'sheng'ge'chang 来到主前高声歌唱
'lai'gao'sheng'huan'hu'zan'mei'ta 来高声欢呼赞美他
'lai'pai'zhang'qiong'cang'qi'chang'he 来拍掌穹苍起唱和
'lai'ri'shi'en'ru'wang'ri 来日施恩如往日
'lai'yong'bao'wo 来拥抱我
'lai'yu'bei'ni'jiu'en'de'dao'lu 来预备你救恩的道路
'lai'zhu'en'hao'dang 赖主恩浩荡
'lan'duo'ren 懒惰人
'lan'sai 兰塞
'lan'sai'er'shi 兰塞二世
'lan'tian'zhong'de'xiao'niao 蓝天中的小鸟
'lan'zu 拦阻
'lang'zi'hui'tou 浪子回头
'lao'di'jia 老底嘉
'lao'long'wu'zhi'fu'nv 牢笼无知妇女
'le'hai 勒海
'le'yi'feng'xian 乐意奉献
'le'yi'jie'dai'yuan'ren 乐意接待远人
'le'yi'shi'feng'qian'cheng'cheng'song 乐意事奉虔诚称颂
'le'yuan 乐园
'lei'pu'dun 雷普顿
'lei'shui'bu'zai 泪水不再
'lei'zhui 累赘
'lei'zi 雷子
'li'ba'nen 黎巴嫩
'li'ba'nen'de'xiang'bai'shu 黎巴嫩的香柏树
'li'ba'nen'lin'gong 黎巴嫩林宫
'li'ba'nen'xiang'bai'mu 黎巴嫩香柏木
'li'bai 利拜
'li'bai'de'er'zi'yi'tai 利拜的儿子以太
'li'bai'jia 利百加
'li'dai'dao'yin'zhong'xuan'min 历代导引众选民
'li'dai'jiao'hui'xin'tiao'jing'xuan 历代教会信条精选
'li'dai'zhi'shang 历代志上
'li'dai'zhi'xia 历代志下
'li'dao 离道
'li'dian'de'gen'ji 立殿的根基
'li'dou'shi'zu 利都是族
'li'fa 利法
'li'fa'yin 利乏音
'li'fa'yin'gu 利乏音谷
'li'fa'yin'ren 利乏音人
'li'ha'bi'ren 利哈比人
'li'he'bo 利河伯
'li'hong 利宏
'li'hun 离婚
'li'ji'weng 利基翁
'li'na'ren 立拿人
'li'nu 利奴
'li'ou'jiu'shi 利欧九世
'li'qi'wo'de'lv'fa 离弃我的律法
'li'qi'xin'yang 离弃信仰
'li'qi'zhen'dao 离弃真道
'li'shi'de'gui'ji 历史的轨迹
'li'shi'shu 历史书
'li'shi'xin'jing'he'xin'tiao 历史信经和信条
'li'si'ba 利斯巴
'li'wei 利未
'li'wei'ji 利未记
'li'wei'ren 利未人
'li'wen'si'dun 李文斯敦
'li'wu'mi'zu 利乌米族
'li'xi 利希
'li'xi 利息
'li'xi 利悉
'li'xian 利鲜
'li'xing'de'gui'bi 理性的规避
'li'xun 利汛
'li'xun 利逊
'li'ya 利亚
'li'yi 礼仪
'li'yue 立约
'li'yue'de'yue'gui 立约的约柜
'lian'min 怜悯
'lian'na'wu'gu'yu'wo'wei'di'de 连那无故与我为敌的
'lian'xin'di'he'tian'liang 连心地和天良
'lian'yu 炼狱
'liang'shu 量数
'liang'you'sheng'jing'xue'yuan 良友圣经学院
'lie'guo'ji'lu 列国记录
'lie'ren 列人
'lie'wang 列王
'lie'wang'ji'shang 列王纪上
'lie'wang'ji'xia 列王纪下
'lie'zu 列祖
'lin'men 临门
'lin'zhong'de'shu'mu 林中的树木
'ling'en'pai 灵恩派
'ling'mao'zhe'bi'ni 翎毛遮蔽你
'ling'ming 灵命
'ling'ming'yu'shi'ming 灵命与使命
'ling'ting'ling'hun'de'na'han 聆听灵魂的呐喊
'ling'xing 灵性
'ling'xing'hua'kai'shi'ren'bi 灵性花开诗人笔
'ling'yang 羚羊
'liu'bian 流便
'liu'lai'huo'li'he'feng'ying 流来活力何丰盈
'liu'lei'sa'zhong'bi'huan'hu'shou'ge 流泪撒种必欢呼收割
'liu'lian 留连
'liu'ma 流玛
'liu'ru'mei'ge'ren'de'xin'jian 流入每个人的心间
'liu'yi'ta'men'yi'qie'zuo'wei'de 留意他们一切作为的
'lu'de 路得
'lu'de 路德
'lu'de'hui 路德会
'lu'de'ji 路得记
'lu'de'zong 路德宗
'lu'di'ren 路低人
'lu'fu 鲁孚
'lu'jia 路加
'lu'jia'fu'yin 路加福音
'lu'lou 炉楼
'lu'qiu'gu'li'nai'ren 路求古利奈人
'lu'qu 掳去
'lu'si 路斯
'lu'si'de 路司得
'lu'xi'fu 路西弗
'lu'yi'shi 路益师
'luan'lun 乱伦
'luan'tong 娈童
'lun'duan'ta'ren 论断他人
'lun'xian 沦陷
'luo'a'mi 罗阿米
'luo'bo'an 罗波安
'luo'bo'an'wang 罗波安王
'luo'da 罗大
'luo'de 罗得
'luo'de'ji 罗的基
'luo'de'shen 落的神
'luo'de'zhi'qi 罗得之妻
'luo'di 罗底
'luo'di'ba 罗底巴
'luo'di'ba'ren 罗底巴人
'luo'lu'ha'ma 罗路哈玛
'luo'ma'di'wang 罗马帝王
'luo'ma'he'ping 罗马和平
'luo'ma'jiao'huang'zhi'du 罗马教皇制度
'luo'ma'ren'shu 罗马人书
'luo'ma'shu'sheng'jing'zhu'shi 罗马书圣经注释
'luo'ma'shu'xi'tong'cha'jing 罗马书系统查经
'luo'ma'shu'zhu'shi 罗马书注释
'luo'ma'tian'zhu'jiao 罗马天主教
'luo'teng'shu 罗腾树
'luo'teng'shu 罗藤树
'luo'tuo 骆驼
'luo'yi 罗以
'luo'zai'fen'nu'zhi'shen'shou'zhong'de'zui'ren 落在忿怒之神手中的罪人
'lv'bi'ya 吕彼亚
'lv'da 吕大
'lv'di'ya 吕底亚
'lv'di'ya'fu'nv 吕底亚妇女
'lv'fa 律法
'lv'fa'he'en'dian 律法和恩典
'lv'fa'shi 律法师
'lv'fa'shi'dai 律法时代
'lv'fa'shu 律法书
'lv'fa'zhu'yi 律法主义
'lv'gao'ni 吕高尼
'lv'li'jie'ming'dian'zhang'fa'du 律例诫命典章法度
'lv'sa'nie 吕撒聂
'lv'shi'xi'na 律师西纳
'lv'xi'ya 吕西亚
'lv'zhen'zhong'yi'ben 吕振中译本
'ma'bu 麻布
'ma'da 马大
'ma'dai 玛代
'ma'dai'bo'si 玛代波斯
'ma'dai'ren 玛代人
'ma'ding'lu'de 马丁路得
'ma'ding'lu'de 马丁路德
'ma'er'bao'xin'tiao 马尔堡信条
'ma'er'dai'si 玛尔黛斯
'ma'er'du'ke 玛尔杜克
'ma'feng 麻疯
'ma'gai'er'si 马盖耳斯
'ma'ge 玛各
'ma'ge'ti'shi 玛革提施
'ma'ha'la 玛哈拉
'ma'ha'lai 玛哈莱
'ma'ha'nian 玛哈念
'ma'he 玛曷
'ma'hei'er'sha'la'le'ha'shi'ba 玛黑珥沙拉勒哈施罢
'ma'ji 玛吉
'ma'ji'da 玛基大
'ma'ji'ya 玛基雅
'ma'jia 玛迦
'ma'jia'bi 马加比
'ma'jia'da'wei'zhi'qi 玛迦大卫之妻
'ma'jia'dan 马加丹
'ma'jia'ren 玛迦人
'ma'jia'si 玛迦斯
'ma'ke 马可
'ma'ke'fu'yin 马可福音
'ma'ke'yue'han 马可约翰
'ma'ke'yue'han'de'mu'qin 马可约翰的母亲
'ma'la 玛拉
'ma'la'ji 玛拉基
'ma'la'ji'shu 玛拉基书
'ma'le'gu 马勒古
'ma'le'lie 玛勒列
'ma'li 马里
'ma'li'an'ni 玛利安妮
'ma'li'xun 马礼逊
'ma'li'ya 马利亚
'ma'li'ya'de'di'xiong 马利亚的弟兄
'ma'li'ya'de'zhang'fu 马利亚的丈夫
'ma'li'ya'ge'luo'ba'zhi'qi 马利亚革罗罢之妻
'ma'li'ya'ma'ke'zhi'mu 马利亚马可之母
'ma'li'ya'ye'su'zhi'mu 马利亚耶稣之母
'ma'lun 玛伦
'ma'men 马门
'ma'na 吗哪
'ma'na'xi 玛拿西
'ma'na'xi'ban'zhi'pai 玛拿西半支派
'ma'na'xi'xi'xi'jia'zhi'zi 玛拿西希西家之子
'ma'na'xi'yue'na'dan'zhi'zu'fu 玛拿西约拿单之祖父
'ma'na'xi'yue'se'zhi'zi 玛拿西约瑟之子
'ma'na'xi'zhi'pai 玛拿西支派
'ma'na'xi'zi'sun'ya'er'de'cheng'yi 玛拿西子孙睚珥的城邑
'ma'nian 马念
'ma'qi'dun 马其顿
'ma'sa 玛撒
'ma'shi 玛施
'ma'suo'la'jing'wen 玛所拉经文
'ma'ta'ti'ya 玛他提亚
'ma'tai 马太
'ma'tai'fu'yin 马太福音
'ma'tan 玛坦
'ma'tan'ya 玛探雅
'ma'ti'ya 马提亚
'ma'tu'sa'la 玛土撒拉
'ma'tu'sa'li 玛土撒利
'ma'ye'bu'neng'yin'li'da'jiu'ren 马也不能因力大救人
'ma'you'zao 马有藻
'mai'bi'la 麦比拉
'mai'bi'la'dong 麦比拉洞
'mai'bi'la'tian'jian'de'dong 麦比拉田间的洞
'mai'ji'xi'de 麦基洗德
'mai'xi 麦西
'mai'zang 埋葬
'man'huai'xi'wang'xiang'qian'xing 满怀希望向前行
'man'li 幔利
'man'li'qian 幔利前
'man'li'xiang'shu 幔利橡树
'man'zu 满足
'mao'xing 昴星
'mei'de 美德
'mei'hao'de'li'ming 美好的黎明
'mei'la 每拉
'mei'ri'shang'ci'zhen'fu'qi 每日赏赐真福气
'mei'suo'bu'da'mi'ya 美索不达米亚
'mei'xi'ya 每西亚
'mei'yao 没药
'mei'ye'chuan'yang'ni'de'xin'shi 每夜传扬你的信实
'mei'you'ren'he'de'bi'po'huan'nan 没有任何的逼迫患难
'mei'you'ren'he'de'kun'ku'chou'fan 没有任何的困苦愁烦
'men'an'de 门安德
'men'nuo'hui 门诺会
'men'tu 门徒
'men'tu'zai'pei'xun'lian 门徒栽培训练
'meng'ai'de'men'tu 蒙爱的门徒
'meng'en 蒙恩
'meng'en'tong'nv'song'zhu'ao'miao 蒙恩童女颂主奥妙
'meng'fu 蒙福
'meng'fu'qun'ling'jie'dang'xiang'ying 蒙福群灵皆当响应
'meng'jian'xuan 蒙拣选
'meng'le'lian'min 蒙了怜悯
'meng'yue'na 蒙悦纳
'meng'zhao 蒙召
'meng'zhu'fu'you'dao'jin 蒙主福佑到今
'mi'ben'nai 米本乃
'mi'bi'shan 米比衫
'mi'da'shi 米大示
'mi'dan 米但
'mi'di'ba 米底巴
'mi'dian 米甸
'mi'dian'ren 米甸人
'mi'duo 密夺
'mi'e'ni'ni'xiang'shu 米恶尼尼像树
'mi'fei'bo'she 米非波设
'mi'gai'ya 米该雅
