'a'er'dao'fu'zhu'fang'jun 阿尔道夫驻防军
'pan'luan 叛乱
'po'long'zhe 破笼者
'po'long'zhe'pan'jun 破笼者叛军
'qi'liang'hai'an'hai'dao 凄凉海岸海盗
'qi'liang'hai'an'hai'dao'pan'jun 凄凉海岸海盗叛军
'qian'shao'zhan 前哨站
'qian'shao'zhan'pan'jun 前哨站叛军
'qian'shi 千噬
'qian'shi'fen'li'shi'li 千噬分离势力
'qian'shi'fen'li'shi'li'pan'jun 千噬分离势力叛军
'qian'shi'pan'jun 千噬叛军
'qu'chong'jun'tuan 蛆虫军团
'qu'chong'jun'tuan'pan'jun 蛆虫军团叛军
'quan'shi'zhi'yan 全视之眼
'quan'shi'zhi'yan'pan'jun 全视之眼叛军
'qun'shan'zhi'zi 群山之子
'qun'shan'zhi'zi'pan'jun 群山之子叛军
'ran'feng'mu'min 燃风牧民
'ran'feng'mu'min'pan'jun 燃风牧民叛军
'ren'zai'bu'luo 人灾部落
'ren'zai'bu'luo'si'jiao'shou'qun 人灾部落嘶叫兽群
'ru'chong'shi'zu 蠕虫氏族
'ru'chong'shi'zu'pan'jun 蠕虫氏族叛军
'rui'ke'ling 瑞克领
'sa'deng'bao 萨登堡
'sa'deng'bao'pan'jun 萨登堡叛军
'sa'fu'rui 萨芙睿
'sa'fu'rui'pan'jun 萨芙睿叛军
'sa'li 萨利
'sa'li'pan'jun 萨利叛军
'sa'suo'rui'er'shou'wang'zhe 萨索瑞尔守望者
'sa'suo'rui'er'shou'wang'zhe'pan'jun 萨索瑞尔守望者叛军
'sa'tu'sha'hai'dao 萨图沙海盗
'sa'tu'sha'hai'dao'fen'li'shi'li 萨图沙海盗分离势力
'sa'tu'sha'hai'dao'pan'jun 萨图沙海盗叛军
'sai'tie'dao'pi 赛铁刀皮
'sai'tie'dao'pi'pan'jun 赛铁刀皮叛军
'sai'xi'la 塞西拉
'sai'xi'la'pan'jun 塞西拉叛军
'se'an'sheng'zhan'jun 瑟安圣战军
'se'an'sheng'zhan'jun'pan'jun 瑟安圣战军叛军
'se'nie 色孽
'se'nie'mi'hun'zhe 色孽迷魂者
'se'nie'mi'hun'zhe'pan'jun 色孽迷魂者叛军
'se'nie'pan'jun 色孽叛军
'se'ti'shao'zhan 瑟提哨站
'se'ti'shao'zhan'pan'jun 瑟提哨站叛军
'sen'lin'zhi'nv 森林之女
'sen'lin'zhi'nv'pan'jun 森林之女叛军
'sha'chi 鲨齿
'sha'chi'pan'jun 鲨齿叛军
'sha'qiu'wang'guo 沙丘王国
'sha'qiu'wang'guo'pan'jun 沙丘王国叛军
'sha'yu'xia'wan'shui'shou'bang 鲨鱼峡湾水手帮
'sha'yu'xia'wan'shui'shou'bang'pan'jun 鲨鱼峡湾水手帮叛军
'shan'lin'jing'hun 山林精魂
'shen'quan'tiao'zhan'zhe 神犬挑战者
'shen'quan'zhan'bang 神犬战帮
'shen'she'tiao'zhan'zhe 神蛇挑战者
'shen'she'zhan'bang 神蛇战帮
'shen'ya'tiao'zhan'zhe 神鸦挑战者
'shen'ya'zhan'bang 神鸦战帮
'shen'ying'tiao'zhan'zhe 神鹰挑战者
'shen'ying'zhan'bang 神鹰战帮
'shen'you'e'dang 神佑恶党
'shen'you'e'dang'fen'li'shi'li 神佑恶党分离势力
'shen'you'e'dang'pan'jun 神佑恶党叛军
'shi'cui'ge'di'guo 史崔格帝国
'shi'cui'ge'di'guo'pan'jun 史崔格帝国叛军
'shi'jiao'bu'luo 石角部落
'shi'jiao'bu'luo'si'jiao'shou'qun 石角部落嘶叫兽群
'shi'jie'gen'xu'you'xia 世界根须游侠
'shi'jie'gen'xu'you'xia'pan'jun 世界根须游侠叛军
'shi'jie'xing'zhe 世界行者
'shi'ku'li'shi'zu 史库里氏族
'shi'ku'li'shi'zu'fen'li'shi'li 史库里氏族分离势力
'shi'ku'li'shi'zu'pan'jun 史库里氏族叛军
'shi'nie'shi'zu 蚀啮氏族
'shi'nie'shi'zu'pan'jun 蚀啮氏族叛军
'shi'ren'mo'pan'jun 食人魔叛军
'shi'ren'mo'wang'guo 食人魔王国
'shi'ren'zhe 噬人者
'shi'ren'zhe'pan'jun 噬人者叛军
'shi'xue'kuang 嗜血狂
'shi'xue'kuang'pan'jun 嗜血狂叛军
'shou'en'zhe 受恩者
'shou'en'zhe'pan'jun 受恩者叛军
'shou'hu'zhe'shi'cong 守护者侍从
'shou'shi'zhe 守誓者
'shou'shi'zhe'pan'jun 守誓者叛军
'shu'chui 树锤
'shu'chui'pan'jun 树锤叛军
'si'ka'bo'la'bao'shi'tu 斯卡勃拉暴食徒
'si'ka'wen'shu'ren 斯卡文鼠人
'si'ka'wen'shu'ren'pan'jun 斯卡文鼠人叛军
'si'kai'lin 斯凯林
'si'kai'lin'pan'jun 斯凯林叛军
'si'kao'er'deng'jie'lue'zhe 斯考尔登劫掠者
'si'ke'ji 斯科吉
'si'ke'ji'pan'jun 斯科吉叛军
'si'ke'la'te'shi'zu 斯克拉特氏族
'si'ke'la'te'shi'zu'pan'jun 斯克拉特氏族叛军
'si'ke'yue'de'jie'lue'zhe 斯科约德劫掠者
'si'lan'wu'pei'ke 斯兰雾佩克
'si'lan'wu'pei'ke'pan'jun 斯兰雾佩克叛军
'si'pu 死匍
'si'pu'pan'jun 死匍叛军
'si'qi'jian'dui 死旗舰队
'si'te'lin'qin'zu'si'jiao'shou'qun 斯特林亲族嘶叫兽群
'si'te'lin'qin'zu'zhan'shou'qun 斯特林亲族战兽群
'si'ti'er'ling 斯提尔领
'si'ti'er'ling'pan'jun 斯提尔领叛军
'song'chi 松齿
'song'chi'pan'jun 松齿叛军
'sui'fu 碎斧
'sui'fu'pan'jun 碎斧叛军
'sui'liao 碎镣
'sui'liao'pan'jun 碎镣叛军
'sui'lu'zhe 碎颅者
'sui'lu'zhe'pan'jun 碎颅者叛军
'sui'shi'zhe 碎石者
'sui'shi'zhe'pan'jun 碎石者叛军
'sui'ye'zhe'bu'luo 碎叶者部落
'sui'ye'zhe'bu'luo'pan'jun 碎叶者部落叛军
'suo'ti'ge'jiao'pai 索提戈教派
'suo'ti'ge'jiao'pai'fen'li'shi'li 索提戈教派分离势力
'suo'ti'ge'zhi'ji'ai'ren 索提戈之脊矮人
'suo'ti'ge'zhi'ji'ai'ren'pan'jun 索提戈之脊矮人叛军
'ta'er'ai'la'xun 塔尔艾拉逊
'ta'er'ai'la'xun'pan'jun 塔尔艾拉逊叛军
'ta'er'ai'li'ti'si'liu'fang'zhe 塔尔艾利提斯流放者
'ta'er'ai'li'ti'si'pan'jun 塔尔艾利提斯叛军
'ta'la'bei'ke'ling 塔拉贝克领
'ta'la'bei'ke'ling'pan'jun 塔拉贝克领叛军
'ta'la'ke'si'lan 塔拉克斯兰
'ta'la'ke'si'lan'pan'jun 塔拉克斯兰叛军
'ta'la'kua 塔拉夸
'ta'la'kua'pan'jun 塔拉夸叛军
'ta'lan'huo'fu 塔兰霍夫
'ta'lan'huo'fu'pan'jun 塔兰霍夫叛军
'ta'ma'ke 塔玛克
'ta'ma'ke'pan'jun 塔玛克叛军
'ta'sai'en 塔塞恩
'tai'bo'ke'shen'you'zhan'qun 泰波克神佑战群
'tai'bo'ke'shen'you'zhan'qun'pan'jun 泰波克神佑战群叛军
'tai'bo'ke'zhi'zhong 泰波克之种
'tai'bo'ke'zhi'zhong'pan'jun 泰波克之种叛军
'tai'lun'luo'ke 泰伦洛克
'tai'lun'luo'ke'pan'jun 泰伦洛克叛军
'tan'rou'zhe 贪肉者
'tan'rou'zhe'pan'jun 贪肉者叛军
'te'ge'fan 特戈凡
'te'ge'fan'pan'jun 特戈凡叛军
'te'lan'ti'ao'hai'dao 特兰提奥海盗
'te'lan'ti'ao'hai'dao'bian'jie'zhe 特兰提奥海盗变节者
'tei'sen'ni'ke'hou'yi 忒森尼克后裔
'tei'sen'ni'ke'hou'yi'pan'jun 忒森尼克后裔叛军
'ti'li'er 提利尔
'ti'li'er'pan'jun 提利尔叛军
'ti'xi'ci 提西茨
'ti'xi'ci'pan'jun 提西茨叛军
'ti'ya'tei'kua 提亚忒夸
'ti'ya'tei'kua'pan'jun 提亚忒夸叛军
'tian'kong'bao'feng'hui 天空暴风会
'tian'kong'bao'feng'hui'fen'qi'zhe 天空暴风会分歧者
'tian'qi'zhan'bang 天启战帮
'tian'qi'zhan'bang'pan'jun 天启战帮叛军
'tian'ting'zhong'wei 天廷忠卫
'tian'ting'zhong'wei'pan'jun 天廷忠卫叛军
'tie'mei'yuan'zheng'jun 铁眉远征军
'tie'mei'yuan'zheng'jun'pan'jun 铁眉远征军叛军
'tie'zhua'shou'ren 铁爪兽人
'tie'zhua'shou'ren'pan'jun 铁爪兽人叛军
'tu'mie'zhi'jiao'bu'luo 屠灭之角部落
'tu'mie'zhi'jiao'bu'luo'pan'jun 屠灭之角部落叛军
'tui'duo'da'jun 颓堕大军
'tui'duo'da'jun'pan'jun 颓堕大军叛军
'tun'shan'zhe 吞山者
'tun'shan'zhe'pan'jun 吞山者叛军
'tuo'fu'de'you'dang'wang'zhe 脱缚的游荡亡者
'tuo'fu'de'zi'ran'zhi'nu 脱缚的自然之怒
'wa'er'deng'huo'fu 瓦尔登霍夫
'wa'er'deng'huo'fu'pan'jun 瓦尔登霍夫叛军
'wa'er'yuan'zheng'jun 瓦尔远征军
'wa'er'yuan'zheng'jun'tao'bing 瓦尔远征军逃兵
'wa'ge 瓦格
'wa'ge'pan'jun 瓦格叛军
'wa'na'hai'mu'lin 瓦纳海姆林
'wa'na'hai'mu'lin'pan'jun 瓦纳海姆林叛军
'wa'shen'na'pan'jun 瓦什纳叛军
'wa'shen'na'zheng'fu'zhe 瓦什纳征服者
'wai'bang'zai'huo'shang'chuan 外邦载货商船
'wan'bian'da'jun'huo'pu 万变大君火仆
'wan'bian'shi'tu 万变使徒
'wan'bian'shi'tu'pan'jun 万变使徒叛军
'wei'bei'lie'sheng 卫北列省
'wei'bei'lie'sheng'pan'jun 卫北列省叛军
'wei'sen'ling'yu'nu'en 威森领与努恩
'wei'sen'ling'yu'nu'en'pan'jun 威森领与努恩叛军
'wei'sheng'chi'shou'wang'zhe 维生池守望者
'wei'sheng'chi'shou'wang'zhe'pan'jun 维生池守望者叛军
'wei'xi'lie'sheng 卫西列省
'wei'xi'lie'sheng'pan'jun 卫西列省叛军
'wei'zhi'si'ka'wen'shi'zu 未知斯卡文氏族
'wen'de'li'he 温德里赫
'wen'de'li'he'pan'jun 温德里赫叛军
'wen'yi'ji'huan'guan 瘟疫计患官
'wen'yi'ji'huan'guan'pan'jun 瘟疫计患官叛军
'wo'kan'shi'zu 沃坎氏族
'wo'kan'shi'zu'pan'jun 沃坎氏族叛军
'wu'guo'er'zu'yi 乌果尔族裔
'wu'guo'er'zu'yi'pan'jun 乌果尔族裔叛军
'wu'hui'lie'shou 污秽猎手
'wu'hui'lie'shou'pan'jun 污秽猎手叛军
'wu'ye'gong'ting 午夜宫廷
'wu'ye'gong'ting'pan'jun 午夜宫廷叛军
'xi'er'wa'ni'ya 希尔瓦尼亚
'xi'er'wa'ni'ya'pan'jun 希尔瓦尼亚叛军
'xi'ge'ma'jiao'hui 西格玛教会
'xi'ge'ma'jiao'hui'pan'jun 西格玛教会叛军
'xi'la'zhuo'ta'er 希拉卓塔尔
'xi'la'zhuo'ta'er'pan'jun 希拉卓塔尔叛军
'xi'xue'gui'bo'jue 吸血鬼伯爵
'xi'xue'gui'bo'jue'pan'jun 吸血鬼伯爵叛军
'xi'xue'gui'hai'an 吸血鬼海岸
'xi'xue'gui'hai'an'fen'li'shi'li 吸血鬼海岸分离势力
'xi'xue'gui'hai'an'hua'bian'zhe 吸血鬼海岸哗变者
'xi'xue'gui'hai'an'pan'jun 吸血鬼海岸叛军
'xi'yi'ren 蜥蜴人
'xi'yi'ren'lue'duo'zhe 蜥蜴人掠夺者
'xi'yi'ren'pan'jun 蜥蜴人叛军
'xian'xue'lv'tuan 鲜血旅团
'xian'xue'lv'tuan'pan'jun 鲜血旅团叛军
'xian'xue'nv'wang'jun'tuan 鲜血女王军团
'xian'xue'nv'wang'jun'tuan'pan'jun 鲜血女王军团叛军
'xian'xue'shou'ge'tuan 鲜血收割团
'xian'xue'shou'wei 鲜血守卫
'xian'xue'shou'wei'pan'jun 鲜血守卫叛军
'xian'zu'zhi'jun 先祖之军
'xian'zu'zhi'jun'pan'jun 先祖之军叛军
'xiang'gu 响骨
'xiang'gu'pan'jun 响骨叛军
'xiang'yan 飨宴
'xiang'yan'pan'jun 飨宴叛军
'xie'yue 邪月
'xie'yue'fan'kang'jun 邪月反抗军
'xie'yue'fan'kang'jun'pan'jun 邪月反抗军叛军
'xie'yue'pan'jun 邪月叛军
'xin'kuang'jun'tuan 欣狂军团
'xin'kuang'jun'tuan'pan'jun 欣狂军团叛军
'xin'shi'jie'zhi'min'zhe 新世界殖民者
'xin'shi'jie'zhi'min'zhe'pan'jun 新世界殖民者叛军
'xiong'hu 凶胡
'xiong'hu'pan'jun 凶胡叛军
'xiong'ren'zhan'bang 匈人战帮
'xiong'ren'zhan'bang'tao'bing 匈人战帮逃兵
'xiu'nv'hui 修女会
'xue'du'shi'zu 血毒氏族
'xue'du'shi'zu'pan'jun 血毒氏族叛军
'xue'fu'bu'luo 血斧部落
'xue'fu'bu'luo'si'jiao'shou'qun 血斧部落嘶叫兽群
'xue'mao 血矛
'xue'mao'pan'jun 血矛叛军
'xue'shou 血手
'xue'shou'pan'jun 血手叛军
'xue'ting'nv'wu'tuan 血厅女巫团
'xue'ting'nv'wu'tuan'pan'jun 血厅女巫团叛军
'xue'wei 血胃
'xue'wei'pan'jun 血胃叛军
'xue'xing'liu'lang'zhe 血腥流浪者
'xue'xing'liu'lang'zhe'pan'jun 血腥流浪者叛军
'xue'xing'yang'mo 血腥羊魔
'xue'xing'yang'mo'pan'jun 血腥羊魔叛军
'xue'ya'bu'luo 血牙部落
'xue'ya'bu'luo'pan'jun 血牙部落叛军
'yan'huo'xue'yuan 烟火学院
'yan'huo'xue'yuan'fen'qi'zhe 烟火学院分歧者
'yan'yan 炎咽
'yan'yan'pan'jun 炎咽叛军
'yao'long'zu'yi 妖龙族裔
'yao'long'zu'yi'pan'jun 妖龙族裔叛军
'ye'shou'ren 野兽人
'ye'shou'ren'pan'jun 野兽人叛军
'ye'shou'ren'pan'jun'si'jiao'shou'qun 野兽人叛军嘶叫兽群
'ye'shou'ren'si'jiao'shou'qun 野兽人嘶叫兽群
'yi'bing'shi'zu 疫病氏族
'yi'bing'shi'zu'fen'li'shi'li 疫病氏族分离势力
'yi'bing'shi'zu'pan'jun 疫病氏族叛军
'yi'qu'xiong'di 疫蛆兄弟
'yi'qu'xiong'di'pan'jun 疫蛆兄弟叛军
'yi'rui'si 伊瑞斯
'yi'rui'si'pan'jun 伊瑞斯叛军
'yi'ta'zha 伊塔扎
'yi'ta'zha'pan'jun 伊塔扎叛军
'yi'tai'en 伊泰恩
'yi'tai'en'pan'jun 伊泰恩叛军
'yi'zi'yi'ta'zha'bu'luo 伊兹伊塔扎部落
'yi'zi'yi'ta'zha'bu'luo'pan'jun 伊兹伊塔扎部落叛军
'yin'mi'zhi'xing 隐秘之刑
'yin'mi'zhi'xing'pan'jun 隐秘之刑叛军
'yin'ying'ge'er'si'jiao'shou'qun 阴影戈尔嘶叫兽群
'yin'ying'ge'er'zhan'shou'qun 阴影戈尔战兽群
'ying'nie'zhan'shou'qun 影孽战兽群
'ying'shi'nao'dai 硬石脑袋
'ying'shi'nao'dai'pan'jun 硬石脑袋叛军
'you'dang'wang'zhe 游荡亡者
'you'sa'ke 尤萨克
'you'sa'ke'pan'jun 尤萨克叛军
'yu'long'zhe 遇龙者
'yu'long'zhe'pan'jun 遇龙者叛军
'yu'shi'hu'jun 玉石护军
'yu'shi'hu'jun'pan'jun 玉石护军叛军
'yu'ting 玉廷
'yu'ting'pan'jun 玉廷叛军
'yu'xue'chang'jian 浴血长剑
'yu'xue'chang'jian'pan'jun 浴血长剑叛军
'yue'hao'bu'luo 月嚎部落
'yue'hao'bu'luo'pan'jun 月嚎部落叛军
'zai'e'xian'qu 灾厄先驱
'zai'e'xian'qu'pan'jun 灾厄先驱叛军
'zai'e'zhan'lin 灾厄战林
'zai'e'zhan'lin'pan'jun 灾厄战林叛军
'ze'te'lan 泽特兰
'ze'te'lan'pan'jun 泽特兰叛军
'zeng'wu'zhe 憎恶者
'zha'de'ke'di'ling 扎德克地灵
'zha'de'ke'pan'jun 扎德克叛军
'zha'er'du'ke'ba'zhu 扎尔杜克霸主
'zha'er'du'ke'ba'zhu'pan'jun 扎尔杜克霸主叛军
'zha'er'zhan'tuan 扎尔战团
'zha'er'zhan'tuan'pan'jun 扎尔战团叛军
'zha'er'zhi'nu 扎尔之奴
'zha'er'zhi'nu'pan'jun 扎尔之奴叛军
'zhan'bang'pan'jun 战帮叛军
'zhan'xiong'xiong'di'hui 战熊兄弟会
'zhan'xiong'xiong'di'hui'pan'jun 战熊兄弟会叛军
'zhen'dan 震旦
'zhen'dan'pan'jun 震旦叛军
'zhi'xu'zhi'meng 秩序之盟
'zhi'yuan'hai'hai'dao 致远海海盗
'zhi'yuan'hai'hai'dao'bian'jie'zhe 致远海海盗变节者
'zhong'bu'hai'fei'dao 中部海匪盗
'zhong'bu'hai'fei'dao'pan'jun 中部海匪盗叛军
'zhong'xian'yi'qun 肿腺疫群
'zhong'xian'yi'qun'pan'jun 肿腺疫群叛军
'zi'ran'zhi'nu 自然之怒
'zi'zong'jiao'pai 恣纵教派
'zi'zong'jiao'pai'pan'jun 恣纵教派叛军
'zui'hou'shou'wei'zhe 最后守卫者
'zui'hou'shou'wei'zhe'pan'jun 最后守卫者叛军
