'ba'ba 八八
'tong'ping'xu'shi'lun'pian'di'er'shi'ba 通评虚实论篇第二十八
'wai'bu'lao'xing'yu'shi 外不劳形于事
'wai'yong'ji'rou 外壅肌肉
'wan'wu'bu'shi 万物不失
'wan'wu'hua'shi 万物华实
'wan'wu'ming'gu'bu'shi 万物命故不施
'wan'wu'yi'rong 万物以荣
'wan'wu'zhi'gen'ben'ye 万物之根本也
'wan'wu'zhi'zhong'shi'ye 万物之终始也
'wei'bu'ke'zhi 为不可治
'wei'guo'yu'gan 味过于甘
'wei'guo'yu'ku 味过于苦
'wei'guo'yu'xian 味过于咸
'wei'guo'yu'xin 味过于辛
'wei'lun 痿论
'wei'lun'pian 痿论篇
'wei'lun'pian'di'si'shi'si 痿论篇第四十四
'wei'qi'jie'san 卫气解散
'wei'qi'nai'hou 胃气乃厚
'wei'sheng'ren'cong'zhi 唯圣人从之
'wei'wai'er'wei'gu'ye 卫外而为固也
'wei'wai'zhe'ye 卫外者也
'wei'you'cang'xing 未有藏形
'wei'zhong 为肿
'wo'ze'chuan'zhe 卧则喘者
'wu'ba 五八
'wu'chang'zheng'da'lun 五常政大论
'wu'chang'zheng'da'lun'pian 五常政大论篇
'wu'chang'zheng'da'lun'pian'di'qi'shi 五常政大论篇第七十
'wu'hui'chen'zhi'xin 无恚嗔之心
'wu'jian'wu'lu 无见雾露
'wu'kuai'qi'xin 务快其心
'wu'qi 五七
'wu'rao'hu'yang 勿扰乎阳
'wu'rao'jin'gu 无扰筋骨
'wu'wai'qi'zhi 无外其志
'wu'xie'pi'fu 无泄皮肤
'wu'yan'yu'ri 无厌于日
'wu'you'zhong'shi 无有终时
'wu'yun'xing'da'lun 五运行大论
'wu'yun'xing'da'lun'pian 五运行大论篇
'wu'yun'xing'da'lun'pian'di'liu'shi'qi 五运行大论篇第六十七
'wu'zang'bie'lun 五藏别论
'wu'zang'bie'lun'pian 五藏别论篇
'wu'zang'bie'lun'pian'di'shi'yi 五藏别论篇第十一
'wu'zang'sheng'cheng 五藏生成
'wu'zang'sheng'cheng'pian 五藏生成篇
'wu'zang'sheng'cheng'pian'di'shi 五藏生成篇第十
'wu'zang'shi'er'jie 五脏十二节
'xi'zai'huang'di 昔在黄帝
'xia'de'shen'mai 夏得肾脉
'xia'san'yue 夏三月
'xia'shang'yu'shu 夏伤于暑
'xia'wei'han'bian 夏为寒变
'xian'mai'wei'lou 陷脉为瘘
'xiang'si'ri'yue 象似日月
'xiao'jin'chi'chang 小筋驰长
'xie'bu'neng'hai 邪不能害
'xie'hai'kong'qiao 邪害空窍
'xie'qi'liu'lian 邪气留连
'xie'shang'gan'ye 邪伤肝也
'xin'an'er'bu'ju 心安而不惧
'xin'qi'chuan'man 心气喘满
'xin'qi'nei'dong 心气内洞
'xin'qi'yi 心气抑
'xing'bu'bu'zheng 行步不正
'xing'bu'yu'li'yu'shi 行不欲离于世
'xing'lao'er'bu'juan 形劳而不倦
'xing'nai'kun'bo 形乃困薄
'xing'ruo'er'qi'shuo 形弱而气烁
'xing'ti'bu'bi 形体不敝
'xing'ti'jie'ji 形体皆极
'xuan'ming'wu'qi 宣明五气
'xuan'ming'wu'qi'pian 宣明五气篇
'xuan'ming'wu'qi'pian'di'er'shi'san 宣明五气篇第二十三
'xue'qi'xing'zhi 血气形志
'xue'qi'xing'zhi'pian 血气形志篇
'xue'qi'xing'zhi'pian'di'er'shi'si 血气形志篇第二十四
'xue'yu'yi'bi 穴俞以闭
'xun'jin'ye'er'liu 循津液而流
'yang'bu'sheng'qi'yin 阳不胜其阴
'yang'cang'zhi'dao'ye 养藏之道也
'yang'chang'zhi'dao'ye 养长之道也
'yang'mi'nai'gu 阳密乃固
'yang'ming'mai'jie 阳明脉解
'yang'ming'mai'jie'pian 阳明脉解篇
'yang'ming'mai'jie'pian'di'san'shi 阳明脉解篇第三十
'yang'ming'mai'ni 阳明脉逆
'yang'ming'mai'shuai 阳明脉衰
'yang'qi'nai'jie 阳气乃竭
'yang'qi'shuai'jie'yu'shang 阳气衰竭于上
'yang'qi'zhe 阳气者
'yang'qi'zhe'bi'se 阳气者闭塞
'yang'sheng'zhi'dao'ye 养生之道也
'yang'shou'zhi'dao'ye 养收之道也
'yang'yi'zhun'sheng 疡医准绳
'yang'zhe 阳者
'ye'wo'zao'qi 夜卧早起
'yi'cong'qi'gen 以从其根
'yi'fa'fang'yi'lun 异法方宜论
'yi'fa'fang'yi'lun'pian 异法方宜论篇
'yi'fa'fang'yi'lun'pian'di'shi'er 异法方宜论篇第十二
'yi'gui'yu'zhen'ren 亦归于真人
'yi'han'zhi'han 以寒治寒
'yi'han'zhi're 以寒治热
'yi'hao'san'qi'zhen 以耗散其真
'yi'huan'qiu'xing 以缓秋刑
'yi'jing'bian'qi'lun 移精变气论
'yi'jing'bian'qi'lun'pian 移精变气论篇
'yi'jing'bian'qi'lun'pian'di'shi'san 移精变气论篇第十三
'yi'jiu'wei'jiang 以酒为浆
'yi'ke'shi'yi'shou'er'you'ji'shi 亦可使益寿而有极时
'yi'ke'yi'bai'shu 亦可以百数
'yi'men'fa'lv 医门法律
'yi'qi'de'quan'bu'wei'ye 以其德全不危也
'yi're'zhi'han 以热治寒
'yi're'zhi're 以热治热
'yi'ri'er'zhu'wai 一日而主外
'yi'shi'zhi'sheng 以使志生
'yi'tian'yu'wei'wu 以恬愉为务
'yi'wang'wei'chang 以妄为常
'yi'yu'jie'qi'jing 以欲竭其精
'yi'zi'de'wei'gong 以自得为功
'yi'zi'shang'er'sheng'xia'zhe'wei'ni 翳自上而生下者为逆
'yi'zong'jin'jian 医宗金鉴
'yin'bu'sheng'qi'yang 阴不胜其阳
'yin'er'bao'shi 因而饱食
'yin'er'da'yin 因而大饮
'yin'er'he'zhi 因而和之
'yin'er'qiang'li 因而强力
'yin'hai'jing'wei 银海精微
'yin'ping'yang'mi 阴平阳秘
'yin'qi'nai'jue 阴气乃绝
'yin'xie'bu'neng'huo'qi'xin 淫邪不能惑其心
'yin'yang'bie'lun 阴阳别论
'yin'yang'bie'lun'pian 阴阳别论篇
'yin'yang'bie'lun'pian'di'qi 阴阳别论篇第七
'yin'yang'he 阴阳和
'yin'yang'lei'lun 阴阳类论
'yin'yang'lei'lun'pian 阴阳类论篇
'yin'yang'lei'lun'pian'di'qi'shi'jiu 阴阳类论篇第七十九
'yin'yang'li'he 阴阳离合
'yin'yang'li'he'pian 阴阳离合篇
'yin'yang'li'he'pian'di'liu 阴阳离合篇第六
'yin'yang'li'jue 阴阳离决
'yin'yang'ying'xiang'da'lun 阴阳应象大论
'yin'yang'ying'xiang'da'lun'pian 阴阳应象大论篇
'yin'yang'ying'xiang'da'lun'pian'di'wu 阴阳应象大论篇第五
'yin'yu'han 因于寒
'yin'yu'lou'feng 因于露风
'yin'yu'qi 因于气
'yin'yu'shi 因于湿
'yin'yu'shu 因于暑
'yin'zhe 阴者
'yin'zhi'suo'sheng 阴之所生
'yin'zhi'wu'gong 阴之五宫
'ying'qi'bu'cong 营气不从
'you'er'xun'qi 幼而徇齐
'you'ni'qu'er'de'zhe 有逆取而得者
'you'qi'nian'yi'lao 有其年已老
'you'shang'yu'jin 有伤于筋
'you'xing'tian'di'zhi'jian 游行天地之间
'you'zhi'ren'zhe 有至人者
'yu'ban'lun'yao 玉版论要
'yu'ban'lun'yao'pian 玉版论要篇
'yu'ban'lun'yao'pian'di'shi'wu 玉版论要篇第十五
'yu'dao'xiang'shi 与道相失
'yu'er'wu'duo 予而勿夺
'yu'ji'ju'xing 与鸡俱兴
'yu'ji'zhen'cang'lun 玉机真藏论
'yu'ji'zhen'cang'lun'pian 玉机真藏论篇
'yu'ji'zhen'cang'lun'pian'di'shi'jiu 玉机真藏论篇第十九
'yu'ji'zhen'zang'lun 玉机真脏论
'yu'nai'cuo 郁乃痤
'yu'qi'hua'bo 俞气化薄
'yu'ru'yun'shu 欲如运枢
'yu'wen'shang'gu'you'zhen'ren'zhe 余闻上古有真人者
'yu'wen'shang'gu'zhi'ren 余闻上古之人
'yu'zhe'pei'zhi 愚者佩之
'yu'zhi'xian'bu'xiao 愚智贤不肖
'yue'shi'yi'shi'xia 月事以时下
'yun'wu'bu'jing 云雾不精
'zao'wo'wan'qi 早卧晚起
'zao'wo'zao'qi 早卧早起
'ze'chi'fa'qu 则齿发去
'ze'mai'liu'bo'ji 则脉流薄疾
'ze'qi'ni 则气逆
'ze'shang'ying'bai'lu'bu'xia 则上应白露不下
'ze'wan'bu'rong 则菀不荣
'ze'wei'yang'jue'mie 则未央绝灭
'ze'wu'zang'qi'zheng 则五脏气争
'ze'xie'qi'shang'ren 则邪气伤人
'ze'zhe'shou'er'bu'zhang 则折寿而不彰
'zei'feng'shu'zhi 贼风数至
'zhang'ci'jie'lun 长刺节论
'zhang'ci'jie'lun'pian 长刺节论篇
'zhang'ci'jie'lun'pian'di'wu'shi'wu 长刺节论篇第五十五
'zhang'fu'ba'sui 丈夫八岁
'zhang'you'tian'ming 长有天命
'zhe'zhi'jiao'lun 着至教论
'zhe'zhi'jiao'lun'pian 着至教论篇
'zhe'zhi'jiao'lun'pian'di'qi'shi'wu 着至教论篇第七十五
'zhen'jie 针解
'zhen'jie'pian 针解篇
'zhen'jie'pian'di'wu'shi'si 针解篇第五十四
'zhen'qi'cong'zhi 真气从之
'zhen'yao'jing'zhong'lun 诊要经终论
'zhen'yao'jing'zhong'lun'pian 诊要经终论篇
'zhen'yao'jing'zhong'lun'pian'di'shi'liu 诊要经终论篇第十六
'zheng'si'shi'lun 征四失论
'zheng'si'shi'lun'pian 征四失论篇
'zheng'si'shi'lun'pian'di'qi'shi'ba 征四失论篇第七十八
'zhi'pi'er'si 至脾而死
'zhi'wei'bing 治未病
'zhi'wei'luan 治未乱
'zhi'zhen'yao'da'lun 至真要大论
'zhi'zhen'yao'da'lun'pian 至真要大论篇
'zhi'zhen'yao'da'lun'pian'di'qi'shi'si 至真要大论篇第七十四
'zhong'gu'zhi'shi 中古之时
'zhong'guang'bu'zhu'huang'di'nei'jing'su'wen'xu 重广补注黄帝内经素问序
'zhu'bing'yuan'hou'lun 诸病源候论
'zhu'jin'ye 主津液
'zi'xia'sheng'shang'zhe'wei'shun 自下生上者为顺
'zu'sheng'da'ding 足生大丁
'zui'yi'ru'fang 醉以入房
