'a'er'ji'li'ya 阿尔及利亚
'guang'gao'liang 广告量
'guang'gao'pai 广告牌
'guang'gao'shi'duan 广告时段
'guang'gao'shi'jian 广告时间
'guang'gao'tou'fang'wei'zhi 广告投放位置
'guang'gao'tui'guang'huo'dong 广告推广活动
'guang'gao'ye'wu 广告业务
'guang'gao'zhu 广告主
'guang'gao'zong'hua'fei 广告总花费
'guang'gong'lv'ji 光功率计
'guang'gong'lv'yu'suan 光功率预算
'guang'he'bo'dan'yuan 光合波单元
'guang'he'lu'qi 光合路器
'guang'he'xin'jiao'huan 光核心交换
'guang'hou'du 光厚度
'guang'hu'lian'wang'lun'tan 光互联网论坛
'guang'ji'huo'cai'liao 光激活材料
'guang'jian'ce'qi 光检测器
'guang'jian'kong'xin'dao 光监控信道
'guang'jiao'huan'jie'dian 光交换节点
'guang'jie'fu'yong 光解复用
'guang'jie'kou 光接口
'guang'jie'kou'dan'yuan 光接口单元
'guang'jie'ru'wang'luo 光接入网络
'guang'jun'heng'she'bei 光均衡设备
'guang'kai'guan 光开关
'guang'ke'bian'shuai'jian'qi 光可变衰减器
'guang'lan 光缆
'guang'lan'lian'jie'zu'jian 光缆连接组件
'guang'lan'zu'jian 光缆组件
'guang'lian'jie'qi 光连接器
'guang'lian'xu'bo'fan'she'yi 光连续波反射仪
'guang'lu 光路
'guang'lu'jing 光路径
'guang'ma'fen'fu'yong 光码分复用
'guang'ou'he'qi 光耦合器
'guang'pan 光盘
'guang'pan'bao 光盘包
'guang'pan'he'pan'tuo 光盘盒盘托
'guang'pan'qu'dong'qi 光盘驱动器
'guang'pu'biao'shi 光谱表示
'guang'pu'fen'xi'yi 光谱分析仪
'guang'pu'fu'zhao'du 光谱辐照度
'guang'pu'kuan'du 光谱宽度
'guang'pu'liang'du 光谱亮度
'guang'pu'te'xing 光谱特性
'guang'pu'xian 光谱线
'guang'pu'xian'kuan'du 光谱线宽度
'guang'pu'xiang'ying'du 光谱响应度
'guang'qiang 光强
'guang'qiang'du 光强度
'guang'shan 光栅
'guang'shan'li'ti'xian'xiang'guan 光栅立体显像管
'guang'sheng'fu'da'xiao'ying 光生伏打效应
'guang'shi'yu'fan'she'yi 光时域反射仪
'guang'shu'ju'zong'xian 光数据总线
'guang'shu'zai'liu'han 光束再流焊
'guang'shu'zhi'jing 光束直径
'guang'shuai'hao'ji 光衰耗计
'guang'tong'ce'shi 光铜测试
'guang'tong'dao 光通道
'guang'tong'dao'bao'hu 光通道保护
'guang'tong'dao'chuan'song'dan'yuan 光通道传送单元
'guang'tong'xin'guo'ji'hui'yi'he'zhan'lan 光通信国际会议和展览
'guang'wang'luo'dan'yuan 光网络单元
'guang'wang'luo'ruan'jian'ping'tai 光网络软件平台
'guang'wang'luo'shi'zhi'bu 光网络试制部
'guang'wang'luo'zhong'duan 光网络终端
'guang'wang'luo'zhong'duan'guan'li'he'kong'zhi'jie'kou 光网络终端管理和控制接口
'guang'wang'luo'zhong'duan'guan'li'kong'zhi'jie'kou 光网络终端管理控制接口
'guang'wang'luo'zhong'duan'guan'li'kong'zhi'tong'dao 光网络终端管理控制通道
'guang'wang'yuan 光网元
'guang'xian 光纤
'guang'xian 光线
'guang'xian'bang'za'dai 光纤绑扎带
'guang'xian'chuan'gan'qi 光线传感器
'guang'xian'chuan'shu'sun'hao 光纤传输损耗
'guang'xian'dai'kuan 光纤带宽
'guang'xian'dao'hu'chang'jing 光纤到户场景
'guang'xian'dao'jie'dian 光纤到节点
'guang'xian'dao'lou'chang'jing 光纤到楼场景
'guang'xian'dao'lu'bian'chang'jing 光纤到路边场景
'guang'xian'dao'she'bei 光纤到设备
'guang'xian'dao'xiao'qu 光纤到小区
'guang'xian'dao'yong'hu 光纤到用户
'guang'xian'fen'bu'shi'shu'ju'jie'kou 光纤分布式数据接口
'guang'xian'fen'bu'shi'shu'zi'jie'kou 光纤分布式数字接口
'guang'xian'fen'pei'xi'tong 光纤分配系统
'guang'xian'gu'ding'kou 光纤固定扣
'guang'xian'huan'chong'ceng 光纤缓冲层
'guang'xian'huan'hui 光纤环回
'guang'xian'huo'dong'lian'jie'qi 光纤活动连接器
'guang'xian'jie'dian 光纤节点
'guang'xian'jie'ru'xi'tong 光纤接入系统
'guang'xian'jie'tou 光纤接头
'guang'xian'juan'rao'pan 光纤卷绕盘
'guang'xian'lian'jie 光纤连接
'guang'xian'lian'jie'qi 光纤连接器
'guang'xian'lian'jie'zu'jian 光纤连接组件
'guang'xian'lian'lu 光纤链路
'guang'xian'lu'bao'hu 光线路保护
'guang'xian'lu'fang'da'she'bei 光线路放大设备
'guang'xian'lu'zhong'duan 光线路终端
'guang'xian'ou'he'qi 光纤耦合器
'guang'xian'pei'xian'jia 光纤配线架
'guang'xian'shi'pei'qi 光纤适配器
'guang'xian'shu 光纤束
'guang'xian'tao'guan 光纤套管
'guang'xian'tiao'xian 光纤跳线
'guang'xian'tong'dao 光纤通道
'guang'xian'tong'xin'ban 光纤通信板
'guang'xian'xian'lu'zi'dong'jian'shi'xi'tong 光纤线路自动监视系统
'guang'xian'yong'hu'huan'wang 光纤用户环网
'guang'xian'yu'zhi'bang 光纤预制棒
'guang'xian'zhan'tie'kou 光纤粘贴扣
'guang'xian'zhi'fang'zhan 光纤直放站
'guang'xian'zhi'lian 光纤直连
'guang'xian'zhong'duan'zhuang'zhi 光纤终端装置
'guang'xian'zhou 光纤轴
'guang'xie'zhen'qiang 光谐振腔
'guang'xin 光芯
'guang'xin'zao'bi 光信噪比
'guang'xue'yue'du'ji 光学阅读机
'guang'xue'zhou 光学轴
'guang'xue'zi'fu'shi'bie 光学字符识别
'guang'yi'mai'chong'bian'ma'tiao'zhi 广义脉冲编码调制
'guang'yu'cha'fen'xing'quan'qiu'dao'hang'wei'xing'xi'tong 广域差分型全球导航卫星系统
'guang'yu'ji'qun'guan'li 广域集群管理
'guang'yu'jie'kou'zi'ceng 广域接口子层
'guang'yu'kuo'zeng'xi'tong 广域扩增系统
'guang'yu'wang 广域网
'guang'yu'wang'jie'kou 广域网接口
'guang'yuan 光源
'guang'yuan'xiao'lv 光源效率
'guang'zai'bo 光载波
'guang'zai'sheng'zhong'ji'qi 光再生中继器
'guang'zhong'duan'fu'yong'qi 光终端复用器
'guang'zhuan'huan'qi'dan'yuan 光转换器单元
'guang'zi 光子
'gui'bi 规避
'gui'bi'cao'zuo 规避操作
'gui'bi'cuo'shi 规避措施
'gui'bi'ji'hua 规避计划
'gui'cheng'fen'xi'yi 规程分析仪
'gui'dang 归档
'gui'dang'gong'dan 归档工单
'gui'dang'ji'shi'lv 归档及时率
'gui'dao 轨道
'gui'gang'pian 硅钢片
'gui'gu 硅谷
'gui'kong'zheng'liu'qi 硅控整流器
'gui'lei'xiang'mu 归类项目
'gui'mo'bu'jing'ji 规模不经济
'gui'mo'jing'ji 规模经济
'gui'mo'shou'yi'bu'bian 规模收益不变
'gui'shu'dai'li 归属代理
'gui'shu'di 归属地
'gui'shu'gong'gong'lu'di'yi'dong'wang 归属公共陆地移动网
'gui'shu'wang'luo 归属网络
'gui'shu'wei'zhi'ji'cun'qi 归属位置寄存器
'gui'shu'wei'zhi'ji'cun'qi'shu'ju'ku 归属位置寄存器数据库
'gui'shu'yong'hu'fu'wu'qi 归属用户服务器
'gui'shu'yu 归属域
'gui'yi'hua'dao'na 归一化导纳
'gui'yi'hua'fu'shu'bo'zhen'fu 归一化复数波振幅
'gui'yi'hua'jian'ce'ling'min'du 归一化检测灵敏度
'gui'yi'hua'pu'mi'du 归一化谱密度
'gui'yi'hua'xin'zao'bi 归一化信噪比
'gui'yi'hua'zu'kang 归一化阻抗
'gui'ze'bian'hao 规则编号
'gui'ze'shun'cong 规则顺从
'gui'ze'yin'qing 规则引擎
'gui'zhi 硅脂
'gun'dong 滚动
'gun'dong'kuang 滚动框
'gun'dong'tiao 滚动条
'gun'dong'yu'ce 滚动预测
'gun'dong'zhi 滚动至
'gun'jiang 滚降
'gun'lun 滚轮
'gun'tong'shi'fa'song'ji 滚筒式发送机
'gun'tong'shi'jie'shou'ji 滚筒式接收机
'gun'tong'yin'shu 滚筒因数
'guo'bao'wei'bao 过保维保
'guo'cai'yang 过采样
'guo'cheng'gen'zong 过程跟踪
'guo'cheng'jiao'fu'jian 过程交付件
'guo'cheng'neng'li'ji'xian 过程能力基线
'guo'cheng'zhi'biao 过程指标
'guo'cheng'zi'chan'ku 过程资产库
'guo'chong'dian'ya 过冲电压
'guo'dian'ya 过电压
'guo'du'qu 过渡区
'guo'du'shu'xing 过渡属性
'guo'duan'jue'ce 果断决策
'guo'guang'jiao 过光胶
'guo'hu 过户
'guo'ji'an'quan'chuan'shu'xie'hui 国际安全传输协会
'guo'ji'biao'zhun'hua'zu'zhi 国际标准化组织
'guo'ji'cai'jing'bu 国际财经部
'guo'ji'cai'tuan 国际财团
'guo'ji'cai'wu'bao'gao'zhun'ze 国际财务报告准则
'guo'ji'chang'tu 国际长途
'guo'ji'dian'gong'ji'shu'wei'yuan'hui 国际电工技术委员会
'guo'ji'dian'gong'wei'yuan'hui 国际电工委员会
'guo'ji'dian'lian'dian'xin'biao'zhun'hua'bu'men 国际电联电信标准化部门
'guo'ji'dian'lu 国际电路
'guo'ji'dian'xin'lian'meng 国际电信联盟
'guo'ji'er'hao'dian'ma 国际二号电码
'guo'ji'er'ji'xuan'ze 国际二级选择
'guo'ji'gong'neng'hao 国际功能号
'guo'ji'gong'yong'dian'bao'wang 国际公用电报网
'guo'ji'guan'kou'ju 国际关口局
'guo'ji'heng'ding'bi'te'lv 国际恒定比特率
'guo'ji'hong'wai'shu'ju'xie'hui 国际红外数据协会
'guo'ji'hu'jiao'qian'zhuan 国际呼叫前转
'guo'ji'hua'she'ji 国际化设计
'guo'ji'jiao'liu'ying'yu'kao'shi 国际交流英语考试
'guo'ji'jing'ji'he'zuo'yu'fa'zhan'zu'zhi 国际经济合作与发展组织
'guo'ji'kuai'ji'zhun'ze 国际会计准则
'guo'ji'san'hao'dian'ma 国际三号电码
'guo'ji'shang'biao'xie'hui 国际商标协会
'guo'ji'shui'wu'chu 国际税务处
'guo'ji'si'hao'dian'ma 国际四号电码
'guo'ji'tie'lu'lian'meng 国际铁路联盟
'guo'ji'wang'qian'zhui 国际网前缀
'guo'ji'wu'hao'dian'ma 国际五号电码
'guo'ji'xiang'dui'tai'yang'hei'zi'shu 国际相对太阳黑子数
'guo'ji'xin'ling'dian 国际信令点
'guo'ji'xin'ling'dian'bian'ma 国际信令点编码
'guo'ji'xin'ling'wang'luo 国际信令网络
'guo'ji'xuan'ze'xu'lie 国际选择序列
'guo'ji'ye'wu'de'ban'zi'dong'dian'hua'cao'zuo 国际业务的半自动电话操作
'guo'ji'ye'wu'wang'guan 国际业务网关
'guo'ji'yi'dong'dian'hua'ye'wu 国际移动电话业务
'guo'ji'yi'dong'ji'zhan'shi'bie'ma 国际移动基站识别码
'guo'ji'yi'dong'she'bei'biao'zhi 国际移动设备标识
'guo'ji'yi'dong'tai'biao'zhi'de'gong'zuo'zhi 国际移动台标识的工作值
'guo'ji'yi'dong'tai'she'bei'biao'zhi'he'ruan'jian'ban'ben 国际移动台设备标识和软件版本
'guo'ji'yi'dong'yong'hu'dian'hua'hao'ma 国际移动用户电话号码
'guo'ji'yi'dong'yong'hu'shi'bie'ma 国际移动用户识别码
'guo'ji'yi'dong'zu'biao'zhi 国际移动组标识
'guo'ji'yi'hao'dian'ma 国际一号电码
'guo'ji'ying'xiao'bu 国际营销部
'guo'ji'yuan'zi'shi 国际原子时
'guo'ji'zhi'bo 国际直拨
'guo'ji'zhuan'li'fen'lei 国际专利分类
'guo'ji'zhuan'li'fen'lei'xie'ding 国际专利分类协定
'guo'jia'dai'biao 国家代表
'guo'jia'feng'xian'lei 国家风险类
'guo'jia'gong'ying'shang 国家供应商
'guo'jia'tong'dao'dan'yuan 国家通道单元
'guo'jia'yi'dong'hao'ma 国家移动号码
'guo'jia'zhi'liang'jian'du'jian'yan'jian'yi'zong'ju 国家质量监督检验检疫总局
'guo'jia'zhu'ce'guan'li'ju 国家注册管理局
'guo'jia'zhu'quan'feng'xian 国家主权风险
'guo'liang'ku'cun 过量库存
'guo'liang'ying'yong 过量应用
'guo'liu'bao'hu 过流保护
'guo'lv'gui'ze 过滤规则
'guo'lv'shu 过滤树
'guo'lv'zhong'zi 过滤种子
'guo'mo'bo'dao 过模波导
'guo'nei'cai'wu'bu 国内财务部
'guo'nei'chang'tu 国内长途
'guo'nei'gong'neng'hao 国内功能号
'guo'nei'he'tong'tong'chou'bu 国内合同统筹部
'guo'nei'man'you 国内漫游
'guo'nei'man'you'yong'hu 国内漫游用户
'guo'nei'mu'di'ma 国内目的码
'guo'nei'sheng'chan'zong'zhi 国内生产总值
'guo'nei'ye'wu'de'ban'zi'dong'dian'hua'cao'zuo 国内业务的半自动电话操作
'guo'nei'ye'wu'qu 国内业务区
'guo'nei'yi'dong'tai'biao'zhi 国内移动台标识
'guo'nei'yi'dong'yong'hu'shi'bie'ma 国内移动用户识别码
'guo'nei'yong'fu'zhong'xin 国内用服中心
'guo'nei'yong'hu'dian'bao'hao'ma 国内用户电报号码
'guo'qi 过期
'guo'qi'pin'pai 过气品牌
'guo're'bao'hu 过热保护
'guo'sao'miao 过扫描
'guo'su 过速
'guo'ya'bao'hu'qi 过压保护器
'guo'ya'bao'hu'zhuan'jie'ban 过压保护转接板
'guo'zai 过载
'guo'zai'fa'zhi 过载阀值
'guo'zai'kong'zhi 过载控制
'guo'zai'zhi'shi 过载指示
'guo'zhang 过账
'guo'zhang 过帐
'guo'zhang'ri'qi 过帐日期
'guo'zhang'wen'jian 过帐文件
'guo'zhang'zan'gua 过帐暂挂
'guo'zhang'zhou'qi 过帐周期
'ha'tuo'lai 哈脱莱
'ha'xi'biao 哈西表
'ha'xi'gong'neng 哈希功能
'ha'xi'suo'yin 哈希索引
'hai'an'di'qiu'zhan 海岸地球站
'hai'an'dian'tai 海岸电台
'hai'dao'fa'she'ji 海盗发射机
'hai'er'xi'tong 海尔系统
'hai'guan 海关
'hai'guan'fang'xing 海关放行
'hai'la'er 海拉尔
'hai'shang'yi'dong'tong'xin'ye'wu 海上移动通信业务
'hai'wai'cai'wu'xiang'mu 海外财务项目
'hai'wai'gong'cheng'bu 海外工程部
'hai'wai'he'tong'tong'chou'bu 海外合同统筹部
'hai'wai'he'tong'wen'dang'fu'wu'qi 海外合同文档服务器
'hai'wai'ren'shi'chu 海外人事处
'hai'wai'xiao'shou 海外销售
'hai'wai'yan'jiu'suo 海外研究所
'hai'wai'yong'fu'zhong'xin 海外用服中心
'han'duan 焊端
'han'gao 焊膏
'han'guo'guo'ji'xie'li'tuan 韩国国际协力团
'han'guo'ke'xue'ji'shu'yuan 韩国科学技术院
'han'ji 焊剂
'han'ji'can'yu'wu 焊剂残余物
'han'ji'huo'hua'wen'du 焊剂活化温度
'han'jie'ji'gui 焊接机柜
'han'jie'luo'mu 焊接螺母
'han'jie'mian 焊接面
'han'jie'xing 焊接性
'han'jie'you 焊接油
'han'liao'cao 焊料槽
'han'liao'cui'xing 焊料脆性
'han'liao'fei'jian 焊料飞溅
'han'liao'sai 焊料塞
'han'ming'jian'ju 汉明间距
'han'pian 焊片
'han'shui'jia'ge 含税价格
'han'xi'si 焊锡丝
'han'zhu'han'liao'zhu 焊珠焊料珠
'hang'bo'tian'xian 行波天线
'hang'di'zhi'xuan'tong 行地址选通
'hang'jian'shan'shuo 行间闪烁
'hang'kong'di'qiu'zhan 航空地球站
'hang'kong'dian'tai 航空电台
'hang'kong'qi'di'qiu'zhan 航空器地球站
'hang'kong'qi'dian'tai 航空器电台
'hang'kong'wei'xing'yi'dong'ye'wu 航空卫星移动业务
'hang'kong'wu'xian'dian'dao'hang'ye'wu 航空无线电导航业务
'hang'kong'yi'dong'ye'wu 航空移动业务
'hang'lie'bian'hao 行列编号
'hang'pin 行频
'hang'sao'miao 行扫描
'hang'sao'miao'zhou'qi 行扫描周期
'hang'tian'qi 航天器
'hang'tian'tan'ce'qi 航天探测器
'hang'ye'ji'zhong'du 行业集中度
'hang'ye'jie'jue'fang'an'zhong'xin 行业解决方案中心
'hang'ye'wang'guan'cai'xin'jie'ru 行业网关彩信接入
'hang'ye'wang'guan'duan'xiao'xi'jie'ru 行业网关短消息接入
'hang'ye'wang'guan'guan'li'mo'kuai 行业网关管理模块
'hang'ye'wang'guan'jie'ru'mo'kuai 行业网关接入模块
'hang'ye'xing'xiang 行业形象
'hang'ye'ying'yong'cheng'xu 行业应用程序
'hang'ye'ying'yong'wang'guan 行业应用网关
'hang'ye'za'zhi 行业杂志
'hao'duan 号段
'hao'duan'chu'fa 号段触发
'hao'fei'gong'si'zi'jin 耗费公司资金
'hao'ma'bai'shi'tong 号码百事通
'hao'ma'bang'ding 号码绑定
'hao'ma'bian'geng'tong'zhi 号码变更通知
'hao'ma'bian'huan 号码变换
'hao'ma'deng'ji 号码等级
'hao'ma'duan'kou'guan'li'zi'xi'tong 号码端口管理子系统
'hao'ma'dui'zhao'biao 号码对照表
'hao'ma'fen'pei'mo'kuai 号码分配模块
'hao'ma'fen'xi 号码分析
'hao'ma'gui'shu'wang'luo 号码归属网络
'hao'ma'gui'ze 号码规则
'hao'ma'hui'shou 号码回收
'hao'ma'luo'ji 号码逻辑
'hao'ma'wei'zhi'ji'cun'qi 号码位置寄存器
'hao'ma'xie'dai 号码携带
'hao'ma'yi'dong 号码移动
'hao'mi'bo 毫米波
'hao'ming'qi 嗥鸣器
'hao'pan'hua'ji 号盘话机
'hao'shou 号首
'hao'shou'ji 号首集
'hao'shu'zi'yong'hu'xin'ling 号数字用户信令
'hao'sun'shi'xiao'lv 耗损失效率
'hao'xian 号线
'hao'xin'ling'lian'lu'chu'li'dan'yuan 号信令链路处理单元
'hao'you'ji'bo'li 号有机玻璃
'he'bing 合并
'he'bing'bao'gao 合并报告
'he'bing'fu'zhi 合并复制
'he'bing'pai'xu 合并排序
'he'bing'xu'lie 合并序列
'he'bing'zhang'bo'ji 合并帐薄集
'he'bing'zhuan 合并转
'he'cheng'kong'jing'lei'da 合成孔径雷达
'he'cheng'qi 合成器
'he'cheng'xiang'jiao 合成橡胶
'he'dai 盒带
'he'dai'ma'li'qi 核代码理器
'he'ding'zi'ben 核定资本
'he'fa'jian'ting'chu'li'dan'yuan 合法监听处理单元
'he'fa'jian'ting'guan'li'jie'dian 合法监听管理节点
'he'fa'jian'ting'wang'guan 合法监听网关
'he'fa'xing'jian'cha 合法性检查
'he'fa'yong'hu 合法用户
'he'fen'da'er'he'xi'man'zhi'shu 赫芬达尔赫希曼指数
'he'fen'lu'dan'yuan 合分路单元
'he'ge'chan'pin'qing'dan 合格产品清单
'he'ge'gong'ying'shang'qing'dan 合格供应商清单
'he'ge'ling'bu'jian 合格零部件
'he'ge'piao'ju 合格票据
'he'ji 和记
'he'jie'yu'qing'chang 和解与清偿
'he'lan'dian'gong'ji'shu'wei'yuan'hui 荷兰电工技术委员会
'he'li'cheng'ben 合理成本
'he'li'xing'jian'cha 合理性检查
'he'she 合设
'he'shi'jian'rong 贺氏兼容
'he'shi'shou'lu'liang'yong'ji 盒式收录两用机
'he'shu'jiao'yan 和数校验
'he'tong 合同
'he'tong'bian'geng'jue'ce 合同变更决策
'he'tong'bian'geng'qing'qiu 合同变更请求
'he'tong'bu'zai'xu'qian 合同不再续签
'he'tong'cai'gou 合同采购
'he'tong'cheng'tao'chu 合同成套处
'he'tong'chu'li'ping'tai 合同处理平台
'he'tong'fen'qian 合同分签
'he'tong'guan'bi'jue'ce 合同关闭决策
'he'tong'guan'bi'jue'ce'dian 合同关闭决策点
'he'tong'guan'li 合同管理
'he'tong'guan'li'bu 合同管理部
'he'tong'guan'li'ji'lv'xing'zhi'chi'bu 合同管理及履行支持部
'he'tong'guan'li'yuan 合同管理员
'he'tong'hao 合同号
'he'tong'jiao'fu'guan'li'tuan'dui 合同交付管理团队
'he'tong'jiao'fu'wen'ti'guan'li'dian'zi'liu 合同交付问题管理电子流
'he'tong'jiao'jie 合同交接
'he'tong'jing'li 合同经理
'he'tong'lei'xing 合同类型
'he'tong'lv'xing'wen'ti 合同履行问题
'he'tong'lv'xing'xi'tong 合同履行系统
'he'tong'lv'xing'ze'ren'ren 合同履行责任人
'he'tong'ping'shen'gong'cheng'shi 合同评审工程师
'he'tong'qi'xian 合同期限
'he'tong'shen'ji 合同审计
'he'tong'shen'pi 合同审批
'he'tong'shi'ji'zong'shou'ru 合同实际总收入
'he'tong'tiao'kuan 合同条款
'he'tong'wen'ti'fan'kui'biao 合同问题反馈表
'he'tong'wen'ti'fan'kui'dan 合同问题反馈单
'he'tong'xin'xi'biao 合同信息表
'he'tong'xu'qian 合同续签
'he'tong'ying'lv 合同赢率
'he'tong'zhi'yuan'gong 合同制员工
'he'tong'zhuang'tai'gen'zong'bao'gao 合同状态跟踪报告
'he'tong'zong'jin'e 合同总金额
'he'tong'zun'cong'du 合同遵从度
'he'xiao 核销
'he'xin'bian'jie'wang'guan'gong'neng 核心边界网关功能
'he'xin'ceng 核心层
'he'xin'chuan'song'yu 核心传送域
'he'xin'gong'zuo'tuan'dui 核心工作团队
'he'xin'hao 和信号
'he'xin'jing'zheng'li 核心竞争力
'he'xin'lu'you 核心路由
'he'xin'lu'you'biao 核心路由表
'he'xin'lu'you'qi 核心路由器
'he'xin'luo'ji 核心逻辑
'he'xin'shu'ju'mo'xing 核心数据模型
'he'xin'su'zhi 核心素质
'he'xin'tuan'dui 核心团队
'he'xin'wang'dai'li'fu'wu'qi 核心网代理服务器
'he'xin'wang'guan'li'zu'jian 核心网管理组件
'he'xin'wang'luo 核心网络
'he'xin'wang'luo'dian'lu'jiao'huan'yu 核心网络电路交换域
'he'xin'wang'luo'fen'zu'jiao'huan'yu 核心网络分组交换域
'he'xin'xiao'fei'zhe 核心消费者
'he'xin'ye'wu'liu'cheng 核心业务流程
'he'xin'zhi'neng'de'ping'gu'yu'jian'li 核心职能的评估与建立
'he'xin'zhi'neng'wang'ying'yong'gui'cheng 核心智能网应用规程
'he'xing'tian'xian 盒形天线
'he'zi'bo'dian'ci'bo 赫兹波电磁波
'he'zi'he'zuo'bu 合资合作部
'he'zi'qi'ye 合资企业
'he'zong'lian'heng 合纵连横
'he'zuo'chu'li 合作处理
'he'zuo'fang 合作方
'he'zuo'huo'ban 合作伙伴
'he'zuo'huo'ban'guan'li 合作伙伴管理
'he'zuo'huo'ban'guan'xi'guan'li 合作伙伴关系管理
'he'zuo'huo'ban'pei'xun'he'shi'neng 合作伙伴培训和使能
'he'zuo'huo'ban'shi'bie'he'zhao'mu 合作伙伴识别和招募
'he'zuo'huo'ban'zhan'lue 合作伙伴战略
'he'zuo'lian'meng 合作联盟
'he'zuo'tuo'zhan'shi'chang 合作拓展市场
'he'zuo'xiang'mu 合作项目
'he'zuo'xiao'shou 合作销售
'he'zuo'xue'xi 合作学习
'he'zuo'yin'shu 合作因数
'he'zuo'ying'xiao 合作营销
'he'zuo'zhi'shu 合作指数
'hei'bai'dian'shi'guang'bo 黑白电视广播
'hei'bai'ming'dan 黑白名单
'hei'bai'qi 黑白棋
'hei'chang'dian'ping 黑场电平
'hei'dian'ping'pian'yi 黑电平偏移
'hei'dian'ping'qian'wei 黑电平箝位
'hei'dong'biao'xiang 黑洞表项
'hei'dui'xiang 黑对相
'hei'he'ce'shi 黑盒测试
'hei'mao'zi 黑帽子
'hei'ming'dan 黑名单
'hei'se'biao'qian'wen'jian'jia 黑色标签文件夹
'hei'xiang'jia'shen 黑象加深
'heng'cheng'jian 横撑件
'heng'ci'mo 横磁模
'heng'dian'ci'bo 横电磁波
'heng'dian'ci'mo 横电磁模
'heng'dian'mo 横电模
'heng'fu'guang'gao 横幅广告
'heng'liang 横梁
'heng'lie'ding'xiang'tian'xian 横列定向天线
'heng'sheng'zhi'shu 恒生指数
'heng'tong'dao 横通道
'heng'wen'jing'zhen 恒温晶振
'heng'xian'su'du 恒线速度
'heng'xiang'chuan'bo 横向传播
'heng'xiang'da'yin 横向打印
'heng'xiang'dou'dong 横向抖动
'heng'xiang'fen'liang 横向分量
'heng'xiang'gan'she'ce'liang'fa 横向干涉测量法
'heng'xiang'ge'shi 横向格式
'heng'xiang'jian'rong 横向兼容
'heng'xiang'tiao'gang 横向调岗
'heng'xiang'zhi'biao 横向制表
'hong'chou'gong'si 红筹公司
'hong'fen'ji 宏分集
'hong'feng'wo 宏蜂窝
'hong'guan'guan'li 宏观管理
'hong'ming'dan 红名单
'hong'wai'wang'luo'lian'jie 红外网络连接
'hong'wai'xian 红外线
'hong'wan 宏弯
'hong'wan'sun'hao 宏弯损耗
'hong'zha'bo'da 轰炸拨打
'hong'zhi'ling 宏指令
'hou'bei'gong'ying'shang'dang'an 后备供应商档案
'hou'bei'yu'kou 后备预扣
'hou'cha'ban 后插板
'hou'cha'cun'chu'dan'yuan 后插存储单元
'hou'chu'li'ti'qian'qi 后处理提前期
'hou'dai 后代
'hou'du 厚度
'hou'duan 后端
'hou'fu'fei 后付费
'hou'fu'fei'ye'wu 后付费业务
'hou'fu'fei'yong'hu 后付费用户
'hou'gu 喉箍
'hou'guan'li'mo'kuai 后管理模块
'hou'ji'jie'dian 后继结点
'hou'jian'ku'cun'chu'li'fa 后减库存处理法
'hou'jin'xian'chu 后进先出
'hou'jin'xian'chu'cheng'ben'guan'li 后进先出成本管理
'hou'men 后门
'hou'men'men'jin 后门门禁
'hou'men'xiao'shou 后门销售
'hou'mian'ban 后面板
'hou'mo 厚膜
'hou'mo'dian'lu 厚膜电路
'hou'qi'zhi'zuo 后期制作
'hou'qin'kong'zhi 后勤控制
'hou'qin'yan'chi 后勤延迟
'hou'ren 后任
'hou'ru'xian'chu 后入先出
'hou'shi 后市
'hou'shi'tu 后视图
'hou'tai'cheng'xu 后台程序
'hou'tai'chu'li 后台处理
'hou'tai'wei'hu'zhong'duan 后台维护终端
'hou'xiang 后像
'hou'xiang 后向
'hou'xiang'bao'chi 后项保持
'hou'xiang'chai'xian 后向拆线
'hou'xiang'chai'xian'xin'hao 后向拆线信号
'hou'xiang'jia'quan 后向加权
'hou'xiang'jian'li'cheng'gong'xin'xi'xiao'xi 后向建立成功信息消息
'hou'xiang'jian'li'xin'hao 后向建立信号
'hou'xiang'mang 后向忙
'hou'xiang'que'xian'zhi'shi 后向缺陷指示
'hou'xiang'san'she 后向散射
'hou'xiang'san'she'dian'li'ceng'tan'ce 后向散射电离层探测
'hou'xiang'shun'xu'hao'ma 后向顺序号码
'hou'xiang'xin'hao 后向信号
'hou'xiang'yong'hu 后向用户
'hou'xu 后序
'hou'xu'bian'ma 后续编码
'hou'xu'di'zhi'xiao'xi 后续地址消息
'hou'xu'qie'huan 后续切换
'hou'xu'ri'qi 后续日期
'hou'xu'xin'hao'dan'yuan 后续信号单元
'hou'xu'xing'dong'cuo'shi 后续行动措施
'hou'xuan'guan'jian'zi 候选关键字
'hou'xuan'ji 候选集
'hou'xuan'ren 候选人
'hou'yan'zhan'kuan 后沿展宽
'hou'yuan 后援
'hou'zhi'fang'da 后置放大
'hou'zhi'xin'hao 后置信号
'hou'zhui 后缀
'hu'bu'kong'zhi'shi'fang 互不控制释放
'hu'bu'xing'jin'shu'yang'hua'wu'ban'dao'ti 互补型金属氧化物半导体
'hu'cao'zuo'xing 互操作性
'hu'cao'zuo'xing'she'ji 互操作性设计
'hu'chi'liang 互斥量
'hu'chi'zu 互斥组
'hu'chu 呼出
'hu'chu'ting'ji 呼出停机
'hu'chu'xian'zhi 呼出限制
'hu'chu'xian'zhi'ye'wu 呼出限制业务
'hu'dong 互动
'hu'hang'liu'lan 护航浏览
'hu'hao 呼号
'hu'he'hao'te 呼和浩特
