'ai'si'suo'qian'yin 爱思所牵引
'ru'ci'sheng'zhi'yin 如此生之因
'ru'dao'guo'fu'qi 如道过复起
'ru'gen'ru'se'wei 如根如色味
'ru'he'neng'zheng'zhi 如何能证知
'ru'he'shi'yi'zuo 如何失已作
'ru'he'xu'suo'yi 如何需所依
'ru'he'xu'wo'mie 如何许我灭
'ru'he'you'ji'yin 如何有即因
'ru'he'you'qu'bi 如何有取彼
'ru'huang'ye'huang'niu 如黄野黄牛
'ru'hui'bu'ding'gu 如灰不定故
'ru'hui'wu'tui'huo 如灰物推火
'ru'huo'deng'ran'chai 如火等燃柴
'ru'huo'hong'tong'ye 如火红铜液
'ru'huo'yu'ping'deng 如火于瓶等
'ru'huo'yu'xin'jin 如火于薪金
'ru'jian'wei'de'nv 如见未得女
'ru'jin'zhi'ying'xing 如金之硬性
'ru'li'shen'fa'deng 如离身发等
'ru'li'tan'tan'yan 如离贪贪厌
'ru'mu'bu'ming'zhe 如目不明者
'ru'ni'wu'bian'yi 如泥无变异
'ru'qian'guo'yi'tong 如前过亦同
'ru're'tan'deng'bian 如热贪等变
'ru'ruo'bi'wu'you 如若彼无有
'ru'se'deng'bu'ding 如色等不定
'ru'she'suo'yao'zhi 如蛇所咬肢
'ru'sheng'yi'xu'kong 如声依虚空
'ru'shi'bu'cheng'chen 如是不成嗔
'ru'shi'cheng'qu'gu 如识成取故
'ru'shi'ci'shi'fei 如是此是非
'ru'shi'ci'yi'er 如是此亦尔
'ru'shi'xiu'qian'qian 如是修前前
'ru'shi'you'cha'yi 如是有差异
'ru'shui'ru'jin'gong 如水如金汞
'ru'tiao'ji'shui'wen 如跳及水温
'ru'wai'fei'shi'ti 如外非实体
'ru'wu'zhong'zi'ya 如无种子芽
'ru'xin'bie'you'zhe 如心别有者
'ru'xing'gu'zheng'niu 如行故证牛
'ru'yi'zhe'jin'cheng 如一者尽成
'ru'yu'yu'yu'nv 如欲于余女
'rui'deng'wu'you'yin 锐等无有因
'ruo'bi'cheng'wu'yong 若彼成无用
'ruo'bi'li'yin'gu 若彼离因故
'ruo'bi'yi'ta'yi 若彼亦他义
'ruo'bi'you'shen'sheng 若彼由身生
'ruo'bu'li'da'xing 若不离大性
'ruo'bu'xu'wo'suo 若不许我所
'ruo'da'zhong'bie'zhi 若大种别致
'ruo'duan'qi'you'you 若断岂有有
'ruo'fei'duo'zhi'yin 若非多之因
'ruo'fei'jie'jia'li 若非皆假立
'ruo'he'shi'shi'yin 若何事是因
'ruo'jin'ming'ming'xu 若近命名许
'ruo'ru'deng'xin'deng 若如灯心等
'ruo'shen'dun'sheng'shi 若身顿生识
'ruo'shi'yi'ta'mie 若事依他灭
'ruo'shi'zi'mie'xing 若是自灭性
'ruo'sui'ci'li'xu 若随此理许
'ruo'tan'deng'sui'yi 若贪等虽异
'ruo'wei'jian'qu'lai 若未见去来
'ruo'wei'jin'er'qin 若为尽二勤
'ruo'wei'jin'yu'gong 若谓金与汞
'ruo'wei'ku'suo'yi 若谓苦所依
'ruo'wei'ru'shui'deng 若谓如水等
'ruo'xu'ci'jia'li 若许此假立
'ruo'yi'ku'xing'li 若依苦行力
'ruo'yi'shi'zhi'duo 若一识知多
'ruo'yi'xu'tan'deng 若亦许贪等
'ruo'yin'yi'zeng'zhang 若因已增长
'ruo'you'bu'deng'sheng 若由不等生
'ruo'you'qian'tong'lei 若由前同类
'ruo'you'qu'she'bie 若有取舍别
'ruo'yu'dui'zhi'xi 若与对治系
'ruo'yu'wo'li'tan 若于我离贪
'ruo'yu'yuan'an'le 若欲愿安乐
'ruo'zeng'jian'zeng'gu 若增减增故
'ruo'zhi'fei'zi'lei 若执非自类
'sa'jia'ban'zhi'da 萨迦班智达
'san'ben'si'zhi 三本四支
'san'mie'jie'cheng'wu 散灭皆成无
'san'xiang'tui'li 三相推理
'san'yin'sheng'fei'you 三因生非有
'se'deng'yi'fen'zhi 色等亦分支
'shan'shi 善逝
'shan'xiu'ji'zheng'jian 善修即正见
'shao'sheng'zhi'ben'xing 少生之本性
'she'bi'cha'bie'zhe 设彼差别者
'she'fei'zi'mie'xing 设非自灭性
'she'jian'yuan'wei'liang 设见远为量
'she'ruo'gen'wu'you 设若根无有
'she'ruo'tan'you'guo 设若贪有过
'she'ruo'yi'bi'guo 设若依彼过
'she'wei'huo'mie'shi 设谓火灭时
'she'wei'jian'tan'sheng 设谓见贪生
'she'wei'sui'zhuan'yi 设谓虽转依
'she'wei'yu'bi'tong 设谓与彼同
'she'wei'yu'zhi'tong 设谓与之同
'she'wei'zui'deng'li 设谓醉等力
'she'xu'yi'qie'shi 设许一切事
'she'yu'mie'yin'qian 设遇灭因前
'she'zhi'de'shi'zhi 设执德是支
'she'zi'zhong'zi'guo 设自种子果
'shen'ci'di'cheng'shi 身次第成识
'shen'deng'shi'nian'deng 身等失念等
'shen'ruo'an'zhu'shi 身若安住时
'shen'ti'wu'zeng'jian 身体无增减
'shen'ti'zhi'neng'li 身体之能力
'shen'xin'yi'ru'shi 身心亦如是
'shen'yi'ying'ju'de 身亦应具德
'shen'you'wei'pin'gu 身有违品故
'shen'yu'yi'zhi'ran 身语意之染
'sheng'ai'er'shu'fu 生爱而束缚
'sheng'gu'cheng'wei'yin 生故称为因
'sheng'guo'ji'bing'cun 生果即并存
'sheng'guo'ji'xing'qi 生过即兴起
'sheng'jiao'liang 圣教量
'sheng'ku'gu'ru'zhi 生苦故如指
'sheng'ku'yin'ji'fu 生苦因即缚
'sheng'lin'jiao'yu'deng 胜麟角喻等
'sheng'qi'ling'shou'zhi'xin'shi 生起领受之心识
'sheng'shi'yong'yi'gu 生识用异故
'sheng'wai'you'wu'xue 胜外有无学
'sheng'ya'tu'shui'deng 生芽土水等
'sheng'yi'liang 胜义量
'sheng'yin'ruo'bi'wu 生因若彼无
'sheng'yu'shen'zhi'yin 生余身之因
'sheng'zong'xiang 声总相
'shi'bu'tui'zhuan'xing 是不退转性
'shi'cheng'ge'xiang'yi 识成各相异
'shi'cheng'ze'cheng'li 事成则成立
'shi'chi'bi'fa'gu 识持彼法故
'shi'de'er'ai'lian 视德而爱恋
'shi'fa'bei'min'sheng 实法悲悯生
'shi'gong'neng'ding'gu 识功能定故
'shi'gou'gu'wei'niu 是够故为牛
'shi'gu'bi'deng'sheng 是故彼等生
'shi'gu'cha'yi'cheng 是故差异成
'shi'gu'cheng'liang'xing 是故成量性
'shi'gu'fei'wei'chen 是故非微尘
'shi'gu'hu'wei'guo 是故互为果
'shi'gu'shuo'ci'yi 是故说此依
'shi'gu'wo'suo'xin 是故我所心
'shi'gu'wu'bi'guo 是故无彼过
'shi'gu'xing'fei'si 是故行非思
'shi'gu'yi'cheng'li 是故亦成立
'shi'gu'yi'qie'shi 是故一切事
'shi'gu'yi'qie'shi 是故一切时
'shi'gu'yu'wo'tan 是故于我贪
'shi'hui'zuo'shou'zhe 失毁作受者
'shi'ji'zheng'yi'gu 逝即证义故
'shi'jian'zhi'li'you 是见之理由
'shi'liang'lun'da'shu 释量论大疏
'shi'liang'shi'he'li 是量实合理
'shi'qian'wu'bi'yin 是前无彼因
'shi'qin'lun'shi 世亲论师
'shi'qu'jing'zhi'fa 识取境之法
'shi'quan'lei'ju'bie 是诠类聚别
'shi'sheng'deng'zhong'sheng 湿生等众生
'shi'shi'zheng'liang'xing 识是正量性
'shi'su'bu'cheng'xu 世俗不承许
'shi'ta'bi'zhi'yin 是他彼之因
'shi'ti'ruo'bu'cheng 事体若不成
'shi'xi'duo'cha'na 时息多刹那
'shi'yi'ying'you'bie 识亦应有别
'shi'yin'bu'ke'de 是因不可得
'shi'yin'fei'zi'zai 是因非自在
'shi'yin'shan'zuo'bi 是因善作彼
'shi'you'jian'jing'de 是由见境德
'shi'you'ku'le'sheng 是由苦乐生
'shi'zheng'you'bie'gu 识证有别故
'shi'zhi'gai'bian'gu 识致改变故
'shi'zhu'gen'zhi'yin 是诸根之因
'shou'deng'dong'jie'dong 手等动皆动
'shou'sheng'yu'lie'chu 受生于劣处
'shou'yong'zhi'suo'yi 受用之所依
'shu'sheng'qiu'qi'yu 殊胜求其余
'shu'sheng'zhi'hui'cheng 殊胜智慧成
'shui'deng'zhi'suo'yi 水等之所依
'shui'yin'ji'jin'deng 水银及金等
'shuo'bi'wei'chang'you 说彼为常有
'shuo'dao'bu'ming'yu 说道不明余
'shuo'hao'bu'ke'yi 说毫不可医
'shuo'jiao'neng'jie'tuo 说教能解脱
'shuo'shi'zhi'zhu'ming 说事之诸名
'shuo'suo'li'bian'yin 说所立遍因
'shuo'wu'chang'zhi'ku 说无常知苦
'shuo'yi'yi'yu'shen 说意依于身
'shuo'you'chu'shu'lun 说有除数论
'shuo'zhe'neng'wei'jing 说者能为境
'si'cha'yi 伺察意
'si'du'deng'fan'gu 死毒等返故
'si'zhi'zhu'huan'tui 死致诸患退
'sui'cong'he'xing'xin 随从何行心
'sui'de'er'yun'yong 随得而运用
'sui'er'wu'li'tan 虽尔无离贪
'sui'fei'ta'shi'wu 虽非他事物
'sui'ta'sheng'qi'shi 随他生起时
'sui'xing'suo'li'gu 随行所立故
'sui'you'wu'suo'zao 随有无所造
'suo'da'ji'kan'bu 索达吉堪布
'suo'qu 所取
'suo'she 所舍
'suo'sheng'huai'ju'jian 所生坏聚见
'suo'xiu'zhi'zhi'hui 所修之智慧
'suo'yi'bu'wen'gu 所依不稳固
'suo'yi'ci'yi'tong 所依此亦同
'suo'yi'ling'an'zhu 所依令安住
'suo'yi'ming'yin'yi 所依名因义
'suo'yi'qi'quan'zhu 所依齐全住
'suo'yi'wu'gu'zhe 所依无故遮
'suo'yi'yi'zhe'gu 所依亦遮故
'suo'zhi'wu'chang'xing 所知无常性
'suo'zhu'ji'suo'yi 所住即所依
'ta'fa'zuo'te'zhi 他法作特指
'ta'li'qian'li'cheng 他利前利成
'ta'qin'jiang'sheng'jin 他勤将胜进
'ta'ti'yi'fei'hai 他体亦非害
'ta'yi'shou'deng'guo 他忆受等过
'ta'yin'zong'ju'he 他因纵聚合
'tan'bi'yi'you'guo 贪彼亦有过
'tan'chen'bi'ci'jian 贪嗔彼此间
'tan'deng'bu'yi'ding 贪等不一定
'tan'deng'cheng'bu'ding 贪等成不定
'tan'wo'yin'zhong'sheng 贪我因中生
'tan'xiang'yu'fu'tong 檀香与斧同
'tan'zhi'ji'shi'yin 贪执即是因
'ti'bu'xian'shi'qian 体不现识前
'ti'deng'zuo'neng'li 体等作能立
'ti'xing'sheng'gong'de 体性生功德
'tiao'yue'fei'ru'shi 跳跃非如是
'tiao'yue'jue'ding'xing 跳跃决定性
'ting'wen'deng'gong'yong 听闻等功用
'tong'ku'bu'sheng'tan 痛苦不生贪
'tong'ku'dian'dao'xin 痛苦颠倒心
'tong'ku'zhi'te'xing 痛苦之特性
'tong'lei'sheng'qian'cheng 同类生前成
'tong'lei'yin'li'gu 同类因离故
'tong'lei'yin'zhong'zi 同类因种子
'tong'pin'bian 同品遍
'tong'shi'sheng'duo'ti 同时生多体
'tong'xing'sheng'niu'shi 同性生牛识
'tou'sheng'e'chu'zhong 投生恶处众
'tu'ma'you'huo'shao 涂麻油火烧
'wei'bi'gu'xiu'fa 为彼故修法
'wei'bi'yin'de'zhuan 为彼因得转
'wei'cheng'liang'gu'cong'zi'lun 为成量故从自论
'wei'chu'bi'zhi'yin 为除彼之因
'wei'ci'shi'zheng'liang 为此是正量
'wei'cui'jie'tuo'zhe 为摧解脱者
'wei'duo'ze'ru'qian 谓多则如前
'wei'he'bu'liu'zhuan 为何不流转
'wei'he'yi'bu'jian 为何亦不见
'wei'huan'wu'bu'zhi 唯患无不治
'wei'jian'mie'bu'qu 未见灭不趋
'wei'jian'yu'zhong'bie 唯见于种别
'wei'jian'zhong'ren'qian 未见众人前
'wei'ju'se'deng'wei 味具色等违
'wei'ling'qin'bi'shuo 为令勤彼说
'wei'pin'fang'hai'wu 违品妨害无
'wei'ping'zhi'se'deng 谓瓶之色等
'wei'qian'fei'sheng'zhe 为遣非生者
'wei'ru'jing'gen'ju 谓如境根聚
'wei'ru'se'wu'guo 谓如色无过
'wei'shen'mie'fei'yi 谓身灭非依
'wei'shuo'wei'shuo'ai 未说唯说爱
'wei'ta'li'xing'zhi 为他利行智
'wei'xin'yi'shen'gu 谓心依身故
'wei'xing'he'wu'guo 谓性合无过
'wei'xiu'zong'chao'sheng 谓修纵超胜
'wei'you'bi'sheng'gu 唯由彼生故
'wei'you'ju'fa'sheng 谓由具法生
'wei'you'shen'ti'sheng 唯由身体生
'wei'you'xin'zhong'sheng 谓由心中生
'wei'zhe'bi'liang'gu 未遮比量故
'wei'zheng'yi'bi'jing 为证依彼经
'wei'zhi'shi'ku'xing 唯知是苦性
'wen'gu'ji'wu'yu 稳固及无余
'wen'hu'jian'xue'deng 闻虎见血等
'wen'shu'gen'ben'xu 文殊根本续
'wo'deng'wu'suo'xu 我等无所需
'wo'fei'tong'ku'yin 我非痛苦因
'wo'suo'qu'cheng'bi 我所取成彼
'wo'yi'ying'jie'tuo 我亦应解脱
'wo'yu'gen'deng'yi 我与根等异
'wo'zhi'bi'yuan'sheng 我之彼缘生
'wo'zhi'tong'yi'yin 我执同一因
'wo'zhi'wo'suo'zhi 我执我所执
'wu'bi'ze'bu'sheng 无彼则不生
'wu'bie'cun'shi'yi 无别存是依
'wu'bie'dai'yi'wu 无别待亦无
'wu'bie'shi'shi'yin 无别是识因
'wu'bu'ju'li'xing 无不具力性
'wu'bu'qi'quan'yin 无不齐全因
'wu'bu'sheng'xiang'yin 无不生相因
'wu'chang'deng'zhi'gu 无常等之故
'wu'chang'deng'zi'xing 无常等自性
'wu'chang'yi'wu'liang 无常亦无量
'wu'guan'zhi'mu'kuai 无关之木块
'wu'guo'fei'wang'shuo 无果非妄说
'wu'guo'yi'fei'you 无过亦非有
'wu'guo'you'jing'tan 无过有境贪
'wu'hai'zhen'shi'yi 无害真实义
'wu'huo'duan'yi'qie 无惑断一切
'wu'li'bu'qu'yu 无力不取余
'wu'li'gu'you'ai 无力故有爱
'wu'ming'shi'you'yin 无明是有因
'wu'nao'ji'wu'bing 无恼及无病
'wu'qi 无欺
'wu'qin'he'yin'zhi 无勤何因致
'wu'shen'tan'wei'jian 无身贪未见
'wu'si'you'tan'wo 无思由贪我
'wu'ta'lun 悟他论
'wu'ti'zui'fei'zhong 无体罪非重
'wu'wei'gu'ci'di 无违故次第
'wu'wo'huo'xiu'xing 无我或修行
'wu'xin'gu'fei'ta 无心故非他
'wu'xing'de'zong'ye 无行德总业
'wu'yin'bu'dai'ta 无因不待他
'wu'yin'sheng'wei'gu 无因生违故
'wu'you'cha'bie'gu 无有差别故
'wu'you'cha'yi'gu 无有差异故
'wu'you'dui'zhi'gu 无有对治故
'wu'you'neng'li'gu 无有能力故
'wu'you'neng'zhang'deng 无有能障等
'wu'you'xiang'yi'gu 无有相异故
'wu'you'xie'fen'bie 无有邪分别
'xi'dou'fei'tuo 醯都费陀
'xi'qi'cha'bie'zhuan 习气差别转
'xi'qi'su'xing'yin 习气苏醒因
'xi'xing'mie'jin'yi 昔行灭尽已
'xian'er'bu'ding'shi 现而不定识
'xian'jian'cheng'zuo'yong 现见成作用
'xian'jian'you'wo'zhe 现见有我者
'xian'liang 现量
'xian'qian'wei'ceng'jian 先前未曾见
'xian'shi'suo'yu'gu 显示所欲故
'xian'zhong'hou'qing'gu 先重后轻故
'xiang'feng 项峰
'xiang'feng'chui'hu 项峰垂胡
'xiang'si'sheng'yi 相似胜义
'xiang'tong'duo'ti'gu 相同多体故
'xiang'wei 相违
'xiang'wei'ci'di'sheng 相违次第生
'xiang'wei'ji'cheng'li 相违极成立
'xiang'wei'yu'ci'shuo 相违于此说
'xiang'wei'zhi'er'shi 相违之二事
'xiang'xi'tan'chen'deng 相系贪嗔等
'xiang'yi'er'xuan'shuo 相异而宣说
'xiang'zhu'zhu'xing'gu 相属住性故
'xiao'chu'guan'dai'yuan 消除观待缘
'xiao'chu'yi'jian'gu 消除亦见故
'xin'bian'bu'fu'hai 薪变不复还
'xin'fa'zhi'ci'bei 心法之慈悲
'xin'ji'cheng'bi'xing 心即成彼性
'xin'shi'yin'bu'tong 心是因不同
'xin'suo'yuan'qu'gu 心所缘取故
'xin'xing'wei'guang'ming 心性为光明
'xin'xiu'bei'deng'sheng 心修悲等生
'xin'xu'an'zhu'yin 心续安住因
'xin'yi'ming'xian'gu 心亦明显故
'xin'ying'wu'xiao'shi 心应无消失
'xin'zhong'er'shi'ming 心中尔时明
'xing'chi'ta'li'gu 行持他利故
'xing'deng'ji'cheng'li 形等极成立
'xing'li'ruo'wei'jin 行力若未尽
'xiu'bi'yin'wu'hai 修彼因无害
'xiu'gu'wu'yu'duan 修故无余断
'xiu'ku'cheng'wu'yi 修苦成无义
'xiu'xi'bu'cheng'li 修习不成立
'xiu'xi'mie'jin'gu 修习灭尽故
'xiu'yi'shuo'dao'zhuan 修已说道转
'xiu'yu'ji'wei'bi 修余即为彼
'xu'bi'mie'yin'zhi 许彼灭因致
'xu'bi'wei'zheng'liang 许彼为正量
'xu'cheng'yu'bu'cheng 许成喻不成
'xu'cui'sheng'guo'gu 许摧生过故
'xu'li'tan'zhe'zhu 许离贪者住
'xu'neng'li'you'yu 许能立有余
'xu'shi'guo'deng'tong 许是果等同
'xu'yin'gu'cheng'xu 许因故承许
'xun'mi'you'zhi'zhe 寻觅有智者
'ye'guo'yi'cheng'yi 业果亦成一
'ye'shen'zong'an'zhu 业身纵安住
'ye'yi'fei'ye'you 业亦非业有
'yi'bei'shuo'shan'miao 依悲说善妙
'yi'bi'zhu'gong'yong 益彼诸功用
'yi'bie'gu'wei'zhu 异别故谓主
'yi'cheng'ji'ming'xing 亦成极明性
'yi'cheng'wu'xin'deng 亦成无心等
'yi'ci'er'fen'xi 依此而分析
'yi'ci'ji'shi'shuo 依此即是说
'yi'ci'po'hui'he 依此破会合
'yi'ci'yi'zhe'po 依此亦遮破
'yi'duan'wo'jian'zhong 已断我见种
'yi'fa'bu'neng'jin 一法不能尽
'yi'fan'ti'fen'yi 以反体分异
'yi'fei'jie'neng'yue 亦非皆能悦
'yi'fei'yi'qie'sheng 亦非一切生
'yi'fu'yi'qie'fu 一覆一切覆
'yi'gong'xiang 义共相
'yi'gu'ta'ti'guo 异故他体过
'yi'huo'wei'fu'shi 抑或未覆时
'yi'jian'ran'bu'chu 已见然不除
'yi'jiang'shi'qin'zuo 亦将侍勤作
'yi'jiao'li'guan'cha 依教理观察
'yi'jie'de'cheng'li 亦皆得成立
'yi'jin'ku'yan'li 以今苦厌离
'yi'ju'zheng'jia'hang 亦具正加行
'yi'jue'shi 已决识
'yi'kong'jian'jie'tuo 依空见解脱
'yi'ku'wu'wu'wo 依苦悟无我
'yi'ku'xing'fan'nao 依苦行烦恼
'yi'lai'yu'tong'lei 依赖于同类
'yi'li'bian'yin'gu 亦离变因故
'yi'lv'you'wu'zhe 疑虑有误者
'yi'mie'ji'wei'sheng 已灭及未生
'yi'ming'yan'wei'liang 依名言为量
'yi'neng'zhang'bi'guo 亦能障彼过
'yi'pin'bian 异品遍
'yi'qi'zhi'xin'sheng 意起之心生
'yi'qiang'deng'er'zeng 依强等而增
'yi'qie'bian'bian'gu 一切变变故
'yi'qie'cheng'tan'tong 一切成贪同
'yi'qie'cheng'yi'qie 一切成一切
'yi'qie'cheng'zhi'de 一切成执德
'yi'qie'ji'mie'fa 一切即灭法
'yi'qie'jie'ping'deng 一切皆平等
'yi'qie'ruo'shi'yin 一切若是因
'yi'qie'shi'wo'zhi 一切时我执
'yi'qie'tan'cheng'tong 一切贪成同
'yi'qie'yin'wu'jin 一切因无尽
'yi'qie'zhi'xian'liang 一切之现量
'yi'shi'ci'neng'sheng 亦是此能生
'yi'shi'fei'you'sun 意识非有损
'yi'shi'huai'yi'chu 抑是怀疑处
'yi'shi'yi'zhi'yin 一是一之因
'yi'shi'zhu'ta'jing 以识著他境
'yi'shou'yi'jin'gu 抑寿已尽故
'yi'ta'yuan'wu'jie 依他缘误解
'yi'ti'cheng'xiang'tong 意体成相同
'yi'ti'zhi'ming'cheng 一体之名称
'yi'wei'yu'zi'xiang 意谓于自相
'yi'wu'jian'he'zhi 依无见何知
'yi'wu'xiang'shou'zhe 亦无享受者
'yi'wu'zhu'da'qin 亦无住大勤
'yi'xi'qu'duo'jing 一息取多境
'yi'xian'liang 意现量
'yi'xin'xing'cha'bie 以心行差别
'yi'xiu'cheng'bei'xing 依修成悲性
'yi'xiu'ruo'fan'fu 已修若反复
'yi'xu'shi'yin'gu 亦许是因故
'yi'yi'cha'na'zhong 一一刹那中
'yi'yin'gu'bing'cun 一因故并存
'yi'you'jing'xiang'yi 以有境相异
'yi'you'ran'liao'bian 一由染料变
'yi'zai'sheng'qi'gu 亦再生起故
'yi'zhe'suo'sheng'tan 一者所生贪
'yi'zhi'shuo'zhen'di 依智说真谛
'yi'zhi'suo'wei'shi 依止所为事
'yi'zhong'bu'rong'gu 一中不容故
'yin'di'lun 因滴论
'yin'gu'wei'zhi'ju 引故谓指具
'yin'ming'zheng'li'men'lun 因明正理门论
'yin'tong'xing'bu'shi 因同性不失
'yin'wu'cha'yi'gu 因无差异故
'yin'xi'yi'duan'chu 因习已断除
'yin'yu'guo'shi'gu 因与果事故
'yin'zhi'mie'jin'gu 因治灭尽故
'yin'zhong'bu'tui'zhuan 引中不退转
'yin'zhu'gu'yi'ku 因主故亦苦
'yin'zhu'guo'bu'mie 因住果不灭
'ying'cheng'ju'sheng'gu 应成俱生故
'ying'cheng'wu'hui'mie 应成无毁灭
'ying'cheng'yu'yi'ti 应成余异体
'you'ai'shu'sheng'le 由爱殊胜乐
'you'ai'zhang'zhu'guo 由爱障诸过
'you'bi'bi'liang'zhe 由彼比量者
'you'bi'cheng'wu'bi 有彼成无彼
'you'bi'ci'yi'sheng 由彼此亦胜
'you'bi'ji'ci'bei 由彼即慈悲
'you'bi'ruo'cheng'yi 有彼若成义
'you'bi'suo'zao'zuo 由彼所造作
'you'bie'shi'gen'jing 有别是根境
'you'can'shui'li'yan 有惭谁力言
'you'chang'sheng'fei'li 由常生非理
'you'ci'ke'jue'ding 由此可决定
'you'duan'ru'bai'deng 有断如白等
'you'fei'ci'di'zhe 由非次第者
'you'guo'yi'ju'gu 有过亦具故
'you'jian'guo'hui'mie 由见过毁灭
'you'jing'er'gai'bian 由境而改变
'you'ju'fang'de'jian 由具方得见
'you'li'yin'zhi'gu 由离因之故
'you'qing'fei'ta'yin 有情非他引
'you'qing'shou'sheng'shi 有情受生时
'you'ru'gong'de'deng 犹如功德等
'you'ru'jing'ji'deng 犹如荆棘等
'you'ru'shi'di'huo 犹如湿地火
'you'ru'yi'yu'xin 犹如依于心
'you'ru'yu'yan'deng 犹如语言等
'you'shi'cheng'you'zhe 有识成有者
'you'shi'fa 有实法
'you'shi'tan'yu'deng 有时贪欲等
'you'shi'yi'bu'mie 有时亦不灭
'you'shi'yu'xin'xu 有时于心续
'you'shi'zheng'shi'gu 由事证事故
'you'tan'shu'sheng'le 由贪殊胜乐
'you'tiao'he'jing'zeng 由调和精增
'you'wei'xing'jing'zhe 有为行境者
'you'wei'yan'shuo'deng 有谓言说等
'you'wei'zhi'zhi'ju 有谓指之具
'you'wo'ze'zhi'ta 有我则知他
'you'wu'sui'cong'gu 有无随从故
'you'wu'yi'wu'gu 有无依无故
'you'yi'ding'duo'xing 有亦定多性
'you'yi'wu'yi'gu 有亦无忆故
'you'yi'xi'ju'zhu 有依悉具住
'you'yin'gu'yi'xiu 有因故依修
'you'yin'gu'yin'zhi 有因故因治
'you'yin'zi'xing'zhi 由因自性知
'you'yu'shi 犹豫识
'you'yu'you'wu'ai 有于有无碍
'you'zeng'you'jian'xing 有增有减性
'you'zhe'ci'di'wu 有者次第无
'you'zhe'fu'fan'gu 有者复返故
'you'zhe'ji'sheng'cheng 有者极声称
'you'zhe'sheng'bi'guo 有者生彼果
'you'zhe'ze'sheng'cheng 有者则声称
'you'zhi'ai'an'le 由执爱安乐
'you'zhi'ben'xing'zhe 有之本性者
'you'zhi'yin'zi'xing 由知因自性
'you'zi'zhi'zi'ti 由自知自体
'yu'bi'chang'zhi'wo 于彼常执我
'yu'bi'qi'you'hai 于彼岂有害
'yu'bi'xiang'wei'yi 与彼相违义
'yu'bi'xing'zhu'guo 与彼性诸过
'yu'bu'ke'shuo'zhe 于不可说者
'yu'ci'deng'duo'chu 于此等多处
'yu'ci'fei'li'tan 于此非离贪
'yu'ci'suo'yi'wu 于此所依无
'yu'ci'wu'hai'gu 于此无害故
'yu'de'le'li'ku 欲得乐离苦
'yu'deng'yi'jian'gu 愚等亦见故
'yu'hou'zhi'chao'sheng 于后之超胜
'yu'jia'xian'liang 瑜伽现量
'yu'lai'yu'chao'sheng 愈来愈超胜
'yu'li'sheng 欲利生
'yu'pang'sheng'xing'yin 与旁生行淫
'yu'qi'yi'ti'zhe 与其异体者
'yu'qiu'bu'shou'ku 欲求不受苦
'yu'ren'yao'deng'lian 与刃药等联
'yu'shen'cheng'ci'sheng 余身成此生
'yu'shuo'yi'ta'gu 欲说依他故
'yu'si'di'gu'chang 于四谛固常
'yu'ta'qian'an'zhu 于他前安住
'yu'ta'sheng'dan'zhu 于他生耽著
'yu'ta'wu'you'gu 于他无有故
'yu'tiao'yi'fei'er 余调亦非尔
'yu'wei'bi'li'tan 于违彼离贪
'yu'wo'ju'tan'gu 于我具贪故
'yu'wo'suo'li'tan 于我所离贪
'yu'wo'wu'ai'lian 于我无爱恋
'yu'zhi'wei'bi'zhe 欲知唯彼者
'yu'zi'xing'dian'dao 于自性颠倒
'yuan'fei'neng'li'gu 缘非能利故
'yuan'qu'yi'bu'cheng 缘取亦不成
'yuan'suo'qu'she'shi 缘所取舍事
'zao'guo'fan'fei'er 造过反非尔
'zao'ke'fu'fan'bian 造可复返变
'zao'ping'deng'ni'xing 造瓶等泥形
'zao'zuo'yi'fei'li 造作亦非理
'ze'cheng'huo'fen'duan 则成惑分断
'ze'chu'ying'bu'sheng 则初应不生
'ze'guo'bu'ying'jian 则果不应减
'ze'wu'ci'di'yin 则无次第因
'zeng'yi 增益
'zeng'yi'er'ai'lian 增益而爱恋
'zeng'yi'tan'yi'jian 增益贪亦见
'zeng'yi'zi'ta'tan 增益自他贪
'zhang'ai'liu'shi'gu 障碍流失故
'zhang'yin'deng'you'gu 障因等有故
'zhe'po 遮破
'zhen'shi'sheng'yi 真实胜义
'zheng'cheng'chu'sheng'gu 证成初生故
'zheng'cheng'fei'ying'li 证成非应理
'zheng'cheng'li 证成理
'zheng'li'lun 诤理论
'zheng'shi'ku'ju'yin 证实苦具因
'zheng'shi'yi'shi'deng 证实异事等
'zheng'zhi 正智
'zheng'zhi'you'shi'liang 证知有实量
'zheng'zhi'zi'ti'yi 证知自体已
'zhi'bi'yi'cheng'li 知彼亦成立
'zhi'cheng'kan'bu 智诚堪布
'zhi'gu'yi'ju'wu 知故一聚无
'zhi'ku'wu'xiang'wei 知苦无相违
'zhi'wo'wei'mie'chu 执我未灭除
'zhi'xiang'you'jing'gu 执相有境故
'zhi'you'zhe'bian'hua 致有者变化
'zhi'zhe'wei'chang'xing 智者谓常性
'zhi'zong'xiang'de'zhi 知总相得之
'zhong'deng'cheng'li'gui 种等成立轨
'zhong'lei'deng'yi'zhu 种类等亦住
'zhong'ren'jing'cha'yi 众人境差异
'zhong'sheng'deng'cha'yi 众生等差异
'zhong'sheng'fa'xing'gu 众生法性故
'zhong'sheng'yi'jin'ci 众生亦仅此
'zhong'sheng'yu'li'ku 众生欲离苦
'zhong'xiang'duo'fang'bian 众相多方便
'zhong'zhuan'bo're'wu'xiang'fa'lun 中转般若无相法轮
