'a'ha'li'mu'fu'you 阿哈利姆福佑
'ji'dong'xing 机动性
'ji'du'ji'ke 极度饥渴
'ji'e'fu'chong 极恶俯冲
'ji'e'rou'shan 饥饿肉山
'ji'en 基恩
'ji'en'jing'pian 基恩镜片
'ji'en'miao'zhun'jing 基恩瞄准镜
'ji'fen'da'bao'xiang 积分大宝箱
'ji'fen'xiao'bao'xiang 积分小宝箱
'ji'feng'bu 疾风步
'ji'guang 激光
'ji'han'chong'ji 极寒冲击
'ji'han'ling'yu 极寒领域
'ji'han'you'hun 极寒幽魂
'ji'han'zhi'chu 极寒之触
'ji'han'zhi'yong 极寒之拥
'ji'huo'can'yan 激活残焰
'ji'jing'hui'dang 寂静回荡
'ji'li'chang'pao 祭礼长袍
'ji'liu 激流
'ji'neng 技能
'ji'neng'hu'dun 技能护盾
'ji'neng'kang'xing 技能抗性
'ji'neng'mian'yi 技能免疫
'ji'neng'qie'qu 技能窃取
'ji'neng'shi'jia 技能施加
'ji'neng'zeng'qiang 技能增强
'ji'neng'zheng'zhao 技能征召
'ji'nu 激怒
'ji'pin 祭品
'ji'qi'ren'de'jin'jun 机器人的进军
'ji'shao'cheng'duo 积少成多
'ji'sheng'zhong'zi 寄生种子
'ji'shi'gong'ji 即时攻击
'ji'shou'zhi 鸡手指
'ji'su 极速
'ji'su'fu 极速符
'ji'su'leng'que 急速冷却
'ji'su'shen'fu 极速神符
'ji'tai 祭台
'ji'xian'fa'qiu 极限法球
'ji'xie'xing'jun 机械行军
'ji'xie'zhi'xin 机械之心
'ji'xing 疾行
'ji'yun 击晕
'ji'zhi 机制
'ji'zhong'huo'li 集中火力
'ji'zhong'yin'bao 集中引爆
'jia'dun'chong'ji 甲盾冲击
'jia'gu 加固
'jia'la'long 加拉隆
'jia'la'long'dang'yu 加拉隆党羽
'jia'li'ran'shao'qi 加力燃烧器
'jia'su'hu'fu 加速护符
'jia'su'mo'shi 加速模式
'jia'su'shou'tao 加速手套
'jia'suo 枷锁
'jia'tui 假腿
'jia'yan 假眼
'jian'bing'zhi'xin 坚冰之心
'jian'ci'wai'ke 尖刺外壳
'jian'dao'xi 尖刀戏
'jian'dui'tong'shuai 舰队统帅
'jian'gu'he'xin 坚固核心
'jian'guan'xi'tong 监管系统
'jian'jia'qiu 减甲球
'jian'jia'shi 减甲石
'jian'pu'duan'mao 简朴短帽
'jian'qiang 坚强
'jian'ren 坚韧
'jian'ren'feng'bao 剑刃风暴
'jian'ren'qiu 坚韧球
'jian'rui 坚锐
'jian'she'gong'ji 溅射攻击
'jian'sheng 剑圣
'jian'ti'shu 健体术
'jian'wu 剑舞
'jian'xin'you'zai 剑心犹在
'jian'xin'zhi'yi 剑心之遗
'jian'yi'bao'hu 减益保护
'jian'yi'mian'yi 减益免疫
'jiang'lin 降临
'jiang'shi 僵尸
'jiao'ke 焦渴
'jiao'liu'feng'jin 交流封禁
'jiao'tu 焦土
'jiao'xie 缴械
'jiao'you'zha'dan 焦油炸弹
'jie'gou 解构
'jie'jian'qie'zei 节俭窃贼
'jie'ke'si 杰克斯
'jie'qi'luo 杰奇洛
'jie'song'fu'wu 接送服务
'jie'xin'guang'huan 竭心光环
'jie'zu 捷足
'jin'gu'bang 金箍棒
'jin'hua'kuang're 进化狂热
'jin'hui'chong'bai'shi'dai 金辉崇拜时代
'jin'ji'zhuo'lu 紧急着陆
'jin'peng'zhi'xing 金鹏之幸
'jin'zhan 近战
'jin'zhan'bing'ying 近战兵营
'jing'dian'chang 静电场
'jing'dian'lian'jie 静电连接
'jing'hua 净化
'jing'hua'bian'qian 精华变迁
'jing'hua'yao'shui 净化药水
'jing'hua'zhi'huan 精华指环
'jing'hun'zhi'ren 净魂之刃
'jing'ji'cong'sheng 荆棘丛生
'jing'ji'mi'gong 荆棘迷宫
'jing'jin'bu'xiu 精进不休
'jing'jiu'bu'shuai 经久不衰
'jing'jue 警觉
'jing'ling'bu'dai 精灵布带
'jing'ling'lang 精灵狼
'jing'ling'long 精灵龙
'jing'ling'shou'wei 精灵守卫
'jing'ling'wai'yi 精灵外衣
'jing'mi'zhi'xie 静谧之鞋
'jing'mo'zu'zhou 静默诅咒
'jing'qi'guang'huan 精气光环
'jing'qi'qiu 精气球
'jing'qi'zhi'qiu 精气之球
'jing'ru'gu'mu 静如古墓
'jing'tai'feng'bao 静态风暴
'jing'xiang 镜像
'jing'yan'fu 经验符
'jing'yan'shen'fu 经验神符
'jing'yan'shu 经验书
'jing'ying'zhu'yi 精英主义
'jing'zhi'xian'jing 静止陷阱
'jing'zhi'xian'jing 静滞陷阱
'jing'zhun'guang'huan 精准光环
'jiu'liao 灸疗
'jiu'xian 酒仙
'jiu'xian'xiong'mao 酒仙熊猫
'jiu'you 酒友
'ju'bian 剧变
'ju'bu'sheng'feng 举步生风
'ju'chi'dao 锯齿刀
'ju'chi'duan'dao 锯齿短刀
'ju'chi'fei'lun 锯齿飞轮
'ju'chi'fei'lun'er 锯齿飞轮二
'ju'chi'lun'xuan 锯齿轮旋
'ju'du 剧毒
'ju'du'shu'shi 剧毒术士
'ju'du'xin'xing 剧毒新星
'ju'du'zhi'chu 剧毒之触
'ju'du'zhi'hua 剧毒之花
'ju'feng 飓风
'ju'feng'chang'ji 飓风长戟
'ju'feng'hu'dun 飓风护盾
'ju'feng'zhi'li 飓风之力
'ju'guang'deng 聚光灯
'ju'he'shen'fu 聚合神符
'ju'ji'shou 狙击手
'ju'jiao'chong'zhuang 巨角冲撞
'ju'lang 巨浪
'ju'lang 巨狼
'ju'li'hui'wu 巨力挥舞
'ju'li'zhi'shi'ge'shu'zi 距离只是个数字
'ju'li'zhong'ji 巨力重击
'ju'mo 巨魔
'ju'mo'zhan'jiang 巨馍蘸酱
'ju'mo'zhan'jiang 巨魔战将
'ju'ren'zhi'jie 巨人之戒
'ju'she'shou'wei 巨蛇守卫
'ju'shen 巨神
'ju'shen'ben'fang'you 巨神奔放游
'ju'shen'can'tie 巨神残铁
'ju'shi'chong'ji 巨石冲击
'ju'shi'fan'gun 巨石翻滚
'ju'ya 巨牙
'ju'ya'hai'min 巨牙海民
'juan'tu'chong'lai 卷土重来
'jue'di 掘地
'jue'di'chuan'ci 掘地穿刺
'jue'dou 决斗
'jue'dou'da'ren 决斗达人
'jue'dou'jia'shou'tao 决斗家手套
'jue'dou'shou'tao 决斗手套
'jue'mei'yi'shu 绝美艺术
'jue'ming'zai'sheng 绝冥再生
'jue'sha'mi'ji 绝杀秘技
'jun'bei 军备
'jun'tuan 军团
'jun'tuan'zhi'hui'guan 军团指挥官
'ka'de'er'ying'yan 卡德尔鹰眼
'ka'er 卡尔
'ka'luo'ke 卡洛克
'ka'te'er 卡特尔
'kai'guo 开锅
'kai'lu'xian'feng 开路先锋
'kai'ta'fang 开塔防
'kai'wu 开雾
'kai'zu'ma'li 开足马力
'kang'han 抗寒
'kang'jia'wu 康加舞
'kang'mo'dou'peng 抗魔斗篷
'kao'lin 考林
'ke'di'ji'xian 克敌机先
'ke'dou 蝌蚪
'ke'dou'hu'fu 蝌蚪护符
'ke'kao'tie'chan 可靠铁铲
'ke'li'ao'si'te'luo 科里奥斯特罗
'ke'li'se'li'si 克里瑟历斯
'ke'lin'ke'zi 克林克兹
'ke'rui'ke'si 科瑞克斯
'ke'rui'ke'si'xue'zhe 科瑞克斯学者
'ke'te 柯特
'kong'ao'zhi'xin 恐鳌之心
'kong'bu'bo'dong 恐怖波动
'kong'bu'li'ren 恐怖利刃
'kong'bu'xin'chao 恐怖心潮
'kong'fu 控符
'kong'he 恐吓
'kong'jiang 空降
'kong'ling'gua'jian 空灵挂件
'kong'ming'zhang 空明杖
'kong'zhi 控制
'ku'lou'gong'jian'shou 骷髅弓箭手
'ku'lou'she'shou 骷髅射手
'ku'lou'wang 骷髅王
'ku'lou'zhan'shi 骷髅战士
'ku'wei'zhi'shi 枯萎之石
'ku'wei'zhi'zhu 枯萎之珠
'kuai'qi'lai'zhao'mi 快起来着迷
'kuai'su'fu'xiu 快速腐朽
'kuan'rong'zhi'xue 宽容之靴
'kuan'shi'jie'suo'sui'pian 款式解锁碎片
'kuang'bao 狂暴
'kuang'bao'yao'ji 狂暴药剂
'kuang'feng 狂风
'kuang'feng'quan'fa 狂风拳法
'kuang'huan'jing'dian 狂欢经典
'kuang'lie 狂猎
'kuang'meng 狂猛
'kuang'nu'lian'ji 狂怒连技
'kuang're 狂热
'kuang'shan 矿山
'kuang'shi 狂石
'kuang'zhan'fu 狂战斧
'kuang'zhan'shi'de'nu'hou 狂战士的怒吼
'kuang'zhan'shi'zhi'hou 狂战士之吼
'kuang'zhan'shi'zhi'nu 狂战士之怒
'kuang'zhan'shi'zhi'xue 狂战士之血
'kui'lei'zhen'ying 傀儡阵营
'kun'ka 昆卡
'kuo'jian 阔剑
'la'bi'ke 拉比克
'la'deng 拉登
'la'jin 拉近
'la'na'ya 拉娜娅
'la'san'ye 拉三野
'la'shuang'ye 拉双野
'la'xi'ke 拉席克
'la'ye 拉野
'la'yuan 拉远
'la'ze'er'hei'niang 拉泽尔黑酿
'lai'en 莱恩
'lai'fu'zhu 来辅助
'lan'liang 蓝量
'lan'mao 蓝猫
'lan'pang 蓝胖
'lan'pang'zi 蓝胖子
'lan'ping 蓝瓶
'lan'xin'fu'bing 蓝心浮冰
'lan'xin'jing'hua 蓝心精华
'lan'xin'lai'shi 蓝心来使
'lan'zhang 蓝杖
'lang'bi'wu'jian'tao 浪逼五件套
'lang'qun'tou'ling 狼群头领
'lang'ren 狼人
'lang'ren'he'peng'you 狼人和朋友
'lang'zhen'ying 狼阵营
'lao'lu 老鹿
'lao'shu 老树
'lei'bao'yun 雷暴云
'lei'dian'jiao'jia 雷电交加
'lei'fu'shou'zhen'ying 雷肤兽阵营
'lei'ge'shi'ti 雷格石蹄
'lei'huo'dan 雷火弹
'lei'ji 雷击
'lei'qu'biao'zhi 雷区标识
'lei'shen'zhi'chui 雷神之锤
'lei'shen'zhi'nu 雷神之怒
'lei'ting'shen'kui 雷霆神盔
'lei'ting'wan'jun 雷霆万钧
'lei'ting'yi'ji 雷霆一击
'lei'ting'zhi'ji 雷霆之击
'lei'ze 雷泽
'leng'que'shi'jian 冷却时间
'leng'xue'dong'wu 冷血动物
'li'ge'wo 黎格沃
'li'liang 力量
'li'liang'shou'tao 力量手套
'li'liang'tiao'dao 力量跳刀
'li'liang'yao'dai 力量腰带
'li'liang'ying'xiong 力量英雄
'li'liang'yu'mo'fa 力量与魔法
'li'na 莉娜
'li'san 离散
'li'wan 力丸
'li'wei'tan 利维坦
'li'zhua'fei'zhi 利爪飞掷
'li'zi'dun 离子盾
'li'zi'wai'ke 离子外壳
'lian'hua'chi 莲花池
'lian'hua'qiu 莲花球
'lian'huan'shuang'dong 连环霜冻
'lian'ji 连击
'lian'jin 炼金
'lian'jin'shu'shi 炼金术士
'lian'suo'shan'dian 连锁闪电
'liang'ge'chi'shu'xie'xie 两个吃树谢谢
'liang'ji'fan'zhuan 两级反转
'liang'mian'san'dao 两面三刀
'liao'shang'lian'hua 疗伤莲花
'liao'shang'zhi'chui 疗伤之锤
'liao'tian'lun'pan 聊天轮盘
'liao'ya'chong'ci 獠牙冲刺
'lie'di'gou'he 裂地沟壑
'lie'di'jian'ci 裂地尖刺
'lie'feng'hu'ti 烈风护体
'lie'hun'ren 裂魂人
'lie'huo 烈火
'lie'huo'hu'dun 烈火护盾
'lie'huo'zhao 烈火罩
'lie'huo'zhi'kao 烈火炙烤
'lie'jiu'quan'fa 烈酒拳法
'lie'ri'zhi'kao 烈日炙烤
'lie'shi'lin'jia 烈士鳞甲
'lie'shi'lu 劣势路
'lie'shou'xuan'biao 猎手旋镖
'lie'yan'fen'shen 烈焰焚身
'lie'yan'jing'ling 烈焰精灵
'lie'yan'po'ji 烈焰破击
'lie'ying'zhan'ren 猎鹰战刃
'lin'bie'yi'qiang 临别一枪
'lin'di'shen'xing'xue 林地神行靴
'lin'ken'fa'qiu 林肯法球
'lin'si'zhi'tong 临死之痛
'lin'ye'chang'gong 林野长弓
'lin'yuan'lv'ren 林渊旅人
'ling'dong'xun'jie 灵动迅捷
'ling'dong'zhi'yi 灵动之翼
'ling'guang 灵光
'ling'hao'bing'ren 零号病人
'ling'hun'chao'du 灵魂超度
'ling'hun'da'ji 灵魂打击
'ling'hun'ge'duan 灵魂隔断
'ling'hun'lian'jie 灵魂链接
'ling'hun'lie'shou 灵魂猎手
'ling'hun'ran'shao 灵魂燃烧
'ling'hun'sheng'yan 灵魂盛宴
'ling'hun'shi'fang 灵魂释放
'ling'hun'shou'ji 灵魂收集
'ling'hun'shou'wei 灵魂守卫
'ling'hun'sui'pian 灵魂碎片
'ling'hun'xing'tai 灵魂形态
'ling'hun'zhi'jie 灵魂之戒
'ling'hun'zhi'mao 灵魂之矛
'ling'jie'hui'yin 灵界回音
'ling'kan 灵龛
'ling'li'chang'bian 凌厉长鞭
'ling'long'xin 玲珑心
'ling'neng'tou'she 灵能投射
'ling'neng'xian'jing 灵能陷阱
'ling'neng'zhi'ren 灵能之刃
'ling'ti'mai'chong 灵体脉冲
'ling'ti'qian'yin 灵体牵引
'ling'ti'you'hun 灵体游魂
'ling'wei'dou'peng 陵卫斗篷
'ling'xi'jiao 灵犀角
'ling'xia 灵匣
'ling'yi'ji'zhang 灵异击掌
'liu'lang 流浪
'liu'lang'jian'ke 流浪剑客
'liu'pai'bian'huan 流派变换
'liu'xian'dan 榴霰弹
'liu'xing 流星
'liu'xing'gan'yue 流星赶月
'long'fu'guang'huan 龙肤光环
'long'juan'feng 龙卷风
'long'po'zhan 龙破斩
'long'qi 龙骑
'long'qi'shi 龙骑士
'long'xin 龙心
'long'yan'bing'gan 龙炎饼干
'long'ying 龙鹰
'long'zu'xue'tong 龙族血统
'lu'fu'te'lun 鲁夫特仑
'lu'na 露娜
'lu'xi'fa 路西法
'lu'xing'zu'ying'xiong 陆行族英雄
'luan'liu 乱流
'lue'duo'zhe'zhi'fu 掠夺者之斧
'lue'gao'yi'chou 略高一筹
'lv'xie 绿鞋
'lv'zhang 绿杖
'ma'bi'xian'jing 麻痹陷阱
'ma'bi'yao'ji 麻痹药剂
'ma'bi'zhi'yao 麻痹之咬
'ma'er'si 玛尔斯
'ma'ge'na'si 马格纳斯
'ma'ji'na 玛吉纳
'ma'mu'bu'ren 麻木不仁
'ma'ti'jian'ta 马蹄践踏
'ma'xi 玛西
'mai'bu'di'lei 埋布地雷
'mai'chong'xin'xing 脉冲新星
'mai'da'si'zhi'shou 迈达斯之手
'man'ji'ke'si 曼吉克斯
'man'you'xi'xi'zhi'hua 漫游嬉戏之华
'man'yu'pi 鳗鱼皮
'mang'guo'shu 芒果树
'mao'ji 锚击
'mao'mao'mao 毛毛帽
'mao'tuan 毛团
'mao'xian 冒险
'mei'du'sha 美杜莎
'mei'huo 魅惑
'mei'huo'mo'nv 魅惑魔女
'mei'ken'si'mu 梅肯斯姆
'mei'mo 魅魔
'mei'ying'wu'xing 魅影无形
'mei'ying'xuan'gao 魅影宣告
'mei'ying'zhi'sha 魅影之纱
'mei'zhou'ren'wu 每周任务
'men'shao'shu'zhi 闷烧树脂
'meng'ge'ke'han 蒙哥可汗
'meng'huan'tiao'zhan 梦幻挑战
'meng'ji 猛击
'meng'jing'chan'rao 梦境缠绕
'meng'miao 萌喵
'meng'nan'shang'fen 猛男上分
'meng'qin'zhi'wu 猛禽之舞
'meng'yan'zao'sheng 梦魇噪声
'meng'zhong'qian'xing'zhe 梦中潜行者
'mi'ao'gong'zhen'guang'shu 秘奥共振光束
'mi'ao'shan'guang 秘奥闪光
'mi'bo 米波
'mi'fa'jian 秘法箭
'mi'fa'xie 秘法鞋
'mi'la'na 米拉娜
'mi'lin'ben'zou 密林奔走
'mi'ni'sheng'jian 迷你圣剑
'mi'rui'si'jia 米瑞斯嘉
'mi'rui'si'jia'qing'feng 米瑞斯嘉晴风
'mi'shu'shi'kai'jia 秘术师铠甲
'mi'shu'yi'she 秘术异蛇
'mi'tuan 谜团
'mi'wu'chan'rao 迷雾缠绕
'mi'yin'chui 秘银锤
'mi'you 密友
'mian'li 绵力
'miao'shou'kong'kong 妙手空空
'miao'zhun 瞄准
'mie'fa'zhi'jing 灭发之镜
'min'jie 敏捷
'min'jie'bian'xie 敏捷便鞋
'min'jie'bian'xue 敏捷便靴
'min'jie'tiao'dao 敏捷跳刀
'min'jie'ying'xiong 敏捷英雄
'ming'hun 冥魂
'ming'hun'da'di 冥魂大帝
'ming'huo'bao'ji 冥火爆击
'ming'jie'ya'long 冥界亚龙
'ming'ling'shu 冥灵书
'ming'que'de'feng'kuang 明确的疯狂
'ming'shi 命石
'ming'yun'chi'ling 命运敕令
'ming'yun'zhi'bi 命运之笔
'mo'ai 魔霭
'mo'ai'jia'zu 魔霭家族
'mo'ai'sheng'chi 魔霭圣池
'mo'ai'zu'zhou 魔霭诅咒
'mo'bang 魔棒
'mo'cui'di 茉崔蒂
'mo'dao'shi'chi'hun 魔导师炽魂
'mo'dao'shi'mi'yue 魔导师密钥
'mo'di 莫迪
'mo'er'di'ji'an'de'bi'zhang 莫尔迪基安的臂章
'mo'fa'guang'huan 魔法光环
'mo'fa'hu'dun 魔法护盾
'mo'fa'hui'fu 魔法恢复
'mo'fa'jia'shen'guang'huan 魔法加深光环
'mo'fa'jian 魔法箭
'mo'fa'jing'xiang 魔法镜像
'mo'fa'kang'xing 魔法抗性
'mo'fa'mang'guo 魔法芒果
'mo'fa'shang'hai'di'dang 魔法伤害抵挡
'mo'fa'shang'xian 魔法上限
'mo'fa'xu'ruo 魔法虚弱
'mo'fa'zhi 魔法值
'mo'fa'zhi'bei'dan'gao 魔法纸杯蛋糕
'mo'fa'zhi'qi 魔法之契
'mo'hu 模糊
'mo'hua 魔化
'mo'jing 殁境
'mo'jing'shen'li 殁境神力
'mo'jing'shen'shi'zhe 殁境神蚀者
'mo'jing'sheng'ji 魔晶升级
'mo'kang 魔抗
'mo'kang'guang'huan 魔抗光环
'mo'li'chong'ying 魔力充盈
'mo'li'fa'zhang 魔力法杖
'mo'li'jian'dai 魔力箭袋
'mo'li'ming'deng 魔力明灯
'mo'li'yao'shui 魔力药水
'mo'long'qiang 魔龙枪
'mo'long'zhi'neng 魔龙之能
'mo'neng'zhi'hun 魔能之魂
'mo'ping 魔瓶
'mo'qiu'li 墨丘利
'mo'ri 末日
'mo'ri'ba'ba 末日爸爸
'mo'ri'shi'zhe 末日使者
'mo'ri'xiao'zi 末日小子
'mo'shi'shen'mie 殁世神灭
'mo'shi'shen'shi 殁势神蚀
'mo'ting'xin'zun 魔廷新尊
'mo'tong 魔童
'mo'tong'zhao 魔童爪
'mo'tong'zhi'zhao 魔童之爪
'mo'wang'jiang'lin 魔王降临
'mo'xing'hou'yi 魔星后裔
'mo'yan'xin'zun 魔延新尊
'mo'yi'bao'zha 魔异爆炸
'mo'yi'shou'wang'zhe 魔裔守望者
'mo'yong 墨涌
'mo'zhang 魔杖
'mo'zhao 魔爪
'mu'bei 墓碑
'mu'di 墓地
'na'hou'qi 拿后期
'na'jia'hai'yao 娜迦海妖
'na'tou'da'ya 拿头打呀
'nai'jiu 耐久
'nai'ke'si 奈克斯
'nai'lao 奶酪
'nai'lao'kuai 奶酪块
'nai'lv 奶绿
'nai'sa'ji 耐萨基
'nai'wen'mo'er 奈文摩尔
'nei'zai'you'shi 内在优势
'neng'liang'chi'lun 能量齿轮
'neng'liang'chong'ji 能量冲击
'neng'liang'qiu 能量球
'neng'liang'zhi'qiu 能量之球
'neng'liang'zhuan'yi 能量转移
'ni'an'ying'bo 逆暗影波
'ni'ta'sha 妮塔莎
'ni'ta'sha'nong'xue 妮塔莎脓血
'ni'tu'kui'lei 泥土傀儡
'ni'zhuan'shi'kong 逆转时空
'ni'zhuan'xie'lv 逆转协律
'nian'chou'bi'ti 粘稠鼻涕
'nian'xing'ran'you 粘性燃油
'nian'xing'zha'dan 粘性炸弹
'niao'niao'he'pao'pao 鸟鸟和泡泡
'niao'qi'shi 鸟骑士
'nie'zhu 孽主
'ning'hun'zhi'lei 凝魂之泪
'ning'hun'zhi'lu 凝魂之露
'ning'jing'zhong'zi 宁静种籽
'niu'qu'li'chang 扭曲力场
'niu'tou'ren'qiu'zhang 牛头人酋长
'nong'mo'zhong'cai 浓墨重彩
'nu'pao 弩炮
'nu'quan'po 怒拳破
'nu'quan'yi'xian 怒拳一现
'nu'yi'kuang'ji 怒意狂击
'nuo'chong 诺崇
'ou'ji'ren'qun 殴击人群
'pa'ge'na 帕格纳
'pa'ge'na'min'zui 帕格纳抿嘴
'pa'ji 帕吉
'pa'ke 帕克
'pai'pai 拍拍
'pai'pai'xiong 拍拍熊
'pan'shi'guang'huan 磐石光环
'pen'hui 喷绘
'pen'huo'zhuang'zhi 喷火装置
'pen'qi'bei'bao 喷气背包
'pen'sa'lie'jiu 喷洒烈酒
'peng'you'na'shi'ni'de 朋友那是你的
'pi'li'tie'shou 霹雳铁手
'pi'li'zhi'shou 霹雳之手
'pi'luo'shi'dou'peng 皮洛士斗篷
'piao'bo'jue'ying 漂泊绝影
'piao'hu'bu'ding 飘忽不定
'ping'shi'jian 平世剑
'po'bing'xing'dong 破冰行动
'po'fa 破法
'po'huai 破坏
'po'sui 破碎
'po'sui'zhi'guan 破碎之冠
'po'xiao'chen'xing 破晓辰星
'pu'gong'ying'hu'fu 蒲公英护符
'pu'li'si'te'lei'ting 普利斯特雷霆
'pu'tong'ji'neng 普通技能
'pu'tong'pi'pei 普通匹配
'pu'tong'yi'quan 普通一拳
'qi'guan'lun 奇观轮
'qi'qiu'zhe 祈求者
'qi'qu'wai'biao 崎岖外表
'qi'qu'wai'yi 崎岖外衣
'qi'shi'er'bian 七十二变
'qi'shi'jian 骑士剑
'qi'ta'shu'yu 其他术语
'qi'tian'da'sheng 齐天大圣
'qi'yue'lan'wei 契约栏位
'qi'yue'sha'shou 契约杀手
'qi'yun'zhi'mo 气运之末
'qi'zha'shi'dou'peng 欺诈师斗篷
'qian'bian'huan'jing 千变幻景
'qian'dan 铅弹
'qian'fu'hou'ji 前赴后继
'qian'jie'shen'gou 千劫神钩
'qian'jie'shen'tu 千劫神屠
'qian'kun'zhi'yue 乾坤之跃
'qian'qi 前期
'qian'shao 前哨
'qian'shao'fu 前哨符
'qian'shao'zhan 前哨站
'qian'shao'zhan'chang 前哨站长
'qian'xing'guang'huan 潜行光环
'qian'zhong'qi 前中期
'qiang'fu 抢符
'qiang'gong 强攻
'qiang'hua'tu'teng 强化图腾
'qiang'ji'guang'huan 强击光环
'qiang'ji'tu'teng 强击图腾
'qiang'li'ji 强力击
'qiang'li'shui 强力水
'qiang'li'xi'shou 强力吸收
'qiang'shi'zheng'fu 强势征服
'qiang'xi 强袭
'qiang'xi'ju'feng 强袭飓风
'qiang'xi'kui'jia 强袭盔甲
'qiang'xi'xiong'jia 强袭胸甲
'qie'fu'zhi'ying 切肤之影
'qie'huan'yi'dong'zhuang'tai 切换移动状态
'qin'shi'wu'ai 侵蚀雾霭
'qin'wang'duan'dao 亲王短刀
'qin'xi 禽戏
'qing'er 晴儿
'qing'feng'huan'pei 清风环佩
'qing'gong'yan 庆功宴
'qing'lian'bao'zhu 清莲宝珠
'qing'qu'wai'yi 情趣外衣
'qing'sen'zu'zhou 青森诅咒
'qing'tian'da'sheng 擎天大圣
'qiong'bi 琼碧
'qiong'gui'dun 穷鬼盾
'qiong'ying'bi'ling 琼英碧灵
'qiu'ling'ju'mo'kuang'zhan'shi 丘陵巨魔狂战士
'qiu'ling'ju'mo'mu'shi 丘陵巨魔牧师
'qiu'ling'ju'mo'zhen'ying 丘陵巨魔阵营
'qiu'sheng'zhi'lu 求圣之路
'qiu'zhuang'shan'dian 球状闪电
'qu'san'mo'fa 驱散魔法
'qu'shi'e'ling 驱使恶灵
'qu'xian'fa'qiu 曲线法球
'qu'xian'xue'xi 曲线学习
'qu'xie'hu'fu 驱邪护符
'qu'zhu 驱逐
'quan'cai 全才
'quan'cai'ying'xiong 全才英雄
'quan'kou'jing 全口径
'quan'ling'yu'chen'mo 全领域沉默
'quan'mian'jia'gu 全面加固
'quan'neng 全能
'quan'neng'qi'shi 全能骑士
'quan'neng'zhi'cun'zai 全能之存在
'quan'neng'zhi'gu 全能桎梏
'quan'qiu'liu 全球流
'quan'ying'xiong'sui'ji 全英雄随机
'quan'ying'xiong'sui'ji'si'wang'jing'sai 全英雄随机死亡竞赛
'qun'she'shou'wei 群蛇守卫
'qun'xing'feng'bao 群星风暴
'qun'xing'yun'luo 群星陨落
'ran'shao'jia'suo 燃烧枷锁
'ran'shao'zhi'jun 燃烧之军
'rang'ta'men'jing'jing 让他们静静
're'dao'fei'dan 热导飞弹
're'dian 热点
're'li'shi'kong 热力失控
're'xue'jing'ji'chang 热血竞技场
're'xue'yun'dong 热血运动
're'xue'zhan'hun 热血战魂
'ren'ai'zhi'you 仁爱之友
'ren'bu'jian'le 人不见了
'ren'ci'yu'en'ze 仁慈与恩泽
'ren'gu 韧鼓
'ren'jia 刃甲
'ren'ma 人马
'ren'mei'le 人没了
'ren'qun'tan'xi 人群叹息
'ren'shu 忍术
'ren'xin'ren'shu 仁心仁树
'ren'xing'tai 人形态
'ren'zhe'yong'ju 忍者用具
'reng'shu 扔树
'ri'yao 日耀
'rong'lu'jing'ling 熔炉精灵
'rong'yan'he 熔岩河
'rou'dun 肉盾
'rou'gou 肉钩
'rou'jiang 肉酱
'rou'shan 肉山
'rou'shan'bao'bao 肉山宝宝
'rou'shan'chao'xue 肉山巢穴
'rou'shan'de'zhan'qi 肉山的战旗
'rou'shan'dun 肉山盾
'rou'shan'tuan 肉山团
'ru'yi'bang'fa 如意棒法
'rui'si'tu'er'jian'bi 瑞斯图尔尖匕
'rui'tuo'cui'pu 瑞托崔普
'rui'wen'te'er 瑞文特尔
'rui'zhi 睿智
'rui'zi'la'ke 瑞兹拉克
'ruo'hua'neng'liu 弱化能流
'sa'dan'zhi'xie'li 撒旦之邪力
'sa'er 萨尔
'sa'fen 撒粉
'sa'te'fang'zhu'zhe 萨特放逐者
'sa'te'ku'nan'shi'zhe 萨特苦难使者
'sa'te'qie'shen'zhe 萨特窃神者
'sa'te'zhen'ying 萨特阵营
'sai'ji'wu'pin 赛季物品
'sai'li'meng'ni'de'xin'shi 赛莉蒙妮的信使
'san'bo 散播
'san'cha'ji 三叉戟
'san'dan 散弹
'san'hua 散华
'san'huang'dui'dian 三黄对点
'san'hui'dui'jian 散慧对剑
'san'hun'jian 散魂剑
'san'shi 散失
'san'ye'dui'jian 散夜对剑
'san'yuan'zhong'ji 三元重戟
'san'zhi'shou 三只手
'sao'she 扫射
'sao'zhou'bing 扫帚柄
'sen'hai'fei'xia 森海飞霞
'sha'chen'bao 沙尘暴
'sha'fu 傻福
'sha'ji 杀鸡
'sha'niao 杀鸟
'sha'wang 沙王
'shan'beng 山崩
'shan'bi'hu'fu 闪避护符
'shan'dian'feng'bao 闪电风暴
'shan'dian'you'hun 闪电幽魂
'shan'dian'zhi'lian 闪电之链
'shan'dong'ye'guai 煽动野怪
'shan'guang'you'hun 闪光幽魂
'shan'guang'zhong'chui 闪光重锤
'shan'ling 山岭
'shan'ling 闪灵
'shan'ling'ju'ren 山岭巨人
'shan'shuo 闪烁
'shan'shuo'bi'shou 闪烁匕首
'shan'shuo'sui'pian 闪烁碎片
'shan'shuo'tu'xi 闪烁突袭
'shang'can'kong'ju 伤残恐惧
'shang'di'zhi'shou 上帝之手
'shang'er'ta 上二塔
'shang'gao'di'ta 上高地塔
'shang'gu'feng'yin 上古封印
'shang'gu'ju'shen 上古巨神
'shang'hai'fan'tan 伤害反弹
'shang'hai'ge'dang 伤害格挡
'shang'hai'jian'shao 伤害减少
