'a'bei'ye 阿贝耶
'mao'li'xi'ao'sa'bi'yong 毛里西奥萨比勇
'mao'li'xi'ao'wei'ke'tuo'li'nuo 毛里西奥维克托里诺
'mei'de'er 梅德尔
'mei'de'jia'ni 梅德贾尼
'mei'di'na 梅迪纳
'mei'ge'ni 梅格尼
'mei'guo'dui 美国队
'mei'guo'niu'yue'hong'niu 美国纽约红牛
'mei'guo'tan'pa'hai'wan 美国坦帕海湾
'mei'lei'lai'si 梅雷莱丝
'mei'luo 梅洛
'mei'si'ba'he 梅斯巴赫
'mei'xi 梅西
'mei'yin'ci 美因茨
'mei'zhou'dui 美洲队
'mei'zhou'shi 美洲狮
'men'de'si 门德斯
'men'xing 门兴
'meng'ta'li 蒙塔里
'meng'te'li'wo 蒙特利沃
'mi'de'er'si'bao 米德尔斯堡
'mi'di'li'jia 米蒂里加
'mi'er'na 米尔纳
'mi'er'nei'si'xi'xi'qi 米尔内斯希希奇
'mi'ge'er 米格尔
'mi'ke'er 米克尔
'mi'la'er 米拉尔
'mi'lan'bu'er'ji'qi 米兰布尔吉奇
'mi'le'ye'di'na'ke 米勒耶迪纳克
'mi'li'tuo 米利托
'mi'li'wo'ye'nuo'wa'ke'wei'qi 米利沃耶诺瓦科维奇
'mi'li'ya'shen 米利亚什
'mi'luo'si'la'fu'si'tuo'qi 米罗斯拉夫斯托奇
'mi'nei'luo'jing'ji 米内罗竞技
'mi'suo'bu'lei'qi'ke 米索布雷奇克
'mi'te'luo'ge'lu 米特罗格鲁
'mi'xie'er 米歇尔
'ming'gu'wu'jing'ba 名古屋鲸八
'mo'di'sai 莫迪塞
'mo'ding 莫丁
'mo'er'ben'sheng'li 墨尔本胜利
'mo'ka'ba'qiu'chang 莫卡巴球场
'mo'ke'na 莫科纳
'mo'la'si 莫拉斯
'mo'lei'nuo 莫雷诺
'mo'li'li 莫里里
'mo'si 莫斯
'mo'si'ke'di'na'mo 莫斯科迪纳摩
'mo'si'ke'huo'che'tou 莫斯科火车头
'mo'si'ke'tu'xing 莫斯科土星
'mo'si'ke'zhong'yang'lu'jun 莫斯科中央陆军
'mo'ta'gua'ti'yu'dui 莫塔瓜体育队
'mo'te'sa'ke 默特萨克
'mo'xi'ge'dui 墨西哥队
'mu'bi'ya 穆比亚
'mu'bo'bei'la'qiu'chang 姆博贝拉球场
'mu'en 穆恩
'mu'er'de'jia 姆尔德贾
'mu'fei'la 姆费拉
'mu'le 穆勒
'mu'li'gan 穆里甘
'na'bu'le'si 那不勒斯
'na'ni 纳尼
'na'wa'si 纳瓦斯
'na'xi'ao'na'er 纳西奥纳尔
'nan'cheng'zhe 南成哲
'nan'fei'dui 南非队
'nan'te 南特
'nei'er'si'pu'lei'te 内尔斯普雷特
'nei'tian'du'ren 内田笃人
'nei'yi'qi'pei'qi'ni'ke 内伊奇佩奇尼克
'ni'er'ma 尼尔马
'ni'er'sen 尼尔森
'ni'gu'la'si'luo'de'yi'luo 尼古拉斯洛德伊罗
'ni'ji'ta'lu'ka'wei'ci'ya 尼基塔卢卡韦茨亚
'ni'ni'si 尼尼斯
'ni'ri'li'ya'dui 尼日利亚队
'ning'ke'wei'qi 宁科维奇
'niu'ka'si'er 纽卡斯尔
'niu'ka'si'er'pen'qi'ji 纽卡斯尔喷气机
'niu'lun'bao 纽伦堡
'nuo'ai'er'ba'la'ya'da'lei'si 诺埃尔巴拉亚达雷斯
'nuo'mu'wei'te 诺姆维特
'nuo'yi'er 诺伊尔
'ou'sai'er 欧塞尔
'pa'da'li'nuo 帕达利诺
'pa'ke 帕克
'pa'le'mo 帕勒莫
'pa'lei'de'si 帕雷德斯
'pa'long'bo 帕隆博
'pa'na'xin'na'ke'si 帕纳辛纳科斯
'pa'ni'ao'ni'ao'si 帕尼奥尼奥斯
'pa'pa'duo'pu'luo'si 帕帕多普洛斯
'pa'pa'si'ta'tuo'pu'luo'si 帕帕斯塔托普洛斯
'pa'qi'ni 帕奇尼
'pa'qiu'ka 帕丘卡
'pa'si'dun 帕斯顿
'pa'si'tuo'lei 帕斯托雷
'pa'te'sa'zuo'ge'lu 帕特萨佐格鲁
'pan'te'li'qi 潘特利奇
'pan'te'xi'er 潘特西尔
'pang'si 庞斯
'pei'de'luo 佩德罗
'pei'lei'la 佩雷拉
'pei'lei'si 佩雷斯
'pei'pei 佩佩
'pei'te'luo'wei'qi 佩特罗维奇
'pi'er'luo 皮尔洛
'pi'ke 皮克
'pi'na'er 皮纳尔
'pi'te'pei'ka'li'ke 皮特佩卡里克
'piao'zhi'xing 朴智星
'piao'zhou'yong 朴周永
'ping'rang'cheng 平壤城
'ping'tuo 平托
'pu'ai'bu'la 普埃布拉
'pu'cheng'he 朴成赫
'pu'ci'mao'si 朴茨茅斯
'pu'la'dun'si 普拉顿斯
'pu'la'nu'si 普拉努斯
'pu'li'mao'si 普利茅斯
'pu'li'ta'si 普里塔斯
'pu'nan'zhe 朴南哲
'pu'nan'zhe 朴男哲
'pu'tao'ya'ben'fei'ka'dui 葡萄牙本菲卡队
'pu'tao'ya'bo'er'tu'dui 葡萄牙波尔图队
'pu'tao'ya'dui 葡萄牙队
'pu'xiang'zhi'tie 浦项制铁
'pu'yue'er 普约尔
'pu'zhe'zhen 朴哲镇
'qi'cheng'yong 奇诚庸
'qi'ge'le 齐格勒
'qi'ya'ni 齐亚尼
'qi'zhi'piao'yang 旗帜飘扬
'qiao'ha'te 乔哈特
'qiao'ke'er 乔科尔
'qiao'na'sen'men'sa 乔纳森门萨
'qiao'ni'pa'la'xi'ao'si 乔尼帕拉西奥斯
'qiao'shen'ken'ni'di 乔什肯尼迪
'qiao'zhi'fu'xi'lai 乔治富西莱
'qiao'zhi'luo'de'li'ge'si 乔治罗德里格斯
'qiao'zhi'ma'ding'nei'si 乔治马丁内斯
'qie'er'xi 切尔西
'qie'lan'duo'luo 切兰多洛
'qie'lu 切鲁
'qie'sai'na 切塞纳
'qie'wo 切沃
'qing'gong'ye'sheng 轻工业省
'quan'bei'xian'dai'lian'ji'xun 全北现代廉基勋
're'ci 热刺
're'na'ya 热那亚
'ri'ben'da'fen'san'shen 日本大分三神
'ri'ben'dui 日本队
'ri'ben'jing'du'sa'sang'na 日本京都萨桑那
'ri'ben'lu'dao'lu'jiao'li'rong'biao 日本鹿岛鹿角李荣杓
'ri'ben'pan'tian'xi'yue 日本磐田喜悦
'ri'ji'qi 日基奇
'rui'shi'dui 瑞士队
'ruo'su'ai 若苏埃
'sa'er'ci'bao 萨尔茨堡
'sa'er'pei 萨尔佩
'sa'er'pi'ji'di'si 萨尔皮吉迪斯
'sa'er'xi'duo 萨尔西多
'sa'la'ge'sa 萨拉戈萨
'sa'long'ni'ji 萨隆尼基
'sa'luo'ni'ka 萨洛尼卡
'sa'ma'la'si 萨马拉斯
'sa'mi'er'han'dan'nuo'wei'qi 萨米尔汉丹诺维奇
'sa'mu'ai'er 萨穆埃尔
'sa'ni'kai'ta 萨尼凯塔
'sa'ni'ya 萨尼亚
'sa'si'fei'er'de 萨斯菲尔德
'sa'si'suo'luo 萨斯索罗
'sai'ba'si'di'an'a'bu'lu 塞巴斯蒂安阿布鲁
'sai'ba'si'di'an'ai'gu'lun 塞巴斯蒂安埃古伦
'sai'ba'si'di'an'fei'er'nan'de'si 塞巴斯蒂安费尔南德斯
'sai'er'ji'ao'men'duo'sa 塞尔吉奥门多萨
'sai'er'ke'lai'bu'lu'ri 赛尔克莱布鲁日
'sai'er'wei'ya'dui 塞尔维亚队
'sai'fei 塞菲
'sai'sa'er 塞萨尔
'sai'wei'li'ya 塞维利亚
'sai'yi'du'dun'bi'ya 赛伊杜敦比亚
'sang'de'lan 桑德兰
'sang'pu'duo'li'ya 桑普多利亚
'sang'qie'si 桑切斯
'sang'ta'na 桑塔纳
'sang'tan'de'jing'ji 桑坦德竞技
'sang'tuo'si 桑托斯
'sang'wen'ni 桑温尼
'sen'ben'gui'xing 森本贵幸
'sen'de'luo'si 森德罗斯
'sha'kui'li 沙奎里
'sha'si 沙斯
'sha'te'a'er'xi'la'er 沙特阿尔希拉尔
'shao'zi'dian'qiu 勺子点球
'sheng'ai'di'an 圣艾蒂安
'sheng'ke'lu'si 圣克鲁斯
'sheng'luo'lun'zuo 圣洛伦佐
'shi'mi'si 史密斯
'shi'wei'ge'le 施维格勒
'shi'wei'yin'si'tai'ge 施魏因斯泰格
'shi'ye'gui'zhang 矢野貴章
'shui'yuan'san'xing 水原三星
'si'da 斯达
'si'di'fen'an'de'sen 斯蒂芬安德森
'si'di'fu'ge'wu'li 斯蒂夫戈乌里
'si'ke'te'pa'ke 斯科特帕克
'si'ke'te'qi'pei'fei'er'de 斯科特齐佩菲尔德
'si'kui'la'qi 斯奎拉奇
'si'luo'fa'ke'dui 斯洛伐克队
'si'luo'wen'ni'ya'dui 斯洛文尼亚队
'si'mei'er'ci 斯梅尔茨
'si'nei'de 斯内德
'si'pei'ke'te 斯佩科特
'si'pi'luo'pu'luo'si 斯皮洛普洛斯
'si'pi'qie'er 斯皮切尔
'si'tan'ke'wei'qi 斯坦科维奇
'si'tan'ni'si'la'fu'sai'si'ta'ke 斯坦尼斯拉夫塞斯塔克
'si'te'ke'lun'bo'ge 斯特克伦伯格
'si'te'lei'le 斯特雷勒
'si'tu'jia'te 斯图加特
'si'tuo'ke'cheng 斯托克城
'si'tuo'yi'ke'wei'qi 斯托伊科维奇
'song'jing'da'fu 松井大辅
'su'a'de'fei'le'ke'wei'qi 苏阿德菲勒科维奇
'su'bo'di'qi 苏伯蒂奇
'su'ge'lan'kai'er'te'ren 苏格兰凯尔特人
'su'ge'lan'ma'se'wei'er 苏格兰马瑟韦尔
'su'lai'man'bang'ba 苏莱曼邦巴
'su'ya'suo 苏亚索
'suo'fei'ya'si'la'wei'ya 索菲亚斯拉维亚
'suo'li'ma'nuo 索利马诺
'suo'lun'la'er'sen 索伦拉尔森
'suo'lun'sen 索伦森
'suo'xiao 索肖
'ta'er'kan 塔尔坎
'ta'ge'yi 塔戈伊
'ta'shen'che 塔什彻
'ta'yi'wo 塔伊沃
'tang'mu'ao'ya 汤姆奥亚
'te'er'na'wa'si'ba'da 特尔纳瓦斯巴达
'te'la'bu'zong 特拉布宗
'te'la'wei'fu'ha'pu'er 特拉维夫哈普尔
'te'la'wei'fu'ma'ka'bi 特拉维夫马卡比
'te'lei'shi 特雷施
'te'li 特里
'te'luo 特洛
'te'luo'huo'fu'si'ji 特罗霍夫斯基
'te'qi'ao'li'si 特齐奥里斯
'te'wei'si 特维斯
'te'wen'te 特温特
'te'wen'te'en'si'he'de 特温特恩斯赫德
'te'zha'bei'la'si 特扎贝拉斯
'te'zuo'wa'si 特佐瓦斯
'tian'zhong'dou'li'wang 田中斗莉王
'tu'chao'fei'nei'ba'qie 土超费内巴切
'tu'la'lang 图拉郎
'tu'lu'zi 图卢兹
'tuo'la'duo 托拉多
'tuo'lei'si 托雷斯
'tuo'lu'ka 托鲁卡
'tuo'luo'xi'di'si 托罗西迪斯
'tuo'ma'sen 托马森
'tuo'ma'si'ai'ni'wo'er'de'sen 托马斯埃尼沃尔德森
'tuo'te'na'mu're'ci 托特纳姆热刺
'tuo'wa'la 托瓦拉
'tuo'xi'qi 托西奇
'wa'er'bu'ai'na 瓦尔布埃纳
'wa'er'te'bi'er'sa 瓦尔特比尔萨
'wa'er'te'si 瓦尔特斯
'wa'la'di'mi'er'wei'si 瓦拉迪米尔维斯
'wa'lang'xie'na 瓦朗谢纳
'wa'lang'xie'ne 瓦朗谢讷
'wa'lun'su'ai'la 瓦伦苏埃拉
'wa'lun'xi'ya 瓦伦西亚
'wa'si'lu'yi 瓦斯鲁伊
'wei'bo 韦博
'wei'di'qi 维迪奇
'wei'er'kang'mu 维尔康姆
'wei'er'xun'pa'la'xi'ao'si 威尔逊帕拉西奥斯
'wei'gang 维冈
'wei'gang'jing'ji 维冈竞技
'wei'gen 威根
'wei'ke'duo'bo'na'de'si 维克多伯纳德斯
'wei'la 维拉
'wei'la'li'er 维拉利尔
'wei'luo'suo 维罗索
'wei'shan'xian'dai 蔚山现代
'wei'shan'xian'dai'zhao'rong'heng 蔚山现代赵容亨
'wei'si'li'qi 维斯利奇
'wei'si'te'man 韦斯特曼
'wei'si'wa'ke'la'ke'fu 维斯瓦克拉科夫
'wei'ze 维泽
'wen'ren'guo 文仁国
'wen'sen'zuo'ge'lei'la 文森佐格雷拉
'wen'te'la 温特拉
'wo'er'fu'han'pu'dun 沃尔夫汉普顿
'wo'er'fu'li 沃尔弗里
'wo'er'fu'si'bao 沃尔夫斯堡
'wo'er'ke'te 沃尔科特
'wo'er'te'jia'er'jia'nuo 沃尔特加尔加诺
'wo'er'te'ma'ding'nei'si 沃尔特马丁内斯
'wo'mu 沃姆
'wo'nuo'ke 沃诺克
'wo'sa 沃萨
'wo'te'fu'de 沃特福德
'wu'de 伍德
'wu'de'le'zhi 乌德勒支
'wu'de'lie'zhi 乌德列支
'wu'di'nei 乌迪内
'wu'di'nei'si 乌迪内斯
'wu'fan'xi 吴范锡
'wu'la'gui'dui 乌拉圭队
'wu'la'gui'min'zu 乌拉圭民族
'wu'la'gui'pei'na'luo'er 乌拉圭佩纳罗尔
'wu'la'gui'shou'wei'zhe'dui 乌拉圭守卫者队
'wu'wu'zu'la 呜呜祖啦
'xi'ba'ya 西巴亚
'xi'ban'ya'dui 西班牙队
'xi'ban'ya'ren 西班牙人
'xi'bo'ni'an 希伯尼安
'xi'bu'lang 西布朗
'xi'bu'lang'wei'qi 西布朗维奇
'xi'bu'luo'mu'wei'qi 西布罗姆维奇
'xi'er'wa 席尔瓦
'xi'fa'ji'si 西法基斯
'xi'ge'men'de 西格门德
'xi'han'mu 西汉姆
'xi'han'mu'lian 西汉姆联
'xi'jia'bi'li'ya'lei'ya'er 西甲比利亚雷亚尔
'xi'jia'ma'jing 西甲马竞
'xi'jia'wa'lun'xi'ya 西甲瓦伦西亚
'xi'la'dui 希腊队
'xi'mang 西芒
'xi'meng'bao'er'sen 西蒙鲍尔森
'xi'sai 西塞
'xi'ta'li'di'si 西塔里迪斯
'xi'tu 希图
'xi'ya'ka'di'ye'nei 西亚卡蒂耶内
'xi'ye'na 锡耶纳
'xiao'bai'shui 小白水
'xiao'yan'qiang 小烟枪
'xie'en'lao'li 谢恩劳里
'xin'jiong'min 辛炯珉
'xin'xi'lan'dui 新西兰队
'xiong'shi'zhi'xin 雄狮之心
'xiu'ge'er 休格尔
'xu'ding'mao 许丁茂
'ya'bo 雅博
'ya'dang'mu'fei'de'li'qi 亚当姆费德里奇
'ya'dang'yue'han'xun 亚当约翰逊
'ya'ku'bu 雅库布
'ya'kun'ta 亚昆塔
'ya'lai'ke'sang'da'la'duo'sa'fu'lie'wei'qi 亚莱克桑达拉多萨夫列维奇
'ya'lai'ke'sang'da'la'yi'sai'wei'qi 亚莱克桑达拉伊塞维奇
'ya'lai'ke'sang'da'sai'jia'li 亚莱克桑达塞加里
'ya'si'min'han'dan'nuo'wei'qi 亚斯敏汉丹诺维奇
'ya'te'lan'da 亚特兰大
'ya'xi'ya 雅西亚
'ya'ya'tu'lei 亚亚图雷
'yan'hu'cheng 盐湖城
'yan'sen 延森
'yan'zheng'da'shu 岩政大树
'yang'du'li'ka 杨杜利卡
'yang'ke'pu'li'wei'qi 杨科普里维奇
'yang'ke'zha'ke 杨科扎克
'yang'mu'ha 杨穆哈
'yang'sen 扬森
'ye'bu'da 耶布达
'ye'hu'da 耶胡达
'ye'ka'si 耶卡斯
'yi'da'li'dui 意大利队
'yi'da'li'na'bu'le'si'dui 意大利那不勒斯队
'yi'de'li'su 伊德里苏
'yi'ge'na'xi'ao'gang'sa'lei'si 伊格纳西奥冈萨雷斯
'yi'gua'yin 伊瓜因
'yi'jia'ba'le'mo 意甲巴勒莫
'yi'jia'ka'ta'ni'ya'dui 意甲卡塔尼亚队
'yi'jia'la'qi'ao 意甲拉齐奥
'yi'jia'you'wen'tu'si 意甲尤文图斯
'yi'la'ke'li'si 伊拉克利斯
'yi'li'sha'bai'gang 伊丽莎白港
'yi'nie'si'ta 伊涅斯塔
'yi'pu'si'wei'qi 伊普斯维奇
'yi'sai'yi'luo'wei'qi 伊塞伊洛维奇
'yi'si'la 伊斯拉
'yi'si'te'lei'si 伊斯特雷斯
'yi'wan'nuo'wei'qi 伊万诺维奇
'yi'yi'du'ling 意乙都灵
'yin'ku'mu 因库姆
'yin'le 因勒
'ying'ge'lan'bo'er'dun 英格兰博尔顿
'ying'ge'lan'dui 英格兰队
'ying'ge'lan'man'che'si'te'lian 英格兰曼彻斯特联
'you'jin'jia'lai'ke'wei'qi 尤金加莱科维奇
'you'la'yi'ku'qi'ka 尤拉伊库奇卡
'you'qi'zheng'gang 楢崎正刚
'you'su'fu 尤素夫
'you'wen'tu'si 尤文图斯
'yu'tian'gui'si 玉田圭司
'yuan'teng'bao'ren 远藤保仁
'yue'gen'sen 约根森
'yue'han'men'sa 约翰门萨
'yue'han'nei'si'bao 约翰内斯堡
'yue'han'wu'ta'ka 约翰乌塔卡
'yue'si'pu'si 约斯普斯
'yue'wan'nuo'wei'qi 约万诺维奇
'zan'bu'luo'ta 赞布罗塔
'ze'ma'mu'qie 泽马穆切
'ze'ni'te 泽尼特
'zha'ku'mi 扎库米
'zha'ma'lai'ke 扎马莱克
'zhan'mu'si 詹姆斯
'zhan'mu'si'huo'lan'de 詹姆斯霍兰德
'zhan'ni'na 詹尼纳
'zheng'cheng'long 郑成龙
'zheng'da'shi 郑大世
'zhi'hua'shi 芝华士
'zhi'li'da'xue 智利大学
'zhi'li'dui 智利队
'zhi'li'ke'luo'ke'luo'dui 智利科洛科洛队
'zhi'li'tian'zhu'da'xue'dui 智利天主大学队
'zhi'yin'nan 志尹南
'zhong'chao'hang'zhou'lv'cheng 中超杭州绿城
'zhong'cun'jun'fu 中村俊輔
'zhong'cun'xian'gang 中村宪刚
'zhong'guo'da'lian'shi'de 中国大连实德
'zhong'ze'you'er 中泽佑二
'zi'deng'nuo'si'te'er'ba 兹邓诺斯特尔巴
'zi'la'tan'liu'bi'yang'ji'qi 兹拉坦柳比扬基奇
'zi'la'te'ke'de'di'qi 兹拉特科德迪奇
'zi'you'qiu'chang 自由球场
'zi'you'qiu'yuan 自由球员
'zi'you'zhi'ye 自由职业
'zu'qiu'cheng 足球城
