'a'ka'bo'tang 阿卡波糖
'yan'suan'duo'ba'fen'ding'an'zhu'she'ye 盐酸多巴酚丁胺注射液
'yan'suan'er'jia'shuang'gua 盐酸二甲双胍
'yan'suan'li'duo'ka'yin'zhu'she'ye 盐酸利多卡因注射液
'yan'suan'luo'bei'lin'zhu'she'ye 盐酸洛贝林注射液
'yan'suan'mo'xi'sha'xing'bai'fu'le 盐酸莫西沙星拜复乐
'yan'suan'pai'ti'ding 盐酸哌替啶
'yan'suan'pu'nai'luo'er 盐酸普萘洛尔
'yan'suan'qu'ma'duo 盐酸曲马多
'yan'suan'qu'ma'duo'huan'shi'jiao'nang 盐酸曲马多缓释胶囊
'yan'suan'qu'ma'duo'zhu'she'ye 盐酸曲马多注射液
'yan'suan'qu'mei'ta'qin 盐酸曲美他嗪
'yan'suan'shen'shang'xian'su'zhu'she'ye 盐酸肾上腺素注射液
'yan'suan'te'la'zuo'qin 盐酸特拉唑嗪
'yan'suan'xiu'yi'xin 盐酸溴乙新
'yan'suan'xiu'yi'xin 盐酸溴已新
'yan'suan'yi'bing'shen'shang'xian'su'zhu'she'ye 盐酸异丙肾上腺素注射液
'ye'mu'gua'ke 野木瓜颗
'ye'mu'gua'ke'san'cha'shen'jing'tong 野木瓜颗三叉神经痛
'ye'suan 叶酸
'yi'an'ding'chun 乙胺丁醇
'yi'ban'jian'liang'yuan'ze'mei'zhou'jian 一般减量原则每周见
'yi'ban'xian'yu'yi'yi'ban'yong'liang 一般先予以一半用量
'yi'bei'sha'tan 伊贝沙坦
'yi'bing'shen'shang'xian'su 异丙肾上腺素
'yi'ci'xing'xi'tan'fu'ya'xi'yin'qi'yi'ge 一次性吸痰负压吸引器一个
'yi'liao'cheng 一疗程
'yi'meng'ting'luo'pai'ding'an 易蒙停洛哌丁胺
'yi'na'pu'li 依那普利
'yi'pa'si'ta 依帕司他
'yi'qu'kang'zuo 伊曲康唑
'yi'qu'kang'zuo'liao'cheng'wei'zhou 伊曲康唑疗程为周
'yi'suan'yong 抑酸用
'yi'tuo'bo'gan 依托泊苷
'yi'xian'ban'guang'an'suan'pao'teng 一线半胱氨酸泡腾
'yi'xian'ban'guang'an'suan'pao'teng 乙酰半胱氨酸泡腾
'yi'yan'jing 异烟肼
'yi'zhi'gu'sui'po'huai 抑制骨髓破坏
'yi'zhi'quan'shen'yan'zheng'fan'ying 抑制全身炎症反应
'yi'zhi'quan'shi'yan'zheng'fan'ying 抑制全是炎症反应
'yin'huang'han'hua 银黄含化
'yin'ji'mei'chang'rong 蚓激酶肠溶
'yin'xing'da'mo 银杏达莫
'yong'liu'ci 用六次
'yong'liu'yue 用六月
'yong'yu 用于
'you'ming'qiang'di'song 又名强的松
'yu'jing'dan'bai'zhong'he'gan'shen 鱼精蛋白中和肝肾
'yu'yi'bu'jian 予以补碱
'yuan'ye'beng'ru 原液泵入
'zan'ting'gai'lei'kang'sheng'su 暂停该类抗生素
'zhen'jun'pei'yang'men'zhen'lou'lou'wei'sheng'wu'shi 真菌培养门诊楼楼微生物室
'zhen'jun'tu'men'zhen'lou'lou'te'jian'shi 真菌涂门诊楼楼特检室
'zheng'chang'na'liang'na 正常钠量钠
'zhi'di 至滴
'zhi'fang'ru 脂肪乳
'zhi'rong'xing'wei'sheng'su 脂溶性维生素
'zhi'tong 止痛
'zhi'xi'bao'wai'ye'zhan'ti'zhong 指细胞外液占体重
'zhi'xue'min 止血敏
'zhi'xue'min'fen'huang'yi'an 止血敏酚磺乙胺
'zhi'zhi'jian'wan 直至减完
'zhong'du'liang'xing 重度两性
'zhong'jiu'shi'suan'qu'jia'shen'shang'xian'su 重酒石酸去甲肾上腺素
'zhong'liu'rong'jie'zong'he'zheng 肿瘤溶解综合症
'zhong'zheng'jian'hu 重症监护
'zhong'zheng'jian'hu'zhen'jing 重症监护镇静
'zhu'she'ye'xiao'pu'na 注射液硝普钠
'zhu'she'ye'yan'suan'an'xiu'suo 注射液盐酸氨溴索
'zhu'she'yong'ao'mei'la'zuo 注射用奥美拉唑
'zhu'she'yong'huan'lin'xian'an 注射用环磷酰胺
'zhu'she'yong'xiong'xian'tai 注射用胸腺肽
'zhu'she'yong'yan'suan'an'xiu'suo 注射用盐酸氨溴索
'zhu'yi'shen'zhi'tong'kong'bian'hua 注意神志瞳孔变化
'zhuan'yong'rong'mei 专用溶媒
'zong'liang'xiao'yu 总量小于
'zui'da'dao 最大到
'zui'da'liang 最大量
'zui'da'liang'ke'yong'zhi 最大量可用至
'zui'gao'xiang'dang'yu 最高相当于
'zui'zhi 最值
'zuo'jia'zhuang'xian'su'na 左甲状腺素钠
'zuo'lai'lin'suan 唑来膦酸
'zuo'lai'lin'suan'zhu'she'ye 唑来膦酸注射液
'zuo'xuan'an'lv'di'ping 左旋氨氯地平
'zuo'xuan'men'dong'xian'an'mei 左旋门冬酰胺酶
'zuo'yang'fu'sha'xing 左氧氟沙星
