'an'hei 暗黑
'hu'bian'xi'sui'lu 虎鞭洗髓露
'hu'chao'bing'feng 护巢兵蜂
'hu'chao'gong'feng 护巢工蜂
'hu'die'qun'qun'zi 蝴蝶裙裙子
'hu'die'qun'shang'yi 蝴蝶裙上衣
'hu'die'qun'xie'zi 蝴蝶裙鞋子
'hu'die'shuang'dao 蝴蝶双刀
'hu'er'cao 虎耳草
'hu'fa 护法
'hu'feng'yao'pei 虎风腰佩
'hu'fu 护符
'hu'gu 虎骨
'hu'gu'xiang'lian 虎骨项链
'hu'ji 胡姬
'hu'ji 虎击
'hu'ji'cun 胡姬村
'hu'jia'fu 护甲符
'hu'jia'fu'zhong'ji 护甲符中级
'hu'jia'yu'pian 护甲玉片
'hu'li'xue 虎力靴
'hu'pi'hu'huai'zu'jian 虎皮护踝组件
'hu'pi'hu'xi'zu'jian 虎皮护膝组件
'hu'pi'hu'xin'jing'zu'jian 虎皮护心镜组件
'hu'pi'mao'yan 虎皮帽檐
'hu'pi'piao'dai'zu'jian 虎皮飘带组件
'hu'pi'wan'jia'zu'jian 虎皮腕甲组件
'hu'qian'jun 虎千军
'hu'shen'fu 护神符
'hu'shen'fu 护身符
'hu'tou'kui 虎头盔
'hu'tui 护腿
'hu'wan 护腕
'hu'wan'jun 虎万军
'hu'wei 虎卫
'hu'wei'ci'qiu 护卫刺球
'hu'wei'mu'bei 护卫墓碑
'hu'wei'shi'ren'hua 护卫食人花
'hu'wen 虎纹
'hu'wen'du'zhu 虎纹毒蛛
'hu'xian 狐仙
'hu'xian'hu'fu 狐仙护符
'hu'xiao'long'jiu 呼啸龙鹫
'hu'xiao'xue 虎啸靴
'hu'yue 虎跃
'hua'ji 化级
'hua'she 化蛇
'hua'shen 花神
'hua'shen'zhi'xi 花神之息
'hua'shi 化石
'hua'shi'xiang'lian 化石项链
'hua'shou 花兽
'hua'xue 化血
'hua'xue'cheng'mo 化血成魔
'hua'yu'dan 化淤丹
'huan'bian'zhe 幻变者
'huan'bian'zhe'yin'ji 幻变者印记
'huan'hun'zhou 还魂咒
'huan'jing 幻境
'huan'ling'fu 幻灵符
'huan'ling'fu'gao'ji 幻灵符高级
'huan'ling'jian 幻灵剑
'huan'ling'yu'pian 幻灵玉片
'huan'long'pi'feng 幻胧披风
'huan'tian 幻天
'huan'tian'jie 幻天戒
'huan'wu'yin'yue'jian 幻舞隐月剑
'huang'chen 黄沉
'huang'chen'zhi'shi 黄沉之石
'huang'chen'zhi'shi'ji 黄沉之石级
'huang'cheng'jin'chi 皇城金翅
'huang'cheng'yin'chi 皇城银翅
'huang'fen'huo 荒坟火
'huang'hou 黄厚
'huang'hou'zhi'shi 黄厚之石
'huang'hun 黄昏
'huang'jin'chang'dao'dao'ge 黄金长刀刀格
'huang'jin'chang'gan'jie'sun 黄金长杆接榫
'huang'jin'duan'ren'bing 黄金短刃柄
'huang'jin'gu'jia'he'ye 黄金股甲合页
'huang'jin'gun'bang'hu'shou 黄金棍棒护手
'huang'jin'hu'shen'suo 黄金护身锁
'huang'jin'huai'jia'he'ye 黄金踝甲合页
'huang'jin'jian'jia'he'ye 黄金肩甲合页
'huang'jin'mao'bing 黄金矛柄
'huang'jin'mian'zhao'he'ye 黄金面罩合页
'huang'jin'xiu'jia'he'ye 黄金袖甲合页
'huang'quan'xiao'gui 黄泉小鬼
'huang'shui'jing'zhui'zi 黄水晶坠子
'huang'tian'hou'tu'wan 皇天后土丸
'huang'ye 荒野
'huang'ye'chi'man 荒野齿蛮
'huang'ye'long'zhi 荒野龙蛭
'huang'ye'xuan'gui 荒野旋龟
'huang'ye'zao'chi 荒野凿齿
'huang'yu 黄玉
'huang'yu'xiang'lian 黄玉项链
'huang'yu'yao'pei 黄玉腰佩
'huang'yu'zhi'shi 黄玉之石
'huang'yu'zhi'shi'ji 黄玉之石级
'huang'yuan'lang'zhu 荒原狼蛛
'huang'yuan'lang'zhu'wang 荒原狼蛛王
'hui'cheng'shu 回城术
'hui'fu 回复
'hui'huang'zhi'sha 辉煌之纱
'hui'ji 徽记
'hui'lan 回蓝
'hui'ma'qiang 回马枪
'hui'mie'zhe 毁灭者
'hui'mie'zhe'yin'ji 毁灭者印记
'hui'shen'dan 会神丹
'hui'shi 辉石
'hui'tian 回天
'hui'tian 毁天
'hui'tian'jie 回天戒
'hui'tian'mie'di 毁天灭地
'hui'yin'ge'bi 回音戈壁
'hun'dun 混沌
'hun'he'jiao 混合胶
'hun'sha 婚纱
'hun'sha'shou'tao 婚纱手套
'hun'sha'xie'zi 婚纱鞋子
'hun'shi 混世
'hun'shi'ming'niu 混世冥牛
'hun'tie'qiang 浑铁枪
'hun'yuan 混元
'huo'can 火蚕
'huo'cheng'mei'kuang 火成煤矿
'huo'dun 火盾
'huo'hai'dao'shan 火海刀山
'huo'hong 火红
'huo'hong'zhi'shi 火红之石
'huo'hong'zhi'shi'ji 火红之石级
'huo'hu 火狐
'huo'jing'tong 火精通
'huo'lang 货郎
'huo'ling 火灵
'huo'man'wu 火蛮巫
'huo'mei 火玫
'huo'ming 火冥
'huo'ming'zhong'wan 火冥重腕
'huo'sha'tian'deng 火煞天灯
'huo'shang'yuan'ling 火殇怨灵
'huo'shang'yuan'ling'shou'ling 火殇怨灵首领
'huo'shao'tian 火烧天
'huo'shi 火使
'huo'shi'yu'pei 火使玉佩
'huo'xi 火系
'huo'xi 火蜥
'huo'xiang 藿香
'huo'xue'san 活血散
'huo'yan 火岩
'huo'yan 火眼
'huo'yan'bing'yi 火岩兵蚁
'huo'yan'dong'xue 火岩洞穴
'huo'yan'jie 火岩戒
'huo'yan'jing'ling 火焰精灵
'huo'yan'mi'fa'pao 火岩秘法袍
'huo'yan'qing'xue 火岩轻靴
'huo'yan'xiang'lian 火岩项链
'huo'yan'xiang'lian 火眼项链
'huo'yan'yao'pei 火岩腰佩
'huo'yan'zhan'shi 火岩战士
'huo'yan'zhong'jia 火岩重甲
'huo'yao'yong'liu'huang 火药用硫磺
'huo'yao'yong'mu'tan 火药用木炭
'huo'yao'yong'xiao'shi 火药用硝石
'huo'yun'hu'xian 火云狐仙
'huo'yun'jian 火云剑
'huo'yun'xie'shen'jian 火云邪神剑
'ji'dian 疾电
'ji'dian'gong 疾电弓
'ji'dian'jie 疾电戒
'ji'du'qian'kun 极度乾坤
'ji'feng 疾风
'ji'feng'bu'luo 疾风部落
'ji'feng'cao'yuan 疾风草原
'ji'feng'ci 疾风刺
'ji'guan'bao 机关豹
'ji'guan'xie 机关蟹
'ji'le'niao 极乐鸟
'ji'liu'quan'tao 激流拳套
'ji'liu'xuan'gui 激流旋龟
'ji'mie 寂灭
'ji'mie'jie 寂灭戒
'ji'mie'shi 寂灭使
'ji'mie'xiang'lian 寂灭项链
'ji'mie'yao'pei 寂灭腰佩
'ji'mu'bang 棘木棒
'ji'neng 技能
'ji'qi'po 祭旗坡
'ji'shi 祭师
'ji'tui 击退
'ji'tui'shi 击退矢
'ji'xiang'yao'shi 吉祥腰饰
'ji'yan'liao 级颜料
'ji'yu 击玉
'ji'yu'cheng 积羽城
'ji'yu'hu 积羽湖
'ji'yu'hu'pan 积雨湖畔
'ji'yun 击晕
'ji'yun'bu 疾云步
'ji'yun'bu'ji 疾云步级
'ji'yun'shi 击晕矢
'jia'jing'xin 加静心
'jia'xue 加血
'jian'bai 坚白
'jian'bai'xiang'lian 坚白项链
'jian'cheng 坚城
'jian'jia'fu 坚甲符
'jian'ke'hu'fu 剑客护符
'jian'ling 剑灵
'jian'nu 剑奴
'jian'qi'zong'heng 剑气纵横
'jian'sheng 剑圣
'jian'shi'chang'fu 尖石长斧
'jian'shi'chui 坚石锤
'jian'xian'cheng 剑仙城
'jian'xian'cheng'jiao'wai 剑仙城郊外
'jian'xian'hu 剑仙湖
'jian'ya'you'mao 尖牙幼猫
'jian'ya'zhi'shi 尖牙之矢
'jian'yu'pu'bu 箭羽瀑布
'jian'zhen 箭阵
'jian'zhong 剑冢
'jiang'xin'zhi'sha 匠心之纱
'jiang'xue 降血
'jiao'chong'zhi'nu 骄虫之奴
'jiao'chong'zhi'pu 骄虫之仆
'jiao'lang 郊狼
'jiao'lin'she 角鳞蛇
'jiao'lin'wang'she 角鳞王蛇
'jiao'nv 娇女
'jiao'ren 鲛人
'jiao'sha 绞杀
'jie'du'wan 解毒丸
'jie'gu'mu 接骨木
'jie'jing 结晶
'jie'niu 解牛
'jie'zhuang'tai 解状态
'jin'bo 金箔
'jin'chan 金蟾
'jin'chi'wang 金翅王
'jin'chuang'yao 金创药
'jin'ding 金锭
'jin'ding'fo'guang 金顶佛光
'jin'duan'fa'ku'xia'bai 锦缎法裤下摆
'jin'duan'fa'pao'yi'jin 锦缎法袍衣襟
'jin'duan'fa'shu'xie'di 锦缎法术鞋底
'jin'duan'hu'wan'xiu'mian 锦缎护腕绣面
'jin'duan'ling'li'fan'tao 锦缎灵力幡绦
'jin'duan'xiang'nang 锦缎香囊
'jin'feng 金峰
'jin'feng'zhi'shi 金峰之石
'jin'gang'fu'ti'wan 金刚附体丸
'jin'gang'jing 金刚经
'jin'gang'jue 金刚撅
'jin'gang'mu 金刚木
'jin'gang'sha 金刚砂
'jin'gang'shi'lian'zi 金刚石链子
'jin'ge'tie'ma'wan 金戈铁马丸
'jin'huan'she 金环蛇
'jin'huan'she'yu'shi 金环蛇玉饰
'jin'jia'shan'mao 金甲山猫
'jin'jia'yao 金甲妖
'jin'jing 金精
'jin'jing'ling'jian 金精灵剑
'jin'jing'tong 金精通
'jin'jing'zhan'jia 金精战甲
'jin'lin 金鳞
'jin'po 金魄
'jin'po'zhi'shi 金魄之石
'jin'qing'shou 金晴兽
'jin'shi 金使
'jin'shui'chi'man 近水齿蛮
'jin'shui'long'zhi 近水龙蛭
'jin'shui'zao'chi 近水凿齿
'jin'tang 金汤
'jin'tang'tui'jia 金汤腿甲
'jin'tang'xiu'jia 金汤袖甲
'jin'tang'xue 金汤靴
'jin'tang'zhan'jia 金汤战甲
'jin'tiao 金条
'jin'wu'niao 金乌鸟
'jin'xi 金系
'jin'xiang'quan 金项圈
'jin'xiang'yu 金镶玉
'jin'ye'zi 金叶子
'jin'yi 锦衣
'jin'yi'xian'bao 锦衣仙豹
'jin'zhong 金钟
'jin'zhong'zhao 金钟罩
'jin'zhuan 金砖
'jing'gang'chang'dao'dao'ge 精钢长刀刀格
'jing'gang'chang'gan'jie'sun 精钢长杆接榫
'jing'gang'duan'ren'bing 精钢短刃柄
'jing'gang'gu'jia'he'ye 精钢股甲合页
'jing'gang'gun'bang'hu'shou 精钢棍棒护手
'jing'gang'hu'shen'suo 精钢护身锁
'jing'gang'huai'jia'he'ye 精钢踝甲合页
'jing'gang'jian'jia'he'ye 精钢肩甲合页
'jing'gang'mao'bing 精钢矛柄
'jing'gang'mian'zhao'he'ye 精钢面罩合页
'jing'gang'nu'ji 精钢弩机
'jing'gang'xiu'jia'he'ye 精钢袖甲合页
'jing'guang 睛光
'jing'guang'xiang'lian 睛光项链
'jing'han'dan 惊寒丹
'jing'hong'ling 惊鸿岭
'jing'hong'qiao 惊鸿桥
'jing'hu 镜湖
'jing'hu'ju 镜湖居
'jing'ji 荆棘
'jing'ji'bang 荆棘棒
'jing'ji'ci 荆棘刺
'jing'ji'ci'qiu 荆棘刺球
'jing'ji'shu 荆棘术
'jing'ji'shu'ji 荆棘术级
'jing'ji'zhen 荆棘阵
'jing'jiao'gong'xian 鲸胶弓弦
'jing'jiao'jiao'si 鲸胶绞丝
'jing'jiao'lian'jie'huan 鲸胶连接环
'jing'jin'ding 精金锭
'jing'lei 惊雷
'jing'lei'jie 惊雷戒
'jing'lian 精炼
'jing'ling 精灵
'jing'ling'jian 精灵剑
'jing'ling'qun 精灵裙
'jing'ling'qun'shou'tao 精灵裙手套
'jing'ling'qun'xie'zi 精灵裙鞋子
'jing'ming 精冥
'jing'mu'liao 精木料
'jing'pi'hu'huai'zu'jian 鲸皮护踝组件
'jing'pi'hu'xi'zu'jian 鲸皮护膝组件
'jing'pi'hu'xin'jing'zu'jian 鲸皮护心镜组件
'jing'pi'mao'yan 鲸皮帽檐
'jing'pi'piao'dai'zu'jian 鲸皮飘带组件
'jing'pi'wan'jia'zu'jian 鲸皮腕甲组件
'jing'rui 精锐
'jing'rui'duo'po'ming'shi 精锐夺魄冥狮
'jing'rui'fei'tian'ming'hu 精锐飞天冥虎
'jing'rui'hun'shi'ming'niu 精锐混世冥牛
'jing'rui'kuang'ye'ming'lang 精锐狂野冥狼
'jing'shi 晶石
'jing'tie 精铁
'jing'tie'jie'zhi 精铁戒指
'jing'tie'quan'tao 精铁拳套
'jing'tong 精通
'jing'tu'lun 净土轮
'jing'xin 静心
'jing'xin'zhou 静心咒
'jing'zhi 精制
'jing'zhi'hai'ling'shui 精制还灵水
'jing'zhi'huo'xue'san 精制活血散
'jing'zhi'jin'chuang'yao 精制金创药
'jing'zhi'jiu'long'san 精制九龙散
'jing'zhi'jiu'yang'dan 精制九阳丹
'jing'zhi'shen'qi'wan 精制神气丸
'jiu'chi'mo'ying 九尺墨影
'jiu'ding 九鼎
'jiu'ding'zhan'jia 九鼎战甲
'jiu'gong'shi 九宫石
'jiu'gui'gui'ming 九鬼归命
'jiu'gui'lie'feng 九鬼裂风
'jiu'gui'po'tian 九鬼破天
'jiu'gui'shan'lei 九鬼闪雷
'jiu'hua 九华
'jiu'li'xiang 九里香
'jiu'long 九龙
'jiu'long'san 九龙散
'jiu'ming 九命
'jiu'ming'wan'jia 九命腕甲
'jiu'ming'xia'kai 九命下铠
'jiu'ming'xie 九命鞋
'jiu'ming'zhan'kai 九命战铠
'jiu'nan 九难
'jiu'qu'tang 九曲镗
'jiu'tian'fu'mo'dao 九天伏魔刀
'jiu'wei 九尾
'jiu'wei'huo'hu 九尾火狐
'jiu'xiang'chong 九香虫
'jiu'xing'tian'niu 九星天牛
'jiu'xing'tian'niu'wang 九星天牛王
'jiu'yang 九阳
'jiu'yang'dan 九阳丹
'jiu'you 九幽
'jiu'zhi'jie'du'wan 九制解毒丸
'jiu'zhuan 九转
'jiu'zi'gui'mu 九子鬼母
'jiu'zui 酒醉
'ju'bing'yi 巨兵蚁
'ju'chi'shuang'dao 锯齿双刀
'ju'du'gu 剧毒蛊
'ju'fu'du'zhu 巨腹毒蛛
'ju'hei'yi 巨黑蚁
'ju'ji 狙击
'ju'ji'shou 狙击手
'ju'jing'san 聚精散
'ju'lang 巨浪
'ju'ling'chang'fu 巨灵长斧
'ju'ling'shen 巨灵神
'ju'ling'shen'li 巨灵神力
'ju'ling'zhang 聚灵杖
'ju'long 巨龙
'ju'long'jie'zhi 巨龙戒指
'ju'mang 巨蟒
'ju'men'wu'gong 巨门蜈蚣
'ju'men'wu'gong'wang 巨门蜈蚣王
'ju'que 巨阙
'ju'shen'fu 聚神符
'ju'shen'fu'gao'ji 聚神符高级
'ju'shen'yu'pian 聚神玉片
'ju'shi'gu 巨石蛊
'ju'shou 巨兽
'ju'tie'chui 巨铁锤
'ju'yuan 巨猿
'juan'deng'yao 绢灯妖
'juan'si 绢丝
'jue'di 绝地
'jue'di'fei'hu 绝地飞狐
'jue'di'ling'hu 绝地灵狐
'jue'long'po 绝龙坡
'jue'ming 绝命
'jue'qing 绝情
'jue'qing'dao 绝情刀
'jue'tian 绝天
'jue'tian'jie 绝天戒
'jue'tian'long'ya'qiang 绝天龙牙枪
'jue'ze 决择
'jun'xian 军衔
'jun'xian'hui'zhang 军衔徽章
'jun'zhu'gua 郡主褂
'jun'zhu'qun 郡主裙
'jun'zhu'xie 郡主鞋
'jun'zi'pei 君子佩
'kai'dun 开盾
'kai'shan'chang'chui 开山长锤
'kai'shan'zhe 开山者
'kai'shan'zhe'yin'ji 开山者印记
'kan'li'shuang'jian 坎离双剑
'ke'bei'de'lin'yun 可悲的林云
'ke'du 刻毒
'kong'kong'dao'ren 空空道人
'kong'ling 空灵
'kong'ling'xiang'lian 空灵项链
'kong'ming 空冥
'kong'que'shi'lian'zi 孔雀石链子
'kong'shou 恐兽
'kong'xie 恐蝎
'kong'you 空幽
'kong'you'xiang'lian 空幽项链
'kong'zhong 空中
'ku'hai 苦海
'ku'lou 骷髅
'ku'lou'shan 骷髅山
'ku'mu'feng'chun'wan 枯木逢春丸
'ku'mu'lao'yao 枯木老妖
'ku'rong 枯荣
'ku'shu'gen 枯树根
'kuang'bai'hu'bian 狂白虎变
'kuang'bing'bao 狂冰雹
'kuang'chang 矿场
'kuang'chang'bing'jing'tong 狂长兵精通
'kuang'duan'yan'zhan 狂断岩斩
'kuang'fu'chui'jing'tong 狂斧锤精通
'kuang'fu'huo 狂复活
'kuang'gu 狂骨
'kuang'jiao'sha 狂绞杀
'kuang'jin'zhong'zhao 狂金钟罩
'kuang'jing'xin'zhou 狂静心咒
'kuang'ju'shen'fu 狂聚神符
'kuang'ke 狂客
'kuang'ke'zhi'fu 狂客之符
'kuang'lang 狂狼
'kuang'lang'chao'xue 狂狼巢穴
'kuang'lang'jie'zhi 狂狼戒指
'kuang'lang'wang 狂狼王
'kuang'lang'xia'kai 狂狼下铠
'kuang'lei 狂雷
'kuang'lei'tian'wei 狂雷天威
'kuang'lei'tian'ying 狂雷天鹰
'kuang'lian'she 狂连射
'kuang'lie'yan'hu'jia 狂烈焰护甲
'kuang'ling'feng 狂凌风
'kuang'long'juan'feng 狂龙卷风
'kuang'long'xian 狂龙现
'kuang'long'zhan 狂龙斩
'kuang'luo'lei 狂落雷
'kuang'luo'shi 狂落石
'kuang'pan'shi'hu'jia 狂磐石护甲
'kuang'po'jia'yi'ji 狂破甲一击
'kuang'qian'jin'chui 狂千斤锤
'kuang'qiang'hua'bian'shen 狂强化变身
'kuang'quan'shu'jing'tong 狂拳术精通
'kuang'ren'fu 狂刃符
'kuang'sha'xian 狂沙陷
'kuang'she'xie'zhi'shi 狂蛇蝎之矢
'kuang'shen'lei 狂神雷
'kuang'shi 狂狮
'kuang'shi'qing'xue 狂狮轻靴
'kuang'shi'zhan'fu 狂狮战斧
'kuang'shi'zi'hou 狂狮子吼
'kuang'shou'wang'zhi'nu 狂兽王之怒
'kuang'shui'jing'tong 狂水精通
'kuang'si'yao 狂撕咬
'kuang'ti'hu 狂醍醐
'kuang'tu'dun 狂土盾
'kuang'wu'xing'fu 狂五行符
'kuang'xue'shi'mo 狂血尸魔
'kuang'ye 狂野
'kuang'ye'ming'lang 狂野冥狼
'kuang'ye'zhe'yin'ji 狂野者印记
'kuang'yi'ji 狂翼击
'kuang'yi'jin'jing 狂易筋经
'kuang'yu'jian 狂羽箭
'kuang'zhan'shi 狂战士
'kui'bing 溃兵
'kui'bing'ku'lou 溃兵骷髅
'kun'fu'shi 困缚矢
'kun'lun 昆仑
'kun'lun'wang 昆仑王
'kun'peng 鲲鹏
'kun'peng'wan'jia 鲲鹏腕甲
'kun'peng'xia'kai 鲲鹏下铠
'kun'peng'xie 鲲鹏鞋
'kun'peng'zhan'kai 鲲鹏战铠
'kun'zhu 困住
'la'chou'hen 拉仇恨
'lan'chou'jie'yu 蓝绸介鱼
'lan'chou'jie'yu'wang 蓝绸介鱼王
'lan'ruo'si 兰若寺
'lan'shi 榄石
'lan'tian'pei 兰田佩
'lan'yin'qiang 烂银枪
'lan'yu 蓝玉
'lan'yu 蓝雨
'lan'yu'zhi'shi 蓝玉之石
'lan'yu'zhi'shi 蓝雨之石
'lan'zhen 蓝阵
'lang'die 浪蝶
'lang'die'jing'ling 浪蝶精灵
'lang'fan'tian 浪翻天
'lang'pi'hu'huai'zu'jian 狼皮护踝组件
'lang'pi'hu'xi'zu'jian 狼皮护膝组件
'lang'pi'hu'xin'jing'zu'jian 狼皮护心镜组件
'lang'pi'mao'yan 狼皮帽檐
'lang'pi'piao'dai'zu'jian 狼皮飘带组件
'lang'pi'wan'jia'zu'jian 狼皮腕甲组件
'lang'she'shou 狼射手
'lang'tu'teng'gu 狼图腾谷
'lang'wai'po 狼外婆
'lang'wu'wang'fa'pao 狼巫王法袍
'lang'ya 狼牙
'lang'ya 琅琊
'lang'ya'bang 狼牙棒
'lang'ya'jian 狼牙箭
'lang'ya'xiang'lian 狼牙项链
'lang'yao 狼妖
'lang'yao'chang'gong'shou 狼妖长弓手
'lang'zhu 狼蛛
'lang'zhu'wang 狼蛛王
'lang'zhu'wang'yu'shi 狼蛛王玉饰
'lei'gong'tang 雷公镗
'lei'hun 雷魂
'lei'li'feng'xing'san 雷厉风行散
'lei'lian 雷链
'lei'ren'fu 雷刃符
'lei'ren'fu'zhong'ji 雷刃符中级
'lei'ren'yu'pian 雷刃玉片
'lei'yin 雷音
'lei'zun 雷尊
'li'chi'zhi'shi 利齿之矢
'li'hua'qiang 梨花枪
'li'li 离离
'li'li'cao'yuan 离离草原
'li'mu'zhuang 梨木桩
'li'quan'qiang 沥泉枪
'li'ren 利刃
'li'shi 力士
'li'zhe'mu'bei 戾者墓碑
'li'zhu 骊珠
'li'zhua 利爪
'lian'heng'shuang'jian 连横双剑
'lian'huan 连环
'lian'huan'shuang'dao 连环双刀
'lian'huan'wan'jia 连环腕甲
'lian'huan'xia'kai 连环下铠
'lian'huan'xie 连环鞋
'lian'huan'zhan'kai 连环战铠
'lian'ji'nu 连击弩
'lian'jun'ying'di 联军营地
'lian'she 连射
'lian'yu 炼狱
'lian'yu'huo'shan 炼狱火山
'lian'yu'tui'jia 炼狱腿甲
'lian'yu'xiu'jia 炼狱袖甲
'lian'yu'xue 炼狱靴
'lian'yu'zhan'jia 炼狱战甲
'lian'zhu 连珠
'liang'kun'lun 两昆仑
'liang'qi'xuan'gui 两栖旋龟
'liang'qi'xuan'gui'wang 两栖旋龟王
'liang'yi 两仪
'liang'yi'hu'wan 两仪护腕
'liang'yi'ku 两仪裤
'liang'yi'lv 两仪履
'liang'yi'pao 两仪袍
'liang'yi'shi 两仪石
'liang'yin'chui 亮银锤
'liao'ya 獠牙
'liao'ya'chang'fu 獠牙长斧
'liao'ya'zhen 獠牙镇
'lie'di'chang'fu 裂地长斧
'lie'hu'xiao'wu 猎户小屋
'lie'huo'chi'yi 烈火炽翼
'lie'huo'fu 烈火符
'lie'ren'fu 裂刃符
'lie'ren'fu'chu'ji 裂刃符初级
'lie'ren'yu'pian 裂刃玉片
'lie'shou 猎手
'lie'shou'can'gu 猎手残骨
'lie'tian 裂天
'lie'tian'de'hu'fu 裂天的护符
'lie'tian'zhong'wan 裂天重腕
'lie'yan 烈焰
'lie'yan'guo'xie 烈焰裹鞋
'lie'yan'hu'jia 烈焰护甲
'lie'yan'huo'can 烈焰火蚕
'lie'yan'jiao'zhu 烈焰教主
'lie'yan'quan'tao 裂岩拳套
'lie'yan'shou'hu 烈焰守护
'lie'yan'yan'zhen 裂岩炎震
'lie'yan'zhan'shi 烈焰战士
'lie'yan'zhang 烈炎杖
'lie'yan'zhi'shi 烈焰之矢
'lie'yang'fen'kong'dan 烈阳焚空丹
'lie'ying 猎影
'lie'ying'zhi'feng 猎影之风
'lie'ying'zhi'feng'chang'gong 猎影之风长弓
'lie'ying'zhi'feng'hui'ji 猎影之风徽记
'lin'huo 磷火
'lin'jia 麟嘉
'lin'jia'fu 麟甲符
'lin'shui'zhen 临水镇
'lin'yun 林云
'lin'yun'zhi'jie 林云之戒
'ling'bo 凌波
'ling'bo'wei'bu 凌波微步
'ling'feng 凌风
'ling'feng'de'xiang'lian 凌风的项链
'ling'fu 灵符
'ling'fu'hu'wan 灵符护腕
'ling'fu'ku 灵符裤
'ling'fu'lv 灵符履
'ling'fu'pao 灵符袍
'ling'gui'pei 灵龟佩
'ling'hu 灵狐
'ling'sha 凌杀
'ling'shi 灵狮
'ling'shi'wan'jia 灵狮腕甲
'ling'shi'xia'kai 灵狮下铠
'ling'shi'xie 灵狮鞋
'ling'shi'zhan'kai 灵狮战铠
'ling'shuang'gu 凌霜蛊
'ling'shuang'guan 凌霜冠
'ling'xi 灵曦
'ling'xi'hu'wan 灵曦护腕
'ling'xi'ku 灵曦裤
'ling'xi'lv 灵曦履
'ling'xi'pao 灵曦袍
'ling'xi'shi'e'jian 灵犀释厄剑
'ling'xu 灵虚
'ling'zhu'fu 灵助符
'ling'zuo'hu'shen'fu 灵佐护身符
'ling'zuo'mo'li'fu 灵佐魔力符
'liu'bai 留白
'liu'bai'zhui'zi 留白坠子
'liu'ding'chang'chui 六丁长锤
'liu'fang'he 流芳河
'liu'guang 流光
'liu'guang'jian 流光剑
'liu'guang'wan'jia 流光腕甲
'liu'guang'xia'kai 流光下铠
'liu'guang'xie 流光鞋
'liu'guang'zhan'kai 流光战铠
'liu'jia'chang'chui 六甲长锤
'liu'jin'chui 镏金锤
'liu'jin'shuang'jian 流金双剑
'liu'lang'huo'man'wu 流浪火蛮巫
'liu'lang'ju'shu 流浪狙鼠
'liu'li'chui'tou'zhu'mu 琉璃锤头铸模
'liu'li'dao'feng'zhu'mu 琉璃刀锋铸模
'liu'li'fu'ren'zhu'mu 琉璃斧刃铸模
'liu'li'jian'ren'zhu'mu 琉璃剑刃铸模
'liu'li'jin'gang'chu'zhu'mu 琉璃金刚杵铸模
'liu'li'mu'chui'zhu'mu 琉璃母锤铸模
'liu'li'yuan'yang'dao'zhu'mu 琉璃鸳鸯刀铸模
'liu'li'yuan'yang'jian'zhu'mu 琉璃鸳鸯剑铸模
'liu'li'zhi'huan'zhu'mu 琉璃指环铸模
'liu'li'zi'mu'fu'zhu'mu 琉璃子母斧铸模
'liu'shi 榴石
'liu'shui 流水
'liu'xing'gan'yue 流星赶月
'liu'xing'zhi'yi 流星之翼
'liu'xing'zhi'yu 流星之羽
'liu'ye'shuang'dao 柳叶双刀
'liu'yu'shi 六欲使
'liu'yun'gong 流云弓
'liu'yun'sha 流云纱
'long'cai'shuang'chui 龙彩双锤
'long'fei'ji 龙飞击
'long'gong 龙宫
'long'gong'zhu'zhen'shen 龙公主真身
'long'gu'jie'kou 龙骨节扣
'long'gu'shou'zhang'mu'ban 龙骨手掌模板
'long'gu'xiao'duan 龙骨小段
'long'gu'zhang'bing 龙骨杖柄
'long'huo'zhong'jia 龙火重甲
'long'jin'gong'xian 龙筋弓弦
'long'jin'jiao'si 龙筋绞丝
'long'jin'lian'jie'huan 龙筋连接环
'long'jiu 龙鹫
'long'juan'feng 龙卷风
'long'lin 龙鳞
'long'lin'fa'ku 龙鳞法裤
'long'lin'fa'pao 龙鳞法袍
'long'lin'xiang'lian 龙鳞项链
'long'mang 龙蟒
'long'nv 龙女
'long'pi'hu'huai'zu'jian 龙皮护踝组件
'long'pi'hu'xi'zu'jian 龙皮护膝组件
'long'pi'hu'xin'jing'zu'jian 龙皮护心镜组件
'long'pi'mao'yan 龙皮帽檐
'long'pi'piao'dai'zu'jian 龙皮飘带组件
'long'pi'wan'jia'zu'jian 龙皮腕甲组件
'long'qi 龙骑
'long'qian'jun 龙千军
'long'shen'san 龙神散
'long'tai'zi'zhen'shen 龙太子真身
'long'teng 龙腾
'long'teng'zhan'kui 龙腾战盔
'long'wan'jun 龙万军
'long'wang 龙王
'long'wang'yao'pei 龙王腰佩
'long'wang'zhen'shen 龙王真身
'long'xian 龙现
'long'xian'xiang 龙涎香
'long'xiang'jie 龙祥戒
'long'xu'fa'ku'xia'bai 龙须法裤下摆
'long'xu'fa'pao'yi'jin 龙须法袍衣襟
'long'xu'fa'shu'xie'di 龙须法术鞋底
'long'xu'hu'wan'xiu'mian 龙须护腕绣面
'long'xu'ling'li'fan'tao 龙须灵力幡绦
'long'xu'xiang'nang 龙须香囊
'long'yan 龙炎
'long'yan 龙眼
'long'yan'zhi'shi 龙炎之石
'long'yan'zhui'zi 龙眼坠子
'long'ying'hu'fu 龙影护符
'long'yuan 龙渊
'long'zhan'zhi'ye 龙战之野
'long'zhi 龙蛭
