'a'bo'luo 阿波罗
'jie'li'da 洁丽达
'jie'long'qiao 接龙桥
'jie'nan 街南
'jie'pai 杰牌
'jie'yi 结义
'jie'yu 洁玉
'jie'yue 节约
'jin 金
'jin'bai'he 金百合
'jin'ban'na 金版纳
'jin'bao 金豹
'jin'bao'lai 金宝来
'jin'bao'lu 金宝路
'jin'bei 金杯
'jin'bei 锦杯
'jin'bi 金币
'jin'bian 金边
'jin'biao 金标
'jin'bu 进步
'jin'chan 金蝉
'jin'chen'zhou 金郴州
'jin'cheng 金城
'jin'da 金达
'jin'da 劲达
'jin'da'lai 金达莱
'jin'dai 金带
'jin'dan 金丹
'jin'dao 金稻
'jin'de'li 金得利
'jin'diao 金雕
'jin'die 金蝶
'jin'die'wang 金蝶王
'jin'ding 金鼎
'jin'dong 金东
'jin'e 金鳄
'jin'fang'shi 金方拾
'jin'fei'yu 金飞鱼
'jin'feng 金凤
'jin'feng 金枫
'jin'feng'huang 金凤凰
'jin'fo 金佛
'jin'fu 金蝠
'jin'fu'lu 金富路
'jin'fu'rong 金芙蓉
'jin'gang 金缸
'jin'gu 金谷
'jin'gu 金鼓
'jin'guang 金光
'jin'gui 金桂
'jin'hai 金海
'jin'hai'tang 金海棠
'jin'he 金鹤
'jin'he'fei 金合肥
'jin'hou 金猴
'jin'hu 金虎
'jin'hu'lu 金葫芦
'jin'hua 金花
'jin'hua 锦花
'jin'hua 锦华
'jin'hua'cha 金花茶
'jin'huang 金黄
'jin'huang'hou 金皇后
'jin'huang'shan 金黄山
'jin'hun 金婚
'jin'ji 金鸡
'jin'ji 锦鸡
'jin'jian 金健
'jin'jian 金剪
'jin'jian 金箭
'jin'jiang 金奖
'jin'jiang 锦江
'jin'jiang'shan 锦江山
'jin'jin'long 金金龙
'jin'ju 金菊
'jin'jue 金爵
'jin'kui 金匮
'jin'lan 金兰
'jin'lan 金篮
'jin'li 金鲤
'jin'li'lai 金利来
'jin'lian 金莲
'jin'lin 金蔺
'jin'lin 金麟
'jin'ling 金菱
'jin'ling 金铃
'jin'ling 金陵
'jin'ling 金翎
'jin'ling'shi'er'chai 金陵十二钗
'jin'ling'tong 金灵通
'jin'long 金龙
'jin'long'feng 金龙凤
'jin'long'li 金龙力
'jin'lu 金鹿
'jin'lun 金论
'jin'lun 金轮
'jin'ma 金马
'jin'ma 劲马
'jin'mang'guo 金芒果
'jin'mao 金猫
'jin'mei 金梅
'jin'mei'zhou 金梅州
'jin'men 金门
'jin'miao 金苗
'jin'nan'hu 金南湖
'jin'niao 金鸟
'jin'niu'ge 金牛阁
'jin'ou 金欧
'jin'pai 金牌
'jin'pai 劲牌
'jin'pai'huang'guo'shu 金牌黄果树
'jin'pen'jing 金盆景
'jin'pu'tao 金葡萄
'jin'qi 金旗
'jin'qi 锦旗
'jin'qi'lin 金麒麟
'jin'qian 金钱
'jin'qian'bao 金钱豹
'jin'qian'shu 金钱树
'jin'qiang 金枪
'jin'qiao 金桥
'jin'qiu 金球
'jin'qiu 金秋
'jin'quan 金圈
'jin'quan'long 金全龙
'jin'que 金雀
'jin'san'jiao 金三角
'jin'san'xing 金三星
'jin'sha 金沙
'jin'sha'he 金沙河
'jin'sha'jiang 金沙江
'jin'shan 金扇
'jin'shan'si 金山寺
'jin'sheng 金圣
'jin'shi 金狮
'jin'shi 金石
'jin'shi 锦狮
'jin'shi'zi 金十字
'jin'shu 金鼠
'jin'shuang'xi 金双喜
'jin'shui'qiao 金水桥
'jin'si 金丝
'jin'si'hou 金丝猴
'jin'song 金松
'jin'song 劲松
'jin'sui 金穗
'jin'sun 金笋
'jin'suo'ma 金索玛
'jin'ta 金塔
'jin'tai 晋太
'jin'tai'hu 金太湖
'jin'tong 金童
'jin'tu 金兔
'jin'tuo 金驼
'jin'wan'zi 金万字
'jin'wu 金乌
'jin'xi'bao 金锡包
'jin'xiang 金象
'jin'xin 金心
'jin'xing 金星
'jin'xiong'wang 金熊王
'jin'xiu 锦绣
'jin'xiu'he'shan 锦绣河山
'jin'xu'chang 金许昌
'jin'yang 晋阳
'jin'ye 金叶
'jin'yin 金银
'jin'ying 金鹰
'jin'yu 金鱼
'jin'yu 金羽
'jin'yuan 金圆
'jin'yuan 金源
'jin'yuan 金缘
'jin'yuan'bao 金元宝
'jin'yue'ji 金月季
'jin'yun 金运
'jin'zhan 金盏
'jin'zhang 金章
'jin'zhi 金枝
'jin'zhong 金钟
'jin'zhou 锦州
'jin'zhu 金竹
'jin'zhu 锦竹
'jin'zhuan 金砖
'jin'zi'ta 金字塔
'jing'du 京都
'jing'gang'shan 井冈山
'jing'gu 静谷
'jing'hu 镜湖
'jing'hua 京华
'jing'ji 经济
'jing'jian 经建
'jing'jiang'fen'hong 荆江分洪
'jing'pai 晶牌
'jing'qiao 荆桥
'jing'sha 荆沙
'jing'shen 精神
'jing'si 静思
'jing'wu 精武
'jing'yang'gang 景阳岗
'jing'yi 精艺
'jing'ying 晶莹
'jing'zhou 荆州
'jiu'bao 久宝
'jiu'ding 九鼎
'jiu'gong 九宫
'jiu'hua'shan 九华山
'jiu'jie'li 九节狸
'jiu'jiu 九九
'jiu'lan 九兰
'jiu'long 九龙
'jiu'long'bei 九龙杯
'jiu'long'bi 九龙壁
'jiu'long'chi 九龙池
'jiu'san 九三
'jiu'se'lu 九色鹿
'jiu'shi 九狮
'jiu'yi 九嶷
'jiu'zhou 九州
'ju'bao 聚宝
'ju'bao'pen 聚宝盆
'ju'hua 菊花
'ju'le 菊乐
'ju'le'bu 俱乐部
'ju'long 巨龙
'ju'lun 巨轮
'ju'yong'guan 居庸关
'ju'zi 锯子
'ju'zi'xue'jia 桔字雪茄
'jun'feng 骏风
'jun'jian 君健
'jun'ma 骏马
'jun'zi 君子
'jun'zi'lan 君子兰
'kai'feng 开封
'kai'ge 凯歌
'kai'ken 开垦
'kai'shi'de 凯士的
'kai'xuan 凯旋
'kai'xuan'men 凯旋门
'kang'an 康安
'kang'bao 康宝
'kang'da 康达
'kang'da'li 康达利
'kang'le 康乐
'kang'mei 抗美
'ke'ji 科技
'ke'kai 可开
'ke'ke 可可
'ke'ke'le 可可乐
'ke'kou'deng 可口登
'ke'kou'xiang 可口香
'kong'fu 孔府
'kong'long 恐龙
'kong'long'wang 恐龙王
'kong'que 孔雀
'kou'le 口乐
'kuai'le 快乐
'kuang'deng 矿灯
'kui'bao 魁宝
'kui'hua 葵花
'kui'men 夔门
'kui'xing'lou 魁星楼
'kun'hu 昆湖
'kun'lun 昆仑
'kun'ming 昆明
'kun'ming'hu 昆明湖
'kuo'lao 阔佬
'la'fei'ke 拉菲克
'la'mei 腊梅
'lai'bao 来宝
'lai'feng 来凤
'lai'fu 来福
'lai'gui 来归
'lan'bao'shi 蓝宝石
'lan'cao 兰草
'lan'dao 蓝岛
'lan'feng 兰凤
'lan'ge 蓝鸽
'lan'hua 兰花
'lan'hua 篮花
'lan'jian 兰箭
'lan'jin'lu 蓝金鹿
'lan'jun 兰君
'lan'ling 蓝翎
'lan'ling 兰菱
'lan'ling 兰翎
'lan'niao 兰鸟
'lan'pai 兰牌
'lan'qiao 蓝桥
'lan'qiu 篮球
'lan'tian'wang 蓝天王
'lan'xiang 兰香
'lan'yan 蓝雁
'lan'ye 兰叶
'lan'yue 揽月
'lan'zhou 兰州
'lang'ya'shan 狼牙山
'lao'ba'duo 老巴夺
'lao'ban 老伴
'lao'dao 老刀
'lao'dong 劳动
'lao'dong'ren'min 劳动人民
'lao'dong'ying'xiong 劳动英雄
'lao'ren'yi 老仁义
'lao'shan 老山
'lao'shan'quan 崂山泉
'lao'shou'xing 老寿星
'lao'tou 老头
'lao'xia 老虾
'lao'xiang 老乡
'le'de 乐得
'le'fu 乐福
'le'gong 乐宫
'le'hua 乐华
'le'jin 乐津
'le'kou 乐口
'le'shi 乐士
'le'shi'duo 乐事多
'le'tian 乐天
'le'yi 乐意
'le'you 乐友
'le'you 乐游
'le'yuan 乐园
'lei'ke 雷克
'li'bai'liu 礼拜六
'li'bin 礼宾
'li'de'li 利得利
'li'de'sheng 力得胜
'li'du 丽都
'li'fei 丽妃
'li'fu 利福
'li'hua 丽华
'li'hua 梨花
'li'hua 礼花
'li'jiang 漓江
'li'le 利乐
'li'li 丽丽
'li'ma 力马
'li'ming 黎明
'li'niao 丽鸟
'li'niu 犁牛
'li'qun 利群
'li'shan 骊山
'li'shi 力士
'li'shi'zhen 李时珍
'li'xiang 梨香
'li'yun 丽云
'li'zhi 荔枝
'lian'chi 莲池
'lian'deng 莲灯
'lian'hua'nv 莲花女
'lian'huan 联欢
'lian'jia 联佳
'lian'meng 联盟
'lian'pu 脸谱
'lian'xi 连喜
'lian'xing 联星
'lian'yi 联谊
'lian'you 联友
'liang'chen 良辰
'liang'yan 凉烟
'liang'yuan 良缘
'liao'he 辽河
'liao'ye 辽叶
'lie'bao 猎豹
'lie'che 列车
'lin'hai'ling'zhi 林海灵芝
'lin'lang'shan 琳琅山
'ling'dan 灵丹
'ling'hu 菱湖
'ling'shan 灵山
'ling'shi 领事
'ling'tai 灵台
'ling'yan 灵岩
'ling'yang 羚羊
'ling'yun 凌云
'ling'zhi 灵芝
'ling'zhi'can 灵芝参
'liu'hua 榴花
'liu'jiang'qiao 柳江桥
'liu'luo'guo 刘罗锅
'liu'ma 柳马
'liu'pan'shan 六盘山
'liu'san'jie 刘三姐
'liu'sha 流沙
'liu'yang'he 浏阳河
'liu'ye 柳叶
'liu'ye'xiang 六叶香
'liu'zhuang'ting 六幢亭
'long'bao 龙宝
'long'cheng 龙城
'long'feng 龙凤
'long'feng'cheng'xiang 龙凤呈祥
'long'gong 龙宫
'long'hai 陇海
'long'hu'zun 龙虎尊
'long'jiang 龙江
'long'jiao'chai 龙角钗
'long'ju 龙菊
'long'li 龙力
'long'ma 龙马
'long'men 龙门
'long'men'ta 龙门塔
'long'quan 龙泉
'long'ren 龙人
'long'shan 龙山
'long'shan'cun 龙山村
'long'song 龙松
'long'tan 龙潭
'long'teng 龙腾
'long'xi 龙禧
'long'xia 龙虾
'long'xia'hua 龙虾花
'long'xiang 龙乡
'long'yan 龙烟
'long'yun 龙运
'long'zhong 隆中
'long'zhou 龙舟
'long'zhu 龙珠
'lu'bao 鹿宝
'lu'bei 鲁北
'lu'cheng 鹿城
'lu'dao 鹭岛
'lu'gou'qiao 卢沟桥
'lu'jiang 鹭江
'lu'mei 鲁梅
'lu'rong 鹿茸
'lu'shan 庐山
'lu'shan'you 庐山游
'lu'sheng 芦笙
'lu'tuo 鹿驼
'lu'xiang 鲁乡
'lu'xiu 鲁秀
'lu'xun 陆逊
'lu'yang 庐阳
'luo'bu'ma 罗布麻
'luo'han'guo 罗汉果
'luo'he'qiao 漯河桥
'luo'man'di'ke 罗曼蒂克
'luo'shen 洛神
'luo'tuo 骆驼
'luo'yan 洛烟
'luo'yang'mu'dan 洛阳牡丹
'lv'bao 绿宝
'lv'bao'shi 绿宝石
'lv'bo 绿波
'lv'cheng 绿城
'lv'da 旅大
'lv'ju 绿菊
'lv'kong'que 绿孔雀
'lv'mu'dan 绿牡丹
'lv'ping 绿屏
'lv'xi'bao 绿锡包
'lv'xing 旅行
'lv'xing'jia 旅行家
'lv'ye 绿野
'lv'ye 绿叶
'lv'you 旅友
'lv'zhou 绿州
'lv'zhou 绿洲
'lv'zhu 绿竹
'lv'zhu'nv 绿珠女
'ma'bao 孖宝
'ma'la'song 马拉松
'ma'lan 马兰
'ma'ling 马铃
'ma'nao 玛瑙
'ma'ti'lian 马蹄莲
'ma'ying'hua 马樱花
'mai'dong 麦冬
'mai'fan'shi 麦饭石
'mai'ji'shan 麦积山
'man'fei'long 曼飞龙
'man'li'hou 曼丽后
'man'luo'hua 曼萝花
'man'mei 满美
'man'shan'hong 满山红
'man'tang'hong 满堂红
'man'tian'xing 满天星
'man'xi'tang 满喜堂
'mang'dang'shan 芒砀山
'mang'guo 芒果
'mang'shan 邙山
'mao'ling 卯令
'mao'lu 茅庐
'mao'pai 猫牌
'mao'shan 茅山
'mao'tai 茅台
'mao'tou 猫头
'mao'zhu 毛竹
'mei'bo 美波
'mei'de 美德
'mei'de'li 美得丽
'mei'deng 美登
'mei'die 美蝶
'mei'er'da 美尔达
'mei'fang 梅芳
'mei'gui 玫瑰
'mei'hou 美猴
'mei'hua 梅花
'mei'hua'lu 梅花鹿
'mei'lan 梅兰
'mei'li 美丽
'mei'lu 美鹿
'mei'mei 美美
'mei'nv 美女
'mei'que 梅雀
'mei'ren 美人
'mei'ren'jiao 美人蕉
'mei'ren'song 美人松
'mei'san 美伞
'mei'shen 美神
'mei'shi 美狮
'mei'shu 美术
'mei'si'jia 美思佳
'mei'si'le 美思乐
'mei'ting 梅亭
'mei'wei 美维
'mei'xing 美星
'mei'xue 梅雪
'mei'yi 美意
'mei'yuan 梅园
'mei'yue 美乐
'mei'zhou 梅州
'mei'zhou'bao 美洲豹
'meng'dou 梦都
'meng'fu 孟府
'meng'hua 蒙花
'meng'jiang'nv 孟姜女
'meng'ni 梦妮
'mi'feng 蜜蜂
'mi'hou'tao 猕猴桃
'mi'lao'shu 米老鼠
'mi'lou'ji 迷楼记
'mi'mi 咪咪
'mi'nin 迷您
'mian'yang 绵阳
'miao'le 妙乐
'min'an 民安
'min'bing 民兵
'min'feng 民丰
'min'shan 岷山
'min'yi 民意
'min'zhu 民主
'ming'hua 名花
'ming'hua 名画
'ming'quan 名犬
'ming'ren 名人
'ming'shan 名山
'ming'shi 名士
'ming'wu'zong 明武宗
'ming'xing 明星
'ming'xiu 明秀
'ming'yan 明烟
'ming'zhu 明珠
'mo'chou'nv 莫愁女
'mo'deng 摩登
'mo'ju 墨菊
'mo'li 魔力
'mo'li'hua 茉莉花
'mo'zhu 墨竹
'mou'shi 谋士
'mu'dan 牡丹
'mu'dan'jiang 牡丹江
'mu'dan'ting 牡丹亭
'mu'dan'yuan 牡丹园
'mu'lan'chu'zheng 木兰出征
'mu'lan'hua 木兰花
'mu'lan'jun 木兰君
'mu'lian 母恋
'mu'ma 牧马
'mu'nan'guan 睦南关
'mu'tong 牧童
'mu'yang 牧羊
'mu'ye 牧野
'na'da'mu 那达慕
'nan'chang 南昌
'nan'cheng 南城
'nan'de'hu'tu 难得糊涂
'nan'fang 南方
'nan'ge 南鸽
'nan'hai 南海
'nan'hu 南湖
'nan'hua 南华
'nan'hua'shan 南华山
'nan'jie'cun 南街村
'nan'jing 南京
'nan'man'zi 南蛮子
'nan'ni'wan 南泥湾
'nan'shan'song 南山松
'nan'tian'men 南天门
'nan'wei'ke 南味克
'nan'yang 南阳
'nan'ye 南叶
'nan'yue 南岳
'nan'zhu 南珠
'nan'zi'han 男子汉
'ne'zha 哪吒
'ni'chang 霓裳
'niao'dao 鸟岛
'ning'bo 宁波
'ning'guo 宁国
'niu'ma 牛马
'niu'wei'hou 牛尾猴
'niu'zai 牛仔
'nong'chang 农场
'nong'gong 农工
'nong'jia'le 农家乐
'nong'ren 农人
'nv'jiang'jun 女将军
'nv'shen'feng 女神峰
'nv'ying 女英
'pan'fei 潘妃
'pan'fu'ren 潘夫人
'pan'pan 盼盼
'pan'xi 攀西
'pan'zhi'hua 攀枝花
'pei'gong 沛公
'pei'qi 佩琦
'pen'jing 盆景
'peng'lai'ge 蓬莱阁
'peng'lai'xian'dao 蓬莱仙岛
'peng'zu 彭祖
'pin'fang 品芳
'pin'hai 品海
'ping'chuan'zhen'ke 平喘镇咳
'ping'guo 苹果
'ping'tan 乒坛
'ping'yuan 平原
'po'yang'hu 鄱阳湖
'pu'bu 瀑布
'pu'gong'ying 蒲公英
'pu'jiang 浦江
'pu'qing 普庆
'pu'tao 葡萄
'pu'teng 普滕
'qi'e 企鹅
'qi'fei 齐飞
'qi'fei'mei 齐飞梅
'qi'feng 奇峰
'qi'gu 旗鼓
'qi'huang 岐黄
'qi'le 奇乐
'qi'li'xiang 七里香
'qi'lin 麒麟
'qi'lin'shan 麒麟山
'qi'lu 齐鲁
'qi'mei 旗美
'qi'ming 启明
'qi'pan 棋盘
'qi'pi'lang 七匹狼
'qi'qi 七七
'qi'shi 骑士
'qi'wu 七五
'qi'xi 七夕
'qi'xing 七星
'qi'xuan 岐轩
'qi'yi 七一
'qi'ying 企鹰
'qi'you 棋友
'qian'ban'lian 千瓣莲
'qian'di 前敌
'qian'fo'shan 千佛山
'qian'he 千河
'qian'jiang 钱江
'qian'jin 前进
'qian'li'ju 千里驹
'qian'li'shan 千里山
'qian'long 黔龙
'qian'long 乾隆
'qian'niu'hua 牵牛花
'qian'qiu 千秋
'qian'shan 黔山
'qian'shan 千山
'qian'shao 前哨
'qian'tong 千童
'qian'xing 黔星
'qian'zhong'you 黔中游
'qiang'li 强力
'qiao'qian'xin'xi 乔迁新禧
'qiao'zhi'dao 乔治岛
'qin'bao 秦宝
'qin'chuan 秦川
'qin'chuan'xue'jia 秦川雪茄
'qin'dao 琴岛
'qin'fen 勤奋
'qin'feng 勤丰
'qin'huai 秦淮
'qin'jian 勤俭
'qin'le 秦乐
'qin'liang'yu 秦良玉
'qin'ling 秦岭
'qin'niang'mei 秦娘美
'qin'qi 琴棋
'qin'wang 秦王
'qing'cheng 青城
'qing'chun 青春
'qing'da 庆大
'qing'dao 青岛
'qing'dao'mei 青岛美
'qing'ding'qiao 清定桥
'qing'feng 庆丰
'qing'gong 青工
'qing'hai'hu 青海湖
'qing'liang'shan 清凉山
'qing'liang'tai 清凉台
'qing'long 青龙
'qing'niao 青鸟
'qing'qing 卿卿
'qing'quan 清泉
'qing'ren 情人
'qing'shui'jiang 清水江
'qing'song 青松
'qing'song'ling 青松岭
'qing'ya 清雅
'qing'yang 青羊
'qing'yi 清益
'qing'ying 清影
'qing'zhao'yuan 清照园
'qing'zhou 轻舟
'qing'zhou 青州
'qing'zhu 青竹
'qiong'hai 邛海
'qiong'hua 琼花
'qiong'zhu 筇竹
'qiu'ju 秋菊
'qiu'mi 球迷
'qiu'weng 秋翁
'qiu'yan 秋艳
'qiu'yue 秋月
'qu'fu 曲阜
'qu'yuan 屈原
'quan'cheng 泉城
'quan'hong 全红
'quan'hua 泉花
'quan'jing'hua 全景画
'quan'lu 全禄
'quan'wang 拳王
'que'shan 鹊山
'qun'fang 群芳
'qun'li 群力
'qun'shan 群杉
'qun'tuo 群驼
'qun'ying 群英
're'he 热河
're'he'xing'gong 热河行宫
'ren'he 人和
'ren'min 人民
'ren'min'da'hui'tang 人民大会堂
'ren'ren 人人
'ren'shen 人参
'ren'sheng 人生
'ri'yi 日异
'ri'yue'tan 日月潭
'rong'dong'qi'guan 溶洞奇观
'rong'guan 荣冠
'rong'le 荣乐
'rou'he'qi'xing 柔和七星
'ru'yi 如意
'ru'zi'niu 孺子牛
'rui'guang 瑞光
'rui'xiang 瑞香
'ruo'ying 若樱
'sai'long'zhou 赛龙舟
'sai'wai 塞外
'sai'you 赛友
'san'bao'shu 三宝树
'san'bei 三杯
'san'bing 伞兵
'san'cai 三彩
'san'cai'ma 三彩马
'san'chang 三唱
'san'de'li 三得利
'san'ding 三鼎
'san'fu 三福
'san'gong 三共
'san'guang 三光
'san'hu 三虎
'san'hua 散花
'san'jiao 三角
'san'jie'mei 三姐妹
'san'jie'yi 三结义
'san'jin'qian 三金钱
'san'jiu 三九
'san'lian'guan 三连冠
'san'lian'huan 三连环
'san'lu 三鹿
'san'ma 三马
'san'men'xia 三门峡
'san'ming 三明
'san'pao'tai 三炮台
'san'qi 三七
'san'qian 三钱
'san'sha 三沙
'san'shan 三山
'san'si 三四
'san'song 三松
'san'ta 三塔
'san'wu 三五
'san'xi 三喜
'san'xia 三峡
'san'xian 三鲜
'san'xiao 三笑
'san'xing 三星
'san'xing 三省
'san'yang 三羊
'san'yang'kai'tai 三阳开泰
'san'yi 三一
'san'yi 三义
'san'you 三友
'san'you'dong 三游洞
'san'yue'san 三月三
'sha'chuan 沙船
'sha'he 沙河
'sha'zhou 沙舟
'shan'bei 扇贝
'shan'cheng 山城
'shan'dan'hua 山丹花
'shan'dong 山东
'shan'ge 山歌
'shan'hai 山海
'shan'hai'guan 山海关
'shan'he 山河
'shan'he'hua 山荷花
'shan'he'xiu 山河秀
'shan'hu 珊瑚
'shan'hua 山花
'shan'ju 山菊
'shan'lan'hua'hua 陕兰花花
'shan'mei 山妹
'shan'shan 杉杉
'shan'shen 山参
'shan'shui 山水
'shan'song 山松
'shan'wang 山王
'shan'yang 山羊
'shan'ying 山鹰
'shan'zhen 山珍
'shang'chuan 商船
'shang'hai 上海
'shang'hai'tan'feng'qing 上海滩风情
'shang'qiu 商丘
'shang'you 上游
'shang'you'jiang 上犹江
'shao'lin 少林
'shao'lin'si 少林寺
'she'shou 射手
'shen'bao 申宝
'shen'cao 神草
'shen'hai 申海
'shen'ji 神鸡
'shen'jiang 申江
'shen'ju 神驹
'shen'le 神乐
'shen'mei 什梅
'shen'nong 神农
'shen'nong'shi 神农氏
'shen'nv'feng 神女峰
'shen'qi 参芪
'shen'qi'yan 参芪烟
'shen'rong 参茸
'shen'shi 绅士
'shen'shi'xue'jia 绅士雪茄
'shen'tong 神童
'shen'xian'yu 神仙鱼
'shen'yang 沈阳
'shen'yi 神怡
'shen'ying 神鹰
'shen'you 神游
'shen'zhou 神州
'shen'zhou'long 神州龙
'sheng'chan 生产
'sheng'di 圣地
'sheng'hui 盛会
'sheng'jin'ta 绳金塔
'sheng'li 胜利
'sheng'li'men 胜利门
'sheng'li'qiao 胜利桥
'sheng'ta 圣塔
'sheng'tang 盛唐
'sheng'xiao 生肖
'shi'dai 时代
'shi'deng 石灯
'shi'fang 石舫
'shi'hu 石湖
'shi'ji 世纪
'shi'jia'zhuang 石家庄
'shi'jian 时间
'shi'lian'ge 石莲阁
'shi'lin 石林
'shi'liu'yuan 石榴园
'shi'ma 石马
'shi'mao 狮猫
'shi'mao'wang 狮猫王
'shi'nan'hua 石楠花
'shi'nv 仕女
'shi'pai'xue'jia 狮牌雪茄
'shi'qiao 石桥
'shi'qiu 狮球
'shi'shang'he'fei 时尚合肥
'shi'shi 十十
'shi'shi 石狮
'shi'song 石松
'shi'xian 诗仙
'shi'xiao 试销
'shi'yan 石燕
'shi'zhen 时珍
'shi'zhi 试制
'shi'zhi'pin 试制品
'shi'zhu 诗竹
'shi'zhu 石竹
'shi'zi'jun 十字军
'shi'zi'lou 狮子楼
'shou'du 首都
'shou'tao 寿桃
'shou'weng 寿翁
'shou'xi'hu 瘦西湖
'shou'xian 寿仙
'shou'xing 寿星
'shou'yang'gong'zhu 寿阳公主
'shu'guang 曙光
'shu'jiang 蜀江
'shu'kou 舒口
'shu'le 舒乐
'shu'ren 书忍
'shu'sheng 书圣
'shu'shui 蜀水
'shu'xiu 蜀秀
'shu'zhu'mei 蜀竹梅
'shuai'ge 帅哥
'shuai'pai 帅牌
'shuang'bao 双宝
'shuang'dai'hua 双戴花
'shuang'die 双蝶
'shuang'e 双鹅
'shuang'fei 双飞
'shuang'feng 双凤
'shuang'fu 双蝠
'shuang'fu 双斧
'shuang'fu 双福
'shuang'ge 双鸽
'shuang'he 双鹤
'shuang'hui 双汇
'shuang'ji 双鸡
'shuang'ji 双吉
'shuang'jiu 双九
'shuang'ju 双桔
'shuang'kou'si 爽口思
'shuang'ling 双菱
'shuang'long 双龙
'shuang'lu 双鹿
'shuang'ma 双马
'shuang'mao 双猫
'shuang'niao 双鸟
'shuang'qian 双钱
'shuang'qiao 双桥
'shuang'ru'yi 双如意
'shuang'shi 双狮
'shuang'shuang 爽爽
'shuang'sui 双穗
'shuang'ta 双塔
'shuang'tao 双桃
'shuang'teng 双腾
'shuang'tou'feng 双头凤
'shuang'tu 双兔
'shuang'xi 双喜
'shuang'xiang 双翔
'shuang'xing 双星
'shuang'yan 双雁
'shuang'yan 双燕
'shuang'ye 霜叶
'shuang'ye 双叶
'shuang'ying 双鹰
'shuang'yu 双鱼
'shuang'yu'lan 双玉兰
'shui'chan 水产
'shui'dian 水电
'shui'dong 水洞
'shui'hui'yuan 水绘园
'shui'jiang'jun 水将军
'shui'jing'gong 水晶宫
'shui'lian'dong 水帘洞
'shui'po'liang'shan 水泊梁山
'shui'xian 水仙
'shui'xiu 水秀
'shui'zu'guan 水族馆
'shun'da 顺达
'shun'feng 顺风
'shun'hang 顺航
'si'chou'zhi'lu 丝绸之路
'si'gu'xiang 思故乡
'si'hong 泗洪
'si'hua 思华
'si'lian'guan 四连冠
'si'ling 四铃
'si'lu 丝路
'si'ma 四马
'si'ma'guang 司马光
'si'si 思思
'si'wei 思味
'si'xin 四新
'song'cheng 宋城
'song'he 松鹤
'song'hua'jiang 松花江
'song'shan 嵩山
'song'shi 松实
'song'shu 松鼠
'song'xiu 耸秀
'song'ying 松鹰
'song'zhu 松竹
'su'hang 苏杭
'su'xian 苏仙
'su'xin 素馨
'su'xiu 苏秀
'su'xiu 苏绣
'su'yan 苏烟
'su'yan 蘇烟
'suo'fei'ya 索菲亚
'suo'luo 桫椤
'suo'ma 索玛
'suo'xi'yu 索溪峪
'ta'er'si 塔尔寺
'ta'pai 塔牌
'ta'song 塔松
'tai'feng 太峰
'tai'hang 太行
'tai'hang'shan 太行山
'tai'he 太和
'tai'hu 太湖
'tai'kong 太空
'tai'ping 太平
'tai'ping 泰平
'tai'ping'gu 太平鼓
'tai'ping'hu 太平湖
'tai'ping'yang 太平洋
'tai'shan 泰山
'tai'ta 泰塔
'tai'yang 太阳
'tai'yang'dao 太阳岛
'tai'yuan 太原
'tan'yang 滩羊
'tang'cheng 唐城
'tang'hua'wu 唐花坞
'tang'qiao 唐桥
'tang'ren 唐人
'tao'du 陶都
'tao'hua 涛花
'tao'hua'jiang 桃花江
'tao'hua'ta 桃花塔
'tao'hua'yuan 桃花源
'tao'lin 桃林
'tao'ran'ting 陶然亭
'te'mei'si 特美思
'teng'da 腾达
'teng'fei 腾飞
'teng'wang'ge 藤王阁
'ti'cao 体操
'ti'yu 体育
'tian'bao 天宝
'tian'chan 天蟾
'tian'cheng 天秤
'tian'chi 天池
'tian'e 天鹅
'tian'fu 天府
'tian'hong 天虹
'tian'hou 天后
'tian'jiao 天骄
'tian'jin 天津
'tian'ju 天驹
'tian'le 天乐
'tian'ma 天麻
'tian'mi 甜蜜
'tian'ming 天明
'tian'mu 天目
'tian'ping 天平
'tian'qi 田七
'tian'qi'hua 田七花
'tian'qiao 天桥
'tian'shan 天山
'tian'shi 天使
'tian'shui 天水
'tian'tan 天坛
'tian'tan'xue'jia 天坛雪茄
'tian'xia'lou 天下楼
'tian'xia'xiu 天下秀
'tian'xian 天仙
'tian'xian'pei 天仙配
'tian'xiang 天香
'tian'xing 天星
'tian'ye'ju 甜叶菊
'tian'yi 天仪
'tian'yuan 田原
'tian'zhong 天中
'tian'zhu 天柱
'tian'zhu 天竹
'tian'zhu'shan 天柱山
'tian'zi'shan 天子山
'tie'hua 铁花
'tie'ma 铁马
'tie'mao 铁锚
'tie'niu 铁牛
'tie'qi 铁骑
'tie'quan 铁拳
'tie'ren 铁人
'tie'shu'hua 铁树花
'tie'ta 铁塔
'tie'ying 铁鹰
'ting'fang 庭芳
'ting'lin 亭林
'tong'ding 铜鼎
'tong'fo 童佛
'tong'gen 同根
'tong'gu 铜鼓
'tong'le 通乐
'tong'le 同乐
'tong'li 通力
'tong'ma'che 铜马车
'tong'meng 同盟
'tong'qing 同庆
'tong'shuai 统帅
'tong'xin'hua 同心花
'tong'yang 铜羊
'tong'yi 统益
'tuan'he 团鹤
'tuan'he'qiao 湍河桥
'tuan'jie 团结
'tuan'jie'qiao 团结桥
'tuan'ke'qi 团客妻
'tuo'dao 鮀岛
'tuo'jiang 沱江
'tuo'la'ji 拖拉机
'tuo'shan 驼山
'wan'bao 万宝
'wan'bao'lu 万宝路
