'ai'zhang'xia 矮嶂下
'huang'gang 黄岗
'huang'gang'he 黄冈河
'huang'hai'nan'zha 黄海南闸
'huang'hua'he 黄华河
'huang'hua'jiang 黄华江
'huang'jiang'shui'ku 黄江水库
'huang'jiao 黄角
'huang'jing'jiao 黄京角
'huang'jing'tang 黄京塘
'huang'keng 黄坑
'huang'keng'shui'ku 黄坑水库
'huang'ling 黄岭
'huang'long'dai 黄龙带
'huang'long'dai'shui'ku 黄龙带水库
'huang'ma'qiu 黄麻丘
'huang'ni'bei 黄坭陂
'huang'niu'pu 黄牛埔
'huang'niu'pu'shui'ku 黄牛埔水库
'huang'pi'he 黄陂河
'huang'pi'keng 黄陂坑
'huang'po 黄坡
'huang'pu 黄圃
'huang'pu'hai'guan 黄埔海关
'huang'pu'qu 黄埔区
'huang'qiang 黄羌
'huang'sha'li 黄沙沥
'huang'sha'shui'ku 黄沙水库
'huang'shan'dong 黄山洞
'huang'shan'dong'shui'ku 黄山洞水库
'huang'shi 黄示
'huang'tan'he 黄潭河
'huang'tang 黄塘
'huang'teng'jing 黄腾径
'huang'tian 黄田
'huang'tian'jiang 黄田江
'huang'tian'shui'ku 黄田水库
'huang'tong'jiang 黄铜降
'huang'tong'jiang'shui'ku 黄铜降水库
'huang'tu'keng 黄土坑
'huang'wu'ping 黄屋坪
'huang'xin 黄新
'huang'yong 潢涌
'huang'zhai'jiang 黄斋江
'huang'zhu'keng 黄竹坑
'hui'cheng'qu 惠城区
'hui'dong'xian 惠东县
'hui'gui'shui 回归水
'hui'hua 惠化
'hui'lai'xian 惠来县
'hui'liu'shi'jian 汇流时间
'hui'long 回龙
'hui'shui 回水
'hui'shui'qu'xian 回水曲线
'hui'yan 灰岩
'hui'yang'qu 惠阳区
'hui'yang'xian 惠阳县
'hun'he'chang'du 混合长度
'huo'gang 火岗
'huo'ju'si'dui 火炬四队
'ji'ben'ce'zhan 基本测站
'ji'ben'shui'wen'zhan 基本水文站
'ji'di 吉地
'ji'gong'qi 鸡公歧
'ji'jia 纪家
'ji'jie'xing'he'liu 季节性河流
'ji'jie'xing'hu'po 季节性湖泊
'ji'liu 基流
'ji'liu 急流
'ji'long 吉隆
'ji'long 吉龙
'ji'long'shan 鸡笼山
'ji'mian 基面
'ji'po'tou 鸡婆头
'ji'shui'mian'ji 集水面积
'ji'tan 吉潭
'ji'tan 急滩
'ji'tan'he 吉潭河
'ji'tang 吉塘
'ji'ti'men'shui'dao 鸡啼门水道
'ji'tian 吉田
'ji'tou 际头
'ji'xin'shi 鸡心石
'ji'xin'shi'shui'ku 鸡心石水库
'ji'xue'chan'shui'liang 积雪产水量
'ji'ya'shui'dao 鸡鸦水道
'ji'zhai 纪宅
'ji'zhu'she 寄竹畲
'jia'chao 假潮
'jia'dong 甲东
'jia'long 甲隆
'jia'tian 加田
'jia'yi 加益
'jia'yi 嘉益
'jian'bei 尖背
'jian'bei'shui'ku 尖背水库
'jian'ce 间测
'jian'cheng'he 建城河
'jian'cun 简村
'jian'du 碱度
'jian'duan'he 间断河
'jian'guan'bei 尖官陂
'jian'guan'bei'shui'ku 尖官陂水库
'jian'hong'he 减洪河
'jian'jiang 鉴江
'jian'qiao 建桥
'jian'shi 尖石
'jian'su'liu 减速流
'jian'tan 剑潭
'jian'tang 建塘
'jian'xi 剑溪
'jian'xi'jiang 鉴西江
'jian'xie'he 间歇河
'jiang'cheng'qu 江城区
'jiang'cun 江村
'jiang'gu 江谷
'jiang'gu'shui'ku 江谷水库
'jiang'hai'qu 江海区
'jiang'he'shui'ku 江河水库
'jiang'hua'shui 江华水
'jiang'jun'tang 将军塘
'jiang'kou'xun 江口汛
'jiang'men'shi 江门市
'jiang'men'shui'dao 江门水道
'jiang'qu'ge 江屈各
'jiang'shui'he 洚水河
'jiang'shui'li'shi 降水历时
'jiang'shui'liang 降水量
'jiang'tou 江头
'jiang'tou'shui'ku 江头水库
'jiang'xin'zhou 江心洲
'jiang'xing 江杏
'jiang'yu'mian'ji 降雨面积
'jiao'bu 窖步
'jiao'ce 校测
'jiao'dong 角洞
'jiao'dong'shui'ku 角洞水库
'jiao'keng 蕉坑
'jiao'keng 角坑
'jiao'le 茭勒
'jiao'lin'he 蕉林河
'jiao'ling 蕉岭
'jiao'ling'xian 蕉岭县
'jiao'men'shui'dao 蕉门水道
'jie'dong 阶洞
'jie'dong'xian 揭东县
'jie'long'wan 结龙湾
'jie'shi 碣石
'jie'xi 揭西
'jie'xi'xian 揭西县
'jie'yang'shi 揭阳市
'jie'yu'xiao'lv 截淤效率
'jie'zhi 界址
'jin'chang'shui 金场水
'jin'cun 金村
'jin'dong'xu 金垌圩
'jin'gang 金岗
'jin'gou 金钩
'jin'gu 金骨
'jin'jiang'shui'ku 锦江水库
'jin'keng 金坑
'jin'keng'shui'ku 金坑水库
'jin'kou 锦口
'jin'lang 津浪
'jin'lin 金林
'jin'lin'shui'ku 金林水库
'jin'long'di 金龙低
'jin'long'di'shui'ku 金龙低水库
'jin'long'gao 金龙高
'jin'long'gao'shui'ku 金龙高水库
'jin'ping'qu 金平区
'jin'shan'dong 金山洞
'jin'shan'dong'shui'ku 金山洞水库
'jin'tan'shui'ku 锦潭水库
'jin'wan'qu 金湾区
'jin'xi 金溪
'jin'xi 锦溪
'jin'yin'he 金银河
'jin'yin'he'shui'ku 金银河水库
'jin'zi'sha 金字沙
'jing'bao'yu'liang 净暴雨量
'jing'di 径底
'jing'hu 井湖
'jing'kou 迳口
'jing'kou 径口
'jing'ku'rong 静库容
'jing'liu'mo'shu 径流模数
'jing'liu'shi'yan'zhan 径流实验站
'jing'liu'xi'shu 径流系数
'jing'liu'xiao'qu 径流小区
'jing'men 径门
'jing'shan 荆山
'jing'yu'liang 净雨量
'jiong'long 迥龙
'jiu'bei 九陂
'jiu'bi 九比
'jiu'cai'ling 韭菜岭
'jiu'cun 九村
'jiu'feng 九峰
'jiu'feng'xi 九峰溪
'jiu'jiang'he 九姜河
'jiu'jiang'sha'kou 九江沙口
'jiu'keng'he 九坑河
'jiu'keng'he'shui'ku 九坑河水库
'jiu'lian'tang 旧莲塘
'jiu'long'ping 九龙坪
'jiu'nan 旧南
'jiu'niu'zhen 九牛圳
'jiu'qu'he 九曲河
'jiu'she 久社
'jiu'shi 九市
'jiu'wan'tan 九湾潭
'jiu'wan'tan'shui'ku 九湾潭水库
'jiu'yi'he 九嶷河
'jiu'zhou'jiang 九洲江
'jiu'zi 九子
'jiu'zi'tan 九子潭
'ju'shui'ku 局水库
'ju'tou 桔头
'ju'xi 举溪
'jun'he'xu 均和圩
'jun'lang 军浪
'jun'liao'pai 军寮排
'jun'tian 军田
'jun'tian 均田
'jun'xu 均圩
'jun'yun'liu 均匀流
'ka'si'te'he'liu 喀斯特河流
'ka'si'te'shui'wen'xue 喀斯特水文学
'kai'ping'shi 开平市
'kai'ping'xian 开平县
'kan'shi 坎市
'kang'dong 康洞
'ke'lu 客路
'ke'shu'xia 柯树下
'keng'tou 坑头
'kong'jiang 孔江
'kong'jiang'shui'ku 孔江水库
'kong'liu 孔流
'kong'tian 孔田
'kong'zhi'he'duan 控制河段
'kong'zi'shui'ku 空子水库
'ku'ji 枯季
'ku'shui 枯水
'ku'shui'he'cao 枯水河槽
'kuai'su'de'xia'liu 快速地下流
'kuan'ding'yan 宽顶堰
'kuan'shen'bi 宽深比
'kuang'hua'du 矿化度
'kui'ba 溃坝
'kui'chong 葵冲
'kui'hao'qu'xian 亏耗曲线
'kui'shui'he 亏水河
'kui'tan 葵潭
'lai'xi 濑溪
'lan'dao 缆道
'lan'di'po 蓝地坡
'lan'dong 兰洞
'lan'guan 蓝管
'lan'he 澜河
'lan'he'he 榄核河
'lan'ni'xiao'lv 拦泥效率
'lan'shan'xu 兰山圩
'lan'shi 澜石
'lan'tang 蓝塘
'lan'yuan 兰源
'lang'di 朗底
'lang'tou 朗头
'lao'huang'wu 老黄屋
'lao'wu 老屋
'lao'ya'gang 老鸦岗
'lao'ying'di 老营底
'lao'ying'di'shui'ku 老营底水库
'lao'yuan 老园
'lao'yuan'shui'ku 老园水库
'le'chang'shi 乐昌市
'le'chang'xian 乐昌县
'le'liu 勒流
'le'zhu 勒竹
'lei'nuo'shu 雷诺数
'lei'zhou'qing'nian'yun'he 雷州青年运河
'lei'zhou'qing'nian'yun'he'dong'hai'he 雷州青年运河东海河
'lei'zhou'qing'nian'yun'he'dong'yun'he 雷州青年运河东运河
'lei'zhou'qing'nian'yun'he'xi'yun'he 雷州青年运河西运河
'lei'zhou'shi 雷州市
'leng'shui'keng 冷水坑
'li'bo'shui 里波水
'li'dong 里洞
'li'dong 利垌
'li'dong 李洞
'li'dong 礼垌
'li'heng 礼亨
'li'jiang 里江
'li'jiao 沥窖
'li'ju 黎咀
'li'keng 李坑
'li'keng'tun 李坑屯
'li'ma 里麻
'li'qin'sha'shui'dao 沥沁沙水道
'li'shi 犁市
'li'shu'ao 梨树坳
'li'shu'ping 梨树坪
'li'shui 利水
'li'shui'shui'ku 利水水库
'li'shun 黎顺
'li'wan'qu 荔湾区
'li'xi'he 里溪河
'li'xia 沥下
'li'xin'shui'ku 立新水库
'li'yu'tan 鲤鱼潭
'li'yu'tan'shui'ku 鲤鱼潭水库
'li'yu'tang 鲤鱼塘
'li'yuan 利源
'li'zhang'feng 黎嶂峰
'lian'an 联安
'lian'an'shui'ku 联安水库
'lian'cheng'he 连城河
'lian'feng 联丰
'lian'he 联和
'lian'he'shui'ku 联和水库
'lian'hua'shan'shui'dao 莲花山水道
'lian'huan'shui'ku 连环水库
'lian'jiang 濂江
'lian'jiang 练江
'lian'jiang'kou 连江口
'lian'jiang'shi 廉江市
'lian'jiang'xian 廉江县
'lian'ma 连麻
'lian'ma'jian 连麻简
'lian'nan 连南
'lian'nan'yao'zu'zi'zhi'xian 连南瑶族自治县
'lian'ping 连平
'lian'ping'he 连平河
'lian'ping'xian 连平县
'lian'shan'zhuang'zu'yao'zu'zi'zhi'xian 连山壮族瑶族自治县
'lian'tan 连滩
'lian'xian 连县
'lian'yao 连腰
'lian'zhou'ping 连洲坪
'lian'zhou'shi 连州市
'liang'bei 量杯
'liang'de'shui'ku 良德水库
'liang'dong'xu 良垌圩
'liang'gang'he 凉港河
'liang'hua'he 梁化河
'liang'jia 梁家
'liang'jiang'kou 两江口
'liang'keng 良坑
'liang'kou 良口
'liang'qiao 凉桥
'liang'shui'jing 凉水井
'liang'xi 良西
'liang'xi'shui'ku 良西水库
'liao'kou 潦口
'lie'xi'shui 裂隙水
'lin'bu 临步
'lin'jie'shui'shen 临界水深
'lin'rong 淋溶
'lin'tan'jiang 麟潭江
'lin'tou 林头
'lin'tou'wei 林投围
'lin'tou'wei 箖投围
'lin'tou'wei'shui'ku 箖投围水库
'lin'wu 临武
'lin'wu 林屋
'lin'xi 林西
'lin'xi 淋洗
'ling'bei 岭背
'ling'cun 岭村
'ling'jiang 陵江
'ling'jiang 凌江
'ling'jiao 岭脚
'ling'men 岭门
'ling'shi 岭石
'ling'xia 岭下
'liu'bao'he 六堡河
'liu'cheng 柳城
'liu'dong 留洞
'liu'gang'chong 骝岗冲
'liu'guan'shui 六官水
'liu'huang 留隍
'liu'liang'guo'cheng'xian 流量过程线
'liu'liang'lv 流量率
'liu'liang'mo'shu 流量模数
'liu'ma'he 六麻河
'liu'pai 留排
'liu'su'yi 流速仪
'liu'tai 流态
'liu'xi'he 流溪河
'liu'xi'he'shui'ku 流溪河水库
'liu'xi'xiang 流溪乡
'liu'yu'chan'liu'mian'ji 流域产流面积
'liu'yu'fen'shui'xian 流域分水线
'liu'yu'guan'li 流域管理
'liu'yu'mian'ji 流域面积
'liu'yu'xiang'ying 流域响应
'liu'yu'xing'tai'te'zheng 流域形态特征
'long'chuan'xian 龙川县
'long'cun 龙村
'long'du 龙渡
'long'gang'qu 龙岗区
'long'gong'keng 龙公坑
'long'gou'shan 龙沟山
'long'gui 龙归
'long'hu'qu 龙湖区
'long'hua 龙化
'long'hua 龙华
'long'ji 笼鸡
'long'jiang 隆江
'long'jie 隆街
'long'jing 龙颈
'long'jing'shui'ku 龙颈水库
'long'jing'xia 龙颈下
'long'jing'xia'shui'ku 龙颈下水库
'long'keng 龙坑
'long'kou'shui'ku 龙口水库
'long'mei 隆美
'long'men'shui'ku 龙门水库
'long'men'xian 龙门县
'long'mu 龙母
'long'shan 龙山
'long'shan'shui'ku 龙山水库
'long'sheng 隆胜
'long'tan'he 龙潭河
'long'tan'shan 龙潭山
'long'tan'shui'ku 龙潭水库
'long'tang 龙塘
'long'tang'he 龙塘河
'long'tou'he 龙头河
'long'wan 龙湾
'long'wan'shui'ku 龙湾水库
'long'wan'xia 龙湾峡
'long'wang'miao 龙王庙
'long'wang'miao'shui'ku 龙王庙水库
'long'wen 隆文
'long'wo 龙窝
'long'xi'er'ji 龙溪二级
'long'xi'er'ji'shui'ku 龙溪二级水库
'long'xi'yi'ji 龙溪一级
'long'xi'yi'ji'shui'ku 龙溪一级水库
'long'xu'dai 龙须带
'long'xu'dai'shui'ku 龙须带水库
'lou'jiao'long 楼角龙
'lu'bao 芦苞
'lu'chuan 陆川
'lu'di'shui'wen'xue 陆地水文学
'lu'feng 陆丰
'lu'feng'shi 陆丰市
'lu'feng'xian 陆丰县
'lu'gu'he 鲁古河
'lu'gu'he'shui'ku 鲁古河水库
'lu'he 陆河
'lu'he'xian 陆河县
'lu'jing 陆靖
'lu'lan 录兰
'lu'mian 陆面
'lu'shui'he 渌水河
'lu'tan 路滩
'lu'wei'hu'po 陆围湖泊
'lu'xi 芦溪
'lu'xi 鲁溪
'lu'xia'tang 路下塘
'lu'zai'dong 鹿仔洞
'lu'zhan 鲁瞻
'luo'ba 罗坝
'luo'chao 落潮
'luo'ding'gu'lan 罗定古榄
'luo'ding'shi 罗定市
'luo'ding'xian 罗定县
'luo'fu'shan 罗浮山
'luo'gang 螺岗
'luo'gang 罗岗
'luo'gang'qu 萝岗区
'luo'guang 罗光
'luo'guang'shui'ku 罗光水库
'luo'he 螺河
'luo'hong'qi 落洪期
'luo'hu 骆湖
'luo'jing'ba 罗径坝
'luo'keng 罗坑
'luo'keng'shui'ku 罗坑水库
'luo'pai 罗排
'luo'pang 罗旁
'luo'ping 罗平
'luo'shan 罗山
'luo'tan 罗潭
'luo'tian 罗田
'luo'tian'shui'ku 罗田水库
'luo'yang'xu 罗阳圩
'luo'yun'gang 罗云岗
'luo'zhai'shui'ku 罗寨水库
'lv'tian 吕田
'lv'zhou'zai 绿洲仔
'ma'ba 马坝
'ma'chi 马池
'ma'da'feng 马大丰
'ma'di 麻地
'ma'di'xia 麻地下
'ma'fang 马房
'ma'gang 马岗
'ma'gang'shui'ku 马岗水库
'ma'gui 马贵
'ma'ji'he 马迹河
'ma'jiang 麻江
'ma'jing'liao 马径寮
'ma'keng 麻坑
'ma'kou 马口
'ma'lan'jing'shui'ku 马兰径水库
'ma'liao 麻寮
'ma'ling'dun 马岭墩
'ma'liu'dai 马留带
'ma'lu'tou 马路头
'ma'ning'shui 马宁水
'ma'shan'shui'ku 马山水库
'ma'si 马嘶
'ma'tan 马潭
'ma'tou'mian 马头面
'ma'wei'he 马尾河
'ma'wu 马屋
'ma'xu'he 马圩河
'ma'yu 妈屿
'ma'zha 麻榨
'ma'zhang'qu 麻章区
'mai'chen 迈陈
'mai'hu 麦湖
'mai'sheng 迈胜
'mai'sheng 迈生
'mai'sheng'shui'ku 迈胜水库
'mai'sheng'shui'ku 迈生水库
'man'bei'tou 蛮陂头
'man'guan 漫灌
'man'ning 曼宁
'man'ning'gong'shi 曼宁公式
'man'shui'he'kou 漫水河口
'mang'pai 芒派
'mang'shan 莽山
'mang'xi 芒溪
'mao'dong 茅垌
'mao'dong'shui'ku 茅垌水库
'mao'dun 茂墩
'mao'dun'shui'ku 茂墩水库
'mao'gang'qu 茂港区
'mao'ming'shi 茂名市
'mao'nan'qu 茂南区
'mao'she 茅輋
'mao'she'shui'ku 茅輋水库
'mao'tian 茅田
'mao'yuan 茅园
'mao'yuan'jie 茂园街
'mao'zhi 茂芝
'mei'ge 梅阁
'mei'ge'shui'ku 梅阁水库
'mei'guang'cun 梅光村
'mei'he 梅河
'mei'hua 袂花
'mei'hua'jiang 袂花江
'mei'jiang 梅江
'mei'jiang'qu 梅江区
'mei'keng 梅坑
'mei'lin'shui'ku 梅林水库
'mei'lu 梅录
'mei'nan 梅南
'mei'sha 梅沙
'mei'shu'xia 梅树下
'mei'shu'xia'shui'ku 梅树下水库
'mei'tan'he 梅潭河
'mei'xi 梅西
'mei'xi 梅溪
'mei'xi'shui'ku 梅西水库
'mei'zai'keng 妹仔坑
'mei'zhou'shi 梅州市
'mei'zhou'shui'ku 梅州水库
'mei'zi'ba 梅子坝
'mei'zi'ping 梅子坪
'mei'zi'wo 梅子窝
'meng'zhou'ba 孟洲坝
'meng'zhou'ba'shui'ku 孟洲坝水库
'mi'xi 密溪
'mian'ji'gao'cheng'qu'xian 面积高程曲线
'miao'long'wei 庙窿尾
'miao'long'xu 庙龙圩
'miao'tan 庙滩
'miao'tan'shui'ku 庙滩水库
'min'yu'sha 鳘鱼沙
'ming'jing 明径
'ming'qu 明渠
'ming'qu'shui'li'xue 明渠水力学
'ming'qu'shui'liu 明渠水流
'ming'shan'zhang 明山嶂
'ming'xing'qiao 明星桥
'mo'cun 莫村
'mo'dao'keng'shui'ku 磨刀坑水库
'mo'di'dong 漠地洞
'mo'di'dong'shui'ku 漠地洞水库
'mo'jiang 墨江
'mo'xi'yun'he 莫西运河
'mo'yan'zhou'you'zhi'liu 墨砚洲右支流
'mo'yan'zhou'zuo'zhi'liu 墨砚洲左支流
'mo'yang'jiang 漠阳江
'mo'zu 摩阻
'mu'jiang 木强
'mu'jiang'shui'ku 木强水库
'mu'qi'dong 木七垌
'mu'tou'tang'xu 木头塘墟
'mu'wei 木威
'mu'xi 沐溪
'mu'xi'he 木溪河
'mu'xi'shui'ku 沐溪水库
'mu'zhou 睦州
'mu'zhou'kou 睦洲口
'na'an 那安
'na'ao 那澳
'na'feng 那逢
'na'he 那禾
'na'huo 那霍
'na'ji 那吉
'na'ju 那咀
'na'ju'shui'ku 那咀水库
'na'long 那龙
'na'meng 那蒙
'na'peng 那蓬
'na'ping 那凭
'nan'ao'xian 南澳县
'nan'ao'xu 南澳圩
'nan'chong 南冲
'nan'dong 南洞
'nan'du 南渡
'nan'du'he 南渡河
'nan'gao 南告
'nan'gao'shui'ku 南告水库
'nan'hai'qu 南海区
'nan'hua'xi 南花溪
'nan'jiang 南江
'nan'jing 南径
'nan'keng 南坑
'nan'keng'shui'ku 南坑水库
'nan'long 南陇
'nan'men'shui'ku 南门水库
'nan'mu 南亩
'nan'mu'jiang 楠木江
'nan'pu 南埔
'nan'san'dao 南三岛
'nan'sha'qu 南沙区
'nan'shan'ba 南山坝
'nan'shan'qu 南山区
'nan'she 南社
'nan'she'gang 南蛇岗
'nan'sheng 南盛
'nan'shi'shi 南石示
'nan'shui 南水
'nan'shui'li 南水沥
'nan'shui'shui'ku 南水水库
'nan'tang 南塘
'nan'xi'he 南溪河
'nan'xi'keng 南溪坑
'nan'xiong'shi 南雄市
'nan'xiong'xian 南雄县
'nan'yang'kou 南洋口
'nan'yao 南窑
'nan'yong 南涌
'nao'zhou'dao 硇洲岛
'nei'guan 内莞
'nei'hai'shui'mian'bo'dong 内海水面波动
'nei'lu'he 内陆河
'nei'lu'hu 内陆湖
'ni'sha'cai'yang'qi 泥沙采样器
'ni'tan'zhao 泥炭沼
'ni'zhao'di 泥沼地
'ning'jiang 宁江
'ning'sha 宁沙
'ning'tan 宁潭
'niu'e'hu 牛轭湖
'niu'jiao'long 牛角隆
'niu'jiao'long 牛角笼
'niu'jiao'long'shui'ku 牛角隆水库
'niu'jiao'long'shui'ku 牛角笼水库
'niu'lu'tou 牛路头
'niu'qi 牛歧
'niu'shi'li 牛屎坜
'niu'tou'tan 牛头潭
'niu'xin'ling 牛心岭
'ou'bei 欧陂
'ou'jiang 沤江
'pa'jiang'kou 琶江口
'pai'tan 派潭
'pan'long'he 蟠龙河
'pan'shi 盘石
'pan'tang 泮塘
'pan'tang'qiao 泮塘桥
'pan'tian 潘田
'pan'yu'qu 番禺区
'pan'yu'xian 番禺县
'pang'ce'ru'liu 旁侧入流
'pao'fei 泡沸
'peng'an 彭岸
'peng'cun 蓬村
'peng'cun 彭村
'peng'jiang'qu 蓬江区
'peng'la'tan 蓬辣滩
'peng'la'tan'shui'ku 蓬辣滩水库
'peng'qing 朋情
'pian'liu 片流
'pian'shi 片蚀
'pian'zhuang'liu 片状流
'ping'an'dong 平安洞
'ping'an'dong'shui'ku 平安洞水库
'ping'chao 平潮
'ping'ding'xu 平定圩
'ping'gang 平岗
'ping'hai 平海
'ping'hu 坪湖
'ping'jun'chao'wei 平均潮位
'ping'jun'hai'ping'mian 平均海平面
'ping'lan 平岚
'ping'long 平龙
'ping'long'shui'ku 平龙水库
'ping'sha 平沙
'ping'sha'yong'kou 平沙涌口
'ping'shan 坪山
'ping'shi 坪石
'ping'shui 平水
'ping'tai'xu 平泰圩
'ping'tang 平塘
'ping'tian 坪田
'ping'xi 坪溪
'ping'xi'shui'ku 坪溪水库
'ping'xin 坪新
'ping'xing'ban'mo'xing 平行板模型
'ping'yang 坪洋
'ping'yuan 平远
'ping'yuan'xian 平远县
'po'bian 坡边
'po'ji 坡脊
'po'jiao'shui'ku 坡脚水库
'po'liu'he 婆流河
'po'mian'liu 坡面流
'po'mian'shen'liu 坡面渗流
'po'tang 坡塘
'po'tou'qu 坡头区
'pu'bu'shui'ku 瀑布水库
'pu'lu'bei 蒲芦陂
'pu'ning'shi 普宁市
'pu'ning'xian 普宁县
'pu'shang 埔上
'pu'tan 普滩
'pu'zhai 埔寨
'qi'ca 七礤
'qi'ca'shui'ku 七礤水库
'qi'cha 奇槎
'qi'cun 七村
'qi'dian'ju 起点距
'qi'jiang 淇江
'qi'lin'ju 麒麟咀
'qi'ling 旗岭
'qi'ling'he 岐岭河
'qi'liu'he 栖留河
'qi'nan'tang 其南塘
'qi'shan'shui'ku 岐山水库
'qi'she'jing 七畲径
'qi'shi 企石
'qi'shui 弃水
'qi'tuan 气团
'qi'xia'ling 岐下岭
'qi'xiang'nian 气象年
'qi'xing'dun 七星墩
'qi'xing'dun'shui'ku 七星墩水库
'qi'xing'gang 七星岗
'qi'xing'he 七星河
'qi'xing'he'shui'ku 七星河水库
'qi'xing'keng 七星坑
'qi'xuan 气旋
'qi'ye'shi 契爷石
'qi'ye'shi'shui'ku 契爷石水库
'qia'shui 洽水
'qian'bing 潜冰
'qian'keng 茜坑
'qian'keng 钱坑
'qian'keng'shui'ku 茜坑水库
'qian'kou 堑口
'qian'liu 潜流
'qian'pai 钱排
'qian'shui'ceng 潜水层
'qian'wu 乾务
'qian'wu'shui'ku 乾务水库
'qian'wu'yong'kou 乾雾涌口
'qian'yin'li 牵引力
'qian'yu 铅鱼
'qin'jiang 琴江
'qing'cheng'qu 清城区
'qing'dong 清洞
'qing'hu 青湖
'qing'hu 清湖
'qing'lan'hai 青榄海
'qing'lian 青莲
'qing'liang'shan 清凉山
'qing'liang'shan'shui'ku 清凉山水库
'qing'lin'jing 清林径
'qing'lin'jing'shui'ku 清林径水库
'qing'long'he 青龙河
'qing'long'tan 青龙潭
'qing'nan'jiao 青南角
'qing'nan'jiao'shui'ku 青南角水库
'qing'nian'hu 青年湖
'qing'nian'hu'shui'ku 青年湖水库
'qing'nian'shui'ku 青年水库
'qing'ping'wei 青平圩
'qing'qi'yong 青歧涌
'qing'qi'yong'nan'kou 青歧涌南口
'qing'tan 青潭
'qing'tang 青塘
'qing'tong'yang 青桐洋
'qing'wan 清湾
'qing'xi'dian'chang 青溪电厂
'qing'xi'dian'chang'shui'ku 青溪电厂水库
'qing'xi'he 青溪河
'qing'xin'xian 清新县
'qing'yuan'shi 清远市
'qing'zhi 青枝
'qing'zhou 青洲
'qiu'feng'jie 秋风街
'qiu'feng'ling 秋风岭
'qiu'feng'ling'shui'ku 秋风岭水库
'qiu'xi'he 秋溪河
'qiu'xiang'jiang 秋香江
'qu'dao'zhan 渠道站
'qu'jian'lai'shui 区间来水
'qu'jian'ru'liu 区间入流
'qu'jiang'qu 曲江区
'qu'jiang'xian 曲江县
'qu'jie 曲界
'qu'liu 曲流
'qu'liu'dai 曲流带
'qu'tan 曲潭
'qu'xi 曲溪
'qu'xi'shui'ku 曲溪水库
'qu'xian'chang'du 曲线长度
'quan'keng 泉坑
'quan'keng'shui'ku 泉坑水库
'quan'shui'shui'ku 泉水水库
'que'ding'shui'wen'xue 确定水文学
'que'dong 鹊垌
'rang'zhong'liu 壤中流
'rao'cun 饶村
'rao'ping'xian 饶平县
're'fu'he 热负荷
're'shui'he 热水河
're'shui'shui'ku 热水水库
'ren'cun 稔村
'ren'hai 稔海
'ren'hua 仁化
'ren'hua'he 仁化河
'ren'hua'xian 仁化县
'ren'ju'he 仁居河
'ren'shan 稔山
'rong'cao 茸草
'rong'cao'shui'ku 茸草水库
'rong'cheng'qu 榕城区
'rong'jiang 榕江
'rong'jiang'bei'he 榕江北河
'rong'jiang'he 榕江河
'rong'jiang'nan'he 榕江南河
'rong'jie'yang 溶解氧
'rong'mu'tang 榕木塘
'rong'mu'zhai 榕木寨
'rong'qi 容奇
'rong'shu'xia 榕树下
'rong'xue 融雪
'rong'xue'hong'shui 融雪洪水
'rong'zhou 溶洲
'ru'dong 儒垌
'ru'dong'he 儒洞河
'ru'shen 入渗
'ru'yuan'yao'zu'zi'zhi'xian 乳源瑶族自治县
'ru'zhuo'xing 乳浊性
'ruan'yong 阮涌
'rui'po 瑞坡
'ruo'zi'ba 箬子坝
'san'biao 三标
'san'cun 三村
'san'du'shui 三渡水
'san'duo 三多
'san'he'ba 三河坝
'san'he'ba'shui'ku 三河坝水库
'san'he'chong 三合冲
'san'he'wo 三合窝
'san'heng 三亨
'san'hua 三华
'san'jia 三甲
'san'jia'hai 三夹海
'san'jiang'kou 三江口
'san'jie'shi 三界市
'san'keng 三坑
'san'keng'shui'ku 三坑水库
'san'kou'shui 三口水
'san'li'xi 三利溪
'san'rao 三饶
'san'rong'xia'xia 三榕峡下
'san'sha'kou 三沙口
'san'shan'jiao 三善窖
'san'shui'qu 三水区
'san'shui'xian 三水县
'san'tan 散滩
'san'tan'shui'ku 散滩水库
'san'xi 三溪
'san'xi'kou 三溪口
'san'xi'shui 三溪水
'san'xi'shui'shui'ku 三溪水水库
'san'xiang 三乡
'san'ya'jiang 三丫江
'san'yan'qiao 三眼桥
'san'yang'qiao 三阳桥
'san'yang'qiao'shui'ku 三阳桥水库
'san'yi 三一
'san'ying'ta 三影塔
'san'zao 三灶
'san'zhou 三洲
'san'zhou'tian 三洲田
'sao'guan'tang 扫管塘
'sha'ba 沙坝
'sha'ba'shui'ku 沙坝水库
'sha'bo 沙波
'sha'hu 沙湖
'sha'jiao'li 沙角沥
'sha'kou 沙口
'sha'lang 沙朗
'sha'lang 沙琅
'sha'lang'jiang 沙琅江
'sha'mu'dong 杉木洞
'sha'tang 沙塘
'sha'tian 沙田
'sha'tian'dong 沙田垌
'sha'tian'he 沙田河
'sha'tian'shui'ku 沙田水库
'sha'wan'shui'dao 沙湾水道
'sha'wan'shui'ku 沙湾水库
'sha'xin'chong 沙心冲
'sha'yong 沙涌
'sha'zhou 沙洲
'shan'ban'zhou 舢舨洲
'shan'dong 山垌
'shan'dong'shui'ku 山垌水库
'shan'hong'bao'fa 山洪暴发
'shan'kou'san'ji 山口三级
'shan'kou'san'ji'shui'ku 山口三级水库
'shan'ping'xu 山坪圩
'shan'tang 山塘
'shan'wei'shi 汕尾市
'shan'xi 山溪
'shan'xin 山心
