'ba'yin'neng'xie 八音能谐
'yao'yue'zhong'bu'yi'tian'xia'zhi'bing'er'li'yi'ren 尧曰终不以天下之病而利一人
'yao'zhi'zi'dan'zhu'zhi'bu'xiao 尧知子丹硃之不肖
'yao'zi'dan'zhu 尧子丹硃
'ye'zhong 夜中
'yi'bai'qi'shou 益拜稽首
'yi'bian'bei'di 以变北狄
'yi'bian'dong'yi 以变东夷
'yi'bian'nan'man 以变南蛮
'yi'bian'xi'rong 以变西戎
'yi'feng'xian'si 以奉先祀
'yi'guan'tian'ming 以观天命
'yi'gui'shen'yi'zhi'yi 依鬼神以制义
'yi'ke'jian'tian'zi 以客见天子
'yi'kui'bai'shi 以揆百事
'yi'kui'wei'dian'le 以夔为典乐
'yi'nian'er'suo'ju'cheng'ju 一年而所居成聚
'yi'qi'qi'zheng 以齐七政
'yi'qin'jiu'zu 以亲九族
'yi'ru'wei'zhi'zong 以汝为秩宗
'yi'run'yue'zheng'si'shi 以闰月正四时
'yi'shi'bing'wei'ying'wei 以师兵为营卫
'yi'shun'wei'yi'si 以舜为已死
'yi'si'yao 以思尧
'yi'wu'rui 揖五瑞
'yi'yin'zhong'chun 以殷中春
'yi'yu'chi'mei 以御螭魅
'yi'yu'yan'di'zhan'yu'ban'quan'zhi'ye 以与炎帝战於阪泉之野
'yi'zai 异哉
'yi'zhang'ming'de 以章明德
'yi'zheng'bu'xiang 以征不享
'yi'zheng'zhong'dong 以正中冬
'yi'zheng'zhong'qiu 以正中秋
'yi'zheng'zhong'xia 以正中夏
'yi'zhi'shun'qi'shi'yi 以至舜七世矣
'yi'zhu'yu 益主虞
'yin'yu'liu'zong 禋于六宗
'ying'ri'tui'ce 迎日推筴
'yong'te'niu'li 用特牛礼
'you'er'xun'qi 幼而徇齐
'you'jin'zai'min'jian 有矜在民间
'you'ming'zhi'zhan 幽明之占
'you'neng'dian'zhen'san'li 有能典朕三礼
'you'neng'fen'yong'mei'yao'zhi'shi'zhe 有能奋庸美尧之事者
'you'neng'shi'zhi'zhe 有能使治者
'you'tu'de'zhi'rui 有土德之瑞
'yu'bai'qi'shou 禹拜稽首
'yu'bing'lun'ci 余并论次
'yu'chang'xi'zhi'kong'tong 余尝西至空桐
'yu'chi'you'zhan'yu'zhuo'lu'zhi'ye 与蚩尤战於涿鹿之野
'yu'guan'chun'qiu'guo'yu 予观春秋国语
'yu'ji'shi'fu'shi 予击石拊石
'yu'lei'ze 渔雷泽
'yu'niu'yang 予牛羊
'yu'qin 与琴
'yu'sha 欲杀
'yu'shi'di'yao'lao 於是帝尧老
'yu'shi'huang'di'nai'zheng'shi'zhu'hou 於是黄帝乃徵师诸侯
'yu'shi'nai'quan'shou'shun 於是乃权授舜
'yu'shi'shun'gui'er'yan'yu'di 於是舜归而言於帝
'yu'shi'shun'nai'zhi'yu'wen'zu 於是舜乃至於文祖
'yu'shi'si'men'pi 於是四门辟
'yu'shi'xuan'yuan'nai'xi'yong'gan'ge 於是轩辕乃习用干戈
'yu'shi'yao'nai'shi'shun'wu'dian'bai'guan 於是尧乃试舜五典百官
'yu'shi'yao'nai'yi'er'nv'qi'shun'yi'guan'qi'nei 於是尧乃以二女妻舜以观其内
'yu'shi'yao'qi'zhi'er'nv 於是尧妻之二女
'yu'shi'yi'chui'wei'gong'gong 於是以垂为共工
'yu'shi'yi'yi'wei'zhen'yu 於是以益为朕虞
'yu'shi'yu'nai'xing'jiu'zhao'zhi'le 於是禹乃兴九招之乐
'yu'shi'yue 於是曰
'yu'shun'zhe 虞舜者
'yu'song'zhe'bu'zhi'dan'zhu'er'zhi'shun 狱讼者不之丹硃而之舜
'yu'yi'dong'zuo 郁夷东作
'yu'yi'nai'rang'shun'zi 禹亦乃让舜子
'yuan'ji'di'ku 爰洎帝喾
'yuan'jin'zhong'gong'xian'xing 远近众功咸兴
'yuan'ning'ren 远佞人
'yuan'ren'zhi 远人至
'yue'chang'pu 曰昌仆
'yue'jiang'qing'shi'zhi 岳彊请试之
'yue'ke 曰可
'yue'mei'gu 曰昧谷
'yue'yang'gu 曰旸谷
'yue'ying'yue 岳应曰
'yue'you'dou 曰幽都
'yue'yu'shun 曰虞舜
'yue'yue 岳曰
'zai'kuan 在宽
'zai'shi'yi'xiang'tian 载时以象天
'zai'tian'zi'qi 载天子旗
'zang'qiao'shan 葬桥山
'zang'yu'jiang'nan'jiu'yi 葬於江南九疑
'ze'ji'yue'ri 择吉月日
'ze'man'yi'lv'fu 则蛮夷率服
'ze'qi'yan'you'ya'zhe 择其言尤雅者
'ze'shou'zui 则受罪
'ze'tian'xia'bing'er'dan'zhu'de'qi'li 则天下病而丹硃得其利
'ze'tian'xia'de'qi'li'er'dan'zhu'bing 则天下得其利而丹硃病
'zhao'shi'you'er'zhou 肇十有二州
'zhao'shun'yue 召舜曰
'zhen'jing'zhen'zhong 振惊朕众
'zhen'wei'ji'chan'shuo'tian'wei 朕畏忌谗说殄伪
'zhen'wen'zhi 朕闻之
'zhen'zai'wei'qi'shi'zai 朕在位七十载
'zheng'yue'shang'ri 正月上日
'zheng'zheng'zhi 烝烝治
'zhi'er'wen 直而温
'zhi'gao'xin'ji'di'wei 至高辛即帝位
'zhi'min'zhi'ji 知民之急
'zhi'qi'yi'jiao'hua 治气以教化
'zhi'wu'qi 治五气
'zhi'yi'wu 致异物
'zhi'yu'dai'zong 至於岱宗
'zhi'yu'huang'fu 至于荒服
'zhi'yu'yao 至于尧
'zhi'yu'yao 至於尧
'zhi'yu'zu'mi'miao 至于祖祢庙
'zhi'zai'wei'jing'xie 直哉维静絜
'zhi'zhang'lao'jie'ge'wang'wang'cheng'huang'di'yao'shun'zhi'chu 至长老皆各往往称黄帝尧舜之处
'zhi'zuo'you'da'jian 置左右大监
'zhong'gong'jie'xing 众功皆兴
'zhong'hua'fu'yue'gu'sou 重华父曰瞽叟
'zhong'jie'yan'yu'yao'yue 众皆言於尧曰
'zhu'hou'chao'jin'zhe'bu'zhi'dan'zhu'er'zhi'shun 诸侯朝觐者不之丹硃而之舜
'zhu'hou'gui'zhi 诸侯归之
'zhu'hou'xian'gui'xuan'yuan 诸侯咸归轩辕
'zhu'hou'xian'lai'bin'cong 诸侯咸来宾从
'zhu'hou'xiang'qin'fa 诸侯相侵伐
'zhu'hou'yuan'fang'bin'ke'jie'jing 诸侯远方宾客皆敬
'zhuan'xu'beng 颛顼崩
'zhuan'xu'fu'yue'chang'yi 颛顼父曰昌意
'zhuan'xu'shi'you'bu'cai'zi 颛顼氏有不才子
'zi'cong'qiong'chan'yi'zhi'di'shun 自从穷蝉以至帝舜
'zi'huang'di'zhi'shun'yu 自黄帝至舜禹
'zi'xiao 子孝
'zi'xuan'xiao'yu'jiao'ji'jie'bu'de'zai'wei 自玄嚣与蟜极皆不得在位
'zi'yan'qi'ming 自言其名
'zong'zhi'bu'li'gu'wen'zhe'jin'shi 总之不离古文者近是
'zu'nai'fu 卒乃复
'zuo'shi'qi'yu'shou'qiu 作什器於寿丘
