'an'kou'yao 安口窑
'xiang'sheng'ci 象生瓷
'xiang'shou'bian'ping 象首扁瓶
'xiang'ya'bai'you 象牙白釉
'xiang'yin'yao 湘阴窑
'xiao'nan'yao 小南窑
'xiao'shan'yao 萧山窑
'xiao'xian'tan'yao 小仙坛窑
'xiao'yao 萧窑
'xie'ke'you 蟹壳釉
'xin'an'cheng'guan'yao 新安城关窑
'xin'cai 新彩
'xin'dian'wen'hua'tao'qi 辛店文化陶器
'xing'yao 邢窑
'xing'zhan'you 星盏釉
'xiu'nei'si'guan'yao 修内司官窑
'xuan'de'hong'you 宣德红釉
'xuan'de'yao 宣德窑
'xue'bai 雪白
'xue'hua'lan'you 雪花蓝釉
'xue'jing'bo'li'bai 雪景玻璃白
'ya'shou'bei 压手杯
'yan'hei 艳黑
'yan'se'you 颜色釉
'yan'zhi'hong 胭脂红
'yan'zhi'shui'you 胭脂水釉
'yang'cai 洋彩
'yang'cheng'yao 阳城窑
'yang'hua'yan 氧化焰
'yang'mei'ting'yao 杨梅亭窑
'yang'shao'wen'hua'ren'mian'yu'wen'cai'tao'pen 仰韶文化人面鱼纹彩陶盆
'yao'bian'hua'you 窑变花釉
'yao'cai 窑彩
'yao'lie 窑裂
'yao'zhou'yao 耀州窑
'yao'zhou'yao'li'shi'lu 耀州窑力士炉
'yao'zhou'yao'qing'ci'he'ye'pan 耀州窑青瓷荷叶盘
'yao'zhou'yao'wu'zu'xun'lu 耀州窑五足熏炉
'yi'ci'shao'cheng 一次烧成
'yi'dao'you 一道釉
'yi'hao'you 异毫釉
'yi'jun'you 宜钧釉
'yi'se'you 一色釉
'yi'xing'yao 宜兴窑
'yi'xing'zi'sha'tao 宜兴紫砂陶
'yi'yang'yao 宜阳窑
'yin'qing 隐青
'yin'wen'ruan'tao 印纹软陶
'yin'wen'ying'tao 印纹硬陶
'ying 罂
'ying'cai 硬彩
'ying'ci 硬瓷
'ying'guang 莹光
'ying'qing 影青
'ying'qing 映青
'ying'qing'lou'diao'ren'wu'gao'zu'bei 影青镂雕人物高足杯
'ying'qing'qing'hua'you'li'hong'ta'shi'si'ling'gai'guan 影青青花釉里红塔式四灵盖罐
'ying'tao 硬陶
'ying'xi'wen 婴戏纹
'ying'zhi'ci 硬质瓷
'yong'fu'yao 永福窑
'yong'he'yao 永和窑
'yong'jia'yao 永嘉窑
'yong'le'bai'ci'zhi'hu 永乐白瓷执壶
'yong'le'xian'hong'you 永乐鲜红釉
'yong'le'yao 永乐窑
'yong'zheng'fen'cai 雍正粉彩
'yong'zheng'fen'cai'tuan'hua'hu'die'wen'wan 雍正粉彩团花蝴蝶纹碗
'you 釉
'you'di'you 油滴釉
'you'guo 釉果
'you'hui 釉灰
'you'jiang 釉浆
'you'li'hong 釉里红
'you'li'qing 釉里青
'you'li'san'cai 釉里三彩
'you'shang'cai 釉上彩
'you'tao 釉陶
'you'xia'cai 釉下彩
'you'xia'dui'hua 釉下堆花
'you'xia'fen'cai 釉下粉彩
'you'xia'lan 釉下蓝
'you'xia'wu'cai 釉下五彩
'you'zhong'cai 釉中彩
'yu'guo'tian'qing'you 雨过天青釉
'yu'hao'you 玉毫釉
'yu'hu'chun'ping 玉壶春瓶
'yu'lin'qiang 雨淋墙
'yu'lou'xing'ci'zun 鱼篓形瓷尊
'yu'qi'chang 御器厂
'yu'xi'yao 玉溪窑
'yu'xian'yao 盂县窑
'yu'yao'chang 御窑厂
'yu'zi'lv'you 鱼子绿釉
'yu'zi'wen 鱼子纹
'yuan'shi'ci'qi 原始瓷器
'yuan'shi'qing'ci 原始青瓷
'yuan'shi'su'shao'ci 原始素烧瓷
'yue'bai'you 月白釉
'yue'yao 越窑
'yue'yao'jin'kou'bian'mi'se'qing'ci'wan 越窑金扣边秘色青瓷碗
'yue'yao'qing'ci'dai'tuo'wan 越窑青瓷带托碗
'yue'yao'qing'ci'hai'tang'shi'wan 越窑青瓷海棠式碗
'yue'yao'qing'ci'niao'xing'bei 越窑青瓷鸟形杯
'za'se'you 杂色釉
'zang'yao 臧窑
'zhan'guo'cai'hui'tao 战国彩绘陶
'zhan'pao'qing'you 毡泡青釉
'zhan'yao 盏窑
'zhan'you 蘸釉
'zhe'gu'ban'you 鹧鸪斑釉
'zheng'de'san'cai 正德三彩
'zheng'de'yao 正德窑
'zhi'shao'yao'ju 支烧窑具
'zhou'gong'yao 周公窑
'zhou'yao 周窑
'zhu'ming'liao 珠明料
'zhu'zi 注子
'zhuan'xin'ping 转心瓶
'zhuang'shi'tu 装饰土
'zi'bo'yao 淄博窑
'zi'jin'you 紫金釉
'zi'kou'tie'zu 紫口铁足
'zi'sha'tao 紫砂陶
'zi'you 紫釉
