'an'zhu'liu'ying 暗逐流萤
'yi'gong'yu'yu'nv'chuang'fei 倚弓于玉女窗扉
'yi'lin'he'er'yan'an 邑临河而宴安
'yi'sheng'ju'chang 义声俱唱
'yi'shi'gong'er'wei'zu 以世功而为族
'yi'tan'jiang'shu 移谈讲树
'yi'wu'jiang'er'bu'du 舣乌江而不渡
'yi'xian'chen'yu'du'hou 已先沉于杜侯
'yi'zhao'juan'jia 一朝卷甲
'yin'qi'liu'li'zhi'jiu 饮其琉璃之酒
'yin'tou'wei'qi 饮头为器
'ying'jun'liang'zha 营军梁溠
'ying'zhan'pi 鹰鹯批
'yong'lang'wang'yu'huang'tu 拥狼望于黄图
'yong'lun'dao'er'dang'guan 用论道而当官
'yong'qi'pao'bo 勇气咆勃
'yong'wu'lai'zhi'zi'di 用无赖之子弟
'you'gui'zhi'hou 有妫之后
'you'jian'lei'zhi'jiang'si 游洊雷之讲肆
'you'nan'feng'zhi'bu'jing 有南风之不竞
'you'qi'jiang'zhi'bi'bi 有齐将之闭壁
'you'qu'wu'gui 有去无归
'you'shi'gu'shi'jiang'jun 犹是故时将军
'you'wu'qing'yu'lu'shi 又无情于禄仕
'you'xun'jiang'er'xi'liu 又循江而习流
'you'you'yun'tai'zhi'zhang 犹有云台之仗
'you'zao'shi'er'bei'qian 又遭时而北迁
'yu'ben'ju'yi'xiu'suo 驭奔驹以朽索
'yu'feng'chen'er'tian'cui 与风尘而殄瘁
'yu'huang'shi'shui 艅艎失水
'yu'lie'zu'yu'xi'jin 余烈祖于西晋
'yu'long'zhi'feng'feng'yu 鱼龙之逢风雨
'yu'nai'cuan'shen'huang'gu 余乃窜身荒谷
'yu'shi'chao'ye'huan'yu 于时朝野欢娱
'yu'shi'gui'lin'dian'fu 于是桂林颠覆
'yu'shi'wa'jie'bing'pan 于时瓦解冰泮
'yu'shi'xi'chu'ba'wang 于是西楚霸王
'yu'yang'you'lv'zuo'shu'zu 渔阳有闾左戍卒
'yuan'an'zhi'mei'nian'wang'shi 袁安之每念王室
'yuan'shuang'xia'ling 冤霜夏零
'yue'xie'feng'tai 月榭风台
'yue'yi'wu'chen'zhi'nian 粤以戊辰之年
'yun'meng'wei'you'zhi'di 云梦伪游之地
'yun'ti'ke'ju 云梯可拒
'zai'dan'zhen'chen 载诞贞臣
'zai'ge'tian'xia 宰割天下
'zai'heng'yi'gan'ge'wei'er'xi 宰衡以干戈为儿戏
'zai'shu'heng'jie 载书横阶
'zao'dong'nan'zhi'fan'qi 遭东南之反气
'zha'feng'jing'er'she'huo 乍风惊而射火
'zhan'chi'you'yu'zhong'ji 斩蚩尤于中冀
'zhan'lu'qu'guo 湛庐去国
'zhan'zi'feng'di 沾渍锋镝
'zhang'hua'wang'ji'zhi'suo 章华望祭之所
'zhang'liao'lin'yu'chi'bi 张辽临于赤壁
'zhang'man'zhi'yi'gu'zou 章曼支以毂走
'zhang'ping'zi'jian'er'lou'zhi 张平子见而陋之
'zhen'bei'zhi'fu'yu'jin'qian 镇北之负誉矜前
'zhen'feng'xi'hai'gu 贞风兮害蛊
'zheng'hui'di'zhou 争回地轴
'zhi'bai'nian'er'wei'rong'yi 知百年而为戎矣
'zhi'gao'yuan'ye 脂膏原野
'zhi'hong'guan'lei 直虹贯垒
'zhi'jin'gu'er'wen'zei'chen 执金鼓而问贼臣
'zhi'nai'men'zhi'zheng'shui 值耏门之征税
'zhi'tian'xia'zhi'wu'wei 值天下之无为
'zhi'wu'ma'zhi'nan'ben 值五马之南奔
'zhi'xi'lin'zhi'ze'yan 值西邻之责言
'zhi'xi'ling'er'shui'wang 知西陵而谁望
'zhi'yu'mu'chi 至于暮齿
'zhi'zhi'he'wan 知之何晚
'zhong'bu'yue'yu'ren'ren 终不悦于仁人
'zhong'cai'yi'lv 众才一旅
'zhong'chen'jie'gu 忠臣解骨
'zhong'neng'si'jie 忠能死节
'zhong'shi'yao'cheng'zhi'bian 终视尧城之变
'zhong'xing'dao'xiao 中兴道销
'zhong'xing'zhi'zong'bu'si 中兴之宗不祀
'zhong'yi'jun'zi 钟仪君子
'zhong'yu'ci'mie 终于此灭
'zhong'yu'san'bai'nian'hu 终于三百年乎
'zhong'ze'shan'cheng'wang'ren 终则山称枉人
'zhong'zong'zhi'yi'xiong'jing'luan 中宗之夷凶靖乱
'zhou'han'zheng'nu 周含郑怒
'zhou'luo'yu'men 胄落鱼门
'zhu'hou'ze'zheng'bo'qian'qu 诸侯则郑伯前驱
'zhu'hou'zhi'xin'yao'yi 诸侯之心摇矣
'zhu'mao'song'yu'zhi'zhai 诛茅宋玉之宅
'zhu'ran'xiang'fei'zhi'lei 竹染湘妃之泪
'zhu'ru'chen'si 主辱臣死
'zhu'ze'jia'feng'qian'hu 竹则家封千户
'zhuang'shi'bu'hai 壮士不还
'zhuang'yu'du'yuan'kai 壮于杜元凯
'zhui'wei'ci'fu 追为此赋
'zi'mian'yi'luan 淄渑一乱
'zi'ran'liu'ti 自然流涕
