'an'pai 安排
'tu'di'guan'li'fa 土地管理法
'tu'di'gui'hua 土地规划
'tu'di'li'yong'xian'zhuang'tu 土地利用现状图
'tu'di'li'yong'zong'ti'gui'hua 土地利用总体规划
'tu'di'liu'zhuan 土地流转
'tu'di'sha'hua 土地沙化
'tu'di'zheng'shou 土地征收
'tu'di'zi'yuan 土地资源
'tu'shu'yu'zhan'lan'yong'di 图书与展览用地
'tu'ze 图则
'tui'xu'hai'hu 退圩还湖
'wa'qian 挖潜
'wai'ye'ju'zheng 外业举证
'wan'shan'gong'neng 完善功能
'wang'luo'hua 网络化
'wei'fang'gai'zao 危房改造
'wei'guan 微观
'wei'lao'xian'shuai 未老先衰
'wei'sheng'fu'wu'zhan 卫生服务站
'wei'xian'yuan 危险源
'wen'ding'geng'di 稳定耕地
'wen'du 温度
'wen'hua'huo'dong'yong'di 文化活动用地
'wen'hua'yong'di 文化用地
'wen'juan'diao'cha 问卷调查
'wen'ti 问题
'wen'ti'dao'xiang 问题导向
'wen'wu 文物
'wen'wu'gu'ji 文物古迹
'wen'wu'mai'cang'qu 文物埋藏区
'wen'zhong'qiu'jin 稳中求进
'wen'zi 文字
'wu'liang 五量
'wu'liu'cang'chu'qu 物流仓储区
'wu'liu'zhong'xin 物流中心
'wu'nian'ping'gu 五年评估
'wu'nian'yi'ping'gu 五年一评估
'wu'shui'guan'wang 污水管网
'wu'tong'yi'ping 五通一平
'wu'wei'yi'ti 五位一体
'wu'xu'kuo'zhang 无序扩张
'xi'hua 细化
'xi'tong'gui'hua 系统规划
'xi'tong'xing 系统性
'xia'qu 辖区
'xia'shi 辖市
'xia'shi'qu 辖市区
'xian'jian'qu 限建区
'xian'jie 衔接
'xian'xing'gui'hua'ping'gu 现行规划评估
'xian'xing'ji'chu'she'shi 线型基础设施
'xian'zhang 县长
'xian'zhi'jian'she'qu 限制建设区
'xian'zhi'tu'di 闲置土地
'xian'zhuang 现状
'xiang'cun 乡村
'xiang'cun'dao'lu'yong'di 乡村道路用地
'xiang'cun'fa'zhan'qu 乡村发展区
'xiang'cun'zhen'xing 乡村振兴
'xiang'guan'bu'men'yi'jian'zheng'xun 相关部门意见征询
'xiang'gui 详规
'xiang'xi'gui'hua 详细规划
'xiang'yuan'kong'gui 湘源控规
'xiang'zhen 乡镇
'xiao'fang 消防
'xiao'fang'zhan 消防站
'xiao'fei'la'dong'xing 消费拉动型
'xiao'yi'shui'ping 效益水平
'xie'tiao 协调
'xie'tong 协同
'xie'tong'fa'zhan 协同发展
'xie'xing'lv'di 楔形绿地
'xin'cai'liao 新材料
'xin'chan'ye 新产业
'xin'neng'yuan 新能源
'xin'shi'zhen 新市镇
'xin'xing'chan'ye 新兴产业
'xin'xing'cheng'zhen'hua 新型城镇化
'xin'ye'tai 新业态
'xin'yin'qing 新引擎
'xing'zheng'bian'jie 行政边界
'xing'zheng'xia'qu 行政辖区
'xiu'gui 修规
'xiu'xian'nong'zhuang 休闲农庄
'xiu'xian'you'qi 休闲游憩
'xu'qin'yang'zhi'she'shi'jian'she'yong'di 畜禽养殖设施建设用地
'xu'qu 圩区
'xuan'zhi 选址
'yan'jiu 研究
'yan'jiu'yuan'ji'gui'hua'shi 研究员级规划师
'yan'lian'qiang'lian 延链强链
'yao'gan'ying'xiang 遥感影像
'yao'su 要素
'ye'guang'deng'guang'yao'gan 夜光灯光遥感
'yi'ban'kong'zhi'qu 一般控制区
'yi'ban'nong'ye'qu 一般农业区
'yi'er'san'chan'ye'rong'he'fa'zhan 一二三产业融合发展
'yi'jian 意见
'yi'jian'qu 已建区
'yi'ju 依据
'yi'ju'cheng'shi 宜居城市
'yi'ju'shi'du 宜居适度
'yi'ju'yi'ye 宜居宜业
'yi'liao'wei'sheng'yong'di 医疗卫生用地
'yi'nian'yi'ti'jian 一年一体检
'yi'ren'ding'di 以人定地
'yi'ren'wei'ben 以人为本
'yi'shui'ding'cheng 以水定城
'yi'shui'ding'ren 以水定人
'yi'yuan 医院
'yi'yuan'yong'di 医院用地
'yi'zhang'tu 一张图
'yi'zhi 一致
'yin'ling 引领
'yin'su 因素
'yin'yong'shui'shui'yuan'di'bao'hu'qu 饮用水水源地保护区
'yin'zi 因子
'ying'ji'bao'zhang 应急保障
'ying'ji'zhi'hui 应急指挥
'yong'di'kong'jian 用地空间
'yong'di'shi'yi'xing'ping'jia 用地适宜性评价
'yong'jiu'ji'ben'nong'tian 永久基本农田
'yong'jiu'ji'ben'nong'tian'bao'hu'mian'ji 永久基本农田保护面积
'yong'jiu'ji'ben'nong'tian'bao'hu'qu 永久基本农田保护区
'yong'jiu'ji'ben'nong'tian'tu'ban 永久基本农田图斑
'yong'shui'zong'liang 用水总量
'you'er'yuan'yong'di 幼儿园用地
'you'hua 优化
'you'hua'tiao'zheng 优化调整
'you'tiao'jian'jian'she'qu 有条件建设区
'you'xiu'cheng'xiang'gui'hua'she'ji'jiang 优秀城乡规划设计奖
'you'yong'guan 游泳馆
'you'zhi 优质
'yu'fang 预防
'yu'liu'kong'jian 预留空间
'yu'liu'kong'zhi 预留控制
'yuan'chai'yuan'jian 原拆原建
'yuan'di 园地
'yuan'jing'gui'hua 远景规划
'yuan'zhang 院长
'yue'gang'ao'da'wan'qu 粤港澳大湾区
'yue'shu 约束
'yun'dong'chang 运动场
'yun'lv'qi'fu 韵律起伏
'yun'shu 运输
'yun'xu'jian'she'qu 允许建设区
'zai'hai'feng'xian'ping'gu 灾害风险评估
'zai'sheng'shui'li'yong'xi'tong 再生水利用系统
'zai'sheng'shui'zi'yuan'li'yong'liang 再生水资源利用量
'zan'zhu'ren'kou 暂住人口
'zeng'jian'gua'gou 增减挂钩
'zeng'liang 增量
'zeng'zhang'dian 增长点
'zhan'lue'bu'ju 战略布局
'zhan'lue'liu'bai 战略留白
'zhan'lue'tu'jing 战略途径
'zhan'lue'xing'kong'jian 战略性空间
'zhan'lue'xuan'ze 战略选择
'zhan'lue'yi'tu 战略意图
'zhan'lue'yu'liu 战略预留
'zhan'lue'yu'liu'qu 战略预留区
'zhan'lue'zhi'cheng'dian 战略支撑点
'zhang'xian'te'se 彰显特色
'zhao'ze'di 沼泽地
'zhen'cun'bu'ju'gui'hua 镇村布局规划
'zheng'di 征地
'zheng'fu 政府
'zheng'fu'zu'zhi 政府组织
'zheng'he'gui'bing 整合归并
'zheng'he'you'hua 整合优化
'zheng'qiu'yi'jian 征求意见
'zheng'shou 征收
'zheng'ti'xing 整体性
'zheng'zhi 整治
'zhi'cheng 支撑
'zhi'dao 指导
'zhi'ding'gong'zuo'fang'an 制定工作方案
'zhi'gao'dian 制高点
'zhi'hui'cheng'shi 智慧城市
'zhi'li 治理
'zhi'liang'ti'sheng 质量提升
'zhi'lu 支路
'zhi'neng 职能
'zhi'neng'zu'he'jie'gou 职能组合结构
'zhi'zhu'ping'heng 职住平衡
'zhong'da'ji'chu'she'shi 重大基础设施
'zhong'deng'zhi'ye'jiao'yu'yong'di 中等职业教育用地
'zhong'dian 重点
'zhong'dian'xiang'mu'qing'dan 重点项目清单
'zhong'dian'zhen 重点镇
'zhong'guan 中观
'zhong'xiao'xue'yong'di 中小学用地
'zhong'xin'cheng'qu 中心城区
'zhong'xin'gong'neng 中心功能
'zhong'zhi'she'shi'jian'she'yong'di 种植设施建设用地
'zhu'dao'chan'ye 主导产业
'zhu'fang'he'cheng'xiang'jian'she'bu 住房和城乡建设部
'zhu'fang'he'cheng'xiang'jian'she'ting 住房和城乡建设厅
'zhu'gan'lu 主干路
'zhu'jian'bu 住建部
'zhu'jian'ting 住建厅
'zhu'ren 主任
'zhu'ti'gong'neng'ding'wei 主体功能定位
'zhu'ti'gong'neng'qu'gui'hua 主体功能区规划
'zhu'zhai'yong'di 住宅用地
'zhuan'jia 专家
'zhuan'jia'ling'xian 专家领衔
'zhuan'ti 专题
'zhuan'xiang 专项
'zhuan'xiang'cheng'shi'she'ji 专项城市设计
'zhuan'xiang'gui'hua 专项规划
'zhuan'ye'gong'gong'wei'sheng'ji'gou 专业公共卫生机构
'zhuan'ye'xie'zuo 专业协作
'zhuan'ye'yuan'qu 专业园区
'zi'liu'di 自留地
'zi'ran'an'xian'bao'you'lv 自然岸线保有率
'zi'ran'bao'hu'di 自然保护地
'zi'ran'bao'hu'qu 自然保护区
'zi'ran'de'wu 自然地物
'zi'ran'di'li'ge'ju 自然地理格局
'zi'ran'di'mao 自然地貌
'zi'ran'jing'guan 自然景观
'zi'ran'sheng'tai'xi'tong 自然生态系统
'zi'ran'tiao'jian 自然条件
'zi'ran'yi'chan 自然遗产
'zi'ran'zeng'zhang'lv 自然增长率
'zi'ran'zi'yuan'bing'fu 自然资源禀赋
'zi'ran'zi'yuan'bu 自然资源部
'zi'ran'zi'yuan'he'gui'hua'ju 自然资源和规划局
'zi'ran'zi'yuan'ju 自然资源局
'zi'ran'zi'yuan'ting 自然资源厅
'zi'ran'zi'yuan'zhu'guan'bu'men 自然资源主管部门
'zi'ran'zi'yuan'zhuan'xiang'diao'cha 自然资源专项调查
'zi'ti'jian'ping'gu 自体检评估
'zi'xian 紫线
'zi'yuan 资源
'zi'yuan'bing'fu 资源禀赋
'zi'yuan'huan'jing'cheng'zai'neng'li'ping'jia 资源环境承载能力评价
'zi'yuan'xing'cheng'shi 资源型城市
'zi'yuan'zheng'he 资源整合
'zong'bu'jing'ji 总部经济
'zong'gong 总工
'zong'gui 总规
'zong'gui'hua'shi 总规划师
'zong'he 综合
'zong'he'fang'zai'ti'xi 综合防灾体系
'zong'he'fu'wu'qu 综合服务区
'zong'he'gui'hua 综合规划
'zong'he'jiao'tong'ti'xi 综合交通体系
'zong'he'jue'ce 综合决策
'zong'he'li'ti'jiao'tong'wang'luo 综合立体交通网络
'zong'he'xiao'yi 综合效益
'zong'he'zheng'zhi 综合整治
'zong'jiao'yong'di 宗教用地
'zong'liang 总量
'zong'ti 总体
'zong'ti'cheng'shi'she'ji 总体城市设计
'zong'ti'gui'hua 总体规划
'zu'tuan'shi'fa'zhan 组团式发展
'zu'tuan'zhuang'bu'ju 组团状布局
'zuo'biao 坐标
'zuo'biao'yi'zhi 坐标一致
'zuo'yong 作用
'zuo'you'an 左右岸
