'a'da'pa'lin 阿达帕林
'duan'zhi'zhu'ru'mian'yi'que'xian'bing 短肢侏儒免疫缺陷病
'dui'an'ben'jia'suan 对氨苯甲酸
'dui'an'ji'ben'jia'suan 对氨基苯甲酸
'dui'ban'jia 对半甲
'dui'chen'xing'jin'xing'xing'bai'ban'bing 对称性进行性白斑病
'dui'chen'xing'jin'xing'xing'xian'tian'xing'hong'ban'jiao'pi'zheng 对称性进行性先天性红斑角皮症
'dui'chen'xing'jin'xing'xing'xian'tian'xing'hong'pi'zheng 对称性进行性先天性红皮症
'dui'chen'xing'zhang'zhi'jiao'zhi 对称性掌跖角质
'dui'mian'yi'xi'tong'jin'xing'zheng'ti'shang'tiao'jie 对免疫系统进行整体上调节
'dun'tou'xing'bian'ping'tai'xian 钝头性扁平苔藓
'duo'ba'se'su 多巴色素
'duo'fa'xing'cuo'gou'liu'zong'he'zheng 多发性错构瘤综合症
'duo'fa'xing'hei'zi'zong'he'zheng 多发性黑子综合征
'duo'fa'xing'ji'yan 多发性肌炎
'duo'fa'xing'jia'zu'xing'jie'chang'xi'rou 多发性家族性结肠息肉
'duo'fa'xing'liang'xing'nang'xing'shang'pi'liu 多发性良性囊性上皮瘤
'duo'fa'xing'mao'nang'zhou'wei'xian'wei'liu 多发性毛囊周围纤维瘤
'duo'fa'xing'mao'pan'liu 多发性毛盘瘤
'duo'fa'xing'nei'sheng'ruan'gu'liu'bing'zong'he'zheng 多发性内生软骨瘤病综合症
'duo'fa'xing'nian'mo'shen'jing'liu'zong'he'zheng 多发性粘膜神经瘤综合征
'duo'fa'xing'qiu'zhen'xing'mao'fa'shang'pi'liu 多发性丘疹性毛发上皮瘤
'duo'fa'xing'shen'jing'liu 多发性神经瘤
'duo'fa'xing'shen'jing'yan'xing'yi'chuan'xing'gong'ji'shi'tiao 多发性神经炎型遗传性共济失调
'duo'fa'xing'wang'zhuang'qing'ban 多发性网状青斑
'duo'fa'xing'wei'zhi'zhuang'jiao'hua'guo'du'zheng 多发性微指状角化过度症
'duo'fa'xing'xian'wei'liu'bing 多发性纤维瘤病
'duo'fa'xing'xian'wei'mao'nang'liu 多发性纤维毛囊瘤
'duo'fa'xing'zhi'nang'liu 多发性脂囊瘤
'duo'fa'yu'bu'liang'xing'da'pao'xing'biao'pi'song'jie'zheng 多发育不良性大疱性表皮松解症
'duo'han'xing'duo'pei'ye'fa'yu'bu'liang 多汗性多胚叶发育不良
'duo'han'zheng 多汗症
'duo'jiao'hua'zheng 多角化症
'duo'ju'xian'gan'suan 多聚腺苷酸
'duo'kang'jia'su 多抗甲素
'duo'kuai'zhuang'tou'pi'zong'he'zheng 多块状头皮综合征
'duo'liu'bing'du 多瘤病毒
'duo'mao'zheng 多毛症
'duo'nang'xing'luan'chao'zong'he'zheng 多囊性卵巢综合征
'duo'qiang'kou'wai'pei'ye'mi'lan'zheng 多腔口外胚叶糜烂症
'duo'qiang'xing 多腔性
'duo'rou'bi'xing 多柔比星
'duo'sai'ping 多塞平
'duo'shen'jing'bing 多神经病
'duo'shen'jing'yan'fu'dian'fen'yang'bian'bing 多神经炎副淀粉样变病
'duo'xiang'xing 多向型
'duo'xing'bai'xi'bao'zong'he'zheng 惰性白细胞综合征
'duo'xing'hong'ban 多形红斑
'duo'xing'mo'fang'jun'he'yin'dao'hai'lei'jun'gan'ran 多形模仿菌和阴道海雷菌感染
'duo'xing'xing'lian'qiu'jun 多形性链球菌
'duo'xing'xing'mo'fang'jun 多形性模仿菌
'duo'xing'xing'ri'guang'zhen 多形性日光疹
'duo'xing'xing'rou'ya'zhong 多形性肉芽肿
'duo'zhan'mei'su 多粘霉素
'duo'zhong'mian'yi'que'xian 多种免疫缺陷
'duo'zhong'xin'wang'zhuang'zu'zhi'xi'bao'zeng'sheng'zheng 多中心网状组织细胞增生症
'e'bu'nian'mo'xia'xian'wei'bing 腭部粘膜下纤维病
'e'bu'nian'mo'xia'xian'wei'hua 腭部粘膜下纤维化
'e'fa'yuan'mei'du'zhen 额发缘梅毒疹
'e'jian'pi'yan 娥茧皮炎
'e'kou'xian'chong'bing 腭口线虫病
'e'xing'han'xian'han'kong'liu 恶性汗腺汗孔瘤
'e'xing'han'xian'luo'xuan'xian'liu 恶性汗腺螺旋腺瘤
'e'xing'hong'ban 恶性红斑
'e'xing'mei'du 恶性梅毒
'e'xing'nong'pao 恶性脓疱
'e'xing'tou'ming'xi'bao'han'xian'liu 恶性透明细胞汗腺瘤
'e'xing'wei'suo'xing'qiu'zhen'bing 恶性萎缩性丘疹病
'e'xing'xian'wei'zu'zhi'xi'bao'liu 恶性纤维组织细胞瘤
'e'xing'yuan'zhu'liu 恶性圆柱瘤
'e'xing'zeng'sheng'xing'wai'mao'gen'qiao'liu 恶性增生性外毛根鞘瘤
'e'ye'zhi'lian'chuang 恶液质臁疮
'en'fen 蒽酚
'en'lin 蒽林
'er'ben'jia'tong 二苯甲酮
'er'ben'jia'tong'lei 二苯甲酮类
'er'bing'suan'bei'ta'mi'song 二丙酸倍他米松
'er'bu'tong'xing'jie'jie 耳部痛性结节
'er'dai'zhuang'pao'zhen 耳带状疱疹
'er'jia'ji'jia'xian'an 二甲基甲酰胺
'er'jia'ji'ya'feng'zhi'ji 二甲基亚砜制剂
'er'jia'yi'xian'an 二甲乙酰胺
'er'kuo'ruan'gu'mo'yan 耳廓软骨膜炎
'er'liu'ka'na 二硫卡钠
'er'long'zhu'ru'shi'wang'mo'wei'suo 耳聋侏儒视网膜萎缩
'er'lou 耳瘘
'er'lv'ben'mi'ju'zhi 二氯苯醚菊脂
'er'nie'zong'he'zheng 耳颞综合症
'er'qiang'ben'tong 二羟苯酮
'er'qiang'en'fen 二羟蒽酚
'er'qing'yan'xian'an'xian'piao'ling'er'he'gan'suan 二氢烟酰胺腺嘌呤二核苷酸
'er'shi'jia'ying'yang'bu'liang 二十甲营养不良
'er'tan'xing'xian'wei'jie'jie 耳弹性纤维结节
'er'tong'lu'bu'jin'mo'yan 儿童颅部筋膜炎
'er'tong'zao'lao'zheng 儿童早老症
'er'tong'zhi'si'xing'rou'ya'zhong'bing 儿童致死性肉芽肿病
'er'yang'hua'tai 二氧化钛
'er'yi'ji'er'liu'an'ji'jia'suan'zhi 二乙基二硫氨基甲酸酯
'er'yi'xian'ben'feng 二乙酰苯砜
'er'zhen'jun'bing 耳真菌病
'er'zhui 耳赘
'fa'chan'jie'ji'niao'wo'zhuang'fa 发缠结及鸟窝状发
'fa'han'xing'wei'jue'zong'he'zheng 发汗性味觉综合症
'fa'mo'ti'ding 法莫替丁
'fa'nao'zong'he'zheng 发脑综合症
'fa're'xun'ma'zhen'he'er'long 发热荨麻疹和耳聋
'fa'shi'nang 法氏囊
'fa'shi'nang'yi'lai'xing'lin'ba'xi'bao 法氏囊依赖性淋巴细胞
'fa'xi'luo'wei 伐昔洛韦
'fa'xi'luo'wei 法昔洛韦
'fa'yu'bu'liang'zhi 发育不良痣
'fa'zhen'xing'cui'mao'nang'zhong 发疹性毳毛囊肿
'fa'zhen'xing'hei'zi'bing 发疹性黑子病
'fa'zhen'xing'huang'liu 发疹性黄瘤
'fa'zuo'xing'shou'bu'xue'zhong 发作性手部血肿
'fan'bu'yi'zheng 帆布椅征
'fan'fa'fei'ban'hen'xing'tuo'fa 泛发非瘢痕性脱发
'fan'fa'xing'bian'ping'huang'liu 泛发性扁平黄瘤
'fan'fa'xing'chang'xi'rou'bing 泛发性肠息肉病
'fan'fa'xing'hei'zi'bing 泛发性黑子病
'fan'fa'xing'nong'pao'xing'yin'xie'bing 泛发性脓疱型银屑病
'fan'fa'xing'se'su'yi'chang'zheng 泛发性色素异常症
'fan'fa'xing'te'fa'xing'mao'xi'xue'guan'kuo'zhang'zheng 泛发性特发性毛细血管扩张症
'fan'fa'xing'yin'xie'bing 泛发性银屑病
'fan'fa'xing'ying'ban'bing 泛发性硬斑病
'fan'fa'xing'zhi'yang'se'su'chen'zhuo'zheng 泛发性痣样色素沉着症
'fan'jia 反甲
'fan'shang'fen'sen'kou'yan 樊尚奋森口炎
'fan'shi'lin 凡士林
'fan'shi'zuo'yong'yin'zi 反式作用因子
'fan'suan 泛酸
'fan'xi'luo'wei 泛昔洛韦
'fan'xing'wei'suo'xing'da'pao'xing'biao'pi'song'jie'zheng 反型萎缩性大疱性表皮松解症
'fan'yi'gua'tuo'yang'he'gan'suan 反义寡脱氧核苷酸
'fan'yi'zhong'zhi'ma 翻译终止码
'fan'ying'su'bo'pian'shi'yan 反应素玻片试验
'fan'ying'xing'chuan'tong'xing'jiao'yuan'bing 反应性穿通性胶原病
'fang'chui'ji 纺锤极
'fang'guang'yao 防光药
'fang'she'bian'ying'yuan'xi'fu'shi'yan 放射变应原吸附试验
'fang'she'mian'yi'ce'ding'fa 放射免疫测定法
'fang'she'xing'pi'yan 放射性皮炎
'fang'she'xing'xian'wei'liu'bing 放射性纤维瘤病
'fang'she'xue'ji'ying'xiang'xue'jian'cha 放射学及影像学检查
'fang'xian'jun'bing 放线菌病
'fang'xian'jun'tong 放线菌酮
'fei'da'xi'bao'zeng'sheng'bing 肥大细胞增生病
'fei'da'xing'ban'hen'yu'ban'hen'ge'da 肥大性瘢痕与瘢痕疙瘩
'fei'da'xing'jian'zhi'xing'shen'jing'gen'bing 肥大性间质性神经根病
'fei'da'xing'shen'jing'yan 肥大性神经炎
'fei'da'xing'xue'guan'kuo'zhang'zong'he'zheng 肥大性血管扩张综合症
'fei'dian'xing'fen'zhi'gan'jun'suo'zhi'de'pi'fu'bing 非典型分枝杆菌所致的皮肤病
'fei'dian'xing'huang'se'liu 非典型黄色瘤
'fei'dian'xing'ma'zhen'zong'he'zheng 非典型麻疹综合征
'fei'dian'xing'xi'rou'yang'pi'fu'xian'wei'liu 非典型息肉样皮肤纤维瘤
'fei'fei'zong'he'zheng 狒狒综合症
'fei'he'gan'lei'ni'zhuan'lu'mei'yi'zhi'ji 非核苷类逆转录酶抑制剂
'fei'hou'xing'bian'ping'tai'xian 肥厚性扁平苔藓
'fei'lin'jun'xing'niao'dao'yan'gong'jing'yan 非淋菌性尿道炎宫颈炎
'fei'na'xiong'an 非那雄胺
'fei'nuo'bei'te 非诺贝特
'fei'suo'zhuang'ya'bao'gan'jun'yan'yang'xing'feng'wo'zhi'yan 非梭状芽胞杆菌厌氧性蜂窝织炎
'fei'te'yi'xing'sheng'zhi'dao'gan'ran 非特异性生殖道感染
'fei'xi'chong'gan'ran 肺吸虫感染
'fen'bi'de 芬必得
'fen'chan'jian'gan'jun 粪产碱杆菌
'fen'ji 粉剂
'fen'lie'hou'xi'bao 分裂后细胞
'fen'lie'xi'bao'fang'chui'ti'de'zi'shen'kang'ti 分裂细胞纺锤体的自身抗体
'fen'nai'jing 奋乃静
'fen'tang'zhi 酚糖脂
'fen'tuo'la'ming 酚妥拉明
'fen'wa'mei'jun 粪蛙霉菌
'fen'zhi'gan'jun'kui'yang 分枝杆菌溃疡
'fen'zhi'gan'jun'xing'nong'yang 分枝杆菌性脓疡
'fen'zhi'jun'suan 分枝菌酸
'feng'la 蜂腊
'feng'shi're 风湿热
'feng'shi'xing'dong'mai'yan 风湿性动脉炎
'feng'shi'xing'huan'zhuang'hong'ban 风湿性环状红斑
'feng'tuan 风团
'feng'wo'wei'suo 蜂窝萎缩
'feng'wo'zhi'yan 蜂窝织炎
'feng'zhe'shang 蜂蛰伤
'feng'zhen 风疹
'fu'an'suan'tai'mei'que'fa'zheng 脯氨酸肽酶缺乏症
'fu'bao'mi'ding 氟胞嘧啶
'fu'ding'suan 氟啶酸
'fu'er 副耳
'fu'fa'xing'a'fu'ta'kou'qiang'yan 复发性阿弗它口腔炎
'fu'fa'xing'duo'ruan'gu'yan 复发性多软骨炎
'fu'fa'xing'feng'shi'bing 复发性风湿病
'fu'fa'xing'huai'si'xing'nian'mo'xian'zhou'wei'yan 复发性坏死性粘膜腺周围炎
'fu'fa'xing'pao'zhen'xing'jiao'mo'jie'mo'yan 复发性疱疹性角膜结膜炎
'fu'fa'xing'pi'fu'huai'si'xing'shi'suan'xing'xue'guan'yan 复发性皮肤坏死性嗜酸性血管炎
'fu'fa'xing'teng'tong'xing'hong'ban 复发性疼痛性红斑
'fu'fa'xing'xian'zhuang'ji'ci'song'jie'pi'bing 复发性线状棘刺松解皮病
'fu'fen'nai'jing 氟奋乃静
'fu'gu'gou'lin'ba'rou'ya'zhong 腹股沟淋巴肉芽肿
'fu'gu'gou'rou'ya'zhong 腹股沟肉芽肿
'fu'he'ti 复合体
'fu'lang'xi'si'tu'la're'gan'jun 弗朗西斯土拉热杆菌
'fu'nan'liu'an 呋喃硫胺
'fu'nan'xi'lin 呋喃西林
'fu'nan'xi'lin'shuan'ji 呋喃西林栓剂
'fu'niao'mi'ding 氟尿嘧啶
'fu'niu'dou 副牛痘
'fu'nv'duo'mao'zheng 妇女多毛症
'fu'qing'song 氟轻松
'fu'qiu'bao'zi'jun'bing 副球孢子菌病
'fu'qu'yang'niao'he'gan 氟去氧脲核苷
'fu'she'kang'shuan'mei 蝮蛇抗栓酶
'fu'shi'wan'quan'zuo'ji 福氏完全佐剂
'fu'xi'di'suan 夫西地酸
'fu'xi'ting 氟西汀
'fu'xing'hong're 副猩红热
'fu'xing'tiao'jie'zuo'yong 负性调节作用
'fu'xing'xing'chuan'tong'xing'tan'xing'xian'wei'bing 匐行性穿通性弹性纤维病
'fu'xing'xing'hui'zhuang'hong'ban 匐形性回状红斑
'fu'xing'xing'mao'nang'xing'ji'mao'nang'pang'jiao'hua'bing 匐行性毛囊性及毛囊旁角化病
'fu'xing'xing'mao'nang'xing'jiao'hua'bing 匐行性毛囊性角化病
'fu'xing'xuan'ze 负性选择
'fu'yang'tou'bao 氟氧头孢
'fu'yin'xie'bing 副银屑病
'fu'zhan'bing'du 副粘病毒
'fu'zhong'liu'tian'pao'chuang 副肿瘤天疱疮
'fu'zhong'liu'xing'tian'pao'chuang 副肿瘤性天疱疮
'fu'zhong'liu'xing'zhi'duan'jiao'hua'zheng 副肿瘤性肢端角化症
'fu'zuo'yong 副作用
'gai'zhan'su 钙粘素
'gan'dou'zhuang'he'bian'xing 肝豆状核变性
'gan'jue'guo'min 感觉过敏
'gan'jue'jian'tui 感觉减退
'gan'jue'yi'chang 感觉异常
'gan'jue'yi'chang'xing'gu'tong 感觉异常性股痛
'gan'jun'tai 杆菌肽
'gan'jun'xing'shang'pi'yang'xue'guan'liu'bing 杆菌性上皮样血管瘤病
'gan'jun'xing'xue'guan'liu'bing 杆菌性血管瘤病
'gan'jun'zhuang'ba'er'tong'shi'ti 杆菌状巴尔通氏体
'gan'lan'you 橄榄油
'gan'pi'bing'xing'bai'chi 干皮病性白痴
'gan'ran'xing'chun'bu'pi'yan 感染性唇部皮炎
'gan'ran'xing'niao'dao'guan'jie'yan 感染性尿道关节炎
'gan'rao'su 干扰素
'gan'shi'hua'xi'bao 干尸化细胞
'gan'su'dan'bai'duo'tang 肝素蛋白多糖
'gan'su'na 肝素钠
'gan'xi'bao'ya'qun 干细胞亚群
'gan'xing'hong'xi'bao'sheng'cheng'xing'bu'lin'zheng 肝性红细胞生成性卟啉症
'gan'xing'zhi'yi 干性脂溢
'gan'you 甘油
'gan'you'er'zhi 甘油二脂
'gan'you'ming'jiao 甘油明胶
'gan'zao'xing'bi'se'xing'gui'tou'yan 干燥性闭塞性龟头炎
'gan'zao'xing'zhang'bu'pi'yan 干燥性掌部皮炎
'gan'zao'zong'he'zheng 干燥综合症
'gang'bi'ya'zhui'chong 冈比亚锥虫
'gang'bi'ya'zhui'chong'bing'de'te'zheng 冈比亚锥虫病的特征
'gang'men'bi'suo'hong'mo'que'sun 肛门闭锁虹膜缺损
'gang'men'di'gu'bu'pi'fu'dian'fen'yang'bian'bing 肛门骶骨部皮肤淀粉样变病
'gang'men'sao'yang'bing 肛门瘙痒病
'gao'cui'ru'ji'su'xue'zheng 高催乳激素血症
'gao'er'deng'fen'zhi'gan'jun 高尔登分枝杆菌
'gao'ling'tu 高岭土
'gao'meng'suan'jia 高锰酸钾
'gao'niao'suan'xue'zheng'zhi'li'fa'yu'bu'quan 高尿酸血症智力发育不全
'gao'qiu'dan'bai'xue'zheng'xing'zi'dian 高球蛋白血症性紫癜
'gao'rou'ya'zhong 锆肉芽肿
'gao'tong 睾酮
'gao'xue'ya'jian'nao'zong'he'zheng 高血压间脑综合症
'gao'yang 高氧
'gao'zhi'dan'bai'xue'zheng 高脂蛋白血症
'ge'man'pi'yan 革螨皮炎
'gen'zu'gang 跟足纲
'geng'nian'qi'jiao'pi'zheng 更年期角皮症
'gong'biao'da 共表达
'gong'hui'chong'bing 弓蛔虫病
'gong'ji'shi'tiao'bai'nei'zhang'zhu'ru'zong'he'zheng 共济失调白内障侏儒综合症
'gong'ji'shi'tiao'bai'nei'zhang'zong'he'zheng 共济失调白内障综合症
'gong'xing'mao'xi'xue'guan'kuo'zhang'xing'zi'dian 弓形毛细血管扩张性紫癜
'gong'xing'ti 弓形体
'gong'xing'ti'bing 弓形体病
'gong'you'xu'lie 共有序列
'gong'zhuan'yun'zi 共转运子
'gou'jia 钩甲
'gou'jia'ji'sui'kong'dong'zheng 钩甲脊髓空洞症
'gou'you'pi'yan 钩蚴皮炎
'gou'zhuang'jia'zhong'xian'ying'yang'bu'liang 沟状甲中线营养不良
'gou'zhuang'zhi'bu'jiao'zhi'song'jie'zheng 沟状跖部角质松解症
'gu'chun'zhi 固醇脂
'gu'fei'da'jing'mai'qu'zhang'xing'zhi 骨肥大静脉曲张性痣
'gu'fei'da'xian'hong'ban'zhi 骨肥大鲜红斑痣
'gu'hua'san'chun 骨化三醇
'gu'li'xing'bian'ping'tai'xian 孤立性扁平苔藓
'gu'li'xing'mao'nang'jiao'hua'bu'liang'bing 孤立性毛囊角化不良病
'gu'li'xing'pi'fu'jie'jie 孤立性皮肤结节
'gu'mo'zeng'sheng'hou'pi'zheng 骨膜增生厚皮症
'gu'qing'zhong 股青肿
'gu'rong'jie'zheng 骨溶解症
'gu'ti'dian'fu 固体碘伏
'gu'wai'ce'pi'shen'jing'yan 股外侧皮神经炎
'gu'xiao'shi 骨消失
'gu'xuan 股癣
'gu'yang'zheng 谷痒症
'gu'ying'hua 骨硬化
'gu'zhong'liu'biao'pi'yang'nang'zhong'xi'rou 骨肿瘤表皮样囊肿息肉
'guan'chuan'xing'jiao'hua'guo'du'bing 贯穿性角化过度病
'guan'jie'bing'xing'yin'xie'bing 关节病型银屑病
'guan'jie'gu'jia'fa'yu'bu'liang'qia'gu'jiao'zong'he'zheng 关节骨甲发育不良髂骨角综合征
'guan'jie'ji'ye 关节积液
'guan'zhuang'ding'mi'han'xian'xian'liu 管状顶泌汗腺腺瘤
'guang'bian'tai'fan'ying'xing'jie'chu'xing'pi'yan 光变态反应性接触性皮炎
'guang'bian'tai'fan'ying'xing'yao'zhen 光变态反应性药疹
'guang'bian'ying'xing'pi'yan 光变应性皮炎
'guang'du'xing'jie'chu'xing'pi'yan 光毒性接触性皮炎
'guang'du'xing'pi'yan 光毒性皮炎
'guang'du'xing'yao'zhen 光毒性药疹
'guang'guo'gan'cao 光果甘草
'guang'hua'xing'tuo'min'xing'chun'yan 光化性脱敏性唇炎
'guang'hua'xing'zi'dian 光化性紫癜
'guang'jie'chu'xing'pi'yan 光接触性皮炎
'guang'lao'hua 光老化
'guang'liang'zi'xie'liao'fa 光量子血疗法
'guang'mian'she 光面舌
'guang'min'wu'zhi 光敏物质
'guang're'fen'li 光热分离
'guang'wei'suo'she 光萎缩舌
'guang'xian'xing'bian'ping'tai'xian 光线性扁平苔藓
'guang'xian'xing'bian'ping'tai'xuan 光线性扁平苔癣
'guang'xian'xing'chun'yan 光线性唇炎
'guang'xian'xing'jiao'hua'bing 光线性角化病
'guang'xian'xing'lei'wang'zhi'xi'bao'zeng'sheng'zheng 光线性类网织细胞增生症
'guang'xian'xing'rou'ya'zhong 光线性肉芽肿
'guang'xian'xing'tan'xing'xian'wei'bing 光线性弹性纤维病
'guang'xian'xing'yang'zhen 光线性痒疹
'guang'xian'xing'yao'zhen 光线性药疹
'guang'yang'hua'xing'chan'wu 光氧化性产物
'guang'ze'tai'xian 光泽苔藓
'gui'fen'zhi'gan'jun 龟分枝杆菌
'gui'fen'zhi'gan'jun'de'pi'fu'gan'ran 龟分枝杆菌的皮肤感染
'gui'hua'wu'rou'ya'zhong 硅化物肉芽肿
'gui'li'qin 桂利嗪
'gui'tu'rou'ya'zhong 硅土肉芽肿
'gui'you 硅油
'gui'you 鬼蚰
'guo'du'jiao'zheng 过度矫正
'guo'du'zeng'zhi'xi'bao'ya'qun 过渡增殖细胞亚群
'guo'ji'liao'fa 过继疗法
'guo'min'fan'ying 过敏反应
'guo'min'xing'rou'ya'zhong'xing'dong'mai'yan 过敏性肉芽肿性动脉炎
'guo'min'xing'xue'guan'yan 过敏性血管炎
'guo'min'xing'zhou'qi're 过敏性周期热
'guo'pu'zong'he'zheng 腘蹼综合症
'guo'yang'hua'ben'jia'xian 过氧化苯甲酰
'guo'yang'hua'ben'xian 过氧化苯酰
'guo'yang'hua'qing 过氧化氢
'guo'yang'hua'qing'mei'que'fa'xue'zheng 过氧化氢酶缺乏血症
'guo'yang'hua'qing'mei'que'fa'zheng 过氧化氢酶缺乏症
'guo'yang'hua'zhi 过氧化脂
'guo'ying'ti'jie'ji'xing'ji'yin 果蝇体节极性基因
'ha'fo'xi'er're 哈佛希尔热
'ha'mei'su 哈霉素
'hai'bei'yao'shang 海贝咬伤
'hai'cao'pi'yan 海草皮炎
'hai'dan'ci'shang 海胆刺伤
'hai'die'ci'shang 海蝶刺伤
'hai'kui'ci'shang 海葵刺伤
'hai'kui'du 海葵毒
'hai'kui'su 海葵素
'hai'lei'jun'shu 海雷菌属
'hai'mian'ci'shang 海绵刺伤
'hai'mian'zhuang'nong'pao 海绵状脓疱
'hai'shui'yu'zhe'pi'yan 海水浴者皮炎
'hai'tai'xuan 海苔癣
'hai'xing'pi'yan 海星皮炎
'hai'yu'fen'zhi'gan'jun 海鱼分枝杆菌
'hai'yuan'pi'fu'huo'nong'min'pi'fu 海员皮肤或农民皮肤
'hai'yuan'xing'yan'xian'an'xian'piao'ling'er'he'gan'suan 还原型烟酰胺腺嘌呤二核苷酸
'han'guan'kuo'zhang'zheng 汗管扩张症
'han'guan'liu 汗管瘤
'han'kong'han'guan'liu 汗孔汗管瘤
'han'kong'jiao'hua'zheng 汗孔角化症
'han'leng'xing'duo'xing'hong'ban 寒冷性多形红斑
'han'leng'xing'zhi'mo'yan 寒冷性脂膜炎
'han'lv'shi'hui 含氯石灰
'han'pao'zhen 汗疱疹
'han'xian'han'kong'liu 汗腺汗孔瘤
'han'xian'han'nang'liu 汗腺汗囊瘤
'han'xian'hun'he'liu 汗腺混合瘤
'han'xian'luo'xuan'xian'liu 汗腺螺旋腺瘤
'han'xian'mo'duan'luo'xuan'liu 汗腺末端螺旋瘤
'han'xian'nang'liu 汗腺囊瘤
'han'xian'nang'xian'liu 汗腺囊腺瘤
'han'xian'xian'ai 汗腺腺癌
'han'xian'xue'guan'yang'cuo'gou'liu'huo'zhi 汗腺血管样错构瘤或痣
'han'xian'zhi 汗腺痣
'hao'ran'se'ti'duan'bi'que'shi'zong'he'zheng 号染色体断臂缺失综合症
'he'chen 核尘
'he'de'hei'se'mao'jie'jie'jun 何德黑色毛结节菌
'he'fen'lie'xiang'guan'dan'bai 核分裂相关蛋白
'he'gan'lei'ni'zhuan'lu'mei'yi'zhi'ji 核苷类逆转录酶抑制剂
'he'gan'suan 核苷酸
'he'hei'su 褐黑素
'he'huang'bing 褐黄病
'he'huang'su'que'fa'zheng 核黄素缺乏症
'he'tang'mei'su 核糖霉素
'he'tang'ti 核糖体
'he'xu'li'ceng 赫胥黎层
'he'yi'ke 核衣壳
'hei'bian'bing 黑变病
'hei'chang'wei'hou 黑长尾猴
'hei'dou'liu'you 黑豆馏油
'hei'hua'bing 黑化病
'hei'ji'pi'bing 黑棘皮病
'hei'jia'he'he'jia 黑甲和褐甲
'hei'mao'she 黑毛舌
'hei'se'qiu'zhen'xing'pi'bing 黑色丘疹性皮病
'hei'se'wei'suo 黑色萎缩
'hei'si'bing 黑死病
'hei'su'ji'pi'liu 黑素棘皮瘤
'hei'su'ti 黑素体
'hei'su'xi'bao'zhi'zong'he'zheng 黑素细胞痣综合症
'hei'su'xi'si 黑素细丝
'hei'su'xiao'ti'fu'he'ti 黑素小体复合体
'hei'tou 黑头
'hei'tou'fen'ci 黑头粉刺
'hei'tou'fen'ci'zhi 黑头粉刺痣
'hei'zhi 黑趾
'hei'zhong 黑踵
'hei'zi 黑子
'heng'le'ceng 亨勒层
'heng'xian 横线
'hong'ban'dan'du'si'jun 红斑丹毒丝菌
'hong'ban'lang'chuang 红斑狼疮
'hong'ban'lang'chuang'yu'bian'ping'tai'xuan'chong'die'zong'he'zheng 红斑狼疮与扁平苔癣重叠综合症
'hong'ban'xing'bian'ping'tai'xian 红斑性扁平苔藓
'hong'ban'xing'pi'fu'song'chi'zheng 红斑性皮肤松弛症
'hong'ban'xing'zhi'tong'bing 红斑性肢痛病
'hong'ban'zeng'sheng'bing 红斑增生病
'hong'ban'zhuo'tong'bing 红斑灼痛病
'hong'gan'bing 红绀病
'hong'jia 红甲
'hong'lu'fang'bing 烘炉房病
'hong'mei'su 红霉素
'hong'pi'bing 红皮病
'hong'pi'bing'ju'xi'bao'xing'pin'xue 红皮病巨细胞性贫血
'hong'pi'bing'xing'yin'xie'bing 红皮病型银屑病
'hong'pi'zheng'xing'mao'nang'nian'dan'bai'bing 红皮症性毛囊粘蛋白病
'hong'se'su'li'zhen 红色粟粒疹
'hong'xi'bao'sheng'cheng'xing'fen'bu'lin'zheng 红细胞生成性粪卟啉症
'hong'xi'bao'sheng'cheng'xing'yuan'bu'lin'zheng 红细胞生成性原卟啉症
'hong'xuan 红癣
'hong'yang'hua'tie 红氧化铁
'hong'yang'man 红恙螨
'hou'bing'du'bing 猴病毒病
'hou'jia 厚甲
'hou'sheng'zhang'qi 后生长期
'hou'tian'hua'bing'du'bing 猴天花病毒病
'hou'tian'xing'ju'bu'mao'zeng'duo'zheng 后天性局部毛增多症
'hou'tian'xing'tai'mao'zeng'duo'zheng 后天性胎毛增多症
'hu'ji 糊剂
'hu'lu'ba'jian 胡芦巴碱
'hu'luo'bo'su 胡萝卜素
'hu'luo'bo'su'zheng 胡萝卜素症
'hu'xi'dao'he'bao'bing'du'gan'ran 呼吸道合胞病毒感染
'hua'ban'xuan 花斑癣
'hua'fa'lin 华法林
'hua'fo'shi'zong'he'zheng 华佛氏综合症
'hua'nong'xing'han'xian'yan 化脓性汗腺炎
'hua'nong'xing'jia'gou'yan 化脓性甲沟炎
'hua'sheng'you 花生油
'hua'shi'fen 滑石粉
'hua'you'yan 花蚰蜒
'huai'ju 坏疽
'huai'ju'xing'e'ye'zhi'xing'lian'chuang 坏疽性恶液质性臁疮
'huai'ju'xing'feng'wo'zhi'yan 坏疽性蜂窝织炎
'huai'ju'xing'gui'tou'yan 坏疽性龟头炎
'huai'ju'xing'kou'yan 坏疽性口炎
'huai'ju'xing'lian'chuang 坏疽性臁疮
'huai'ju'xing'nong'pi'bing 坏疽性脓皮病
'huai'ju'xing'zi'dian 坏疽性紫癜
'huai'si'gan'jun'bing 坏死杆菌病
'huai'si'song'jie'xing'you'zou'xing'hong'ban 坏死松解性游走性红斑
'huai'si'suo'gan'jun 坏死梭杆菌
'huai'si'xing'cuo'chuang 坏死性痤疮
'huai'si'xing'jin'mo'yan 坏死性筋膜炎
'huai'si'xing'tuo'ye'xian'zu'zhi'hua'sheng 坏死性唾液腺组织化生
'huai'si'xing'zi'dian 坏死性紫癜
