'a'dun 阿顿
'xiao'mian'ge'hou'zhe 笑面割喉者
'xiao'ye'fu'mao 啸夜蝠猫
'xie'gui'ke'xing 邪鬼克星
'xie'li'xue'xiao'ren 协力雪鸮人
'xie'ning'dong'nian 邪佞动念
'xin'ling'cao'kong 心灵操控
'xin'ling'lang'ke 心灵浪客
'xin'ling'nu'yi 心灵奴役
'xin'niang'hua'guan 新娘花冠
'xin'shi'cang'lu 信使苍鹭
'xing'chuan'shang'ren 行船商人
'xing'jue'shu'ling 醒觉树灵
'xing'tai 刑台
'xiong'li'guan'jun 雄力冠军
'xiu'ji'ju'ren 锈集巨人
'xu'ying'yuan'ling 虚影源灵
'xuan'ming'du'zhuo 悬命赌桌
'xue'beng 雪崩
'xue'fu'zhou'shi 血缚咒师
'xue'kuang'luan'zhan 血狂乱斩
'xue'qi 血契
'xue'xiao'ren'lao'zu 雪鸮人老祖
'xue'yi'zhan'che 血仪战车
'xue'yuan'ri'mu 学院日暮
'xun'lian'chang'gun'bang 训练场棍棒
'xun'lu'chi'hou 寻路斥候
'xun'you'kong'ting'yun'men'hao 巡游空艇云门号
'ya'sa'xi 雅飒曦
'ya'sa'xi'yin'dao 雅飒曦引导
'ya'xia'gao'si'niao 亚夏告死鸟
'ya'xia'gu'juan 亚夏古卷
'ya'xia'gui'mei 亚夏鬼魅
'ya'xia'jin'di 亚夏禁地
'ya'xia'shi'chong 亚夏尸虫
'ya'xia'wu 亚夏巫
'ya'xia'zhi'shang 亚夏之殇
'yan'li'pen'fa 焰力喷发
'yan'long'qi'shi 炎龙骑士
'yan'long'tu'xi 炎龙吐息
'yan'long'you'chu 炎龙幼雏
'yan'su'jing'shi'guai 焰塑晶石怪
'yan'su'ju'han 焰塑巨汉
'yan'xing'kao'wen 严刑拷问
'yang'gong 佯攻
'yang'hong'hai'shou 扬洪海兽
'yang'yan'zhou'shu'shi 阳炎咒术师
'yao'guang'gui'lei 耀光诡雷
'ye'ku'sha 耶库煞
'ye'mu'bu'lie'ren 夜幕捕猎人
'ye'xing'ban'ren'ma 夜行半人马
'ye'xing'gu'lang 夜行孤狼
'yi'fu'lin 伊芙琳
'yi'fu'lin'xin'zhong 伊芙琳信众
'yi'li'ya 伊利雅
'yi'mo'zhi'li 疫魔之力
'yi'sa 伊萨
'yi'sa'wang'zhan'shi 伊萨王战尸
'ying'hun'fan'ji 英魂反击
'ying'ling'yi'yuan 英灵遗愿
'ying'xi 影袭
'ying'zao'yan'jia'gui 荧藻岩甲龟
'yong'chun'du'jiao'shou 咏春独角兽
'yong'heng'shi'kong'shou'wei 永恒时空守卫
'yong'heng'zhong'jie'zhe 永恒终结者
'yong'ming'qi'shi 勇名骑师
'yong'sheng'wu'hou 永生巫后
'yong'sheng'you'dang'zhe 咏圣游荡者
'you'bu'gui'lei 诱捕诡雷
'you'meng'xian'ling 幽梦仙灵
'you'te'si 尤特斯
'you'yi'bai'jing 游弋白鲸
'yu'bi'yuan'ling 育碧源灵
'yu'lei'zhi'zai 育雷之灾
'yu'shi'mao'tou'ying 预视猫头鹰
'yu'wang'zhi'nv 欲望之女
'yu'wei 玉尾
'yu'yan'hua'ji'sheng 预言花寄生
'yu'yun'long'shou 雨云龙兽
'yu'zhou'feng'xing'ke 驭咒风行客
'yuan'jun 援军
'yuan'li'hai'shou 源力海兽
'yuan'li'shen'wei 源力神卫
'yuan'li'su'xing 源力塑形
'yuan'ling'tan'xun 源灵探寻
'yuan'zheng'jun'shou'ling 远征军首领
'yuan'zhi'zhu'tai 源质烛台
'yue'jian'du'jiao'shou 跃涧独角兽
'yue'yin 月隐
'yun'duan'de'ge'ji 云端的歌姬
'yun'ling'guang'chao 孕灵光巢
'yun'yao'mu'chi 蕴妖母池
'yun'yu'xi'wang 孕育希望
'zai'du'chong'feng 再度冲锋
'zai'su'fen'shen 再塑分身
'zan'gui'ning'jing 暂归宁静
'zao'meng'hua'ji'sheng 造梦花寄生
'zeng'sheng'ju'ren 增生巨人
'zeng'wu'zhi'mu 憎恶之母
'zhan'di'ju'che 战地巨车
'zhan'fang'hua'ji'sheng 绽放花寄生
'zhan'ping'xiu'nv 展屏修女
'zhan'shen'qu'ce 战神驱策
'zhan'shen'tou'ying 战神投影
'zhan'shi'bu'gei'xiang 战时补给箱
'zhan'zheng'kuang're 战争狂热
'zhan'zheng'zhi'shang 战争之殇
'zhan'zheng'zhi'zhu 战争之柱
'zhang'li'man'yan 瘴疠蔓延
'zhao'di'xi'yi'ren 沼地蜥蜴人
'zhao'ze'qian'lie'zhe 沼泽潜猎者
'zhe'mo'e'xiao 折磨恶枭
'zhen'di'cang'guan'yuan 阵地仓管员
'zhen'long'zhi'xue 真龙之血
'zhen'yin'zhi'bi 真银之壁
'zheng'bing'zhuang 征兵状
'zheng'ning'shi'qian 狰狞尸嵌
'zheng'yi'da'zhu'jiao 正义大主教
'zheng'yi'hu'jiao'jun 正义护教军
'zhi'huan'min 置换皿
'zhi'yin'yuan'ling 织音源灵
'zhong'ji'tai'yang'an'bu'luo'si 终极太阳安布罗斯
'zhong'jie'zhao'shi'zhe 终结肇始者
'zhong'wang'xiang'hu 众望相护
'zhou'shuang 骤霜
'zhu'cheng'tai'ma'ha 筑城泰马哈
'zhu'chu'jiao'hui 逐出教会
'zhu'di'ju'ma 驻地距马
'zhu'zhen'yuan'ling 助阵源灵
'zhuan'sheng 转生
'zhuang'jia'ju'xie 装甲巨蟹
'zhui'luo'mu'xue 坠落墓穴
'zhui'zong'da'shi 追踪大师
'zhun'zhun'jiao'hui 谆谆教诲
'zhuo'lie'xiu'fu 拙劣修复
'zhuo'liu'tian'shi 灼流舔舐
'zi'ran'jing'hua 自然净化
'zi'shi'qi'guo 自食其果
'zu'ling'kui'lei'shi 祖灵傀儡师
'zui'zhong'yi'ke 最终一刻
'zuo'zhan'ji'shi 作战技师
