'a'ba 阿爸
'fei'xing'pi'fu 飞行皮肤
'fei'xing'shou'ji'ke 飞行手机壳
'fei'xing'tai'jing'sui'kuai 飞行太晶碎块
'fei'ye'feng'bao 飞叶风暴
'fei'ye'kuai'dao 飞叶快刀
'fei'yi'qiu 飞翼球
'fei'yu'qiu 飞羽球
'fei'yun'bing'qi'lin 飞云冰淇淋
'fei'yun'shi 飞云市
'fen'bi'shi 粉笔石
'fen'cai'hu'mu 粉彩护幕
'fen'chen 粉尘
'fen'dan'tong'chu 分担痛楚
'fen'die'chong 粉蝶虫
'fen'die'chong'de'fen 粉蝶虫的粉
'fen'die'yong 粉蝶蛹
'fen'dou'li 奋斗砾
'fen'dou'sha 奋斗沙
'fen'dou'shi 奋斗石
'fen'dou'yan 奋斗岩
'fen'ge'bao'ke'meng 分割宝可梦
'fen'hong 粉红
'fen'hong'hua'ban 粉红花瓣
'fen'hong'se 粉红色
'fen'hong'shui'bei 粉红水杯
'fen'hong'shui'hu 粉红水壶
'fen'hong'tiao'wen 粉红条纹
'fen'hong'tou'jin 粉红头巾
'fen'hong'yi'zi 粉红椅子
'fen'hong'zhuo'jin 粉红桌巾
'fen'hong'zong 粉红棕
'fen'jin'se 粉金色
'fen'lei 分类
'fen'nu 愤怒
'fen'nu'fen 愤怒粉
'fen'nu'hou'bao'ke'meng 愤怒猴宝可梦
'fen'nu'jia'qiao 愤怒甲壳
'fen'nu'man'tou 愤怒馒头
'fen'nu'men'ya 愤怒门牙
'fen'nu'xue'wei 愤怒穴位
'fen'nu'zhi'quan 愤怒之拳
'fen'nu'zhi'zheng 愤怒之证
'fen'qiu'guo 粉球果
'fen'shu 分数
'fen'tian'mie'shi'chi'guang'bao 焚天灭世炽光爆
'fen'xi 分析
'fen'xiang'xiang 粉香香
'fen'yan'gong 焚焰蚣
'fen'zhong 分钟
'feng'chao'bao'ke'meng 蜂巢宝可梦
'feng'da'shi'hui'bei'chui'lai'chui'qu 风大时会被吹来吹去
'feng'ge 风歌
'feng'kuang'fu'te 疯狂伏特
'feng'kuang'gun'ya 疯狂滚压
'feng'kuang'zhi'wu 疯狂植物
'feng'li'fa'dian 风力发电
'feng'li'pian 凤梨片
'feng'ling'bao'ke'meng 风铃宝可梦
'feng'ling'ling 风铃铃
'feng'meng'bao'ke'meng 蜂虻宝可梦
'feng'mi'long 丰蜜龙
'feng'mi'shou'ji'ke 蜂蜜手机壳
'feng'nv'wang 蜂女王
'feng'rao'bao'ke'meng 丰饶宝可梦
'feng'rui 锋锐
'feng'su'gou 风速狗
'feng'wang 凤王
'feng'wang'de'dian'xin 凤王的点心
'feng'yao'jing 风妖精
'feng'yin 封印
'feng'yin'bao'ke'meng 封印宝可梦
'feng'yin'bao'ke'meng 风隐宝可梦
'feng'ying 缝影
'feng'yuan'chuan'shuo 丰缘传说
'feng'yuan'de'bao'ke'meng 丰缘的宝可梦
'feng'yuan'di'qu 丰缘地区
'feng'yuan'guan'jun 丰缘冠军
'feng'yuan'guan'jun'jiang'zhang 丰缘冠军奖章
'feng'yuan'mao'zi 丰缘帽子
'feng'zhen 风真
'feng'zheng'bao'ke'meng 风筝宝可梦
'fo'gan 佛柑
'fo'gan'guo 佛柑果
'fo'lie'tuo'si 佛烈托斯
'fo'tiao'qiang 佛跳墙
'fu'chou 复仇
'fu'dan'peng'peng 孵蛋碰碰
'fu'dian 负电
'fu'dian'pai'pai 负电拍拍
'fu'dian'pai'pai'de'mao 负电拍拍的毛
'fu'fei'xin'zeng'nei'rong 付费新增内容
'fu'gu 腹鼓
'fu'gu'qi'shou'tou'kui 复古骑手头盔
'fu'hao 馥好
'fu'he'jin'shu 复合金属
'fu'huo'cao 复活草
'fu'jia 弗加
'fu'jing'bao'ke'meng 浮鲸宝可梦
'fu'lu 福禄
'fu'lu'guo 福禄果
'fu'luo'er 芙洛儿
'fu'mo 抚摸
'fu'ping'bao'ke'meng 浮萍宝可梦
'fu'qian'you 浮潜鼬
'fu'sheng'qi'dao 复生祈祷
'fu'shi 腐蚀
'fu'shi'qi'ti 腐蚀气体
'fu'shui'mo'shi 浮水模式
'fu'te'gong'ji 伏特攻击
'fu'te'ti'huan 伏特替换
'fu'tu 弗图
'fu'wu'sheng 服务生
'fu'xiao'zhi'yi 拂晓之翼
'fu'xiao'zhi'zheng 拂晓之证
'fu'xiu'de'dun 腐朽的盾
'fu'xiu'de'jian 腐朽的剑
'fu'ya'long 斧牙龙
'fu'yan 复眼
'fu'yan'xian'bei 釜炎仙贝
'fu'yue'bao'ke'meng 斧钺宝可梦
'fu'zao 浮躁
'fu'zhi 复制
'fu'zhu'chi'lun 辅助齿轮
'fu'zhu'li'liang 辅助力量
'fu'zhuang 服装
'fu'zhuo'zhen 附着针
'ga'la'ga'la 嘎啦嘎啦
'ga'li'fan'feng'wei'san'ming'zhi 咖喱饭风味三明治
'ga'li'fen 咖喱粉
'ga'li'mian'tiao'san'ming'zhi 咖喱面条三明治
'ga'li'zhi'zheng 咖喱之证
'gai'bian'gui'ze'wan 改变规则玩
'gai'bian'mian'bu'biao'qing 改变面部表情
'gai'bian'te'xing 改变特性
'gai'bian'yang'zi 改变样子
'gai'gai'chong 盖盖虫
'gai'liang'da'yin'ji 改良打印机
'gai'nuo'sai'ke'te 盖诺赛克特
'gai'nuo'sai'ke'te'de'yang'zi 盖诺赛克特的样子
'gai'ou'ka 盖欧卡
'gai'ou'ka'de'dian'xin 盖欧卡的点心
'gai'ou'ka'de'yang'zi 盖欧卡的样子
'gan'ga'li 干咖喱
'gan'jin 干劲
'gan'jue'dao'qi'chang'de 感觉到气场的
'gan'kai'wan'fen'de'zi'shi 感慨万分的姿势
'gan'lan'bao'ke'meng 橄榄宝可梦
'gan'lan'se 橄榄色
'gan'lan'you 橄榄油
'gan'lu'zhi'mi 甘露之蜜
'gan'qing'bao'ke'meng 感情宝可梦
'gan'qing'se 绀青色
'gan'xie'bao'ke'meng 感谢宝可梦
'gan'xie'you'jian 感谢邮件
'gan'zao'pi'fu 干燥皮肤
'gan'zao'zhi'zheng 干燥之证
'gang'diao'shang'lai'huo'beng'luan'tiao'de 刚钓上来活蹦乱跳的
'gang'jia'niao'bao'ke'meng 钢甲鸟宝可梦
'gang'kai'ya 钢铠鸦
'gang'neng'li'zhe 钢能力者
'gang'pao'bi'xia 钢炮臂虾
'gang'quan'shuang'ji 钢拳双击
'gang'shi 刚史
'gang'shou'ji'ke 钢手机壳
'gang'tai'jing'sui'kuai 钢太晶碎块
'gang'tie'cun'chu'die 钢铁存储碟
'gang'tie'shi'ban 钢铁石板
'gang'yi 钢翼
'gang'zhi'bao'shi 钢之宝石
'gang'zhi'yi'zhi 钢之意志
'gao'ao'zhi'ji 高傲雉鸡
'gao'bang'yun'dong'xie 高帮运动鞋
'gao'dang'huo'de'yang'zi 高档货的样子
'gao'diao'de'yang'zi 高调的样子
'gao'guai'yan'jing 搞怪眼镜
'gao'gui 高贵
'gao'gui'jiang'zhang 高贵奖章
'gao'ji 高吉
'gao'ji 高级
'gao'ji'cheng'shu'zi'wei'san'ming'zhi 高级成熟滋味三明治
'gao'ji'dan'san'ming'zhi 高级蛋三明治
'gao'ji'dian'xin'san'ming'zhi 高级点心三明治
'gao'ji'dou'fu'san'ming'zhi 高级豆腐三明治
'gao'ji'ga'li'mian'tiao'san'ming'zhi 高级咖喱面条三明治
'gao'ji'guo'jiang'san'ming'zhi 高级果酱三明治
'gao'ji'han'bao'pai'san'ming'zhi 高级汉堡排三明治
'gao'ji'hao'hua'san'ming'zhi 高级豪华三明治
'gao'ji'hua'sheng'jiang'san'ming'zhi 高级花生酱三明治
'gao'ji'huo'tui'san'ming'zhi 高级火腿三明治
'gao'ji'ji'ben'kuan'san'ming'zhi 高级基本款三明治
'gao'ji'ju'wu'ba'san'ming'zhi 高级巨无霸三明治
'gao'ji'ju'zi'jiang'san'ming'zhi 高级橘子酱三明治
'gao'ji'man'fu'san'ming'zhi 高级满腹三明治
'gao'ji'mao'ya'xie'san'ming'zhi 高级毛崖蟹三明治
'gao'ji'mian'tiao'san'ming'zhi 高级面条三明治
'gao'ji'niu'you'guo'san'ming'zhi 高级牛油果三明治
'gao'ji'qing'shuang'san'ming'zhi 高级清爽三明治
'gao'ji'qiu 高级球
'gao'ji'qiu'ji 高级球级
'gao'ji're'dai'san'ming'zhi 高级热带三明治
'gao'ji'shi'jin'san'ming'zhi 高级什锦三明治
'gao'ji'shou'si'feng'san'ming'zhi 高级寿司风三明治
'gao'ji'shu'cai'san'ming'zhi 高级蔬菜三明治
'gao'ji'shui'guo'san'ming'zhi 高级水果三明治
'gao'ji'suan'huang'gua'san'ming'zhi 高级酸黄瓜三明治
'gao'ji'tian'la'san'ming'zhi 高级甜辣三明治
'gao'ji'tian'pin'san'ming'zhi 高级甜品三明治
'gao'ji'tu'dou'sha'la'san'ming'zhi 高级土豆沙拉三明治
'gao'ji'xiang'cao'xiang'chang'san'ming'zhi 高级香草香肠三明治
'gao'ji'xiang'la'san'ming'zhi 高级香辣三明治
'gao'ji'xin'shu'cai'san'ming'zhi 高级新蔬菜三明治
'gao'ji'yan'xun'yu'pian'san'ming'zhi 高级烟熏鱼片三明治
'gao'ji'zha'yu'pian'san'ming'zhi 高级炸鱼片三明治
'gao'ji'zhi'shi'san'ming'zhi 高级芝士三明治
'gao'ke'ji'guang'pao 高科技光炮
'gao'ke'ji'yun'dong'xie 高科技运动鞋
'gao'shou 高手
'gao'shou'dui'zhan'jiang'zhang 高手对战奖章
'gao'shou'dui'zhan'shu'jiang'zhang 高手对战树奖章
'gao'su'xing'xing 高速星星
'gao'su'xuan'zhuan 高速旋转
'gao'su'yi'dong 高速移动
'gao'tiao'de'cao'zuo 高跳的操作
'gao'wen'bao'ke'meng 高温宝可梦
'gao'wen'zhong'ya 高温重压
'gao'ya'bao'ke'meng 高压宝可梦
'gao'ya'hua'wen 高雅花纹
'ge'cao'ji 割草机
'ge'da'ya 哥达鸭
'ge'dao'er'xiao'dui'ji'di 阁道二小队基地
'ge'dao'san'xiao'dui'ji'di 阁道三小队基地
'ge'de'bao'bao 哥德宝宝
'ge'de'bao'bao'de'jie'mao 哥德宝宝的睫毛
'ge'de'xiao'jie 哥德小姐
'ge'de'xiao'tong 哥德小童
'ge'dou 格斗
'ge'dou'bang'ban 格斗帮班
'ge'dou'bao'chong 格斗暴冲
'ge'dou'bao'shi 格斗宝石
'ge'dou'shou'ji'ke 格斗手机壳
'ge'dou'tai'jing'sui'kuai 格斗太晶碎块
'ge'la'xi'di'ya'hua 葛拉西蒂亚花
'ge'ren'jian'jie 个人简介
'ge'ren'jian'jie'zhao'pian 个人简介照片
'ge'sheng'xing'tai 歌声形态
'ge'shou'bao'ke'meng 歌手宝可梦
'ge'wu'ji'zao'xing 歌舞伎造型
'ge'ya 歌雅
'ge'yin 隔音
'ge'zhong'gong'neng 各种功能
'ge'zi'ji'xi'wa 格子及膝袜
'gei'bao'ke'meng'jue'ding 给宝可梦决定
'gei'bao'ke'meng'qu'ni'cheng 给宝可梦取昵称
'gei'chu 给出
'gei'da'wu'de'xin 给大吾的信
'gen'feng 跟风
'gen'jing'bao'ke'meng 根茎宝可梦
'gen'shang'ni'mo'ba 跟上妮莫吧
'gen'yuan'bo'dong 根源波动
'gen'zhuang'hua'shi 根状化石
'geng'di 耕地
'geng'gai 更改
'geng'gai'bi'zhi 更改壁纸
'geng'gai'dui'zhan'dui'wu 更改对战队伍
'geng'gai'ge'ren'jian'jie 更改个人简介
'geng'gai'gui'ze 更改规则
'geng'gai'jiang'zhang 更改奖章
'geng'gai'ming'zi 更改名字
'geng'gai'pei'zhi 更改配置
'geng'gai'she'zhi'nei'rong 更改设置内容
'geng'gai'tou'qiu'fang'shi 更改投球方式
'geng'gai'xun'lian'jia'tou'xiang 更改训练家头像
'geng'gai'yin'yue 更改音乐
'geng'gai'zhao'pian 更改照片
'geng'gui 耿鬼
'geng'gui'jin'hua'shi 耿鬼进化石
'geng'huan 更换
'geng'huan'chi'you'wu 更换持有物
'geng'sheng 耕生
'geng'xin'suo'ding 更新锁定
'geng'xin'xin'xi 更新信息
'geng'xin'zhao'ji 更新召集
'gong'cheng'shi'xue 工程师靴
'gong'fu'you 功夫鼬
'gong'fu'you'de'zhua'zi 功夫鼬的爪子
'gong'ji 攻击
'gong'ji'xing'tai 攻击形态
'gong'ji'zeng'qiang'ji 攻击增强剂
'gong'ji'zhi'ling 攻击指令
'gong'kai 公开
'gong'kai'dui'zhan'dui'wu 公开对战队伍
'gong'kai'zhong 公开中
'gong'lue'shu'gou'mai'te'dian 攻略书购买特典
'gong'ren 工人
'gong'sheng 共生
'gong'shou'zhuan'huan 攻守转换
'gong'tai 功太
'gong'yi'tao'zu 工艺套组
'gong'yuan'qiu 公园球
'gong'zai 恭哉
'gou'bao'ke'meng 狗宝可梦
'gou'hun'yan 勾魂眼
'gou'hun'yan'de'bao'shi 勾魂眼的宝石
'gou'hun'yan'jin'hua'shi 勾魂眼进化石
'gou'mai 购买
'gou'mai'te'dian 购买特典
'gou'pa'lu'weng 勾帕路翁
'gou'pa'lu'weng'de'dian'xin 勾帕路翁的点心
'gou'ting'bao'ke'meng 勾蜓宝可梦
'gou'zai'bao 狗仔包
'gou'zai'bao'de'mao 狗仔包的毛
'gou'zan'gou 够赞狗
'gou'zan'gou'mian'ju 够赞狗面具
'gou'zan'gou'shou'ji'ke 够赞狗手机壳
'gou'zhao'bao'ke'meng 钩爪宝可梦
'gu'bang 骨棒
'gu'bang'luan'da 骨棒乱打
'gu'dai'gui'bao'ke'meng 古代龟宝可梦
'gu'dai'hu'fu 古代护符
'gu'dai'huo'xing 古代活性
'gu'dai'jin'bi 古代金币
'gu'dai'shi'xiang 古代石像
'gu'dai'shou'zhuo 古代手镯
'gu'dai'tong'bi 古代铜币
'gu'dai'wang'guan 古代王冠
'gu'dai'yin'bi 古代银币
'gu'dai'zhi'hu 古代之壶
'gu'ding'lu 古鼎鹿
'gu'du'bao'ke'meng 孤独宝可梦
'gu'gu 咕咕
'gu'gu'de'yu'mao 咕咕的羽毛
'gu'gu'ge 咕咕鸽
'gu'ji 鼓击
'gu'jian'bao 古剑豹
'gu'jian'wo 古简蜗
'gu'kong'ji'yu 古空棘鱼
'gu'la'duo 固拉多
'gu'la'duo'de'dian'xin 固拉多的点心
'gu'la'duo'de'yang'zi 固拉多的样子
'gu'lao'ri'ji 古老日记
'gu'lao'shi'wen 古老诗文
'gu'lao'zhi'ge 古老之歌
'gu'le'dun 故勒顿
'gu'le'dun'de'qiu 故勒顿的球
'gu'lu'xia 古鲁夏
'gu'niu'niu 咕妞妞
'gu'sheng'dai'bao'ke'meng 古生代宝可梦
'gu'shou'bao'ke'meng 鼓手宝可梦
'gu'tou'hui'li'biao 骨头回力镖
'gu'wen'ju'sheng'e 骨纹巨声鳄
'gu'xia'bao'ke'meng 古虾宝可梦
'gu'ying'bao'ke'meng 骨鹰宝可梦
'gu'you'tuan 菇诱团
'gu'you'tuan 谷诱团
'gu'yu'yu 古玉鱼
'gu'yue'niao 古月鸟
'gu'yue'niao'de'yu'rong 古月鸟的羽绒
'gu'zhi 固执
'gu'zhi'bo'he 固执薄荷
'gua'gua'pao'wa 呱呱泡蛙
'gua'tou'wa 呱头蛙
'gua'xi 瓜西
'gua'xi'guo 瓜西果
'guai'e'long 怪颚龙
'guai'li 怪力
'guai'li'bao'ke'meng 怪力宝可梦
'guai'li'qian 怪力钳
'guai'shou'kuang 怪兽狂
'guai'shou'yi'zi 怪兽椅子
'guai'shou'zhuo'jin 怪兽桌巾
'guai'yao 怪药
'guai'yi'dian'bo 怪异电波
'guan'bi 关闭
'guan'bi'zhi'nan 关闭指南
'guan'dou'de'bao'ke'meng 关都的宝可梦
'guan'dou'di'qu 关都地区
'guan'dou'ke'li'bing 关都可丽饼
'guan'dou'shi'ban 关都石板
'guan'fang'da'sai 官方大赛
'guan'jun 冠军
'guan'jun'jiang'zhang 冠军奖章
'guan'jun'zhi'lu 冠军之路
'guan'li'yuan 管理员
'guan'mu'bao'ke'meng 棺木宝可梦
'guan'tao'can 贯套餐
'guan'zhu'bei'bao'fu'zhi'pin 馆主背包复制品
'guang'dian'san'xi 光电伞蜥
'guang'dou'zai 光蚪仔
'guang'dou'zai'de'nian'ye 光蚪仔的黏液
'guang'fen 光粉
'guang'he'zuo'yong 光合作用
'guang'hua'ni'qiu 光滑泥球
'guang'hui'hua'ban 光辉花瓣
'guang'hui'shi 光辉石
'guang'jiao'jing 广角镜
'guang'mei 广美
'guang'ming'shi 光明石
'guang'qiang 光墙
'guang'shu 广树
'guang'tai 光苔
'guang'ye 光夜
'guang'yu'fang'shou 广域防守
'guang'yu'po'huai 广域破坏
'guang'yu'zhan'li 广域战力
'guang'zhi'nian'tu 光之黏土
'guang'zhi'shi 光之石
'guang'zi'pen'yong 光子喷涌
'gui'bao'ke'meng 龟宝可梦
'gui'bin'quan'bao'ke'meng 贵宾犬宝可梦
'gui'chi'dong 鬼齿洞
'gui'fu'zao'xing 贵妇造型
'gui'ji 诡计
'gui'jiao'jiao 龟脚脚
'gui'jiao'lu 诡角鹿
'gui'jiao'xia'gu 鬼角峡谷
'gui'ling'hua'jing 归零化境
'gui'mian'ju 鬼面具
'gui'quan'bao'ke'meng 鬼犬宝可梦
'gui'shan 鬼山
'gui'shan'shan'ding 鬼山山顶
'gui'si 鬼斯
'gui'si'de'qi'ti 鬼斯的气体
'gui'si'de'tang'guo 鬼斯的糖果
'gui'si'tong 鬼斯通
'gui'sui'yi'zi 鬼祟椅子
'gui'sui'zhuo'jin 鬼祟桌巾
'gui'tian'zhi'yi 归天之翼
'gui'xiang'zhi'lu 归乡之路
'gui'yi 圭一
'gui'yi'zhou'yu 诡异咒语
'gui'ze 规则
'gui'ze'shu 规则书
'gui'zhong'gu'tou 贵重骨头
'gui'zhong'qiu 贵重球
'gui'zu'ju'kai 龟足巨铠
'gun'cao'bao'ke'meng 滚草宝可梦
'gun'dong 滚动
'gun'dong'bao'ke'meng 滚动宝可梦
'gun'gun'bian'fu 滚滚蝙蝠
'gun'gun'dou 滚滚豆
'gun'qiu'bao'ke'meng 滚球宝可梦
'guo'ba'lin'dao 锅巴林道
'guo'dong'yuan 过动猿
'guo'gang 国纲
'guo'jia'guan'jun 国家冠军
'guo'jia'guan'jun'jiang'zhang 国家冠军奖章
'guo'jia'jiang'zhang 国家奖章
'guo'jiang'san'ming'zhi 果酱三明治
'guo'lai'guo'lai 过来过来
'guo'lv 过滤
'guo'mi'chong 裹蜜虫
'guo'ran'weng 果然翁
'guo're 过热
'guo'wang'bao'ke'meng 国王宝可梦
'guo'wang'zao'xing 国王造型
'guo'zao'niao 聒噪鸟
'guo'zhi'niu'nai 果汁牛奶
'ha'ke'long 哈克龙
'ha'li 哈利
'ha'li'li 哈力栗
'ha'lu'ou 哈鲁欧
'ha'mi 哈密
'ha'mi'guo 哈密果
'ha'qian 哈欠
'ha'yue'ke 哈约克
'hai'an'guang'chang 海岸广场
'hai'an'qu 海岸区
'hai'an'qu'de'huan'jing'zheng'zhi 海岸区的环境整治
'hai'bai'he'bao'ke'meng 海百合宝可梦
'hai'bao'qiu 海豹球
'hai'bian'de'bo'li 海边的玻璃
'hai'chao'xun'xiang 海潮薰香
'hai'ci'long 海刺龙
'hai'dai 海岱
'hai'dai'de'qian'bao 海岱的钱包
'hai'dai'ju'le'bu 海岱俱乐部
'hai'dan'bao'ke'meng 海胆宝可梦
'hai'di'bao'ke'meng 海底宝可梦
'hai'di'shu 海地鼠
'hai'di'shu'de'sha 海地鼠的沙
'hai'jun'lan'se 海军蓝色
'hai'li 海莉
'hai'mo'shi 海魔狮
'hai'ou'bao'ke'meng 海鸥宝可梦
'hai'shen'bao'ke'meng 海参宝可梦
'hai'shen'zhuang'yan'jiao'xiang'yue 海神庄严交响乐
'hai'sheng'ci 还剩次
'hai'sheng'ling'dang 海声铃铛
'hai'shi'bao'ke'meng 海狮宝可梦
'hai'shi'suan'le 还是算了
'hai'suan'ke'yi'de'neng'li 还算可以的能力
'hai'ta'bao'ke'meng 海獭宝可梦
'hai'tong'zu 孩童组
'hai'tu'bao'ke'meng 海兔宝可梦
'hai'tu'shou 海兔兽
'hai'tun'bao'ke'meng 海豚宝可梦
'hai'tun'xia 海豚侠
'hai'wan'dong'xue 海湾洞穴
'hai'xian'tong'xin'fen 海鲜通心粉
'hai'xian'xiao'chuan 海鲜小串
'hai'xing'xing 海星星
'hai'xing'xing'de'tang'guo 海星星的糖果
'hai'xiu 害羞
'hai'yan'bao'ke'meng 海燕宝可梦
'hai'yang'bao'ke'meng 海洋宝可梦
'hai'yang'tou'kui'fu'zhi'pin 海洋头盔复制品
'hai'yang'zhuang 海洋装
'hai'you'bao'ke'meng 海鼬宝可梦
'hai'you'hui'he 还有回合
'hai'zhe 海哲
'han'bao'pai 汉堡排
'han'bao'pai'san'ming'zhi 汉堡排三明治
'han'bao'pai'you'zha'shi'jin 汉堡排油炸什锦
'han'han'bao'ke'meng 憨憨宝可梦
'han'shui'jiang'zhang 酣睡奖章
'han'xiu'bao 含羞苞
'hao'cheng 浩成
'hao'da'jing 浩大鲸
'hao'diao'gan 好钓竿
'hao'dou'de 好斗的
'hao'er 浩二
'hao'fu 浩辅
'hao'hua 豪华
'hao'hua'gao'gui'jiang'zhang 豪华高贵奖章
'hao'hua'jiang'zhang 豪华奖章
'hao'hua'lian'ku'wa 豪华连裤袜
'hao'hua'qiu 豪华球
'hao'hua'san'ming'zhi 豪华三明治
'hao'huai'xing 好坏星
'hao'huai'xing'de'ci 好坏星的刺
'hao'ke'fang'de'yao'shi 号客房的钥匙
'hao'la'you 好啦鱿
'hao'la'you'de'mo'zhi 好啦鱿的墨汁
'hao'li 豪力
'hao'ling 号令
'hao'shang'yao 好伤药
'hao'sheng 好胜
'hao'sheng'mao'xie 好胜毛蟹
'hao'sheng'xie 好胜蟹
'hao'sheng'xie'de'ke 好胜蟹的壳
'hao'wu'gan'jin'de 毫无干劲的
'hao'you'jiang'zhang 好友奖章
'hao'zhong'yao 好中药
'he'chang 和昌
'he'du'ruo'shuo'hua'ba 和杜若说话吧
'he'e'gui'peng'jiao'liang'yi'xia'ba 和厄诡椪较量一下吧
'he'hong 和弘
'he'ji 合计
'he'jia'nai 和佳奈
'he'jin'bao'ke'meng 合金宝可梦
'he'jing'ling'qiu'yi'qi 和精灵球一起
'he'la'ke'luo'si 赫拉克罗斯
'he'la'ke'luo'si'de'zhua'zi 赫拉克罗斯的爪子
'he'la'ke'luo'si'jin'hua'shi 赫拉克罗斯进化石
'he'li 赫利
'he'li'bao'ke'meng 河狸宝可梦
'he'lin'ju'shuo'hua'ba 和邻居说话吧
'he'ma'bao'ke'meng 河马宝可梦
'he'ma'shou 河马兽
'he'mu'xiang'chu 和睦相处
'he'ni'mo'dui'zhan'ba 和妮莫对战吧
'he'niu'nai 喝牛奶
'he'pai'pa'dui'zhan'ba 和派帕对战吧
'he'sha'li'dui'zhan'ba 和沙俪对战吧
'he'sha'li'shuo'hua'ba 和沙俪说话吧
'he'sheng 和生
'he'shu 和树
'he'si'tian'wang'chi'song'dui'zhan'ba 和四天王赤松对战吧
'he'si'tian'wang'du'ruo'dui'zhan'ba 和四天王杜若对战吧
'he'si'tian'wang'na'li'dui'zhan'ba 和四天王纳莉对战吧
'he'si'tian'wang'zi'yu'dui'zhan'ba 和四天王紫竽对战吧
'he'wu'li'dui'zhan'ba 和乌栗对战吧
'he'wu'li'hui'he'ba 和乌栗会合吧
'he'xian'hou'dui'zhan'ba 和仙后对战吧
'he'xin'cheng'fa'zhe 核心惩罚者
'he'ye 和也
'he'ye'ci'shuo'hua'ba 和也慈说话吧
'he'yi 和毅
'he'yue 赫月
'he'zhong'chuan'shuo 合众传说
'he'zhong'di'qu 合众地区
'he'zhong'mao'zi 合众帽子
'he'zi 和子
'he'zi 盒子
'hei'an 黑暗
'hei'an'bao'chong 黑暗暴冲
'hei'an'bao'ke'meng 黑暗宝可梦
'hei'an'cun'chu'die 黑暗存储碟
'hei'an'qiu 黑暗球
'hei'an'shi 黑暗石
'hei'an'ya 黑暗鸦
'hei'an'ya'de'bao'wu 黑暗鸦的宝物
'hei'bai 黑白
'hei'bai'cao'cong'zhuo'jin 黑白草丛桌巾
'hei'dai 黑带
'hei'dong'tun'shi'wan'wu'mie 黑洞吞噬万物灭
'hei'jin'bao'ke'meng 黑金宝可梦
'hei'lu'jia 黑鲁加
'hei'lu'jia'jin'hua'shi 黑鲁加进化石
'hei'luo'bo 黑萝卜
'hei'qi'shi 黑奇石
'hei'qiu'guo 黑球果
'hei'se 黑色
'hei'se'bo'li'shao 黑色玻璃哨
'hei'se'lei'si 黑色蕾丝
'hei'se'mu'guang 黑色目光
'hei'se'pi'ge 黑色皮革
'hei'se'tie'qiu 黑色铁球
'hei'se'wu'ni 黑色污泥
'hei'se'yan'jing 黑色眼镜
'hei'se'zong'mao 黑色鬃毛
'hei'wu 黑雾
'hei'yan'e 黑眼鳄
'hei'yan'e'de'zhua'zi 黑眼鳄的爪子
'hei'ye'de'yang'zi 黑夜的样子
'hei'ye'mo'ling 黑夜魔灵
'hei'ye'mo'ying 黑夜魔影
'hei'yin'bao'ke'meng 黑阴宝可梦
'hei'yu'shi 黑玉石
'hen'la'jiao 狠辣椒
'hen'zao'jiu'xing'lai'de 很早就醒来的
'heng'chang'bao'ke'meng 哼唱宝可梦
'heng'jing'zhi'qu 恒净之躯
'heng'tiao'wen'shui'bei 横条纹水杯
'hong'cha'bao'ke'meng 红茶宝可梦
'hong'chun 弘春
'hong'da 弘达
'hong'dan 烘蛋
'hong'dou'tang 红豆汤
'hong'guang 宏光
'hong'he 弘和
'hong'hong'sha'mo 烘烘沙漠
'hong'hua 红花
'hong'jiao'pian 红椒片
'hong'lei'jin'gang'xing 轰擂金刚猩
'hong'lian'kai'qi 红莲铠骑
'hong'ming'yue 轰鸣月
'hong'pai 红牌
'hong'qi'zi'san'ming'zhi'qian 红旗子三明治签
'hong'qiu'guo 红球果
'hong'se 红色
'hong'se'bao'ke'meng 虹色宝可梦
'hong'se'bo'li'shao 红色玻璃哨
'hong'se'ge'zi'yi'zi 红色格子椅子
'hong'se'ge'zi'zhuo'jin 红色格子桌巾
'hong'se'he'xin 红色核心
'hong'se'hua'ban 红色花瓣
'hong'se'hua'wen 红色花纹
'hong'se'lin'pian 红色鳞片
'hong'se'pan'zi 红色盘子
'hong'se'sui'pian 红色碎片
'hong'se'suo'lian 红色锁链
'hong'se'tou'jin 红色头巾
'hong'se'zhi'hua 虹色之花
'hong'se'zhi'yu 虹色之羽
'hong'tiao'wen'de'yang'zi 红条纹的样子
'hong'wen 宏文
'hong'wen'bu'xiu'gang'shui'hu 红纹不锈钢水壶
'hong'xian 红线
'hong'yang'cong 红洋葱
'hong'zhu'zhu'san'ming'zhi'qian 红珠珠三明治签
'hong'zuan'zong'he 红钻综合
'hou'bao'dan 吼爆弹
'hou'di'xue 厚底靴
'hou'gong'zhi'wei 后攻之尾
'hou'guai 猴怪
'hou'guai'de'mao 猴怪的毛
'hou'guai'de'tang'guo 猴怪的糖果
'hou'hou'jing 吼吼鲸
'hou'hou'jing'pen'hu 吼吼鲸喷壶
'hou'jiao 吼叫
'hou'jiao'wei 吼叫尾
'hou'jing'wang 吼鲸王
'hou'long'gan'ke'de 喉咙干渴的
'hou'qi'xiao'guo 后期效果
'hou'zhi'fang 厚脂肪
'hu'ban'mao'bao'ke'meng 虎斑猫宝可梦
'hu'che 虎彻
'hu'cheng'long 护城龙
'hu'di 胡地
'hu'di'jin'hua'shi 胡地进化石
'hu'die'bao'ke'meng 蝴蝶宝可梦
'hu'die'jie'shou'ji'ke 蝴蝶结手机壳
